place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJOcR_W1JxyRIRK7hh_6Z1cQc,La Gaudina ( St-maximin-la -st-baume),,False,348,"Name: Pizzeria Chez Marie ( L'IMPREVU )
link: https://www.google.com/maps/search/Pizzeria+Chez+Marie+%28+L%27IMPREVU+%29/@43.4534587,5.8579853?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1806 reviews

Name: Chez Claudius
link: https://www.google.com/maps/search/Chez+Claudius/@43.451909699999995,5.8615509999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 294 reviews

Name: Pizza Serge
link: https://www.google.com/maps/search/Pizza+Serge/@43.4513495,5.8656163?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews

Name: Pizza Saint Jean St Max
link: https://www.google.com/maps/search/Pizza+Saint+Jean+St+Max/@43.45318890000001,5.8713443?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: Le Chausson
link: https://www.google.com/maps/search/Le+Chausson/@43.4549113,5.8613214?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews",https://la-gaudina-st-maximin-la-st-baume.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,La Gaudina ( St-maximin-la -st-baume) (Ye Zhu ),https://www.google.com/maps/contrib/109466208251760098203,https://lh5.googleusercontent.com/p/AF1QipOqmQKaTgbPTEOY0NYlB--Ys8gh4_QZ_eNk7A20=w408-h306-k-no,Can Ting ,"Can Ting , Ka Pei Dian , Bo Bing Can Ting ",4.8,09:00-15:00,"Xing Qi Ri , Xing Qi Liu ",+33 9 52 54 99 95,"La Gaudina ( St-maximin-la -st-baume), Z.A de la Laouve, 18 Rue du Coudoulet, 83470 Saint-Maximin-la-Sainte-Baume, Fa Guo ","Pi Sa , Xiao Rong , Su Shi , Sha La , Tuan Dui , Ji Jie , Pan , Jing Ya , Sui Ji ",https://www.google.com/maps/place/La+Gaudina+%28+St-maximin-la+-st-baume%29/data=!4m7!3m6!1s0x12c971525b7fc439:0x77175a6ff61b82b!8m2!3d43.4600913!4d5.861505!16s%2Fg%2F11h4w9m7xp!19sChIJOcR_W1JxyRIRK7hh_6Z1cQc?authuser=0&hl=zh-TW&rclk=1
ChIJjRCRGFRwyRIR7AFEi0vjlms,"Le Nemrod : Brasserie, Tabac, Loto, e-cigarettes",,False,304,,https://m.facebook.com/pages/category/Restaurant/Brasserie-Le-Nemrod-377971562621409/%3Flocale2%3Dfr_FR,"Le Nemrod : Brasserie, Tabac, Loto, e-cigarettes (Ye Zhu )",https://www.google.com/maps/contrib/100171025497687750794,https://lh5.googleusercontent.com/p/AF1QipMhqlq4wrOiK8YReQW6XrV5HEBscV1CIt8IvuKP=w408-h408-k-no,Can Ting ,"Can Ting , Jiu Ba , Fa Guo Can Ting , Yan Cao Dian ",4.2,06:00-21:00,Open All Days,+33 4 94 78 00 43,"Le Nemrod : Brasserie, Tabac, Loto, e-cigarettes, 14 Pl. Malherbe, 83470 Saint-Maximin-la-Sainte-Baume, Fa Guo ","Jia Ge , Xiao Rong , Pi Sa , Tuan Dui , Ka Pei , Yi Dao Cai , Xi Bian Mian ","https://www.google.com/maps/place/Le+Nemrod+:+Brasserie,+Tabac,+Loto,+e-cigarettes/data=!4m7!3m6!1s0x12c970541891108d:0x6b96e34b8b4401ec!8m2!3d43.4535291!4d5.8607496!16s%2Fg%2F11b6dg7m01!19sChIJjRCRGFRwyRIR7AFEi0vjlms?authuser=0&hl=zh-TW&rclk=1"
ChIJR6-pKXFxyRIRmDJY2rhoZMw,Jay&Greg COFFEE,,False,243,"Name: Josephine.B
link: https://www.google.com/maps/search/Jos%C3%A9phine.B/@43.4531243,5.8599746999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 174 reviews

Name: Cercle Philharmonique
link: https://www.google.com/maps/search/Cercle+Philharmonique/@43.4538691,5.8608413?authuser=0&hl=zh-TW&entry=ttu
Reviews: 125 reviews

Name: Charlie's Cafe
link: https://www.google.com/maps/search/Charlie%27s+Caf%C3%A9/@43.452951299999995,5.8618235?authuser=0&hl=zh-TW&entry=ttu
Reviews: 87 reviews

Name: Jay&Greg Concept Store
link: https://www.google.com/maps/search/Jay%26Greg+Concept+Store/@43.45293110000001,5.8587053?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Art The Miss
link: https://www.google.com/maps/search/Art+Th%C3%A9+Miss/@43.4522516,5.862316000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://linktr.ee/JAYANDGREG,Jay&Greg COFFEE (Ye Zhu ),https://www.google.com/maps/contrib/114351736885738726134,https://lh5.googleusercontent.com/p/AF1QipMW_WBq2iDcHitgYJ9hhTNIVRGK1HLTzZF3eIUX=w426-h240-k-no,Cha Yi Guan ,"Cha Yi Guan , Zao Wu Can Can Ting , Wai Dai Ka Pei Zhuan Mai Dian , Fa Shi Gao Bing Dian , Sha Lu Dian , San Wen Zhi Dian , Xi Ban Ya Xiao Shi Jiu Ba ",4.7,08:30-18:00,"Xing Qi Yi , Xing Qi Er ",,"Jay&Greg COFFEE, 11 Rue Marceau, 83470 Saint-Maximin-la-Sainte-Baume, Fa Guo ","Zao Can , Zao Wu Can , Ke Ke , Bing Sha , Song Bing , Sha La , Xin , Er Zi ",https://www.google.com/maps/place/Jay%26Greg+COFFEE/data=!4m7!3m6!1s0x12c9717129a9af47:0xcc6468b8da583298!8m2!3d43.4533298!4d5.8613707!16s%2Fg%2F11jm9j7xz4!19sChIJR6-pKXFxyRIRmDJY2rhoZMw?authuser=0&hl=zh-TW&rclk=1
ChIJq8Ee_rpxyRIRNAltqKxLGkA,Perles de Sucre,,False,35,"Name: Les Pepites d'Aure
link: https://www.google.com/maps/search/Les+P%C3%A9pites+d%27Aur%C3%A9/@43.4457033,5.8848747?authuser=0&hl=zh-TW&entry=ttu
Reviews: 159 reviews

Name: Jeff de Bruges
link: https://www.google.com/maps/search/Jeff+de+Bruges/@43.453012,5.8612668999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 69 reviews

Name: roxanepatisserie
link: https://www.google.com/maps/search/roxanepatisserie/@43.4685981,5.8748002999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 42 reviews

Name: O'Delice Sucre et Sale
link: https://www.google.com/maps/search/O%27D%C3%A9lice+Sucr%C3%A9+et+Sal%C3%A9/@43.4538181,5.8612752?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Art The Miss
link: https://www.google.com/maps/search/Art+Th%C3%A9+Miss/@43.4522516,5.862316000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.facebook.com/perlesdesucre,Perles de Sucre (Ye Zhu ),https://www.google.com/maps/contrib/116991387511769050623,https://lh5.googleusercontent.com/p/AF1QipOQDxxBR7Orjvv0zB8R4iDP18ba6U4QpVgr83od=w408-h408-k-no,Zhu Gu Li Dian ,"Zhu Gu Li Dian , Fa Shi Gao Bing Dian , Cha Yi Guan ",5,"08:45-12:30, 14:30-18:30",Open All Days,+33 4 94 72 59 46,"Perles de Sucre, 24 Av. Albert 1er, 83470 Saint-Maximin-la-Sainte-Baume, Fa Guo ","Ke Li Bing , Cha Dian , Gao , Ma Qia Long ",https://www.google.com/maps/place/Perles+de+Sucre/data=!4m7!3m6!1s0x12c971bafe1ec1ab:0x401a4baca86d0934!8m2!3d43.4535792!4d5.8591079!16s%2Fg%2F11q1lh51gr!19sChIJq8Ee_rpxyRIRNAltqKxLGkA?authuser=0&hl=zh-TW&rclk=1
ChIJq23qOMRxyRIRn61raVACmIY,Josephine.B,,False,175,"Name: Jay&Greg COFFEE
link: https://www.google.com/maps/search/Jay%26Greg+COFFEE/@43.4533298,5.8613707?authuser=0&hl=zh-TW&entry=ttu
Reviews: 243 reviews

Name: LE FOURNIL PROVENCAL
link: https://www.google.com/maps/search/LE+FOURNIL+PROVENCAL/@43.45342840000001,5.8586654?authuser=0&hl=zh-TW&entry=ttu
Reviews: 138 reviews

Name: SNACK LE BEST OF
link: https://www.google.com/maps/search/SNACK+LE+BEST+OF/@43.4550589,5.850399599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: L'envie Gourmande
link: https://www.google.com/maps/search/L%27envie+Gourmande/@43.4539544,5.8611958?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews",,Josephine.B (Ye Zhu ),https://www.google.com/maps/contrib/113278290797865549527,https://lh5.googleusercontent.com/p/AF1QipOEDuNcF51dtZSXJwzf2jD2Zcm7E7lBhsiyO4My=w426-h240-k-no,Can Ting ,"Can Ting , Mian Bao Xi Bing Dian , Zao Wu Can Can Ting , Zheng Liu Ka Pei Ba , Fa Shi Gao Bing Dian , Cha Yi Guan ",4.2,08:00-19:00,Open All Days,+33 4 98 14 30 84,"Josephine.B, Pl. Malherbe, 83470 Saint-Maximin-la-Sainte-Baume, Fa Guo ","Sha La , Gao , Bing Qi Lin , Xiao Rong , Mian Bao Dian , Zao Wu Can , Zhuo , Ke Ke ",https://www.google.com/maps/place/Jos%C3%A9phine.B/data=!4m7!3m6!1s0x12c971c438ea6dab:0x86980250696bad9f!8m2!3d43.4531243!4d5.8599747!16s%2Fg%2F11q2jz32st!19sChIJq23qOMRxyRIRn61raVACmIY?authuser=0&hl=zh-TW&rclk=1
ChIJi7zLlf9xyRIRs0aP0NmTS80,Charlie's Cafe,,False,87,"Name: La Gaudina ( St-maximin-la -st-baume)
link: https://www.google.com/maps/search/La+Gaudina+%28+St-maximin-la+-st-baume%29/@43.460091299999995,5.861504999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 348 reviews

Name: Chez Claudius
link: https://www.google.com/maps/search/Chez+Claudius/@43.451909699999995,5.8615509999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 294 reviews

Name: L'ARDOISE
link: https://www.google.com/maps/search/L%27ARDOISE/@43.4545318,5.8586506?authuser=0&hl=zh-TW&entry=ttu
Reviews: 238 reviews",,Charlie's Cafe (Ye Zhu ),https://www.google.com/maps/contrib/114460163288834670018,https://lh5.googleusercontent.com/p/AF1QipOm7r7doGa2Erfo7KhrjnE5q8t6lMJxlr9nbnVW=w408-h724-k-no,Can Ting ,Can Ting ,4.5,08:00-17:00,Xing Qi Yi ,+33 4 89 21 82 72,"Charlie's Cafe, 22 Rue General de Gaulle, 83470 Saint-Maximin-la-Sainte-Baume, Fa Guo ","Hong Jiu , Jia Ge , Pan , Tian Dian , Sui Ji , Xiao Hai ",https://www.google.com/maps/place/Charlie%27s+Caf%C3%A9/data=!4m7!3m6!1s0x12c971ff95cbbc8b:0xcd4b93d9d08f46b3!8m2!3d43.4529513!4d5.8618235!16s%2Fg%2F11ghshdtcd!19sChIJi7zLlf9xyRIRs0aP0NmTS80?authuser=0&hl=zh-TW&rclk=1
ChIJP7HP1GVxyRIR2O7u5FgUWrk,KROMIOS Tea & Coffee Saint Maximin la Sainte Baume,,False,8,,,KROMIOS Tea & Coffee Saint Maximin la Sainte Baume (Ye Zhu ),https://www.google.com/maps/contrib/106568809571895269311,https://lh5.googleusercontent.com/p/AF1QipOWg0TVS7KKi5QPPX0h6TcKa7Kk9W1vqeh8Y1Zx=w408-h271-k-no,Gao Ji Shi Cai Dian ,Gao Ji Shi Cai Dian ,5,"10:00-13:00, 15:00-18:30",Xing Qi Ri ,+33 9 55 22 69 20,"KROMIOS Tea & Coffee Saint Maximin la Sainte Baume, 13/15, 13 Rue Mirabeau, 83470 Saint-Maximin-la-Sainte-Baume, Fa Guo ",,https://www.google.com/maps/place/KROMIOS+Tea+%26+Coffee+Saint+Maximin+la+Sainte+Baume/data=!4m7!3m6!1s0x12c97165d4cfb13f:0xb95a1458e4eeeed8!8m2!3d43.4522308!4d5.85964!16s%2Fg%2F11kpzqrxwb!19sChIJP7HP1GVxyRIR2O7u5FgUWrk?authuser=0&hl=zh-TW&rclk=1
ChIJ74_0d-RxyRIRMx6_zEu-cas,La Rose d'Or,,False,5,,,La Rose d'Or (Ye Zhu ),https://www.google.com/maps/contrib/102438669678242967511,https://lh5.googleusercontent.com/p/AF1QipNTwIyEkNhxeNnN3_y6WRZHNZPJSLn1ZRYIiIks=w408-h544-k-no,Cha Yi Guan ,Cha Yi Guan ,5,09:30-19:00,Open All Days,,"La Rose d'Or, 51 Rue General de Gaulle, 83470 Saint-Maximin-la-Sainte-Baume, Fa Guo ",Dan Gao ,https://www.google.com/maps/place/La+Rose+d%27Or/data=!4m7!3m6!1s0x12c971e477f48fef:0xab71be4bccbf1e33!8m2!3d43.452935!4d5.862732!16s%2Fg%2F11kq13rf_w!19sChIJ74_0d-RxyRIRMx6_zEu-cas?authuser=0&hl=zh-TW&rclk=1
ChIJv52RH35xyRIR2PKmFDCj4YU,Art The Miss,,False,2,"Name: Jay&Greg COFFEE
link: https://www.google.com/maps/search/Jay%26Greg+COFFEE/@43.4533298,5.8613707?authuser=0&hl=zh-TW&entry=ttu
Reviews: 243 reviews

Name: Charlie's Cafe
link: https://www.google.com/maps/search/Charlie%27s+Caf%C3%A9/@43.452951299999995,5.8618235?authuser=0&hl=zh-TW&entry=ttu
Reviews: 87 reviews

Name: Perles de Sucre
link: https://www.google.com/maps/search/Perles+de+Sucre/@43.4535792,5.8591079?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: L'atelier De Fred
link: https://www.google.com/maps/search/L%27atelier+De+Fred/@43.4529523,5.8629227?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Art & FACT
link: https://www.google.com/maps/search/Art+%26+FACT/@43.442934799999996,5.8618485?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Art The Miss (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=i9n0z3F1tkKoXWQJK2W_Vg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=272.13968&pitch=0&thumbfov=100,Cha Yi Guan ,Cha Yi Guan ,5,,Open All Days,+33 4 89 11 11 08,"Art The Miss, 8 Rue Colbert, 83470 Saint-Maximin-la-Sainte-Baume, Fa Guo ",,https://www.google.com/maps/place/Art+Th%C3%A9+Miss/data=!4m7!3m6!1s0x12c9717e1f919dbf:0x85e1a33014a6f2d8!8m2!3d43.4522516!4d5.862316!16s%2Fg%2F11fl7p4s6y!19sChIJv52RH35xyRIR2PKmFDCj4YU?authuser=0&hl=zh-TW&rclk=1
ChIJG35qs8JxyRIR8MPpx6nTL7I,St Max Coffee Co.,,False,,,,St Max Coffee Co. (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qZu2s_yaPQZgWgciHxCGUg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=173.08496&pitch=0&thumbfov=100,Ka Pei Hong Bei Shang ,Ka Pei Hong Bei Shang ,,10:00-18:00,"Xing Qi Ri , Xing Qi Liu ",+33 7 85 40 49 90,"St Max Coffee Co., 685 Av. Gabriel Peri, 83470 Saint-Maximin-la-Sainte-Baume, Fa Guo ",,https://www.google.com/maps/place/St+Max+Coffee+Co./data=!4m7!3m6!1s0x12c971c2b36a7e1b:0xb22fd3a9c7e9c3f0!8m2!3d43.4550697!4d5.8506028!16s%2Fg%2F11vhtkm22g!19sChIJG35qs8JxyRIR8MPpx6nTL7I?authuser=0&hl=zh-TW&rclk=1
