place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJiZB7QdtU2YARBz7sv-2hm7w,Better Buzz Coffee Hillcrest,,False,1532,"Name: Cafe Bassam
link: https://www.google.com/maps/search/Cafe+Bassam/@32.737511500000004,-117.1605595?authuser=0&hl=zh-TW&entry=ttu
Reviews: 982 reviews

Name: Lestat's Hillcrest
link: https://www.google.com/maps/search/Lestat%27s+Hillcrest/@32.748222999999996,-117.154218?authuser=0&hl=zh-TW&entry=ttu
Reviews: 925 reviews

Name: Better Buzz Coffee Pacific Beach Grand
link: https://www.google.com/maps/search/Better+Buzz+Coffee+Pacific+Beach+Grand/@32.7950253,-117.2543613?authuser=0&hl=zh-TW&entry=ttu
Reviews: 351 reviews

Name: Big City Bagels Cafe- BCB Cafe
link: https://www.google.com/maps/search/Big+City+Bagels+Cafe-+BCB+Cafe/@32.748717899999995,-117.15489579999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 303 reviews

Name: Chiefy Cafe Hillcrest
link: https://www.google.com/maps/search/Chiefy+Cafe+Hillcrest/@32.74948860000001,-117.15372699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 90 reviews",http://www.betterbuzzcoffee.com/,Better Buzz Coffee Hillcrest (Ye Zhu ),https://www.google.com/maps/contrib/104953394807409302909,https://lh5.googleusercontent.com/p/AF1QipNb3xcHkNGCWNrH77Y6o-ZrvuwLEwjvIBRfW061=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Zao Can Can Ting , Ka Pei Ting , Ka Pei Hong Bei Shang , Wu Can Can Ting ",4.4,06:00-20:00,Open All Days,+1 619-269-2740,"Better Buzz Coffee Hillcrest, 801 University Ave, San Diego, CA 92103Mei Guo ","wifi, Xiang Cao , Zhen Guo , Hui Yi Shi , Qing Jiang ",https://www.google.com/maps/place/Better+Buzz+Coffee+Hillcrest/data=!4m7!3m6!1s0x80d954db417b9089:0xbc9ba1edbfec3e07!8m2!3d32.7481995!4d-117.1570355!16s%2Fg%2F11f_3dqw1g!19sChIJiZB7QdtU2YARBz7sv-2hm7w?authuser=0&hl=zh-TW&rclk=1
ChIJ-5UvqJlW2YARZsVbVso_R_Q,Living Room Coffee House,,False,1469,"Name: Swami's Cafe La Mesa
link: https://www.google.com/maps/search/Swami%27s+Cafe+La+Mesa/@32.7649823,-117.01932169999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1414 reviews

Name: Kensington Cafe
link: https://www.google.com/maps/search/Kensington+Cafe/@32.763041699999995,-117.10611730000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1024 reviews

Name: Living Room Cafe & Bistro
link: https://www.google.com/maps/search/Living+Room+Cafe+%26+Bistro/@32.7530006,-117.19573289999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 821 reviews

Name: Broken Yolk Cafe
link: https://www.google.com/maps/search/Broken+Yolk+Cafe/@32.7714767,-117.070245?authuser=0&hl=zh-TW&entry=ttu
Reviews: 258 reviews

Name: Cafe Europe
link: https://www.google.com/maps/search/Cafe+Europe/@32.768921399999996,-117.0526388?authuser=0&hl=zh-TW&entry=ttu
Reviews: 88 reviews",http://livingroomcafe.com/,Living Room Coffee House (Ye Zhu ),https://www.google.com/maps/contrib/110150027682660107343,https://lh5.googleusercontent.com/p/AF1QipP76WDDY0wmtoj8T1FXeJU1XrbG0VCLHZu5tBll=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mei Shi Can Ting , Zao Can Can Ting ",4.4,07:00-23:00,Xing Qi Yi ,+1 619-286-8434,"Living Room Coffee House, 5900 El Cajon Blvd, San Diego, CA 92115Mei Guo ","Gao , Gong Ke , Xue Yuan , Bi Dian , Zuo Wei , Sha Fa , Re Dian ",https://www.google.com/maps/place/Living+Room+Coffee+House/data=!4m7!3m6!1s0x80d95699a82f95fb:0xf4473fca565bc566!8m2!3d32.759952!4d-117.0704357!16s%2Fg%2F1tdn4ctq!19sChIJ-5UvqJlW2YARZsVbVso_R_Q?authuser=0&hl=zh-TW&rclk=1
ChIJYwWOa6Sr3oARsmTDFQlvgGc,Better Buzz Coffee Point Loma,,False,1403,"Name: Moniker Coffee Co.
link: https://www.google.com/maps/search/Moniker+Coffee+Co./@32.7410261,-117.21135480000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 515 reviews

Name: Better Buzz Coffee Pacific Beach Grand
link: https://www.google.com/maps/search/Better+Buzz+Coffee+Pacific+Beach+Grand/@32.7950253,-117.2543613?authuser=0&hl=zh-TW&entry=ttu
Reviews: 351 reviews

Name: Cafe Bella ( ocean beach )
link: https://www.google.com/maps/search/Cafe+Bella+%28+ocean+beach+%29/@32.7520993,-117.2462248?authuser=0&hl=zh-TW&entry=ttu
Reviews: 221 reviews

Name: Coffee Hub and Cafe
link: https://www.google.com/maps/search/Coffee+Hub+and+Cafe/@32.721826,-117.23061829999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 194 reviews

Name: The Bean Box PL
link: https://www.google.com/maps/search/The+Bean+Box+PL/@32.753968799999996,-117.22213319999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 57 reviews",http://www.betterbuzzcoffee.com/,Better Buzz Coffee Point Loma (Ye Zhu ),https://www.google.com/maps/contrib/117113405862405655089,https://lh5.googleusercontent.com/p/AF1QipNXz8U32PRkAQl3MxHsi2Op9aXoLYxDexVS7FSA=w408-h278-k-no,Ka Pei Dian ,"Ka Pei Dian , Zao Can Can Ting , Ka Pei Ting , Ka Pei Hong Bei Shang , Wu Can Can Ting ",4.4,05:00-21:00,Open All Days,+1 619-222-2899,"Better Buzz Coffee Point Loma, 1480 Rosecrans St, San Diego, CA 92106Mei Guo ","De Lai Su , Ting Che , Mo Qia , Xiang Cao , Zi ",https://www.google.com/maps/place/Better+Buzz+Coffee+Point+Loma/data=!4m7!3m6!1s0x80deaba46b8e0563:0x67806f0915c364b2!8m2!3d32.7262183!4d-117.2281828!16s%2Fg%2F11b6njvpbs!19sChIJYwWOa6Sr3oARsmTDFQlvgGc?authuser=0&hl=zh-TW&rclk=1
ChIJX7Iyz-FU2YARY4tpsJ3gvxk,Lestat's on Park,,False,1172,"Name: Communal Coffee
link: https://www.google.com/maps/search/Communal+Coffee/@32.7483084,-117.13917730000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1126 reviews

Name: Subterranean Coffee Boutique
link: https://www.google.com/maps/search/Subterranean+Coffee+Boutique/@32.746651799999995,-117.1303074?authuser=0&hl=zh-TW&entry=ttu
Reviews: 596 reviews

Name: Genteel Coffee Co.
link: https://www.google.com/maps/search/Genteel+Coffee+Co./@32.7482403,-117.1355359?authuser=0&hl=zh-TW&entry=ttu
Reviews: 236 reviews

Name: Yipao Coffee
link: https://www.google.com/maps/search/Yipao+Coffee/@32.7612464,-117.14608589999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 93 reviews",http://www.lestats.com/,Lestat's on Park (Ye Zhu ),https://www.google.com/maps/contrib/112460820004329218067,https://lh5.googleusercontent.com/p/AF1QipPMGEImADKr7tZX287Sz9hXDWCaUTg9laHlAcsQ=w408-h240-k-no-pi-20-ya70.94122-ro-0-fo100,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting , Shou Shi Dian , Zheng Liu Ka Pei Ba , Wang Ba , Cha Yi Guan ",4.5,24 Xiao Shi Ying Ye ,Open All Days,+1 619-501-6638,"Lestat's on Park, 4496 Park Blvd, San Diego, CA 92116Mei Guo ","atmosphere, Wan Shang , Sha Fa , Re Dian , Yi Shu , Gong Ke , Da Xue , Wang Lu , Wen Qing ",https://www.google.com/maps/place/Lestat%27s+on+Park/data=!4m7!3m6!1s0x80d954e1cf32b25f:0x19bfe09db0698b63!8m2!3d32.7589454!4d-117.1464131!16s%2Fm%2F0k2t3v4!19sChIJX7Iyz-FU2YARY4tpsJ3gvxk?authuser=0&hl=zh-TW&rclk=1
ChIJSRO9Y7RU2YARNpVwYA2lG9s,James Coffee Co.,,False,1155,"Name: Caffe Italia
link: https://www.google.com/maps/search/Caffe+Italia/@32.7232564,-117.16846079999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 684 reviews

Name: Portal Coffee
link: https://www.google.com/maps/search/Portal+Coffee/@32.7207911,-117.1708037?authuser=0&hl=zh-TW&entry=ttu
Reviews: 383 reviews

Name: Influx Cafe Little Italy
link: https://www.google.com/maps/search/Influx+Cafe+Little+Italy/@32.7245243,-117.1687566?authuser=0&hl=zh-TW&entry=ttu
Reviews: 317 reviews

Name: Brickyard Coffee & Tea
link: https://www.google.com/maps/search/Brickyard+Coffee+%26+Tea/@32.7124221,-117.1688714?authuser=0&hl=zh-TW&entry=ttu
Reviews: 270 reviews

Name: James Coffee Co.
link: https://www.google.com/maps/search/James+Coffee+Co./@32.7569089,-117.13004679999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 201 reviews",https://jamescoffeeco.com/,James Coffee Co. (Ye Zhu ),https://www.google.com/maps/contrib/113357034793707462103,https://lh5.googleusercontent.com/p/AF1QipM6Nhu3DnQUpP0ohBxd175kdGsqZk2q66uS5yiN=w408-h510-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian ",4.6,07:00-18:00,Open All Days,+1 619-756-7770,"James Coffee Co., 2355 India St, San Diego, CA 92101Mei Guo ","Bo Li , Li Fa Shi , Cang Ku , Wen Qing , Guan , Mao Tou Ying , Dian Mian ",https://www.google.com/maps/place/James+Coffee+Co./data=!4m7!3m6!1s0x80d954b463bd1349:0xdb1ba50d60709536!8m2!3d32.7291417!4d-117.1703361!16s%2Fg%2F1q66wnncb!19sChIJSRO9Y7RU2YARNpVwYA2lG9s?authuser=0&hl=zh-TW&rclk=1
ChIJJ3YYMu5U2YARY3qheaa1Dlc,Communal Coffee,,False,1126,"Name: Holsem Coffee
link: https://www.google.com/maps/search/Holsem+Coffee/@32.748257699999996,-117.1306925?authuser=0&hl=zh-TW&entry=ttu
Reviews: 731 reviews

Name: Subterranean Coffee Boutique
link: https://www.google.com/maps/search/Subterranean+Coffee+Boutique/@32.746651799999995,-117.1303074?authuser=0&hl=zh-TW&entry=ttu
Reviews: 596 reviews

Name: Coffee & Tea Collective
link: https://www.google.com/maps/search/Coffee+%26+Tea+Collective/@32.755089,-117.130994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 239 reviews

Name: Genteel Coffee Co.
link: https://www.google.com/maps/search/Genteel+Coffee+Co./@32.7482403,-117.1355359?authuser=0&hl=zh-TW&entry=ttu
Reviews: 236 reviews",http://www.communalcoffee.com/,Communal Coffee (Ye Zhu ),https://www.google.com/maps/contrib/104987947917701918814,https://lh5.googleusercontent.com/p/AF1QipMllW4BA4kW9kHbQp_UDzBbj7gISwk8Ba565tvK=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,07:00-18:00,Open All Days,+1 619-363-7737,"Communal Coffee, 2335 University Ave, San Diego, CA 92104Mei Guo ","Xun Yi Cao , Hua Yi , Fei , Mei Gan , Li Pin Dian , Xian Hua ",https://www.google.com/maps/place/Communal+Coffee/data=!4m7!3m6!1s0x80d954ee32187627:0x570eb5a679a17a63!8m2!3d32.7483084!4d-117.1391773!16s%2Fg%2F11cn68py1_!19sChIJJ3YYMu5U2YARY3qheaa1Dlc?authuser=0&hl=zh-TW&rclk=1
ChIJD4Jaca5U2YARKlOHLKq6dCs,Lofty Coffee Little Italy Cafe and Bakery,,False,1087,"Name: Caffe Italia
link: https://www.google.com/maps/search/Caffe+Italia/@32.7232564,-117.16846079999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 684 reviews

Name: Frost Me Cafe and Bakery
link: https://www.google.com/maps/search/Frost+Me+Cafe+and+Bakery/@32.722832,-117.1677805?authuser=0&hl=zh-TW&entry=ttu
Reviews: 407 reviews

Name: Lani Coffee
link: https://www.google.com/maps/search/Lani+Coffee/@32.711300099999995,-117.163456?authuser=0&hl=zh-TW&entry=ttu
Reviews: 368 reviews

Name: Influx Cafe Little Italy
link: https://www.google.com/maps/search/Influx+Cafe+Little+Italy/@32.7245243,-117.1687566?authuser=0&hl=zh-TW&entry=ttu
Reviews: 317 reviews",https://loftycoffee.com/,Lofty Coffee Little Italy Cafe and Bakery (Ye Zhu ),https://www.google.com/maps/contrib/105857735889359492432,https://lh5.googleusercontent.com/p/AF1QipMJkQmIRHO_7WCwl9t8FWDFHJG4oIWE8e3bAbSw=w408-h265-k-no,Ka Pei Ting ,"Ka Pei Ting , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Dian , Wu Can Can Ting , Cha Yi Guan ",4.5,07:00-16:00,Open All Days,+1 760-230-6747,"Lofty Coffee Little Italy Cafe and Bakery, 444 W Cedar St, San Diego, CA 92101Mei Guo ","croissant, Yan , Shui Bo Dan ",https://www.google.com/maps/place/Lofty+Coffee+Little+Italy+Cafe+and+Bakery/data=!4m7!3m6!1s0x80d954ae715a820f:0x2b74baaa2c87532a!8m2!3d32.7220998!4d-117.1672365!16s%2Fg%2F11c37v6m5n!19sChIJD4Jaca5U2YARKlOHLKq6dCs?authuser=0&hl=zh-TW&rclk=1
ChIJX7kyjg1T2YARE11m3x4zkUY,Cafe Moto,,False,1033,"Name: Communal Coffee
link: https://www.google.com/maps/search/Communal+Coffee/@32.7483084,-117.13917730000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1126 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@32.696172,-117.13347399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1063 reviews

Name: Talitha Coffee
link: https://www.google.com/maps/search/Talitha+Coffee/@32.7038557,-117.14944279999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 365 reviews

Name: Mixed Grounds Coffee
link: https://www.google.com/maps/search/Mixed+Grounds+Coffee/@32.7066003,-117.1315077?authuser=0&hl=zh-TW&entry=ttu
Reviews: 189 reviews",http://cafemoto.com/,Cafe Moto (Ye Zhu ),https://www.google.com/maps/contrib/116523147286778738487,https://lh5.googleusercontent.com/p/AF1QipPFI_u4bj3r6p2_7mZSPpVM9ArIej64kYm5xIrF=w408-h312-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Hong Bei Shang , Ka Pei Dian ",4.7,06:00-15:00,Xing Qi Yi ,+1 619-239-6686,"Cafe Moto, 2619 National Ave, San Diego, CA 92113Mei Guo ","Kao , Dou , De Lai Su , Gao , Niang Zao , Bao , Ke Ke , Xiang Cao ",https://www.google.com/maps/place/Cafe+Moto/data=!4m7!3m6!1s0x80d9530d8e32b95f:0x4691331edf665d13!8m2!3d32.6956629!4d-117.1377639!16s%2Fg%2F1tfccgfz!19sChIJX7kyjg1T2YARE11m3x4zkUY?authuser=0&hl=zh-TW&rclk=1
ChIJidkdx8dU2YARH-ZfDf-lp0k,Cafe Bassam,,False,983,"Name: Communal Coffee
link: https://www.google.com/maps/search/Communal+Coffee/@32.7483084,-117.13917730000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1126 reviews

Name: James Coffee Co.
link: https://www.google.com/maps/search/James+Coffee+Co./@32.7352191,-117.16141169999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 254 reviews

Name: The WestBean Coffee Roasters
link: https://www.google.com/maps/search/The+WestBean+Coffee+Roasters/@32.7315886,-117.1610298?authuser=0&hl=zh-TW&entry=ttu
Reviews: 139 reviews

Name: Kona Coffee Co.
link: https://www.google.com/maps/search/Kona+Coffee+Co./@32.7497149,-117.1602763?authuser=0&hl=zh-TW&entry=ttu
Reviews: 139 reviews

Name: BALBOA PERK, Coffee & Tea
link: https://www.google.com/maps/search/BALBOA+PERK%2C+Coffee+%26+Tea/@32.746982599999996,-117.14610379999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 113 reviews",http://cafe-bassam.cafes-city.com/,Cafe Bassam (Ye Zhu ),https://www.google.com/maps/contrib/102986658696054108047,https://lh5.googleusercontent.com/p/AF1QipOkEGl0qMer5LRHYik0x5uKNJCwMvvfZ-CUh14x=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Hua Lang , Ka Pei Dian ",4.5,08:00-22:00,Open All Days,+1 619-557-0173,"Cafe Bassam, 3088 Fifth Ave, San Diego, CA 92103Mei Guo ","atmosphere, Wen Wu , Hong Jiu , Zhuang Xiu , Mo Xi Ge , Bo Li , Xiu Jue , Guan ",https://www.google.com/maps/place/Cafe+Bassam/data=!4m7!3m6!1s0x80d954c7c71dd989:0x49a7a5ff0d5fe61f!8m2!3d32.7375115!4d-117.1605595!16s%2Fg%2F1tggnydt!19sChIJidkdx8dU2YARH-ZfDf-lp0k?authuser=0&hl=zh-TW&rclk=1
ChIJVbThvFlT2YARDVk3Xg-swBk,Spill the Beans Coffee and Bagels,,False,860,"Name: Lani Coffee
link: https://www.google.com/maps/search/Lani+Coffee/@32.711300099999995,-117.163456?authuser=0&hl=zh-TW&entry=ttu
Reviews: 368 reviews

Name: Bruegger's Bagels
link: https://www.google.com/maps/search/Bruegger%27s+Bagels/@32.7179748,-117.15506090000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 222 reviews

Name: Achilles Coffee Roasters Gaslamp
link: https://www.google.com/maps/search/Achilles+Coffee+Roasters+Gaslamp/@32.7091704,-117.16121860000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 170 reviews

Name: Baked Cafe
link: https://www.google.com/maps/search/Baked+Cafe/@32.7105889,-117.1553901?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews

Name: The Bean Box 701
link: https://www.google.com/maps/search/The+Bean+Box+701/@32.717442,-117.15805630000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews",http://www.spillthebeanssd.com/,Spill the Beans Coffee and Bagels (Ye Zhu ),https://www.google.com/maps/contrib/105155136317717073063,https://lh5.googleusercontent.com/p/AF1QipNEXW95Yx0TvvrmLJihM2daYddCnHvpaCIxhUbw=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,06:30-18:00,Open All Days,+1 619-233-3836,"Spill the Beans Coffee and Bagels, 555 Market St, San Diego, CA 92101Mei Guo ","Nai You , Suan , Wan , Xia Wei Yi Dou ",https://www.google.com/maps/place/Spill+the+Beans+Coffee+and+Bagels/data=!4m7!3m6!1s0x80d95359bce1b455:0x19c0ac0f5e37590d!8m2!3d32.711363!4d-117.1594778!16s%2Fg%2F11f38nlfvq!19sChIJVbThvFlT2YARDVk3Xg-swBk?authuser=0&hl=zh-TW&rclk=1
