place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJydKUji1PRZQRjBfN1238Y7s,supermercados zeus,,False,152,"Name: supermercados zeus ll
link: https://www.google.com/maps/search/supermercados+zeus+ll/@-27.507131599999997,-58.572621600000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: Multirubros Zeus
link: https://www.google.com/maps/search/Multirubros+Zeus/@-27.5136191,-58.562363999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Supermercado y Multirubro Zeus
link: https://www.google.com/maps/search/Supermercado+y+Multirubro+Zeus/@-27.5100548,-58.5542801?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.facebook.com/pages/Supermercados-y-Multirubros-zeus/456800577674011,supermercados zeus (Ye Zhu ),https://www.google.com/maps/contrib/108753804214827120495,https://lh5.googleusercontent.com/p/AF1QipPmOd35xnyFwuzimMG7RvC_i7Z82Od1EfFTr-I=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.3,"08:00-13:30, 17:00-22:00",Open All Days,+54 379 452-9096,"supermercados zeus, Rivadavia 591, 3403, San Luis del Palmar, Corrientes, A Gen Ting ",Jia Ge ,https://www.google.com/maps/place/supermercados+zeus/data=!4m7!3m6!1s0x94454f2d8e94d2c9:0xbb63fc6dd7cd178c!8m2!3d-27.5094306!4d-58.571963!16s%2Fg%2F11f8hnvhb7!19sChIJydKUji1PRZQRjBfN1238Y7s?authuser=0&hl=zh-TW&rclk=1
ChIJkdoKK5NFRZQRl6tvzOOYg_c,Grido Helado San Luis del Palmar,,False,118,"Name: Grido Helado
link: https://www.google.com/maps/search/Grido+Helado/@-27.4666869,-58.790676?authuser=0&hl=zh-TW&entry=ttu
Reviews: 397 reviews

Name: Dulces sabores
link: https://www.google.com/maps/search/Dulces+sabores/@-27.5073951,-58.55561879999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews

Name: Grido helados
link: https://www.google.com/maps/search/Grido+helados/@-27.489396,-58.722715699999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Helados grido
link: https://www.google.com/maps/search/Helados+grido/@-27.371513000000004,-58.510963600000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Helados el polo
link: https://www.google.com/maps/search/Helados+el+polo/@-27.5103686,-58.5590709?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews",https://www.argentina.gridohelado.com/,Grido Helado San Luis del Palmar (Ye Zhu ),https://www.google.com/maps/contrib/100652576156386381113,https://lh5.googleusercontent.com/p/AF1QipOpwRHD8hdYQD8EiD1pnOFolq9s1z2wDUoyvbGU=w408-h544-k-no,Xue Gao Dian ,Xue Gao Dian ,4.6,12:00-23:45,Xing Qi Yi ,,"Grido Helado San Luis del Palmar, 25 de Mayo, W3403 San Luis del Palmar, Corrientes, A Gen Ting ",Chan Pin ,https://www.google.com/maps/place/Grido+Helado+San+Luis+del+Palmar/data=!4m7!3m6!1s0x944545932b0ada91:0xf78398e3cc6fab97!8m2!3d-27.5081854!4d-58.5566678!16s%2Fg%2F11h_bnv7my!19sChIJkdoKK5NFRZQRl6tvzOOYg_c?authuser=0&hl=zh-TW&rclk=1
ChIJ_7-SrWBFRZQR5MG4PQtSyr0,Gustos Caseros,,False,,"Name: Todo casero
link: https://www.google.com/maps/search/Todo+casero/@-27.5079796,-58.5568617?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: Dulces sabores
link: https://www.google.com/maps/search/Dulces+sabores/@-27.5073951,-58.55561879999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews

Name: Rotizeria
link: https://www.google.com/maps/search/Rotizeria/@-27.5071515,-58.5574485?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Cake Shop
link: https://www.google.com/maps/search/Cake+Shop/@-27.510172299999997,-58.556887?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.instagram.com/gustos.caseros,Gustos Caseros (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6PdsIUAYD8MB7iQM-MSw1A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=56.830616&pitch=0&thumbfov=100,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,,"Gustos Caseros, Juan Romero 923, W3403 San Luis del Palmar, Corrientes, A Gen Ting ",,https://www.google.com/maps/place/Gustos+Caseros/data=!4m7!3m6!1s0x94454560ad92bfff:0xbdca520b3db8c1e4!8m2!3d-27.5090471!4d-58.560333!16s%2Fg%2F11mx3twry5!19sChIJ_7-SrWBFRZQR5MG4PQtSyr0?authuser=0&hl=zh-TW&rclk=1
ChIJISVND2VFRZQRDY0Lv4w2nMk,Supermercado Amistad,,False,136,"Name: Autoservicio Don Gallardo
link: https://www.google.com/maps/search/Autoservicio+Don+Gallardo/@-27.505439499999998,-58.551224000000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: Carniceria San Salvador
link: https://www.google.com/maps/search/Carnicer%C3%ADa+San+Salvador/@-27.5142132,-58.5597643?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Supermercado Amistad 2
link: https://www.google.com/maps/search/Supermercado+Amistad+2/@-27.5116655,-58.55971470000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Bety Pan
link: https://www.google.com/maps/search/Bety+Pan/@-27.509269,-58.555175899999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Supermercado Amistad (Ye Zhu ),https://www.google.com/maps/contrib/101585633527003042104,https://lh5.googleusercontent.com/p/AF1QipM8MvQA7PVq6DLcC8iPcsHWABoXnf-prX5KT2er=w408-h544-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4,"08:30-13:30, 17:00-22:00","Xing Qi Ri , Xing Qi Er , Xing Qi San , Xing Qi Si , Xing Qi Wu , Xing Qi Liu ",,"Supermercado Amistad, San Martin 485, W3403 San Luis del Palmar, Corrientes, A Gen Ting ",Jia Ge ,https://www.google.com/maps/place/Supermercado+Amistad/data=!4m7!3m6!1s0x944545650f4d2521:0xc99c368cbf0b8d0d!8m2!3d-27.5066204!4d-58.5561392!16s%2Fg%2F11gs71wbbz!19sChIJISVND2VFRZQRDY0Lv4w2nMk?authuser=0&hl=zh-TW&rclk=1
ChIJeQvylx1FRZQRRoY6Tt1g_T0,Chicharron,,False,61,"Name: Carniceria San Salvador
link: https://www.google.com/maps/search/Carnicer%C3%ADa+San+Salvador/@-27.5142132,-58.5597643?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Polleria Por su Pollo
link: https://www.google.com/maps/search/Poller%C3%ADa+Por+su+Pollo/@-27.5128484,-58.563206400000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Distribuidora y Forrajeria Los 3 Hermanos
link: https://www.google.com/maps/search/Distribuidora+y+Forrajeria+Los+3+Hermanos/@-27.5202411,-58.56198870000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Karina
link: https://www.google.com/maps/search/Karina/@-27.5110408,-58.54974970000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Chicharron (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM-f372cWQ02Qh__ySXlJcEW1d-nnfVrrilqlsd=w408-h306-k-no,Za Huo Dian ,Za Huo Dian ,4.7,08:00-22:00,"Xing Qi Ri , Xing Qi Si ",,"Chicharron, Unnamed Road, Corrientes, A Gen Ting ",Fu You ,https://www.google.com/maps/place/Chicharr%C3%B3n/data=!4m7!3m6!1s0x9445451d97f20b79:0x3dfd60dd4e3a8646!8m2!3d-27.5177427!4d-58.5688734!16s%2Fg%2F11f5_h6nkv!19sChIJeQvylx1FRZQRRoY6Tt1g_T0?authuser=0&hl=zh-TW&rclk=1
ChIJf7DGYXdFRZQRVw2njt0YduE,Al Paso Drugstore,,False,52,"Name: Ludovico Resto-Bar
link: https://www.google.com/maps/search/Ludovico+Resto-Bar/@-27.5110051,-58.559349700000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Maxi24HS AlPaso
link: https://www.google.com/maps/search/Maxi24HS+AlPaso/@-27.5150342,-58.5658404?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: 24.7 Drinkslp
link: https://www.google.com/maps/search/24.7+Drinkslp/@-27.5107063,-58.5602392?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Al Paso Drugstore (Ye Zhu ),https://www.google.com/maps/contrib/114193519190822948937,https://lh5.googleusercontent.com/p/AF1QipNbD98GPN-gjnemMsXT_m6KYwvnFHbWcnTQ1PFV=w425-h240-k-no,Ying Shi Gao Ji Jiu Ba ,Ying Shi Gao Ji Jiu Ba ,4.6,24 Xiao Shi Ying Ye ,Open All Days,+54 379 408-7937,"Al Paso Drugstore, Calle San Luis Rey, entre Rivadavia y Juan Romero, W3403 San Luis del Palmar, Corrientes, A Gen Ting ",,https://www.google.com/maps/place/Al+Paso+Drugstore/data=!4m7!3m6!1s0x9445457761c6b07f:0xe17618dd8ea70d57!8m2!3d-27.5149564!4d-58.5659351!16s%2Fg%2F11gfh_k3ll!19sChIJf7DGYXdFRZQRVw2njt0YduE?authuser=0&hl=zh-TW&rclk=1
ChIJBxe593hFRZQRs53E14_1mgs,Mi Cocina Resto Bar,,False,39,"Name: Parrilla Lilu
link: https://www.google.com/maps/search/Parrilla+Lil%C3%BA/@-27.5072819,-58.554209199999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 40 reviews

Name: Rotizeria
link: https://www.google.com/maps/search/Rotizeria/@-27.5071515,-58.5574485?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Rotiseria Resto Bar Ari Lu
link: https://www.google.com/maps/search/Rotiseria+Resto+Bar+Ari+Lu/@-27.5115934,-58.559053899999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: La Estacion
link: https://www.google.com/maps/search/La+Estacion/@-27.5155975,-58.5652597?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Mi Cocina Resto Bar (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN9pc_MqsWu7y_jpsasAZLhu078ZPxOMA1nZaXX=w408-h306-k-no,Can Ting ,Can Ting ,4.2,10:00-14:00,Xing Qi Ri ,+54 379 468-1011,"Mi Cocina Resto Bar, Rivadavia 1043, W3403 San Luis del Palmar, Corrientes, A Gen Ting ",,https://www.google.com/maps/place/Mi+Cocina+Resto+Bar/data=!4m7!3m6!1s0x94454578f7b91707:0xb9af58fd7c49db3!8m2!3d-27.5100787!4d-58.5587462!16s%2Fg%2F11c1xq4v_4!19sChIJBxe593hFRZQRs53E14_1mgs?authuser=0&hl=zh-TW&rclk=1
ChIJCyCXBn9PRZQRyckHFdooPWg,Autoservicio Don Gallardo,,False,35,"Name: Panaderia Dona poli
link: https://www.google.com/maps/search/Panaderia+Do%C3%B1a+poli/@-27.509366699999998,-58.549094600000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Autoservicio A.L.F. ll
link: https://www.google.com/maps/search/Autoservicio+A.L.F.+ll/@-27.514293799999997,-58.5656002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Autoservicio Don Gallardo (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QcBCL3u2dZGt350bVLBD3w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=170.3354&pitch=0&thumbfov=100,Za Huo Dian ,Za Huo Dian ,4.6,,Open All Days,+54 379 449-2611,"Autoservicio Don Gallardo, San Luis del Palmar, Corrientes, A Gen Ting ",Jia Ge ,https://www.google.com/maps/place/Autoservicio+Don+Gallardo/data=!4m7!3m6!1s0x94454f7f0697200b:0x683d28da1507c9c9!8m2!3d-27.5054395!4d-58.551224!16s%2Fg%2F11dxmqls1_!19sChIJCyCXBn9PRZQRyckHFdooPWg?authuser=0&hl=zh-TW&rclk=1
ChIJGWhfBM1FRZQRO907DK5W5gQ,Dulces sabores,,False,31,"Name: Grido Helado San Luis del Palmar
link: https://www.google.com/maps/search/Grido+Helado+San+Luis+del+Palmar/@-27.5081854,-58.55666780000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 118 reviews

Name: Carniceria San Salvador
link: https://www.google.com/maps/search/Carnicer%C3%ADa+San+Salvador/@-27.5142132,-58.5597643?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Rotizeria
link: https://www.google.com/maps/search/Rotizeria/@-27.5071515,-58.5574485?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Polleria Javier
link: https://www.google.com/maps/search/Polleria+Javier/@-27.5088361,-58.552370399999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Dulce Deleite
link: https://www.google.com/maps/search/Dulce+Deleite/@-27.5067211,-58.5529597?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Dulces sabores (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM8mB0cB1Qghz1rWuvs5vxYF2ZT6Pt2Zs_Pwc9F=w408-h544-k-no,Zi Zhu Can Ting ,"Zi Zhu Can Ting , Ka Pei Ting ",4.2,,Open All Days,+54 379 406-7755,"Dulces sabores, San Martin 551, W3043 San Luis del Palmar, Corrientes, A Gen Ting ",,https://www.google.com/maps/place/Dulces+sabores/data=!4m7!3m6!1s0x944545cd045f6819:0x4e656ae0c3bdd3b!8m2!3d-27.5073951!4d-58.5556188!16s%2Fg%2F11gjhjh65g!19sChIJGWhfBM1FRZQRO907DK5W5gQ?authuser=0&hl=zh-TW&rclk=1
ChIJLy_fs35FRZQRCQqUerR-vE8,Carniceria San Salvador,,False,24,"Name: Supermercado Amistad
link: https://www.google.com/maps/search/Supermercado+Amistad/@-27.506620400000003,-58.55613919999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 136 reviews

Name: Chicharron
link: https://www.google.com/maps/search/Chicharr%C3%B3n/@-27.5177427,-58.568873399999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews

Name: El Rey del Ganado
link: https://www.google.com/maps/search/El+Rey+del+Ganado/@-27.5129429,-58.549786000000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Carniceria ""La Candelaria""
link: https://www.google.com/maps/search/Carnicer%C3%ADa+%22La+Candelaria%22/@-27.5074112,-58.54833910000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",,Carniceria San Salvador (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNYKiJkhB-VnM5-ErT-XXPGVoqSFf-P-6PfDth2=w426-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.1,08:00-12:00,Open All Days,+54 379 459-7235,"Carniceria San Salvador, W3403 San Luis del Palmar, Corrientes, A Gen Ting ",,https://www.google.com/maps/place/Carnicer%C3%ADa+San+Salvador/data=!4m7!3m6!1s0x9445457eb3df2f2f:0x4fbc7eb47a940a09!8m2!3d-27.5142132!4d-58.5597643!16s%2Fg%2F11g6ny26pp!19sChIJLy_fs35FRZQRCQqUerR-vE8?authuser=0&hl=zh-TW&rclk=1
