place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ-z2tjEx1iYUR5gT9fDUuzfw,Delicias de Mama,,False,1,,https://www.facebook.com/search/top%3Fq%3Ddelicias%2520de%2520mam%25C3%25A1,Delicias de Mama (Ye Zhu ),https://www.google.com/maps/contrib/114960683872216468985,,Ka Pei Dian ,Ka Pei Dian ,5,09:00-18:00,Open All Days,+502 5608 8384,"Delicias de Mama, 5a Avenida 5-37, San Pedro Sacatepequez, Wei Di Ma La ",,https://www.google.com/maps/place/Delicias+de+Mam%C3%A1/data=!4m7!3m6!1s0x8589754c8cad3dfb:0xfccd2e357cfd04e6!8m2!3d14.6849703!4d-90.6427645!16s%2Fg%2F11krq0hhbn!19sChIJ-z2tjEx1iYUR5gT9fDUuzfw?authuser=0&hl=zh-TW&rclk=1
ChIJJYgwEYp1iYUR1L4Cb133Y1o,Super del barrio,,False,72,"Name: Super Del Barrio
link: https://www.google.com/maps/search/Super+Del+Barrio/@14.6494713,-90.5901895?authuser=0&hl=zh-TW&entry=ttu
Reviews: 209 reviews

Name: Super del Barrio P. Barcenas
link: https://www.google.com/maps/search/Super+del+Barrio+P.+Barcenas/@14.5284719,-90.6232655?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: Super del Barrio
link: https://www.google.com/maps/search/Super+del+Barrio/@14.716593099999999,-90.6432373?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Mercado de san pedro
link: https://www.google.com/maps/search/Mercado+de+san+pedro/@14.684327699999999,-90.6443585?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Unimark
link: https://www.google.com/maps/search/Unimark/@14.686366399999997,-90.64293049999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Super del barrio (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOk3og7K5TCOFycdHCtFtAQ-NU71w2VcBQbVeE2=w426-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4,,Open All Days,,"Super del barrio, RD-SAC-11 126a, San Pedro Sacatepequez, Wei Di Ma La ",,https://www.google.com/maps/place/Super+del+barrio/data=!4m7!3m6!1s0x8589758a11308825:0x5a63f75d6f02bed4!8m2!3d14.6860823!4d-90.6453749!16s%2Fg%2F11j9g0thjj!19sChIJJYgwEYp1iYUR1L4Cb133Y1o?authuser=0&hl=zh-TW&rclk=1
ChIJ-05N6NJ1iYUR63bW0UGKgUg,Don Cafeto,,False,62,"Name: Cafe Los 3 Hermanos
link: https://www.google.com/maps/search/Caf%C3%A9+Los+3+Hermanos/@14.6846413,-90.6427559?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Delicias de Reyes
link: https://www.google.com/maps/search/Delicias+de+Reyes/@14.686373999999999,-90.64509849999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Restaurante Donde Don Esteban
link: https://www.google.com/maps/search/Restaurante+Donde+Don+Esteban/@14.683485899999997,-90.6431164?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: La Casa del Taco
link: https://www.google.com/maps/search/La+Casa+del+Taco/@14.686116399999998,-90.64572009999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Restaurante Gourmet Lola
link: https://www.google.com/maps/search/Restaurante+Gourmet+Lola/@14.684148200000001,-90.6418013?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Don Cafeto (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPGz9-QJsWUP37wO6X3hvTaR7LSXOAw5mrKIF9R=w520-h240-k-no,Can Ting ,Can Ting ,4.6,07:00-22:00,Open All Days,+502 6610 7948,"M9P5+6PF Don Cafeto, 4 Calle, San Pedro Sacatepequez, Wei Di Ma La ",,https://www.google.com/maps/place/Don+Cafeto/data=!4m7!3m6!1s0x858975d2e84d4efb:0x48818a41d1d676eb!8m2!3d14.6855743!4d-90.6406975!16s%2Fg%2F11h7sllx4t!19sChIJ-05N6NJ1iYUR63bW0UGKgUg?authuser=0&hl=zh-TW&rclk=1
ChIJg_lzrOZ0iYURTWxavoo67ss,Cafeteria El Exito,,False,48,"Name: Don Cafeto
link: https://www.google.com/maps/search/Don+Cafeto/@14.685574299999997,-90.6406975?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews

Name: Espressar Cafe
link: https://www.google.com/maps/search/Espressar+Cafe/@14.686833900000002,-90.6459338?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Cafe Los 3 Hermanos
link: https://www.google.com/maps/search/Caf%C3%A9+Los+3+Hermanos/@14.6846413,-90.6427559?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Delizia Al Caffe
link: https://www.google.com/maps/search/Delizia+Al+Caff%C3%A8/@14.6869702,-90.64496609999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafeteria El Exito (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPBI5v0fOUjDxQd0CyrWsDlgCA5-_-awg3NjrfZ=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.1,16:00-23:00,Open All Days,+502 4490 5996,"M9P4+J6H Cafeteria El Exito, RN-5, San Pedro Sacatepequez, Wei Di Ma La ",,https://www.google.com/maps/place/Cafeter%C3%ADa+El+Exito/data=!4m7!3m6!1s0x858974e6ac73f983:0xcbee3a8abe5a6c4d!8m2!3d14.6865516!4d-90.6443984!16s%2Fg%2F11c1sjz4ww!19sChIJg_lzrOZ0iYURTWxavoo67ss?authuser=0&hl=zh-TW&rclk=1
ChIJaUjZ2h91iYURDo2zLiffYa8,Refacciones Ashly,,False,25,"Name: Cafeteria El Exito
link: https://www.google.com/maps/search/Cafeter%C3%ADa+El+Exito/@14.6865516,-90.6443984?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews

Name: La Casa del Taco
link: https://www.google.com/maps/search/La+Casa+del+Taco/@14.686116399999998,-90.64572009999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Mondo Cocina Urbana
link: https://www.google.com/maps/search/Mondo+Cocina+Urbana/@14.684113099999998,-90.6419787?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: La vilka
link: https://www.google.com/maps/search/La+vilka/@14.684148200000001,-90.6418013?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Delizia Al Caffe
link: https://www.google.com/maps/search/Delizia+Al+Caff%C3%A8/@14.6869702,-90.64496609999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Refacciones Ashly (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uXvNYzf_YBV-3LDr2Xu3lg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=154.18748&pitch=0&thumbfov=100,Ka Pei Ting ,Ka Pei Ting ,3.6,09:15-20:00,"Xing Qi Er , Xing Qi San , Xing Qi Si , Xing Qi Wu , Xing Qi Liu ",,"Refacciones Ashly, Carr. a San Juan Sacatepequez 2, San Pedro Sacatepequez, Wei Di Ma La ",,https://www.google.com/maps/place/Refacciones+Ashly/data=!4m7!3m6!1s0x8589751fdad94869:0xaf61df272eb38d0e!8m2!3d14.6831921!4d-90.6388762!16s%2Fg%2F11g6mhljbw!19sChIJaUjZ2h91iYURDo2zLiffYa8?authuser=0&hl=zh-TW&rclk=1
ChIJ4XR5suZ0iYURVai3mBKl-A4,Panaderia Esquipulas,,False,25,"Name: Panaderia Multipan
link: https://www.google.com/maps/search/Panaderia+Multipan/@14.6843057,-90.6428296?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Cafe Los 3 Hermanos
link: https://www.google.com/maps/search/Caf%C3%A9+Los+3+Hermanos/@14.6846413,-90.6427559?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Pasteleria Belenki
link: https://www.google.com/maps/search/Pasteleria+Belenki/@14.685889999999997,-90.643579?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Panaderia Esquipulas (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP3vUis5KGWgYk_lxSnIISPxKQoSRup71-rBnaE=w408-h551-k-no,Ka Pei Ting ,Ka Pei Ting ,4,,Open All Days,,"Panaderia Esquipulas, 3-36, 3 Avenida, San Pedro Sacatepequez, Wei Di Ma La ",,https://www.google.com/maps/place/Panaderia+Esquipulas/data=!4m7!3m6!1s0x858974e6b27974e1:0xef8a51298b7a855!8m2!3d14.6860853!4d-90.6454702!16s%2Fg%2F11c5t3qysn!19sChIJ4XR5suZ0iYURVai3mBKl-A4?authuser=0&hl=zh-TW&rclk=1
ChIJA4fL0HZ1iYURjzZ3LxXPv4c,Cafeteria Hno Pedro,,False,24,"Name: DRosita
link: https://www.google.com/maps/search/DRosita/@14.5493659,-90.75118119999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews

Name: Chamoyadas Y Piconas
link: https://www.google.com/maps/search/Chamoyadas+Y+Piconas/@14.6835147,-90.7014848?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: El Bohemio
link: https://www.google.com/maps/search/El+Bohemio/@14.682209,-90.70112879999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Cafeteria Kairos
link: https://www.google.com/maps/search/Cafeter%C3%ADa+Kairos/@14.681123799999998,-90.69921149999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Hamburguesashumberto
link: https://www.google.com/maps/search/Hamburguesashumberto/@14.643308000000001,-90.5137036?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafeteria Hno Pedro (Ye Zhu ),https://www.google.com/maps/contrib/110924356174758094732,https://lh5.googleusercontent.com/p/AF1QipNxjTH81MLjuTeMA_QnkKa97IpsJXK3gb6Avug6=w408-h306-k-no,Zi Zhu Can Ting ,"Zi Zhu Can Ting , Ka Pei Ting ",4,08:00-22:00,Open All Days,+502 3274 2800,"Cafeteria Hno Pedro, 01058 Buena Vista, 01058Wei Di Ma La ",,https://www.google.com/maps/place/Cafeteria+Hno+Pedro/data=!4m7!3m6!1s0x85897576d0cb8703:0x87bfcf152f77368f!8m2!3d14.6710461!4d-90.6465454!16s%2Fg%2F11j082v12c!19sChIJA4fL0HZ1iYURjzZ3LxXPv4c?authuser=0&hl=zh-TW&rclk=1
ChIJiyrjYSR1iYURkPelRPYSP24,Espressar Cafe,,False,11,"Name: Cafeteria El Exito
link: https://www.google.com/maps/search/Cafeter%C3%ADa+El+Exito/@14.6865516,-90.6443984?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews

Name: Cafe Los 3 Hermanos
link: https://www.google.com/maps/search/Caf%C3%A9+Los+3+Hermanos/@14.6846413,-90.6427559?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",,Espressar Cafe (Ye Zhu ),https://www.google.com/maps/contrib/100107832151066778536,https://lh5.googleusercontent.com/p/AF1QipN0sRzSRQ-FcToPGrIxr36tauHfYh1bdbqdvuiZ=w408-h306-k-no,Zi Zhu Can Ting ,Zi Zhu Can Ting ,4.7,09:00-22:00,Open All Days,+502 5481 7800,"Espressar Cafe, 1ra avenida 3-03 zona 2 San Pedro Sacatepequez, Guatemala 01058Wei Di Ma La ",,https://www.google.com/maps/place/Espressar+Cafe/data=!4m7!3m6!1s0x8589752461e32a8b:0x6e3f12f644a5f790!8m2!3d14.6868339!4d-90.6459338!16s%2Fg%2F11f636s_p6!19sChIJiyrjYSR1iYURkPelRPYSP24?authuser=0&hl=zh-TW&rclk=1
ChIJiUPKLTd1iYUR_JBbZddcQ8I,Cafe Los 3 Hermanos,,False,6,"Name: Don Cafeto
link: https://www.google.com/maps/search/Don+Cafeto/@14.685574299999997,-90.6406975?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews

Name: Espressar Cafe
link: https://www.google.com/maps/search/Espressar+Cafe/@14.686833900000002,-90.6459338?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: La Casa del Taco
link: https://www.google.com/maps/search/La+Casa+del+Taco/@14.686116399999998,-90.64572009999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Cafe Los 3 Hermanos (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,4.3,10:00-22:00,Open All Days,+502 5756 4294,"Cafe Los 3 Hermanos, RN-5 5, 06, San Pedro Sacatepequez, Wei Di Ma La ",,https://www.google.com/maps/place/Caf%C3%A9+Los+3+Hermanos/data=!4m7!3m6!1s0x858975372dca4389:0xc2435cd7655b90fc!8m2!3d14.6846413!4d-90.6427559!16s%2Fg%2F11lsjvkrh6!19sChIJiUPKLTd1iYUR_JBbZddcQ8I?authuser=0&hl=zh-TW&rclk=1
ChIJD0DdeGB1iYUR618xlJVSK2A,Altos de santa alicia san pedro sacatepequez Guatemala,,False,6,"Name: El Cafetalito
link: https://www.google.com/maps/search/El+Cafetalito/@14.608973800000001,-90.66025259999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 424 reviews

Name: Cafeteria El Exito
link: https://www.google.com/maps/search/Cafeter%C3%ADa+El+Exito/@14.6865516,-90.6443984?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews

Name: Residenciales Alta Vista
link: https://www.google.com/maps/search/Residenciales+Alta+Vista/@14.688091900000002,-90.6206823?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews

Name: Adelicias
link: https://www.google.com/maps/search/Adelicias/@14.683977,-90.6398767?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: La vilka
link: https://www.google.com/maps/search/La+vilka/@14.684148200000001,-90.6418013?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Altos de santa alicia san pedro sacatepequez Guatemala (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPLwpPqo8dyzJQhVjcpJk7k3kd9hS_RcSCq8SoR=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.8,,Open All Days,,"M9M2+359 Altos de santa alicia san pedro sacatepequez Guatemala, Unnamed Road, San Pedro Sacatepequez, Wei Di Ma La ",,https://www.google.com/maps/place/Altos+de+santa+alicia+san+pedro+sacatepequez+Guatemala/data=!4m7!3m6!1s0x8589756078dd400f:0x602b529594315feb!8m2!3d14.682652!4d-90.6495274!16s%2Fg%2F11jlmj462l!19sChIJD0DdeGB1iYUR618xlJVSK2A?authuser=0&hl=zh-TW&rclk=1
