place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ-R-F0G2YYjkRsj9Hz84akvI,Khandelwal Namkeen And Bakery,,False,233,"Name: Khandelwal Bakery
link: https://www.google.com/maps/search/Khandelwal+Bakery/@22.2541466,76.03540319999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 203 reviews

Name: Khandelwal Namkeen Bhandar
link: https://www.google.com/maps/search/Khandelwal+Namkeen+Bhandar/@22.255619,76.036329?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Laxmi Sweets
link: https://www.google.com/maps/search/Laxmi+Sweets/@22.170363599999998,76.0671636?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: SHRI RAJASTHAN MISHTHAN BHANDAR
link: https://www.google.com/maps/search/SHRI+RAJASTHAN+MISHTHAN+BHANDAR/@22.1725626,76.0725994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.khandelwalbakery.com/,Khandelwal Namkeen And Bakery (Ye Zhu ),https://www.google.com/maps/contrib/111944825348799076545,https://lh5.googleusercontent.com/p/AF1QipNpUBYxOLWfhpHsL6zNZKLowRhyJ_CgSqfEEytH=w426-h240-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,3.9,10:30-20:00,Open All Days,+91 72802 33277,"Khandelwal Namkeen And Bakery, Sanawad, Madhya Pradesh 451111Yin Du ","Pi Sa , Pin Zhi , Chan Pin , Ke Ren ",https://www.google.com/maps/place/Khandelwal+Namkeen+And+Bakery/data=!4m7!3m6!1s0x3962986dd0851ff9:0xf2921acecf473fb2!8m2!3d22.1772053!4d76.0717684!16s%2Fg%2F11btsvdx3x!19sChIJ-R-F0G2YYjkRsj9Hz84akvI?authuser=0&hl=zh-TW&rclk=1
ChIJxRZmHyGZYjkRlGZJWQbbIds,Dev's Cafe,,False,14,"Name: Asha's Cafe and Restaurant
link: https://www.google.com/maps/search/Asha%27s+Cafe+and+Restaurant/@22.1776062,76.0718047?authuser=0&hl=zh-TW&entry=ttu
Reviews: 99 reviews

Name: The Underground Cafe
link: https://www.google.com/maps/search/The+Underground+Cafe/@22.1796151,76.0696016?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: The Chai Bar & Restro
link: https://www.google.com/maps/search/The+Chai+Bar+%26+Restro/@22.1722252,76.07146949999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews",https://devas-cafe.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Dev's Cafe (Ye Zhu ),https://www.google.com/maps/contrib/114508929160381339642,https://lh5.googleusercontent.com/p/AF1QipMEEjb9lgi82hfZVAJMLwfz5avJjAS1veVy5HU-=w533-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,10:00-22:30,Open All Days,,"Dev's Cafe, new, Jain Colony, behind sai hospital, Sanawad, Madhya Pradesh 451111Yin Du ",,https://www.google.com/maps/place/Dev%27s+Cafe/data=!4m7!3m6!1s0x396299211f6616c5:0xdb21db0659496694!8m2!3d22.179066!4d76.0687527!16s%2Fg%2F11nycbyl85!19sChIJxRZmHyGZYjkRlGZJWQbbIds?authuser=0&hl=zh-TW&rclk=1
ChIJxaqqLmmYYjkR1DEoRGdzciI,MAA NARMADA CYBER CAFE SANAWAD,,False,3,"Name: Modak
link: https://www.google.com/maps/search/Modak/@22.17397,76.07326189999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 75 reviews

Name: SGM COMPUTER & CAFE
link: https://www.google.com/maps/search/SGM+COMPUTER+%26+CAFE/@22.178003399999998,76.0696272?authuser=0&hl=zh-TW&entry=ttu
Reviews: 70 reviews

Name: The Underground Cafe
link: https://www.google.com/maps/search/The+Underground+Cafe/@22.1796151,76.0696016?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: Dev's Cafe
link: https://www.google.com/maps/search/Dev%27s+Cafe/@22.179066,76.06875269999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: The Chai Bar & Restro
link: https://www.google.com/maps/search/The+Chai+Bar+%26+Restro/@22.1722252,76.07146949999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews",https://maa-narmada-cyber-cafe.business.site/,MAA NARMADA CYBER CAFE SANAWAD (Ye Zhu ),https://www.google.com/maps/contrib/113534257892748163288,https://lh5.googleusercontent.com/p/AF1QipPdMTR_uDKaQNf2kPDZ1jl7twT46PP43tC0VSlY=w408-h313-k-no,Wang Ba ,Wang Ba ,5,09:30-19:30,Open All Days,+91 73545 24052,"WARD NO 15, MAA NARMADA CYBER CAFE SANAWAD, near BANK OF INDIA,INFRONT OF BIRLE HOSPITAL, Solanki Colony, Sanawad, Madhya Pradesh 451111Yin Du ",,https://www.google.com/maps/place/MAA+NARMADA+CYBER+CAFE+SANAWAD/data=!4m7!3m6!1s0x396298692eaaaac5:0x22727367442831d4!8m2!3d22.173817!4d76.067836!16s%2Fg%2F11f123k1z5!19sChIJxaqqLmmYYjkR1DEoRGdzciI?authuser=0&hl=zh-TW&rclk=1
ChIJ_____2uYYjkR7euIX9V0YkM,Boundless Coffee Co.,,False,,,http://boundlesscoffeeco.com/%3Futm_source%3Dgoogle%26utm_medium%3Dwix_google_business_profile%26utm_campaign%3D17088292127475854641,Boundless Coffee Co. (Ye Zhu ),https://www.google.com/maps/contrib/100102614025376508658,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YrdmS7NmwxMxpfYjUt7Bcw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=168.94792&pitch=0&thumbfov=100,Ka Pei Hong Bei Shang ,"Ka Pei Hong Bei Shang , Ka Pei Dian ",,,Open All Days,,"Boundless Coffee Co., 50, Kanchan Bagh Colony, Sanawad, Madhya Pradesh 451111Yin Du ",,https://www.google.com/maps/place/Boundless+Coffee+Co./data=!4m7!3m6!1s0x3962986bffffffff:0x436274d55f88ebed!8m2!3d22.1764007!4d76.068199!16s%2Fg%2F11v9c59kx4!19sChIJ_____2uYYjkR7euIX9V0YkM?authuser=0&hl=zh-TW&rclk=1
ChIJPzgXGV6bYjkRgeM8XPZqFRs,NAYARA cold drink,,False,,,http://www.mocold.com/,NAYARA cold drink (Ye Zhu ),https://www.google.com/maps/contrib/113109839263724597024,https://lh5.googleusercontent.com/p/AF1QipOEvH_bexBSwdX6km9hBqEyliJr0lKGNjEb_I6k=w408-h723-k-no,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,,"4X33+9JJ NAYARA cold drink, Khargone - Sanawad Rd, Bediya, Sikandar Khedi, Madhya Pradesh 451113Yin Du ",,https://www.google.com/maps/place/NAYARA+cold+drink/data=!4m7!3m6!1s0x39629b5e1917383f:0x1b156af65c3ce381!8m2!3d22.1034516!4d75.9540835!16s%2Fg%2F11vbbjyvf6!19sChIJPzgXGV6bYjkRgeM8XPZqFRs?authuser=0&hl=zh-TW&rclk=1
ChIJP130hCeZYjkRH3V3tNVgA80,Asha's Cafe and Restaurant,,False,99,"Name: Baba Restaurant
link: https://www.google.com/maps/search/Baba+Restaurant/@22.1723161,76.0698515?authuser=0&hl=zh-TW&entry=ttu
Reviews: 89 reviews

Name: The Underground Cafe
link: https://www.google.com/maps/search/The+Underground+Cafe/@22.1796151,76.0696016?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: Dev's Cafe
link: https://www.google.com/maps/search/Dev%27s+Cafe/@22.179066,76.06875269999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: The Chai Bar & Restro
link: https://www.google.com/maps/search/The+Chai+Bar+%26+Restro/@22.1722252,76.07146949999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews",,Asha's Cafe and Restaurant (Ye Zhu ),https://www.google.com/maps/contrib/118168544103976247478,https://lh5.googleusercontent.com/p/AF1QipM-_LMzyWXkxj2dwcclfNgqYCvbsDZso3rYEe1o=w426-h240-k-no,Kuai Can Dian ,Kuai Can Dian ,4.2,10:00-22:00,Open All Days,+91 99770 24818,"Asha's Cafe and Restaurant, Honda Showroom ke Samne, Sanawad, Madhya Pradesh 451111Yin Du ",,https://www.google.com/maps/place/Asha%27s+Cafe+and+Restaurant/data=!4m7!3m6!1s0x3962992784f45d3f:0xcd0360d5b477751f!8m2!3d22.1776062!4d76.0718047!16s%2Fg%2F11gy1yr1gx!19sChIJP130hCeZYjkRH3V3tNVgA80?authuser=0&hl=zh-TW&rclk=1
ChIJec8kcvuZYjkRhKhutySXBhs,Modak,,False,75,"Name: Asha's Cafe and Restaurant
link: https://www.google.com/maps/search/Asha%27s+Cafe+and+Restaurant/@22.1776062,76.0718047?authuser=0&hl=zh-TW&entry=ttu
Reviews: 99 reviews

Name: The Underground Cafe
link: https://www.google.com/maps/search/The+Underground+Cafe/@22.1796151,76.0696016?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: Dev's Cafe
link: https://www.google.com/maps/search/Dev%27s+Cafe/@22.179066,76.06875269999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Jain Cafe House
link: https://www.google.com/maps/search/Jain+Cafe+House/@22.172459699999997,76.0695752?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Modak (Ye Zhu ),https://www.google.com/maps/contrib/106086681573073080249,https://lh5.googleusercontent.com/p/AF1QipMzdt_mSEiReL1fPeaTgXnPSxhRfAaNVuIrkRN-=w427-h240-k-no,Can Ting ,"Can Ting , Ka Pei Dian , Kuai Can Dian , Cha Xie Dian ",4.5,09:30-23:00,Open All Days,,"Modak, 362, opposite sanawad post office, Sanawad, Madhya Pradesh 451111Yin Du ","Ka Pei Ting , Jia Ge ",https://www.google.com/maps/place/Modak/data=!4m7!3m6!1s0x396299fb7224cf79:0x1b069724b76ea884!8m2!3d22.17397!4d76.0732619!16s%2Fg%2F11rylq8ynv!19sChIJec8kcvuZYjkRhKhutySXBhs?authuser=0&hl=zh-TW&rclk=1
ChIJ7Q6O4G6YYjkRkjE9Kvdx2sw,SGM COMPUTER & CAFE,,False,70,"Name: The Underground Cafe
link: https://www.google.com/maps/search/The+Underground+Cafe/@22.1796151,76.0696016?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: babashree computers
link: https://www.google.com/maps/search/babashree+computers/@22.170698299999998,76.0629193?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: AGRAWAL CYBER CAFE
link: https://www.google.com/maps/search/AGRAWAL+CYBER+CAFE/@22.180446099999998,76.0705596?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",,SGM COMPUTER & CAFE (Ye Zhu ),https://www.google.com/maps/contrib/115756400875098356834,https://lh5.googleusercontent.com/p/AF1QipMQyaLEXLAzh9wfRM4cj0tPOvggct5Tov8X768b=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",3.8,24 Xiao Shi Ying Ye ,Open All Days,+91 72802 33009,"SGM COMPUTER & CAFE, Jawahar Marg, Sanawad, Madhya Pradesh 451111Yin Du ",,https://www.google.com/maps/place/SGM+COMPUTER+%26+CAFE/data=!4m7!3m6!1s0x3962986ee08e0eed:0xccda71f72a3d3192!8m2!3d22.1780034!4d76.0696272!16s%2Fg%2F1tc_jjtt!19sChIJ7Q6O4G6YYjkRkjE9Kvdx2sw?authuser=0&hl=zh-TW&rclk=1
ChIJo5G1vL6ZYjkRveKxin3_Wuk,The Underground Cafe,,False,26,"Name: Asha's Cafe and Restaurant
link: https://www.google.com/maps/search/Asha%27s+Cafe+and+Restaurant/@22.1776062,76.0718047?authuser=0&hl=zh-TW&entry=ttu
Reviews: 99 reviews

Name: Dev's Cafe
link: https://www.google.com/maps/search/Dev%27s+Cafe/@22.179066,76.06875269999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: The Chai Bar & Restro
link: https://www.google.com/maps/search/The+Chai+Bar+%26+Restro/@22.1722252,76.07146949999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: MAA NARMADA CYBER CAFE SANAWAD
link: https://www.google.com/maps/search/MAA+NARMADA+CYBER+CAFE+SANAWAD/@22.173817,76.067836?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,The Underground Cafe (Ye Zhu ),https://www.google.com/maps/contrib/104867446657367878685,https://lh5.googleusercontent.com/p/AF1QipMgQ1K8I3eiCTfSZQQG1bgMmNf0eNvFseolcy9b=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,,Open All Days,,"The Underground Cafe, Jawahar Marg, Sanawad, Madhya Pradesh 451111Yin Du ",,https://www.google.com/maps/place/The+Underground+Cafe/data=!4m7!3m6!1s0x396299bebcb591a3:0xe95aff7d8ab1e2bd!8m2!3d22.1796151!4d76.0696016!16s%2Fg%2F11r2jkgy0k!19sChIJo5G1vL6ZYjkRveKxin3_Wuk?authuser=0&hl=zh-TW&rclk=1
ChIJq2ac-fyZYjkR0lkREQDCrD8,The unique cafe and restaurant,,False,22,"Name: Asha's Cafe and Restaurant
link: https://www.google.com/maps/search/Asha%27s+Cafe+and+Restaurant/@22.1776062,76.0718047?authuser=0&hl=zh-TW&entry=ttu
Reviews: 99 reviews

Name: Modak
link: https://www.google.com/maps/search/Modak/@22.17397,76.07326189999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 75 reviews

Name: The Underground Cafe
link: https://www.google.com/maps/search/The+Underground+Cafe/@22.1796151,76.0696016?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: Dev's Cafe
link: https://www.google.com/maps/search/Dev%27s+Cafe/@22.179066,76.06875269999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: The Unique Cafe House
link: https://www.google.com/maps/search/The+Unique+Cafe+House/@22.183166,76.0650923?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,The unique cafe and restaurant (Ye Zhu ),https://www.google.com/maps/contrib/110968452827370337228,https://lh5.googleusercontent.com/p/AF1QipM8TtW6k7tAw6rimBg2VbP079UdEzcBMSokCW8Q=w408-h306-k-no,Kuai Can Dian ,Kuai Can Dian ,5,09:00-23:00,Open All Days,,"The unique cafe and restaurant, Pandit Colony, near GIIT Computer Center, Sanawad, Madhya Pradesh 451111Yin Du ",,https://www.google.com/maps/place/The+unique+cafe+and+restaurant/data=!4m7!3m6!1s0x396299fcf99c66ab:0x3facc200111159d2!8m2!3d22.177253!4d76.0696516!16s%2Fg%2F11s8k2z97x!19sChIJq2ac-fyZYjkR0lkREQDCrD8?authuser=0&hl=zh-TW&rclk=1
