place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJdWAt__FViYURyB6Ap3yEMB4,Maxi Despensa Sta Cruz Del Quiche,,False,907,"Name: Despensa Familiar
link: https://www.google.com/maps/search/Despensa+Familiar/@15.029711199999998,-91.1474341?authuser=0&hl=zh-TW&entry=ttu
Reviews: 530 reviews

Name: Tienda
link: https://www.google.com/maps/search/Tienda/@15.0346675,-91.150272?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Tienda Mary
link: https://www.google.com/maps/search/Tienda+Mary/@15.024626999999999,-91.15490419999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://maxidespensa.com.gt/%3Futm_source%3Dtoplocal%26utm_medium%3Dcpm%26utm_campaign%3Dpreciopali_conceptual_marca%26utm_content%3Dvideo_1080x1080_macroseason%26utm_term%3Dopen_home,Maxi Despensa Sta Cruz Del Quiche (Ye Zhu ),https://www.google.com/maps/contrib/108684846020917569781,https://lh5.googleusercontent.com/p/AF1QipMtT-azVYmOiryrAvTJCto0wxBiD24U05gZbRzT=w426-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.1,07:00-21:00,Open All Days,,"Maxi Despensa Sta Cruz Del Quiche, Santa Cruz del Quiche, Wei Di Ma La ","Jia Ge , He , Gong Ying , Zhi Fu , Ke Fu , Wu Zhang Ai , Ting Che , Jia , Shi Jue ",https://www.google.com/maps/place/Maxi+Despensa+Sta+Cruz+Del+Quiche/data=!4m7!3m6!1s0x858955f1ff2d6075:0x1e30847ca7801ec8!8m2!3d15.0180687!4d-91.1493899!16s%2Fg%2F11c45lt4vq!19sChIJdWAt__FViYURyB6Ap3yEMB4?authuser=0&hl=zh-TW&rclk=1
ChIJHwmdgR3-i4UR9RHquL6OkUo,Despensa Familiar,,False,530,"Name: Maxi Despensa Sta Cruz Del Quiche
link: https://www.google.com/maps/search/Maxi+Despensa+Sta+Cruz+Del+Quiche/@15.018068699999999,-91.1493899?authuser=0&hl=zh-TW&entry=ttu
Reviews: 907 reviews

Name: Supermercado La Bodegona
link: https://www.google.com/maps/search/Supermercado+La+Bodegona/@15.028404799999999,-91.1493325?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Tienda
link: https://www.google.com/maps/search/Tienda/@15.0346675,-91.150272?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",https://maxidespensa.com.gt/%3Futm_source%3Dtoplocal%26utm_medium%3Dcpm%26utm_campaign%3Dpreciopali_conceptual_marca%26utm_content%3Dvideo_1080x1080_macroseason%26utm_term%3Dopen_home,Despensa Familiar (Ye Zhu ),https://www.google.com/maps/contrib/109622911205193940807,https://lh5.googleusercontent.com/p/AF1QipN1j8buk0k55UsvH75Z0neJi5HXMcsh1_I4m5kk=w408-h725-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.8,07:00-20:00,Open All Days,+502 3083 4311,"Despensa Familiar, 1a Av y 4a Calle Esquina, Santa Cruz del Quiche, Wei Di Ma La ","Jia Ge , Shou Yin , Ke Fu , Ting Che Chang ",https://www.google.com/maps/place/Despensa+Familiar/data=!4m7!3m6!1s0x858bfe1d819d091f:0x4a918ebeb8ea11f5!8m2!3d15.0297112!4d-91.1474341!16s%2Fg%2F1hc4hbxgf!19sChIJHwmdgR3-i4UR9RHquL6OkUo?authuser=0&hl=zh-TW&rclk=1
ChIJbXxN8o1ViYURdtpJYGYHZl8,Finca las Gardenias Hotel y Restaurante,,False,58,"Name: Restaurante Hacienda San Angel
link: https://www.google.com/maps/search/Restaurante+Hacienda+San+Angel/@15.0213516,-91.1495587?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1107 reviews

Name: Hotel Casa Del Campo
link: https://www.google.com/maps/search/Hotel+Casa+Del+Campo/@15.017027399999998,-91.1460396?authuser=0&hl=zh-TW&entry=ttu
Reviews: 136 reviews

Name: Restaurante Tipico
link: https://www.google.com/maps/search/Restaurante+T%C3%ADpico/@15.030549500000001,-91.1491908?authuser=0&hl=zh-TW&entry=ttu
Reviews: 92 reviews

Name: Restaurante San martin
link: https://www.google.com/maps/search/Restaurante+San+martin/@15.0331407,-91.1487449?authuser=0&hl=zh-TW&entry=ttu
Reviews: 84 reviews

Name: Cabana Los Cipresales
link: https://www.google.com/maps/search/Caba%C3%B1a+Los+Cipresales/@15.016199700000001,-91.14586849999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/Route-Kilometro-128-Restaurant-111179513918844/,Finca las Gardenias Hotel y Restaurante (Ye Zhu ),https://www.google.com/maps/contrib/111686343687578564243,https://lh5.googleusercontent.com/p/AF1QipN9oIJznUXefTIP0asQaSSJ9J58xEJb0fd-3qYN=w408-h306-k-no,Jiu Dian ,Jiu Dian ,4.4,,Open All Days,+502 3863 4456,"Finca las Gardenias Hotel y Restaurante, Salida a Las Ruinas, Santa Cruz del Quiche, Wei Di Ma La ",,https://www.google.com/maps/place/Finca+las+Garde%C3%B1ias+Hotel+y+Restaurante/data=!4m7!3m6!1s0x8589558df24d7c6d:0x5f6607666049da76!8m2!3d15.0252024!4d-91.1578395!16s%2Fg%2F11kmntzl7h!19sChIJbXxN8o1ViYURdtpJYGYHZl8?authuser=0&hl=zh-TW&rclk=1
ChIJCbYQg_r_i4URAuWgD3JVPJU,Coffee Friends,,False,57,"Name: FRIENDS la Casa De Las Pupusas
link: https://www.google.com/maps/search/FRIENDS+la+Casa+De+Las+Pupusas/@15.0262271,-91.1545642?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews

Name: Restaurante Tipico
link: https://www.google.com/maps/search/Restaurante+T%C3%ADpico/@15.030549500000001,-91.1491908?authuser=0&hl=zh-TW&entry=ttu
Reviews: 92 reviews

Name: Casa Caela Cafe
link: https://www.google.com/maps/search/Casa+Caela+Caf%C3%A9/@15.032725800000001,-91.15172580000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: CAFFE ROMA
link: https://www.google.com/maps/search/CAFFE+ROMA/@15.030997099999999,-91.1534415?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Coffee friends
link: https://www.google.com/maps/search/Coffee+friends/@15.0132398,-91.0688863?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.facebook.com/Coffee-Friends-1312253278942345/,Coffee Friends (Ye Zhu ),https://www.google.com/maps/contrib/110400013793435153013,https://lh5.googleusercontent.com/p/AF1QipNkxQI4_VkuFZt2ZHKmjD2AnJWpxDvlysf0HePr=w408-h306-k-no,Can Ting ,Can Ting ,4.2,07:00-21:00,Open All Days,+502 7755 2088,"Coffee Friends, 2da. Av. 1-25. Zona 1. Santa Cruz del Quiche Santa Cruz del Quiche, 14401Wei Di Ma La ",Ke Li Bing ,https://www.google.com/maps/place/Coffee+Friends/data=!4m7!3m6!1s0x858bfffa8310b609:0x953c55720fa0e502!8m2!3d15.0313469!4d-91.1493121!16s%2Fg%2F11h1612lt9!19sChIJCbYQg_r_i4URAuWgD3JVPJU?authuser=0&hl=zh-TW&rclk=1
ChIJOyE-1rFViYURWfSUOFcdK5k,Alarcon Bakery,,False,14,"Name: Panaderia Zuly
link: https://www.google.com/maps/search/Panaderia+Zuly/@15.0277909,-91.15049239999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 106 reviews

Name: Cafe Helen
link: https://www.google.com/maps/search/Caf%C3%A9+Hel%C3%A9n/@15.028477899999999,-91.1451762?authuser=0&hl=zh-TW&entry=ttu
Reviews: 52 reviews

Name: Pupuseria ""El Chef""
link: https://www.google.com/maps/search/Pupuser%C3%ADa+%22El+Chef%22/@15.028206899999999,-91.15295590000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 40 reviews

Name: Cafe de especialidad El atrio
link: https://www.google.com/maps/search/Caf%C3%A9+de+especialidad+El+atrio/@15.027758299999999,-91.14962299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Pan & Pasteles Corazon
link: https://www.google.com/maps/search/Pan+%26+Pasteles+Coraz%C3%B3n/@15.0292626,-91.1465661?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://alarconbakery.wixsite.com/alarconbakery,Alarcon Bakery (Ye Zhu ),https://www.google.com/maps/contrib/101551814296853646314,https://lh5.googleusercontent.com/p/AF1QipOU32KoNOOs2hNs9jzQmaMXleEqwmzzpU_Zjr8u=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,08:00-18:30,Open All Days,+502 4010 2247,"Alarcon Bakery, 2 avenida 13-06, Santa Cruz del Quiche, Wei Di Ma La ","Chan Pin , Fu You , Tian Dian ",https://www.google.com/maps/place/Alarc%C3%B3n+Bakery/data=!4m7!3m6!1s0x858955b1d63e213b:0x992b1d573894f459!8m2!3d15.0244162!4d-91.1491674!16s%2Fg%2F11h53mr6mj!19sChIJOyE-1rFViYURWfSUOFcdK5k?authuser=0&hl=zh-TW&rclk=1
ChIJ7aDeAWZViYURTtblBZwUxuY,Miche Coffe,,False,4,"Name: Casa Caela Cafe
link: https://www.google.com/maps/search/Casa+Caela+Caf%C3%A9/@15.032725800000001,-91.15172580000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: MI FONDITA SAN JUAN
link: https://www.google.com/maps/search/MI+FONDITA+SAN+JUAN/@15.040681399999999,-91.1619565?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: DeTaquito
link: https://www.google.com/maps/search/DeTaquito/@15.022629300000002,-91.1481938?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Cafe Taquito
link: https://www.google.com/maps/search/Caf%C3%A9+Taquito/@15.022598100000002,-91.1490785?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://m.facebook.com/Miche-Coffe-100209655226584/,Miche Coffe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNmqvppJd-ReVHHXHpmz2vIniMvWgoEwRDt5fVM=w408-h368-k-no,Zi Zhu Can Ting ,"Zi Zhu Can Ting , Ka Pei Dian ",4,24 Xiao Shi Ying Ye ,Open All Days,,"Miche Coffe, km 160 entrada, Wei Di Ma La ",,https://www.google.com/maps/place/Miche+Coffe/data=!4m7!3m6!1s0x8589556601dea0ed:0xe6c6149c05e5d64e!8m2!3d15.0079052!4d-91.1380734!16s%2Fg%2F11ll71zcmy!19sChIJ7aDeAWZViYURTtblBZwUxuY?authuser=0&hl=zh-TW&rclk=1
ChIJSTKHDRz-i4UREz4cSJgd2YI,Happy Shake,,False,3,"Name: Restaurante San martin
link: https://www.google.com/maps/search/Restaurante+San+martin/@15.0331407,-91.1487449?authuser=0&hl=zh-TW&entry=ttu
Reviews: 84 reviews

Name: Cafe Helen
link: https://www.google.com/maps/search/Caf%C3%A9+Hel%C3%A9n/@15.028477899999999,-91.1451762?authuser=0&hl=zh-TW&entry=ttu
Reviews: 52 reviews

Name: El Kiosco D-Lux
link: https://www.google.com/maps/search/El+Kiosco+D-Lux/@15.035744099999997,-91.1507227?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Comedor ""Hilda""
link: https://www.google.com/maps/search/Comedor+%22Hilda%22/@15.0335656,-91.1487638?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Cafeteria Los Celajes
link: https://www.google.com/maps/search/Cafeter%C3%ADa+Los+Celajes/@15.029208899999999,-91.1486328?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://happy-shake.webnode.es/,Happy Shake (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Qi3f7O5rBr1eegb2OECf3A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=121.80221&pitch=0&thumbfov=100,Ka Pei Ting ,Ka Pei Ting ,5,,Open All Days,+502 5817 9166,"Happy Shake, 2 avenida 4-29 zona 2, Wei Di Ma La ",,https://www.google.com/maps/place/Happy+Shake/data=!4m7!3m6!1s0x858bfe1c0d873249:0x82d91d98481c3e13!8m2!3d15.0346001!4d-91.1486667!16s%2Fg%2F11hc_v_8n9!19sChIJSTKHDRz-i4UREz4cSJgd2YI?authuser=0&hl=zh-TW&rclk=1
ChIJFyCPKQP_i4UR7IJVUyo4upo,Mini Bar del Tio Perry,,False,1,"Name: Granizadas Arcoiris Sucursal 1
link: https://www.google.com/maps/search/Granizadas+Arcoiris+Sucursal+1/@15.026494900000001,-91.1527247?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews

Name: Granizadas Arcoiris
link: https://www.google.com/maps/search/Granizadas+Arcoiris/@15.028217699999999,-91.1494395?authuser=0&hl=zh-TW&entry=ttu
Reviews: 37 reviews

Name: Brendy's Cafe
link: https://www.google.com/maps/search/Brendy%E2%80%99s+Caf%C3%A9/@15.027362600000002,-91.1524951?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Granizadas Arcoiris No.3
link: https://www.google.com/maps/search/Granizadas+Arcoiris+No.3/@15.030360799999997,-91.1468948?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://instagram.com/minibartioperry%3Figshid%3DMzRlODBiNWFlZA%3D%3D,Mini Bar del Tio Perry (Ye Zhu ),https://www.google.com/maps/contrib/113291457917380557430,https://lh5.googleusercontent.com/p/AF1QipMB3F-zrendE__6wgZlqAmpCrmEzORBiB2kKdYZ=w520-h240-k-no,Jiu Ba ,Jiu Ba ,5,12:00-19:00,Open All Days,+502 3172 2804,"Mini Bar del Tio Perry, 4ta calle 2-13, Santa Cruz del Quiche 14001Wei Di Ma La ",,https://www.google.com/maps/place/Mini+Bar+del+T%C3%ADo+Perry/data=!4m7!3m6!1s0x858bff03298f2017:0x9aba382a535582ec!8m2!3d15.0299882!4d-91.1467786!16s%2Fg%2F11rp36_jmf!19sChIJFyCPKQP_i4UR7IJVUyo4upo?authuser=0&hl=zh-TW&rclk=1
ChIJ4cmL4fVViYURmHu7X99sZ70,DC La Tiendita,,False,1,"Name: Central de Dulces SL
link: https://www.google.com/maps/search/Central+de+Dulces+SL/@15.027053500000001,-91.1466028?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Tienda La Economica
link: https://www.google.com/maps/search/Tienda+La+Economica/@15.034750700000002,-91.1526411?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Tienda Elena
link: https://www.google.com/maps/search/Tienda+Elena/@15.0272869,-91.1488016?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Tienda Casa Rosada
link: https://www.google.com/maps/search/Tienda+Casa+Rosada/@15.029986200000002,-91.1469382?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Un Mundo de Variedades
link: https://www.google.com/maps/search/Un+Mundo+de+Variedades/@15.0236312,-91.1496969?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/dcdulces.creaciones,DC La Tiendita (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=l2qlSfVhPXBmb-fwF4WMUg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=157.39088&pitch=0&thumbfov=100,Jing Pin Dian ,Jing Pin Dian ,5,,Open All Days,,"DC La Tiendita, 7 calle 2-55 zona 1, Edificio MTS primer nivel, Santa Cruz de Quiche 14001Wei Di Ma La ",,https://www.google.com/maps/place/DC+La+Tiendita/data=!4m7!3m6!1s0x858955f5e18bc9e1:0xbd676cdf5fbb7b98!8m2!3d15.0284096!4d-91.1497868!16s%2Fg%2F11fz97421q!19sChIJ4cmL4fVViYURmHu7X99sZ70?authuser=0&hl=zh-TW&rclk=1
ChIJQ__wU39ViYURwPxJuzITQec,BOBARISTA - El Encuentro Santa Cruz del Quiche,,False,,,https://flow.page/bobaristagt,BOBARISTA - El Encuentro Santa Cruz del Quiche (Ye Zhu ),https://www.google.com/maps/contrib/105561421305514177596,https://lh5.googleusercontent.com/p/AF1QipO5-sE9Qev5qFzNyXiYAtR5_0ZqRMPpkl1HQgw=w408-h306-k-no,Zhen Zhu Nai Cha Dian ,Zhen Zhu Nai Cha Dian ,,,Open All Days,,"BOBARISTA - El Encuentro Santa Cruz del Quiche, 8 Avenida 18-20, Santa Cruz del Quiche 14004Wei Di Ma La ",,https://www.google.com/maps/place/BOBARISTA+-+El+Encuentro+Santa+Cruz+del+Quich%C3%A9/data=!4m7!3m6!1s0x8589557f53f0ff43:0xe7411332bb49fcc0!8m2!3d15.0217108!4d-91.1525476!16s%2Fg%2F11kt040t40!19sChIJQ__wU39ViYURwPxJuzITQec?authuser=0&hl=zh-TW&rclk=1
