place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJfZ3dUZBwuJQRyoLDKnlfBk8,Graal Sao Carlos,,False,5836,"Name: Posto Graal Rubi
link: https://www.google.com/maps/search/Posto+Graal+Rubi/@-22.1022607,-47.8240901?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4816 reviews

Name: Curinga Restaurante
link: https://www.google.com/maps/search/Curinga+Restaurante/@-22.003847099999998,-47.895916?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1577 reviews

Name: Restaurante Sao Carlos
link: https://www.google.com/maps/search/Restaurante+S%C3%A3o+Carlos/@-22.016071399999998,-47.8888624?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1513 reviews

Name: L'Osteria | Sao Carlos
link: https://www.google.com/maps/search/L%27Osteria+%7C+S%C3%A3o+Carlos/@-22.010441,-47.890726?authuser=0&hl=zh-TW&entry=ttu
Reviews: 831 reviews

Name: Gulla's restaurante
link: https://www.google.com/maps/search/Gulla%27s+restaurante/@-22.0179969,-47.8923215?authuser=0&hl=zh-TW&entry=ttu
Reviews: 335 reviews",https://www.redegraal.com.br/unidade_graal/graal-sao-carlos/,Graal Sao Carlos (Ye Zhu ),https://www.google.com/maps/contrib/118127293781665011297,https://lh5.googleusercontent.com/p/AF1QipOaoehPlSlxcVjva-NDyIG2DDLhiLf5LG1r17qH=w408-h306-k-no,Can Ting ,"Can Ting , Er Tong Guan , Ka Pei Dian , Bian Li Dian , Kuai Can Dian , You Zhan , Shi Chang , San Wen Zhi Dian , Huo Che Xiu Xi Zhan ",4.2,24 Xiao Shi Ying Ye ,Open All Days,+55 16 3509-9990,"Graal Sao Carlos - BR-267, 5444-5110 - Ceat, Sao Carlos - SP, 13564-800Ba Xi ","Yu Shi , Gao Su Gong Lu , Pin Wei , Tui , Ji Chang ",https://www.google.com/maps/place/Graal+S%C3%A3o+Carlos/data=!4m7!3m6!1s0x94b8709051dd9d7d:0x4f065f792ac382ca!8m2!3d-21.9847163!4d-47.9097961!16s%2Fg%2F11c32db9r7!19sChIJfZ3dUZBwuJQRyoLDKnlfBk8?authuser=0&hl=zh-TW&rclk=1
ChIJhTuWfjF3uJQRRB8mZw3FCEk,Kamzu Cookie Shop,,False,4114,"Name: Le Gaban
link: https://www.google.com/maps/search/Le+Gaban/@-22.0112223,-47.886314?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1782 reviews

Name: Teu Cafe
link: https://www.google.com/maps/search/Teu+Caf%C3%A9/@-22.0131068,-47.8909258?authuser=0&hl=zh-TW&entry=ttu
Reviews: 319 reviews

Name: Donuts House Cafe
link: https://www.google.com/maps/search/Donuts+House+Cafe/@-22.0205926,-47.8927251?authuser=0&hl=zh-TW&entry=ttu
Reviews: 63 reviews

Name: Konkakau Gourmet
link: https://www.google.com/maps/search/Konkakau+Gourmet/@-22.0142606,-47.8912221?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",http://kamzu.com.br/,Kamzu Cookie Shop (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMs94JUqiB4WYc2qY2KBpTuukeWRz06v0MX1KfI=w408-h307-k-no,Qu Qi Bing Dian ,"Qu Qi Bing Dian , Ka Pei Ting , Ka Pei Dian ",4.7,08:00-20:00,Open All Days,+55 16 3416-4640,"Kamzu Cookie Shop - R. Riachuelo, 1131 - Centro, Sao Carlos - SP, 13560-110Ba Xi ","Ka Pei Ting , Guo Jiang , Zhuo , Guang Chang , Ke Ke , Zao Wu Can ",https://www.google.com/maps/place/Kamzu+Cookie+Shop/data=!4m7!3m6!1s0x94b877317e963b85:0x4908c50d67261f44!8m2!3d-22.0122581!4d-47.8959622!16s%2Fg%2F11c3q3cfls!19sChIJhTuWfjF3uJQRRB8mZw3FCEk?authuser=0&hl=zh-TW&rclk=1
ChIJW4eif6VwuJQRUF0dX-V_B34,Padaria Planalto Sao Carlos,,False,1915,"Name: Padaria e Confeitaria Toninho
link: https://www.google.com/maps/search/Padaria+e+Confeitaria+Toninho/@-22.0001189,-47.915253?authuser=0&hl=zh-TW&entry=ttu
Reviews: 150 reviews

Name: Padaria Fernandes
link: https://www.google.com/maps/search/Padaria+Fernandes/@-21.996693,-47.9212673?authuser=0&hl=zh-TW&entry=ttu
Reviews: 98 reviews

Name: Padaria & Cafeteria Paulistano
link: https://www.google.com/maps/search/Padaria+%26+Cafeteria+Paulistano/@-21.990015,-47.899274600000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 82 reviews

Name: Padaria Sao Carlos
link: https://www.google.com/maps/search/Padaria+Sao+Carlos/@-22.0577972,-47.9114532?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews",https://instagram.com/padariaplanaltosaocarlos%3Figshid%3DMzMyNGUyNmU2YQ%3D%3D,Padaria Planalto Sao Carlos (Ye Zhu ),https://www.google.com/maps/contrib/105480145961860798018,https://lh5.googleusercontent.com/p/AF1QipOtmHTvMt7lQK85P37fxFOe7g0uoX660YbYlkt-=w408-h544-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Ka Pei Dian , Tang Guo Gao Bing Dian ",4.7,05:30-20:30,Open All Days,+55 16 3374-4498,"Padaria Planalto Sao Carlos - R. Alberto Lanzoni, 656 - Parque Santa Felicia Jardim, Sao Carlos - SP, 13562-390Ba Xi ","Wu Can , Tai Shi , Quan Mai ",https://www.google.com/maps/place/Padaria+Planalto+S%C3%A3o+Carlos/data=!4m7!3m6!1s0x94b870a57fa2875b:0x7e077fe55f1d5d50!8m2!3d-22.0031504!4d-47.9143533!16s%2Fg%2F11c0ps71q7!19sChIJW4eif6VwuJQRUF0dX-V_B34?authuser=0&hl=zh-TW&rclk=1
ChIJQ7HbJil3uJQRAA-6FudJ9tw,Le Gaban,,False,1781,"Name: Jack's Cafe - Cafeteria
link: https://www.google.com/maps/search/Jack%C2%B4s+Caf%C3%A9+-+Cafeteria/@-22.010651199999998,-47.8917679?authuser=0&hl=zh-TW&entry=ttu
Reviews: 438 reviews

Name: Shot Cafe
link: https://www.google.com/maps/search/Shot+Caf%C3%A9/@-22.011203300000002,-47.89734310000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 369 reviews

Name: Cafes Pagliaroni - Cafeteria Sao Carlos
link: https://www.google.com/maps/search/Caf%C3%A9s+Pagliaroni+-+Cafeteria+S%C3%A3o+Carlos/@-22.0116119,-47.8948478?authuser=0&hl=zh-TW&entry=ttu
Reviews: 139 reviews",http://www.legaban.com.br/,Le Gaban (Ye Zhu ),https://www.google.com/maps/contrib/117238338547124954387,https://lh5.googleusercontent.com/p/AF1QipOjrwj6ALCFm_eoJSU2J8cBqU12XES2xpBuSfG7=w408-h408-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",4.8,08:00-18:30,Xing Qi Yi ,+55 16 3416-9505,"Le Gaban - Av. Dr. Carlos Botelho, 2491 - Centro, Sao Carlos - SP, 13561-003Ba Xi ","Huan Jing , Dan Gao , Guo Jiang , Pai , Hua Yuan , Ji Rou ",https://www.google.com/maps/place/Le+Gaban/data=!4m7!3m6!1s0x94b8772926dbb143:0xdcf649e716ba0f00!8m2!3d-22.0112223!4d-47.886314!16s%2Fg%2F11g9q6x6d1!19sChIJQ7HbJil3uJQRAA-6FudJ9tw?authuser=0&hl=zh-TW&rclk=1
ChIJE4iuIMlwuJQRZcFSBzkjrlU,Garden Bakery and Cafe,,False,1742,"Name: Jack's Cafe - Cafeteria
link: https://www.google.com/maps/search/Jack%C2%B4s+Caf%C3%A9+-+Cafeteria/@-22.010651199999998,-47.8917679?authuser=0&hl=zh-TW&entry=ttu
Reviews: 438 reviews

Name: Cafes Pagliaroni - Cafeteria Sao Carlos
link: https://www.google.com/maps/search/Caf%C3%A9s+Pagliaroni+-+Cafeteria+S%C3%A3o+Carlos/@-22.0116119,-47.8948478?authuser=0&hl=zh-TW&entry=ttu
Reviews: 139 reviews

Name: Kafe e Emporio Sao Carlos
link: https://www.google.com/maps/search/Kaf%C3%A9+e+Emp%C3%B3rio+S%C3%A3o+Carlos/@-22.0088048,-47.888788299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 107 reviews

Name: Donuts House Cafe
link: https://www.google.com/maps/search/Donuts+House+Cafe/@-22.0205926,-47.8927251?authuser=0&hl=zh-TW&entry=ttu
Reviews: 63 reviews

Name: Casa Tiradentes 144
link: https://www.google.com/maps/search/Casa+Tiradentes+144/@-22.0096594,-47.890477?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews",https://linktr.ee/jardim.cafeteria,Garden Bakery and Cafe (Ye Zhu ),https://www.google.com/maps/contrib/110277993727070855784,https://lh5.googleusercontent.com/p/AF1QipM0W13PA9YntB2L4q0CEAWlVIJBimV9wPp0_k_B=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Mei Shi Can Che Dian , Han Bao Can Ting , Can Ting ",4.7,08:00-22:00,Xing Qi Yi ,+55 16 3361-7832,"Garden Bakery and Cafe - Alameda dos Crisantemos, 210 - Cidade Jardim, Sao Carlos - SP, 13566-550Ba Xi ","Guo Jiang , Ping Ban , Qing Tang , Hu Luo Bo Dan Gao , Zhu Can ",https://www.google.com/maps/place/Garden+Bakery+and+Cafe/data=!4m7!3m6!1s0x94b870c920ae8813:0x55ae23390752c165!8m2!3d-22.0006851!4d-47.898041!16s%2Fg%2F11dxjyx2sy!19sChIJE4iuIMlwuJQRZcFSBzkjrlU?authuser=0&hl=zh-TW&rclk=1
ChIJuYPKxup3uJQRdUKY3qOTQtU,Beco da Torta,,False,789,"Name: Maria Doce
link: https://www.google.com/maps/search/Maria+Doce/@-22.0128703,-47.896647699999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 787 reviews

Name: BomBocado
link: https://www.google.com/maps/search/BomBocado/@-22.015144400000004,-47.891627799999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 510 reviews

Name: Doceria GlaceArt
link: https://www.google.com/maps/search/Doceria+GlaceArt/@-22.0138499,-47.8767249?authuser=0&hl=zh-TW&entry=ttu
Reviews: 296 reviews

Name: Casa de Bolos
link: https://www.google.com/maps/search/Casa+de+Bolos/@-22.0106862,-47.8910012?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews

Name: Maricota Bolos e Doces
link: https://www.google.com/maps/search/Maricota+Bolos+e+Doces/@-22.0027057,-47.895069?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",https://becodatorta.com.br/,Beco da Torta (Ye Zhu ),https://www.google.com/maps/contrib/107217348157724828876,https://lh5.googleusercontent.com/p/AF1QipNtiSSCPsb6priUla1kndJDtnLV-DFa1PyXzb54=w408-h544-k-no,Xian Bing Dian ,"Xian Bing Dian , Ka Pei Dian , Can Ting ",4.8,11:00-22:00,Xing Qi Yi ,+55 16 99777-0658,"Beco da Torta - R. Aquidaban, 1368 - Centro, Sao Carlos - SP, 13560-120Ba Xi ","Guo Jiang , Huan Jing , Yan , Cai Dan , Guo Zhi , Ji Rou , Zhuang Xiu , Qia Bu Qi Nuo ",https://www.google.com/maps/place/Beco+da+Torta/data=!4m7!3m6!1s0x94b877eac6ca83b9:0xd54293a3de984275!8m2!3d-22.011863!4d-47.8947645!16s%2Fg%2F11h58mdmxp!19sChIJuYPKxup3uJQRdUKY3qOTQtU?authuser=0&hl=zh-TW&rclk=1
ChIJ6wH9UTF3uJQRaeWReHMjh1M,Maria Doce,,False,787,"Name: Beco da Torta
link: https://www.google.com/maps/search/Beco+da+Torta/@-22.011862999999998,-47.8947645?authuser=0&hl=zh-TW&entry=ttu
Reviews: 789 reviews

Name: BomBocado
link: https://www.google.com/maps/search/BomBocado/@-22.015144400000004,-47.891627799999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 510 reviews

Name: Sodie Doces
link: https://www.google.com/maps/search/Sodi%C3%AA+Doces/@-22.0238621,-47.8904098?authuser=0&hl=zh-TW&entry=ttu
Reviews: 77 reviews

Name: Maricota Bolos e Doces
link: https://www.google.com/maps/search/Maricota+Bolos+e+Doces/@-22.0027057,-47.895069?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Rosa Maria bolos e cia
link: https://www.google.com/maps/search/Rosa+Maria+bolos+e+cia/@-22.0337897,-47.903658199999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",http://www.mariadoce.com.br/,Maria Doce (Ye Zhu ),https://www.google.com/maps/contrib/103638430028831853789,https://lh5.googleusercontent.com/p/AF1QipOoG5Oc4rlyruxTDOdvpAeqmyG1dg7rYtmtTOhq=w426-h240-k-no,Gao Bing Dian ,"Gao Bing Dian , Tang Guo Dian , Ka Pei Dian , Tang Guo Gao Bing Dian ",4.7,10:00-19:00,"Xing Qi Yi , Xing Qi Ri ",+55 16 3372-3978,"Maria Doce - R. Visc. de Inhauma, 1264 - Centro, Sao Carlos - SP, 13560-190Ba Xi ","Guo Jiang , Pai , Huan Jing , Ka Pei Ting , Tuan Dui , Ji Rou , Cao Mei , Nai Fen ",https://www.google.com/maps/place/Maria+Doce/data=!4m7!3m6!1s0x94b8773151fd01eb:0x538723737891e569!8m2!3d-22.0128703!4d-47.8966477!16s%2Fg%2F11h0kc648!19sChIJ6wH9UTF3uJQRaeWReHMjh1M?authuser=0&hl=zh-TW&rclk=1
ChIJ-4hYYCF3uJQRRGjw7WMUAVA,Casa Catarino,,False,449,"Name: Choperia Rola Papo
link: https://www.google.com/maps/search/Choperia+Rola+Papo/@-22.016951499999998,-47.88824770000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 969 reviews

Name: Jack's Cafe - Cafeteria
link: https://www.google.com/maps/search/Jack%C2%B4s+Caf%C3%A9+-+Cafeteria/@-22.010651199999998,-47.8917679?authuser=0&hl=zh-TW&entry=ttu
Reviews: 438 reviews

Name: Cafes Pagliaroni - Cafeteria Sao Carlos
link: https://www.google.com/maps/search/Caf%C3%A9s+Pagliaroni+-+Cafeteria+S%C3%A3o+Carlos/@-22.0116119,-47.8948478?authuser=0&hl=zh-TW&entry=ttu
Reviews: 139 reviews

Name: Varanda's Cafe-Bar e Estacionamento
link: https://www.google.com/maps/search/Varanda%27s+Caf%C3%A9-Bar+e+Estacionamento/@-22.0243845,-47.8902533?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: Casa Tiradentes 144
link: https://www.google.com/maps/search/Casa+Tiradentes+144/@-22.0096594,-47.890477?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews",http://casacatarino.com.br/,Casa Catarino (Ye Zhu ),https://www.google.com/maps/contrib/112582074986785372458,https://lh5.googleusercontent.com/p/AF1QipPCdWVpKb87EESATzqojVnXerI_6L4zK0y8hbvE=w426-h240-k-no,Pi Jiu Guan ,"Pi Jiu Guan , Zheng Liu Ka Pei Ba , Jiu Ba , Can Ting ",4.7,08:00-23:00,Xing Qi Yi ,+55 16 99623-6000,"Casa Catarino - Praca Antonio Prado, 36 - Centro, Sao Carlos - SP, 13560-046Ba Xi ","Diao Jiu , Sheng Pi , Zhuang Xiu , Jiao Yu , Xiao Chi , Bai Yi , Fen Wei ",https://www.google.com/maps/place/Casa+Catarino/data=!4m7!3m6!1s0x94b87721605888fb:0x50011463edf06844!8m2!3d-22.0233753!4d-47.8947445!16s%2Fg%2F11qqdb5721!19sChIJ-4hYYCF3uJQRRGjw7WMUAVA?authuser=0&hl=zh-TW&rclk=1
ChIJswZvpfp3uJQRqKzPLmIqHF4,Jack's Cafe - Cafeteria,,False,438,"Name: Shot Cafe
link: https://www.google.com/maps/search/Shot+Caf%C3%A9/@-22.011203300000002,-47.89734310000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 369 reviews

Name: Cafes Pagliaroni - Cafeteria Sao Carlos
link: https://www.google.com/maps/search/Caf%C3%A9s+Pagliaroni+-+Cafeteria+S%C3%A3o+Carlos/@-22.0116119,-47.8948478?authuser=0&hl=zh-TW&entry=ttu
Reviews: 139 reviews

Name: Cafezera Br Food
link: https://www.google.com/maps/search/Cafezera+Br+Food/@-22.020138499999998,-47.8918524?authuser=0&hl=zh-TW&entry=ttu
Reviews: 78 reviews

Name: Donuts House Cafe
link: https://www.google.com/maps/search/Donuts+House+Cafe/@-22.0205926,-47.8927251?authuser=0&hl=zh-TW&entry=ttu
Reviews: 63 reviews",https://instagram.com/jackscafeteria,Jack's Cafe - Cafeteria (Ye Zhu ),https://www.google.com/maps/contrib/107233231721059079868,https://lh5.googleusercontent.com/p/AF1QipPjYLLWKa2kILTjdd2Kpf9tPKdwqgzncNvQ3D4o=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Zi Zhu Can Ting ",4.7,"09:00-11:30, 15:00-18:30",Xing Qi Yi ,+55 16 3412-6007,"Jack's Cafe - Cafeteria - R. 28 de Setembro, 1930 - Centro, Sao Carlos - SP, 13560-270Ba Xi ","Huan Jing , Song Bing , Zao Can , Bing Qi Lin , Guo Jiang , Nai Xi ",https://www.google.com/maps/place/Jack%C2%B4s+Caf%C3%A9+-+Cafeteria/data=!4m7!3m6!1s0x94b877faa56f06b3:0x5e1c2a622ecfaca8!8m2!3d-22.0106512!4d-47.8917679!16s%2Fg%2F11f5yjmp3c!19sChIJswZvpfp3uJQRqKzPLmIqHF4?authuser=0&hl=zh-TW&rclk=1
ChIJDa13oDp3uJQRMQSo_j02P-c,Shot Cafe,,False,370,"Name: Jack's Cafe - Cafeteria
link: https://www.google.com/maps/search/Jack%C2%B4s+Caf%C3%A9+-+Cafeteria/@-22.010651199999998,-47.8917679?authuser=0&hl=zh-TW&entry=ttu
Reviews: 438 reviews

Name: Go Coffee - Passeio Sao Carlos
link: https://www.google.com/maps/search/Go+Coffee+-+Passeio+S%C3%A3o+Carlos/@-22.0048368,-47.9045704?authuser=0&hl=zh-TW&entry=ttu
Reviews: 77 reviews

Name: Shot cafe - Loja 2
link: https://www.google.com/maps/search/Shot+caf%C3%A9+-+Loja+2/@-22.0196419,-47.9165335?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",https://m.facebook.com/shotcafeteria,Shot Cafe (Ye Zhu ),https://www.google.com/maps/contrib/117033524323261796167,https://lh5.googleusercontent.com/p/AF1QipNJ38STPsfBka7cx6_C-9DSheIkxaQ3CkbC_r-I=w408-h319-k-no,Ka Pei Dian ,"Ka Pei Dian , Zao Can Can Ting ",4.6,09:00-18:00,Xing Qi Ri ,+55 16 3372-9284,"Shot Cafe - Av. Dr. Carlos Botelho, 1367 - Centro, Sao Carlos - SP, 13560-042Ba Xi ","Qiao Ke Li , Chan Pin , Bu Lang Ni , Yi Shu , Ke Song , Zhan Lan ",https://www.google.com/maps/place/Shot+Caf%C3%A9/data=!4m7!3m6!1s0x94b8773aa077ad0d:0xe73f363dfea80431!8m2!3d-22.0112033!4d-47.8973431!16s%2Fg%2F11gzwgr5v!19sChIJDa13oDp3uJQRMQSo_j02P-c?authuser=0&hl=zh-TW&rclk=1
