place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJczCJWK1yz5QREFho6M7HOTE,Emporium Sao Roque,,False,1801,"Name: Padaria do Taboao
link: https://www.google.com/maps/search/Padaria+do+Tabo%C3%A3o/@-23.5425547,-47.1253502?authuser=0&hl=zh-TW&entry=ttu
Reviews: 592 reviews

Name: Padaria Martinelli
link: https://www.google.com/maps/search/Padaria+Martinelli/@-23.5306277,-47.135099700000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 534 reviews

Name: Panificadora Brasil
link: https://www.google.com/maps/search/Panificadora+Brasil/@-23.5228958,-47.136646299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 54 reviews

Name: Emporio dos Paes e Congelados Sao Roque
link: https://www.google.com/maps/search/Emp%C3%B3rio+dos+P%C3%A3es+e+Congelados+S%C3%A3o+Roque/@-23.5309901,-47.1341933?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews",https://bit.ly/2Y6PbDW,Emporium Sao Roque (Ye Zhu ),https://www.google.com/maps/contrib/103862907358958070854,https://lh5.googleusercontent.com/p/AF1QipNBbED7ZyJ2r0JdsO-DaxlAyaBidrIWUIzUaLwy=w408-h408-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.5,06:00-22:00,Open All Days,+55 11 4712-4896,"Emporium Sao Roque - R. Benedito Marchi Filho, 323 - Vila Santa Isabel, Sao Roque - SP, 18136-025Ba Xi ","Qing Shi , Guo Jiang , Song Bing , Lu You ",https://www.google.com/maps/place/Emporium+S%C3%A3o+Roque/data=!4m7!3m6!1s0x94cf72ad58893073:0x3139c7cee8685810!8m2!3d-23.5386734!4d-47.1370354!16s%2Fg%2F11clybhrfb!19sChIJczCJWK1yz5QREFho6M7HOTE?authuser=0&hl=zh-TW&rclk=1
ChIJmZqj20gNz5QR8zdtGhcz924,Padaria do Taboao,,False,592,"Name: Emporium Sao Roque
link: https://www.google.com/maps/search/Emporium+S%C3%A3o+Roque/@-23.5386734,-47.137035399999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1801 reviews

Name: Padaria Colonial ll
link: https://www.google.com/maps/search/Padaria+Colonial+ll/@-23.531101399999997,-47.1321543?authuser=0&hl=zh-TW&entry=ttu
Reviews: 742 reviews

Name: Padaria Martinelli
link: https://www.google.com/maps/search/Padaria+Martinelli/@-23.5306277,-47.135099700000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 534 reviews

Name: Padaria Colonial
link: https://www.google.com/maps/search/Padaria+Colonial/@-23.5199551,-47.1306018?authuser=0&hl=zh-TW&entry=ttu
Reviews: 183 reviews

Name: Panificadora Brasil
link: https://www.google.com/maps/search/Panificadora+Brasil/@-23.5228958,-47.136646299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 54 reviews",https://padaria-do-taboao.negocio.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Padaria do Taboao (Ye Zhu ),https://www.google.com/maps/contrib/103929643516120182609,https://lh5.googleusercontent.com/p/AF1QipNvDG0tfZIa7cO6FsKxdsnX3J7QaMKGmHgosg2o=w426-h240-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.2,06:00-21:00,Open All Days,+55 11 4712-2623,"Padaria do Taboao - R. Sao Paulo, 1362 - Centro, Sao Roque - SP, 18135-125Ba Xi ","Jia Ge , Chan Pin , Ka Pei , Xiao Chi , Pi Jiu , Wu Can , Pan , Guo Jiang ",https://www.google.com/maps/place/Padaria+do+Tabo%C3%A3o/data=!4m7!3m6!1s0x94cf0d48dba39a99:0x6ef733171a6d37f3!8m2!3d-23.5425547!4d-47.1253502!16s%2Fg%2F11f3ws06fl!19sChIJmZqj20gNz5QR8zdtGhcz924?authuser=0&hl=zh-TW&rclk=1
ChIJ_Uz5IlUNz5QRFSX2ve3RSmw,Padaria Martinelli,,False,535,"Name: Padaria Colonial ll
link: https://www.google.com/maps/search/Padaria+Colonial+ll/@-23.531101399999997,-47.1321543?authuser=0&hl=zh-TW&entry=ttu
Reviews: 742 reviews

Name: Armazem Padaria Santa Cecilia
link: https://www.google.com/maps/search/Armazem+Padaria+Santa+Cec%C3%ADlia/@-23.546338,-47.1235764?authuser=0&hl=zh-TW&entry=ttu
Reviews: 714 reviews

Name: Padaria do Taboao
link: https://www.google.com/maps/search/Padaria+do+Tabo%C3%A3o/@-23.5425547,-47.1253502?authuser=0&hl=zh-TW&entry=ttu
Reviews: 592 reviews

Name: Panificadora Brasil
link: https://www.google.com/maps/search/Panificadora+Brasil/@-23.5228958,-47.136646299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 54 reviews

Name: Panificadora romaniucs
link: https://www.google.com/maps/search/Panificadora+romaniucs/@-23.521963200000002,-47.1306186?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.instagram.com/martinellipadaria/,Padaria Martinelli (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN7hD58D3E36KqhAr9Qy3iKrYXadPWAkDIgZSXu=w408-h306-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Mei Shi Can Che Dian , Can Ting ",4,06:00-23:00,Open All Days,+55 11 4784-3972,"Padaria Martinelli - Praca da Matriz, 18 - Centro, Sao Roque - SP, 18130-330Ba Xi ","Jia Ge , Ka Pei , Can , Zhuo , Pi Jiu , Jia Ting , Kao Ji , Guang Chang , Jiao Yu ",https://www.google.com/maps/place/Padaria+Martinelli/data=!4m7!3m6!1s0x94cf0d5522f94cfd:0x6c4ad1edbdf62515!8m2!3d-23.5306277!4d-47.1350997!16s%2Fg%2F11btx09x19!19sChIJ_Uz5IlUNz5QRFSX2ve3RSmw?authuser=0&hl=zh-TW&rclk=1
ChIJIUDryL90z5QRrtFjtIfjseQ,Armazem Biointegral,,False,243,"Name: Bella Aurora
link: https://www.google.com/maps/search/Bella+Aurora/@-23.5538653,-47.105149999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1478 reviews

Name: Artesanalle Cafe & Co
link: https://www.google.com/maps/search/Artesanalle+Caf%C3%A9+%26+Co/@-23.533438699999998,-47.1368839?authuser=0&hl=zh-TW&entry=ttu
Reviews: 191 reviews

Name: Laguna Caffe
link: https://www.google.com/maps/search/Laguna+Caffe/@-23.6110129,-47.1605194?authuser=0&hl=zh-TW&entry=ttu
Reviews: 110 reviews

Name: Terroir d'Amis
link: https://www.google.com/maps/search/Terroir+d%27Amis/@-23.610316599999997,-47.161166699999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Estrada Cafe
link: https://www.google.com/maps/search/Estrada+Caf%C3%A9/@-23.583728999999998,-47.1420859?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",http://business.google.com/website/armazem-biointegral,Armazem Biointegral (Ye Zhu ),https://www.google.com/maps/contrib/117869417280976132872,https://lh5.googleusercontent.com/p/AF1QipNzpfJDkRfv6PQV-tZgGeOQRJaHBG0pF_39vPAt=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.8,09:00-18:00,"Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Si , Xing Qi Wu ",+55 11 94466-6307,"Armazem Biointegral - R. Benedito Silvino de Camargo, 184 - Canguera, Sao Roque - SP, 18145-040Ba Xi ","Dan Gao , Lao Mian , Guo Zhi , Guo Jiang , Shou Gong , Tian Ran ",https://www.google.com/maps/place/Armazem+Biointegral/data=!4m7!3m6!1s0x94cf74bfc8eb4021:0xe4b1e387b463d1ae!8m2!3d-23.6093932!4d-47.1645644!16s%2Fg%2F11c0pjbclh!19sChIJIUDryL90z5QRrtFjtIfjseQ?authuser=0&hl=zh-TW&rclk=1
ChIJ07ZquQYNz5QRb2Habqmlz5A,"Padaria e Adega Colonial lll, Vinhos Nacionais e Importados",,False,234,"Name: Padaria Colonial ll
link: https://www.google.com/maps/search/Padaria+Colonial+ll/@-23.531101399999997,-47.1321543?authuser=0&hl=zh-TW&entry=ttu
Reviews: 742 reviews

Name: Armazem Padaria Santa Cecilia
link: https://www.google.com/maps/search/Armazem+Padaria+Santa+Cec%C3%ADlia/@-23.546338,-47.1235764?authuser=0&hl=zh-TW&entry=ttu
Reviews: 714 reviews

Name: Padaria Jardim Villaca
link: https://www.google.com/maps/search/Padaria+Jardim+Villaca/@-23.5463916,-47.1225217?authuser=0&hl=zh-TW&entry=ttu
Reviews: 234 reviews

Name: Padaria Colonial
link: https://www.google.com/maps/search/Padaria+Colonial/@-23.5199551,-47.1306018?authuser=0&hl=zh-TW&entry=ttu
Reviews: 183 reviews

Name: RESTAURANTE COLONIAL ROTEIRO DO VINHO
link: https://www.google.com/maps/search/RESTAURANTE+COLONIAL+ROTEIRO+DO+VINHO/@-23.545738399999998,-47.1236622?authuser=0&hl=zh-TW&entry=ttu
Reviews: 103 reviews",https://www.instagram.com/p/B1cTmDcHUnF/%3Figshid%3Dy0n54s3els5g,"Padaria e Adega Colonial lll, Vinhos Nacionais e Importados (Ye Zhu )",https://www.google.com/maps/contrib/113316387087894085107,https://lh5.googleusercontent.com/p/AF1QipNfEyNyEJP5-kKhPN-_23_24AMpo_SUmtTIFl4V=w426-h240-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.3,06:00-22:00,Open All Days,+55 11 3413-8352,"Padaria e Adega Colonial lll, Vinhos Nacionais e Importados, Vilaca - Rua Dr. Durval Villaca, 70 - Jardim Villaca, Sao Roque - SP, 18135-180Ba Xi ","Ka Pei , Jia Ge , Chan Pin , Guo Jiang , Tai Shi , Cang Ying , Leng ","https://www.google.com/maps/place/Padaria+e+Adega+Colonial+lll,+Vinhos+Nacionais+e+Importados/data=!4m7!3m6!1s0x94cf0d06b96ab6d3:0x90cfa5a96eda616f!8m2!3d-23.5463452!4d-47.1235764!16s%2Fg%2F11hzwdjsyj!19sChIJ07ZquQYNz5QRb2Habqmlz5A?authuser=0&hl=zh-TW&rclk=1"
ChIJXybxTatyz5QR7m0tGpt76Wo,Espaco CasaeNostra,,False,227,"Name: Artesanalle Cafe & Co
link: https://www.google.com/maps/search/Artesanalle+Caf%C3%A9+%26+Co/@-23.533438699999998,-47.1368839?authuser=0&hl=zh-TW&entry=ttu
Reviews: 191 reviews

Name: Pizzaria Casa Nostra
link: https://www.google.com/maps/search/Pizzaria+Casa+Nostra/@-23.5652731,-47.087007899999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 54 reviews

Name: Duke Coworking
link: https://www.google.com/maps/search/Duke+Coworking/@-23.533507099999998,-47.1380981?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Magazine livros e revistas
link: https://www.google.com/maps/search/Magazine+livros+e+revistas/@-23.5285773,-47.1362148?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Livraria Catolica Santa Terezinha
link: https://www.google.com/maps/search/Livraria+Cat%C3%B3lica+Santa+Terezinha/@-23.5296868,-47.1343805?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",http://www.casaenostra.com.br/,Espaco CasaeNostra (Ye Zhu ),https://www.google.com/maps/contrib/109235592881920340714,https://lh5.googleusercontent.com/p/AF1QipPqE9nC6V-2TiiKHr6c_ihj_af2Oc2LsDaGod4w=w408-h408-k-no,Xiao Can Guan  (Bistro),"Xiao Can Guan  (Bistro), Shu Dian , Ka Pei Dian , Gong Tong Gong Zuo Kong Jian ",4.6,09:00-17:30,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Liu ",+55 11 99814-6392,"Espaco CasaeNostra - Av. Bandeirantes, 201 - Jardim Bandeirantes, Sao Roque - SP, 18134-220Ba Xi ","Ka Pei , Shu Dian , Huan Jing , Tian Tian Quan , Yue Du , Jia Ge , Chan Pin ",https://www.google.com/maps/place/Espa%C3%A7o+Casa%C3%A9Nostra/data=!4m7!3m6!1s0x94cf72ab4df1265f:0x6ae97b9b1a2d6dee!8m2!3d-23.5240547!4d-47.1320184!16s%2Fg%2F12hn4hhbv!19sChIJXybxTatyz5QR7m0tGpt76Wo?authuser=0&hl=zh-TW&rclk=1
ChIJd4SdQatyz5QRUcDP28_ctMA,Doideja,,False,193,"Name: Sodie Doces
link: https://www.google.com/maps/search/Sodi%C3%AA+Doces/@-23.5275626,-47.13566050000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 852 reviews

Name: Doce Gula
link: https://www.google.com/maps/search/Doce+Gula/@-23.5305488,-47.1357656?authuser=0&hl=zh-TW&entry=ttu
Reviews: 293 reviews

Name: CAFETERIA E DOCERIA RECEITAS DA ROCA
link: https://www.google.com/maps/search/CAFETERIA+E+DOCERIA+RECEITAS+DA+RO%C3%87A/@-23.5603333,-47.1278319?authuser=0&hl=zh-TW&entry=ttu
Reviews: 158 reviews

Name: Doces Caseiro
link: https://www.google.com/maps/search/Doces+Caseiro/@-23.528704299999998,-47.1362363?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Doce Gula
link: https://www.google.com/maps/search/Doce+Gula/@-23.5240515,-47.1342493?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",https://www.instagram.com/doidejadoces/,Doideja (Ye Zhu ),https://www.google.com/maps/contrib/111976840515217489093,https://lh5.googleusercontent.com/p/AF1QipM49ksjWlhLhmystwkmHzZk8bmumYI4Sl5qEHYR=w408-h725-k-no,Tang Guo Gao Bing Dian ,"Tang Guo Gao Bing Dian , Tang Guo Dian ",4.6,10:00-18:00,Xing Qi Ri ,,"Doideja - R. Monsenhor Antonio Pepe, 144 - Jardim Bandeirantes, Sao Roque - SP, 18134-210Ba Xi ","Dan Gao , Ka Pei , Chan Pin , Jia Ting ",https://www.google.com/maps/place/Doideja/data=!4m7!3m6!1s0x94cf72ab419d8477:0xc0b4dccfdbcfc051!8m2!3d-23.5240601!4d-47.1308238!16s%2Fg%2F11f57kwy77!19sChIJd4SdQatyz5QRUcDP28_ctMA?authuser=0&hl=zh-TW&rclk=1
ChIJ4bYfcGMTz5QRGwXwH6zZYHA,Artesanalle Cafe & Co,,False,191,"Name: Bella Aurora
link: https://www.google.com/maps/search/Bella+Aurora/@-23.5538653,-47.105149999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1478 reviews

Name: Armazem Biointegral
link: https://www.google.com/maps/search/Armazem+Biointegral/@-23.6093932,-47.164564399999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 243 reviews

Name: Estrada Cafe
link: https://www.google.com/maps/search/Estrada+Caf%C3%A9/@-23.583728999999998,-47.1420859?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Chocolarte
link: https://www.google.com/maps/search/Chocolarte/@-23.5365954,-47.1557947?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://linktr.ee/artesanallecafe,Artesanalle Cafe & Co (Ye Zhu ),https://www.google.com/maps/contrib/115191101673383795596,https://lh5.googleusercontent.com/p/AF1QipOMPgKjRbLNyh2K3FejJ6759m8ZB2oz9eQEh5tE=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.7,09:00-19:00,Xing Qi Yi ,+55 11 97504-9179,"Artesanalle Cafe & Co - Av. Antonino Dias Bastos, 21 - Centro, Sao Roque - SP, 18130-351Ba Xi ","Huan Jing , Mian Bao , Zhuo , Bing Gan , Chan Pin , Jia Ge , Guo Jiang , Chao Dan ",https://www.google.com/maps/place/Artesanalle+Caf%C3%A9+%26+Co/data=!4m7!3m6!1s0x94cf1363701fb6e1:0x7060d9ac1ff0051b!8m2!3d-23.5334387!4d-47.1368839!16s%2Fg%2F11qn8fq_8g!19sChIJ4bYfcGMTz5QRGwXwH6zZYHA?authuser=0&hl=zh-TW&rclk=1
ChIJ_xnudrYTz5QRS0m0bctqbVA,Duckbill Cookies & Coffee,,False,158,"Name: Doce Gula
link: https://www.google.com/maps/search/Doce+Gula/@-23.5305488,-47.1357656?authuser=0&hl=zh-TW&entry=ttu
Reviews: 293 reviews",https://www.instagram.com/duckbill.saoroque/,Duckbill Cookies & Coffee (Ye Zhu ),https://www.google.com/maps/contrib/116776652680115001077,https://lh5.googleusercontent.com/p/AF1QipPWo6-g1t6WoO1vVA5tcv767m89K7FvgULN02pG=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Zheng Liu Ka Pei Ba ",4.8,08:00-20:00,"Xing Qi Ri , Xing Qi Yi ",+55 11 99287-1367,"Duckbill Cookies & Coffee - R. Marino Camurca, 33 - Centro, Sao Roque - SP, 18130-515Ba Xi ","Huan Jing , Qia Bu Qi Nuo , Jing Yan , Qiao Ke Li ",https://www.google.com/maps/place/Duckbill+Cookies+%26+Coffee/data=!4m7!3m6!1s0x94cf13b676ee19ff:0x506d6acb6db4494b!8m2!3d-23.5265204!4d-47.1327516!16s%2Fg%2F11s53bq86l!19sChIJ_xnudrYTz5QRS0m0bctqbVA?authuser=0&hl=zh-TW&rclk=1
ChIJuxVJRatyz5QRFEdp1dka5T0,Cacau Show,,False,118,"Name: CACAU SHOW VGP
link: https://www.google.com/maps/search/CACAU+SHOW+VGP/@-23.6052181,-47.0227213?authuser=0&hl=zh-TW&entry=ttu
Reviews: 111 reviews

Name: Brasil Cacau
link: https://www.google.com/maps/search/Brasil+Cacau/@-23.5298318,-47.1339711?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: ABE E CHOCOLATES CACAU LTDA
link: https://www.google.com/maps/search/ABE+E+CHOCOLATES+CACAU+LTDA/@-23.5297536,-47.136180599999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Chocolate Cacau Brasil
link: https://www.google.com/maps/search/Chocolate+Cacau+Brasil/@-23.4583174,-47.046516499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Marques e Vale Comercio de Chocolates
link: https://www.google.com/maps/search/Marques+e+Vale+Com%C3%A9rcio+de+Chocolates/@-23.5320003,-47.136983099999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.cacaushow.com.br/,Cacau Show (Ye Zhu ),https://www.google.com/maps/contrib/110577278407330379419,https://lh5.googleusercontent.com/p/AF1QipPIfMkmVqnYcxlgzCEwBN9nSpkCFVpGHNVZGNM0=w426-h240-k-no,Qiao Ke Li Gong Chang ,"Qiao Ke Li Gong Chang , Tang Guo Dian , Qiao Ke Li Gong Jiang , Ka Pei Dian , Xue Gao Dian ",4.3,10:00-18:20,Xing Qi Ri ,+55 11 99668-4138,"Cacau Show - Av. Antonino Dias Bastos, 21/35 - Centro, Sao Roque - SP, 18130-351Ba Xi ",Jia Ge ,https://www.google.com/maps/place/Cacau+Show/data=!4m7!3m6!1s0x94cf72ab454915bb:0x3de51ad9d5694714!8m2!3d-23.5334387!4d-47.1368839!16s%2Fg%2F11f545q3s9!19sChIJuxVJRatyz5QRFEdp1dka5T0?authuser=0&hl=zh-TW&rclk=1
