place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJx1dxJad7JwARMW9dXbUvzW0,Beach Cafe Seaford,,False,863,"Name: Spanish Bar
link: https://www.google.com/maps/search/Spanish+Bar/@-38.1035631,145.1271183?authuser=0&hl=zh-TW&entry=ttu
Reviews: 824 reviews

Name: 38 South Bar Cafe
link: https://www.google.com/maps/search/38+South+Bar+Cafe/@-38.103760699999995,145.1260943?authuser=0&hl=zh-TW&entry=ttu
Reviews: 570 reviews

Name: Beach Bar @ Carrum
link: https://www.google.com/maps/search/Beach+Bar+%40+Carrum/@-38.0743522,145.1217846?authuser=0&hl=zh-TW&entry=ttu
Reviews: 263 reviews

Name: Thai Beach Cafe
link: https://www.google.com/maps/search/Thai+Beach+Cafe/@-38.1035778,145.12637239999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 242 reviews

Name: Coffee Home Cafe
link: https://www.google.com/maps/search/Coffee+Home+Cafe/@-38.1038449,145.1261037?authuser=0&hl=zh-TW&entry=ttu
Reviews: 239 reviews",https://beachcafeseaford.com.au/,Beach Cafe Seaford (Ye Zhu ),https://www.google.com/maps/contrib/114440825034529787558,https://lh5.googleusercontent.com/p/AF1QipPppeiJmX3MOcbuKRyq-HjTqt2Uc4aTKfxNJW5F=w426-h240-k-no,Can Ting ,"Can Ting , Zao Can Can Ting , Ka Pei Ting , Zheng Liu Ka Pei Ba ",4.3,08:00-16:00,Xing Qi San ,+61 3 8774 0470,"Beach Cafe Seaford, 1/10N Nepean Hwy, Seaford VIC 3198Ao Zhou ","Ka Pei , Dan Gao , Can Yin , Hai Jing , Zao Wu Can , Gou , Song Bing , vegan, Hai Wan , Zha Yu Shu Tiao ",https://www.google.com/maps/place/Beach+Cafe+Seaford/data=!4m7!3m6!1s0x277ba7257157c7:0x6dcd2fb55d5d6f31!8m2!3d-38.1032666!4d145.1250136!16s%2Fg%2F1q6h_dr_v!19sChIJx1dxJad7JwARMW9dXbUvzW0?authuser=0&hl=zh-TW&rclk=1
ChIJGfZaXVBz1moRKUJeHRFjVXI,Spanish Bar,,False,824,"Name: Beach Cafe Seaford
link: https://www.google.com/maps/search/Beach+Cafe+Seaford/@-38.1032666,145.1250136?authuser=0&hl=zh-TW&entry=ttu
Reviews: 862 reviews

Name: 38 South Bar Cafe
link: https://www.google.com/maps/search/38+South+Bar+Cafe/@-38.103760699999995,145.1260943?authuser=0&hl=zh-TW&entry=ttu
Reviews: 570 reviews

Name: Tres Mexican
link: https://www.google.com/maps/search/Tres+Mexican/@-38.1039612,145.1260991?authuser=0&hl=zh-TW&entry=ttu
Reviews: 327 reviews

Name: Thai Beach Cafe
link: https://www.google.com/maps/search/Thai+Beach+Cafe/@-38.1035778,145.12637239999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 242 reviews

Name: TACOBAR SEAFORD
link: https://www.google.com/maps/search/TACOBAR+SEAFORD/@-38.1106714,145.1425002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews",https://m.facebook.com/profile.php?id=377502689060226&tsid=0.5676271235570312&source=typeahead,Spanish Bar (Ye Zhu ),https://www.google.com/maps/contrib/103133869433673960752,https://lh5.googleusercontent.com/p/AF1QipNFtyBO6ax512hIrAR5MhXKLOH2TtcfWQvtmjse=w427-h240-k-no,Xi Ban Ya Xiao Shi Jiu Ba ,"Xi Ban Ya Xiao Shi Jiu Ba , Jiu Ba , Zao Can Can Ting ",4.4,08:00-22:00,Open All Days,+61 3 8712 5268,"Spanish Bar, 20 Station St, Seaford VIC 3198Ao Zhou ","Xi Ban Ya Hai Xian Dun Fan , sangria, Can Yin , Ya , Zhu Chu , Sha Tan , Dan Cai , Hua Yuan , Xie ",https://www.google.com/maps/place/Spanish+Bar/data=!4m7!3m6!1s0x6ad673505d5af619:0x725563111d5e4229!8m2!3d-38.1035631!4d145.1271183!16s%2Fg%2F11b7qvvdy2!19sChIJGfZaXVBz1moRKUJeHRFjVXI?authuser=0&hl=zh-TW&rclk=1
ChIJMZQbNyRz1moRzC51p9o6ejM,38 South Bar Cafe,,False,570,"Name: Beach Cafe Seaford
link: https://www.google.com/maps/search/Beach+Cafe+Seaford/@-38.1032666,145.1250136?authuser=0&hl=zh-TW&entry=ttu
Reviews: 862 reviews

Name: Spanish Bar
link: https://www.google.com/maps/search/Spanish+Bar/@-38.1035631,145.1271183?authuser=0&hl=zh-TW&entry=ttu
Reviews: 824 reviews

Name: Coffee Home Cafe
link: https://www.google.com/maps/search/Coffee+Home+Cafe/@-38.1038449,145.1261037?authuser=0&hl=zh-TW&entry=ttu
Reviews: 239 reviews

Name: Seaford Coffee Train
link: https://www.google.com/maps/search/Seaford+Coffee+Train/@-38.089036,145.12846199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 140 reviews

Name: 18-EightyEight
link: https://www.google.com/maps/search/18-EightyEight/@-38.103377099999996,145.12638139999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews",https://www.38southseaford.com.au/,38 South Bar Cafe (Ye Zhu ),https://www.google.com/maps/contrib/103051414801105628728,https://lh5.googleusercontent.com/p/AF1QipM_0w5IKhAPj5nHhx1VUrL2fE6ULsIOcOH7pfdV=w408-h271-k-no,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting , Can Ting ",4.5,07:00-16:00,Xing Qi Liu ,+61 3 9024 0138,"38 South Bar Cafe, 131 Nepean Hwy, Seaford VIC 3198Ao Zhou ","Can , Han Bao , Sha Tan , Song Bing , Shui Bo Dan , Gu , poke, Wu Fu Zhi ",https://www.google.com/maps/place/38+South+Bar+Cafe/data=!4m7!3m6!1s0x6ad67324371b9431:0x337a3adaa7752ecc!8m2!3d-38.1037607!4d145.1260943!16s%2Fg%2F11fmndd_ll!19sChIJMZQbNyRz1moRzC51p9o6ejM?authuser=0&hl=zh-TW&rclk=1
ChIJPeEwY3Vz1moRbagAHFtfQaY,Gelato UNOU,,False,459,"Name: Highett Gelato & Desserts
link: https://www.google.com/maps/search/Highett+Gelato+%26+Desserts/@-37.9487562,145.0409427?authuser=0&hl=zh-TW&entry=ttu
Reviews: 215 reviews

Name: Yummo Ice Cream
link: https://www.google.com/maps/search/Yummo+Ice+Cream/@-38.219299,145.0381126?authuser=0&hl=zh-TW&entry=ttu
Reviews: 166 reviews

Name: Just Delicious Gelato Icecream
link: https://www.google.com/maps/search/Just+Delicious+Gelato+Icecream/@-38.0544174,145.1167985?authuser=0&hl=zh-TW&entry=ttu
Reviews: 121 reviews

Name: Augustus Gelatery - Mordialloc
link: https://www.google.com/maps/search/Augustus+Gelatery+-+Mordialloc/@-38.0077517,145.0867596?authuser=0&hl=zh-TW&entry=ttu
Reviews: 77 reviews

Name: Lavezzi Gelateria - Frankston
link: https://www.google.com/maps/search/Lavezzi+Gelateria+-+Frankston/@-38.144755499999995,145.12135849999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews",https://gelatounou.com.au/,Gelato UNOU (Ye Zhu ),https://www.google.com/maps/contrib/114358483580170838401,https://lh5.googleusercontent.com/p/AF1QipOFJ2SRuNYixTOd7QwC6VQtKU0L6PoeFkok8yrQ=w408-h272-k-no,Xue Gao Dian ,"Xue Gao Dian , Tian Pin Dian ",4.6,11:00-22:30,Open All Days,+61 481 700 675,"Gelato UNOU, 125A Nepean Hwy, Seaford VIC 3198Ao Zhou ","vegan, Jia Ting , Kai Xin Guo , Sha Tan , Zhui , Yi Da Li , Kou Wei ",https://www.google.com/maps/place/Gelato+UNOU/data=!4m7!3m6!1s0x6ad673756330e13d:0xa6415f5b1c00a86d!8m2!3d-38.1032472!4d145.1261495!16s%2Fg%2F11f657qmjb!19sChIJPeEwY3Vz1moRbagAHFtfQaY?authuser=0&hl=zh-TW&rclk=1
ChIJ3fPlelpz1moR6xo97CVGlJA,Coffee Home Cafe,,False,239,"Name: Beach Cafe Seaford
link: https://www.google.com/maps/search/Beach+Cafe+Seaford/@-38.1032666,145.1250136?authuser=0&hl=zh-TW&entry=ttu
Reviews: 862 reviews

Name: 38 South Bar Cafe
link: https://www.google.com/maps/search/38+South+Bar+Cafe/@-38.103760699999995,145.1260943?authuser=0&hl=zh-TW&entry=ttu
Reviews: 570 reviews

Name: Coffee for the People Roasting Co.
link: https://www.google.com/maps/search/Coffee+for+the+People+Roasting+Co./@-38.0935194,145.13213059999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 186 reviews

Name: 501 Booster Cafe & Bistro
link: https://www.google.com/maps/search/501+Booster+Cafe+%26+Bistro/@-38.1148222,145.140763?authuser=0&hl=zh-TW&entry=ttu
Reviews: 155 reviews

Name: Seaford Coffee Train
link: https://www.google.com/maps/search/Seaford+Coffee+Train/@-38.089036,145.12846199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 140 reviews",http://coffeehomecafe.com/,Coffee Home Cafe (Ye Zhu ),https://www.google.com/maps/contrib/115668803530180771834,https://lh5.googleusercontent.com/p/AF1QipNngh8bJfpKcFEuo_psxQvHvZq5AxHnqfeuhWx4=w408-h408-k-no,Ka Pei Ting ,"Ka Pei Ting , Can Ting ",4.2,07:30-16:00,Xing Qi Yi ,+61 3 8774 5797,"Coffee Home Cafe, Suite 2/131 Nepean Hwy, Seaford VIC 3198Ao Zhou ","Dan , Sha Tan , Pei Gen , Zao Wu Can , Tu Si , Mian Ji , Qian , Xiao Rong , atmosphere, Shu Bing ",https://www.google.com/maps/place/Coffee+Home+Cafe/data=!4m7!3m6!1s0x6ad6735a7ae5f3dd:0x90944625ec3d1aeb!8m2!3d-38.1038449!4d145.1261037!16s%2Fg%2F1thx45sh!19sChIJ3fPlelpz1moR6xo97CVGlJA?authuser=0&hl=zh-TW&rclk=1
ChIJyZLrMfBz1moRRr8Tae7hXFo,Coffee for the People Roasting Co.,,False,186,"Name: Beach Cafe Seaford
link: https://www.google.com/maps/search/Beach+Cafe+Seaford/@-38.1032666,145.1250136?authuser=0&hl=zh-TW&entry=ttu
Reviews: 862 reviews

Name: 38 South Bar Cafe
link: https://www.google.com/maps/search/38+South+Bar+Cafe/@-38.103760699999995,145.1260943?authuser=0&hl=zh-TW&entry=ttu
Reviews: 570 reviews

Name: Coffee Home Cafe
link: https://www.google.com/maps/search/Coffee+Home+Cafe/@-38.1038449,145.1261037?authuser=0&hl=zh-TW&entry=ttu
Reviews: 239 reviews

Name: Seaford Coffee Train
link: https://www.google.com/maps/search/Seaford+Coffee+Train/@-38.089036,145.12846199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 140 reviews

Name: Giggles Cafe/Espresso Bar
link: https://www.google.com/maps/search/Giggles+Cafe%2FEspresso+Bar/@-38.122043,145.13434999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews",https://www.cftproastingco.com.au/,Coffee for the People Roasting Co. (Ye Zhu ),https://www.google.com/maps/contrib/105429381459978406559,https://lh5.googleusercontent.com/p/AF1QipN-5fVCscXWcC1y3vu9IbvpCWu-r3dlMIK2QXgW=w408-h478-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Hong Bei Shang ",4.7,06:00-14:00,Open All Days,+61 432 635 527,"Coffee for the People Roasting Co., 37 Armstrongs Rd, Seaford VIC 3198Ao Zhou ","Dou , Zao Shang , atmosphere, Xiao Hai , Xiong , Bao Shi , Kao , Mian Bao , Bing Sha , Mian Ji ",https://www.google.com/maps/place/Coffee+for+the+People+Roasting+Co./data=!4m7!3m6!1s0x6ad673f031eb92c9:0x5a5ce1ee6913bf46!8m2!3d-38.0935194!4d145.1321306!16s%2Fg%2F11f62_bzsh!19sChIJyZLrMfBz1moRRr8Tae7hXFo?authuser=0&hl=zh-TW&rclk=1
ChIJFcrGaKoM1moRWBWwhfpaI9A,501 Booster Cafe & Bistro,,False,156,"Name: Beach Cafe Seaford
link: https://www.google.com/maps/search/Beach+Cafe+Seaford/@-38.1032666,145.1250136?authuser=0&hl=zh-TW&entry=ttu
Reviews: 862 reviews

Name: Coffee Home Cafe
link: https://www.google.com/maps/search/Coffee+Home+Cafe/@-38.1038449,145.1261037?authuser=0&hl=zh-TW&entry=ttu
Reviews: 239 reviews

Name: Seaford Coffee Train
link: https://www.google.com/maps/search/Seaford+Coffee+Train/@-38.089036,145.12846199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 140 reviews

Name: 18-EightyEight
link: https://www.google.com/maps/search/18-EightyEight/@-38.103377099999996,145.12638139999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: The Black Goose
link: https://www.google.com/maps/search/The+Black+Goose/@-38.1134199,145.1419271?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews",https://501boostercafebistro.com.au/,501 Booster Cafe & Bistro (Ye Zhu ),https://www.google.com/maps/contrib/111122767176042874467,https://lh5.googleusercontent.com/p/AF1QipP8SYd3AyiABmokW2mLK66w-8JXx6iJGFyvzUVt=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting , Ka Pei Dian , Wai Mai Zi Qu Can Ting ",4.7,06:00-15:30,Xing Qi Ri ,+61 3 9786 0511,"501 Booster Cafe & Bistro, 3/2-8 Peninsula Blvd, Seaford VIC 3198Ao Zhou ","Wu Can , Pin Zhi , Han Bao , Jia Ge , Pai , Zao Shang , Che , Gou , Wai Dai ",https://www.google.com/maps/place/501+Booster+Cafe+%26+Bistro/data=!4m7!3m6!1s0x6ad60caa68c6ca15:0xd0235afa85b01558!8m2!3d-38.1148222!4d145.140763!16s%2Fg%2F1tdzlpvt!19sChIJFcrGaKoM1moRWBWwhfpaI9A?authuser=0&hl=zh-TW&rclk=1
ChIJcSR3PTdz1moRL0GWHswAthI,Seaford Coffee Train,,False,140,"Name: Beach Cafe Seaford
link: https://www.google.com/maps/search/Beach+Cafe+Seaford/@-38.1032666,145.1250136?authuser=0&hl=zh-TW&entry=ttu
Reviews: 862 reviews

Name: 38 South Bar Cafe
link: https://www.google.com/maps/search/38+South+Bar+Cafe/@-38.103760699999995,145.1260943?authuser=0&hl=zh-TW&entry=ttu
Reviews: 570 reviews

Name: Coffee Home Cafe
link: https://www.google.com/maps/search/Coffee+Home+Cafe/@-38.1038449,145.1261037?authuser=0&hl=zh-TW&entry=ttu
Reviews: 239 reviews

Name: Coffee for the People Roasting Co.
link: https://www.google.com/maps/search/Coffee+for+the+People+Roasting+Co./@-38.0935194,145.13213059999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 186 reviews

Name: 501 Booster Cafe & Bistro
link: https://www.google.com/maps/search/501+Booster+Cafe+%26+Bistro/@-38.1148222,145.140763?authuser=0&hl=zh-TW&entry=ttu
Reviews: 155 reviews",https://facebook.com/seafordcoffeetrain/,Seaford Coffee Train (Ye Zhu ),https://www.google.com/maps/contrib/113249259265895460451,https://lh5.googleusercontent.com/p/AF1QipMGWHtKLj-L5CDLzAC6GWHjf3FZQMufmnJX8wQo=w408-h408-k-no,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting , Ka Pei Dian ",4.6,07:00-15:00,Xing Qi Ri ,+61 3 9786 4307,"Seaford Coffee Train, 113 Railway Parade, Seaford VIC 3198Ao Zhou ","You Le Chang , Wai Dai , Jia Ge , Fa Guo Mian Bao , Niu Pai , Dan ",https://www.google.com/maps/place/Seaford+Coffee+Train/data=!4m7!3m6!1s0x6ad673373d772471:0x12b600cc1e96412f!8m2!3d-38.089036!4d145.128462!16s%2Fg%2F11g7_b9464!19sChIJcSR3PTdz1moRL0GWHswAthI?authuser=0&hl=zh-TW&rclk=1
ChIJk-A1SVJz1moRKNwMwmXMNyc,18-EightyEight,,False,97,"Name: Beach Cafe Seaford
link: https://www.google.com/maps/search/Beach+Cafe+Seaford/@-38.1032666,145.1250136?authuser=0&hl=zh-TW&entry=ttu
Reviews: 862 reviews

Name: 38 South Bar Cafe
link: https://www.google.com/maps/search/38+South+Bar+Cafe/@-38.103760699999995,145.1260943?authuser=0&hl=zh-TW&entry=ttu
Reviews: 570 reviews

Name: Coffee Home Cafe
link: https://www.google.com/maps/search/Coffee+Home+Cafe/@-38.1038449,145.1261037?authuser=0&hl=zh-TW&entry=ttu
Reviews: 239 reviews

Name: 501 Booster Cafe & Bistro
link: https://www.google.com/maps/search/501+Booster+Cafe+%26+Bistro/@-38.1148222,145.140763?authuser=0&hl=zh-TW&entry=ttu
Reviews: 155 reviews

Name: Seaford Coffee Train
link: https://www.google.com/maps/search/Seaford+Coffee+Train/@-38.089036,145.12846199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 140 reviews",http://1888seaford.com.au/,18-EightyEight (Ye Zhu ),https://www.google.com/maps/contrib/110218177514497343058,https://lh5.googleusercontent.com/p/AF1QipNOHv1Gfa1HoenuWUDfCWYhr9QN0e6koed6N1FE=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.8,05:30-18:00,Open All Days,+61 3 8774 5374,"18-EightyEight, 5 Station St, Seaford VIC 3198Ao Zhou ","Dan Gao , atmosphere, Gou , Xi Guan , Yan Se , Zao Shang , Ning Meng , Wai Dai , Bei ",https://www.google.com/maps/place/18-EightyEight/data=!4m7!3m6!1s0x6ad673524935e093:0x2737cc65c20cdc28!8m2!3d-38.1033771!4d145.1263814!16s%2Fg%2F11smyfw5c6!19sChIJk-A1SVJz1moRKNwMwmXMNyc?authuser=0&hl=zh-TW&rclk=1
ChIJq28GSLgM1moRYLq2j1GOhjs,Brunch on Brunel Cafe,,False,59,"Name: Beach Cafe Seaford
link: https://www.google.com/maps/search/Beach+Cafe+Seaford/@-38.1032666,145.1250136?authuser=0&hl=zh-TW&entry=ttu
Reviews: 862 reviews

Name: 38 South Bar Cafe
link: https://www.google.com/maps/search/38+South+Bar+Cafe/@-38.103760699999995,145.1260943?authuser=0&hl=zh-TW&entry=ttu
Reviews: 570 reviews

Name: Coffee Home Cafe
link: https://www.google.com/maps/search/Coffee+Home+Cafe/@-38.1038449,145.1261037?authuser=0&hl=zh-TW&entry=ttu
Reviews: 239 reviews

Name: 501 Booster Cafe & Bistro
link: https://www.google.com/maps/search/501+Booster+Cafe+%26+Bistro/@-38.1148222,145.140763?authuser=0&hl=zh-TW&entry=ttu
Reviews: 155 reviews

Name: The Black Goose
link: https://www.google.com/maps/search/The+Black+Goose/@-38.1134199,145.1419271?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews",https://facebook.com/brunchonbrunel,Brunch on Brunel Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO_dtcxHsrN7erwfIumluGIyMWWhYcDTOqV8JOo=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting , Ka Pei Dian , Can Ting ",4.6,05:00-14:30,"Xing Qi Liu , Xing Qi Ri ",+61 3 9785 1566,"Brunch on Brunel Cafe, 67 Brunel Rd, Seaford VIC 3198Ao Zhou ","Wu Can , Shu Pian , Pai ",https://www.google.com/maps/place/Brunch+on+Brunel+Cafe/data=!4m7!3m6!1s0x6ad60cb848066fab:0x3b868e518fb6ba60!8m2!3d-38.1014648!4d145.1499068!16s%2Fg%2F11bccl_j2s!19sChIJq28GSLgM1moRYLq2j1GOhjs?authuser=0&hl=zh-TW&rclk=1
