place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJYxJMXu3fmwARsQqjFwZvCgs,Cacau Show,,False,65,"Name: Gelato's
link: https://www.google.com/maps/search/Gelato%27s/@-7.991845100000001,-38.2998863?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: Bomboniere Doce Magia
link: https://www.google.com/maps/search/Bomboniere+Doce+Magia/@-7.990270700000001,-38.300104399999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: BRASIL CACAU
link: https://www.google.com/maps/search/BRASIL+CACAU/@-7.990899400000001,-38.2998945?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Fantastica bomboniere
link: https://www.google.com/maps/search/Fant%C3%A1stica+bomboniere/@-7.9910141999999995,-38.3026911?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Casa das embalagens
link: https://www.google.com/maps/search/Casa+das+embalagens/@-7.9890713999999985,-38.302159599999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.cacaushow.com.br/,Cacau Show (Ye Zhu ),https://www.google.com/maps/contrib/116143711956911068875,https://lh5.googleusercontent.com/p/AF1QipOlBbnqXRe93PLEEf0YU4wIH5t8928j8WrixrBQ=w426-h240-k-no,Qiao Ke Li Gong Chang ,"Qiao Ke Li Gong Chang , Tang Guo Dian , Qiao Ke Li Gong Jiang , Ka Pei Dian , Xue Gao Dian ",4.6,08:00-18:00,Xing Qi Ri ,+55 87 3831-6407,"Cacau Show - Rua Enock Ignacio de Oliveira, 807 - Nossa Sra. da Penha, Serra Talhada - PE, 56903-400Ba Xi ",,https://www.google.com/maps/place/Cacau+Show/data=!4m7!3m6!1s0x9bdfed5e4c1263:0xb0a6f0617a30ab1!8m2!3d-7.9907226!4d-38.2997068!16s%2Fg%2F1ptx2jt4s!19sChIJYxJMXu3fmwARsQqjFwZvCgs?authuser=0&hl=zh-TW&rclk=1
ChIJjQ_Rp78XpwcRiQTQaxJYe9M,Bro Gelatos e Crepes,,False,22,"Name: Chiquinho Sorvetes
link: https://www.google.com/maps/search/Chiquinho+Sorvetes/@-7.9916073999999995,-38.2969501?authuser=0&hl=zh-TW&entry=ttu
Reviews: 233 reviews

Name: Gelato's
link: https://www.google.com/maps/search/Gelato%27s/@-7.991845100000001,-38.2998863?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: Lingua Doce
link: https://www.google.com/maps/search/L%C3%ADngua+Doce/@-7.9867754999999985,-38.2909748?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: Sorveteria Quatro Estacoes
link: https://www.google.com/maps/search/Sorveteria+Quatro+Esta%C3%A7oes/@-7.9905683,-38.2826658?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews",https://www.instagram.com/brogelatosecrepes/,Bro Gelatos e Crepes (Ye Zhu ),https://www.google.com/maps/contrib/104770632565428979429,https://lh5.googleusercontent.com/p/AF1QipNReD4R3eummNBHAKQOj_Z0FZN2Gqsj8Osfd7Se=w408-h510-k-no,Xue Gao Dian ,"Xue Gao Dian , Ka Pei Dian , Fa Shi Bo Bing Can Ting ",4.6,10:00-22:00,Open All Days,+55 87 98133-8852,"Bro Gelatos e Crepes - Av. Adriano Duque de Godoy Sousa, 001 - Shopping - Nossa Sra. da Penha, Serra Talhada - PE, 56903-500Ba Xi ",,https://www.google.com/maps/place/Bro+Gelatos+e+Crepes/data=!4m7!3m6!1s0x7a717bfa7d10f8d:0xd37b58126bd00489!8m2!3d-7.9847764!4d-38.2993861!16s%2Fg%2F11htgbc3y5!19sChIJjQ_Rp78XpwcRiQTQaxJYe9M?authuser=0&hl=zh-TW&rclk=1
ChIJ18xJ6-sXpwcRqge4qDxGzXs,Duckbill Cookies & Coffee Serra Talhada,,False,10,"Name: Pastelaria Docura Caseira Filial II
link: https://www.google.com/maps/search/Pastelaria+Do%C3%A7ura+Caseira+Filial+II/@-7.989424499999999,-38.288182899999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews

Name: Bilisq
link: https://www.google.com/maps/search/Bilisq/@-7.9924316,-38.2995877?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews

Name: Cafe do vila
link: https://www.google.com/maps/search/Caf%C3%A9+do+vila/@-7.9909513,-38.2908671?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Coffee Delivery
link: https://www.google.com/maps/search/Coffee+Delivery/@-7.9976248,-38.2945633?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Lanchonete do Luiz
link: https://www.google.com/maps/search/Lanchonete+do+Luiz/@-7.989725599999999,-38.2950829?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.instagram.com/duckbill.serratalhada/%23,Duckbill Cookies & Coffee Serra Talhada (Ye Zhu ),https://www.google.com/maps/contrib/109636066070813874547,https://lh5.googleusercontent.com/p/AF1QipOrxK_Jt-n3suobitdM-1gpvqSX334OviSauQ2T=w408-h725-k-no,Ka Pei Dian ,Ka Pei Dian ,5,10:00-22:00,Open All Days,+55 87 99136-2180,"Duckbill Cookies & Coffee Serra Talhada - Av. Adriano Duque de Godoy Sousa, 001 - Loja 150 - Nossa Sra. da Penha, Serra Talhada - PE, 56903-525Ba Xi ",,https://www.google.com/maps/place/Duckbill+Cookies+%26+Coffee+Serra+Talhada/data=!4m7!3m6!1s0x7a717ebeb49ccd7:0x7bcd463ca8b807aa!8m2!3d-7.9846298!4d-38.2991188!16s%2Fg%2F11sjf_nnpb!19sChIJ18xJ6-sXpwcRqge4qDxGzXs?authuser=0&hl=zh-TW&rclk=1
ChIJu_vZEx4XpwcR-XkQSVFznR8,Brunet Confeitaria,,False,,,https://instagram.com/brunetatelierpe%3Figshid%3DOGQ5ZDc2ODk2ZA%3D%3D,Brunet Confeitaria (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pwFAgvxlj2Y5UJUY1Wjjjg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=218.90086&pitch=0&thumbfov=100,Ka Pei Dian ,Ka Pei Dian ,,09:00-18:00,"Xing Qi Yi , Xing Qi Ri ",+55 87 98823-0010,"Brunet Confeitaria - R. Manoel Pereira Lins, 778 - Sao Cristovao, Serra Talhada - PE, 56903-340Ba Xi ",,https://www.google.com/maps/place/Brunet+Confeitaria/data=!4m7!3m6!1s0x7a7171e13d9fbbb:0x1f9d7351491079f9!8m2!3d-7.9888916!4d-38.2932164!16s%2Fg%2F11vks59g2v!19sChIJu_vZEx4XpwcR-XkQSVFznR8?authuser=0&hl=zh-TW&rclk=1
ChIJIcdBYjQXpwcRCcn8s5yaHM8,Cacau Show,,False,,,https://www.cacaushow.com.br/,Cacau Show (Ye Zhu ),https://www.google.com/maps/contrib/115595381113995933062,https://lh5.googleusercontent.com/p/AF1QipPtspfWuwj4bHk1WlgN50iV_sMXevK85SGIil91=w426-h240-k-no,Qiao Ke Li Gong Chang ,"Qiao Ke Li Gong Chang , Tang Guo Dian , Qiao Ke Li Gong Jiang , Ka Pei Dian , Xue Gao Dian ",,10:00-22:00,Open All Days,+55 800 11 9263,"Cacau Show - Av. Adriano Duque de Godoy Sousa, 1 - Nossa Senhora Da Pen, Serra Talhada - PE, 56903-525Ba Xi ",,https://www.google.com/maps/place/Cacau+Show/data=!4m7!3m6!1s0x7a717346241c721:0xcf1c9a9cb3fcc909!8m2!3d-7.98531!4d-38.3001376!16s%2Fg%2F11kqrpjtwc!19sChIJIcdBYjQXpwcRCcn8s5yaHM8?authuser=0&hl=zh-TW&rclk=1
ChIJOTMT0TcWpwcRnSyvlzqnAuA,Padaria do Rodeio,,False,468,"Name: Espetinho do rodeio
link: https://www.google.com/maps/search/Espetinho+do+rodeio/@-7.9856841,-38.296179699999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 122 reviews

Name: Padaria Cantina do Pao
link: https://www.google.com/maps/search/Padaria+Cantina+do+P%C3%A3o/@-7.9896748,-38.2875437?authuser=0&hl=zh-TW&entry=ttu
Reviews: 52 reviews

Name: Panificadora Doce Talento
link: https://www.google.com/maps/search/Panificadora+Doce+Talento/@-7.9799693,-38.2850274?authuser=0&hl=zh-TW&entry=ttu
Reviews: 37 reviews",,Padaria do Rodeio (Ye Zhu ),https://www.google.com/maps/contrib/116515783254397365215,https://lh5.googleusercontent.com/p/AF1QipMB9dkkzaiz9ZkUvVubAQU4wD-vjFiGPyz-tI1c=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Tang Guo Gao Bing Dian ",4.3,06:00-20:00,Xing Qi Ri ,+55 87 99992-9777,"Padaria do Rodeio - Av. Miguel Nunes de Souza, 191 - Sao Cristovao, Serra Talhada - PE, 56903-120Ba Xi ","Mian Bao , Pai , Chan Pin , Jia Ge , Qing Shi , Guo Jiang , Zu Zhi , Pin Wei , Di Qu ",https://www.google.com/maps/place/Padaria+do+Rodeio/data=!4m7!3m6!1s0x7a71637d1133339:0xe002a73a97af2c9d!8m2!3d-7.9857648!4d-38.2965806!16s%2Fg%2F11b7rtn711!19sChIJOTMT0TcWpwcRnSyvlzqnAuA?authuser=0&hl=zh-TW&rclk=1
ChIJoQcIOVEXpwcRL_HwGFEKnEQ,Cafe do vila,,False,24,"Name: Padaria Vila Bela
link: https://www.google.com/maps/search/Padaria+Vila+Bela/@-7.9951598,-38.293694699999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 653 reviews

Name: Panificadora Vila Bella
link: https://www.google.com/maps/search/Panificadora+Vila+Bella/@-7.9885367,-38.2974092?authuser=0&hl=zh-TW&entry=ttu
Reviews: 132 reviews

Name: Coffee Delivery
link: https://www.google.com/maps/search/Coffee+Delivery/@-7.9976248,-38.2945633?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Cafes PRIME
link: https://www.google.com/maps/search/Caf%C3%A9s+PRIME/@-7.988162000000001,-38.2873242?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafe do vila (Ye Zhu ),https://www.google.com/maps/contrib/116786559245759534283,https://lh5.googleusercontent.com/p/AF1QipPFwBBkvaL0-5jJ-kjssRdJoBk8pnzYlOcKYNyB=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.7,07:30-21:00,Xing Qi Ri ,+55 87 98105-4141,"Cafe do vila - Aabb, Serra Talhada - PE, 56912-240Ba Xi ",Huan Jing ,https://www.google.com/maps/place/Caf%C3%A9+do+vila/data=!4m7!3m6!1s0x7a71751390807a1:0x449c0a5118f0f12f!8m2!3d-7.9909513!4d-38.2908671!16s%2Fg%2F11n5wfnxhg!19sChIJoQcIOVEXpwcRL_HwGFEKnEQ?authuser=0&hl=zh-TW&rclk=1
ChIJjUIfJAoXpwcRGK0rNie4U2Y,Panificadora Estrela Da Manha,,False,21,"Name: Padaria Cantina do Pao
link: https://www.google.com/maps/search/Padaria+Cantina+do+P%C3%A3o/@-7.9896748,-38.2875437?authuser=0&hl=zh-TW&entry=ttu
Reviews: 52 reviews

Name: Panificadora Doce Talento
link: https://www.google.com/maps/search/Panificadora+Doce+Talento/@-7.9799693,-38.2850274?authuser=0&hl=zh-TW&entry=ttu
Reviews: 37 reviews

Name: PADARIA SANTANA
link: https://www.google.com/maps/search/PADARIA+SANTANA/@-7.9900741,-38.2805824?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews

Name: Panificadora da Serra
link: https://www.google.com/maps/search/Panificadora+da+Serra/@-7.9967086,-38.2923279?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Panificadora estrela da manha 2
link: https://www.google.com/maps/search/Panificadora+estrela+da+manh%C3%A3+2/@-7.9927190999999995,-38.2798957?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Panificadora Estrela Da Manha (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPC_CMM9-I3X-mvlw0lm47MVKDEhGSxrRKYGpQ=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.1,05:00-21:00,Open All Days,+55 87 99936-5886,"Panificadora Estrela Da Manha - R. Monsenhor Jose Kerhle - Varzea, Serra Talhada - PE, 56903-000Ba Xi ",,https://www.google.com/maps/place/Panificadora+Estrela+Da+Manh%C3%A3/data=!4m7!3m6!1s0x7a7170a241f428d:0x6653b827362bad18!8m2!3d-7.9873529!4d-38.2817329!16s%2Fg%2F11h1yh6fb8!19sChIJjUIfJAoXpwcRGK0rNie4U2Y?authuser=0&hl=zh-TW&rclk=1
ChIJJ7fJqWoWpwcRrdqvck2cgjc,Coffee Delivery,,False,12,"Name: Cafe do vila
link: https://www.google.com/maps/search/Caf%C3%A9+do+vila/@-7.9909513,-38.2908671?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Doceria Delivery
link: https://www.google.com/maps/search/Doceria+Delivery/@-7.987747100000001,-38.3055234?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Cafes PRIME
link: https://www.google.com/maps/search/Caf%C3%A9s+PRIME/@-7.988162000000001,-38.2873242?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: CASA DA PIZZA DELIVERY SERRA TALHADA
link: https://www.google.com/maps/search/CASA+DA+PIZZA+DELIVERY+SERRA+TALHADA/@-7.9864847,-38.2793064?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Coffee Delivery (Ye Zhu ),https://www.google.com/maps/contrib/100964832313816545878,https://lh5.googleusercontent.com/p/AF1QipPqme2v9O88Pzw-eMGay8CLo1QehHi-ZDBnRoL5=w408-h725-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,07:00-16:00,Xing Qi Ri ,+55 87 99958-7428,"Coffee Delivery - Avenida Custodio Conrado de Lorena e Sa- 704 B - Aabb, Serra Talhada - PE, 56912-550Ba Xi ",,https://www.google.com/maps/place/Coffee+Delivery/data=!4m7!3m6!1s0x7a7166aa9c9b727:0x37829c4d72afdaad!8m2!3d-7.9976248!4d-38.2945633!16s%2Fg%2F11c7n_m6kt!19sChIJJ7fJqWoWpwcRrdqvck2cgjc?authuser=0&hl=zh-TW&rclk=1
ChIJ5XtnYgUXpwcRRbdXb_zlw1U,FB Flats,,False,3,"Name: Blend
link: https://www.google.com/maps/search/Blend/@-7.9899742,-38.292621?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: The B Burgers Serra Talhada/PE
link: https://www.google.com/maps/search/The+B+Burgers+Serra+Talhada%2FPE/@-7.9908014,-38.2931999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: Leve&Fit ""Nutricao Gourmet""
link: https://www.google.com/maps/search/Leve%26Fit+%22Nutri%C3%A7%C3%A3o+Gourmet%22/@-7.993472199999999,-38.294877299999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Brows Gourmet
link: https://www.google.com/maps/search/Brows+Gourmet/@-7.989456700000001,-38.2839807?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,FB Flats (Ye Zhu ),https://www.google.com/maps/contrib/115944666105267535587,https://lh5.googleusercontent.com/p/AF1QipN8-kEXq7MOr9h17HD8Z0Ja4RG1ZI4Po1SlDRF5=w408-h544-k-no,Fa Shi Bo Bing Can Ting ,Fa Shi Bo Bing Can Ting ,5,,Open All Days,+55 87 99991-1789,"FB Flats - R. Cel. Cornelio Soares, 462 - Nossa Sra. da Penha, Serra Talhada - PE, 56903-440Ba Xi ",,https://www.google.com/maps/place/FB+Flats/data=!4m7!3m6!1s0x7a7170562677be5:0x55c3e5fc6f57b745!8m2!3d-7.9923892!4d-38.3011113!16s%2Fg%2F11tj9z9wg7!19sChIJ5XtnYgUXpwcRRbdXb_zlw1U?authuser=0&hl=zh-TW&rclk=1
