place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJUZ7a9imt30YREgmc1EaQ_NQ,Evroopt Market,,False,467,"Name: Rodny Kut
link: https://www.google.com/maps/search/Rodny+Kut/@53.5932154,24.7256075?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews

Name: Khit! Ekspress
link: https://www.google.com/maps/search/%D0%A5%D0%B8%D1%82%21+%D0%AD%D0%BA%D1%81%D0%BF%D1%80%D0%B5%D1%81%D1%81/@53.613949399999996,24.7354755?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: DOM TORGOVLI TUP SCHUCHINTORG
link: https://www.google.com/maps/search/DOM+TORGOVLI+TUP+SCHUCHINTORG/@53.6054792,24.740990699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Kopeyechka
link: https://www.google.com/maps/search/Kopeyechka/@53.6113815,24.743391?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Ostrov Chistoty I Vkusa
link: https://www.google.com/maps/search/Ostrov+Chistoty+I+Vkusa/@53.60317,24.743078?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://evroopt.by/,Evroopt Market (Ye Zhu ),https://www.google.com/maps/contrib/112010124833699254945,https://lh5.googleusercontent.com/p/AF1QipMm9RPiqv5Ja1ABs72g5v4pYkxyZdcar2LRoDiw=w408-h544-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.7,09:00-21:00,Open All Days,+375 44 788-88-80,"Evroopt Market, Ulitsa Gastello 6, Shchuchyn, Hrodna Region, Bai E Luo Si ",,https://www.google.com/maps/place/%D0%95%D0%B2%D1%80%D0%BE%D0%BE%D0%BF%D1%82+Market/data=!4m7!3m6!1s0x46dfad29f6da9e51:0xd4fc9046d49c0912!8m2!3d53.6031176!4d24.7430486!16s%2Fg%2F11crzg5t1w!19sChIJUZ7a9imt30YREgmc1EaQ_NQ?authuser=0&hl=zh-TW&rclk=1
ChIJI6A6wdJS3kYRSC9xc-922b4,ALMI GASTRONOM ZAO YUNIFUD,,False,425,"Name: Santa Super
link: https://www.google.com/maps/search/Santa+Super/@53.613237,24.728921?authuser=0&hl=zh-TW&entry=ttu
Reviews: 226 reviews

Name: UNIVERSAM N 2 SCHUCHINSKOGO FILIALA OBLPO
link: https://www.google.com/maps/search/UNIVERSAM+N+2+SCHUCHINSKOGO+FILIALA+OBLPO/@53.603453099999996,24.7319765?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Khit! Ekspress
link: https://www.google.com/maps/search/%D0%A5%D0%B8%D1%82%21+%D0%AD%D0%BA%D1%81%D0%BF%D1%80%D0%B5%D1%81%D1%81/@53.613949399999996,24.7354755?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: FIRMENNYI MAGAZIN N 2 OAO SCHUCHINSKII MASLOSYRZAVOD
link: https://www.google.com/maps/search/FIRMENNYI+MAGAZIN+N+2+OAO+SCHUCHINSKII+MASLOSYRZAVOD/@53.611206599999996,24.7369917?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Mila
link: https://www.google.com/maps/search/Mila/@53.613237999999996,24.728921999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.almi.by/,ALMI GASTRONOM ZAO YUNIFUD (Ye Zhu ),https://www.google.com/maps/contrib/103043097265650199923,https://lh5.googleusercontent.com/p/AF1QipPgaypIwfT50v_hVgd7brWBc9zwiw3_n9MohNtg=w408-h272-k-no,Za Huo Dian ,Za Huo Dian ,3.9,08:00-23:00,Open All Days,+375 1514 73-765,"ALMI GASTRONOM ZAO YUNIFUD, Ulitsa Sovetskaya 10, Shchuchyn, Hrodna Region, Bai E Luo Si ","Shou Yin , Jia Ge , Gao , Li Mao , Dian Yuan , Ren , Xuan Ze ",https://www.google.com/maps/place/ALMI+GASTRONOM+ZAO+YUNIFUD/data=!4m7!3m6!1s0x46de52d2c13aa023:0xbed976ef73712f48!8m2!3d53.6125265!4d24.7367956!16s%2Fg%2F11dyqrdp4y!19sChIJI6A6wdJS3kYRSC9xc-922b4?authuser=0&hl=zh-TW&rclk=1
ChIJ0RHoUa1S3kYRxjTgWxTfGtI,M6,,False,324,"Name: Grill food
link: https://www.google.com/maps/search/Grill+food/@53.611424899999996,24.7374936?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: M6 KAFE SCHUCHINSKOGO FILIALA OBLPOTREBOBSCHESTVA
link: https://www.google.com/maps/search/M6+KAFE+SCHUCHINSKOGO+FILIALA+OBLPOTREBOBSCHESTVA/@53.6039205,24.738353600000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: BelToll
link: https://www.google.com/maps/search/BelToll/@53.618816499999994,24.7014911?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.oblpo.by/,M6 (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP12LDOP59NV2hWtgyWwZwPIarPrYGf9rb75UhW=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,3.6,24 Xiao Shi Ying Ye ,Open All Days,,"M6, Mitsary, Hrodna Region, Bai E Luo Si ",Jia Ge ,https://www.google.com/maps/place/M6/data=!4m7!3m6!1s0x46de52ad51e811d1:0xd21adf145be034c6!8m2!3d53.6189548!4d24.7009134!16s%2Fg%2F12cpkxq8k!19sChIJ0RHoUa1S3kYRxjTgWxTfGtI?authuser=0&hl=zh-TW&rclk=1
ChIJy54CvNJT3kYRYVDUd1h7Ucw,Santa Super,,False,226,"Name: Evroopt Market
link: https://www.google.com/maps/search/%D0%95%D0%B2%D1%80%D0%BE%D0%BE%D0%BF%D1%82+Market/@53.6031176,24.743048599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 467 reviews

Name: ALMI GASTRONOM ZAO YUNIFUD
link: https://www.google.com/maps/search/ALMI+GASTRONOM+ZAO+YUNIFUD/@53.612526499999994,24.7367956?authuser=0&hl=zh-TW&entry=ttu
Reviews: 425 reviews

Name: Produkty Magazin N 7 Chup Prodtorg N 1
link: https://www.google.com/maps/search/Produkty+Magazin+N+7+Chup+Prodtorg+N+1/@53.6132061,24.730392199999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 77 reviews

Name: Khit! Standart
link: https://www.google.com/maps/search/%D0%A5%D0%B8%D1%82%21+%D0%A1%D1%82%D0%B0%D0%BD%D0%B4%D0%B0%D1%80%D1%82/@53.6149184,24.740520300000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: ZAPADNYI MAGAZIN N 25 CHUP PRODTORG N 1
link: https://www.google.com/maps/search/ZAPADNYI+MAGAZIN+N+25+CHUP+PRODTORG+N+1/@53.5962221,24.732475899999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews",https://santa.by/,Santa Super (Ye Zhu ),https://www.google.com/maps/contrib/100768177118752288773,https://lh5.googleusercontent.com/p/AF1QipNf5dN4GZlMIOBj_dI_qpmvRWNHGv-M1elIATj-=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4,09:00-23:00,Open All Days,+375 33 376-05-85,"Santa Super, Ulitsa Zavodskaya 9, Shchuchyn, Hrodna Region, Bai E Luo Si ",Pi Sa ,https://www.google.com/maps/place/Santa+Super/data=!4m7!3m6!1s0x46de53d2bc029ecb:0xcc517b5877d45061!8m2!3d53.613237!4d24.728921!16s%2Fg%2F11j8lypw_r!19sChIJy54CvNJT3kYRYVDUd1h7Ucw?authuser=0&hl=zh-TW&rclk=1
ChIJoXL3n6-t30YR1n4mHkhkoGg,Dobronom,,False,137,"Name: ALMI GASTRONOM ZAO YUNIFUD
link: https://www.google.com/maps/search/ALMI+GASTRONOM+ZAO+YUNIFUD/@53.612526499999994,24.7367956?authuser=0&hl=zh-TW&entry=ttu
Reviews: 425 reviews

Name: Rodny Kut
link: https://www.google.com/maps/search/Rodny+Kut/@53.5932154,24.7256075?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews

Name: UNIVERSAM N 2 SCHUCHINSKOGO FILIALA OBLPO
link: https://www.google.com/maps/search/UNIVERSAM+N+2+SCHUCHINSKOGO+FILIALA+OBLPO/@53.603453099999996,24.7319765?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: DOM TORGOVLI TUP SCHUCHINTORG
link: https://www.google.com/maps/search/DOM+TORGOVLI+TUP+SCHUCHINTORG/@53.6054792,24.740990699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Produkty Magazin N 3 Chup Prodtorg N 1
link: https://www.google.com/maps/search/Produkty+Magazin+N+3+Chup+Prodtorg+N+1/@53.6106103,24.736426200000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://dobronom.by/,Dobronom (Ye Zhu ),https://www.google.com/maps/contrib/114854536110276620293,https://lh5.googleusercontent.com/p/AF1QipNQQk_E_RIszdgiR2qrCgnN2DR30KfXDz_Cue8L=w426-h240-k-no,Za Huo Dian ,"Za Huo Dian , Chao Ji Shi Chang ",4,09:00-22:00,Open All Days,+375 29 144-70-00,"Dobronom, Ploshchad' Svobody 3, Shchuchyn, Hrodna Region 231513Bai E Luo Si ",Jia Ge ,https://www.google.com/maps/place/Dobronom/data=!4m7!3m6!1s0x46dfadaf9ff772a1:0x68a064481e267ed6!8m2!3d53.605359!4d24.7433461!16s%2Fg%2F11f7r0hzkp!19sChIJoXL3n6-t30YR1n4mHkhkoGg?authuser=0&hl=zh-TW&rclk=1
ChIJLTdu9tus30YRWZMxJEJJsHo,Ami Mebel',,False,38,"Name: Pinskdrev
link: https://www.google.com/maps/search/Pinskdrev/@53.595724,24.743174?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: SCHUCHINMEBELSTROI CHPTUP
link: https://www.google.com/maps/search/SCHUCHINMEBELSTROI+CHPTUP/@53.615521,24.7415801?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: UYUT MAGAZIN OOO MADRID
link: https://www.google.com/maps/search/UYUT+MAGAZIN+OOO+MADRID/@53.611275,24.743033300000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Magazin
link: https://www.google.com/maps/search/Magazin/@53.5958892,24.7436839?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.laguna.by/,Ami Mebel' (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMpa1LCCtb9CQOqIp_rpMsMn9MRPfRkwnXTFDFh=w408-h306-k-no,Jia Dian ,Jia Dian ,4.1,10:00-19:00,Open All Days,+375 44 780-14-22,"Ami Mebel', ul. 17 Sentiabria, Shchuchyn, Hrodna Region, Bai E Luo Si ",,https://www.google.com/maps/place/Ami+Mebel%27/data=!4m7!3m6!1s0x46dfacdbf66e372d:0x7ab0494224319359!8m2!3d53.5957527!4d24.7435625!16s%2Fg%2F11c52rcqhv!19sChIJLTdu9tus30YRWZMxJEJJsHo?authuser=0&hl=zh-TW&rclk=1
ChIJJ8hgT35T3kYRiJt8-TXfVfQ,Khit! Standart,,False,26,"Name: Evroopt Market
link: https://www.google.com/maps/search/%D0%95%D0%B2%D1%80%D0%BE%D0%BE%D0%BF%D1%82+Market/@53.6031176,24.743048599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 467 reviews

Name: Santa Super
link: https://www.google.com/maps/search/Santa+Super/@53.613237,24.728921?authuser=0&hl=zh-TW&entry=ttu
Reviews: 226 reviews

Name: Magazin Master
link: https://www.google.com/maps/search/Magazin+Master/@53.6155013,24.740899799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 86 reviews

Name: AISBERG MAGAZIN CHTUP SLAVBEREG
link: https://www.google.com/maps/search/AISBERG+MAGAZIN+CHTUP+SLAVBEREG/@53.6032006,24.7334314?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Mag. ""Chistaya Voda""
link: https://www.google.com/maps/search/Mag.+%22Chistaya+Voda%22/@53.6040437,24.7436436?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://hitdiscount.by/,Khit! Standart (Ye Zhu ),https://www.google.com/maps/contrib/102846870598979739250,https://lh5.googleusercontent.com/p/AF1QipPqRhhUx8ygcsUzmFAkE-5vjGMcLQwhl0Patxbr=w408-h725-k-no,Za Huo Dian ,Za Huo Dian ,4.3,09:00-22:00,Open All Days,+375 44 500-11-99,"Khit! Standart, Ulitsa Aviatorov 4, Shchuchyn, Hrodna Region, Bai E Luo Si ",,https://www.google.com/maps/place/%D0%A5%D0%B8%D1%82!+%D0%A1%D1%82%D0%B0%D0%BD%D0%B4%D0%B0%D1%80%D1%82/data=!4m7!3m6!1s0x46de537e4f60c827:0xf455df35f97c9b88!8m2!3d53.6149184!4d24.7405203!16s%2Fg%2F11ft4j823r!19sChIJJ8hgT35T3kYRiJt8-TXfVfQ?authuser=0&hl=zh-TW&rclk=1
ChIJpQPVsOCt30YRfiG2rRPxBeY,Khit! Ekspress,,False,12,"Name: Evroopt Market
link: https://www.google.com/maps/search/%D0%95%D0%B2%D1%80%D0%BE%D0%BE%D0%BF%D1%82+Market/@53.6031176,24.743048599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 467 reviews

Name: Magazin ""Rodny kut""
link: https://www.google.com/maps/search/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%22%D0%A0%D0%BE%D0%B4%D0%BD%D1%8B+%D0%BA%D1%83%D1%82%22/@53.5962203,24.7325095?authuser=0&hl=zh-TW&entry=ttu
Reviews: 37 reviews

Name: ZAPADNYI MAGAZIN N 25 CHUP PRODTORG N 1
link: https://www.google.com/maps/search/ZAPADNYI+MAGAZIN+N+25+CHUP+PRODTORG+N+1/@53.5962221,24.732475899999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Mag. ""Chistaya Voda""
link: https://www.google.com/maps/search/Mag.+%22Chistaya+Voda%22/@53.6040437,24.7436436?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Universam
link: https://www.google.com/maps/search/Universam/@53.602402399999995,24.7419244?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://hitdiscount.by/,Khit! Ekspress (Ye Zhu ),https://www.google.com/maps/contrib/101194152912663231297,https://lh5.googleusercontent.com/p/AF1QipOsYOcTJvzyqHJm8O8d0Q3P9LhnC7qhi-N_iGYe=w426-h240-k-no,Za Huo Dian ,Za Huo Dian ,4.3,09:00-21:00,Open All Days,+375 44 500-11-99,"Khit! Ekspress, Zapadnaia ulitsa 3A, Shchuchyn, Hrodna Region, Bai E Luo Si ",,https://www.google.com/maps/place/%D0%A5%D0%B8%D1%82!+%D0%AD%D0%BA%D1%81%D0%BF%D1%80%D0%B5%D1%81%D1%81/data=!4m7!3m6!1s0x46dfade0b0d503a5:0xe605f113adb6217e!8m2!3d53.596028!4d24.732695!16s%2Fg%2F11j96tmg8g!19sChIJpQPVsOCt30YRfiG2rRPxBeY?authuser=0&hl=zh-TW&rclk=1
ChIJDzkyO_JT3kYRB0wysCsux8E,Khit! Ekspress,,False,5,"Name: Evroopt Market
link: https://www.google.com/maps/search/%D0%95%D0%B2%D1%80%D0%BE%D0%BE%D0%BF%D1%82+Market/@53.6031176,24.743048599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 467 reviews

Name: ALMI GASTRONOM ZAO YUNIFUD
link: https://www.google.com/maps/search/ALMI+GASTRONOM+ZAO+YUNIFUD/@53.612526499999994,24.7367956?authuser=0&hl=zh-TW&entry=ttu
Reviews: 425 reviews

Name: Santa Super
link: https://www.google.com/maps/search/Santa+Super/@53.613237,24.728921?authuser=0&hl=zh-TW&entry=ttu
Reviews: 226 reviews

Name: Kopeyechka
link: https://www.google.com/maps/search/Kopeyechka/@53.6113815,24.743391?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Mag. ""Chistaya Voda""
link: https://www.google.com/maps/search/Mag.+%22Chistaya+Voda%22/@53.6040437,24.7436436?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://hitdiscount.by/,Khit! Ekspress (Ye Zhu ),https://www.google.com/maps/contrib/114013357061334669298,https://lh5.googleusercontent.com/p/AF1QipNWS_XO7no0jFGziE0txrMcRdR3ZN-D-i3J4QHd=w408-h725-k-no,Za Huo Dian ,Za Huo Dian ,3.8,09:00-21:00,Open All Days,+375 44 500-11-99,"Khit! Ekspress, Ulitsa Sovetskaya 14, Shchuchyn, Hrodna Region, Bai E Luo Si ",,https://www.google.com/maps/place/%D0%A5%D0%B8%D1%82!+%D0%AD%D0%BA%D1%81%D0%BF%D1%80%D0%B5%D1%81%D1%81/data=!4m7!3m6!1s0x46de53f23b32390f:0xc1c72e2bb0324c07!8m2!3d53.6139494!4d24.7354755!16s%2Fg%2F11j967kmx7!19sChIJDzkyO_JT3kYRB0wysCsux8E?authuser=0&hl=zh-TW&rclk=1
ChIJhVpm83ZT3kYRW14LAzblqMc,Grill food,,False,4,"Name: Stary Horad Kafe Todo Veta
link: https://www.google.com/maps/search/Stary+Horad+Kafe+Todo+Veta/@53.604308599999996,24.7416075?authuser=0&hl=zh-TW&entry=ttu
Reviews: 370 reviews

Name: Restoran ""Shchuchin""
link: https://www.google.com/maps/search/Restoran+%22Shchuchin%22/@53.6064835,24.741968?authuser=0&hl=zh-TW&entry=ttu
Reviews: 87 reviews

Name: Zolotoi Bereg Kafe Schuchinskogo Raipo
link: https://www.google.com/maps/search/Zolotoi+Bereg+Kafe+Schuchinskogo+Raipo/@53.6038012,24.7421947?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: Favorit-Lyuks Kafe OOO Yetalontorg
link: https://www.google.com/maps/search/Favorit-Lyuks+Kafe+OOO+Yetalontorg/@53.615075499999996,24.738933799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: SUPER-PITsTsA | Dostavka pitstsy Shchuchin
link: https://www.google.com/maps/search/%D0%A1%D0%A3%D0%9F%D0%95%D0%A0-%D0%9F%D0%98%D0%A6%D0%A6%D0%90+%7C+%D0%94%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0+%D0%BF%D0%B8%D1%86%D1%86%D1%8B+%D0%A9%D1%83%D1%87%D0%B8%D0%BD/@53.611218699999995,24.7428619?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews",https://instagram.com/grill_food_shchuchin%3Futm_medium%3Dcopy_link,Grill food (Ye Zhu ),https://www.google.com/maps/contrib/104197577095903825831,https://lh5.googleusercontent.com/p/AF1QipPgoaV6TlETT_Qt6ULkcAORvfjFgwjzMZAfjqgr=w408-h540-k-no,Ka Pei Ting ,Ka Pei Ting ,4,12:00-21:00,"Xing Qi Yi , Xing Qi Er ",+375 44 700-85-84,"Grill food, Ulitsa Sovetskaya, Shchuchyn, Hrodna Region 231510Bai E Luo Si ",,https://www.google.com/maps/place/Grill+food/data=!4m7!3m6!1s0x46de5376f3665a85:0xc7a8e536030b5e5b!8m2!3d53.6114249!4d24.7374936!16s%2Fg%2F11pd3dnw2g!19sChIJhVpm83ZT3kYRW14LAzblqMc?authuser=0&hl=zh-TW&rclk=1
