place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJyw7pMwX0AzQRbL5PVwY2uZ8,Starbucks Coffee,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,20,"Name: Starbucks Coffee
link: https://www.google.com/maps/search/Starbucks+Coffee/@22.541287,114.095141?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: 92 Ka Pei Guan 
link: https://www.google.com/maps/search/92+%E5%92%96%E5%95%A1%E9%A4%A8/@22.538677,114.05357699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Xing Ba Ke Zhong Xin Shu Cheng Dian 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E4%B8%AD%E5%BF%83%E6%9B%B8%E5%9F%8E%E5%BA%97/@22.547560999999998,114.06022800000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Xing Ba Ke Zhen Xuan Dian 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E8%87%BB%E9%81%B8%E5%BA%97/@22.53715,114.06575?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Pin Shang Pin Ka Pei Di Dai 
link: https://www.google.com/maps/search/%E5%93%81%E5%B0%9A%E5%93%81%E5%92%96%E5%95%A1%E5%9C%B0%E5%B8%B6/@22.530386999999997,114.05203100000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.starbucks.com.cn/,Starbucks Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPIAZ-dSO5Yt_AJRiydLxePp-71vl1XUj3c9AjZ=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,3.8,07:30-22:00,Open All Days,+86 755 8831 3819,Zhong Guo Yan Dong Sheng Shen Zhen Shi Fu Tian Qu Fu Hua San Lu Fu Hua San Lu Xing He Su Huo Gou Wu Gong Yuan Shou Ceng L1S-001Hao  Starbucks Coffee You Zheng Bian Ma : 518046,,https://www.google.com/maps/place/Starbucks+Coffee/data=!4m7!3m6!1s0x3403f40533e90ecb:0x9fb93606574fbe6c!8m2!3d22.534225!4d114.053237!16s%2Fg%2F1tfx2hmc!19sChIJyw7pMwX0AzQRbL5PVwY2uZ8?authuser=0&hl=zh-TW&rclk=1
ChIJNwLd0cH1AzQRyOp-osbYlpk,Starbucks Coffee,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,15,"Name: Starbucks Coffee
link: https://www.google.com/maps/search/Starbucks+Coffee/@22.541287,114.095141?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Xing Ba Ke Xi Hui Cheng Dian 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E5%96%9C%E8%96%88%E5%9F%8E%E5%BA%97/@22.5685456,114.1388445?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Xing Ba Ke Zhong Xin Shu Cheng Dian 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E4%B8%AD%E5%BF%83%E6%9B%B8%E5%9F%8E%E5%BA%97/@22.547560999999998,114.06022800000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Starbucks (Hi City Branch)
link: https://www.google.com/maps/search/Starbucks+%28Hi+City+Branch%29/@22.546989999999997,114.13232?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Xing Ba Ke Ka Pei Shen Zhen Yuan Ling Fen Dian 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E5%92%96%E5%95%A1%E6%B7%B1%E5%9C%B3%E5%9C%92%E5%B6%BA%E5%88%86%E5%BA%97/@22.5525,114.10177999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.starbucks.com.cn/,Starbucks Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPDtdCFZacBGYTInm-4n0gGC5Z7RJ3R2HaUN4l2=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.1,,Open All Days,+86 755 2518 2535,Zhong Guo Yan Dong Sheng Shen Zhen Shi Luo Hu Qu Ren Min Nan Lu Jia Zhu Nuo You Yi Yan Chang 01Hao Pu  Starbucks Coffee,,https://www.google.com/maps/place/Starbucks+Coffee/data=!4m7!3m6!1s0x3403f5c1d1dd0237:0x9996d8c6a27eeac8!8m2!3d22.53716!4d114.11919!16s%2Fg%2F1w6_lfbs!19sChIJNwLd0cH1AzQRyOp-osbYlpk?authuser=0&hl=zh-TW&rclk=1
ChIJY3ntCAb0AzQRqIXnxL-ghtc,Starbucks Coffee,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,14,"Name: Beijiao
link: https://www.google.com/maps/search/Beijiao/@22.5374235,114.0533018?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Xing Ba Ke Zhong Xin Shu Cheng Dian 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E4%B8%AD%E5%BF%83%E6%9B%B8%E5%9F%8E%E5%BA%97/@22.547560999999998,114.06022800000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: LAVAZZALe Dao Ka Pei 
link: https://www.google.com/maps/search/LAVAZZA%E6%A8%82%E9%81%93%E5%92%96%E5%95%A1/@22.532741,114.059867?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Pacific Coffee
link: https://www.google.com/maps/search/Pacific+Coffee/@22.53284,114.05486?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Xing Ba Ke Zhen Xuan Dian 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E8%87%BB%E9%81%B8%E5%BA%97/@22.53715,114.06575?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.starbucks.com.cn/,Starbucks Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNNFB5avLaQtIqljkS-O8yJxJ9sdZlC-lWThx0r=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,,Open All Days,,"Zhong Guo Yan Dong Sheng Shen Zhen Shi Fu Tian Qu Fu Tian CBDShen Nan Da Dao 4005Hao , Starbucks Coffee You Zheng Bian Ma : 518048",,https://www.google.com/maps/place/Starbucks+Coffee/data=!4m7!3m6!1s0x3403f40608ed7963:0xd786a0bfc4e785a8!8m2!3d22.5385302!4d114.0543315!16s%2Fg%2F1tdg0tlf!19sChIJY3ntCAb0AzQRqIXnxL-ghtc?authuser=0&hl=zh-TW&rclk=1
ChIJsTzVEsv1AzQRSKzRXoV0TYY,Starbucks Coffee,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,12,"Name: Xing Ba Ke Ka Pei starbucks coffeeDi Wang Da Sha Dian 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E5%92%96%E5%95%A1starbucks+coffee%E5%9C%B0%E7%8E%8B%E5%A4%A7%E5%8E%A6%E5%BA%97/@22.542354,114.11026700000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Guan Xing Tai Ka Pei Ting 
link: https://www.google.com/maps/search/%E8%A7%80%E6%98%9F%E5%8F%B0%E5%92%96%E5%95%A1%E5%BB%B3/@22.542859999999997,114.09347?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Xing Ba Ke Ka Pei Shen Zhen Yuan Ling Fen Dian 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E5%92%96%E5%95%A1%E6%B7%B1%E5%9C%B3%E5%9C%92%E5%B6%BA%E5%88%86%E5%BA%97/@22.5525,114.10177999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Xing Ba Ke Zhen Xuan Dian 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E8%87%BB%E9%81%B8%E5%BA%97/@22.53715,114.06575?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Starbucks Coffee
link: https://www.google.com/maps/search/Starbucks+Coffee/@22.60372,114.05868?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.starbucks.com/,Starbucks Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOAfBKfGtIbxGbBaDtM1yWyP0rjeP0DV28o1dJ2=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,3.9,,Open All Days,+86 755 8398 5149,Zhong Guo Yan Dong Sheng Shen Zhen Shi Fu Tian Qu Shen Nan Zhong Lu Shen Nan Zhong Lu Zhong He Da Sha Shen Zhen Gou Shu Zhong Xin 1Ceng 101-103Hao  Starbucks Coffee You Zheng Bian Ma : 518027,,https://www.google.com/maps/place/Starbucks+Coffee/data=!4m7!3m6!1s0x3403f5cb12d53cb1:0x864d74855ed1ac48!8m2!3d22.541287!4d114.095141!16s%2Fg%2F1tkln4g7!19sChIJsTzVEsv1AzQRSKzRXoV0TYY?authuser=0&hl=zh-TW&rclk=1
ChIJwQ7rO6PvAzQRb6qm_lG6Ckc,Starbucks Coffee,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,11,"Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@22.4919301,113.916376?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Mao Shi Ka Pei 
link: https://www.google.com/maps/search/%E8%B2%93%E5%B1%8E%E5%92%96%E5%95%A1/@22.483694,113.91766799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Chuan Shuo Ka Pei 
link: https://www.google.com/maps/search/%E5%82%B3%E8%AA%AA%E5%92%96%E5%95%A1/@22.479310299999998,113.91315829999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Xing Ba Ke Ka Pei (Lai Fu Shi Guang Chang )
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E5%92%96%E5%95%A1%EF%BC%88%E4%BE%86%E7%A6%8F%E5%A3%AB%E5%BB%A3%E5%A0%B4%EF%BC%89/@22.512059999999998,113.92546?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Xing Ba Ke Ka Pei (Yun Cheng Mo Ke Li )
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E5%92%96%E5%95%A1%EF%BC%88%E9%9B%B2%E5%9F%8E%E4%B8%87%E7%A7%91%E8%A3%A1%EF%BC%89/@22.57414,113.94332?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.starbucks.com.cn/,Starbucks Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMDPbOAJRoLuHlGDm97jkupvrBR-wCWgACoZQci=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.2,09:00-22:00,Open All Days,+86 755 2683 2163,Zhong Guo Yan Dong Sheng Shen Zhen Shi Nan Shan Qu She Kou Xing Hua Lu Hai Shang Shi Jie Nan Shan Bin Guan 113Hao Pu  Starbucks Coffee,,https://www.google.com/maps/place/Starbucks+Coffee/data=!4m7!3m6!1s0x3403efa33beb0ec1:0x470aba51fea6aa6f!8m2!3d22.483769!4d113.915564!16s%2Fg%2F1tfb_mj6!19sChIJwQ7rO6PvAzQRb6qm_lG6Ckc?authuser=0&hl=zh-TW&rclk=1
ChIJV04s-7_1AzQRVqPwwI-7M1g,Starbucks Coffee,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,9,"Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@22.5434585,114.1217595?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Starbucks (Hi City Branch)
link: https://www.google.com/maps/search/Starbucks+%28Hi+City+Branch%29/@22.546989999999997,114.13232?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Xing Ba Ke Ka Pei Shen Zhen Yuan Ling Fen Dian 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E5%92%96%E5%95%A1%E6%B7%B1%E5%9C%B3%E5%9C%92%E5%B6%BA%E5%88%86%E5%BA%97/@22.5525,114.10177999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Coffee Box
link: https://www.google.com/maps/search/Coffee+Box/@22.543419999999998,114.11873?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Li Xing Ka Pei 
link: https://www.google.com/maps/search/%E9%BA%97%E6%98%9F%E5%92%96%E5%95%A1/@22.544304,114.11957699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.starbucks.com.cn/,Starbucks Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNlvib0QxIVxwKQAG0qYpF61eIk1NCF9QVs0bNE=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,10:00-21:00,Open All Days,+86 755 8221 0057,Zhong Guo Yan Dong Sheng Shen Zhen Shi Luo Hu Qu Ren Min Nan Lu 3002Hao Guo Mao Da Sha 1Ceng  Starbucks Coffee You Zheng Bian Ma : 518001,,https://www.google.com/maps/place/Starbucks+Coffee/data=!4m7!3m6!1s0x3403f5bffb2c4e57:0x5833bb8fc0f0a356!8m2!3d22.5410129!4d114.1195962!16s%2Fg%2F1vk6wtg2!19sChIJV04s-7_1AzQRVqPwwI-7M1g?authuser=0&hl=zh-TW&rclk=1
ChIJJwFPwDf0AzQRCQF4jpTsPRE,Starbucks Coffee,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,8,"Name: Starbucks Coffee
link: https://www.google.com/maps/search/Starbucks+Coffee/@22.545153000000003,114.086338?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Caffe bene
link: https://www.google.com/maps/search/Caffe+bene/@22.546481999999997,114.08587200000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Qian Cheng Ka Pei 
link: https://www.google.com/maps/search/%E8%8C%9C%E8%AA%A0%E5%92%96%E5%95%A1/@22.54665,114.08588999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Xing Ba Ke Ka Pei Shen Zhen Yuan Ling Fen Dian 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E5%92%96%E5%95%A1%E6%B7%B1%E5%9C%B3%E5%9C%92%E5%B6%BA%E5%88%86%E5%BA%97/@22.5525,114.10177999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Xing Ke Ma Ka Pei 
link: https://www.google.com/maps/search/%E6%98%9F%E5%85%8B%E7%91%AA%E5%92%96%E5%95%A1/@22.539140999999997,114.09862899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.starbucks.com.cn/,Starbucks Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO1tq-Lx-LEfTZib6Rrgdyq_EtZhUoJzCFp-Vlr=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,3.5,08:00-22:00,Open All Days,+86 755 8322 6283,Zhong Guo Yan Dong Sheng Shen Zhen Shi Fu Tian Qu Hua Qiang Bei Lu 1019Hao Hua Qiang Yan Chang Jiu Dian 1Ceng  Starbucks Coffee You Zheng Bian Ma : 518028,,https://www.google.com/maps/place/Starbucks+Coffee/data=!4m7!3m6!1s0x3403f437c04f0127:0x113dec948e780109!8m2!3d22.544193!4d114.086092!16s%2Fg%2F11cm1hpw22!19sChIJJwFPwDf0AzQRCQF4jpTsPRE?authuser=0&hl=zh-TW&rclk=1
ChIJO0pxpP3tAzQRhsM01ZeHuds,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,6,"Name: Shu Zhuang Ka Pei 
link: https://www.google.com/maps/search/%E6%A8%B9%E6%A8%81%E5%92%96%E5%95%A1/@22.54884,113.94328999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Baicui Coffee
link: https://www.google.com/maps/search/Baicui+Coffee/@22.537135,113.952728?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Xing Ba Ke Ka Pei Zhen Xuan Dian 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E5%92%96%E5%95%A1%E8%87%BB%E9%81%B8%E5%BA%97/@22.531039999999997,113.95345999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Lian Ke Ka Pei 
link: https://www.google.com/maps/search/%E9%80%A3%E5%AE%A2%E5%92%96%E5%95%A1/@22.5181,113.90095?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Xing Ba Ke Ka Pei (Yun Cheng Mo Ke Li )
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E5%92%96%E5%95%A1%EF%BC%88%E9%9B%B2%E5%9F%8E%E4%B8%87%E7%A7%91%E8%A3%A1%EF%BC%89/@22.57414,113.94332?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.starbucks.com.cn/stores/%3Ffeatures%3D%26bounds%3D113.940342%252C22.532906%252C113.949956%252C22.540348,Starbucks (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMMMTzPRZ44z_w42MXem1NhQXc-4zSpnj6T2m5u=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4,,Open All Days,,"Zhong Guo CN CN Nan Shan Qu Nan Qu C-1Lou Shou Ceng Shen Zhen Shi , 44 Starbucks You Zheng Bian Ma : 518057",,https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x3403edfda4714a3b:0xdbb98797d534c386!8m2!3d22.5471031!4d113.9452181!16s%2Fg%2F1tds4944!19sChIJO0pxpP3tAzQRhsM01ZeHuds?authuser=0&hl=zh-TW&rclk=1
ChIJj15q4zn0AzQRwCm-gnuxxDw,Hollys Coffee,,False,5,"Name: Yi Li Ka Pei 
link: https://www.google.com/maps/search/%E6%84%8F%E5%88%A9%E5%92%96%E5%95%A1/@22.541874999999997,114.08904899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Mao Shi Ka Pei 
link: https://www.google.com/maps/search/%E8%B2%93%E5%B1%8E%E5%92%96%E5%95%A1/@22.541686,114.083429?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Hollys Coffee Hao Li Si Ka Pei 
link: https://www.google.com/maps/search/Hollys+Coffee+%E8%B1%AA%E4%B8%BD%E6%96%AF%E5%92%96%E5%95%A1/@22.548171,114.131772?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Lin Cang Cha Xing 
link: https://www.google.com/maps/search/%E8%87%A8%E6%BB%84%E8%8C%B6%E8%A1%8C/@22.59811,114.17600999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Yi Xuan Cha She 
link: https://www.google.com/maps/search/%E9%80%B8%E8%BB%92%E8%8C%B6%E7%A4%BE/@22.559182999999997,113.974604?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.hollys.co.kr/,Hollys Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPSiYTJNF8v7F4-O37aZkCRguzA5TldqtcyDH_o=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,3.8,09:30-21:30,Open All Days,,Zhong Guo Yan Dong Sheng Shen Zhen Shi Fu Tian Qu Yuan Ling Zhong Hang Lu  Hollys Coffee You Zheng Bian Ma : 518039,,https://www.google.com/maps/place/Hollys+Coffee/data=!4m7!3m6!1s0x3403f439e36a5e8f:0x3cc4b17b82be29c0!8m2!3d22.540958!4d114.084187!16s%2Fg%2F11ddx24rx6!19sChIJj15q4zn0AzQRwCm-gnuxxDw?authuser=0&hl=zh-TW&rclk=1
ChIJ81adU0fuAzQRmCrvfxqIN6w,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,5,"Name: Xing Ba Ke Ka Pei (Lai Fu Shi Guang Chang )
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E5%92%96%E5%95%A1%EF%BC%88%E4%BE%86%E7%A6%8F%E5%A3%AB%E5%BB%A3%E5%A0%B4%EF%BC%89/@22.512059999999998,113.92546?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Zhong Chang Ka Pei 
link: https://www.google.com/maps/search/%E4%B8%AD%E5%A0%B4%E5%92%96%E5%95%A1/@22.517851999999998,113.93114?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Xing Ba Ke Ka Pei (Yun Cheng Mo Ke Li )
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E5%92%96%E5%95%A1%EF%BC%88%E9%9B%B2%E5%9F%8E%E4%B8%87%E7%A7%91%E8%A3%A1%EF%BC%89/@22.57414,113.94332?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Xing Ba Ke Ka Pei Zhen Xuan Dian 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E5%92%96%E5%95%A1%E8%87%BB%E9%81%B8%E5%BA%97/@22.531039999999997,113.95345999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Lan Shan Xiao Zhen Ka Pei Can Ting Nan Yuan Fen Dian 
link: https://www.google.com/maps/search/%E8%97%8D%E5%B1%B1%E5%B0%8F%E9%8E%AE%E5%92%96%E5%95%A1%E9%A4%90%E5%BB%B3%E5%8D%97%E5%9C%92%E5%88%86%E5%BA%97/@22.516759999999998,113.92120999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.starbucks.com/store-locator/store/1773/%25E6%25B7%25B1%25E5%259C%25B3%25E5%258D%2597%25E5%25B1%25B1%25E4%25B9%25A6%25E5%259F%258E%25E5%25BA%2597-%25E5%258D%2597%25E5%25B1%25B1%25E5%258C%25BA-%25E5%258D%2597%25E6%25B5%25B7%25E5%25A4%25A7%25E9%2581%2593-2748-%25E5%258F%25B7%25E5%258D%2597%25E5%25B1%25B1%25E4%25B9%25A6%25E5%259F%258E%25E9%25A6%2596%25E5%25B1%2582-%25E6%25B7%25B1%25E5%259C%25B3%25E5%25B8%2582-44-518000-cn,Starbucks (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPxGdTnNN_vsr4DEu8Xzr9QQqcyjGdMPRMk1Lob=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,,Open All Days,+86 755 8612 1109,Zhong Guo CN Yan Dong Sheng  Shen Zhen Shi  Nan Shan Qu  Nan Hai Da Dao 2748Hao Nan Shan Shu Cheng Shou Ceng  Starbucks You Zheng Bian Ma : 518000,,https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x3403ee47539d56f3:0xac37881a7fef2a98!8m2!3d22.5197005!4d113.929435!16s%2Fg%2F1v27s26z!19sChIJ81adU0fuAzQRmCrvfxqIN6w?authuser=0&hl=zh-TW&rclk=1
