place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJx02neycVWBQRkox4gTTGAzI,Sahra Coffee shop,,False,341,"Name: Abu Talib Coffee
link: https://www.google.com/maps/search/Abu+Talib+Coffee/@30.1376875,31.2911875?authuser=0&hl=zh-TW&entry=ttu
Reviews: 278 reviews

Name: Ragab coffee
link: https://www.google.com/maps/search/Ragab+coffee/@30.1531565,31.2788795?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: El Negma El Zahabia
link: https://www.google.com/maps/search/El+Negma+El+Zahabia/@30.147626299999995,31.268817399999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://internet-shop-1058.business.site/,Sahra Coffee shop (Ye Zhu ),https://www.google.com/maps/contrib/112284934020632197124,https://lh5.googleusercontent.com/p/AF1QipPcmo5FPsX6TyGZKYmS3DuIBBfxvWs0TK2mZ_pl=w408-h864-k-no,Cha Yi Guan ,Cha Yi Guan ,3.8,24 Xiao Shi Ying Ye ,Open All Days,+20 2 48263000,"Sahra Coffee shop, shr` skw bhtym bjwr mstshfy bhtym ljrHt lmtkhSS@, Al-Qalyubia GovernorateAi Ji ","Mei , Fu Wu , Yi Yuan ",https://www.google.com/maps/place/Sahra+Coffee+shop/data=!4m7!3m6!1s0x145815277ba74dc7:0x3203c63481788c92!8m2!3d30.1468876!4d31.2776027!16s%2Fg%2F11bxg4cchb!19sChIJx02neycVWBQRkox4gTTGAzI?authuser=0&hl=zh-TW&rclk=1
ChIJSRxz7d9rWBQRemQl6tdTfeI,Metro cafe,,False,166,"Name: Mustafa Azzouz
link: https://www.google.com/maps/search/Mustafa+Azzouz/@30.119271199999996,31.246351699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 154 reviews

Name: mtrw kfyh
link: https://www.google.com/maps/search/%D9%85%D8%AA%D8%B1%D9%88+%D9%83%D8%A7%D9%81%D9%8A%D9%87/@30.1273098,31.239473800000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: kwfy shwb zhr@ lfrnwny
link: https://www.google.com/maps/search/%D9%83%D9%88%D9%81%D9%8A+%D8%B4%D9%88%D8%A8+%D8%B2%D9%87%D8%B1%D8%A9+%D8%A7%D9%84%D9%81%D8%B1%D9%86%D9%88%D8%A7%D9%86%D9%8A/@30.1215169,31.2418194?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Metro
link: https://www.google.com/maps/search/Metro/@30.124890399999998,31.238305999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.facebook.com/MetroCafee/,Metro cafe (Ye Zhu ),https://www.google.com/maps/contrib/104128664888208466783,https://lh5.googleusercontent.com/p/AF1QipOY2z8W3gJi0t1SflxbT3hx-C1e5VhMEkZzUz3K=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4,24 Xiao Shi Ying Ye ,Open All Days,+20 10 90197236,"Metro cafe, Emtedad Ahmed Helmi Damanhour Shobra wl Tryq mSr skndryh lz`y mydn lmw'ssh bjwr ltwHyd wlnwr Awal Shubra Al Kheimah, 13766Ai Ji ","Fu Wu , Jia Ge , Pin Zhi ",https://www.google.com/maps/place/Metro+cafe/data=!4m7!3m6!1s0x14586bdfed731c49:0xe27d53d7ea25647a!8m2!3d30.1264476!4d31.240364!16s%2Fg%2F11j0sq_36y!19sChIJSRxz7d9rWBQRemQl6tdTfeI?authuser=0&hl=zh-TW&rclk=1
ChIJO-iIQTwVWBQRgw94WXvDjqg,Bab 30 Cafe -bb 30,,False,122,"Name: Al Ahly Cafe
link: https://www.google.com/maps/search/Al+Ahly+Cafe/@30.131827800000003,31.2832466?authuser=0&hl=zh-TW&entry=ttu
Reviews: 262 reviews

Name: Baba `bdo
link: https://www.google.com/maps/search/Baba+%D8%B9bdo/@30.1348423,31.2766965?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews

Name: Twins Cafe
link: https://www.google.com/maps/search/Twins+Cafe/@30.1331827,31.278832200000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: ndrh kfyh
link: https://www.google.com/maps/search/%D9%86%D8%A7%D8%AF%D8%B1%D9%87+%D9%83%D8%A7%D9%81%D9%8A%D9%87/@30.134458299999995,31.286734700000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews",http://facebook.com/bab30cafe,Bab 30 Cafe -bb 30 (Ye Zhu ),https://www.google.com/maps/contrib/116201819953139664193,https://lh5.googleusercontent.com/p/AF1QipPZkRxXKdtRXQL9K4J-hz6vlcKjpSX3AxehJ_FA=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.1,24 Xiao Shi Ying Ye ,Open All Days,+20 12 84041688,"Bab 30 Cafe -bb 30, 15 Teraat Al Shabouri, Arab Al Hoson, Shubra El Kheima 2, Al-Qalyubia Governorate 6222360Ai Ji ",,https://www.google.com/maps/place/Bab+30+Cafe+-%D8%A8%D8%A7%D8%A8+%D9%A3%D9%A0%E2%80%AD/data=!4m7!3m6!1s0x1458153c4188e83b:0xa88ec37b59780f83!8m2!3d30.1321331!4d31.2813445!16s%2Fg%2F11g9mpbyxz!19sChIJO-iIQTwVWBQRgw94WXvDjqg?authuser=0&hl=zh-TW&rclk=1
ChIJcb5_nhprWBQR-EoCK9EoeIQ,Elvilla cafe - lvyl kfyh,,False,70,"Name: Villa cafe mydw lktb
link: https://www.google.com/maps/search/Villa+cafe+%D9%85%D9%8A%D8%AF%D9%88+%D8%A7%D9%84%D9%83%D8%A7%D8%AA%D8%A8/@30.139158699999996,31.3211648?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews",https://www.facebook.com/Elvilla-cafe-101599468948678/,Elvilla cafe - lvyl kfyh (Ye Zhu ),https://www.google.com/maps/contrib/115496835047127023967,https://lh5.googleusercontent.com/p/AF1QipNGktkhgs8Fr8UMLPD4X91LgMonRIIa6WpJvfBg=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.1,24 Xiao Shi Ying Ye ,Open All Days,+20 11 42793446,"Elvilla cafe - lvyl kfyh, mnTy, qlywb,,, Manti, Shubra El Kheima 1, Al-Qalyubia Governorate, Ai Ji ",Jia Ge ,https://www.google.com/maps/place/Elvilla+cafe+-+%D8%A7%D9%84%DA%A4%D9%8A%D9%84%D8%A7+%D9%83%D8%A7%D9%81%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x14586b1a9e7fbe71:0x847828d12b024af8!8m2!3d30.1369218!4d31.2471627!16s%2Fg%2F11ry1sz6dp!19sChIJcb5_nhprWBQR-EoCK9EoeIQ?authuser=0&hl=zh-TW&rclk=1
ChIJZ3UT_wtrWBQR4guUEPV6JU4,NEXT playstation & cafe,,False,50,"Name: Score PlayStation & Cafe
link: https://www.google.com/maps/search/Score+PlayStation+%26+Cafe/@30.120132599999998,31.2483526?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: VAR PlayStation cafe
link: https://www.google.com/maps/search/VAR+PlayStation+cafe/@30.123925699999997,31.272432399999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Netghost
link: https://www.google.com/maps/search/Netghost/@30.131551199999997,31.243948599999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://next-playstation-cafe.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,NEXT playstation & cafe (Ye Zhu ),https://www.google.com/maps/contrib/114736625854927278443,https://lh5.googleusercontent.com/p/AF1QipPan--BIGNuiHtiPXcqTS_KWDF3_xO7Tjfiq-8S=w408-h319-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,10:30-07:00,Open All Days,+20 10 60386710,"NEXT playstation & cafe, shr` Amin Mashhour, Begam, Shubra El Kheima 1, Al-Qalyubia Governorate 6214109Ai Ji ",,https://www.google.com/maps/place/NEXT+playstation+%26+cafe/data=!4m7!3m6!1s0x14586b0bff137567:0x4e257af510940be2!8m2!3d30.1201878!4d31.2495815!16s%2Fg%2F11qmm3rg6h!19sChIJZ3UT_wtrWBQR4guUEPV6JU4?authuser=0&hl=zh-TW&rclk=1
ChIJ0eC2p_AVWBQRjZFnnv3Z0A8,`rby@ qhw@ - coffee car (t`ly hshrbk),,False,25,"Name: Barista Cafe - bryst kfyh
link: https://www.google.com/maps/search/Barista+Cafe+-+%D8%A8%D8%A7%D8%B1%D9%8A%D8%B3%D8%AA%D8%A7+%D9%83%D8%A7%D9%81%D9%8A%D9%87/@30.1096622,31.258824699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 338 reviews

Name: byt l`ylh
link: https://www.google.com/maps/search/%D8%A8%D9%8A%D8%AA+%D8%A7%D9%84%D8%B9%D9%8A%D9%84%D9%87/@30.1180264,31.2639138?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: lHfr@ kfy@
link: https://www.google.com/maps/search/%D8%A7%D9%84%D8%AD%D9%81%D8%B1%D8%A9+%D9%83%D8%A7%D9%81%D9%8A%D8%A9/@30.1098199,31.2601171?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: bn lHbshy
link: https://www.google.com/maps/search/%D8%A8%D9%86+%D8%A7%D9%84%D8%AD%D8%A8%D8%B4%D9%8A/@30.117620300000002,31.257066700000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://menubarcode.com/Loverious,`rby@ qhw@ - coffee car (t`ly hshrbk) (Ye Zhu ),https://www.google.com/maps/contrib/105207042841566051263,https://lh5.googleusercontent.com/p/AF1QipN5-2Q4oeL9qc_ULil_thffxQ-caO__yvHOPxXm=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,5,,Open All Days,+20 11 23736600,"`rby@ qhw@ - coffee car (t`ly hshrbk), Nadi Al Belastik, Bahtim, Shubra El Kheima 2, Al-Qalyubia Governorate 6220142Ai Ji ",,https://www.google.com/maps/place/%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9+%D9%82%D9%87%D9%88%D8%A9+-+coffee+car+%28%D8%AA%D8%B9%D8%A7%D9%84%D9%8A+%D9%87%D8%B4%D8%B1%D8%A8%D9%83%29%E2%80%AD/data=!4m7!3m6!1s0x145815f0a7b6e0d1:0xfd0d9fd9e67918d!8m2!3d30.1139816!4d31.2650501!16s%2Fg%2F11sw_mm92s!19sChIJ0eC2p_AVWBQRjZFnnv3Z0A8?authuser=0&hl=zh-TW&rclk=1
ChIJNcTRTMF5WBQRUgiXgjzwOtk,Vip cafe,,False,21,"Name: ViP Cafe
link: https://www.google.com/maps/search/ViP+Cafe/@30.119664699999994,31.2673249?authuser=0&hl=zh-TW&entry=ttu
Reviews: 196 reviews

Name: kfyh vib
link: https://www.google.com/maps/search/%D9%83%D8%A7%D9%81%D9%8A%D9%87+vib/@30.149017500000003,31.271835?authuser=0&hl=zh-TW&entry=ttu
Reviews: 195 reviews

Name: Cafe Pesso
link: https://www.google.com/maps/search/Cafe+Pesso/@30.136270500000002,31.2753393?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://website-1216941028498527467249-cafe.business.site/?utm_source=gmb&utm_medium=referral,Vip cafe (Ye Zhu ),https://www.google.com/maps/contrib/111506390245347633171,https://lh5.googleusercontent.com/p/AF1QipPJ6IluKMi-F2ND4rAKo4bbgEaaFzxx7rcaOsJ5=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.8,24 Xiao Shi Ying Ye ,Open All Days,+20 10 92040478,"Vip cafe, shr` Al Asher Men Ramadan, Bahtim, Shubra El Kheima 2, Al-Qalyubia Governorate 6221540Ai Ji ",,https://www.google.com/maps/place/Vip+cafe/data=!4m7!3m6!1s0x145879c14cd1c435:0xd93af03c82970852!8m2!3d30.1323937!4d31.2689!16s%2Fg%2F11hdrrvf1w!19sChIJNcTRTMF5WBQRUgiXgjzwOtk?authuser=0&hl=zh-TW&rclk=1
ChIJecruXZgVWBQRPkB5oaHeje4,byt l`ylh,,False,19,"Name: ViP Cafe
link: https://www.google.com/maps/search/ViP+Cafe/@30.119664699999994,31.2673249?authuser=0&hl=zh-TW&entry=ttu
Reviews: 196 reviews

Name: lHfr@ kfy@
link: https://www.google.com/maps/search/%D8%A7%D9%84%D8%AD%D9%81%D8%B1%D8%A9+%D9%83%D8%A7%D9%81%D9%8A%D8%A9/@30.1098199,31.2601171?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: bn lHbshy
link: https://www.google.com/maps/search/%D8%A8%D9%86+%D8%A7%D9%84%D8%AD%D8%A8%D8%B4%D9%8A/@30.117620300000002,31.257066700000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/profile.php%3Fid%3D100063919572663,byt l`ylh (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP8dovJUDPr_pgQAcF23nYIZq8Rx5zi-Kfsl1q_=w408-h379-k-no,Ka Pei Dian ,Ka Pei Dian ,4.8,24 Xiao Shi Ying Ye ,Open All Days,,"byt l`ylh, 21shr` shrk@ lnyl, qsm thny,, Bahtim, Shubra El Kheima 2, Al-Qalyubia Governorate, Ai Ji ",,https://www.google.com/maps/place/%D8%A8%D9%8A%D8%AA+%D8%A7%D9%84%D8%B9%D9%8A%D9%84%D9%87%E2%80%AD/data=!4m7!3m6!1s0x145815985deeca79:0xee8ddea1a179403e!8m2!3d30.1180264!4d31.2639138!16s%2Fg%2F11q23__rq8!19sChIJecruXZgVWBQRPkB5oaHeje4?authuser=0&hl=zh-TW&rclk=1
ChIJ85FanEMVWBQRES-wHXJM-g0,kfy@ bybw / Bebo Caffe,,False,14,"Name: ViP Cafe
link: https://www.google.com/maps/search/ViP+Cafe/@30.119664699999994,31.2673249?authuser=0&hl=zh-TW&entry=ttu
Reviews: 196 reviews

Name: bybw kfyh
link: https://www.google.com/maps/search/%D8%A8%D9%8A%D8%A8%D9%88+%D9%83%D8%A7%D9%81%D9%8A%D9%87/@30.1070571,31.244805600000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Bebo Cafe 2
link: https://www.google.com/maps/search/Bebo+Cafe+2/@30.113250099999995,31.2653642?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Bebo Cafe
link: https://www.google.com/maps/search/Bebo+Cafe/@30.088273599999994,31.2498663?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: qhwh lsmkyn
link: https://www.google.com/maps/search/%D9%82%D9%87%D9%88%D9%87+%D8%A7%D9%84%D8%B3%D9%85%D8%A7%D9%83%D9%8A%D9%86/@30.117465400000004,31.273012899999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.facebook.com/bboyanter0,kfy@ bybw / Bebo Caffe (Ye Zhu ),https://www.google.com/maps/contrib/108661937276602934848,https://lh5.googleusercontent.com/p/AF1QipOnY8LOQwRCHcEaRHJFcNtWr3Wi5zW5AUR6Q0Gq=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,24 Xiao Shi Ying Ye ,Open All Days,+20 11 45292251,"kfy@ bybw / Bebo Caffe, Bahtim, Shubra El Kheima 2, Al-Qalyubia Governorate 13111Ai Ji ",,https://www.google.com/maps/place/%D9%83%D8%A7%D9%81%D9%8A%D8%A9+%D8%A8%D9%8A%D8%A8%D9%88+%2F+Bebo+Caffe%E2%80%AD/data=!4m7!3m6!1s0x145815439c5a91f3:0xdfa4c721db02f11!8m2!3d30.1212924!4d31.2680084!16s%2Fg%2F11qs0pklr1!19sChIJ85FanEMVWBQRES-wHXJM-g0?authuser=0&hl=zh-TW&rclk=1
ChIJhYk0dsUVWBQRFr9kPPB3XOI,kfyh lmSry lrwsy Egyptian Russian Cafe ,,False,9,"Name: El-Masry Cafe
link: https://www.google.com/maps/search/El-Masry+Caf%C3%A9/@30.1492646,31.281771499999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: mHrws@
link: https://www.google.com/maps/search/%D9%85%D8%AD%D8%B1%D9%88%D8%B3%D8%A9/@30.132850899999998,31.2793053?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://egyptian-russian-cafe.business.site/?utm_source=gmb&utm_medium=referral,kfyh lmSry lrwsy Egyptian Russian Cafe  (Ye Zhu ),https://www.google.com/maps/contrib/106110926311446696606,https://lh5.googleusercontent.com/p/AF1QipMX4SFKthNkMlTKH-6KNmOC13HlRM4uG8b6CUs=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,11:00-02:00,Open All Days,+20 11 25045119,"kfyh lmSry lrwsy Egyptian Russian Cafe , 3sh msjd lrHmn(lHsyny) ,tr`@ lshbwry, qsm thn,, tr`@ lshbwry,, Al-Qalyubia Governorate 13753Ai Ji ",,https://www.google.com/maps/place/%D9%83%D8%A7%D9%81%D9%8A%D9%87+%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A+%D8%A7%D9%84%D8%B1%D9%88%D8%B3%D9%8A+Egyptian+Russian+Cafe+%EF%B8%8F%E2%80%AD/data=!4m7!3m6!1s0x145815c576348985:0xe25c77f03c64bf16!8m2!3d30.1402352!4d31.2846083!16s%2Fg%2F11qwscpl7c!19sChIJhYk0dsUVWBQRFr9kPPB3XOI?authuser=0&hl=zh-TW&rclk=1
