place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJf-8NcN-dijkRdNXHDClOHGk,Bake N Bite's,,False,125,"Name: Mithi cake shope
link: https://www.google.com/maps/search/Mithi+cake+shope/@22.618171699999998,84.5114974?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Jagdish Bakery House
link: https://www.google.com/maps/search/Jagdish+Bakery+House/@22.6080406,84.5017304?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews",https://bakenbites.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Bake N Bite's (Ye Zhu ),https://www.google.com/maps/contrib/112196196267973719442,https://lh5.googleusercontent.com/p/AF1QipMdMlzNIQsgAPsgG70pYHI4KYwlkATOkmk5ulJe=w408-h306-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.5,09:00-22:00,Open All Days,+91 88251 11475,"Bake N Bite's, Prince Chowk, Main Rd Simdega, Saldega, Simdega, Jharkhand 835223Yin Du ","Jia Ge , Qi Shui , Ka Pei ",https://www.google.com/maps/place/Bake+N+Bite%27s/data=!4m7!3m6!1s0x398a9ddf700def7f:0x691c4e290cc7d574!8m2!3d22.6206564!4d84.5027567!16s%2Fg%2F11jq_nnrx5!19sChIJf-8NcN-dijkRdNXHDClOHGk?authuser=0&hl=zh-TW&rclk=1
ChIJ7Q53B2ucijkRAAAAMDq4n0A,RCM Business,,False,,"Name: Express Shopee
link: https://www.google.com/maps/search/Express+Shopee/@22.6115185,84.50251759999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Ghar sansar general store
link: https://www.google.com/maps/search/Ghar+sansar+general+store/@22.6071523,84.5023803?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Rajendra Choudhari
link: https://www.google.com/maps/search/Rajendra+Choudhari/@22.607518600000002,84.50171209999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.rcmbusiness.com/,RCM Business (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOEIsucYqU7pC5ud213mjd21kJYyUSWEpcm11Pd=w408-h306-k-no,Za Huo Dian ,Za Huo Dian ,,,Open All Days,+91 74885 70753,"JF2X+9F7 RCM Business, Main Rd, Prince Chowk, Simdega, Jharkhand 835223Yin Du ",,https://www.google.com/maps/place/RCM+Business/data=!4m7!3m6!1s0x398a9c6b07770eed:0x409fb83a30000000!8m2!3d22.6009188!4d84.4986739!16s%2Fg%2F11rsslnkfy!19sChIJ7Q53B2ucijkRAAAAMDq4n0A?authuser=0&hl=zh-TW&rclk=1
ChIJf4vJ8TibijkRVOO6DFf2q0E,Hotel Sweet Palace,,False,146,"Name: Hotel Asha
link: https://www.google.com/maps/search/Hotel+Asha/@22.6191101,84.50169249999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 87 reviews

Name: Sri Ram Hotel
link: https://www.google.com/maps/search/Sri+Ram+Hotel/@22.6213703,84.50435720000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 76 reviews

Name: Sutasa veg restaurant
link: https://www.google.com/maps/search/Sutasa+veg+restaurant/@22.6127957,84.5014893?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",,Hotel Sweet Palace (Ye Zhu ),https://www.google.com/maps/contrib/100815247698856745030,https://lh5.googleusercontent.com/p/AF1QipMvyF3Q8XfBE5QS7vkNMKhnVGsHVXLFyArvBL7t=w408-h306-k-no,Can Ting ,Can Ting ,3.5,05:45-21:00,Open All Days,,"Hotel Sweet Palace, Prince Chowk N H 143, Main Rd Simdega, Simdega, Jharkhand 835223Yin Du ",Tang Guo ,https://www.google.com/maps/place/Hotel+Sweet+Palace/data=!4m7!3m6!1s0x398a9b38f1c98b7f:0x41abf6570cbae354!8m2!3d22.621702!4d84.5030326!16s%2Fg%2F11h51zp481!19sChIJf4vJ8TibijkRVOO6DFf2q0E?authuser=0&hl=zh-TW&rclk=1
ChIJL1tFP7idijkRLvd9GGFFYEo,Cheesy bites,,False,33,"Name: ABHI'S CAFE
link: https://www.google.com/maps/search/ABHI%27S+CAFE/@22.6196783,84.5023896?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews

Name: Indian family food point
link: https://www.google.com/maps/search/Indian+family+food+point/@22.601344299999997,84.4976044?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Sutasa veg restaurant
link: https://www.google.com/maps/search/Sutasa+veg+restaurant/@22.6127957,84.5014893?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Didi Cafeteria
link: https://www.google.com/maps/search/Didi+Cafeteria/@22.6126936,84.5001381?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Cheesy bites (Ye Zhu ),https://www.google.com/maps/contrib/104349917693882511666,https://lh5.googleusercontent.com/p/AF1QipMDuHzTxZs8l7zqMbNqZrAelSdc3q0CQukzbzrE=w408-h306-k-no,Bo Bing Can Ting ,Bo Bing Can Ting ,5,10:00-22:00,Open All Days,,"Cheesy bites, BAKE N BITES, beside killer showroom, Saldega, Simdega, Jharkhand 835223Yin Du ",Xiao Chi ,https://www.google.com/maps/place/Cheesy+bites/data=!4m7!3m6!1s0x398a9db83f455b2f:0x4a604561187df72e!8m2!3d22.6204905!4d84.5030645!16s%2Fg%2F11s90n55nv!19sChIJL1tFP7idijkRLvd9GGFFYEo?authuser=0&hl=zh-TW&rclk=1
ChIJWUSvGQ2cijkRRnCoj6YFo3Q,Express Shopee,,False,32,"Name: Rahul Keshri grocery store
link: https://www.google.com/maps/search/Rahul+Keshri+grocery+store/@22.611475,84.50076?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Devendra store
link: https://www.google.com/maps/search/Devendra+store/@22.6139044,84.50206899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: M/s Maa Santoshi Traders
link: https://www.google.com/maps/search/M%2Fs+Maa+Santoshi+Traders/@22.6116697,84.5023574?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Express Shopee (Ye Zhu ),https://www.google.com/maps/contrib/116450070305868655191,https://lh5.googleusercontent.com/p/AF1QipPkY0-BUUd7CeqbEcgBhnnq9d-dA_xQwxItGhhw=w408-h408-k-no,Za Huo Dian ,Za Huo Dian ,3.9,08:00-21:00,Open All Days,+91 93349 97500,"Express Shopee, Mandir, Ram-Janki Rd, Main Town, Ghocho Toli, Simdega, Jharkhand 835223Yin Du ",,https://www.google.com/maps/place/Express+Shopee/data=!4m7!3m6!1s0x398a9c0d19af4459:0x74a305a68fa87046!8m2!3d22.6115185!4d84.5025176!16s%2Fg%2F11ckjd1m1f!19sChIJWUSvGQ2cijkRRnCoj6YFo3Q?authuser=0&hl=zh-TW&rclk=1
ChIJw4LUj1idijkRmvpMZxMyS4k,ABHI'S CAFE,,False,28,"Name: Hotel Asha
link: https://www.google.com/maps/search/Hotel+Asha/@22.6191101,84.50169249999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 87 reviews

Name: Raj Restaurant
link: https://www.google.com/maps/search/Raj+Restaurant/@22.6201995,84.5027818?authuser=0&hl=zh-TW&entry=ttu
Reviews: 50 reviews

Name: Cheesy bites
link: https://www.google.com/maps/search/Cheesy+bites/@22.6204905,84.5030645?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: Biryani Basix
link: https://www.google.com/maps/search/Biryani+Basix/@22.623615299999997,84.5035797?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Didi Cafeteria
link: https://www.google.com/maps/search/Didi+Cafeteria/@22.6126936,84.5001381?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,ABHI'S CAFE (Ye Zhu ),https://www.google.com/maps/contrib/104579576360336834305,https://lh5.googleusercontent.com/p/AF1QipON1GL24QhF6vXbQfrS4yeAaZPMiNev4nITnavL=w408-h306-k-no,Can Ting ,Can Ting ,4.5,09:00-22:00,Open All Days,+91 70081 58103,"ABHI'S CAFE, police station, Main Rd Simdega, near simdega, Baraik, Simdega, Jharkhand 835223Yin Du ",Pi Sa ,https://www.google.com/maps/place/ABHI%27S+CAFE/data=!4m7!3m6!1s0x398a9d588fd482c3:0x894b3213674cfa9a!8m2!3d22.6196783!4d84.5023896!16s%2Fg%2F11tf53jz5v!19sChIJw4LUj1idijkRmvpMZxMyS4k?authuser=0&hl=zh-TW&rclk=1
ChIJGzkP4ISdijkR8UWMQgVS7t8,JH20 restaurant,,False,19,"Name: Raj Restaurant
link: https://www.google.com/maps/search/Raj+Restaurant/@22.6201995,84.5027818?authuser=0&hl=zh-TW&entry=ttu
Reviews: 50 reviews

Name: Jha Hotel
link: https://www.google.com/maps/search/Jha+Hotel/@22.607755200000003,84.5014587?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Ambey Hotel
link: https://www.google.com/maps/search/Ambey+Hotel/@22.611138699999998,84.50046019999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Jaseem Ansari
link: https://www.google.com/maps/search/Jaseem+Ansari/@22.615043699999998,84.4959973?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Yummy Food
link: https://www.google.com/maps/search/Yummy+Food/@22.613488699999998,84.5020019?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,JH20 restaurant (Ye Zhu ),https://www.google.com/maps/contrib/114093561962238337802,https://lh5.googleusercontent.com/p/AF1QipP-wG_rBOjQT_WlPVGdg2SMrs-rg7aD-UbiDe0C=w408-h306-k-no,Can Ting ,Can Ting ,3.4,00:00-22:30,Open All Days,,"JH20 restaurant, Prince chowk, Main Rd Simdega, Saldega, Simdega, Jharkhand 835223Yin Du ",,https://www.google.com/maps/place/JH20+restaurant/data=!4m7!3m6!1s0x398a9d84e00f391b:0xdfee5205428c45f1!8m2!3d22.6205964!4d84.5028382!16s%2Fg%2F11tnwf3v4s!19sChIJGzkP4ISdijkR8UWMQgVS7t8?authuser=0&hl=zh-TW&rclk=1
ChIJB_XgM0-dijkRM8_AjD_KfaQ,Indian family food point,,False,18,"Name: Raj Restaurant
link: https://www.google.com/maps/search/Raj+Restaurant/@22.6201995,84.5027818?authuser=0&hl=zh-TW&entry=ttu
Reviews: 50 reviews

Name: Sutasa veg restaurant
link: https://www.google.com/maps/search/Sutasa+veg+restaurant/@22.6127957,84.5014893?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Didi Cafeteria
link: https://www.google.com/maps/search/Didi+Cafeteria/@22.6126936,84.5001381?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Chicken biryani point
link: https://www.google.com/maps/search/Chicken+biryani+point/@22.6130897,84.50136220000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: chicken point
link: https://www.google.com/maps/search/chicken+point/@22.6075832,84.4965427?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Indian family food point (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOP3SCdRnArExkvIqI1Nljcca_y2GAMQdNOs7IR=w408-h884-k-no,Can Ting ,Can Ting ,3.6,09:00-21:30,Open All Days,,"JF2X+G2Q Indian family food point, Main Rd Simdega, Simdega, Jharkhand 835223Yin Du ",,https://www.google.com/maps/place/Indian+family+food+point/data=!4m7!3m6!1s0x398a9d4f33e0f507:0xa47dca3f8cc0cf33!8m2!3d22.6013443!4d84.4976044!16s%2Fg%2F11h06xzkg2!19sChIJB_XgM0-dijkRM8_AjD_KfaQ?authuser=0&hl=zh-TW&rclk=1
ChIJsZPrIYWdijkRz5HiTZqoQtU,Christmas bakery ( CJRO Pvt Ltd ),,False,13,"Name: Simdega Prince Chowk
link: https://www.google.com/maps/search/Simdega+Prince+Chowk/@22.621453799999998,84.50282130000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 58 reviews

Name: Jagdish Bakery House
link: https://www.google.com/maps/search/Jagdish+Bakery+House/@22.6080406,84.5017304?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Shekhar omlet and fast food
link: https://www.google.com/maps/search/Shekhar+omlet+and+fast+food/@22.619529399999998,84.4410789?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",,Christmas bakery ( CJRO Pvt Ltd ) (Ye Zhu ),https://www.google.com/maps/contrib/109836695193208125302,https://lh5.googleusercontent.com/p/AF1QipP0nKB_cg5mNdXzaQbYYgmfyDd7LBa2BOa3uOTf=w408-h544-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.7,24 Xiao Shi Ying Ye ,Open All Days,,"Christmas bakery ( CJRO Pvt Ltd ), Christm mariampur, Samtoli, Simdega, Jharkhand 835235Yin Du ","Pi Sa , Su Pi ",https://www.google.com/maps/place/Christmas+bakery+%28+CJRO+Pvt+Ltd+%29/data=!4m7!3m6!1s0x398a9d8521eb93b1:0xd542a89a4de291cf!8m2!3d22.6161946!4d84.4841954!16s%2Fg%2F11rb47qd27!19sChIJsZPrIYWdijkRz5HiTZqoQtU?authuser=0&hl=zh-TW&rclk=1
ChIJezSYfXadijkRB9mpwDqfOnQ,Bakery Cafe,,False,9,"Name: Bake N Bite's
link: https://www.google.com/maps/search/Bake+N+Bite%27s/@22.620656399999998,84.50275669999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 125 reviews

Name: Mithi cake shope
link: https://www.google.com/maps/search/Mithi+cake+shope/@22.618171699999998,84.5114974?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Jagdish Bakery House
link: https://www.google.com/maps/search/Jagdish+Bakery+House/@22.6080406,84.5017304?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews",,Bakery Cafe (Ye Zhu ),https://www.google.com/maps/contrib/112412698492436873062,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ye5pGB17klO1b0MAEoOVkw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=1.8802129&pitch=0&thumbfov=100,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.4,,Open All Days,+91 70919 48375,"Bakery Cafe, Main Road Simdega, Simdega - Gumla - Ranchi Rd, Ranchi, Jharkhand 834001Yin Du ",,https://www.google.com/maps/place/Bakery+Cafe/data=!4m7!3m6!1s0x398a9d767d98347b:0x743a9f3ac0a9d907!8m2!3d22.606106!4d84.501556!16s%2Fg%2F11smzjbglz!19sChIJezSYfXadijkRB9mpwDqfOnQ?authuser=0&hl=zh-TW&rclk=1
