place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJAwe29_ZdLogR40fkp_7iRvI,Shaw's Ice Cream - Dairy Bar,,False,2622,"Name: The Ice Box St.Thomas
link: https://www.google.com/maps/search/The+Ice+Box+St.Thomas/@42.7612984,-81.1887457?authuser=0&hl=zh-TW&entry=ttu
Reviews: 154 reviews

Name: Shaw's Ice Cream
link: https://www.google.com/maps/search/Shaw%27s+Ice+Cream/@42.9933834,-81.2144421?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: Marble Slab Creamery
link: https://www.google.com/maps/search/Marble+Slab+Creamery/@42.779122,-81.17350549999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: Dairy Goddess
link: https://www.google.com/maps/search/Dairy+Goddess/@42.6593331,-81.21605939999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://shawsicecream.com/,Shaw's Ice Cream - Dairy Bar (Ye Zhu ),https://www.google.com/maps/contrib/109648669099489046094,https://lh5.googleusercontent.com/p/AF1QipO2tt3LPCbE0RtiW_noTbJFKOdqDR66TC37YrE-=w408-h272-k-no,Xue Gao Dian ,"Xue Gao Dian , Ka Pei Ting , Tian Pin Dian ",4.8,12:00-18:00,Open All Days,+1 519-631-2510,"Shaw's Ice Cream - Dairy Bar, 6598 Sunset Drive., (Front), St Thomas, ON N5P 3S8Jia Na Da ","Sha Tan , Sheng Dai , Zhong Liang , Zhi Xian , Chuan Tong , Bao Chi She Jiao Ju Li , Shi Tou , Su Shi Dian ",https://www.google.com/maps/place/Shaw%27s+Ice+Cream+-+Dairy+Bar/data=!4m7!3m6!1s0x882e5df6f7b60703:0xf246e2fea7e447e3!8m2!3d42.7173648!4d-81.1916346!16s%2Fg%2F1tks6z2l!19sChIJAwe29_ZdLogR40fkp_7iRvI?authuser=0&hl=zh-TW&rclk=1
ChIJYzQ_0j1eLogRWMp1Dy3SYao,McDonald's,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,1755,"Name: A&W Canada
link: https://www.google.com/maps/search/A%26W+Canada/@42.778451,-81.177195?authuser=0&hl=zh-TW&entry=ttu
Reviews: 509 reviews

Name: Popeyes Louisiana Kitchen
link: https://www.google.com/maps/search/Popeyes+Louisiana+Kitchen/@42.77915,-81.1794475?authuser=0&hl=zh-TW&entry=ttu
Reviews: 491 reviews

Name: KFC
link: https://www.google.com/maps/search/KFC/@42.778997,-81.17831869999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 456 reviews

Name: Subway
link: https://www.google.com/maps/search/Subway/@42.7791907,-81.1789646?authuser=0&hl=zh-TW&entry=ttu
Reviews: 331 reviews

Name: Pita Pit
link: https://www.google.com/maps/search/Pita+Pit/@42.779175200000005,-81.1829892?authuser=0&hl=zh-TW&entry=ttu
Reviews: 270 reviews",https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html?y_source=1_MTQ1MTk5NTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,McDonald's (Ye Zhu ),https://www.google.com/maps/contrib/109434979744763488556,https://lh5.googleusercontent.com/p/AF1QipPmu277ACUVAiKbaxIUvrtp5t0rmSQcFlNvKJ6M=w408-h306-k-no,Kuai Can Dian ,"Kuai Can Dian , Mei Shi Can Ting , Zao Can Can Ting , Ka Pei Ting , Han Bao Can Ting , Can Ting ",3.4,06:00-23:00,Open All Days,+1 519-631-1950,"McDonald's, 955 Talbot St, St Thomas, ON N5P 1E8Jia Na Da ","De Lai Su , Ka Pei , You Le Chang , Ju Wu Ba , Nian Qing , Zhui , Che Dao , Shou Yin Ji , Luo Si ",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x882e5e3dd23f3463:0xaa61d22d0f75ca58!8m2!3d42.7791579!4d-81.1799175!16s%2Fg%2F1td9r4sn!19sChIJYzQ_0j1eLogRWMp1Dy3SYao?authuser=0&hl=zh-TW&rclk=1
ChIJi2ZBtklfLogRH82tXASF9wA,Chuck's Roadhouse Bar & Grill,,False,928,"Name: Legends Tavern
link: https://www.google.com/maps/search/Legends+Tavern/@42.778775599999996,-81.19129769999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1830 reviews

Name: St. Thomas Roadhouse Bar and Grill
link: https://www.google.com/maps/search/St.+Thomas+Roadhouse+Bar+and+Grill/@42.7790336,-81.1845398?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1416 reviews

Name: Swiss Chalet
link: https://www.google.com/maps/search/Swiss+Chalet/@42.7782051,-81.17247669999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 969 reviews

Name: Harry's Charcoal Broiled
link: https://www.google.com/maps/search/Harry%27s+Charcoal+Broiled/@42.779094,-81.182369?authuser=0&hl=zh-TW&entry=ttu
Reviews: 842 reviews",http://chucksroadhouse.com/,Chuck's Roadhouse Bar & Grill (Ye Zhu ),https://www.google.com/maps/contrib/115394137148187888181,https://lh5.googleusercontent.com/p/AF1QipOQMVVu2aJ-3ElPzFuGZZbIL9xG5ZqzIb-lDica=w408-h306-k-no,Can Ting ,"Can Ting , Jiu Ba Ba Fang , Shao Kao Can Ting , Jia Ting Can Ting , Mei Shi Niu Ba Wu ",4.1,11:00-00:00,Open All Days,+1 519-633-4955,"Chuck's Roadhouse Bar & Grill, 877 Talbot St Unit #1, St Thomas, ON N5P 1E5Jia Na Da ","Niu Pai , Le Pai , Fu Wu Fei , Diao Jiu Shi , Kai Sa Sha La , Zha Yu Shu Tiao ",https://www.google.com/maps/place/Chuck%27s+Roadhouse+Bar+%26+Grill/data=!4m7!3m6!1s0x882e5f49b641668b:0xf785045cadcd1f!8m2!3d42.7791366!4d-81.1835361!16s%2Fg%2F11h3bmbd9l!19sChIJi2ZBtklfLogRH82tXASF9wA?authuser=0&hl=zh-TW&rclk=1
ChIJaeNFtyNeLogRYyKJwOb4EeM,Wendy's,"Gong Ying Han Bao De Lian Suo Su Shi Dian ,Fu Can You La Jiao Jiang He Kao Ma Ling Shu Deng . ",False,861,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@42.7791579,-81.1799175?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1753 reviews

Name: Wimpy's Diner St Thomas
link: https://www.google.com/maps/search/Wimpy%27s+Diner+St+Thomas/@42.778552999999995,-81.17976449999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 549 reviews

Name: A&W Canada
link: https://www.google.com/maps/search/A%26W+Canada/@42.778451,-81.177195?authuser=0&hl=zh-TW&entry=ttu
Reviews: 509 reviews

Name: Harvey's
link: https://www.google.com/maps/search/Harvey%27s/@42.778222199999995,-81.1724715?authuser=0&hl=zh-TW&entry=ttu
Reviews: 456 reviews

Name: Pita Pit
link: https://www.google.com/maps/search/Pita+Pit/@42.779175200000005,-81.1829892?authuser=0&hl=zh-TW&entry=ttu
Reviews: 270 reviews",https://locations.wendys.com/canada/on/st.-thomas/1063-talbot-st%3Futm_source%3DYext%26utm_medium%3DGoogle_My_Business%26utm_campaign%3DLocal_Search%26utm_content%3DEN_CA,Wendy's (Ye Zhu ),https://www.google.com/maps/contrib/113075592496431772485,https://lh5.googleusercontent.com/p/AF1QipN9J2c7LtTDs6bDKzpvFL9INkuluUM6Sgwk_6hR=w408-h306-k-no,Kuai Can Dian ,"Kuai Can Dian , Han Bao Can Ting , Can Ting ",4.1,24 Xiao Shi Ying Ye ,Open All Days,+1 519-631-8410,"Wendy's, 1063 Talbot St, St Thomas, ON N5P 0A1Jia Na Da ","De Lai Su , Qing Jie , La Rou Jiang , Ji Rou San Ming Zhi , Fan Xin , Xiang Liao , Guan Li ",https://www.google.com/maps/place/Wendy%27s/data=!4m7!3m6!1s0x882e5e23b745e369:0xe311f8e6c0892263!8m2!3d42.7797172!4d-81.1718509!16s%2Fg%2F1tp0f9kj!19sChIJaeNFtyNeLogRYyKJwOb4EeM?authuser=0&hl=zh-TW&rclk=1
ChIJ3Zv3lPNfLogReqWEjUTfja8,Sunset Grill,,False,821,"Name: St. Thomas Roadhouse Bar and Grill
link: https://www.google.com/maps/search/St.+Thomas+Roadhouse+Bar+and+Grill/@42.7790336,-81.1845398?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1416 reviews

Name: The Bistro
link: https://www.google.com/maps/search/The+Bistro/@42.7790582,-81.190184?authuser=0&hl=zh-TW&entry=ttu
Reviews: 627 reviews

Name: Wimpy's Diner St Thomas
link: https://www.google.com/maps/search/Wimpy%27s+Diner+St+Thomas/@42.778552999999995,-81.17976449999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 549 reviews

Name: Sunset Cafe
link: https://www.google.com/maps/search/Sunset+Cafe/@42.762988799999995,-81.1976138?authuser=0&hl=zh-TW&entry=ttu
Reviews: 322 reviews

Name: Denny's
link: https://www.google.com/maps/search/Denny%27s/@42.775096999999995,-81.1622094?authuser=0&hl=zh-TW&entry=ttu
Reviews: 297 reviews",https://www.sunsetgrill.ca/,Sunset Grill (Ye Zhu ),https://www.google.com/maps/contrib/102541100097281844352,https://lh5.googleusercontent.com/p/AF1QipN49KJwJkkaFkuJ19u5g-4mK-OYEcNJJUsP5cB_=w408-h306-k-no,Zao Can Can Ting ,"Zao Can Can Ting , Zao Wu Can Can Ting ",4.7,07:00-15:00,Open All Days,+1 519-631-3232,"Sunset Grill, 1055 Talbot St Unit 8, St Thomas, ON N5P 1G4Jia Na Da ","Xiao Rong , Sheng Ri , Ban Ni Di Ke Dan , You Mo ",https://www.google.com/maps/place/Sunset+Grill/data=!4m7!3m6!1s0x882e5ff394f79bdd:0xaf8ddf448d84a57a!8m2!3d42.7819847!4d-81.1750023!16s%2Fg%2F11hj7920s0!19sChIJ3Zv3lPNfLogReqWEjUTfja8?authuser=0&hl=zh-TW&rclk=1
ChIJo3INID1eLogRCH0w1k2zFG0,Tim Hortons,,False,662,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@42.7791579,-81.1799175?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1753 reviews

Name: Wendy's
link: https://www.google.com/maps/search/Wendy%27s/@42.7797172,-81.1718509?authuser=0&hl=zh-TW&entry=ttu
Reviews: 860 reviews

Name: Sunset Grill
link: https://www.google.com/maps/search/Sunset+Grill/@42.781984699999995,-81.1750023?authuser=0&hl=zh-TW&entry=ttu
Reviews: 821 reviews

Name: Subway
link: https://www.google.com/maps/search/Subway/@42.7791907,-81.1789646?authuser=0&hl=zh-TW&entry=ttu
Reviews: 331 reviews

Name: Pita Pit
link: https://www.google.com/maps/search/Pita+Pit/@42.779175200000005,-81.1829892?authuser=0&hl=zh-TW&entry=ttu
Reviews: 270 reviews",http://locations.timhortons.ca/on/st-thomas/995-talbot-st-e,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/108540259084206999337,https://lh5.googleusercontent.com/p/AF1QipMe4QRaYqE7DPVL4XrUqTJRP2d1xNmEEM-v6eC7=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",4,24 Xiao Shi Ying Ye ,Open All Days,+1 519-631-0324,"Tim Hortons, 995 Talbot St, St Thomas, ON N5P 1G1Jia Na Da ","De Lai Su , Tian Tian Quan , Bing , Xiao Rong , Qian , Song Bing , Bei Guo , Ju Kao , Xiang Zhen , Ke Ke ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x882e5e3d200d72a3:0x6d14b34dd6307d08!8m2!3d42.7791179!4d-81.1770585!16s%2Fg%2F1tjdrzkn!19sChIJo3INID1eLogRCH0w1k2zFG0?authuser=0&hl=zh-TW&rclk=1
ChIJWUqTHnFeLogReex9lLCf8Vw,Tim Hortons,,False,631,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@42.7791579,-81.1799175?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1753 reviews

Name: Wimpy's Diner St Thomas
link: https://www.google.com/maps/search/Wimpy%27s+Diner+St+Thomas/@42.778552999999995,-81.17976449999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 549 reviews

Name: Streamliners Espresso Bar
link: https://www.google.com/maps/search/Streamliners+Espresso+Bar/@42.779067100000006,-81.1864782?authuser=0&hl=zh-TW&entry=ttu
Reviews: 368 reviews

Name: Sunset Cafe
link: https://www.google.com/maps/search/Sunset+Cafe/@42.762988799999995,-81.1976138?authuser=0&hl=zh-TW&entry=ttu
Reviews: 322 reviews",http://locations.timhortons.ca/on/st-thomas/60-elm-st,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/116647806318521032179,https://lh5.googleusercontent.com/p/AF1QipNiD6cLfe-2IVaj6fONOkm2RPW6p9iZZ83vkSiQ=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.8,05:00-22:00,Xing Qi Yi ,+1 519-631-4575,"Tim Hortons, 60 Elm St, St Thomas, ON N5R 6G6Jia Na Da ","De Lai Su , Tian Tian Quan , San Ming Zhi , Su Shi Dian , Chan Pin , Xi Yang , Chuang , Ting Che Chang , Bei Guo ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x882e5e711e934a59:0x5cf19fb0947dec79!8m2!3d42.7650186!4d-81.1968787!16s%2Fg%2F1tx1tv40!19sChIJWUqTHnFeLogReex9lLCf8Vw?authuser=0&hl=zh-TW&rclk=1
ChIJl5r3Q5lgLogRPGxCTz01OUQ,Tim Hortons,,False,589,"Name: Wendy's
link: https://www.google.com/maps/search/Wendy%27s/@42.7797172,-81.1718509?authuser=0&hl=zh-TW&entry=ttu
Reviews: 860 reviews

Name: Taco Bell
link: https://www.google.com/maps/search/Taco+Bell/@42.778490999999995,-81.1802036?authuser=0&hl=zh-TW&entry=ttu
Reviews: 449 reviews

Name: Sunset Cafe
link: https://www.google.com/maps/search/Sunset+Cafe/@42.762988799999995,-81.1976138?authuser=0&hl=zh-TW&entry=ttu
Reviews: 322 reviews

Name: Denny's
link: https://www.google.com/maps/search/Denny%27s/@42.775096999999995,-81.1622094?authuser=0&hl=zh-TW&entry=ttu
Reviews: 297 reviews

Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@42.7809294,-81.17018929999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 58 reviews",http://locations.timhortons.ca/on/st-thomas/1204-talbot-st,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/105816604694586368591,https://lh5.googleusercontent.com/p/AF1QipOq2MpXtUNJbk8XDFz2D9WQrWMPAmXMdhgn6bZY=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.9,05:00-23:00,Xing Qi Yi ,+1 519-631-5979,"Tim Hortons, 1204 Talbot St, St Thomas, ON N5P 1G7Jia Na Da ","De Lai Su , Zao Shang , Tian Tian Quan , Qing Jie , San Ming Zhi , Chuang , Ji Rou , La Rou Jiang , Can Jin Zhi ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x882e609943f79a97:0x4439353d4f426c3c!8m2!3d42.7780134!4d-81.1545467!16s%2Fg%2F1tjt2k_b!19sChIJl5r3Q5lgLogRPGxCTz01OUQ?authuser=0&hl=zh-TW&rclk=1
ChIJR4_aF15eLogRqTtGfUUC2ww,Tim Hortons,,False,585,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@42.7791579,-81.1799175?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1753 reviews

Name: St. Thomas Roadhouse Bar and Grill
link: https://www.google.com/maps/search/St.+Thomas+Roadhouse+Bar+and+Grill/@42.7790336,-81.1845398?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1416 reviews

Name: The Bistro
link: https://www.google.com/maps/search/The+Bistro/@42.7790582,-81.190184?authuser=0&hl=zh-TW&entry=ttu
Reviews: 627 reviews

Name: Pita Pit
link: https://www.google.com/maps/search/Pita+Pit/@42.779175200000005,-81.1829892?authuser=0&hl=zh-TW&entry=ttu
Reviews: 270 reviews

Name: Subway
link: https://www.google.com/maps/search/Subway/@42.7793984,-81.2040323?authuser=0&hl=zh-TW&entry=ttu
Reviews: 264 reviews",https://locations.timhortons.ca/en/on/st-thomas/191-talbot-street-west/,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/100994159218301574281,https://lh5.googleusercontent.com/p/AF1QipMIIamcu1Vgi1cGykVUaK9gXTo-6M1X7MsZHdVs=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.8,05:00-20:00,Xing Qi Yi ,+1 519-631-6768,"Tim Hortons, 191 Talbot St, St Thomas, ON N5P 1A8Jia Na Da ","De Lai Su , San Ming Zhi , Tian Tian Quan , Ting Che , Jia Ge , Zao Shang , Bei Guo , Su Shi Dian , Pei Gen ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x882e5e5e17da8f47:0xcdb02457d463ba9!8m2!3d42.7794126!4d-81.2035528!16s%2Fg%2F1tc_rndn!19sChIJR4_aF15eLogRqTtGfUUC2ww?authuser=0&hl=zh-TW&rclk=1
ChIJ4yjy0D1eLogR2bP87NfKQHg,Wimpy's Diner St Thomas,,False,549,"Name: St. Thomas Roadhouse Bar and Grill
link: https://www.google.com/maps/search/St.+Thomas+Roadhouse+Bar+and+Grill/@42.7790336,-81.1845398?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1416 reviews

Name: The Bistro
link: https://www.google.com/maps/search/The+Bistro/@42.7790582,-81.190184?authuser=0&hl=zh-TW&entry=ttu
Reviews: 627 reviews

Name: Denny's
link: https://www.google.com/maps/search/Denny%27s/@42.775096999999995,-81.1622094?authuser=0&hl=zh-TW&entry=ttu
Reviews: 297 reviews

Name: Salt & Pepper Meals
link: https://www.google.com/maps/search/Salt+%26+Pepper+Meals/@42.774518300000004,-81.1889419?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",http://wimpysdiner.ca/location/st-thomas/,Wimpy's Diner St Thomas (Ye Zhu ),https://www.google.com/maps/contrib/104648110318915662884,https://lh5.googleusercontent.com/p/AF1QipPw7L8EkOuzLfAudpFYjo8sHu5vbzXfra1GEqaj=w408-h306-k-no,Can Ting ,Can Ting ,4,08:00-18:00,Open All Days,+1 519-637-0404,"Wimpy's Diner St Thomas, 960 Talbot St, St Thomas, ON N5P 1E7Jia Na Da ","Zao Can , Liao Li , Han Bao , Pei Gen , Ou Mu Dan , Ban Ni Di Ke Dan , Zha Yu Shu Tiao , Nei Xian ",https://www.google.com/maps/place/Wimpy%27s+Diner+St+Thomas/data=!4m7!3m6!1s0x882e5e3dd0f228e3:0x7840cad7ecfcb3d9!8m2!3d42.778553!4d-81.1797645!16s%2Fg%2F1q64chjfr!19sChIJ4yjy0D1eLogR2bP87NfKQHg?authuser=0&hl=zh-TW&rclk=1
