place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJTaXnYrq5AEcRbE85zIcOhqY,Restauracja McDonald's,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,3173,"Name: KFC Stargard Tesco DT
link: https://www.google.com/maps/search/KFC+Stargard+Tesco+DT/@53.3423454,14.993036799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2287 reviews

Name: Restauracja La Strada
link: https://www.google.com/maps/search/Restauracja+La+Strada/@53.338817999999996,15.025684000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1616 reviews

Name: Kebab Haus
link: https://www.google.com/maps/search/Kebab+Haus/@53.339662999999994,15.036263999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 842 reviews

Name: Tajemniczy Ogrod Caffe & Ristorante
link: https://www.google.com/maps/search/Tajemniczy+Ogr%C3%B3d+Caffe+%26+Ristorante/@53.341547999999996,15.035454999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 391 reviews

Name: Kebab Mezban
link: https://www.google.com/maps/search/Kebab+Mezban/@53.3398675,15.0166975?authuser=0&hl=zh-TW&entry=ttu
Reviews: 258 reviews",https://mcdonalds.pl/restauracje/zachodniopomorskie/stargard/stargard-ul-szczecinska-10/,Restauracja McDonald's (Ye Zhu ),https://www.google.com/maps/contrib/117355441947330503286,https://lh5.googleusercontent.com/p/AF1QipNeh1hGaXOQWEtKfNpALdlhjtaIzo7m_qMH5lFy=w408-h272-k-no,Can Ting ,Can Ting ,4,06:00-00:00,Xing Qi Yi ,+48 532 757 643,"Restauracja McDonald's, Szczecinska 10, 73-110 Stargard, Bo Lan ",,https://www.google.com/maps/place/Restauracja+McDonald%27s/data=!4m7!3m6!1s0x4700b9ba62e7a54d:0xa6860e87cc394f6c!8m2!3d53.3391432!4d15.0281187!16s%2Fg%2F11dfj5yvr7!19sChIJTaXnYrq5AEcRbE85zIcOhqY?authuser=0&hl=zh-TW&rclk=1
ChIJdws3lLe5AEcRgxg31ujeMwQ,Kaufland Stargard Szczecinski,,False,3060,"Name: Biedronka
link: https://www.google.com/maps/search/Biedronka/@53.337264399999995,15.020785399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 942 reviews

Name: Salon Play CH Kaufland Stargard
link: https://www.google.com/maps/search/Salon+Play+CH+Kaufland+Stargard/@53.3332876,15.0272866?authuser=0&hl=zh-TW&entry=ttu
Reviews: 57 reviews

Name: Dealz
link: https://www.google.com/maps/search/Dealz/@53.333417499999996,15.027433?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",http://www.kaufland.pl/?cid=F19054B02C1200K01000W01030000,Kaufland Stargard Szczecinski (Ye Zhu ),https://www.google.com/maps/contrib/113640761104996546500,https://lh5.googleusercontent.com/p/AF1QipO9kepP-bs7cYYMKWZVBZUmJ3u2I9nSlMLGt9rs=w408-h244-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.1,06:00-23:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 800 300 062,"Kaufland Stargard Szczecinski, Tadeusza Kosciuszki 73, 73-110 Stargard, Bo Lan ",,https://www.google.com/maps/place/Kaufland+Stargard+Szczeci%C5%84ski/data=!4m7!3m6!1s0x4700b9b794370b77:0x433dee8d6371883!8m2!3d53.3330042!4d15.0270757!16s%2Fg%2F1tgh1p03!19sChIJdws3lLe5AEcRgxg31ujeMwQ?authuser=0&hl=zh-TW&rclk=1
ChIJ8fpbuLu5AEcRZZ0J5TPVpk0,Lidl,,False,1743,"Name: Biedronka
link: https://www.google.com/maps/search/Biedronka/@53.337264399999995,15.020785399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 942 reviews

Name: Lidl Centrum Dystrybucyjne - Stargard
link: https://www.google.com/maps/search/Lidl+Centrum+Dystrybucyjne+-+Stargard/@53.28479790000001,14.967400800000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 163 reviews

Name: Lidl Cd Stargard
link: https://www.google.com/maps/search/Lidl+Cd+Stargard/@53.279332499999995,14.969917100000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews

Name: Sklep ogolnospozywczy
link: https://www.google.com/maps/search/Sklep+og%C3%B3lnospo%C5%BCywczy/@53.3322796,15.016665300000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.lidl.pl/,Lidl (Ye Zhu ),https://www.google.com/maps/contrib/100404254585367861436,https://lh5.googleusercontent.com/p/AF1QipOzPAdAIrx_bMriZ2pFbdjU9T3EFiuyu4FdCs19=w408-h307-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Chao Ji Shi Chang ",4.3,06:00-22:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 61 880 30 00,"Lidl, 11 Listopada 23, 73-110 Stargard, Bo Lan ",Xuan Ze ,https://www.google.com/maps/place/Lidl/data=!4m7!3m6!1s0x4700b9bbb85bfaf1:0x4da6d533e5099d65!8m2!3d53.3392585!4d15.0242917!16s%2Fg%2F1tfkpfwt!19sChIJ8fpbuLu5AEcRZZ0J5TPVpk0?authuser=0&hl=zh-TW&rclk=1
ChIJi_4sX4m5AEcRAsx81Ss1KKE,Bricomarche,,False,1547,"Name: Castorama
link: https://www.google.com/maps/search/Castorama/@53.342269800000004,14.9847668?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2384 reviews

Name: Zamet. Hurtownia art. metalowych i chemii budowlanej. Stihl serwis
link: https://www.google.com/maps/search/Zamet.+Hurtownia+art.+metalowych+i+chemii+budowlanej.+Stihl+serwis/@53.3299381,15.027720200000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 155 reviews

Name: Baumat - Hurtownia Materialow Budowlanych
link: https://www.google.com/maps/search/Baumat+-+Hurtownia+Materia%C5%82%C3%B3w+Budowlanych/@53.333028,15.024135?authuser=0&hl=zh-TW&entry=ttu
Reviews: 84 reviews

Name: Hiper Farby
link: https://www.google.com/maps/search/Hiper+Farby/@53.344399499999994,15.032398400000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Brico Depot
link: https://www.google.com/maps/search/Brico+Depot/@53.3341504,15.0235776?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.bricomarche.pl/%3FposId%3D239,Bricomarche (Ye Zhu ),https://www.google.com/maps/contrib/101684201037902679198,https://lh5.googleusercontent.com/p/AF1QipP82upA0mtnDPpFatzq6VezYQQhlc2D5tjHfKyH=w408-h269-k-no,Jia Ting Zhuang Xiu  DIY Bai Huo Mai Chang ,"Jia Ting Zhuang Xiu  DIY Bai Huo Mai Chang , Jian Cai Shang Dian , Shi Zhuang Ji Pei Shi Dian , Yuan Yi Dian ",4.1,07:00-21:00,Open All Days,+48 797 527 308,"Bricomarche, Szczecinska 81, 73-110 Stargard, Bo Lan ",,https://www.google.com/maps/place/Bricomarch%C3%A9/data=!4m7!3m6!1s0x4700b9895f2cfe8b:0xa128352bd57ccc02!8m2!3d53.3419233!4d14.9892843!16s%2Fg%2F11b6_mq_db!19sChIJi_4sX4m5AEcRAsx81Ss1KKE?authuser=0&hl=zh-TW&rclk=1
ChIJwV4orlO4AEcRjz4nSHeptZE,Biedronka,,False,1511,"Name: Lidl
link: https://www.google.com/maps/search/Lidl/@53.3336268,15.0443725?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1234 reviews

Name: Netto
link: https://www.google.com/maps/search/Netto/@53.338819799999996,15.0447038?authuser=0&hl=zh-TW&entry=ttu
Reviews: 287 reviews

Name: Zabka
link: https://www.google.com/maps/search/%C5%BBabka/@53.3404661,15.048486200000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 50 reviews

Name: Polan. Sklep spozywczy. Polanska B.
link: https://www.google.com/maps/search/Polan.+Sklep+spo%C5%BCywczy.+Pola%C5%84ska+B./@53.343460799999995,15.0519392?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Nowakowska Jolanta. Art. spozywcze
link: https://www.google.com/maps/search/Nowakowska+Jolanta.+Art.+spo%C5%BCywcze/@53.3430998,15.0517669?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/107719255973208334396,https://lh5.googleusercontent.com/p/AF1QipOirkFtFDpU32LYrCuCKYpBeRN6EQc9A3xVGQ0F=w408-h306-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",3.8,06:00-23:30,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 800 080 010,"Biedronka, Gdanska 2, 73-110 Stargard, Bo Lan ",,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x4700b853ae285ec1:0x91b5a97748273e8f!8m2!3d53.3419189!4d15.0518831!16s%2Fg%2F1hc6dc8qv!19sChIJwV4orlO4AEcRjz4nSHeptZE?authuser=0&hl=zh-TW&rclk=1
ChIJ8aipDZG5AEcRxipG0fokb-8,Biedronka,,False,1414,"Name: Netto
link: https://www.google.com/maps/search/Netto/@53.339285399999994,15.0202364?authuser=0&hl=zh-TW&entry=ttu
Reviews: 836 reviews

Name: Delikatesy Centrum
link: https://www.google.com/maps/search/Delikatesy+Centrum/@53.3395624,15.0184844?authuser=0&hl=zh-TW&entry=ttu
Reviews: 166 reviews

Name: Zabka
link: https://www.google.com/maps/search/%C5%BBabka/@53.339976,15.0158011?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: Sklep Spozywczy Abc
link: https://www.google.com/maps/search/Sklep+Spo%C5%BCywczy+Abc/@53.3428518,15.013839?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Sklep Sozywczy
link: https://www.google.com/maps/search/Sklep+So%C5%BCywczy/@53.336667299999995,15.008618300000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/113571843973625965113,https://lh5.googleusercontent.com/p/AF1QipMeT6L91_qGLKxB4bVpUQOPf_1erRURJreQ9bld=w454-h240-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",3.9,06:00-23:30,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 800 080 010,"Biedronka, Szczecinska 127, 73-110 Stargard, Bo Lan ",,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x4700b9910da9a8f1:0xef6f24fad1462ac6!8m2!3d53.3412979!4d15.00244!16s%2Fg%2F11h0rk5q6!19sChIJ8aipDZG5AEcRxipG0fokb-8?authuser=0&hl=zh-TW&rclk=1
ChIJMVv5Eku4AEcRftjpipOtDnI,Lidl,,False,1234,"Name: Biedronka
link: https://www.google.com/maps/search/Biedronka/@53.341918899999996,15.0518831?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1509 reviews

Name: Lidl Centrum Dystrybucyjne - Stargard
link: https://www.google.com/maps/search/Lidl+Centrum+Dystrybucyjne+-+Stargard/@53.28479790000001,14.967400800000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 163 reviews

Name: Lidl Cd Stargard
link: https://www.google.com/maps/search/Lidl+Cd+Stargard/@53.279332499999995,14.969917100000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews

Name: Staniszewska Danuta. Przedsiebiorstwo handlowo - uslugowe
link: https://www.google.com/maps/search/Staniszewska+Danuta.+Przedsi%C4%99biorstwo+handlowo+-+us%C5%82ugowe/@53.333869,15.044993999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Nowakowska Jolanta. Art. spozywcze
link: https://www.google.com/maps/search/Nowakowska+Jolanta.+Art.+spo%C5%BCywcze/@53.3430998,15.0517669?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.lidl.pl/,Lidl (Ye Zhu ),https://www.google.com/maps/contrib/114105217610226522043,https://lh5.googleusercontent.com/p/AF1QipNTglPxggGP2yV65vbBHKGWOW-hYtLdGHviMf4A=w408-h306-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Chao Ji Shi Chang ",4.2,06:00-22:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 61 880 30 00,"Lidl, Ksiecia Popiela 22, 73-110 Stargard, Bo Lan ",,https://www.google.com/maps/place/Lidl/data=!4m7!3m6!1s0x4700b84b12f95b31:0x720ead938ae9d87e!8m2!3d53.3336268!4d15.0443725!16s%2Fg%2F1tg4k22f!19sChIJMVv5Eku4AEcRftjpipOtDnI?authuser=0&hl=zh-TW&rclk=1
ChIJtbE8KNO5AEcRPIZIhyLOH90,Biedronka,,False,1151,"Name: Zabka
link: https://www.google.com/maps/search/%C5%BBabka/@53.314915799999994,15.035511699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 95 reviews

Name: Sklep ABC
link: https://www.google.com/maps/search/Sklep+ABC/@53.2924881,14.996389500000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 86 reviews

Name: Fryzjer meski
link: https://www.google.com/maps/search/Fryzjer+m%C4%99ski/@53.315498999999996,15.032943?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/116838737086569015260,https://lh5.googleusercontent.com/p/AF1QipPDCedXjwOWOFmJpXiFRC4CI_46uhIqi1qvgB78=w408-h306-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",3.7,06:00-23:30,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 800 080 010,"Biedronka, Armii Krajowej 2b, 73-100 Stargard, Bo Lan ",,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x4700b9d3283cb1b5:0xdd1fce228748863c!8m2!3d53.315182!4d15.0314191!16s%2Fg%2F1tj83k37!19sChIJtbE8KNO5AEcRPIZIhyLOH90?authuser=0&hl=zh-TW&rclk=1
ChIJl2MZXLK5AEcRdqzCZzI7mbY,Pizzeria u Jana,,False,1051,"Name: Restauracja La Strada
link: https://www.google.com/maps/search/Restauracja+La+Strada/@53.338817999999996,15.025684000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1616 reviews

Name: Restauracja Toskania
link: https://www.google.com/maps/search/Restauracja+Toskania/@53.3375445,15.040813199999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 948 reviews

Name: Restauracja Sorrento
link: https://www.google.com/maps/search/Restauracja+Sorrento/@53.338136999999996,15.040675?authuser=0&hl=zh-TW&entry=ttu
Reviews: 816 reviews

Name: Pizza Stargard - Pizzeria Bazylia
link: https://www.google.com/maps/search/Pizza+Stargard+-+Pizzeria+Bazylia/@53.338245099999995,15.0201818?authuser=0&hl=zh-TW&entry=ttu
Reviews: 471 reviews

Name: Hallo Pizza
link: https://www.google.com/maps/search/Hallo+Pizza/@53.343264000000005,15.011341499999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 392 reviews",http://pizzeriaujana.pl/,Pizzeria u Jana (Ye Zhu ),https://www.google.com/maps/contrib/117252868255627049331,https://lh5.googleusercontent.com/p/AF1QipOddowQ8vdfoJT6K_tkM1sezdI1w5Ibvomfk__x=w427-h240-k-no,Bo Bing Can Ting ,"Bo Bing Can Ting , Mei Shi Guang Chang , Yi Da Li Can Ting , Wai Song Su Di Can Ting , Yi Da Li Mian Shi Dian , Bo Bing Su Di , Bo Bing Wai Mai Zi Qu , Bo Lan Can Ting , Sha Lu Dian , Tang Pin Can Ting ",4.3,12:00-21:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 91 578 44 83,"Pizzeria u Jana, Warowna 1A, 73-110 Stargard, Bo Lan ",,https://www.google.com/maps/place/Pizzeria+u+Jana/data=!4m7!3m6!1s0x4700b9b25c196397:0xb6993b3267c2ac76!8m2!3d53.338764!4d15.040561!16s%2Fg%2F1vl5fgvg!19sChIJl2MZXLK5AEcRdqzCZzI7mbY?authuser=0&hl=zh-TW&rclk=1
ChIJjYmvULm5AEcRNq5ka4y9FP4,Biedronka,,False,942,"Name: Kaufland Stargard Szczecinski
link: https://www.google.com/maps/search/Kaufland+Stargard+Szczeci%C5%84ski/@53.3330042,15.0270757?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3060 reviews

Name: ABC. Sklep spozywczy. Szkolna. Kaczorowska E.
link: https://www.google.com/maps/search/ABC.+Sklep+spo%C5%BCywczy.+Szkolna.+Kaczorowska+E./@53.335848899999995,15.0222979?authuser=0&hl=zh-TW&entry=ttu
Reviews: 98 reviews

Name: Zabka
link: https://www.google.com/maps/search/%C5%BBabka/@53.3382053,15.0196373?authuser=0&hl=zh-TW&entry=ttu
Reviews: 77 reviews

Name: Pepco
link: https://www.google.com/maps/search/Pepco/@53.332827099999996,15.026274899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews

Name: Borkowska Bozena. Artykuly spozywcze
link: https://www.google.com/maps/search/Borkowska+Bo%C5%BCena.+Artyku%C5%82y+spo%C5%BCywcze/@53.338806899999994,15.019544999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/112422118970866996025,https://lh5.googleusercontent.com/p/AF1QipOZvNKW4R432ciNv_qaDl6A2UTUZYFWsYHDGdw=w408-h306-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",3.8,06:00-23:30,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 800 080 010,"Biedronka, Tadeusza Kosciuszki 32/34, 73-110 Stargard, Bo Lan ",,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x4700b9b950af898d:0xfe14bd8c6b64ae36!8m2!3d53.3372644!4d15.0207854!16s%2Fg%2F11b5wly5xx!19sChIJjYmvULm5AEcRNq5ka4y9FP4?authuser=0&hl=zh-TW&rclk=1
