place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ66cql9TdG24Rt31uPfblKFo,Maya Dhaba,,False,544,"Name: Ashiyana
link: https://www.google.com/maps/search/Ashiyana/@-18.1416844,178.42310519999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 344 reviews

Name: Swagat Wine and Dine
link: https://www.google.com/maps/search/Swagat+Wine+and+Dine/@-18.145266499999998,178.4347124?authuser=0&hl=zh-TW&entry=ttu
Reviews: 279 reviews

Name: Rajdhani Restaurant
link: https://www.google.com/maps/search/Rajdhani+Restaurant/@-18.1441332,178.42398599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 133 reviews

Name: Masala Twist Restauraurant Suva
link: https://www.google.com/maps/search/Masala+Twist+Restauraurant+Suva/@-18.1462476,178.4290437?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: INDIANA CURRY HOUSE & BAR
link: https://www.google.com/maps/search/INDIANA+CURRY+HOUSE+%26+BAR/@-18.141178999999998,178.4235192?authuser=0&hl=zh-TW&entry=ttu
Reviews: 75 reviews",http://www.mayadhaba.com/,Maya Dhaba (Ye Zhu ),https://www.google.com/maps/contrib/112460971448980824403,https://lh5.googleusercontent.com/p/AF1QipNas0cIQyDcl7W0Wo3ajCV-x9LxcNLH6_MMYLIA=w408-h327-k-no,Yin Du Can Ting ,Yin Du Can Ting ,4.2,11:00-22:00,Xing Qi Yi ,+679 331 0045,"Maya Dhaba, 281 Victoria Parade, Suva, Fei Ji ","Jia Ge , Ke Fu , Zhu Can , Huan Jing , Qing Jie , Bang Bang Tang , Kao Rou Chuan ",https://www.google.com/maps/place/Maya+Dhaba/data=!4m7!3m6!1s0x6e1bddd4972aa7eb:0x5a28e5f63d6e7db7!8m2!3d-18.142407!4d178.4234562!16s%2Fg%2F1hfbr58yd!19sChIJ66cql9TdG24Rt31uPfblKFo?authuser=0&hl=zh-TW&rclk=1
ChIJ2SXJICfcG24RIf_eHXXWD88,NEWWORLD IGA,,False,537,"Name: Shop N Save Supermarket - Nabua
link: https://www.google.com/maps/search/Shop+N+Save+Supermarket+-+Nabua/@-18.122777799999998,178.4577778?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1298 reviews

Name: MH
link: https://www.google.com/maps/search/MH/@-18.136036,178.42562379999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 85 reviews

Name: NEWWORLD
link: https://www.google.com/maps/search/NEWWORLD/@-18.1354042,178.42627729999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 70 reviews

Name: Foodcity Supermarket
link: https://www.google.com/maps/search/Foodcity+Supermarket/@-18.135023999999998,178.4257203?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: Goodworld Supermarket
link: https://www.google.com/maps/search/Goodworld+Supermarket/@-18.1369245,178.42604989999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.newworld.com.fj/,NEWWORLD IGA (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO-KN5CRgw4fJYzbdRSD6BM0lcEC-SRK4wNJAjZ=w426-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.2,08:30-20:00,Open All Days,+679 331 2503,"VC6G+7P7 NEWWORLD IGA, Suva, Fei Ji ","Qing Jie , Jia Ge , Ke Fu , Jing Yan , Zu Zhi , Pin Zhi , Ting Che , Guo , Jia Zi ",https://www.google.com/maps/place/NEWWORLD+IGA/data=!4m7!3m6!1s0x6e1bdc2720c925d9:0xcf0fd6751ddeff21!8m2!3d-18.1393274!4d178.4267844!16s%2Fg%2F11d_8rf312!19sChIJ2SXJICfcG24RIf_eHXXWD88?authuser=0&hl=zh-TW&rclk=1
ChIJ3-U8T4DfG24RyS8E2jCLKH4,EXTRA SUPERMARKET LAUCALA BEACH,,False,534,"Name: Cost-U-Less
link: https://www.google.com/maps/search/Cost-U-Less/@-18.1473655,178.4472961?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1490 reviews

Name: Fresh Choice Supermarket
link: https://www.google.com/maps/search/Fresh+Choice+Supermarket/@-18.1410217,178.4496002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 389 reviews

Name: Foodcity Supermarket
link: https://www.google.com/maps/search/Foodcity+Supermarket/@-18.135023999999998,178.4257203?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: Sardar Supermarket
link: https://www.google.com/maps/search/Sardar+Supermarket/@-18.1439771,178.4484534?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.extra.com.fj/,EXTRA SUPERMARKET LAUCALA BEACH (Ye Zhu ),https://www.google.com/maps/contrib/102367048367025097504,https://lh5.googleusercontent.com/p/AF1QipN8ZIZVArsKOLPNaRjrjObWFadLSylpyZPBAKGy=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.6,07:00-22:00,Open All Days,+679 992 3162,"EXTRA SUPERMARKET LAUCALA BEACH, Ratu Dovi Rd, Suva, Fei Ji ","Ke Fu , Huan Jing , Rou , Jing Yan , Ting Che , Qing Jie , Xuan Ze , Bian Li , Jiu Lei ",https://www.google.com/maps/place/EXTRA+SUPERMARKET+LAUCALA+BEACH/data=!4m7!3m6!1s0x6e1bdf804f3ce5df:0x7e288b30da042fc9!8m2!3d-18.113923!4d178.4760463!16s%2Fg%2F11rk3326mp!19sChIJ3-U8T4DfG24RyS8E2jCLKH4?authuser=0&hl=zh-TW&rclk=1
ChIJr05zwCDcG24RqNdwY2DyHnE,Moments Cafe,,False,384,"Name: Mana Coffee
link: https://www.google.com/maps/search/Mana+Coffee/@-18.1427645,178.42755459999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 363 reviews

Name: ROC Cafe
link: https://www.google.com/maps/search/ROC+Cafe/@-18.1434348,178.4234962?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: Ginger Kitchen
link: https://www.google.com/maps/search/Ginger+Kitchen/@-18.1496361,178.4257649?authuser=0&hl=zh-TW&entry=ttu
Reviews: 111 reviews

Name: Lazy Beans Cafe Suva
link: https://www.google.com/maps/search/Lazy+Beans+Cafe+Suva/@-18.138925699999998,178.4245565?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews

Name: Palm Court Bistro
link: https://www.google.com/maps/search/Palm+Court+Bistro/@-18.1397361,178.4240112?authuser=0&hl=zh-TW&entry=ttu
Reviews: 60 reviews",https://web.facebook.com/scottstreetsuva,Moments Cafe (Ye Zhu ),https://www.google.com/maps/contrib/110354327218147379289,https://lh5.googleusercontent.com/p/AF1QipOPM2ipvPYnI6u-cEBLB4GkulgSVSIlVV99q7vF=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba , Can Ting ",4.4,07:00-18:00,Open All Days,+679 330 0244,"Moments Cafe, 3 Scott St, Suva, Fei Ji ","atmosphere, Huan Jing , Can , San Ming Zhi , Pai , Han Bao , Hui Yi , Jia Ting , Guo Zhi , Niu Pai ",https://www.google.com/maps/place/Moments+Cafe/data=!4m7!3m6!1s0x6e1bdc20c0734eaf:0x711ef2606370d7a8!8m2!3d-18.1379401!4d178.4246957!16s%2Fg%2F11g8vt8mtw!19sChIJr05zwCDcG24RqNdwY2DyHnE?authuser=0&hl=zh-TW&rclk=1
ChIJ56ijnIreG24RBs426cyEJWk,Eden Bistro & Bar (Fiji),,False,271,"Name: Paradiso-bar
link: https://www.google.com/maps/search/Paradiso-bar/@-18.1478385,178.4261522?authuser=0&hl=zh-TW&entry=ttu
Reviews: 417 reviews

Name: New Peking Restaurant
link: https://www.google.com/maps/search/New+Peking+Restaurant/@-18.141443199999998,178.42344660000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews

Name: Shanghai Seafood House
link: https://www.google.com/maps/search/Shanghai+Seafood+House/@-18.1392776,178.4228594?authuser=0&hl=zh-TW&entry=ttu
Reviews: 194 reviews

Name: Fong Lee
link: https://www.google.com/maps/search/Fong+Lee/@-18.1426268,178.4234215?authuser=0&hl=zh-TW&entry=ttu
Reviews: 187 reviews

Name: The Galley
link: https://www.google.com/maps/search/The+Galley/@-18.1223913,178.4299207?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews",https://es-la.facebook.com/edenbistroNbar/,Eden Bistro & Bar (Fiji) (Ye Zhu ),https://www.google.com/maps/contrib/102617173318085263743,https://lh5.googleusercontent.com/p/AF1QipNuiLCeJIc483NUEEoqrgYf4HTW9pILpNL3tMU5=w425-h240-k-no,Can Ting ,"Can Ting , Ka Pei Ting , Hui Yi Zhong Xin ",4.2,11:00-21:00,Xing Qi Ri ,+679 338 6246,"Eden Bistro & Bar (Fiji), 11 Bureta St, Suva, Fei Ji ","Jia Ge , Jing Yan , atmosphere, Sha La , Zhu Can , Hong Jiu , Liao Li , Long Xia , Hua Yuan ",https://www.google.com/maps/place/Eden+Bistro+%26+Bar+%28Fiji%29/data=!4m7!3m6!1s0x6e1bde8a9ca3a8e7:0x692584cce936ce06!8m2!3d-18.1149139!4d178.4391205!16s%2Fg%2F1tfv59qp!19sChIJ56ijnIreG24RBs426cyEJWk?authuser=0&hl=zh-TW&rclk=1
ChIJhUKcQtfdG24R-8pqznMspS8,"Bulaccino Cafe Garden City, Suva",,False,266,"Name: The Coffee Bean Fiji
link: https://www.google.com/maps/search/The+Coffee+Bean+Fiji/@-18.1206049,178.45882279999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: Snowy House Dessert Cafe
link: https://www.google.com/maps/search/Snowy+House+Dessert+Cafe/@-18.1452875,178.44780459999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 123 reviews

Name: Ginger Kitchen
link: https://www.google.com/maps/search/Ginger+Kitchen/@-18.1496361,178.4257649?authuser=0&hl=zh-TW&entry=ttu
Reviews: 111 reviews

Name: Cafe Noir
link: https://www.google.com/maps/search/Cafe+Noir/@-18.141599,178.4233814?authuser=0&hl=zh-TW&entry=ttu
Reviews: 90 reviews

Name: Palm Court Bistro
link: https://www.google.com/maps/search/Palm+Court+Bistro/@-18.1397361,178.4240112?authuser=0&hl=zh-TW&entry=ttu
Reviews: 60 reviews",https://www.bulaccino.com/,"Bulaccino Cafe Garden City, Suva (Ye Zhu )",https://www.google.com/maps/contrib/102692386784287497110,https://lh5.googleusercontent.com/p/AF1QipPCRwGSSk9oetjDfhyShZqATzXav9R2j0GVtt0-=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.1,07:00-18:00,Open All Days,+679 776 8638,"Bulaccino Cafe Garden City, Suva, Grantham Road PB 11161 Nadi Airport, Suva, Fei Ji ","Hui Yi , Ke Fu , Jia Ge , Gao , atmosphere, Pai , Bing Sha , San Ming Zhi ","https://www.google.com/maps/place/Bulaccino+Caf%C3%A9+Garden+City,+Suva/data=!4m7!3m6!1s0x6e1bddd7429c4285:0x2fa52c73ce6acafb!8m2!3d-18.1411036!4d178.4491854!16s%2Fg%2F1pp2w_tr2!19sChIJhUKcQtfdG24R-8pqznMspS8?authuser=0&hl=zh-TW&rclk=1"
ChIJO-vwz4jdG24Rma69idfStko,The Coffee Hub - Suva,,False,189,"Name: Bulaccino Cafe Garden City, Suva
link: https://www.google.com/maps/search/Bulaccino+Caf%C3%A9+Garden+City%2C+Suva/@-18.141103599999997,178.44918540000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 265 reviews

Name: Cafe Noir
link: https://www.google.com/maps/search/Cafe+Noir/@-18.141599,178.4233814?authuser=0&hl=zh-TW&entry=ttu
Reviews: 90 reviews

Name: Rhubarb Cafe
link: https://www.google.com/maps/search/Rhubarb+Cafe/@-18.1444412,178.4349581?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: Cafe Latte
link: https://www.google.com/maps/search/Cafe+Latte/@-18.138929100000002,178.4243286?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",http://www.thecoffeehub.com.fj/,The Coffee Hub - Suva (Ye Zhu ),https://www.google.com/maps/contrib/110643185140292018540,https://lh5.googleusercontent.com/p/AF1QipPECuZEdAjnHYx4RvgCeh9g8h12Jd2tHTq7EFNG=w426-h240-k-no,Can Ting ,"Can Ting , Jiu Ba ",4.5,06:00-21:00,Open All Days,+679 782 0660,"The Coffee Hub - Suva, Cnr of Joske and Gordon st, Suva - City Center, Suva, Fei Ji ","atmosphere, Ke Fu , Ka Pei Ting , Zao Can , Jia Ge , Tian Tian Quan , Zao Wu Can , Qia Bu Qi Nuo , Zhuang Xiu , Luo Li ",https://www.google.com/maps/place/The+Coffee+Hub+-+Suva/data=!4m7!3m6!1s0x6e1bdd88cff0eb3b:0x4ab6d2d789bdae99!8m2!3d-18.1405034!4d178.4237773!16s%2Fg%2F11sbx9csdj!19sChIJO-vwz4jdG24Rma69idfStko?authuser=0&hl=zh-TW&rclk=1
ChIJOx5FWLndG24RXgbwUz8RZ7A,Hillcrest Restaurant And Cafe,,False,133,"Name: Jody's
link: https://www.google.com/maps/search/Jody%27s/@-18.1391049,178.42341729999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 553 reviews

Name: Paradiso-bar
link: https://www.google.com/maps/search/Paradiso-bar/@-18.1478385,178.4261522?authuser=0&hl=zh-TW&entry=ttu
Reviews: 417 reviews

Name: Moments Cafe
link: https://www.google.com/maps/search/Moments+Cafe/@-18.137940099999998,178.4246957?authuser=0&hl=zh-TW&entry=ttu
Reviews: 384 reviews

Name: ROC Cafe
link: https://www.google.com/maps/search/ROC+Cafe/@-18.1434348,178.4234962?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: Delight Coffee
link: https://www.google.com/maps/search/Delight+Coffee/@-18.146237499999998,178.4469873?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews",http://www.peninsula.com.fj/,Hillcrest Restaurant And Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMSLioO75CW6bsEnnf5CmfMU7R86VH64lA6Ofut=w408-h306-k-no,Can Ting ,Can Ting ,4,06:30-23:00,Open All Days,+679 331 3711,"VC3J+72J Hillcrest Restaurant And Cafe, Pender St, Suva, Fei Ji ","Jia Ge , Ka Pei ",https://www.google.com/maps/place/Hillcrest+Restaurant+And+Cafe/data=!4m7!3m6!1s0x6e1bddb958451e3b:0xb067113f53f0065e!8m2!3d-18.1467779!4d178.4300182!16s%2Fg%2F11gn0x0xnr!19sChIJOx5FWLndG24RXgbwUz8RZ7A?authuser=0&hl=zh-TW&rclk=1
ChIJz3swMyLcG24R-EmHMcfpKgY,ROC Cafe,,False,129,"Name: Mana Coffee
link: https://www.google.com/maps/search/Mana+Coffee/@-18.1427645,178.42755459999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 363 reviews

Name: Hillcrest Restaurant And Cafe
link: https://www.google.com/maps/search/Hillcrest+Restaurant+And+Cafe/@-18.1467779,178.43001819999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 133 reviews

Name: Ginger Kitchen
link: https://www.google.com/maps/search/Ginger+Kitchen/@-18.1496361,178.4257649?authuser=0&hl=zh-TW&entry=ttu
Reviews: 111 reviews

Name: Cafe Noir
link: https://www.google.com/maps/search/Cafe+Noir/@-18.141599,178.4233814?authuser=0&hl=zh-TW&entry=ttu
Reviews: 90 reviews

Name: Coffee Central
link: https://www.google.com/maps/search/Coffee+Central/@-18.149585400000003,178.44409349999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",https://www.facebook.com/roccafefiji/,ROC Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMzHRYwO702ZrToCA2tgLH5SUqaYwISFEwD97dy=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,06:30-19:30,Open All Days,+679 330 0333,"VC4F+J9H ROC Cafe, Loftus Street, Suva, Fei Ji ","Dan Gao , Jia Ge , Huan Jing , Nai Xi , Kou Wei , Bing Sha , San Ming Zhi ",https://www.google.com/maps/place/ROC+Cafe/data=!4m7!3m6!1s0x6e1bdc2233307bcf:0x62ae9c7318749f8!8m2!3d-18.1434348!4d178.4234962!16s%2Fg%2F11c75x4d_3!19sChIJz3swMyLcG24R-EmHMcfpKgY?authuser=0&hl=zh-TW&rclk=1
ChIJXR4vV9DdG24RZ7xEQeLkowM,Snowy House Dessert Cafe,,False,123,"Name: Bad Dog Cafe
link: https://www.google.com/maps/search/Bad+Dog+Cafe/@-18.1451875,178.4476875?authuser=0&hl=zh-TW&entry=ttu
Reviews: 298 reviews

Name: Bulaccino Cafe Garden City, Suva
link: https://www.google.com/maps/search/Bulaccino+Caf%C3%A9+Garden+City%2C+Suva/@-18.141103599999997,178.44918540000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 265 reviews

Name: Cafe Noir
link: https://www.google.com/maps/search/Cafe+Noir/@-18.141599,178.4233814?authuser=0&hl=zh-TW&entry=ttu
Reviews: 90 reviews

Name: Palm Court Bistro
link: https://www.google.com/maps/search/Palm+Court+Bistro/@-18.1397361,178.4240112?authuser=0&hl=zh-TW&entry=ttu
Reviews: 60 reviews

Name: Snowy House
link: https://www.google.com/maps/search/Snowy+House/@-18.115247999999998,178.4128273?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://facebook.com/snowyhousegr,Snowy House Dessert Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO2OVW4huhZIHLk-G2yZQOB69kQRwQXhh4VtUtW=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,09:00-21:00,Open All Days,+679 355 7800,"Level 1, Snowy House Dessert Cafe, North Wing, Damodar City Centre, Grantham Rd, Suva, Fei Ji ","Jia Ge , Huan Jing ",https://www.google.com/maps/place/Snowy+House+Dessert+Cafe/data=!4m7!3m6!1s0x6e1bddd0572f1e5d:0x3a3e4e24144bc67!8m2!3d-18.1452875!4d178.4478046!16s%2Fg%2F11bzs03yg4!19sChIJXR4vV9DdG24RZ7xEQeLkowM?authuser=0&hl=zh-TW&rclk=1
