place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJa-H6FL1UDkcRklcFCKP4Vhg,Biedronka,,False,1382,"Name: Aldi
link: https://www.google.com/maps/search/Aldi/@50.8607861,16.3226779?authuser=0&hl=zh-TW&entry=ttu
Reviews: 711 reviews

Name: POLOmarket
link: https://www.google.com/maps/search/POLOmarket/@50.8615894,16.3225889?authuser=0&hl=zh-TW&entry=ttu
Reviews: 433 reviews

Name: Zabka
link: https://www.google.com/maps/search/%C5%BBabka/@50.858154,16.3218505?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: Odido
link: https://www.google.com/maps/search/Odido/@50.8689172,16.332903299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/112911905431784825416,https://lh5.googleusercontent.com/p/AF1QipMdms3mem1edRfeE9Uwo2nKhHqP3Jx1JygRabVE=w426-h240-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",4.1,06:00-23:30,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 800 080 010,"Biedronka, Walbrzyska 35, 58-160 Swiebodzice, Bo Lan ",,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x470e54bd14fae16b:0x1856f8a308055792!8m2!3d50.853155!4d16.3198032!16s%2Fg%2F1hc5mbhtg!19sChIJa-H6FL1UDkcRklcFCKP4Vhg?authuser=0&hl=zh-TW&rclk=1
ChIJgdvmtsdUDkcRNZzoq35CkRw,Bricomarche,,False,759,"Name: Kombo sp.o.o. Intermarche
link: https://www.google.com/maps/search/Kombo+sp.o.o.+Intermarche/@50.8625732,16.3089192?authuser=0&hl=zh-TW&entry=ttu
Reviews: 582 reviews

Name: PSB Mrowka
link: https://www.google.com/maps/search/PSB+Mr%C3%B3wka/@50.8554202,16.3203766?authuser=0&hl=zh-TW&entry=ttu
Reviews: 291 reviews

Name: Markecik u Wojtka
link: https://www.google.com/maps/search/Markecik+u+Wojtka/@50.860055499999994,16.316316999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 63 reviews

Name: Rezo Sp. Z O.o.
link: https://www.google.com/maps/search/Rezo+Sp.+Z+O.o./@50.862493799999996,16.3086095?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.bricomarche.pl/%3FposId%3D191,Bricomarche (Ye Zhu ),https://www.google.com/maps/contrib/108798473656574309843,https://lh5.googleusercontent.com/p/AF1QipOg9nEG0L7LIiuBT1tSajxhIU1pBuoedj2kT9Gg=w426-h240-k-no,Jia Ting Zhuang Xiu  DIY Bai Huo Mai Chang ,"Jia Ting Zhuang Xiu  DIY Bai Huo Mai Chang , Jian Cai Shang Dian , Shi Zhuang Ji Pei Shi Dian , Yuan Yi Dian ",4.2,07:00-20:00,Xing Qi Ri ,+48 519 033 803,"Bricomarche, Jeleniogorska 21, 58-160 Swiebodzice, Bo Lan ",,https://www.google.com/maps/place/Bricomarch%C3%A9/data=!4m7!3m6!1s0x470e54c7b6e6db81:0x1c91427eabe89c35!8m2!3d50.8626495!4d16.3070493!16s%2Fg%2F11g_xvq40!19sChIJgdvmtsdUDkcRNZzoq35CkRw?authuser=0&hl=zh-TW&rclk=1
ChIJexR2irpUDkcRlgjKFRxehFo,Aldi,"Fan Shou Ge Zhong Za Huo , Rou Lei He Ru Zhi Pin De Lian Suo Ling Shou Shang . ",False,711,"Name: Biedronka
link: https://www.google.com/maps/search/Biedronka/@50.8612195,16.322688199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 593 reviews

Name: POLOmarket
link: https://www.google.com/maps/search/POLOmarket/@50.8615894,16.3225889?authuser=0&hl=zh-TW&entry=ttu
Reviews: 433 reviews

Name: Dino
link: https://www.google.com/maps/search/Dino/@50.8638026,16.3184154?authuser=0&hl=zh-TW&entry=ttu
Reviews: 266 reviews

Name: Zabka
link: https://www.google.com/maps/search/%C5%BBabka/@50.859244,16.3197075?authuser=0&hl=zh-TW&entry=ttu
Reviews: 234 reviews

Name: Abc
link: https://www.google.com/maps/search/Abc/@50.8571126,16.333520699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.aldi.pl/,Aldi (Ye Zhu ),https://www.google.com/maps/contrib/105563842433398135733,https://lh5.googleusercontent.com/p/AF1QipPeZmuubx2wf4zWmxwIZ6XQ--ePRV7DHMoUhlBl=w408-h839-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Za Huo Dian , Chao Ji Shi Chang ",4.3,06:00-22:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 800 118 118,"Aldi, Strzegomska 11, 58-160 Swiebodzice, Bo Lan ",,https://www.google.com/maps/place/Aldi/data=!4m7!3m6!1s0x470e54ba8a76147b:0x5a845e1c15ca0896!8m2!3d50.8607861!4d16.3226779!16s%2Fg%2F11cn9h7z6n!19sChIJexR2irpUDkcRlgjKFRxehFo?authuser=0&hl=zh-TW&rclk=1
ChIJVTGP9rhUDkcRNNY4xEobErY,Biedronka,,False,674,"Name: Aldi
link: https://www.google.com/maps/search/Aldi/@50.8607861,16.3226779?authuser=0&hl=zh-TW&entry=ttu
Reviews: 711 reviews

Name: Zabka
link: https://www.google.com/maps/search/%C5%BBabka/@50.859244,16.3197075?authuser=0&hl=zh-TW&entry=ttu
Reviews: 234 reviews

Name: Sklep spozywczy
link: https://www.google.com/maps/search/Sklep+spo%C5%BCywczy/@50.851921399999995,16.2971498?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Sklep rybny
link: https://www.google.com/maps/search/Sklep+rybny/@50.859326599999996,16.3193979?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: PPUH ""BiM""
link: https://www.google.com/maps/search/PPUH+%22BiM%22/@50.8560476,16.3112054?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/103501644390842043177,https://lh5.googleusercontent.com/p/AF1QipNrwfujukDoiIauQIXL96DkNONiyatWxxa73dvN=w408-h306-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",4,06:00-23:30,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 800 080 010,"Biedronka, Laczna 43, 58-160 Swiebodzice, Bo Lan ",,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x470e54b8f68f3155:0xb6121b4ac438d634!8m2!3d50.8647444!4d16.3200583!16s%2Fg%2F1hc10k78k!19sChIJVTGP9rhUDkcRNNY4xEobErY?authuser=0&hl=zh-TW&rclk=1
ChIJ4Zwnf7pUDkcRtVS45mFG0Bo,Biedronka,,False,593,"Name: Aldi
link: https://www.google.com/maps/search/Aldi/@50.8607861,16.3226779?authuser=0&hl=zh-TW&entry=ttu
Reviews: 711 reviews

Name: POLOmarket
link: https://www.google.com/maps/search/POLOmarket/@50.8615894,16.3225889?authuser=0&hl=zh-TW&entry=ttu
Reviews: 433 reviews

Name: Zabka
link: https://www.google.com/maps/search/%C5%BBabka/@50.859244,16.3197075?authuser=0&hl=zh-TW&entry=ttu
Reviews: 234 reviews

Name: Drogeria Rossmann
link: https://www.google.com/maps/search/Drogeria+Rossmann/@50.861486299999996,16.3230037?authuser=0&hl=zh-TW&entry=ttu
Reviews: 219 reviews

Name: Sklep Monopolowy Pmk
link: https://www.google.com/maps/search/Sklep+Monopolowy+Pmk/@50.860204700000004,16.3227306?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/110593703095454990043,https://lh5.googleusercontent.com/p/AF1QipOjsPVx2idOFaUEMCUeDUj3HVutcKjh4Ai_4q46=w426-h240-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",4,06:00-23:30,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 800 080 010,"Biedronka, Strzegomska 15, 58-160 Swiebodzice, Bo Lan ",,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x470e54ba7f279ce1:0x1ad04661e6b854b5!8m2!3d50.8612195!4d16.3226882!16s%2Fg%2F1tnjh91r!19sChIJ4Zwnf7pUDkcRtVS45mFG0Bo?authuser=0&hl=zh-TW&rclk=1
ChIJv0vntsdUDkcRUFSgVh-0e20,Kombo sp.o.o. Intermarche,,False,582,"Name: Intermarche Supermarket
link: https://www.google.com/maps/search/Intermarche+Supermarket/@50.8398119,16.497848899999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1211 reviews

Name: Bricomarche
link: https://www.google.com/maps/search/Bricomarch%C3%A9/@50.862649499999996,16.3070493?authuser=0&hl=zh-TW&entry=ttu
Reviews: 759 reviews

Name: Dino
link: https://www.google.com/maps/search/Dino/@50.8638026,16.3184154?authuser=0&hl=zh-TW&entry=ttu
Reviews: 266 reviews

Name: Eko. Supermarket
link: https://www.google.com/maps/search/Eko.+Supermarket/@50.8571082,16.3332869?authuser=0&hl=zh-TW&entry=ttu
Reviews: 60 reviews

Name: Sklep Aligator
link: https://www.google.com/maps/search/Sklep+Aligator/@50.8673754,16.3183887?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews",https://kombo-sp-z-oo-supermarket-firmy-intermarche.business.site/,Kombo sp.o.o. Intermarche (Ye Zhu ),https://www.google.com/maps/contrib/117620150718251854891,https://lh5.googleusercontent.com/p/AF1QipPyZUNcHOrHk0gZQyA-e9TlmkRBaNiOFSpDYqLL=w426-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Shang Dian Yu Gou Wu ",3.9,07:00-21:00,Xing Qi Ri ,+48 74 854 75 21,"Kombo sp.o.o. Intermarche, Jeleniogorska 21, 58-160 Swiebodzice, Bo Lan ",,https://www.google.com/maps/place/Kombo+sp.o.o.+Intermarche/data=!4m7!3m6!1s0x470e54c7b6e74bbf:0x6d7bb41f56a05450!8m2!3d50.8625732!4d16.3089192!16s%2Fg%2F1tfwnp89!19sChIJv0vntsdUDkcRUFSgVh-0e20?authuser=0&hl=zh-TW&rclk=1
ChIJ0wDFcLpUDkcR4xj7rzPtKHs,POLOmarket,,False,433,"Name: Aldi
link: https://www.google.com/maps/search/Aldi/@50.8607861,16.3226779?authuser=0&hl=zh-TW&entry=ttu
Reviews: 711 reviews

Name: Apteka Prima
link: https://www.google.com/maps/search/Apteka+Prima/@50.861408399999995,16.3229121?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Kantor Swiebodzice - Polo Market
link: https://www.google.com/maps/search/Kantor+%C5%9Awiebodzice+-+Polo+Market/@50.861273,16.3225151?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Chata Polska sklep spozywczy
link: https://www.google.com/maps/search/Chata+Polska+sklep+spo%C5%BCywczy/@50.859792899999995,16.320473?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.polomarket.pl/,POLOmarket (Ye Zhu ),https://www.google.com/maps/contrib/107462042662174093631,https://lh5.googleusercontent.com/p/AF1QipNha3NxveIP-FgZW5pg03RC4sjjxDqwGDsb5yua=w426-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Jiu Lei Ling Shou Zhuan Mai , Hong Bei Yong Ju Dian , Rou Fan , Shou Shi Dian , Nai Zhi Pin Dian , Shu Guo Dian , You Ji Shi Pin Dian , You Ji Shang Dian , Jiu Pin Zhuan Mai Dian ",4.1,06:15-21:45,"Xing Qi Yi , Xing Qi Er ",+48 518 011 094,"POLOmarket, Strzegomska 13A, 58-163 Swiebodzice, Bo Lan ",,https://www.google.com/maps/place/POLOmarket/data=!4m7!3m6!1s0x470e54ba70c500d3:0x7b28ed33affb18e3!8m2!3d50.8615894!4d16.3225889!16s%2Fg%2F1jky9bkzr!19sChIJ0wDFcLpUDkcR4xj7rzPtKHs?authuser=0&hl=zh-TW&rclk=1
ChIJN--yhrpUDkcRpDlHjVewOQU,Media Expert,,False,357,"Name: Biedronka
link: https://www.google.com/maps/search/Biedronka/@50.8612195,16.322688199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 593 reviews

Name: Lauk H. Sklep z AGD i sprzetem RTV
link: https://www.google.com/maps/search/Lauk+H.+Sklep+z+AGD+i+sprz%C4%99tem+RTV/@50.859803,16.321061?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Energokabel Sp. z o.o.
link: https://www.google.com/maps/search/Energokabel+Sp.+z+o.o./@50.864645499999995,16.3245611?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Kwiatkowska Jadwiga. Sklep z art. elektrotechnicznymi
link: https://www.google.com/maps/search/Kwiatkowska+Jadwiga.+Sklep+z+art.+elektrotechnicznymi/@50.8601722,16.3205039?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Partner AGD RTV
link: https://www.google.com/maps/search/Partner+AGD+RTV/@50.8597471,16.3209805?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.mediaexpert.pl/,Media Expert (Ye Zhu ),https://www.google.com/maps/contrib/115427867719619054287,https://lh5.googleusercontent.com/p/AF1QipMEWEreobjwHlsQdLx0Oju-hJpql9VikjO-qyfb=w408-h306-k-no,Jia Ju Yong Pin Dian ,Jia Ju Yong Pin Dian ,4.1,09:00-19:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 74 637 92 01,"Media Expert, Strzegomska 13C, 58-160 Swiebodzice, Bo Lan ",,https://www.google.com/maps/place/Media+Expert/data=!4m7!3m6!1s0x470e54ba86b2ef37:0x539b0578d4739a4!8m2!3d50.8618498!4d16.3217692!16s%2Fg%2F11bw46x674!19sChIJN--yhrpUDkcRpDlHjVewOQU?authuser=0&hl=zh-TW&rclk=1
ChIJC6Yc87xUDkcRFQA1zXYIj5k,PSB Mrowka,,False,292,"Name: Bricomarche
link: https://www.google.com/maps/search/Bricomarch%C3%A9/@50.862649499999996,16.3070493?authuser=0&hl=zh-TW&entry=ttu
Reviews: 759 reviews

Name: Hurtownia Elektryczna Elektro-Spark w Swiebodzicach
link: https://www.google.com/maps/search/Hurtownia+Elektryczna+Elektro-Spark+w+%C5%9Awiebodzicach/@50.8538674,16.3184088?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: A.M.M. Sp. z o.o.
link: https://www.google.com/maps/search/A.M.M.+Sp.+z+o.o./@50.8621877,16.323089?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Czerwone Dachy
link: https://www.google.com/maps/search/Czerwone+Dachy/@50.8589662,16.3236971?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://mrowka.com.pl/sklep-psb-mrowka/psb-mrowka-swiebodzice.html,PSB Mrowka (Ye Zhu ),https://www.google.com/maps/contrib/103952751151874165829,https://lh5.googleusercontent.com/p/AF1QipNoOkchQL9JypwrCmBZPStNkNhw_ZnCxtBDMC4M=w426-h240-k-no,Jia Ju Zhuang Xiu Dian ,"Jia Ju Zhuang Xiu Dian , Jian Cai Shang Dian , Jian Zhu She Bei Gong Ying Shang , Di Ban Cai Liao Shang Dian , Yuan Yi Dian , Deng Shi Dian , Jin Shu Gong Ying Shang , Ci Zhuan Dian , Gong Ju Dian , Zhi Fu Dian ",4.2,07:00-20:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 728 437 192,"PSB Mrowka, Walbrzyska 21, 58-163 Swiebodzice, Bo Lan ",,https://www.google.com/maps/place/PSB+Mr%C3%B3wka/data=!4m7!3m6!1s0x470e54bcf31ca60b:0x998f0876cd350015!8m2!3d50.8554202!4d16.3203766!16s%2Fg%2F1jkxc2j33!19sChIJC6Yc87xUDkcRFQA1zXYIj5k?authuser=0&hl=zh-TW&rclk=1
ChIJAbGlCAVVDkcRGeYVOhGuunk,Dino,,False,266,"Name: Aldi
link: https://www.google.com/maps/search/Aldi/@50.8607861,16.3226779?authuser=0&hl=zh-TW&entry=ttu
Reviews: 711 reviews

Name: Kombo sp.o.o. Intermarche
link: https://www.google.com/maps/search/Kombo+sp.o.o.+Intermarche/@50.8625732,16.3089192?authuser=0&hl=zh-TW&entry=ttu
Reviews: 582 reviews

Name: Delikatesy Centrum
link: https://www.google.com/maps/search/Delikatesy+Centrum/@50.857200399999996,16.3333445?authuser=0&hl=zh-TW&entry=ttu
Reviews: 176 reviews

Name: Mieso Wedliny
link: https://www.google.com/maps/search/Mi%C4%99so+W%C4%99dliny/@50.8601554,16.3200899?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Odido
link: https://www.google.com/maps/search/Odido/@50.8590588,16.3214628?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://marketdino.pl/,Dino (Ye Zhu ),https://www.google.com/maps/contrib/108584996068487354183,https://lh5.googleusercontent.com/p/AF1QipMzpvW-uVRsn6QPoyL9K6nREtdSiLIAGso81_4E=w408-h725-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Za Huo Dian ",4.2,06:00-22:30,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",,"Dino, Mieszka I 4, 58-160 Swiebodzice, Bo Lan ",,https://www.google.com/maps/place/Dino/data=!4m7!3m6!1s0x470e550508a5b101:0x79baae113a15e619!8m2!3d50.8638026!4d16.3184154!16s%2Fg%2F11g_dr9_k9!19sChIJAbGlCAVVDkcRGeYVOhGuunk?authuser=0&hl=zh-TW&rclk=1
