place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJy8QzNmNnBkcRpxa8qRyImoM,Lidl,,False,1843,"Name: Biedronka
link: https://www.google.com/maps/search/Biedronka/@52.253267199999996,15.531191499999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1534 reviews

Name: Intermarche
link: https://www.google.com/maps/search/Intermarche/@52.239448499999995,15.535628299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 819 reviews

Name: Market Dino
link: https://www.google.com/maps/search/Market+Dino/@52.254201699999996,15.5205902?authuser=0&hl=zh-TW&entry=ttu
Reviews: 571 reviews

Name: Dealz
link: https://www.google.com/maps/search/Dealz/@52.234629999999996,15.53314?authuser=0&hl=zh-TW&entry=ttu
Reviews: 142 reviews

Name: Odido. Sklep Spozywczo-Monopolowe
link: https://www.google.com/maps/search/Odido.+Sklep+Spo%C5%BCywczo-Monopolowe/@52.25194930000001,15.531070499999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 37 reviews",https://www.lidl.pl/,Lidl (Ye Zhu ),https://www.google.com/maps/contrib/108713729292928469210,https://lh5.googleusercontent.com/p/AF1QipOgF9BYDFccShWZuM33bbDyvRaKL-g5R7EUHb97=w408-h306-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Chao Ji Shi Chang ",4.2,06:00-22:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 61 880 30 00,"Lidl, gen. Wladyslawa Sikorskiego 21, 66-200 Swiebodzin, Bo Lan ",Shou Yin ,https://www.google.com/maps/place/Lidl/data=!4m7!3m6!1s0x470667633633c4cb:0x839a881ca9bc16a7!8m2!3d52.2458701!4d15.5271754!16s%2Fg%2F1tfb9vyf!19sChIJy8QzNmNnBkcRpxa8qRyImoM?authuser=0&hl=zh-TW&rclk=1
ChIJVYyWJ2FnBkcRDMpRoEIZCXk,Biedronka,,False,1534,"Name: Lidl
link: https://www.google.com/maps/search/Lidl/@52.2458701,15.527175399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1843 reviews

Name: Netto
link: https://www.google.com/maps/search/Netto/@52.255185,15.5317149?authuser=0&hl=zh-TW&entry=ttu
Reviews: 516 reviews

Name: Odido. Sklep Spozywczo-Monopolowe
link: https://www.google.com/maps/search/Odido.+Sklep+Spo%C5%BCywczo-Monopolowe/@52.25194930000001,15.531070499999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 37 reviews

Name: Sklep chinski
link: https://www.google.com/maps/search/Sklep+chinski/@52.2535618,15.531382299999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Delikatesy Miesne
link: https://www.google.com/maps/search/Delikatesy+Mi%C4%99sne/@52.25346390000001,15.530927599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/113417172802057713804,https://lh5.googleusercontent.com/p/AF1QipNIyXa-F03g2IYvLU5Ht57vmaGqxozSKh_iK5Qn=w408-h306-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",4.1,06:00-23:30,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 800 080 010,"Biedronka, Sukiennicza 20, 66-200 Swiebodzin, Bo Lan ",Xuan Ze ,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x4706676127968c55:0x79091942a051ca0c!8m2!3d52.2532672!4d15.5311915!16s%2Fg%2F1jkxvy7x_!19sChIJVYyWJ2FnBkcRDMpRoEIZCXk?authuser=0&hl=zh-TW&rclk=1
ChIJPx1hNIhdBkcRchBl_MrGBu8,Biedronka,,False,1396,"Name: Lidl
link: https://www.google.com/maps/search/Lidl/@52.2458701,15.527175399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1843 reviews

Name: Intermarche
link: https://www.google.com/maps/search/Intermarche/@52.239448499999995,15.535628299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 819 reviews

Name: Market Groszek
link: https://www.google.com/maps/search/Market+Groszek/@52.247005699999995,15.5236164?authuser=0&hl=zh-TW&entry=ttu
Reviews: 158 reviews

Name: Dino
link: https://www.google.com/maps/search/Dino/@52.246510099999995,15.5226049?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews

Name: Odido Wozniak Stanislaw
link: https://www.google.com/maps/search/Odido+Wo%C5%BAniak+Stanis%C5%82aw/@52.243508899999995,15.523272400000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/109434602114131822304,https://lh5.googleusercontent.com/p/AF1QipOX55NfQ1BlNOxQErovCr_tElnk3sLDaqnDpoSj=w408-h273-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",4.1,06:00-23:30,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 800 080 010,"Biedronka, Konarskiego 35A, 66-200 Swiebodzin, Bo Lan ",,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x47065d8834611d3f:0xef06c6cafc651072!8m2!3d52.24902!4d15.520302!16s%2Fg%2F1jkyd7yln!19sChIJPx1hNIhdBkcRchBl_MrGBu8?authuser=0&hl=zh-TW&rclk=1
ChIJswsGI2VnBkcRQvBN2NHmB7U,Biedronka,,False,1215,"Name: Lidl
link: https://www.google.com/maps/search/Lidl/@52.2458701,15.527175399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1843 reviews

Name: Intermarche
link: https://www.google.com/maps/search/Intermarche/@52.239448499999995,15.535628299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 819 reviews

Name: Ukrainoczka - Swiebodzin
link: https://www.google.com/maps/search/Ukrainoczka+-+%C5%9Awiebodzin/@52.245441,15.533515?authuser=0&hl=zh-TW&entry=ttu
Reviews: 93 reviews

Name: Zabka
link: https://www.google.com/maps/search/%C5%BBabka/@52.2401288,15.537557999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/105231457510979031599,https://lh5.googleusercontent.com/p/AF1QipNN_FIi2IAitrLNTufp6EX8XdBokz6QDbfeNY92=w408-h306-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",3.9,06:00-23:30,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 800 080 010,"Biedronka, Luzycka 33a, 66-200 Swiebodzin, Bo Lan ",Wang Lu ,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x4706676523060bb3:0xb507e6d1d84df042!8m2!3d52.2410283!4d15.5327598!16s%2Fg%2F1vxz89s3!19sChIJswsGI2VnBkcRQvBN2NHmB7U?authuser=0&hl=zh-TW&rclk=1
ChIJxVOMJXBnBkcR-QJ2HmV43ug,Iwona Balcewicz Bakery,,False,911,"Name: Cukiernictwo Wieslawa Garbowska
link: https://www.google.com/maps/search/Cukiernictwo+Wies%C5%82awa+Garbowska/@52.2437348,15.5379834?authuser=0&hl=zh-TW&entry=ttu
Reviews: 76 reviews

Name: Nitor Piekarnia & Cukiernia Zaklad
link: https://www.google.com/maps/search/Nitor+Piekarnia+%26+Cukiernia+Zak%C5%82ad/@52.2404091,15.518997800000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: Piekarnia Ormiansko - Gruzinska
link: https://www.google.com/maps/search/Piekarnia+Ormia%C5%84sko+-+Gruzi%C5%84ska/@52.234629999999996,15.53314?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Piekarnia Gwozdz, Cukiernia 7 Niebo
link: https://www.google.com/maps/search/Piekarnia+Gw%C3%B3%C5%BAd%C5%BA%2C+Cukiernia+7+Niebo/@52.2398344,15.5324169?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Roza, Balcewicz
link: https://www.google.com/maps/search/R%C3%B3%C5%BCa%2C+Balcewicz/@52.2479795,15.535205099999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",http://piekarnia-balcewicz.pl/,Iwona Balcewicz Bakery (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMO7Br00P09CJWz0IgOg4xuz-lsMHnHxIivg_TV=w408-h306-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Tian Pin Dian ",4.4,05:30-21:30,Open All Days,+48 68 382 35 86,"Iwona Balcewicz Bakery, Sulechowska 9, 66-200 Swiebodzin, Bo Lan ",,https://www.google.com/maps/place/Iwona+Balcewicz+Bakery/data=!4m7!3m6!1s0x47066770258c53c5:0xe8de78651e7602f9!8m2!3d52.2438351!4d15.537986!16s%2Fg%2F1tk6tmf3!19sChIJxVOMJXBnBkcR-QJ2HmV43ug?authuser=0&hl=zh-TW&rclk=1
ChIJpakUXD9nBkcR8TJDOmhFKdo,Action Swiebodzin,,False,845,"Name: Intermarche
link: https://www.google.com/maps/search/Intermarche/@52.239448499999995,15.535628299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 819 reviews

Name: Dealz
link: https://www.google.com/maps/search/Dealz/@52.234629999999996,15.53314?authuser=0&hl=zh-TW&entry=ttu
Reviews: 142 reviews

Name: Empik
link: https://www.google.com/maps/search/Empik/@52.2346125,15.532016899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 70 reviews

Name: Pepco
link: https://www.google.com/maps/search/Pepco/@52.234634,15.532984799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 53 reviews

Name: Sklep ""AS"". Alkohole.
link: https://www.google.com/maps/search/Sklep+%22AS%22.+Alkohole./@52.2502639,15.532728500000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",https://www.action.com/pl-pl/sklepy/wiebodzin-sowiaska/%3Futm_campaign%3Dlocalbusiness%26utm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_content%3DA042,Action Swiebodzin (Ye Zhu ),https://www.google.com/maps/contrib/117120437103883608642,https://lh5.googleusercontent.com/p/AF1QipNJjONPMqlETa3JyejS8sFrwJy3fED9YBqnVSex=w408-h306-k-no,Za Huo Dian ,"Za Huo Dian , Jia Ting Zhuang Xiu  DIY Bai Huo Mai Chang , Jia Dian , Li Pin Dian , Wan Ju Mo Xing Dian , Jia Ju Yong Pin Dian , Pai Dui Zhuang Shi Yong Pin Dian , Chong Wu Dian , Jiao Xue Yong Pin Dian , Pi Fa Dian ",4.6,09:00-21:00,Xing Qi Ri ,,"Action Swiebodzin, Slowianska 1, 66-200 Swiebodzin, Bo Lan ","Jia Ge , Wu ",https://www.google.com/maps/place/Action+%C5%9Awiebodzin/data=!4m7!3m6!1s0x4706673f5c14a9a5:0xda2945683a4332f1!8m2!3d52.235028!4d15.5371422!16s%2Fg%2F11h21nb5_m!19sChIJpakUXD9nBkcR8TJDOmhFKdo?authuser=0&hl=zh-TW&rclk=1
ChIJs53YsXBnBkcRDNyRVSHwtbo,Intermarche,,False,819,"Name: Dino
link: https://www.google.com/maps/search/Dino/@52.2463535,15.5338896?authuser=0&hl=zh-TW&entry=ttu
Reviews: 289 reviews

Name: Delikatesy Miesne
link: https://www.google.com/maps/search/Delikatesy+Mi%C4%99sne/@52.239719,15.5323663?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: InPost Intermarche
link: https://www.google.com/maps/search/InPost+Intermarche/@52.2396837,15.535838700000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Bankomat (Intermarche)
link: https://www.google.com/maps/search/Bankomat+%28Intermarche%29/@52.239656599999996,15.535897299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://intermarche.pl/,Intermarche (Ye Zhu ),https://www.google.com/maps/contrib/115059907482611255421,https://lh5.googleusercontent.com/p/AF1QipMgOgIhsyq0d_XXTNKYeSQ79TPa9xAQiH022n9l=w480-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4,07:00-20:00,Open All Days,,"Intermarche, Osiedle Luzyckie 51, 66-200 Swiebodzin, Bo Lan ",,https://www.google.com/maps/place/Intermarche/data=!4m7!3m6!1s0x47066770b1d89db3:0xbab5f0215591dc0c!8m2!3d52.2394485!4d15.5356283!16s%2Fg%2F1th7x1by!19sChIJs53YsXBnBkcRDNyRVSHwtbo?authuser=0&hl=zh-TW&rclk=1
ChIJiUiFmmVnBkcRAk9D29gotkw,Netto,,False,804,"Name: Action Swiebodzin
link: https://www.google.com/maps/search/Action+%C5%9Awiebodzin/@52.235028,15.5371422?authuser=0&hl=zh-TW&entry=ttu
Reviews: 844 reviews

Name: Intermarche
link: https://www.google.com/maps/search/Intermarche/@52.239448499999995,15.535628299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 819 reviews

Name: Dealz
link: https://www.google.com/maps/search/Dealz/@52.234629999999996,15.53314?authuser=0&hl=zh-TW&entry=ttu
Reviews: 142 reviews

Name: Parking
link: https://www.google.com/maps/search/Parking/@52.2471224,15.529075599999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Market - Rondo A2/A3
link: https://www.google.com/maps/search/Market+-+Rondo+A2%2FA3/@52.261323499999996,15.5337523?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews",https://www.netto.pl/sklepy/swiebodzin/marszalka-jozefa-pilsudskiego-35a/1e81e67dd86f44e7aaa7f4f0598d6360,Netto (Ye Zhu ),https://www.google.com/maps/contrib/106355705157828068354,https://lh5.googleusercontent.com/p/AF1QipOhfrt6kP605-zGW0VgefMd67P2uwvoJq9LPVLH=w408-h306-k-no,Zhe Kou Shang Dian ,"Zhe Kou Shang Dian , Ping Jia Chao Ji Shi Chang , Za Huo Dian , Chao Ji Shi Chang ",4,06:00-22:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 531 994 994,"Netto, Marszalka Jozefa Pilsudskiego 35a, 66-200 Swiebodzin, Bo Lan ",Chao Shi ,https://www.google.com/maps/place/Netto/data=!4m7!3m6!1s0x470667659a854889:0x4cb628d8db434f02!8m2!3d52.2483406!4d15.5360478!16s%2Fg%2F1v75qly2!19sChIJiUiFmmVnBkcRAk9D29gotkw?authuser=0&hl=zh-TW&rclk=1
ChIJiUB9ypNnBkcRjwpzbuP9HHs,Masami Sushi,,False,634,"Name: Mimoza
link: https://www.google.com/maps/search/Mimoza/@52.2501539,15.532349900000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1661 reviews

Name: MAK RESTAURACJA SWIEBODZIN
link: https://www.google.com/maps/search/MAK+RESTAURACJA+%C5%9AWIEBODZIN/@52.238482999999995,15.538315899999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 903 reviews

Name: THO MAN
link: https://www.google.com/maps/search/THO+MAN/@52.2613449,15.533794400000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 623 reviews

Name: Pizzeria Restauracja Mafia
link: https://www.google.com/maps/search/Pizzeria+Restauracja+Mafia/@52.234819699999996,15.533973300000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 482 reviews

Name: Miyagi Sushi & Thai
link: https://www.google.com/maps/search/Miyagi+Sushi+%26+Thai/@52.250332,15.532933000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 110 reviews",http://masamisushi.pl/,Masami Sushi (Ye Zhu ),https://www.google.com/maps/contrib/106268463047107133538,https://lh5.googleusercontent.com/p/AF1QipPV2zwDDo9qsGpB_hjpwwkP44ljpHRystsBw_it=w426-h240-k-no,Shou Si Wai Dai ,"Shou Si Wai Dai , Ri Ben Can Ting , Shou Si Dian ",4.2,11:00-21:00,Open All Days,+48 720 888 838,"Masami Sushi, Galeria Hosso, Slowianska 1, 66-200 Swiebodzin, Bo Lan ","Mi , Yu ",https://www.google.com/maps/place/Masami+Sushi/data=!4m7!3m6!1s0x47066793ca7d4089:0x7b1cfde36e730a8f!8m2!3d52.2347626!4d15.5339623!16s%2Fg%2F11fhwxqf7p!19sChIJiUB9ypNnBkcRjwpzbuP9HHs?authuser=0&hl=zh-TW&rclk=1
ChIJD6FnrotdBkcRy4_eVRaCSpo,Market Dino,,False,571,"Name: Lidl
link: https://www.google.com/maps/search/Lidl/@52.2458701,15.527175399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1843 reviews

Name: Biedronka
link: https://www.google.com/maps/search/Biedronka/@52.249019999999994,15.520302?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1396 reviews

Name: Intermarche
link: https://www.google.com/maps/search/Intermarche/@52.239448499999995,15.535628299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 819 reviews

Name: Netto
link: https://www.google.com/maps/search/Netto/@52.255185,15.5317149?authuser=0&hl=zh-TW&entry=ttu
Reviews: 516 reviews

Name: Dealz
link: https://www.google.com/maps/search/Dealz/@52.234629999999996,15.53314?authuser=0&hl=zh-TW&entry=ttu
Reviews: 142 reviews",https://marketdino.pl/,Market Dino (Ye Zhu ),https://www.google.com/maps/contrib/113579009001160944412,https://lh5.googleusercontent.com/p/AF1QipMPC6mfLXicWEH_W_3ORkGdS8daQXAqZdpJljvs=w408-h306-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Rou Fan , Za Huo Dian ",4.2,06:00-22:30,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",,"Market Dino, Podgorna 1, 66-200 Swiebodzin, Bo Lan ","Jia Ge , Rou ",https://www.google.com/maps/place/Market+Dino/data=!4m7!3m6!1s0x47065d8bae67a10f:0x9a4a821655de8fcb!8m2!3d52.2542017!4d15.5205902!16s%2Fg%2F11cmyhpln3!19sChIJD6FnrotdBkcRy4_eVRaCSpo?authuser=0&hl=zh-TW&rclk=1
