place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJK0rVaEaIREcRc8zmChRxCjE,Fasor Vendeglo es Semiramis Kavezo,,False,2193,"Name: Regi Hid Vendeglo
link: https://www.google.com/maps/search/R%C3%A9gi+H%C3%ADd+Vend%C3%A9gl%C5%91/@46.2509346,20.1502895?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4097 reviews

Name: CIRMI Gasztrokocsma
link: https://www.google.com/maps/search/CIRMI+Gasztrokocsma/@46.248366,20.1455466?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2456 reviews

Name: Alabardos Etterem
link: https://www.google.com/maps/search/Alab%C3%A1rdos+%C3%89tterem/@46.2505391,20.149572799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 352 reviews

Name: Csiszar Mesterszakacs Kft.
link: https://www.google.com/maps/search/Csisz%C3%A1r+Mesterszak%C3%A1cs+Kft./@46.24807810000001,20.1663636?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://fasorvendeglo.hu/,Fasor Vendeglo es Semiramis Kavezo (Ye Zhu ),https://www.google.com/maps/contrib/114727191358165780603,https://lh5.googleusercontent.com/p/AF1QipNhI2EjpTdH6eOvIoH6cctIM6c0Quva6ES_r2IH=w571-h240-k-no,Can Ting ,"Can Ting , Ka Pei Ting , Xiong Ya Li Can Ting , Wai Song Su Di Can Ting , Fa Shi Can Ting ",4.7,11:00-21:00,"Xing Qi Yi , Xing Qi Er ",+36 20 438 0010,"Szeged, Fasor Vendeglo es Semiramis Kavezo, Berkert u. 52, 6726 Xiong Ya Li ","Jia Ge , Du ",https://www.google.com/maps/place/Fasor+Vend%C3%A9gl%C5%91+%C3%A9s+Semiramis+K%C3%A1v%C3%A9z%C3%B3/data=!4m7!3m6!1s0x4744884668d54a2b:0x310a71140ae6cc73!8m2!3d46.2482919!4d20.1741207!16s%2Fg%2F12qfjdzpp!19sChIJK0rVaEaIREcRc8zmChRxCjE?authuser=0&hl=zh-TW&rclk=1
ChIJPRdHwXWIREcR_wUwMJBm_LI,CAFE FREI ARKAD SZEGED,,False,1645,"Name: Dock Cafe
link: https://www.google.com/maps/search/Dock+Cafe/@46.251942899999996,20.1472403?authuser=0&hl=zh-TW&entry=ttu
Reviews: 959 reviews

Name: Corso Cafe
link: https://www.google.com/maps/search/Corso+Caf%C3%A9/@46.250842899999995,20.146574299999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 934 reviews

Name: Saint Cafe
link: https://www.google.com/maps/search/Saint+Cafe/@46.2583543,20.1493344?authuser=0&hl=zh-TW&entry=ttu
Reviews: 343 reviews

Name: Cafe Radnoti
link: https://www.google.com/maps/search/Cafe+Radn%C3%B3ti/@46.24751510000001,20.1408427?authuser=0&hl=zh-TW&entry=ttu
Reviews: 127 reviews",http://www.cafefrei.com/,CAFE FREI ARKAD SZEGED (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMsLrokDht4QR4QAF9Vs6Ay9T_zwI7N2phu9-jA=w493-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,09:00-20:00,Open All Days,,"Szeged, CAFE FREI ARKAD SZEGED, Londoni krt. 3, 6724 Xiong Ya Li ","Shu Dian , Dan Gao , Jia Ge , Yue Du ",https://www.google.com/maps/place/CAFE+FREI+%C3%81RK%C3%81D+SZEGED/data=!4m7!3m6!1s0x47448875c147173d:0xb2fc6690303005ff!8m2!3d46.2546037!4d20.1389136!16s%2Fg%2F11fxykymhl!19sChIJPRdHwXWIREcR_wUwMJBm_LI?authuser=0&hl=zh-TW&rclk=1
ChIJkaXHAHCJREcREVwAynh0C7k,Reok Handmade Confectionery and Coffee House,,False,1644,"Name: Kalvaria Cukraszda
link: https://www.google.com/maps/search/K%C3%A1lv%C3%A1ria+Cukr%C3%A1szda/@46.2524324,20.134234?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1208 reviews

Name: Sugar & Candy Desszert Cukraszda
link: https://www.google.com/maps/search/Sugar+%26+Candy+Desszert+Cukr%C3%A1szda/@46.249803799999995,20.1490029?authuser=0&hl=zh-TW&entry=ttu
Reviews: 947 reviews

Name: Dom Cukraszda
link: https://www.google.com/maps/search/D%C3%B3m+Cukr%C3%A1szda/@46.250008,20.149517700000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 921 reviews

Name: Cake Factory
link: https://www.google.com/maps/search/Cake+Factory/@46.2441161,20.166674099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 627 reviews

Name: Porcukor Kezmuves Cukraszmuhely
link: https://www.google.com/maps/search/Porcukor+K%C3%A9zm%C5%B1ves+Cukr%C3%A1szm%C5%B1hely/@46.2529951,20.144217899999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews",https://reokcukraszda.hu/,Reok Handmade Confectionery and Coffee House (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM1Cq4aC4bp1_x2FPGRAhNdMTlTAgnFQE29TA8l=w408-h723-k-no,Tang Guo Gao Bing Dian ,Tang Guo Gao Bing Dian ,4.6,08:00-20:00,Open All Days,+36 30 668 8059,"Szeged, Reok Handmade Confectionery and Coffee House, Magyar Ede ter 2, 6720 Xiong Ya Li ","Bing Qi Lin , Ka Pei , atmosphere, Lou , She Ji , Ke Song ",https://www.google.com/maps/place/Re%C3%B6k+Handmade+Confectionery+and+Coffee+House/data=!4m7!3m6!1s0x4744897000c7a591:0xb90b7478ca005c11!8m2!3d46.2516128!4d20.1453403!16s%2Fg%2F11gjkrc9s5!19sChIJkaXHAHCJREcREVwAynh0C7k?authuser=0&hl=zh-TW&rclk=1
ChIJuU2NThiJREcRDbOcHweeGVo,Rudi es Ficko,,False,1493,"Name: Regi Hid Vendeglo
link: https://www.google.com/maps/search/R%C3%A9gi+H%C3%ADd+Vend%C3%A9gl%C5%91/@46.2509346,20.1502895?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4097 reviews

Name: Gory Pince Etterem
link: https://www.google.com/maps/search/G%C5%91ry+Pince+%C3%89tterem/@46.2610025,20.1633344?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2295 reviews

Name: Classic Grill Serbian Restaurant Underground
link: https://www.google.com/maps/search/Classic+Grill+Serbian+Restaurant+Underground/@46.2545505,20.1508087?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2120 reviews

Name: Bistorant
link: https://www.google.com/maps/search/Bistorant/@46.251476,20.1485836?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1324 reviews

Name: GURU - Pizza, Pasta, Coffee, Brunch
link: https://www.google.com/maps/search/GURU+-+Pizza%2C+Pasta%2C+Coffee%2C+Brunch/@46.250669599999995,20.149929099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1199 reviews",https://facebook.com/rudiesficko,Rudi es Ficko (Ye Zhu ),https://www.google.com/maps/contrib/103295737281394472292,https://lh5.googleusercontent.com/p/AF1QipN1Jyrm6ntfFZQyUXUNDj_OIa5-h0o3bQXvSy9I=w408-h306-k-no,Can Ting ,"Can Ting , Mian Bao Xi Bing Dian , Ka Pei Ting , Tang Guo Gao Bing Dian , Bo Bing Can Ting , Pu Tao Jiu Ba ",4.8,08:00-22:00,Open All Days,+36 62 800 150,"Szeged, Rudi es Ficko, Oroszlan u. 4, 6720 Xiong Ya Li ","Zao Can , Pi Sa , Yin Liao , atmosphere, Ning Meng Shui , Zao Wu Can , Mian Bao Dian , Bing Qi Lin , She Ji , Ke Song ",https://www.google.com/maps/place/Rudi+%C3%A9s+Fick%C3%B3/data=!4m7!3m6!1s0x474489184e8d4db9:0x5a199e071f9cb30d!8m2!3d46.2510206!4d20.1492653!16s%2Fg%2F11f6ywyg2m!19sChIJuU2NThiJREcRDbOcHweeGVo?authuser=0&hl=zh-TW&rclk=1
ChIJL3pwGm6IREcRMgs6jmWZG2I,"GURU - Pizza, Pasta, Coffee, Brunch",,False,1199,"Name: Pizzatorony
link: https://www.google.com/maps/search/Pizzatorony/@46.2676437,20.1622921?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2511 reviews

Name: Pizzafutar
link: https://www.google.com/maps/search/Pizzafut%C3%A1r/@46.2726052,20.1604214?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2159 reviews

Name: Pizza E Pasta
link: https://www.google.com/maps/search/Pizza+E+Pasta/@46.2520066,20.1477674?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1381 reviews

Name: Lucky Pizzeria
link: https://www.google.com/maps/search/Lucky+Pizz%C3%A9ria/@46.2524194,20.1343587?authuser=0&hl=zh-TW&entry=ttu
Reviews: 541 reviews

Name: Gorog Pizzeria
link: https://www.google.com/maps/search/G%C3%B6r%C3%B6g+Pizz%C3%A9ria/@46.2514118,20.171950499999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 411 reviews",http://www.pizzaguru.hu/,"GURU - Pizza, Pasta, Coffee, Brunch (Ye Zhu )",https://www.google.com/maps/contrib/111119590698383993944,https://lh5.googleusercontent.com/p/AF1QipOGWcAkJ5BIN8Kil7F3MRIPpmDi5uQ5Sdbw0dfO=w408-h306-k-no,Bo Bing Can Ting ,"Bo Bing Can Ting , Zao Can Can Ting , Zao Wu Can Can Ting , Zheng Liu Ka Pei Ba , Can Ting ",4.4,08:00-22:00,Open All Days,+36 20 365 1122,"Szeged, GURU - Pizza, Pasta, Coffee, Brunch, Oskola u. 8, 6720 Xiong Ya Li ","Jia Ge , vegan, Tang ","https://www.google.com/maps/place/GURU+-+Pizza,+Pasta,+Coffee,+Brunch/data=!4m7!3m6!1s0x4744886e1a707a2f:0x621b99658e3a0b32!8m2!3d46.2506696!4d20.1499291!16s%2Fg%2F1tcxt0cd!19sChIJL3pwGm6IREcRMgs6jmWZG2I?authuser=0&hl=zh-TW&rclk=1"
ChIJO40v9HWIREcR3mvWm9fc2RI,Starbucks Szeged Arkad,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,1062,"Name: CAFE FREI ARKAD SZEGED
link: https://www.google.com/maps/search/CAFE+FREI+%C3%81RK%C3%81D+SZEGED/@46.2546037,20.1389136?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1643 reviews

Name: Dock Cafe
link: https://www.google.com/maps/search/Dock+Cafe/@46.251942899999996,20.1472403?authuser=0&hl=zh-TW&entry=ttu
Reviews: 959 reviews

Name: Corso Cafe
link: https://www.google.com/maps/search/Corso+Caf%C3%A9/@46.250842899999995,20.146574299999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 934 reviews

Name: Starbucks Szeged Karasz
link: https://www.google.com/maps/search/Starbucks+Szeged+K%C3%A1r%C3%A1sz/@46.2516636,20.1470002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 305 reviews

Name: Burger King Szeged Arkad
link: https://www.google.com/maps/search/Burger+King+Szeged+%C3%81rk%C3%A1d/@46.2546037,20.1389136?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews",http://www.starbucks.hu/,Starbucks Szeged Arkad (Ye Zhu ),https://www.google.com/maps/contrib/104760020974786028383,https://lh5.googleusercontent.com/p/AF1QipNquZsK0WZiMTkFPNvFM3UJF24uzo26G4Mkgfr4=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,08:00-20:00,"Xing Qi Yi , Xing Qi Er ",+36 70 682 1986,"Szeged, Starbucks Szeged Arkad, Londoni krt. 3, 6724 Xiong Ya Li ","Gou Wu Zhong Xin , Jia Ge ",https://www.google.com/maps/place/Starbucks+Szeged+%C3%81rk%C3%A1d/data=!4m7!3m6!1s0x47448875f42f8d3b:0x12d9dcd79bd66bde!8m2!3d46.2546037!4d20.1389136!16s%2Fg%2F11hb33lgsk!19sChIJO40v9HWIREcR3mvWm9fc2RI?authuser=0&hl=zh-TW&rclk=1
ChIJUbUHJ3KIREcR6NxSlo-oLuY,A Cappella Cukraszda/Aranytopaz Kft.,,False,1001,"Name: Virag Cukraszda es Kavehaz
link: https://www.google.com/maps/search/Vir%C3%A1g+Cukr%C3%A1szda+%C3%A9s+K%C3%A1v%C3%A9h%C3%A1z/@46.2521839,20.1484142?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1257 reviews

Name: Kalvaria Cukraszda
link: https://www.google.com/maps/search/K%C3%A1lv%C3%A1ria+Cukr%C3%A1szda/@46.2524324,20.134234?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1208 reviews

Name: Palank Cukraszda
link: https://www.google.com/maps/search/Pal%C3%A1nk+Cukr%C3%A1szda/@46.251301,20.150169?authuser=0&hl=zh-TW&entry=ttu
Reviews: 291 reviews

Name: Stop Cukraszda
link: https://www.google.com/maps/search/Stop+Cukr%C3%A1szda/@46.2530522,20.144021199999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 106 reviews

Name: cukraszdaac eu
link: https://www.google.com/maps/search/cukraszdaac+eu/@46.252131000000006,20.1475629?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://cukraszdaac.eu/wp/,A Cappella Cukraszda/Aranytopaz Kft. (Ye Zhu ),https://www.google.com/maps/contrib/114094874369443228028,https://lh5.googleusercontent.com/p/AF1QipOBfxTzlUYV27T2WDCs16VCrhmTUfzsYNPIrxPh=w408-h306-k-no,Xi Bing Dian ,"Xi Bing Dian , Ka Pei Dian , Xue Gao Dian , Gao Bing Dian ",3.3,07:00-21:00,Open All Days,+36 62 559 966,"Szeged, A Cappella Cukraszda/Aranytopaz Kft., Karasz u. 6, 6720 Xiong Ya Li ","Bing Qi Lin , Bing Gan , Xia Tian , Ka Pei Ting , Qia Bu Qi Nuo ",https://www.google.com/maps/place/A+Cappella+Cukr%C3%A1szda%2FAranytop%C3%A1z+Kft./data=!4m7!3m6!1s0x474488722707b551:0xe62ea88f9652dce8!8m2!3d46.2520481!4d20.1476077!16s%2Fg%2F1thxjvq5!19sChIJUbUHJ3KIREcR6NxSlo-oLuY?authuser=0&hl=zh-TW&rclk=1
ChIJT3pTx1SJREcRzkBS4lh_ASM,Corso Cafe,,False,934,"Name: Dock Cafe
link: https://www.google.com/maps/search/Dock+Cafe/@46.251942899999996,20.1472403?authuser=0&hl=zh-TW&entry=ttu
Reviews: 959 reviews

Name: Grand Cafe
link: https://www.google.com/maps/search/Grand+Caf%C3%A9/@46.2530459,20.1510945?authuser=0&hl=zh-TW&entry=ttu
Reviews: 347 reviews

Name: Mienke
link: https://www.google.com/maps/search/Mienk%C3%A9/@46.2504158,20.1476096?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews",http://corsocafe.hu/,Corso Cafe (Ye Zhu ),https://www.google.com/maps/contrib/113265792332266118792,https://lh5.googleusercontent.com/p/AF1QipM69p0PqlPzi8eVIZKVI7B-beKvNjlTkzqwxeoI=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,10:00-00:00,Open All Days,+36 70 315 8987,"Szeged, Corso Cafe, Karasz u. 16, 6720 Xiong Ya Li ","Jia Ge , Pi Jiu , Ning Meng Shui , atmosphere",https://www.google.com/maps/place/Corso+Caf%C3%A9/data=!4m7!3m6!1s0x47448954c7537a4f:0x23017f58e25240ce!8m2!3d46.2508429!4d20.1465743!16s%2Fg%2F11g1_cvb5q!19sChIJT3pTx1SJREcRzkBS4lh_ASM?authuser=0&hl=zh-TW&rclk=1
ChIJyZtRLHCIREcRkD4itBKI4_Y,"Oriaspalacsintazo - palacsinta szeged, orias palacsinta",,False,818,"Name: Gyro
link: https://www.google.com/maps/search/Gyro/@46.24907530000001,20.145191399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 614 reviews

Name: Alabardos Etterem
link: https://www.google.com/maps/search/Alab%C3%A1rdos+%C3%89tterem/@46.2505391,20.149572799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 352 reviews

Name: Prezli
link: https://www.google.com/maps/search/Pr%C3%A9zli/@46.254604,20.1507135?authuser=0&hl=zh-TW&entry=ttu
Reviews: 165 reviews

Name: Langos, palacsinta
link: https://www.google.com/maps/search/L%C3%A1ngos%2C+palacsinta/@46.292246299999995,20.1753631?authuser=0&hl=zh-TW&entry=ttu
Reviews: 139 reviews

Name: Elmeny Palacsintazo es Nasizo
link: https://www.google.com/maps/search/%C3%89lm%C3%A9ny+Palacsint%C3%A1z%C3%B3+%C3%A9s+Nasiz%C3%B3/@46.271716999999995,20.1472198?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews",https://m.facebook.com/oriaspalacsintazo/,"Oriaspalacsintazo - palacsinta szeged, orias palacsinta (Ye Zhu )",https://www.google.com/maps/contrib/114497920664246797909,https://lh5.googleusercontent.com/p/AF1QipPCl8l1Ly4oqGDAPovfbK2KagDVsZKMIkQ5dNqq=w408-h306-k-no,Fa Shi Bo Bing Can Ting ,Fa Shi Bo Bing Can Ting ,4.7,11:00-18:00,Xing Qi Ri ,+36 30 289 3169,"Szeged, Oriaspalacsintazo - palacsinta szeged, orias palacsinta, Eotvos u. 5-7, 6720 Xiong Ya Li ","Song Bing , Jia Ge ","https://www.google.com/maps/place/%C3%93ri%C3%A1spalacsint%C3%A1z%C3%B3+-+palacsinta+szeged,+%C3%B3ri%C3%A1s+palacsinta/data=!4m7!3m6!1s0x474488702c519bc9:0xf6e38812b4223e90!8m2!3d46.2494689!4d20.1469493!16s%2Fg%2F11bwnd0z6g!19sChIJyZtRLHCIREcRkD4itBKI4_Y?authuser=0&hl=zh-TW&rclk=1"
ChIJ6xmIIHOIREcRkH0hSCOfQnc,Pixel Bar es Kavezo,,False,771,"Name: BarCraft Szeged
link: https://www.google.com/maps/search/BarCraft+Szeged/@46.2524641,20.1434633?authuser=0&hl=zh-TW&entry=ttu
Reviews: 804 reviews

Name: Kedves Presszo
link: https://www.google.com/maps/search/Kedves+Pressz%C3%B3/@46.264235,20.1579582?authuser=0&hl=zh-TW&entry=ttu
Reviews: 487 reviews

Name: Center Cafe & Bar
link: https://www.google.com/maps/search/Center+Cafe+%26+Bar/@46.2529614,20.1450312?authuser=0&hl=zh-TW&entry=ttu
Reviews: 310 reviews

Name: Golyavar Presszo
link: https://www.google.com/maps/search/G%C3%B3lyav%C3%A1r+Pressz%C3%B3/@46.2593029,20.1605599?authuser=0&hl=zh-TW&entry=ttu
Reviews: 118 reviews

Name: ZsupszCafe
link: https://www.google.com/maps/search/ZsupszCafe/@46.253175999999996,20.1464078?authuser=0&hl=zh-TW&entry=ttu
Reviews: 85 reviews",https://www.facebook.com/pixelszeged/,Pixel Bar es Kavezo (Ye Zhu ),https://www.google.com/maps/contrib/109798975855568360624,https://lh5.googleusercontent.com/p/AF1QipOQseVZCBCDXFu9TlejPUC1eoLmI-s14tr9Fbc1=w425-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,14:00-02:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+36 30 749 0606,"Szeged, Pixel Bar es Kavezo, Szechenyi ter 8, 6720 Xiong Ya Li ",,https://www.google.com/maps/place/Pixel+B%C3%A1r+%C3%A9s+K%C3%A1v%C3%A9z%C3%B3/data=!4m7!3m6!1s0x47448873208819eb:0x77429f2348217d90!8m2!3d46.2555433!4d20.1489976!16s%2Fg%2F11dxb11shk!19sChIJ6xmIIHOIREcRkH0hSCOfQnc?authuser=0&hl=zh-TW&rclk=1
