place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJRSmqfT03AjMRFPtYPBPrqaY,Prince Town Tandag,,False,213,"Name: Tandag City Public Market
link: https://www.google.com/maps/search/Tandag+City+Public+Market/@9.0565015,126.19691559999998?authuser=0&hl=en&entry=ttu
Reviews: 193 reviews

Name: TT & Company
link: https://www.google.com/maps/search/TT+%26+Company/@9.080499099999999,126.1982733?authuser=0&hl=en&entry=ttu
Reviews: 90 reviews

Name: Tandag City
link: https://www.google.com/maps/search/Tandag+City/@9.1011711,126.1588771?authuser=0&hl=en&entry=ttu
Reviews: 50 reviews

Name: Palma hypermart
link: https://www.google.com/maps/search/Palma+hypermart/@9.075013199999999,126.19559109999999?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",http://www.princeretail.com/,Prince Town Tandag (Owner),,https://lh5.googleusercontent.com/p/AF1QipOL1dAt5MHC2t_OO2TJ5a0mm43SSsJYJLeaGxek=w426-h240-k-no,Hypermarket,Hypermarket,3.9,7:30 AM-8 PM,Open All Days,+63 86 211 5797,"35FX+H2R Prince Town Tandag, Navales Extension Road, Tandag, 8300 Surigao del Sur, Philippines","groceries, prices, department store",https://www.google.com/maps/place/Prince+Town+Tandag/data=!4m7!3m6!1s0x3302373d7daa2945:0xa6a9eb133c58fb14!8m2!3d9.0739779!4d126.1975207!16s%2Fg%2F11c3svfn7x!19sChIJRSmqfT03AjMRFPtYPBPrqaY?authuser=0&hl=en&rclk=1
ChIJzxceUxg3AjMRpR2wCVzd0V4,Goldbar Hotel & Restaurant,,False,122,"Name: Tuna Republik Tandag City
link: https://www.google.com/maps/search/Tuna+Republik+Tandag+City/@9.0632899,126.20505089999999?authuser=0&hl=en&entry=ttu
Reviews: 29 reviews

Name: Andre's Restaurant (formerly Janet Restaurant)
link: https://www.google.com/maps/search/Andre%27s+Restaurant+%28formerly+Janet+Restaurant%29/@9.0641348,126.20361109999999?authuser=0&hl=en&entry=ttu
Reviews: 18 reviews",https://www.goldbarhotelandrestaurant.com/,Goldbar Hotel & Restaurant (Owner),,https://lh5.googleusercontent.com/p/AF1QipNN2ySc4j49_0Sk3z-8Uwr0-QAZGcXlaomMDWEq=w408-h306-k-no,Restaurant,Restaurant,4,8 AM-10 PM,Open All Days,,"36G2+H6F Goldbar Hotel & Restaurant, Tandag, Surigao del Sur, Philippines","halo-halo, sea",https://www.google.com/maps/place/Goldbar+Hotel+%26+Restaurant/data=!4m7!3m6!1s0x33023718531e17cf:0x5ed1dd5c09b01da5!8m2!3d9.0764347!4d126.2005417!16s%2Fg%2F1hc3sx8zj!19sChIJzxceUxg3AjMRpR2wCVzd0V4?authuser=0&hl=en&rclk=1
ChIJ1-Ezu7g3AjMRhOWVSorcsRc,Joju's Kitchenette by Bhambie,,False,19,"Name: Jollibee
link: https://www.google.com/maps/search/Jollibee/@9.0754843,126.1974245?authuser=0&hl=en&entry=ttu
Reviews: 323 reviews

Name: Liam's Cafe
link: https://www.google.com/maps/search/Liam%27s+Cafe/@9.0799223,126.19833779999999?authuser=0&hl=en&entry=ttu
Reviews: 48 reviews

Name: Cafe Lajara
link: https://www.google.com/maps/search/Cafe+Lajara/@9.077066499999999,126.1974232?authuser=0&hl=en&entry=ttu
Reviews: 27 reviews

Name: Brew Central Coffee House
link: https://www.google.com/maps/search/Brew+Central+Coffee+House/@9.0771727,126.1978526?authuser=0&hl=en&entry=ttu
Reviews: 16 reviews

Name: Uptown Cafe
link: https://www.google.com/maps/search/Uptown+Cafe/@9.0631234,126.20503529999999?authuser=0&hl=en&entry=ttu
Reviews: 15 reviews",https://www.facebook.com/1449569781936292/,Joju's Kitchenette by Bhambie (Owner),,https://lh5.googleusercontent.com/p/AF1QipPOrFUwojCIUrpe1JnTNxxWOxQZLlYeuwmOO1jg=w408-h544-k-no,Cafe,Cafe,4.6,1-8 PM,Sunday,+63 909 336 3930,"354X+W2X Joju's Kitchenette by Bhambie, Balilahan Rd, Tandag, Surigao del Sur, Philippines",,https://www.google.com/maps/place/Joju%27s+Kitchenette+by+Bhambie/data=!4m7!3m6!1s0x330237b8bb33e1d7:0x17b1dc8a4a95e584!8m2!3d9.0573712!4d126.1976007!16s%2Fg%2F11j8w1k7lj!19sChIJ1-Ezu7g3AjMRhOWVSorcsRc?authuser=0&hl=en&rclk=1
ChIJQ24sryI3AjMRxl9ZFzRKtHA,Mercury Drugstore,,False,9,"Name: TGP The Generics Pharmacy
link: https://www.google.com/maps/search/TGP+The+Generics+Pharmacy/@9.0754412,126.19827139999998?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: Morilla's Pharmacy
link: https://www.google.com/maps/search/Morilla%27s+Pharmacy/@9.0808265,126.19743790000001?authuser=0&hl=en&entry=ttu
Reviews: 3 reviews

Name: Tandag Doctor's Pharmacy
link: https://www.google.com/maps/search/Tandag+Doctor%27s+Pharmacy/@9.0800851,126.19664069999999?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Gluta Center
link: https://www.google.com/maps/search/Gluta+Center/@9.074467600000002,126.19143989999998?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Adrian's Pharmacy
link: https://www.google.com/maps/search/Adrian%27s+Pharmacy/@9.0774338,126.1988275?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",http://www.mercurydrug.com/,Mercury Drugstore (Owner),,https://lh5.googleusercontent.com/p/AF1QipMG_B4jA0dX7zCp07lUmp5P8nJ6vBAHbaD-CN3D=w408-h544-k-no,Pharmacy,Pharmacy,4.2,8:30 AM-10 PM,Open All Days,+63 86 211 3955,"35GX+52G Mercury Drugstore, Tandag, Surigao del Sur, Philippines",,https://www.google.com/maps/place/Mercury+Drugstore/data=!4m7!3m6!1s0x33023722af2c6e43:0x70b44a3417595fc6!8m2!3d9.0754323!4d126.1975751!16s%2Fg%2F1tdq3jpn!19sChIJQ24sryI3AjMRxl9ZFzRKtHA?authuser=0&hl=en&rclk=1
ChIJf4UxCPM3AjMRXTEdHBbOd24,Mr. Boss Refreshments,,False,2,"Name: Cafe Lajara
link: https://www.google.com/maps/search/Cafe+Lajara/@9.077066499999999,126.1974232?authuser=0&hl=en&entry=ttu
Reviews: 27 reviews

Name: Brew Central Coffee House
link: https://www.google.com/maps/search/Brew+Central+Coffee+House/@9.0771727,126.1978526?authuser=0&hl=en&entry=ttu
Reviews: 16 reviews

Name: Tealang Foodhouse
link: https://www.google.com/maps/search/Tealang+Foodhouse/@9.0745057,126.2006826?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: Leafery Milk Tea
link: https://www.google.com/maps/search/Leafery+Milk+Tea/@9.078802399999999,126.19747579999999?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/mrbossrefreshments%3Fmibextid%3DLQQJ4d,Mr. Boss Refreshments (Owner),https://www.google.com/maps/contrib/113391604348662288615,https://lh5.googleusercontent.com/p/AF1QipNIjBYBCF3ojl9mpNaE2QfsXmkkg4rGatugUmVP=w408-h544-k-no,Coffee shop,"Coffee shop, Juice shop, Pizza restaurant, Shawarma restaurant",5,1-8 PM,Open All Days,+63 956 311 2319,"35FW+X58 Mr. Boss Refreshments, Tandag, Surigao del Sur, Philippines",,https://www.google.com/maps/place/Mr.+Boss+Refreshments/data=!4m7!3m6!1s0x330237f30831857f:0x6e77ce161c1d315d!8m2!3d9.0748748!4d126.1954295!16s%2Fg%2F11js5yt_2n!19sChIJf4UxCPM3AjMRXTEdHBbOd24?authuser=0&hl=en&rclk=1
ChIJMdKrfEQxAjMR4t-5XnMZzDk,MiraNet Cyber Hub,,False,2,"Name: PlanetHub Gaming Cafe
link: https://www.google.com/maps/search/PlanetHub+Gaming+Cafe/@9.0778717,126.1978088?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Web Net Cafe
link: https://www.google.com/maps/search/Web+Net+Cafe/@9.079651799999999,126.1984518?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: 4C INTERNET CAFE
link: https://www.google.com/maps/search/4C+INTERNET+CAFE/@9.1011711,126.1588771?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: Sadiq Cybernet Cafe
link: https://www.google.com/maps/search/Sadiq+Cybernet+Cafe/@9.079487799999999,126.1989486?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://miranetcyberhub.business.site/?utm_source=gmb&utm_medium=referral,MiraNet Cyber Hub (Owner),https://www.google.com/maps/contrib/105402614916597620572,https://lh5.googleusercontent.com/p/AF1QipPMIDY5a0OR49ONF2O-Qmiw-7s38rQ6P_J8SmsH=w408-h306-k-no,Internet cafe,"Internet cafe, Printing equipment and supplies, Video game rental service",4.5,9 AM-10 PM,Open All Days,+63 86 214 5924,"MiraNet Cyber Hub, 190 Quirino St., Buenavista, Tandag, 8300 Surigao del Sur, Philippines",,https://www.google.com/maps/place/MiraNet+Cyber+Hub/data=!4m7!3m6!1s0x330231447cabd231:0x39cc19735eb9dfe2!8m2!3d9.1135677!4d126.160647!16s%2Fg%2F11bxdylrlh!19sChIJMdKrfEQxAjMR4t-5XnMZzDk?authuser=0&hl=en&rclk=1
ChIJOaNllQQ3AjMRowP5RJekU-w,SPRING SHOPPING CENTER,,False,2,"Name: TT & Company
link: https://www.google.com/maps/search/TT+%26+Company/@9.080499099999999,126.1982733?authuser=0&hl=en&entry=ttu
Reviews: 90 reviews

Name: Personal Collection - Tandag
link: https://www.google.com/maps/search/Personal+Collection+-+Tandag/@9.075503699999999,126.1981226?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: C-ONE SHOPPING CENTER
link: https://www.google.com/maps/search/C-ONE+SHOPPING+CENTER/@9.0762111,126.19789000000002?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: SSC
link: https://www.google.com/maps/search/SSC/@9.1011711,126.1588771?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://spring-shopping-center.business.site/?utm_source=gmb&utm_medium=referral,SPRING SHOPPING CENTER (Owner),https://www.google.com/maps/contrib/115373656931439069719,https://lh5.googleusercontent.com/p/AF1QipPpVdvoNVSexEGAW1_VpdrPMdHTCN1OvdDLbIYb=w408-h306-k-no,Department store,Department store,4.5,8 AM-7 PM,Open All Days,,"SPRING SHOPPING CENTER, MOONGLOW STREET PUROK, PUB, Tandag, 8300 Surigao del Sur, Philippines",,https://www.google.com/maps/place/SPRING+SHOPPING+CENTER/data=!4m7!3m6!1s0x330237049565a339:0xec53a49744f903a3!8m2!3d9.0753711!4d126.197759!16s%2Fg%2F11fqby_zyn!19sChIJOaNllQQ3AjMRowP5RJekU-w?authuser=0&hl=en&rclk=1
ChIJJ_Hu3Ao3AjMRTHYR4M9Sokw,C-ONE SHOPPING CENTER,,False,,"Name: TT & Company
link: https://www.google.com/maps/search/TT+%26+Company/@9.080499099999999,126.1982733?authuser=0&hl=en&entry=ttu
Reviews: 90 reviews

Name: SPRING SHOPPING CENTER
link: https://www.google.com/maps/search/SPRING+SHOPPING+CENTER/@9.0753711,126.19775899999998?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: SSC
link: https://www.google.com/maps/search/SSC/@9.1011711,126.1588771?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: Jenlie
link: https://www.google.com/maps/search/Jenlie/@9.0748757,126.20062879999999?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: Calinawan Store
link: https://www.google.com/maps/search/Calinawan+Store/@9.0834408,126.17055579999997?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://c-one-shopping-center.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,C-ONE SHOPPING CENTER (Owner),https://www.google.com/maps/contrib/117318148041307067364,https://lh5.googleusercontent.com/p/AF1QipP2lrpCYxdqOMhFJkjjpEeu8xuYraX25SoJC0zx=w408-h897-k-no,Department store,Department store,,8 AM-7 PM,Open All Days,+63 915 563 4888,"C-ONE SHOPPING CENTER, Donasco Street, Tandag, 8300 Surigao del Sur, Philippines",,https://www.google.com/maps/place/C-ONE+SHOPPING+CENTER/data=!4m7!3m6!1s0x3302370adceef127:0x4ca252cfe011764c!8m2!3d9.0762111!4d126.19789!16s%2Fg%2F11tjx6b5hy!19sChIJJ_Hu3Ao3AjMRTHYR4M9Sokw?authuser=0&hl=en&rclk=1
ChIJr2_MDxc3AjMRhJkW3FefVCA,Shacene by the Sea,,False,161,,,Shacene by the Sea (Owner),,https://lh5.googleusercontent.com/p/AF1QipNOuRc3EDM2y_ECpx3t72kjOW_Tey5fNqsNzp1c=w408-h306-k-no,Hotel,Hotel,3.9,,Open All Days,+673 883 0772,"36F2+4G7 Shacene by the Sea, Surigao - Davao Coastal Rd, Tandag, Surigao del Sur, Philippines","price, boulevard, service, beautiful, dinner, shower",https://www.google.com/maps/place/Shacene+by+the+Sea/data=!4m10!3m9!1s0x330237170fcc6faf:0x20549f57dc169984!5m2!4m1!1i2!8m2!3d9.0727897!4d126.2013092!16s%2Fg%2F1tfjc1zb!19sChIJr2_MDxc3AjMRhJkW3FefVCA?authuser=0&hl=en&rclk=1
ChIJoYwXWx83AjMR98EZCNpsjzU,TT & Company,,False,90,"Name: Prince Town Tandag
link: https://www.google.com/maps/search/Prince+Town+Tandag/@9.0739779,126.19752070000001?authuser=0&hl=en&entry=ttu
Reviews: 213 reviews

Name: Tandag City Public Market
link: https://www.google.com/maps/search/Tandag+City+Public+Market/@9.0565015,126.19691559999998?authuser=0&hl=en&entry=ttu
Reviews: 193 reviews

Name: 7-Eleven (Tandag City-Plaza)
link: https://www.google.com/maps/search/7-Eleven+%28Tandag+City-Plaza%29/@9.079321499999999,126.1981782?authuser=0&hl=en&entry=ttu
Reviews: 70 reviews

Name: Tandag City
link: https://www.google.com/maps/search/Tandag+City/@9.1011711,126.1588771?authuser=0&hl=en&entry=ttu
Reviews: 50 reviews

Name: Tsoy Store
link: https://www.google.com/maps/search/Tsoy+Store/@9.0765164,126.19322040000002?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",,TT & Company (Owner),,https://lh5.googleusercontent.com/p/AF1QipP7JzfRd27p-K0SXVXVgY2ou6bwmPFdsHdCFAU0=w426-h240-k-no,Grocery store,Grocery store,4.2,8 AM-7 PM,Open All Days,,"35JX+58R TT & Company, Luis Perez Street, Bongtud, Tandag, 8300 Surigao del Sur, Philippines",,https://www.google.com/maps/place/TT+%26+Company/data=!4m7!3m6!1s0x3302371f5b178ca1:0x358f6cda0819c1f7!8m2!3d9.0804991!4d126.1982733!16s%2Fg%2F1hc95y2lr!19sChIJoYwXWx83AjMR98EZCNpsjzU?authuser=0&hl=en&rclk=1
