place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJewI0zSoHBDQROd4UKT6Ark0,Rings Coffee,"Pu Shi De Xiao Xing Ka Pei Ting ,Gong Ying Ka Pei , Cha Yin He Chang Jian De Yi Guo Mei Shi . ",False,511,"Name: Zuan Shi Bing Shi 
link: https://www.google.com/maps/search/%E9%91%BD%E7%9F%B3%E5%86%B0%E5%AE%A4/@22.3361044,114.2059282?authuser=0&hl=zh-TW&entry=ttu
Reviews: 620 reviews

Name: gladys'estatecoffee by HOMEBROWN
link: https://www.google.com/maps/search/gladys%27estatecoffee+by+HOMEBROWN/@22.3279742,114.18822709999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews

Name: Yoi coffee and bakery
link: https://www.google.com/maps/search/Yoi+coffee+and+bakery/@22.329335,114.190574?authuser=0&hl=zh-TW&entry=ttu
Reviews: 42 reviews",https://www.facebook.com/ringscoffee/,Rings Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNU3caQaYmNNjTYs9NrkgMR9-i4X4Q6azm6aXP8=w408-h271-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,07:30-17:00,Open All Days,9798 3510,Jiu Long Cheng Ya Qian Lang Dao 8Hao Rings Coffee,"Niu You Guo , Shu Bing , Bei Cha , La Hua , Re Qing , Hong Xi , carbonara, Huang Dian , Suan Zhong ",https://www.google.com/maps/place/Rings+Coffee/data=!4m7!3m6!1s0x3404072acd34027b:0x4dae803e2914de39!8m2!3d22.328197!4d114.1893816!16s%2Fg%2F11g01_0ybp!19sChIJewI0zSoHBDQROd4UKT6Ark0?authuser=0&hl=zh-TW&rclk=1
ChIJPeYDzioHBDQREm-D9FpAgLU,Da He Tang ,,False,469,"Name: Rings Coffee
link: https://www.google.com/maps/search/Rings+Coffee/@22.328197,114.18938159999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 511 reviews

Name: Stone Houses Cafe
link: https://www.google.com/maps/search/Stone+Houses+Cafe/@22.3330904,114.1869923?authuser=0&hl=zh-TW&entry=ttu
Reviews: 487 reviews

Name: gladys'estatecoffee by HOMEBROWN
link: https://www.google.com/maps/search/gladys%27estatecoffee+by+HOMEBROWN/@22.3279742,114.18822709999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews",https://www.taiwotang1932.com/,Da He Tang  (Ye Zhu ),https://www.google.com/maps/contrib/110487561783338699060,https://lh5.googleusercontent.com/p/AF1QipMmeS2N2VSvqKzDO7YXkU3bYk3hushPhNt_OVJ-=w408-h301-k-no,Ka Pei Ting ,Ka Pei Ting ,4,08:00-18:00,Open All Days,2623 2006,Jiu Long Cheng Ya Qian Lang Dao 24Hao Da He Tang ,"Zhong Yi , Zhong Yao , Ji Dan Zi , Huai Jiu , Li Shi , Zha Ji , Bian E , Chou Ti ",https://www.google.com/maps/place/%E5%A4%A7%E5%92%8C%E5%A0%82/data=!4m7!3m6!1s0x3404072ace03e63d:0xb580405af4836f12!8m2!3d22.3285877!4d114.1894226!16s%2Fg%2F11d_x7xs4p!19sChIJPeYDzioHBDQREm-D9FpAgLU?authuser=0&hl=zh-TW&rclk=1
ChIJL67c8f0BBDQRFvtnrOfeY0s,The Pal Isle Cafe Shang Dao Ka Pei Wu ,,False,50,"Name: Tuned Coffee & Roastery
link: https://www.google.com/maps/search/Tuned+Coffee+%26+Roastery/@22.3225236,114.17085449999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 148 reviews",https://instagram.com/tpicafebar%3Figshid%3DYmMyMTA2M2Y%3D,The Pal Isle Cafe Shang Dao Ka Pei Wu  (Ye Zhu ),https://www.google.com/maps/contrib/101689376065300982168,https://lh5.googleusercontent.com/p/AF1QipOGIkaQIk_o_U__lDcuf8gr2WzRfLOvz0wus4dQ=w408-h510-k-no,Yi Lang Ka Pei Ting ,Yi Lang Ka Pei Ting ,4.5,11:00-21:30,Open All Days,6660 7480,Wang Jiao Wang Jiao Hua Yuan Jie 233-235Hao Di Xia APu Wei Xiong Da Sha The Pal Isle Cafe Shang Dao Ka Pei Wu ,"Yi Fen , Suan , Kou Gan , Jiang Zhi , Xian , Tian , dinner, Zhu , You Zi , Xie Rou ",https://www.google.com/maps/place/The+Pal+Isle+Cafe+%E8%B3%9E%E5%B3%B6%E5%92%96%E5%95%A1%E5%B1%8B/data=!4m7!3m6!1s0x340401fdf1dcae2f:0x4b63dee7ac67fb16!8m2!3d22.3259662!4d114.1695969!16s%2Fg%2F11s4y3q_ys!19sChIJL67c8f0BBDQRFvtnrOfeY0s?authuser=0&hl=zh-TW&rclk=1
ChIJY3GJYRsBBDQRsIlLByZEFu0,2 Soon Cafe,,False,46,,https://www.instagram.com/2soon_cafe/,2 Soon Cafe (Ye Zhu ),https://www.google.com/maps/contrib/102315033756913602137,https://lh5.googleusercontent.com/p/AF1QipOFpgkG437bWngOdLizCPBhlIuSw4tRB8EWOQeg=w408-h375-k-no,Ka Pei Ting ,"Ka Pei Ting , Ji Wei Jiu Jiu Ba , Shui Yan Hu Ba , Can Ting ",3.8,11:30-23:00,Open All Days,5663 5003,"2 Soon Cafe, 324 Sai Yeung Choi St N, Mong Kok","Fu Te Jia , Tong Fen , Zhuan , Yun Ni Na Xue Gao , Niu You Guo , Ji Na Bang , Yan San Wen Yu , Lian Jia , Gong ",https://www.google.com/maps/place/2+Soon+Cafe/data=!4m7!3m6!1s0x3404011b61897163:0xed164426074b89b0!8m2!3d22.3261859!4d114.1687033!16s%2Fg%2F11tp51fly1!19sChIJY3GJYRsBBDQRsIlLByZEFu0?authuser=0&hl=zh-TW&rclk=1
ChIJD4cOCxQBBDQRfTaaA9QzFNg,Triangle Coffee,,False,17,"Name: Pacific Coffee
link: https://www.google.com/maps/search/Pacific+Coffee/@22.3025509,114.1721049?authuser=0&hl=zh-TW&entry=ttu
Reviews: 73 reviews

Name: Battle Tea Shop
link: https://www.google.com/maps/search/Battle+Tea+Shop/@22.3002374,114.1746392?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Shi  (Jian Sha Ju )
link: https://www.google.com/maps/search/%E6%8B%BE+%28%E5%B0%96%E6%B2%99%E5%92%80%29/@22.3004766,114.17268960000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Mao Dou 
link: https://www.google.com/maps/search/%E8%B2%93%E7%AB%87/@22.3003538,114.17442720000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://instagram.com/triangle_coffee_shop%3Figshid%3DNzAzN2Q1NTE%3D,Triangle Coffee (Ye Zhu ),https://www.google.com/maps/contrib/108691228788220134021,https://lh5.googleusercontent.com/p/AF1QipObqO7lSuRtn0VfKSgXcF1afZYPwD9a0YkxmWre=w408-h572-k-no,Ka Pei Dian ,Ka Pei Dian ,4.5,11:00-21:00,Xing Qi Er ,,Jian Sha Ju Jia Lian Wei Lao Dao Jia Wei Da Sha Triangle Coffee41C A2 Di Xia ,"Zhu Gu Li , La Hua , Jian , Yan San Wen Yu , She Ji ",https://www.google.com/maps/place/Triangle+Coffee/data=!4m7!3m6!1s0x340401140b0e870f:0xd81433d4039a367d!8m2!3d22.3002663!4d114.1747058!16s%2Fg%2F11kb8j2h4m!19sChIJD4cOCxQBBDQRfTaaA9QzFNg?authuser=0&hl=zh-TW&rclk=1
ChIJ-1ZCeMIBBDQROEmJbuubBbI,Tuned Coffee & Roastery,,False,149,"Name: Cha Liao 
link: https://www.google.com/maps/search/%E8%8C%B6%E8%81%8A/@22.3169202,114.1691041?authuser=0&hl=zh-TW&entry=ttu
Reviews: 405 reviews

Name: Memento
link: https://www.google.com/maps/search/Memento/@22.3254137,114.1690946?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews",,Tuned Coffee & Roastery (Ye Zhu ),https://www.google.com/maps/contrib/114201443589908791168,https://lh5.googleusercontent.com/p/AF1QipPozwJjZCxvgkO-ndL-Wv7WF6Uo4cu5TjoOUcX7=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting , Tian Pin Dian , Can Ting ",4.3,12:00-21:00,Xing Qi Er ,2381 3688,Wang Jiao Xi Yi Jie 163-163aHao Hong De Da Sha Tuned Coffee & RoasteryDi Xia BPu ,"He Tao , Wu Hua Guo , Hei Cu , Da Pei Gu , Niu You Guo , Re Qing Guo , Yao Guo , Yun Ni Na Xue Gao , Ji Lian Zhi Shi , Bei Ke ",https://www.google.com/maps/place/Tuned+Coffee+%26+Roastery/data=!4m7!3m6!1s0x340401c2784256fb:0xb2059beb6e894938!8m2!3d22.3225236!4d114.1708545!16s%2Fg%2F11q93t4lvs!19sChIJ-1ZCeMIBBDQROEmJbuubBbI?authuser=0&hl=zh-TW&rclk=1
ChIJ6ZxqC_AMNjQRwA_HSKtRFKA,Qi Shi Ka Pei ,,False,1,"Name: Yuan An Ka Pei 
link: https://www.google.com/maps/search/%E9%81%A0%E5%B2%B8%E5%92%96%E5%95%A1/@29.709626,118.31292599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Xiang Coffee
link: https://www.google.com/maps/search/Xiang+Coffee/@29.70966,118.33488?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Hong Kong Lafangshe Coffee Cate Store
link: https://www.google.com/maps/search/Hong+Kong+Lafangshe+Coffee+Cate+Store/@29.714798,118.34642000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Di Ou Ka Pei 
link: https://www.google.com/maps/search/%E8%BF%AA%E6%AD%90%E5%92%96%E5%95%A1/@29.706492,118.333128?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Qi Shi Ka Pei  (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,5,,Open All Days,+86 559 232 0771,Zhong Guo An Hui Sheng Huang Shan Shi Tun Xi Qu Bin Jiang Dong Lu 3-9Hao Qi Shi Ka Pei  You Zheng Bian Ma : 245000,,https://www.google.com/maps/place/%E9%A8%8E%E4%BB%95%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x34360cf00b6a9ce9:0xa01451ab48c70fc0!8m2!3d29.709856!4d118.335918!16s%2Fg%2F1tdnby96!19sChIJ6ZxqC_AMNjQRwA_HSKtRFKA?authuser=0&hl=zh-TW&rclk=1
ChIJMT-lINoMNjQRtwvfqadGH04,Yuan An Ka Pei ,,False,1,"Name: Hao Shi 
link: https://www.google.com/maps/search/%E5%A5%BD%E6%99%82/@29.708077,118.30630300000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Xia Wan 
link: https://www.google.com/maps/search/%E6%9A%87%E7%81%A3/@29.707972999999996,118.30647800000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Qi Shi Ka Pei 
link: https://www.google.com/maps/search/%E9%A8%8E%E4%BB%95%E5%92%96%E5%95%A1/@29.709856,118.33591799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Xiyu Coffee
link: https://www.google.com/maps/search/Xiyu+Coffee/@29.708262,118.319159?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Yuan An Ka Pei  (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOkoifrwI_ngGzfiALK7momsqZdnGtxmtIfg6uJ=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,5,,Open All Days,+86 559 212 6177,Zhong Guo An Hui Sheng Huang Shan Shi Tun Xi Qu Huang Shan Xi Lu Yuan An Ka Pei  You Zheng Bian Ma : 245011,,https://www.google.com/maps/place/%E9%81%A0%E5%B2%B8%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x34360cda20a53f31:0x4e1f46a7a9df0bb7!8m2!3d29.709626!4d118.312926!16s%2Fg%2F1tftb_kb!19sChIJMT-lINoMNjQRtwvfqadGH04?authuser=0&hl=zh-TW&rclk=1
ChIJQ61BS-fzAzQRkZg506VVy0A,T Coffee,,False,,"Name: NCafe
link: https://www.google.com/maps/search/NCafe/@22.535061,114.02777900000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Ka Pei Ting 
link: https://www.google.com/maps/search/%E5%92%96%E5%95%A1%E5%BB%B3/@22.534803,114.01095799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Triangle Coffee
link: https://www.google.com/maps/search/Triangle+Coffee/@22.53457,114.02322?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: TT's Coffee
link: https://www.google.com/maps/search/TT%27s+Coffee/@22.536343,114.031498?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: T Cafe
link: https://www.google.com/maps/search/T+Cafe/@22.53888,113.99490999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,T Coffee (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,,"Zhong Guo Yan Dong Sheng Shen Zhen Shi Fu Tian Qu Xiang Xuan Lu 4Hao , T Coffee You Zheng Bian Ma : 518042",,https://www.google.com/maps/place/T+Coffee/data=!4m7!3m6!1s0x3403f3e74b41ad43:0x40cb55a5d3399891!8m2!3d22.53824!4d114.02621!16s%2Fg%2F11rv967k0l!19sChIJQ61BS-fzAzQRkZg506VVy0A?authuser=0&hl=zh-TW&rclk=1
ChIJBQsmEUOZAzQRYOetCq7z0Hk,Yuan Dian Ka Pei ,,False,,"Name: Bo Lan Ka Pei 
link: https://www.google.com/maps/search/%E5%8D%9A%E8%A6%BD%E5%92%96%E5%95%A1/@22.9318964,113.93076889999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Bai Fen Xiu Xian Nai Pei 
link: https://www.google.com/maps/search/%E4%BD%B0%E5%88%86%E4%BC%91%E9%96%92%E5%A5%B6%E5%95%A1/@22.90272,113.84021?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Lu Xiang Yuan Mei Shi 
link: https://www.google.com/maps/search/%E7%B6%A0%E9%84%89%E6%BA%90%E7%BE%8E%E9%A3%9F/@22.905457,113.85574899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Shi Hui Can Ting 
link: https://www.google.com/maps/search/%E5%AF%A6%E6%83%A0%E9%A4%90%E5%BB%B3/@22.888398,113.82439799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Yuan Dian Ka Pei  (Ye Zhu ),,,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",,,Open All Days,,Zhong Guo Yan Dong Sheng Dong Wan Shi Da Ling Shan Zhen Yan Fa Lu Yuan Dian Ka Pei ,,https://www.google.com/maps/place/%E5%8E%9F%E9%BB%9E%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x3403994311260b05:0x79d0f3ae0aade760!8m2!3d22.900206!4d113.844665!16s%2Fg%2F1tdj1t44!19sChIJBQsmEUOZAzQRYOetCq7z0Hk?authuser=0&hl=zh-TW&rclk=1
