place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJn3xAWFN_GTkRV75fyILdAQ8,CAFE VILLA | Best Cafe and Bakery in Tarn Taran | Italian Food | Chinese Food | Bakery | Cakes | Pastry.,,False,181,"Name: CAFE ITALIA
link: https://www.google.com/maps/search/CAF%C3%89+ITALIA/@31.467934699999997,74.9162068?authuser=0&hl=zh-TW&entry=ttu
Reviews: 267 reviews

Name: Barista Cafe Tarn Taran
link: https://www.google.com/maps/search/Barista+Cafe+Tarn+Taran/@31.431838600000003,74.9368298?authuser=0&hl=zh-TW&entry=ttu
Reviews: 92 reviews

Name: The Coffee House
link: https://www.google.com/maps/search/The+Coffee+House/@31.4323768,74.9366683?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews

Name: 88 cafe
link: https://www.google.com/maps/search/88+cafe/@31.4669306,74.91752389999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: The Urban cafe
link: https://www.google.com/maps/search/The+Urban+cafe/@31.4674598,74.9165036?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews",https://www.instagram.com/cafevilla1/,CAFE VILLA | Best Cafe and Bakery in Tarn Taran | Italian Food | Chinese Food | Bakery | Cakes | Pastry. (Ye Zhu ),https://www.google.com/maps/contrib/108644197385253916018,https://lh5.googleusercontent.com/p/AF1QipN_1nNV_2FuCMGwkkSF2vubP9Dqo93eNEQoURmo=w408-h388-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,,Open All Days,+91 77770 70024,"CAFE VILLA | Best Cafe and Bakery in Tarn Taran | Italian Food | Chinese Food | Bakery | Cakes | Pastry., Downstairs Wardrobe Showroom, opposite Mahindra Market, Tarn Taran Sahib, Punjab 143401Yin Du ","Shi Wu Pin Zhi , Pi Sa , Ke Fu ",https://www.google.com/maps/place/CAF%C3%89+VILLA+%7C+Best+Cafe+and+Bakery+in+Tarn+Taran+%7C+Italian+Food+%7C+Chinese+Food+%7C+Bakery+%7C+Cakes+%7C+Pastry./data=!4m7!3m6!1s0x39197f5358407c9f:0xf01dd82c85fbe57!8m2!3d31.4680679!4d74.9167925!16s%2Fg%2F11m_h2njmb!19sChIJn3xAWFN_GTkRV75fyILdAQ8?authuser=0&hl=zh-TW&rclk=1
ChIJm0KKitiBGTkRPkfkSc9PZ6U,Barista Cafe Tarn Taran,,False,92,"Name: CAFE ITALIA
link: https://www.google.com/maps/search/CAF%C3%89+ITALIA/@31.467934699999997,74.9162068?authuser=0&hl=zh-TW&entry=ttu
Reviews: 267 reviews

Name: Barista
link: https://www.google.com/maps/search/Barista/@31.5199292,74.9646917?authuser=0&hl=zh-TW&entry=ttu
Reviews: 156 reviews

Name: The Coffee House
link: https://www.google.com/maps/search/The+Coffee+House/@31.4323768,74.9366683?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews

Name: 88 cafe
link: https://www.google.com/maps/search/88+cafe/@31.4669306,74.91752389999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: Cycle on cafe & resto
link: https://www.google.com/maps/search/Cycle+on+cafe+%26+resto/@31.467321899999998,74.9316455?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",https://barista-cafe-tarn-taran.business.site/?utm_source=gmb&utm_medium=referral,Barista Cafe Tarn Taran (Ye Zhu ),https://www.google.com/maps/contrib/106489820607542174813,https://lh5.googleusercontent.com/p/AF1QipNjkuSX3BCy-GjwaFWvVF3rFLG_m1b_cSy2i9QD=w408-h272-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,08:00-23:55,Open All Days,+91 84275 90883,"Barista Cafe Tarn Taran, Amritsar Rd, Bachre, Tarn Taran Sahib, Punjab 143401Yin Du ",,https://www.google.com/maps/place/Barista+Cafe+Tarn+Taran/data=!4m7!3m6!1s0x391981d88a8a429b:0xa5674fcf49e4473e!8m2!3d31.4318386!4d74.9368298!16s%2Fg%2F11qg3gsnb_!19sChIJm0KKitiBGTkRPkfkSc9PZ6U?authuser=0&hl=zh-TW&rclk=1
ChIJUZsTGXGBGTkRAG8t2-HZs8w,Costa hub,,False,11,"Name: 88 cafe
link: https://www.google.com/maps/search/88+cafe/@31.4669306,74.91752389999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: Branded Khokha THE CAFE
link: https://www.google.com/maps/search/Branded+Khokha+THE+CAFE/@31.4680074,74.9169651?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews

Name: Crooks Cafe
link: https://www.google.com/maps/search/Crooks+Cafe/@31.4616139,74.95083629999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.karanwine.com/,Costa hub (Ye Zhu ),https://www.google.com/maps/contrib/118307166297716626062,https://lh5.googleusercontent.com/p/AF1QipPA_9muNtA47wlmRc7J3C-utfsKtyQ1yRgZWFcy=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,5,09:30-21:00,Open All Days,,"FW4V+6XF Costa hub, Bachre, Tarn Taran Sahib, Punjab 143401Yin Du ",,https://www.google.com/maps/place/Costa+hub/data=!4m7!3m6!1s0x3919817119139b51:0xccb3d9e1db2d6f00!8m2!3d31.4555351!4d74.9449418!16s%2Fg%2F11tp5v1n18!19sChIJUZsTGXGBGTkRAG8t2-HZs8w?authuser=0&hl=zh-TW&rclk=1
ChIJW4cTgRV_GTkRFhzZDKpGK-k,Royal Cafeteria,,False,6,"Name: CAFE ITALIA
link: https://www.google.com/maps/search/CAF%C3%89+ITALIA/@31.467934699999997,74.9162068?authuser=0&hl=zh-TW&entry=ttu
Reviews: 267 reviews

Name: Barista Cafe Tarn Taran
link: https://www.google.com/maps/search/Barista+Cafe+Tarn+Taran/@31.431838600000003,74.9368298?authuser=0&hl=zh-TW&entry=ttu
Reviews: 92 reviews

Name: The Coffee House
link: https://www.google.com/maps/search/The+Coffee+House/@31.4323768,74.9366683?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews

Name: Royal S N Restaurant
link: https://www.google.com/maps/search/Royal+S+N+Restaurant/@31.4619437,74.940071?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Cafe Americano
link: https://www.google.com/maps/search/Cafe+Americano/@31.46453,74.9348591?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",https://royal-cafeteria.business.site/?utm_source=gmb&utm_medium=referral,Royal Cafeteria (Ye Zhu ),https://www.google.com/maps/contrib/101015267962602895769,https://lh5.googleusercontent.com/p/AF1QipPVVIxJsBGnhbkCkra2syWNQ1U6nVEQTnbE3-an=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,,Open All Days,,"Royal Cafeteria, Jandiala byepass chownk, Tarn Taran Sahib, Punjab 143401Yin Du ",,https://www.google.com/maps/place/Royal+Cafeteria/data=!4m7!3m6!1s0x39197f158113875b:0xe92b46aa0cd91c16!8m2!3d31.4651823!4d74.9351155!16s%2Fg%2F11h4_sb0qc!19sChIJW4cTgRV_GTkRFhzZDKpGK-k?authuser=0&hl=zh-TW&rclk=1
ChIJK-UO63x_GTkRAcWOG3vItVM,CAFE ITALIA,,False,267,"Name: Canadian Pizza Tarn Taran
link: https://www.google.com/maps/search/Canadian+Pizza+Tarn+Taran/@31.4675415,74.9164011?authuser=0&hl=zh-TW&entry=ttu
Reviews: 577 reviews

Name: CAFE VILLA | Best Cafe and Bakery in Tarn Taran | Italian Food | Chinese Food | Bakery | Cakes | Pastry.
link: https://www.google.com/maps/search/CAF%C3%89+VILLA+%7C+Best+Cafe+and+Bakery+in+Tarn+Taran+%7C+Italian+Food+%7C+Chinese+Food+%7C+Bakery+%7C+Cakes+%7C+Pastry./@31.468067899999998,74.9167925?authuser=0&hl=zh-TW&entry=ttu
Reviews: 181 reviews

Name: pizzaria tarn taran
link: https://www.google.com/maps/search/pizzaria+tarn+taran/@31.4677986,74.9162241?authuser=0&hl=zh-TW&entry=ttu
Reviews: 91 reviews

Name: Pizza garden
link: https://www.google.com/maps/search/Pizza+garden/@31.4622349,74.9330506?authuser=0&hl=zh-TW&entry=ttu
Reviews: 68 reviews

Name: The Urban cafe
link: https://www.google.com/maps/search/The+Urban+cafe/@31.4674598,74.9165036?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews",,CAFE ITALIA (Ye Zhu ),https://www.google.com/maps/contrib/117735121933168364463,https://lh5.googleusercontent.com/p/AF1QipM8YPmrNzj7OVGBkK-IyAodHtcSAobPsMm-XEKE=w426-h240-k-no,Yi Da Li Can Ting ,Yi Da Li Can Ting ,4.5,10:00-22:00,Open All Days,+91 90957 03000,"CAFE ITALIA, Sco-6, Mohindra, Market, Tarn Taran Sahib, Punjab 143401Yin Du ","Jia Ge , taco, Shi Wu Pin Zhi , Qian Ceng Mian , Ju Hui , Wei Sheng , San Ming Zhi , Cai ",https://www.google.com/maps/place/CAF%C3%89+ITALIA/data=!4m7!3m6!1s0x39197f7ceb0ee52b:0x53b5c87b1b8ec501!8m2!3d31.4679347!4d74.9162068!16s%2Fg%2F11h12xch7d!19sChIJK-UO63x_GTkRAcWOG3vItVM?authuser=0&hl=zh-TW&rclk=1
ChIJpYAre0N_GTkREQT1rRjSmGw,Station47- Veg non veg food/ Italian Food/ Coffee Shop / Pizza house/ Cafe,,False,119,"Name: CAFE ITALIA
link: https://www.google.com/maps/search/CAF%C3%89+ITALIA/@31.467934699999997,74.9162068?authuser=0&hl=zh-TW&entry=ttu
Reviews: 267 reviews

Name: pizzaria tarn taran
link: https://www.google.com/maps/search/pizzaria+tarn+taran/@31.4677986,74.9162241?authuser=0&hl=zh-TW&entry=ttu
Reviews: 91 reviews

Name: Pizza garden
link: https://www.google.com/maps/search/Pizza+garden/@31.4622349,74.9330506?authuser=0&hl=zh-TW&entry=ttu
Reviews: 68 reviews

Name: 88 cafe
link: https://www.google.com/maps/search/88+cafe/@31.4669306,74.91752389999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: The Urban cafe
link: https://www.google.com/maps/search/The+Urban+cafe/@31.4674598,74.9165036?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews",,Station47- Veg non veg food/ Italian Food/ Coffee Shop / Pizza house/ Cafe (Ye Zhu ),https://www.google.com/maps/contrib/111239905590789914480,https://lh5.googleusercontent.com/p/AF1QipOPFKz77okZUcGAbXDniDULzGcY5ntPMMwJm1dy=w408-h306-k-no,Kuai Can Dian ,Kuai Can Dian ,4.2,10:00-22:00,Open All Days,+91 84317 00047,"Station47- Veg non veg food/ Italian Food/ Coffee Shop / Pizza house/ Cafe, Barnala - Amritsar Bypass Rd, Guru Teg Bahadur Nagar, Tarn Taran Sahib, Punjab 143401Yin Du ",Jia Ge ,https://www.google.com/maps/place/Station47-+Veg+non+veg+food%2F+Italian+Food%2F+Coffee+Shop+%2F+Pizza+house%2F+Cafe/data=!4m7!3m6!1s0x39197f437b2b80a5:0x6c98d218adf50411!8m2!3d31.4661789!4d74.9176374!16s%2Fg%2F11qggfv4gn!19sChIJpYAre0N_GTkREQT1rRjSmGw?authuser=0&hl=zh-TW&rclk=1
ChIJO0O9QCmAGTkRQTkwYeuUcRc,Rajan Sweets,,False,107,"Name: Partap Sweets - Best sweets shop / Pizza house/ Restaurant in Tarn Taran
link: https://www.google.com/maps/search/Partap+Sweets+-+Best+sweets+shop+%2F+Pizza+house%2F+Restaurant+in+Tarn+Taran/@31.4531079,74.9314289?authuser=0&hl=zh-TW&entry=ttu
Reviews: 322 reviews

Name: Bikaner Sweets
link: https://www.google.com/maps/search/%F0%9D%97%95%F0%9D%97%B6%F0%9D%97%B8%F0%9D%97%AE%F0%9D%97%BB%F0%9D%97%B2%F0%9D%97%BF+%F0%9D%97%A6%F0%9D%98%84%F0%9D%97%B2%F0%9D%97%B2%F0%9D%98%81%F0%9D%98%80/@31.456571999999998,74.9287373?authuser=0&hl=zh-TW&entry=ttu
Reviews: 152 reviews

Name: BIKANER SWEETS SHOP
link: https://www.google.com/maps/search/BIKANER+SWEETS+SHOP/@31.4539068,74.92646839999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: Raj sweets and fast food
link: https://www.google.com/maps/search/Raj+sweets+and+fast+food/@31.453562599999998,74.9267916?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Fancy Sweet Shop
link: https://www.google.com/maps/search/Fancy+Sweet+Shop/@31.4536687,74.9266284?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",,Rajan Sweets (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPa0Wclv6iOmhW4UC47gbBaFXGG1Z0rQK9vO5do=w426-h240-k-no,Yin Du Tian Dian Dian ,"Yin Du Tian Dian Dian , Ka Pei Dian , Tian Pin Can Ting , Xiao Shi Dian , Kuai Can Dian , Guo Zhi Dian , Su Shi Can Ting ",3.9,09:00-22:00,Open All Days,+91 98764 80007,"FW2H+R63 Rajan Sweets, NH 15, Old City, Tarn Taran Sahib, Punjab 143401Yin Du ","Su Shi , Pin Zhi ",https://www.google.com/maps/place/Rajan+Sweets/data=!4m7!3m6!1s0x3919802940bd433b:0x177194eb61303941!8m2!3d31.4520049!4d74.928033!16s%2Fg%2F1hc5jxm41!19sChIJO0O9QCmAGTkRQTkwYeuUcRc?authuser=0&hl=zh-TW&rclk=1
ChIJI9pUUDiBGTkR-1IuJ-n2Gt4,The Coffee House,,False,72,"Name: CAFE VILLA | Best Cafe and Bakery in Tarn Taran | Italian Food | Chinese Food | Bakery | Cakes | Pastry.
link: https://www.google.com/maps/search/CAF%C3%89+VILLA+%7C+Best+Cafe+and+Bakery+in+Tarn+Taran+%7C+Italian+Food+%7C+Chinese+Food+%7C+Bakery+%7C+Cakes+%7C+Pastry./@31.468067899999998,74.9167925?authuser=0&hl=zh-TW&entry=ttu
Reviews: 181 reviews

Name: Barista Cafe Tarn Taran
link: https://www.google.com/maps/search/Barista+Cafe+Tarn+Taran/@31.431838600000003,74.9368298?authuser=0&hl=zh-TW&entry=ttu
Reviews: 92 reviews

Name: The Urban cafe
link: https://www.google.com/maps/search/The+Urban+cafe/@31.4674598,74.9165036?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: Taj restaurant
link: https://www.google.com/maps/search/Taj+restaurant/@31.445862799999997,74.945791?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Cycle on cafe & resto
link: https://www.google.com/maps/search/Cycle+on+cafe+%26+resto/@31.467321899999998,74.9316455?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",,The Coffee House (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP_RliPfmIeluxtu3mMN5MyRwdI_A_6oblMQu30=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",4.9,09:00-20:15,Open All Days,,"The Coffee House, Tarn Taran Bypass, Focal Point, Tarn Taran Sahib, Punjab 143401Yin Du ",,https://www.google.com/maps/place/The+Coffee+House/data=!4m7!3m6!1s0x391981385054da23:0xde1af6e9272e52fb!8m2!3d31.4323768!4d74.9366683!16s%2Fg%2F11rhvvcw8k!19sChIJI9pUUDiBGTkR-1IuJ-n2Gt4?authuser=0&hl=zh-TW&rclk=1
ChIJbbx6tR1_GTkREbbIoxWF6Vs,88 cafe,,False,46,"Name: CAFE VILLA | Best Cafe and Bakery in Tarn Taran | Italian Food | Chinese Food | Bakery | Cakes | Pastry.
link: https://www.google.com/maps/search/CAF%C3%89+VILLA+%7C+Best+Cafe+and+Bakery+in+Tarn+Taran+%7C+Italian+Food+%7C+Chinese+Food+%7C+Bakery+%7C+Cakes+%7C+Pastry./@31.468067899999998,74.9167925?authuser=0&hl=zh-TW&entry=ttu
Reviews: 181 reviews

Name: Station47- Veg non veg food/ Italian Food/ Coffee Shop / Pizza house/ Cafe
link: https://www.google.com/maps/search/Station47-+Veg+non+veg+food%2F+Italian+Food%2F+Coffee+Shop+%2F+Pizza+house%2F+Cafe/@31.466178899999996,74.91763739999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews

Name: Barista Cafe Tarn Taran
link: https://www.google.com/maps/search/Barista+Cafe+Tarn+Taran/@31.431838600000003,74.9368298?authuser=0&hl=zh-TW&entry=ttu
Reviews: 92 reviews

Name: The Urban cafe
link: https://www.google.com/maps/search/The+Urban+cafe/@31.4674598,74.9165036?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews",,88 cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOyRu0PHl3DkvLNLZrIgzn6FLOKbQChg_BnPvJq=w408-h725-k-no,Ka Pei Dian ,"Ka Pei Dian , Can Ting ",4.3,10:00-22:00,Open All Days,+91 78570 00058,"FW89+Q2C 88 cafe, Guru Teg Bahadur Nagar, Tarn Taran Sahib, Punjab 143401Yin Du ",Pi Sa ,https://www.google.com/maps/place/88+cafe/data=!4m7!3m6!1s0x39197f1db57abc6d:0x5be98515a3c8b611!8m2!3d31.4669306!4d74.9175239!16s%2Fg%2F11pg9h8w1b!19sChIJbbx6tR1_GTkREbbIoxWF6Vs?authuser=0&hl=zh-TW&rclk=1
ChIJEUYjMBt_GTkRq_kzly3Jlxk,The Urban cafe,,False,38,"Name: CAFE ITALIA
link: https://www.google.com/maps/search/CAF%C3%89+ITALIA/@31.467934699999997,74.9162068?authuser=0&hl=zh-TW&entry=ttu
Reviews: 267 reviews

Name: CAFE VILLA | Best Cafe and Bakery in Tarn Taran | Italian Food | Chinese Food | Bakery | Cakes | Pastry.
link: https://www.google.com/maps/search/CAF%C3%89+VILLA+%7C+Best+Cafe+and+Bakery+in+Tarn+Taran+%7C+Italian+Food+%7C+Chinese+Food+%7C+Bakery+%7C+Cakes+%7C+Pastry./@31.468067899999998,74.9167925?authuser=0&hl=zh-TW&entry=ttu
Reviews: 181 reviews

Name: Station47- Veg non veg food/ Italian Food/ Coffee Shop / Pizza house/ Cafe
link: https://www.google.com/maps/search/Station47-+Veg+non+veg+food%2F+Italian+Food%2F+Coffee+Shop+%2F+Pizza+house%2F+Cafe/@31.466178899999996,74.91763739999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews

Name: 5 Tara Restaurant
link: https://www.google.com/maps/search/5+Tara+Restaurant/@31.467585,74.91637999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 53 reviews

Name: 88 cafe
link: https://www.google.com/maps/search/88+cafe/@31.4669306,74.91752389999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews",,The Urban cafe (Ye Zhu ),https://www.google.com/maps/contrib/106039868419508214065,https://lh5.googleusercontent.com/p/AF1QipMFEJoxyXsOoBc0RKFNn7cGolI5h9D8ppGT3v6f=w408-h544-k-no,Can Ting ,Can Ting ,4.1,10:30-22:00,Open All Days,+91 99416 90002,"The Urban cafe, SCO 15, Mohindra Ave, Guru Teg Bahadur Nagar, Tarn Taran Sahib, Punjab 143401Yin Du ","Pi Sa , Pei Song , Bing Qi Lin , Ji , Yin Liao ",https://www.google.com/maps/place/The+Urban+cafe/data=!4m7!3m6!1s0x39197f1b30234611:0x1997c92d9733f9ab!8m2!3d31.4674598!4d74.9165036!16s%2Fg%2F11lqn5g0fg!19sChIJEUYjMBt_GTkRq_kzly3Jlxk?authuser=0&hl=zh-TW&rclk=1
