place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJG2vbNS1sLZAR_ate4sfHL4U,Sweet & Coffee - Puerto Santa Ana,,False,2521,"Name: Sweet & Coffee - Boyaca
link: https://www.google.com/maps/search/Sweet+%26+Coffee+-+Boyac%C3%A1/@-2.1949826999999997,-79.8848514?authuser=0&hl=zh-TW&entry=ttu
Reviews: 439 reviews

Name: CreamCoffee Puerto Santa Ana Coffee shop
link: https://www.google.com/maps/search/CreamCoffee+Puerto+Santa+Ana+Coffee+shop/@-2.1813024999999997,-79.8738483?authuser=0&hl=zh-TW&entry=ttu
Reviews: 311 reviews

Name: Sweet & Coffee - World Trade Center
link: https://www.google.com/maps/search/Sweet+%26+Coffee+-+World+Trade+Center/@-2.1636053,-79.8978602?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: Sweet &Coffee | Km. 13 Via a la Costa
link: https://www.google.com/maps/search/Sweet+%26Coffee+%7C+Km.+13+V%C3%ADa+a+la+Costa/@-2.1825449999999997,-79.9858204?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Sweet & Coffee - Policentro
link: https://www.google.com/maps/search/Sweet+%26+Coffee+-+Policentro/@-2.1705082,-79.9004461?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.sweetandcoffee.com.ec/,Sweet & Coffee - Puerto Santa Ana (Ye Zhu ),https://www.google.com/maps/contrib/106544225911078377903,https://lh5.googleusercontent.com/p/AF1QipOI1Q5PTIIviArRHkHSsOesIVD3_RxjQR2b_p2Z=w408-h271-k-no,Zi Zhu Can Ting ,"Zi Zhu Can Ting , Ka Pei Ting ",4.7,08:00-22:00,Open All Days,+593 4-602-2900 ext. 262,"Sweet & Coffee - Puerto Santa Ana, Sotavento, Pa. de Espana, Guayaquil 090313E Gua Duo Er ","Bo Wu Guan , Huan Jing , Shi Jue , He , Hui Hua , Yu Shi , Hui Yi , Feng Jing ",https://www.google.com/maps/place/Sweet+%26+Coffee+-+Puerto+Santa+Ana/data=!4m7!3m6!1s0x902d6c2d35db6b1b:0x852fc7c7e25eabfd!8m2!3d-2.1806952!4d-79.8741162!16s%2Fg%2F11g7_hftjj!19sChIJG2vbNS1sLZAR_ate4sfHL4U?authuser=0&hl=zh-TW&rclk=1
ChIJO5wGS3cZzZERsFuQxdfCF9k,Chocolateria Dos Chorreras,,False,1088,"Name: Dos Chorreras Restaurant
link: https://www.google.com/maps/search/Dos+Chorreras+Restaurant/@-2.7843234,-79.16788319999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1382 reviews

Name: Chocolateria
link: https://www.google.com/maps/search/Chocolater%C3%ADa/@-2.7833938,-79.1679429?authuser=0&hl=zh-TW&entry=ttu
Reviews: 417 reviews

Name: Hosteria Dos Chorreras
link: https://www.google.com/maps/search/Hosteria+Dos+Chorreras/@-2.8661692999999997,-79.0894844?authuser=0&hl=zh-TW&entry=ttu
Reviews: 146 reviews

Name: Dejame Que Te Cuente Chocolateria Gourmet
link: https://www.google.com/maps/search/D%C3%A9jame+Que+Te+Cuente+Chocolater%C3%ADa+Gourmet/@-2.9119523,-79.00024169999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: Fiore Chocolates
link: https://www.google.com/maps/search/Fiore+Chocolates/@-2.9006029,-79.0046844?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",http://www.hosteriadoschorreras.com/,Chocolateria Dos Chorreras (Ye Zhu ),https://www.google.com/maps/contrib/113052332879604971411,https://lh5.googleusercontent.com/p/AF1QipPGbbdBv69TijwbfUk0mE64z_FJZx6y6z0MWdph=w408-h672-k-no,Ka Pei Dian ,Ka Pei Dian ,4.5,08:00-21:30,Open All Days,+593 99 815 5507,"Chocolateria Dos Chorreras, Simon Bolivar 10-09 y, Padre Aguirre esquina, Cuenca 010101E Gua Duo Er ","Huan Jing , Tian , She Ying , Ji Na Bang , Lu You , He , Ku , Ke Li Bing , Shan ",https://www.google.com/maps/place/Chocolateria+Dos+Chorreras/data=!4m7!3m6!1s0x91cd19774b069c3b:0xd917c2d7c5905bb0!8m2!3d-2.8966494!4d-79.0056857!16s%2Fg%2F11rhn9m0gq!19sChIJO5wGS3cZzZERsFuQxdfCF9k?authuser=0&hl=zh-TW&rclk=1
ChIJwzfiK59tLZARRhbMB9bOiqQ,CreamCoffee Puerto Santa Ana Coffee shop,,False,311,"Name: Sweet & Coffee - Puerto Santa Ana
link: https://www.google.com/maps/search/Sweet+%26+Coffee+-+Puerto+Santa+Ana/@-2.1806951999999997,-79.8741162?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2518 reviews

Name: Juan Valdez Cafe
link: https://www.google.com/maps/search/Juan+Valdez+Caf%C3%A9/@-2.1782406,-79.8763341?authuser=0&hl=zh-TW&entry=ttu
Reviews: 40 reviews

Name: Cafeteria The Point
link: https://www.google.com/maps/search/Cafeteria+The+Point/@-2.1782689,-79.8760452?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Cafeteria & Pasteleria
link: https://www.google.com/maps/search/Cafeter%C3%ADa+%26+Pasteler%C3%ADa/@-2.1790913,-79.8762335?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://instagram.com/creamcoffeec,CreamCoffee Puerto Santa Ana Coffee shop (Ye Zhu ),https://www.google.com/maps/contrib/101396955972963543169,https://lh5.googleusercontent.com/p/AF1QipNIpm-sxn0JOnZG2ppXXPc7yd13EMlN3QZtl4B4=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,09:00-22:00,Open All Days,+593 98 992 3599,"CreamCoffee Puerto Santa Ana Coffee shop, Barlovento, Numa Pompilio Llona, Guayaquil 090306E Gua Duo Er ","She Ying , Huan Jing , Tian , Jing Yan , Jia Ting , He , Fu You , Nai Xi , Chan Pin , Yin Le ",https://www.google.com/maps/place/CreamCoffee+Puerto+Santa+Ana+Coffee+shop/data=!4m7!3m6!1s0x902d6d9f2be237c3:0xa48aced607cc1646!8m2!3d-2.1813025!4d-79.8738483!16s%2Fg%2F11swrv93j1!19sChIJwzfiK59tLZARRhbMB9bOiqQ?authuser=0&hl=zh-TW&rclk=1
ChIJOYei9Q0YzZERI76oV6uTdg4,Tia Mercado 10 De Agosto,,False,263,"Name: Super AKI Arizaga
link: https://www.google.com/maps/search/Super+AK%C3%8D+Ar%C3%ADzaga/@-2.8902821,-79.0069232?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1034 reviews

Name: Tu Tienda
link: https://www.google.com/maps/search/Tu+Tienda/@-2.892813,-79.0103764?authuser=0&hl=zh-TW&entry=ttu
Reviews: 98 reviews

Name: Supermercado El Ahorro
link: https://www.google.com/maps/search/Supermercado+El+Ahorro/@-2.8999242,-79.0280948?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Tienda Dianita
link: https://www.google.com/maps/search/Tienda+Dianita/@-2.9154554,-78.99968439999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Minimarket Dona Anita
link: https://www.google.com/maps/search/Minimarket+Do%C3%B1a+Anita/@-2.8849001999999997,-78.99538020000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.tia.com.ec/,Tia Mercado 10 De Agosto (Ye Zhu ),https://www.google.com/maps/contrib/102897612363383734230,//lh4.googleusercontent.com/ewXMIHu9w7vP6A6PXYRh26SKyFjOO-CRescRFQiBvBwfi9jIv_PwPk5k6YgpMKaS=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.2,08:00-20:00,Open All Days,+593 98 603 4444,"Tia Mercado 10 De Agosto, Calle Larga. 11-37 entre Tarqui, y, Cuenca 010101E Gua Duo Er ","Jia Ge , Gong Ying , Jing Ji ",https://www.google.com/maps/place/T%C3%ADa+Mercado+10+De+Agosto/data=!4m7!3m6!1s0x91cd180df5a28739:0xe7693ab57a8be23!8m2!3d-2.899712!4d-79.007711!16s%2Fg%2F12hqt4vmj!19sChIJOYei9Q0YzZERI76oV6uTdg4?authuser=0&hl=zh-TW&rclk=1
ChIJFdthqqsZzZERX1gTfnbYEbQ,Cafe Nucallacta,,False,108,"Name: Aroma De Cafe
link: https://www.google.com/maps/search/Aroma+De+Caf%C3%A9/@-2.900285,-79.01281329999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 667 reviews

Name: Cafe Nucallacta
link: https://www.google.com/maps/search/Caf%C3%A9+%C3%91ucallacta/@-2.9009592,-79.0024882?authuser=0&hl=zh-TW&entry=ttu
Reviews: 572 reviews

Name: Tienda Cafe
link: https://www.google.com/maps/search/Tienda+Cafe/@-2.8957102999999997,-79.01073710000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 60 reviews

Name: Cake & Coffee
link: https://www.google.com/maps/search/Cake+%26+Coffee/@-2.8999797,-79.0121611?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: 2 More Coffee
link: https://www.google.com/maps/search/2+More+Coffee/@-2.9092477999999997,-79.0039663?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://cafenucallacta.com/,Cafe Nucallacta (Ye Zhu ),https://www.google.com/maps/contrib/100923330677463769920,//lh6.googleusercontent.com/ui1MrZfj760SYvI3r8Fyrq7OA__BNuB9krvNVKQ3jbja9VAZA3lmYcFPAx42fNH_xg=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,09:00-15:00,Xing Qi Yi ,+593 98 619 0490,"Cafe Nucallacta, Av. Loja 2320, Cuenca, E Gua Duo Er ","Zao Can , Jia Ge , Tian Dian , vegan",https://www.google.com/maps/place/Caf%C3%A9+%C3%91ucallacta/data=!4m7!3m6!1s0x91cd19abaa61db15:0xb411d8767e13585f!8m2!3d-2.9022839!4d-79.0184734!16s%2Fg%2F11k41_490q!19sChIJFdthqqsZzZERX1gTfnbYEbQ?authuser=0&hl=zh-TW&rclk=1
ChIJgyQ1qRMYzZERlM_v46tjNnI,Restaurante La Mansion,,False,27,"Name: La Esquina
link: https://www.google.com/maps/search/La+Esquina/@-2.9024300999999997,-79.0028243?authuser=0&hl=zh-TW&entry=ttu
Reviews: 615 reviews

Name: Mansion Matilde
link: https://www.google.com/maps/search/Mansi%C3%B3n+Matilde/@-2.8971791,-79.003851?authuser=0&hl=zh-TW&entry=ttu
Reviews: 267 reviews

Name: Madame
link: https://www.google.com/maps/search/Madame/@-2.8966909000000003,-79.0048766?authuser=0&hl=zh-TW&entry=ttu
Reviews: 82 reviews

Name: La Creme
link: https://www.google.com/maps/search/La+Creme/@-2.8972853,-79.0039149?authuser=0&hl=zh-TW&entry=ttu
Reviews: 77 reviews

Name: Casa Alonso Gourmet Restaurant
link: https://www.google.com/maps/search/Casa+Alonso+Gourmet+Restaurant/@-2.8960806,-79.00824209999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews",https://www.facebook.com/La-Mansion-Restaurant-Cafe-108065073196476/,Restaurante La Mansion (Ye Zhu ),https://www.google.com/maps/contrib/108727048361093807942,https://lh5.googleusercontent.com/p/AF1QipPq0PX7z_Rw8vOptxV1280iMuxDhXwv--fMv_fe=w408-h272-k-no,Can Ting ,Can Ting ,4.6,08:00-17:00,Open All Days,+593 7-282-1735,"Restaurante La Mansion, Tarqui 7-57 entre sucre y pdt, Pdte. Cordova, Cuenca 010105E Gua Duo Er ","Wu Can , Jia Ge ",https://www.google.com/maps/place/Restaurante+La+Mansion/data=!4m7!3m6!1s0x91cd1813a9352483:0x723663abe3efcf94!8m2!3d-2.8975376!4d-79.0080836!16s%2Fg%2F11g8_1jk2w!19sChIJgyQ1qRMYzZERlM_v46tjNnI?authuser=0&hl=zh-TW&rclk=1
ChIJdaPQiTAZzZERTLs7w5487CI,Coffee Room Mr. Tourist,,False,26,,https://www.instagram.com/mr.tourist_ec/,Coffee Room Mr. Tourist (Ye Zhu ),https://www.google.com/maps/contrib/116622972499937744279,https://lh5.googleusercontent.com/p/AF1QipOA30uKykw_7XgPj3kv40VQq_eV39brRbaza4SZ=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.7,09:00-18:00,Open All Days,+593 96 800 8971,"Coffee Room Mr. Tourist, Hermano Miguel 5-65, Cuenca, E Gua Duo Er ","Tian Dian , Jia Ge ",https://www.google.com/maps/place/Coffee+Room+Mr.+Tourist/data=!4m7!3m6!1s0x91cd193089d0a375:0x22ec3c9ec33bbb4c!8m2!3d-2.9008322!4d-79.0026396!16s%2Fg%2F11v69ydt2b!19sChIJdaPQiTAZzZERTLs7w5487CI?authuser=0&hl=zh-TW&rclk=1
ChIJ-9fzs80ZzZER10zsmKYv_pA,Buho Coffee Shop,,False,24,"Name: Tienda Cafe
link: https://www.google.com/maps/search/Tienda+Cafe/@-2.8957102999999997,-79.01073710000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 60 reviews

Name: Coffeeworks
link: https://www.google.com/maps/search/Coffeeworks/@-2.8901095999999997,-79.02398389999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Bocca
link: https://www.google.com/maps/search/Bocca/@-2.9091077,-79.0104697?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: My Coffee
link: https://www.google.com/maps/search/My+Coffee/@-2.9027401,-79.0024182?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Bui
link: https://www.google.com/maps/search/Bui/@-2.9219722,-79.0109693?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://instagram.com/buhocoffeeshop%3Futm_medium%3Dcopy_link,Buho Coffee Shop (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOwV2bTDa0W-SJSON0HXIAhkQ9Zxs3_3vUWqmqh=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.7,11:00-20:00,Open All Days,+593 93 948 0119,"Buho Coffee Shop, Av. Primero de Mayo 327, Cuenca 010107E Gua Duo Er ",Hui Hua ,https://www.google.com/maps/place/Buho+Coffee+Shop/data=!4m7!3m6!1s0x91cd19cdb3f3d7fb:0x90fe2fa698ec4cd7!8m2!3d-2.9129535!4d-79.0134928!16s%2Fg%2F11q1hch_cw!19sChIJ-9fzs80ZzZER10zsmKYv_pA?authuser=0&hl=zh-TW&rclk=1
ChIJ6_UxEiUZzZERvUBtouoFqT4,Cafeteria El Panita,,False,16,"Name: Aroma De Cafe
link: https://www.google.com/maps/search/Aroma+De+Caf%C3%A9/@-2.900285,-79.01281329999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 667 reviews

Name: Cosita
link: https://www.google.com/maps/search/Cosita/@-2.8991756,-79.00529449999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 200 reviews

Name: CAFE NOGAL
link: https://www.google.com/maps/search/CAF%C3%89+NOGAL/@-2.8994343,-79.0109323?authuser=0&hl=zh-TW&entry=ttu
Reviews: 72 reviews

Name: Cake & Coffee
link: https://www.google.com/maps/search/Cake+%26+Coffee/@-2.8999797,-79.0121611?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Tamales
link: https://www.google.com/maps/search/Tamales/@-2.9086878,-78.9943831?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.facebook.com/cafepanita,Cafeteria El Panita (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN368-Szi_EmITtyJx97a8FS1PHee1znBWsH_bY=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,09:00-20:00,Xing Qi Ri ,+593 7-288-5173,"Cafeteria El Panita, Av. Loja 2-133, Cuenca, E Gua Duo Er ",,https://www.google.com/maps/place/Cafeter%C3%ADa+El+Panita/data=!4m7!3m6!1s0x91cd19251231f5eb:0x3ea905eaa26d40bd!8m2!3d-2.9015248!4d-79.0167722!16s%2Fg%2F11nnl1n8vh!19sChIJ6_UxEiUZzZERvUBtouoFqT4?authuser=0&hl=zh-TW&rclk=1
ChIJI90JSHVnzZER6GCnMSA6WVk,Bar Heladeria Frozen,,False,10,"Name: Cafeteria y Heladeria Aroma
link: https://www.google.com/maps/search/Cafeter%C3%ADa+y+Helader%C3%ADa+Aroma/@-2.557222,-78.93838099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: COFFEE BAR HELADERIA CAFETERIA Y POSTRES
link: https://www.google.com/maps/search/COFFEE+BAR+HELADERIA+CAFETERIA+Y+POSTRES/@-2.5606323,-78.93837549999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Coffee TIME
link: https://www.google.com/maps/search/Coffee+TIME/@-2.5590112,-78.9393477?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Donofrio's panaderia cafeteria
link: https://www.google.com/maps/search/Donofrio%27s+panaderia+cafeteria/@-2.5664861,-78.93815120000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Helado Americano Canar
link: https://www.google.com/maps/search/Helado+Americano+Ca%C3%B1ar/@-2.5632489,-78.93254010000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/BarHeladeriaFrozen/,Bar Heladeria Frozen (Ye Zhu ),https://www.google.com/maps/contrib/107916471308091098223,https://lh5.googleusercontent.com/p/AF1QipPMSHQHoiU6bg6CyLWi53wlPwNctRITia3Eg01E=w425-h240-k-no,Zi Zhu Can Ting ,"Zi Zhu Can Ting , Ka Pei Dian ",4.5,11:30-23:00,Open All Days,+593 99 978 6580,"Bar Heladeria Frozen, Tarqui &, Canar, E Gua Duo Er ",,https://www.google.com/maps/place/Bar+Helader%C3%ADa+Frozen/data=!4m7!3m6!1s0x91cd67754809dd23:0x59593a2031a760e8!8m2!3d-2.5627915!4d-78.9410372!16s%2Fg%2F11fns34t36!19sChIJI90JSHVnzZER6GCnMSA6WVk?authuser=0&hl=zh-TW&rclk=1
