place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ31ghXvpFyDARy43yHkcCxJU,Romantic scapes RS,,False,2,"Name: Internet Tea Shop
link: https://www.google.com/maps/search/Internet+Tea+Shop/@19.9991876,95.54700109999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Amara Tea House
link: https://www.google.com/maps/search/Amara+Tea+House/@19.9993136,95.5469516?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: U Soe Cafe
link: https://www.google.com/maps/search/U+Soe+Cafe/@20.007482,95.54209879999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://romantic-escape-rs.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Romantic scapes RS (Ye Zhu ),https://www.google.com/maps/contrib/117725873494358916642,https://lh5.googleusercontent.com/p/AF1QipPdqaMq8XIgx11ALEvKDZPYWrZekdE5X0EmTxYN=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,5,08:00-20:00,Open All Days,+82 10-8463-2357,"Romantic scapes RS, Ohn Taw 2 Rd, Taungdwingyi, Mian Dian ",,https://www.google.com/maps/place/%F0%9D%91%B9%F0%9D%92%90%F0%9D%92%8E%F0%9D%92%82%F0%9D%92%8F%F0%9D%92%95%F0%9D%92%8A%F0%9D%92%84+%F0%9D%9C%A0%F0%9D%92%94%F0%9D%92%84%F0%9D%92%82%F0%9D%92%91%F0%9D%92%86%F0%9D%92%94+%F0%9D%91%B9%F0%9D%91%BA/data=!4m7!3m6!1s0x30c845fa5e2158df:0x95c402471ef28dcb!8m2!3d20.0033684!4d95.5410648!16s%2Fg%2F11kn2d5k_m!19sChIJ31ghXvpFyDARy43yHkcCxJU?authuser=0&hl=zh-TW&rclk=1
ChIJdUEihnNFyDARHUx67COnHt0,ttiu: lkphkrnnychiung,,False,11,"Name: Pan Cafe
link: https://www.google.com/maps/search/Pan+Cafe/@20.0016397,95.5464451?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Shwe La Min Cinema
link: https://www.google.com/maps/search/Shwe+La+Min+Cinema/@20.0081967,95.5438095?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: mkhiu mnmaathmng:chiung
link: https://www.google.com/maps/search/%E1%80%99%E1%80%81%E1%80%BB%E1%80%AD%E1%80%AF+%E1%80%99%E1%80%BC%E1%80%94%E1%80%BA%E1%80%99%E1%80%AC%E1%80%91%E1%80%99%E1%80%84%E1%80%BA%E1%80%B8%E1%80%86%E1%80%AD%E1%80%AF%E1%80%84%E1%80%BA/@20.0020533,95.54579?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,ttiu: lkphkrnnychiung (Ye Zhu ),https://www.google.com/maps/contrib/116140388645615974857,https://lh5.googleusercontent.com/p/AF1QipMVR-xD2FFkDtWqZp5E4z1SWDWR1Xt8g9Xfg1h0=w533-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,3.6,08:00-18:00,Open All Days,,"ttiu: lkphkrnnychiung, General Aung San Rd, Taungdwingyi, Mian Dian ",,https://www.google.com/maps/place/%E1%80%90%E1%80%AD%E1%80%AF%E1%80%B8+%E1%80%9C%E1%80%80%E1%80%BA%E1%80%96%E1%80%80%E1%80%BA%E1%80%9B%E1%80%8A%E1%80%BA%E1%80%86%E1%80%AD%E1%80%AF%E1%80%84%E1%80%BA/data=!4m7!3m6!1s0x30c8457386224175:0xdd1ea723ec7a4c1d!8m2!3d20.0083013!4d95.5458507!16s%2Fg%2F11j015sq8l!19sChIJdUEihnNFyDARHUx67COnHt0?authuser=0&hl=zh-TW&rclk=1
ChIJHZp6x4ZFyDAR3Ptxhx9nrnA,SUU Bubble Tea Shop,,False,8,"Name: aung san moe (pan cafe
link: https://www.google.com/maps/search/aung+san+moe+%28pan+cafe/@20.001016999999997,95.5556211?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Kaung San
link: https://www.google.com/maps/search/Kaung+San/@20.004127,95.5382228?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: CRUSH- Coffee , Cools & Korean Foods
link: https://www.google.com/maps/search/CRUSH-+Coffee+%2C+Cools+%26+Korean+Foods/@20.012397699999998,95.5506636?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Shwe Yin Like Tea Shop
link: https://www.google.com/maps/search/Shwe+Yin+Like+Tea+Shop/@20.0103594,95.5456663?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: U Soe Cafe
link: https://www.google.com/maps/search/U+Soe+Cafe/@20.007482,95.54209879999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,SUU Bubble Tea Shop (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNW5CTaW9gdtoxf68TDjTfJTdtUxCFoly-dpywI=w408-h544-k-no,Zhen Zhu Nai Cha Dian ,Zhen Zhu Nai Cha Dian ,3.8,11:00-19:00,Open All Days,+95 9 44062 8500,"SUU Bubble Tea Shop, Shwe Oh 1, General Aung San Rd, Taungdwingyi, Mian Dian ",,https://www.google.com/maps/place/SUU+Bubble+Tea+Shop/data=!4m7!3m6!1s0x30c84586c77a9a1d:0x70ae671f8771fbdc!8m2!3d20.0176908!4d95.5441103!16s%2Fg%2F11fkcqn4gy!19sChIJHZp6x4ZFyDAR3Ptxhx9nrnA?authuser=0&hl=zh-TW&rclk=1
ChIJnxSESPhFyDARQjZPHmvetQY,Pan Cafe,,False,7,"Name: mhaa2 caa:seaakchiung
link: https://www.google.com/maps/search/%E1%80%99%E1%80%9F%E1%80%AC%E1%81%82+%E1%80%85%E1%80%AC%E1%80%B8%E1%80%9E%E1%80%B1%E1%80%AC%E1%80%80%E1%80%BA%E1%80%86%E1%80%AD%E1%80%AF%E1%80%84%E1%80%BA/@20.0004511,95.5292329?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: aung san moe (pan cafe
link: https://www.google.com/maps/search/aung+san+moe+%28pan+cafe/@20.001016999999997,95.5556211?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Kaung San
link: https://www.google.com/maps/search/Kaung+San/@20.004127,95.5382228?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: mkhiu mnmaathmng:chiung
link: https://www.google.com/maps/search/%E1%80%99%E1%80%81%E1%80%BB%E1%80%AD%E1%80%AF+%E1%80%99%E1%80%BC%E1%80%94%E1%80%BA%E1%80%99%E1%80%AC%E1%80%91%E1%80%99%E1%80%84%E1%80%BA%E1%80%B8%E1%80%86%E1%80%AD%E1%80%AF%E1%80%84%E1%80%BA/@20.0020533,95.54579?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Pan Cafe (Ye Zhu ),https://www.google.com/maps/contrib/108595204629694017875,https://lh5.googleusercontent.com/p/AF1QipMp8yL_0bPmY_j3j6Xa-YZ3rJTio99mn5IEnOL2=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,3.7,06:00-21:00,Open All Days,+95 9 975 222295,"Pan Cafe, tteaangpng(1)tteaangttng:kii:, tteaangttng:kii:miu'Mian Dian ",,https://www.google.com/maps/place/Pan+Cafe/data=!4m7!3m6!1s0x30c845f84884149f:0x6b5de6b1e4f3642!8m2!3d20.0016397!4d95.5464451!16s%2Fg%2F11jp1nncx8!19sChIJnxSESPhFyDARQjZPHmvetQY?authuser=0&hl=zh-TW&rclk=1
ChIJreS-07dFyDARPSNemiRW4_8,aung san moe (pan cafe,,False,4,"Name: nnyeaangpnglsngbheaasii:supchiung
link: https://www.google.com/maps/search/%E1%80%8A%E1%80%B1%E1%80%AC%E1%80%84%E1%80%BA%E1%80%95%E1%80%84%E1%80%BA%E1%80%9C%E1%80%BE%E1%80%9E%E1%80%84%E1%80%BA%E1%80%B9%E1%80%98%E1%80%B1%E1%80%AC%E1%80%9E%E1%80%AE%E1%80%B8%E1%80%9E%E1%80%AF%E1%80%95%E1%80%BA%E1%80%86%E1%80%AD%E1%80%AF%E1%80%84%E1%80%BA/@19.9768228,95.5522749?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews

Name: Pan Cafe
link: https://www.google.com/maps/search/Pan+Cafe/@20.0016397,95.5464451?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: mhaa2 caa:seaakchiung
link: https://www.google.com/maps/search/%E1%80%99%E1%80%9F%E1%80%AC%E1%81%82+%E1%80%85%E1%80%AC%E1%80%B8%E1%80%9E%E1%80%B1%E1%80%AC%E1%80%80%E1%80%BA%E1%80%86%E1%80%AD%E1%80%AF%E1%80%84%E1%80%BA/@20.0004511,95.5292329?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Kaung San
link: https://www.google.com/maps/search/Kaung+San/@20.004127,95.5382228?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Shwe Nan Taw
link: https://www.google.com/maps/search/Shwe+Nan+Taw/@19.999966099999998,95.54732829999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,aung san moe (pan cafe (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,4,,Open All Days,+95 9 975 222295,"2H24+C65 aung san moe (pan cafe, Taungdwingyi, Mian Dian ",,https://www.google.com/maps/place/aung+san+moe+%28pan+cafe/data=!4m7!3m6!1s0x30c845b7d3bee4ad:0xffe356249a5e233d!8m2!3d20.001017!4d95.5556211!16s%2Fg%2F11j7d3rmwz!19sChIJreS-07dFyDARPSNemiRW4_8?authuser=0&hl=zh-TW&rclk=1
ChIJ0Q4pge5FyDARxaHbUJmSqT8,Internet Tea Shop,,False,4,"Name: Pan Cafe
link: https://www.google.com/maps/search/Pan+Cafe/@20.0016397,95.5464451?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: aung san moe (pan cafe
link: https://www.google.com/maps/search/aung+san+moe+%28pan+cafe/@20.001016999999997,95.5556211?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: cn:srphuu (Tea&Cafe Shop )
link: https://www.google.com/maps/search/%E1%80%85%E1%80%94%E1%80%BA%E1%80%B8%E1%80%9E%E1%80%9B%E1%80%96%E1%80%B0+%28Tea%26Cafe+Shop+%29/@19.9970647,95.5483592?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Shwe Nan Taw
link: https://www.google.com/maps/search/Shwe+Nan+Taw/@19.999966099999998,95.54732829999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: miu'pttlm:
link: https://www.google.com/maps/search/%E1%80%99%E1%80%BC%E1%80%AD%E1%80%AF%E1%80%B7%E1%80%95%E1%80%90%E1%80%BA%E1%80%9C%E1%80%99%E1%80%BA%E1%80%B8/@20.0001621,95.5459298?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Internet Tea Shop (Ye Zhu ),https://www.google.com/maps/contrib/111282659899488249403,,Ka Pei Ting ,Ka Pei Ting ,3.3,,Open All Days,,"Internet Tea Shop, Ohndaw Lan, Taungdwingyi, Mian Dian ",,https://www.google.com/maps/place/Internet+Tea+Shop/data=!4m7!3m6!1s0x30c845ee81290ed1:0x3fa9929950dba1c5!8m2!3d19.9991876!4d95.5470011!16s%2Fg%2F11gvrh9lxc!19sChIJ0Q4pge5FyDARxaHbUJmSqT8?authuser=0&hl=zh-TW&rclk=1
ChIJPeMCaZ1FyDAR-NZ5EZAFjgU,Kaung San,,False,3,"Name: Pan Cafe
link: https://www.google.com/maps/search/Pan+Cafe/@20.0016397,95.5464451?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: mhaa2 caa:seaakchiung
link: https://www.google.com/maps/search/%E1%80%99%E1%80%9F%E1%80%AC%E1%81%82+%E1%80%85%E1%80%AC%E1%80%B8%E1%80%9E%E1%80%B1%E1%80%AC%E1%80%80%E1%80%BA%E1%80%86%E1%80%AD%E1%80%AF%E1%80%84%E1%80%BA/@20.0004511,95.5292329?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: aung san moe (pan cafe
link: https://www.google.com/maps/search/aung+san+moe+%28pan+cafe/@20.001016999999997,95.5556211?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: mkhiu mnmaathmng:chiung
link: https://www.google.com/maps/search/%E1%80%99%E1%80%81%E1%80%BB%E1%80%AD%E1%80%AF+%E1%80%99%E1%80%BC%E1%80%94%E1%80%BA%E1%80%99%E1%80%AC%E1%80%91%E1%80%99%E1%80%84%E1%80%BA%E1%80%B8%E1%80%86%E1%80%AD%E1%80%AF%E1%80%84%E1%80%BA/@20.0020533,95.54579?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Kaung San (Ye Zhu ),https://www.google.com/maps/contrib/113311675140082804566,https://lh5.googleusercontent.com/p/AF1QipOPjedTpJ40-hmTZgd20B1CbbT3YTUlReK_Ay9T=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,,Open All Days,,"Kaung San, 2, Taungdwingyi, Mian Dian ",,https://www.google.com/maps/place/Kaung+San/data=!4m7!3m6!1s0x30c8459d6902e33d:0x58e05901179d6f8!8m2!3d20.004127!4d95.5382228!16s%2Fg%2F11h10w0mgk!19sChIJPeMCaZ1FyDAR-NZ5EZAFjgU?authuser=0&hl=zh-TW&rclk=1
ChIJ79SvMQ5FyDAR-ildcm7YHBU,"CRUSH- Coffee , Cools & Korean Foods",,False,2,"Name: SUU Bubble Tea Shop
link: https://www.google.com/maps/search/SUU+Bubble+Tea+Shop/@20.0176908,95.5441103?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Kaung San
link: https://www.google.com/maps/search/Kaung+San/@20.004127,95.5382228?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: U Soe Cafe
link: https://www.google.com/maps/search/U+Soe+Cafe/@20.007482,95.54209879999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: ShwEUR Kant K@w
link: https://www.google.com/maps/search/Shw%E2%82%AC+Kant+K%40w/@20.0013827,95.5465388?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Shwe Yin Like Tea Shop
link: https://www.google.com/maps/search/Shwe+Yin+Like+Tea+Shop/@20.0103594,95.5456663?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,"CRUSH- Coffee , Cools & Korean Foods (Ye Zhu )",,,Ka Pei Ting ,Ka Pei Ting ,3,,Open All Days,,"2H62+X73 CRUSH- Coffee , Cools & Korean Foods, Taungdwingyi, Mian Dian ",,"https://www.google.com/maps/place/CRUSH-+Coffee+,+Cools+%26+Korean+Foods/data=!4m7!3m6!1s0x30c8450e31afd4ef:0x151cd86e725d29fa!8m2!3d20.0123977!4d95.5506636!16s%2Fg%2F11h4fjh5zy!19sChIJ79SvMQ5FyDAR-ildcm7YHBU?authuser=0&hl=zh-TW&rclk=1"
ChIJLUbKDDtFyDARECzZnUBgx_E,Ngwe Nan Soe,,False,2,"Name: mhaa2 caa:seaakchiung
link: https://www.google.com/maps/search/%E1%80%99%E1%80%9F%E1%80%AC%E1%81%82+%E1%80%85%E1%80%AC%E1%80%B8%E1%80%9E%E1%80%B1%E1%80%AC%E1%80%80%E1%80%BA%E1%80%86%E1%80%AD%E1%80%AF%E1%80%84%E1%80%BA/@20.0004511,95.5292329?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: U Soe Cafe
link: https://www.google.com/maps/search/U+Soe+Cafe/@20.007482,95.54209879999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Shwe Yin Like Tea Shop
link: https://www.google.com/maps/search/Shwe+Yin+Like+Tea+Shop/@20.0103594,95.5456663?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Amara Tea House
link: https://www.google.com/maps/search/Amara+Tea+House/@19.9993136,95.5469516?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Ngwe Nan Soe (Ye Zhu ),,,Cha Yi Guan ,Cha Yi Guan ,4.5,05:00-21:00,Open All Days,+95 63 205 0904,"2G4V+53J Ngwe Nan Soe, 2, Taungdwingyi, Mian Dian ",,https://www.google.com/maps/place/Ngwe+Nan+Soe/data=!4m7!3m6!1s0x30c8453b0cca462d:0xf1c760409dd92c10!8m2!3d20.0054547!4d95.5426518!16s%2Fg%2F11hz0tdq5y!19sChIJLUbKDDtFyDARECzZnUBgx_E?authuser=0&hl=zh-TW&rclk=1
ChIJrWuoEsY4yDARW5s8gwxA9aI,Shell Htoo,,False,2,"Name: Pan Cafe
link: https://www.google.com/maps/search/Pan+Cafe/@20.0016397,95.5464451?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: mhaa2 caa:seaakchiung
link: https://www.google.com/maps/search/%E1%80%99%E1%80%9F%E1%80%AC%E1%81%82+%E1%80%85%E1%80%AC%E1%80%B8%E1%80%9E%E1%80%B1%E1%80%AC%E1%80%80%E1%80%BA%E1%80%86%E1%80%AD%E1%80%AF%E1%80%84%E1%80%BA/@20.0004511,95.5292329?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Kaung San
link: https://www.google.com/maps/search/Kaung+San/@20.004127,95.5382228?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Sein Htet 2, Restarunt & Myanmar Beer
link: https://www.google.com/maps/search/Sein+Htet+2%2C+Restarunt+%26+Myanmar+Beer/@20.000848899999998,95.54691989999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Shell Htoo (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN-fxlEidECkLu1UdTBAil0yGBF0NYMY5yjBLrh=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4,,Open All Days,+95 9 253 609 677,"Shell Htoo, Magway-Taungdwingyi Road, Mian Dian ",,https://www.google.com/maps/place/Shell+Htoo/data=!4m7!3m6!1s0x30c838c612a86bad:0xa2f5400c833c9b5b!8m2!3d19.9773181!4d95.3684873!16s%2Fg%2F11f_trs244!19sChIJrWuoEsY4yDARW5s8gwxA9aI?authuser=0&hl=zh-TW&rclk=1
