place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJTW49OQuNw0cR87U8FJvddZQ,Action Temse,,False,1150,"Name: Colruyt Temse
link: https://www.google.com/maps/search/Colruyt+Temse/@51.128294,4.21909?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1098 reviews

Name: ALDI
link: https://www.google.com/maps/search/ALDI/@51.1265912,4.2107453?authuser=0&hl=zh-TW&entry=ttu
Reviews: 544 reviews

Name: PC ACTION
link: https://www.google.com/maps/search/PC+ACTION/@51.1273352,4.2123211?authuser=0&hl=zh-TW&entry=ttu
Reviews: 128 reviews

Name: louis delhaize
link: https://www.google.com/maps/search/louis+delhaize/@51.1306601,4.2127332?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: Kringwinkel Den Azalee
link: https://www.google.com/maps/search/Kringwinkel+Den+Azalee/@51.1284786,4.247056?authuser=0&hl=zh-TW&entry=ttu
Reviews: 87 reviews",https://www.action.com/nl-be/winkels/%3Futm_campaign%3Dlocalbusiness%26utm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_content%3D2014,Action Temse (Ye Zhu ),https://www.google.com/maps/contrib/117388461931333165664,https://lh5.googleusercontent.com/p/AF1QipPOGsifcZeBLUlRbpjq1ozRRKTAFEFoTsZcqEsw=w408-h306-k-no,Za Huo Dian ,"Za Huo Dian , Jia Ting Zhuang Xiu  DIY Bai Huo Mai Chang , Jia Dian , Li Pin Dian , Wan Ju Mo Xing Dian , Jia Ju Yong Pin Dian , Pai Dui Zhuang Shi Yong Pin Dian , Chong Wu Dian , Jiao Xue Yong Pin Dian , Pi Fa Dian ",4.1,09:00-18:00,Open All Days,+32 2 313 50 66,"Action Temse, Sint-Amelbergalaan 7, 9140 Temse, Bi Li Shi ","Jia Ge , Yuan Gong , Ting Che , Ya Li , Gong Ying , Pin Zhi , Shou Yin Ji , Ke Ren ",https://www.google.com/maps/place/Action+Temse/data=!4m7!3m6!1s0x47c38d0b393d6e4d:0x9475dd9b143cb5f3!8m2!3d51.1259442!4d4.2023604!16s%2Fg%2F12m92py9p!19sChIJTW49OQuNw0cR87U8FJvddZQ?authuser=0&hl=zh-TW&rclk=1
ChIJiYNg8RONw0cR0msdUoYIeO0,Colruyt Temse,,False,1098,"Name: Lidl
link: https://www.google.com/maps/search/Lidl/@51.1267261,4.21179?authuser=0&hl=zh-TW&entry=ttu
Reviews: 908 reviews

Name: ALDI
link: https://www.google.com/maps/search/ALDI/@51.1265912,4.2107453?authuser=0&hl=zh-TW&entry=ttu
Reviews: 544 reviews

Name: Carrefour market TEMSE
link: https://www.google.com/maps/search/Carrefour+market+TEMSE/@51.122156999999994,4.200843?authuser=0&hl=zh-TW&entry=ttu
Reviews: 135 reviews

Name: louis delhaize
link: https://www.google.com/maps/search/louis+delhaize/@51.1306601,4.2127332?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: Collect&Go
link: https://www.google.com/maps/search/Collect%26Go/@51.1285138,4.2190768?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.colruyt.be/fr/recherche-de-magasin/colruyt-temse,Colruyt Temse (Ye Zhu ),https://www.google.com/maps/contrib/117272538108014313808,https://lh5.googleusercontent.com/p/AF1QipN09gGVqmmwJiEqJ4Z0ALErmZJHu9L_btysfjtR=w533-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Ping Jia Chao Ji Shi Chang ",4.1,08:30-20:00,Xing Qi Ri ,+32 3 771 59 89,"Colruyt Temse, Vrijheidstraat 19, 9140 Temse, Bi Li Shi ","Yuan Gong , Jia Ge , Shou Yin Ji , Ya Li , Gong Ying , Ting Che , Yi Dao Cai , Pin Zhi , Ke Ren ",https://www.google.com/maps/place/Colruyt+Temse/data=!4m7!3m6!1s0x47c38d13f1608389:0xed780886521d6bd2!8m2!3d51.128294!4d4.21909!16s%2Fg%2F1tfphzrx!19sChIJiYNg8RONw0cR0msdUoYIeO0?authuser=0&hl=zh-TW&rclk=1
ChIJc8AVng2Nw0cRl4dEFc_RDk4,Lidl,,False,908,"Name: Colruyt Temse
link: https://www.google.com/maps/search/Colruyt+Temse/@51.128294,4.21909?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1098 reviews

Name: ALDI
link: https://www.google.com/maps/search/ALDI/@51.1265912,4.2107453?authuser=0&hl=zh-TW&entry=ttu
Reviews: 544 reviews

Name: AD Delhaize Temse
link: https://www.google.com/maps/search/AD+Delhaize+Temse/@51.122998499999994,4.2092274?authuser=0&hl=zh-TW&entry=ttu
Reviews: 249 reviews

Name: Carrefour market TEMSE
link: https://www.google.com/maps/search/Carrefour+market+TEMSE/@51.122156999999994,4.200843?authuser=0&hl=zh-TW&entry=ttu
Reviews: 135 reviews

Name: louis delhaize
link: https://www.google.com/maps/search/louis+delhaize/@51.1306601,4.2127332?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews",https://www.lidl.be/,Lidl (Ye Zhu ),https://www.google.com/maps/contrib/103210220308182074629,https://lh5.googleusercontent.com/p/AF1QipM8VBEvmIopZSgzpi6SDP_y7E--nT3dKW5ytJWh=w427-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Ping Jia Chao Ji Shi Chang ",4.1,08:30-20:00,Xing Qi Ri ,,"Lidl, Pastoor Boelstraat 38, 9140 Temse, Bi Li Shi ","Yuan Gong , Jia Ge , Ting Che , Shou Yin Ji , Cai , Pin Zhi , Ti Wen , Gong Ying ",https://www.google.com/maps/place/Lidl/data=!4m7!3m6!1s0x47c38d0d9e15c073:0x4e0ed1cf15448797!8m2!3d51.1267261!4d4.21179!16s%2Fg%2F1q67q96mz!19sChIJc8AVng2Nw0cRl4dEFc_RDk4?authuser=0&hl=zh-TW&rclk=1
ChIJ_TqNBHONw0cRMeUl26OxMDQ,Bistro De Zaatman,,False,725,"Name: Kaai22
link: https://www.google.com/maps/search/Kaai22/@51.123225399999995,4.2165509?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1102 reviews

Name: Bellavista ristorante
link: https://www.google.com/maps/search/Bellavista+ristorante/@51.1222801,4.2090024999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 472 reviews

Name: Brasserie De Werf
link: https://www.google.com/maps/search/Brasserie+De+Werf/@51.1245471,4.2117394?authuser=0&hl=zh-TW&entry=ttu
Reviews: 268 reviews

Name: De Steiger
link: https://www.google.com/maps/search/De+Steiger/@51.1235315,4.2161444?authuser=0&hl=zh-TW&entry=ttu
Reviews: 167 reviews

Name: Tom & Heidi's Coffee Brasserie Take Away
link: https://www.google.com/maps/search/Tom+%26+Heidi%27s+Coffee+Brasserie+Take+Away/@51.12785770000001,4.2164188?authuser=0&hl=zh-TW&entry=ttu
Reviews: 120 reviews",http://www.dezaatman.be/,Bistro De Zaatman (Ye Zhu ),https://www.google.com/maps/contrib/110886427329582309687,https://lh5.googleusercontent.com/p/AF1QipPOIqh6C5aawgbP0x07Uoj9d3PiX8KCQ7UvRJQ-=w408-h271-k-no,Xiao Can Guan  (Bistro),"Xiao Can Guan  (Bistro), Fa Shi Can Ting ",3.9,12:00-21:00,Xing Qi Er ,+32 3 711 28 51,"Bistro De Zaatman, Georges Van Dammeplein 6, 9140 Temse, Bi Li Shi ","Yuan Gong , Zao Can , Di Tu , Chu Fang , Jiao Huai , Xia Ding , Ti Wen ",https://www.google.com/maps/place/Bistro+De+Zaatman/data=!4m7!3m6!1s0x47c38d73048d3afd:0x3430b1a3db25e531!8m2!3d51.122513!4d4.20947!16s%2Fg%2F1pxwmf89d!19sChIJ_TqNBHONw0cRMeUl26OxMDQ?authuser=0&hl=zh-TW&rclk=1
ChIJv7xiTQ2Nw0cRXfjymKcMwN8,ALDI,"Fan Shou Ge Zhong Za Huo , Rou Lei He Ru Zhi Pin De Lian Suo Ling Shou Shang . ",False,544,"Name: Colruyt Temse
link: https://www.google.com/maps/search/Colruyt+Temse/@51.128294,4.21909?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1098 reviews

Name: Lidl
link: https://www.google.com/maps/search/Lidl/@51.1267261,4.21179?authuser=0&hl=zh-TW&entry=ttu
Reviews: 908 reviews

Name: AD Delhaize Temse
link: https://www.google.com/maps/search/AD+Delhaize+Temse/@51.122998499999994,4.2092274?authuser=0&hl=zh-TW&entry=ttu
Reviews: 249 reviews

Name: Carrefour market TEMSE
link: https://www.google.com/maps/search/Carrefour+market+TEMSE/@51.122156999999994,4.200843?authuser=0&hl=zh-TW&entry=ttu
Reviews: 135 reviews

Name: louis delhaize
link: https://www.google.com/maps/search/louis+delhaize/@51.1306601,4.2127332?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews",https://www.aldi.be/,ALDI (Ye Zhu ),https://www.google.com/maps/contrib/110867335371071193359,https://lh5.googleusercontent.com/p/AF1QipNr1ZwfVJDPT_3CrCD-Udbp1K6l7gByZeDd4a1c=w408-h725-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Zhi Shi Zhuan Mai Dian , Shu Guo Dian , Jiu Pin Zhuan Mai Dian ",4.1,08:30-19:00,Open All Days,,"ALDI, Paterstraat 48/50, 9140 Temse, Bi Li Shi ","Yuan Gong , Jia Ge , Shou Yin Ji , Ting Che , Pin Zhi , Ke Ren ",https://www.google.com/maps/place/ALDI/data=!4m7!3m6!1s0x47c38d0d4d62bcbf:0xdfc00ca798f2f85d!8m2!3d51.1265912!4d4.2107453!16s%2Fg%2F11c2pqlqtw!19sChIJv7xiTQ2Nw0cRXfjymKcMwN8?authuser=0&hl=zh-TW&rclk=1
ChIJGykt54yNw0cRQ6ba08uvJdI,Brasserie De Brabander,,False,522,"Name: Eetcafe 't Veer
link: https://www.google.com/maps/search/Eetcaf%C3%A9+%E2%80%98t+Veer/@51.1106334,4.175083?authuser=0&hl=zh-TW&entry=ttu
Reviews: 544 reviews

Name: Brasserie De Werf
link: https://www.google.com/maps/search/Brasserie+De+Werf/@51.1245471,4.2117394?authuser=0&hl=zh-TW&entry=ttu
Reviews: 268 reviews

Name: De Steiger
link: https://www.google.com/maps/search/De+Steiger/@51.1235315,4.2161444?authuser=0&hl=zh-TW&entry=ttu
Reviews: 167 reviews

Name: Praat- en EetCafe De Kroon
link: https://www.google.com/maps/search/Praat-+en+EetCaf%C3%A9+De+Kroon/@51.112705,4.1751043999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 145 reviews

Name: De Sonne
link: https://www.google.com/maps/search/De+Sonne/@51.124176,4.213095?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews",http://eetcafe-debrabander.be/,Brasserie De Brabander (Ye Zhu ),https://www.google.com/maps/contrib/102296605296224118684,https://lh5.googleusercontent.com/p/AF1QipO9dopqEdIV4FuxBQz1Uuno0VI7wy6ldCCKM7RY=w408-h306-k-no,Mei Shi Can Che Dian ,"Mei Shi Can Che Dian , Ka Pei Ting ",4.6,16:00-01:00,"Xing Qi Yi , Xing Qi Er ",+32 3 296 66 22,"Brasserie De Brabander, Sint-Jozefstraat 2c, 9140 Temse, Bi Li Shi ","Yuan Gong , Jia Ge , Niu Pai , Chu Fang , Can Jiu Guan , Jiao Huai ",https://www.google.com/maps/place/Brasserie+De+Brabander/data=!4m7!3m6!1s0x47c38d8ce72d291b:0xd225afcbd3daa643!8m2!3d51.1122627!4d4.1748476!16s%2Fg%2F1tfj2b2s!19sChIJGykt54yNw0cRQ6ba08uvJdI?authuser=0&hl=zh-TW&rclk=1
ChIJW8n6nw2Nw0cRhUhvXPbFQPY,bakery Wauters,,False,286,"Name: Bauer Bakkerij
link: https://www.google.com/maps/search/Bauer+Bakkerij/@51.1290665,4.2129015?authuser=0&hl=zh-TW&entry=ttu
Reviews: 108 reviews

Name: Bakkerij Bolsens
link: https://www.google.com/maps/search/Bakkerij+Bolsens/@51.125623999999995,4.215322?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews

Name: Bakery La Tartine
link: https://www.google.com/maps/search/Bakery+La+Tartine/@51.113441699999996,4.1718885?authuser=0&hl=zh-TW&entry=ttu
Reviews: 72 reviews

Name: Bakkerij Wim Vermeulen
link: https://www.google.com/maps/search/Bakkerij+Wim+Vermeulen/@51.160146,4.2063485?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Firinci-bakkerij Temse
link: https://www.google.com/maps/search/F%C4%B1r%C4%B1nc%C4%B1-bakkerij+Temse/@51.1274096,4.2174672?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews",http://www.bakkerij-wauters.be/,bakery Wauters (Ye Zhu ),https://www.google.com/maps/contrib/103612736407886817903,https://lh5.googleusercontent.com/p/AF1QipPIuS3jpas7pISqv4B8BSg980YHiITw3NC5BVux=w408-h272-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.4,07:00-18:00,Xing Qi Er ,+32 3 771 03 45,"bakery Wauters, Pastoor Boelstraat 44, 9140 Temse, Bi Li Shi ","Xia Ding , Ka Pei Dan Gao , Chan Pin , Pin Zhi , Shi Cai , Fa Guo Mian Bao , Qiao Ke Li ",https://www.google.com/maps/place/bakery+Wauters/data=!4m7!3m6!1s0x47c38d0d9ffac95b:0xf640c5f65c6f4885!8m2!3d51.1272651!4d4.211735!16s%2Fg%2F1tlbn9ky!19sChIJW8n6nw2Nw0cRhUhvXPbFQPY?authuser=0&hl=zh-TW&rclk=1
ChIJ_0hinHONw0cRDU3wbPaOPmI,AD Delhaize Temse,,False,249,"Name: ALDI
link: https://www.google.com/maps/search/ALDI/@51.1265912,4.2107453?authuser=0&hl=zh-TW&entry=ttu
Reviews: 544 reviews

Name: Delhaize Aartselaar
link: https://www.google.com/maps/search/Delhaize+Aartselaar/@51.1348838,4.3892717?authuser=0&hl=zh-TW&entry=ttu
Reviews: 503 reviews

Name: AD Delhaize Puurs
link: https://www.google.com/maps/search/AD+Delhaize+Puurs/@51.0757988,4.2794460999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 460 reviews

Name: Carrefour market TEMSE
link: https://www.google.com/maps/search/Carrefour+market+TEMSE/@51.122156999999994,4.200843?authuser=0&hl=zh-TW&entry=ttu
Reviews: 135 reviews

Name: louis delhaize
link: https://www.google.com/maps/search/louis+delhaize/@51.1306601,4.2127332?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews",https://addelhaize-temse.be/,AD Delhaize Temse (Ye Zhu ),https://www.google.com/maps/contrib/108376232617979029470,https://lh5.googleusercontent.com/p/AF1QipPYtCFbjjgFdiR7Gf-zg-niPc5yudtZnLGzIlj6=w408-h725-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Mian Bao Xi Bing Dian , Rou Fan , Shou Shi Leng Rou Zhuan Mai Dian , Yu Fan , Shu Guo Dian , Shang Dian ",4.1,08:00-19:00,Open All Days,+32 3 711 22 22,"AD Delhaize Temse, Philippe Saveryslaan 2, 9140 Temse, Bi Li Shi ","Yuan Gong , Gong Ying , Ke Ren , Rou ",https://www.google.com/maps/place/AD+Delhaize+Temse/data=!4m7!3m6!1s0x47c38d739c6248ff:0x623e8ef66cf04d0d!8m2!3d51.1229985!4d4.2092274!16s%2Fg%2F1pxwhcy0s!19sChIJ_0hinHONw0cRDU3wbPaOPmI?authuser=0&hl=zh-TW&rclk=1
ChIJOxhdfvaMw0cRgJWx0snzVq0,The Falcon,,False,149,"Name: Hoogpoort
link: https://www.google.com/maps/search/Hoogpoort/@51.1248526,4.214341999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 355 reviews

Name: Lindenhof
link: https://www.google.com/maps/search/Lindenhof/@51.138861999999996,4.221604?authuser=0&hl=zh-TW&entry=ttu
Reviews: 152 reviews

Name: Praat- en EetCafe De Kroon
link: https://www.google.com/maps/search/Praat-+en+EetCaf%C3%A9+De+Kroon/@51.112705,4.1751043999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 145 reviews

Name: Fretalop
link: https://www.google.com/maps/search/Fretalop/@51.1238594,4.2225228999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 99 reviews",https://thefalcon.business.site/?utm_source=gmb&utm_medium=referral,The Falcon (Ye Zhu ),https://www.google.com/maps/contrib/111274299468662701605,https://lh5.googleusercontent.com/p/AF1QipN3qd0y3IpdOUAvEFuaRrbkmm0D3h4n6e--NScU=w408-h536-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,11:00-00:00,"Xing Qi Er , Xing Qi San ",+32 471 68 85 37,"The Falcon, Velle 141, 9140 Temse, Bi Li Shi ","Pi Jiu , Chu Fang ",https://www.google.com/maps/place/The+Falcon/data=!4m7!3m6!1s0x47c38cf67e5d183b:0xad56f3c9d2b19580!8m2!3d51.1611317!4d4.2086623!16s%2Fg%2F11cfhgs2_!19sChIJOxhdfvaMw0cRgJWx0snzVq0?authuser=0&hl=zh-TW&rclk=1
ChIJoY8JUhKNw0cRANt9BUtMp-U,Claire,,False,146,"Name: Bauer Bakkerij
link: https://www.google.com/maps/search/Bauer+Bakkerij/@51.1290665,4.2129015?authuser=0&hl=zh-TW&entry=ttu
Reviews: 108 reviews

Name: Fanny
link: https://www.google.com/maps/search/Fanny/@51.121242599999995,4.196661199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 105 reviews

Name: Bakkerij Anne
link: https://www.google.com/maps/search/Bakkerij+Ann%C3%A9/@51.112777799999996,4.177378?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews

Name: Firinci-bakkerij Temse
link: https://www.google.com/maps/search/F%C4%B1r%C4%B1nc%C4%B1-bakkerij+Temse/@51.1274096,4.2174672?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews",http://www.bakkerijclaire.be/,Claire (Ye Zhu ),https://www.google.com/maps/contrib/113456095617376678425,https://lh5.googleusercontent.com/p/AF1QipM1K0_hWDXc-iitXSH1O7gcnRmz6r6RyA6wTUcH=w532-h240-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.4,06:30-16:00,Open All Days,+32 3 771 99 58,"Claire, Burg, Burgem. Achiel Heymanstraat 97, 9140 Temse, Bi Li Shi ","Bing Qi Lin , Pin Zhi ",https://www.google.com/maps/place/Claire/data=!4m7!3m6!1s0x47c38d1252098fa1:0xe5a74c4b057ddb00!8m2!3d51.1162085!4d4.1852388!16s%2Fg%2F11cm5tth4z!19sChIJoY8JUhKNw0cRANt9BUtMp-U?authuser=0&hl=zh-TW&rclk=1
