place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJcUBJu8EJxkcRBYpeeTwA67M,The Seafood Bar,,False,9675,"Name: Pesca Amsterdam
link: https://www.google.com/maps/search/Pesca+Amsterdam/@52.372763,4.8788041?authuser=0&hl=nl&entry=ttu
Reviews: 2736 reviews

Name: Lucius Visrestaurant
link: https://www.google.com/maps/search/Lucius+Visrestaurant/@52.370760999999995,4.889332?authuser=0&hl=nl&entry=ttu
Reviews: 686 reviews

Name: Brut de mer
link: https://www.google.com/maps/search/Brut+de+mer/@52.3557834,4.8925605999999995?authuser=0&hl=nl&entry=ttu
Reviews: 547 reviews",http://www.theseafoodbar.com/,The Seafood Bar (eigenaar),https://www.google.com/maps/contrib/117476355848007230606,https://lh5.googleusercontent.com/p/AF1QipN806XAl_PMIaC-YJZt5cYHCZr4woQ8iiSVnl5f=w408-h251-k-no,Visrestaurant,"Visrestaurant, Bar",4.6,12:00-23:00,Open All Days,+31 20 233 7452,"The Seafood Bar, Spui 15, 1012 WX Amsterdam, Nederland","mixed grill, kibbeling, tarbot, plateau, scroppino",https://www.google.com/maps/place/The+Seafood+Bar/data=!4m7!3m6!1s0x47c609c1bb494071:0xb3eb003c795e8a05!8m2!3d52.3686958!4d4.8906118!16s%2Fg%2F11b7hfp3f2!19sChIJcUBJu8EJxkcRBYpeeTwA67M?authuser=0&hl=nl&rclk=1
ChIJD1CGMRSnlkcRHWQB2BVy1ic,E.Leclerc MARMOUTIER,,False,3850,"Name: E.Leclerc WASSELONNE
link: https://www.google.com/maps/search/E.Leclerc+WASSELONNE/@48.6461623,7.4544730999999995?authuser=0&hl=nl&entry=ttu
Reviews: 2207 reviews

Name: Lidl
link: https://www.google.com/maps/search/Lidl/@48.7066255,7.3724954?authuser=0&hl=nl&entry=ttu
Reviews: 1127 reviews

Name: E.Leclerc DRIVE Monswiller
link: https://www.google.com/maps/search/E.Leclerc+DRIVE+Monswiller/@48.740728399999995,7.3900486?authuser=0&hl=nl&entry=ttu
Reviews: 296 reviews

Name: Leclerc - station carburants
link: https://www.google.com/maps/search/Leclerc+-+station+carburants/@48.697817199999996,7.376358799999998?authuser=0&hl=nl&entry=ttu
Reviews: 86 reviews

Name: E.Leclerc TRAITEUR Marmoutier
link: https://www.google.com/maps/search/E.Leclerc+TRAITEUR+Marmoutier/@48.683330299999994,7.3207982000000005?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",https://e.leclerc/mag/e-leclerc-marmoutier,E.Leclerc MARMOUTIER (eigenaar),https://www.google.com/maps/contrib/104634078170598745909,https://lh5.googleusercontent.com/p/AF1QipObUoOkVmK3uh10hynEk7Q1qjH-odZqQp3KP0rt=w408-h544-k-no,Supermarkt,"Supermarkt, Winkel huishoudapparatuur, Bakkerij, Slagersdelicatessezaak, Zuivel, Viswinkel, Versmarkt, Fruit- en groentewinkel, Kruidenier, Hypermarkt, Biologische kruidenier",4,08:00-20:00,Open All Days,+33 3 88 71 64 00,"E.Leclerc MARMOUTIER, Rue de Saverne, 67440 Marmoutier, Frankrijk","straal, renovatie, kantine, winkelcentrum, hypermarkt, distributiekanaal, tankstation, tv, kassabon",https://www.google.com/maps/place/E.Leclerc+MARMOUTIER/data=!4m7!3m6!1s0x4796a7143186500f:0x27d67215d801641d!8m2!3d48.701442!4d7.372818!16s%2Fg%2F1tfc0z8m!19sChIJD1CGMRSnlkcRHWQB2BVy1ic?authuser=0&hl=nl&rclk=1
ChIJIyhE7ywbdkgRMSlLC6ZZohc,East Street by Tampopo Fitzrovia,,False,2192,"Name: Banana Tree Soho
link: https://www.google.com/maps/search/Banana+Tree+Soho/@51.5130993,-0.1338646?authuser=0&hl=nl&entry=ttu
Reviews: 5185 reviews

Name: Yuu Kitchen Aldgate East
link: https://www.google.com/maps/search/Yuu+Kitchen+Aldgate+East/@51.516380299999994,-0.07292359999999999?authuser=0&hl=nl&entry=ttu
Reviews: 1007 reviews

Name: Thai Metro
link: https://www.google.com/maps/search/Thai+Metro/@51.5192425,-0.1353502?authuser=0&hl=nl&entry=ttu
Reviews: 841 reviews

Name: MBER
link: https://www.google.com/maps/search/MBER/@51.510537,-0.08543099999999999?authuser=0&hl=nl&entry=ttu
Reviews: 731 reviews

Name: Patara Fine Thai Cuisine Oxford Circus
link: https://www.google.com/maps/search/Patara+Fine+Thai+Cuisine+Oxford+Circus/@51.5133976,-0.1414643?authuser=0&hl=nl&entry=ttu
Reviews: 727 reviews",https://www.tampopo.co.uk/fitzrovia,East Street by Tampopo Fitzrovia (eigenaar),https://www.google.com/maps/contrib/113742537587528050420,https://lh5.googleusercontent.com/p/AF1QipMYdlpa0SyHUfxT2DM_uO5IvRtjFEYidciq8E_i=w408-h272-k-no,Pan-Aziatisch restaurant,"Pan-Aziatisch restaurant, Aziatisch restaurant, Indonesisch restaurant, Japans restaurant, Maleisisch restaurant, Singaporees restaurant, Thais restaurant, Vietnamees restaurant",4.5,10:30-23:00,Open All Days,+44 20 7323 0860,"East Street by Tampopo Fitzrovia, 3-5 Rathbone Pl, London W1T 1HJ, Verenigd Koninkrijk","brunch, nasi, happy hour, laksa, vietnamese ijskoffie, rendang, anime, pad krapow, maisbeignet, smiley",https://www.google.com/maps/place/East+Street+by+Tampopo+Fitzrovia/data=!4m7!3m6!1s0x48761b2cef442823:0x17a259a60b4b2931!8m2!3d51.5166175!4d-0.1329642!16s%2Fg%2F1hc6wggdx!19sChIJIyhE7ywbdkgRMSlLC6ZZohc?authuser=0&hl=nl&rclk=1
ChIJBXAl50kne0gR7E5OW8R5L18,The Refreshment Rooms,,False,1983,"Name: Anchor Inn Wirral
link: https://www.google.com/maps/search/Anchor+Inn+Wirral/@53.3517945,-3.1201882?authuser=0&hl=nl&entry=ttu
Reviews: 954 reviews

Name: 107 Dining Room
link: https://www.google.com/maps/search/107+Dining+Room/@53.3272694,-3.0968166999999998?authuser=0&hl=nl&entry=ttu
Reviews: 748 reviews

Name: Travellers Rest
link: https://www.google.com/maps/search/Travellers+Rest/@53.3537179,-3.0309570999999997?authuser=0&hl=nl&entry=ttu
Reviews: 456 reviews

Name: The Stork Hotel
link: https://www.google.com/maps/search/The+Stork+Hotel/@53.3938303,-3.0198460999999996?authuser=0&hl=nl&entry=ttu
Reviews: 182 reviews",https://www.refreshmentrooms.com/,The Refreshment Rooms (eigenaar),https://www.google.com/maps/contrib/117091098645167305909,https://lh5.googleusercontent.com/p/AF1QipNcR0mVfNhVHjQSkOM3PVpIV1AVpWVZ7jp_Iu0T=w408-h240-k-no-pi-0-ya257-ro0-fo100,Restaurant,"Restaurant, Bistro, Ontbijtrestaurant, Brits restaurant, Cafe, Glutenvrij restaurant, Pizzeria, Veganistisch restaurant, Vegetarisch restaurant, Trouwlocatie",4.7,12:00-23:00,Open All Days,+44 151 644 5893,"The Refreshment Rooms, 2 Bedford Rd E, Birkenhead CH42 1LS, Verenigd Koninkrijk","pub, sunday roast, ribs, cask ale, rivier, biergarten, steak & kidney pie, ferry",https://www.google.com/maps/place/The+Refreshment+Rooms/data=!4m7!3m6!1s0x487b2749e7257005:0x5f2f79c45b4e4eec!8m2!3d53.374218!4d-3.0024272!16s%2Fg%2F11gzchx5b!19sChIJBXAl50kne0gR7E5OW8R5L18?authuser=0&hl=nl&rclk=1
ChIJZ8aAttMEdkgRFtcdGcvlzV4,C & R Cafe Restaurant,,False,1694,"Name: Roti King
link: https://www.google.com/maps/search/Roti+King/@51.5290963,-0.1319957?authuser=0&hl=nl&entry=ttu
Reviews: 4310 reviews

Name: Rasa Sayang Restaurant
link: https://www.google.com/maps/search/Rasa+Sayang+Restaurant/@51.512017,-0.1314571?authuser=0&hl=nl&entry=ttu
Reviews: 3140 reviews

Name: Tukdin
link: https://www.google.com/maps/search/Tukdin/@51.513453999999996,-0.17923319999999998?authuser=0&hl=nl&entry=ttu
Reviews: 1477 reviews

Name: Laksamania
link: https://www.google.com/maps/search/Laksamania/@51.5163726,-0.13503869999999998?authuser=0&hl=nl&entry=ttu
Reviews: 1333 reviews

Name: Laxsa Soho
link: https://www.google.com/maps/search/Laxsa+Soho/@51.512911499999994,-0.1317324?authuser=0&hl=nl&entry=ttu
Reviews: 577 reviews",https://www.cnrcaferestaurant.com/,C & R Cafe Restaurant (eigenaar),https://www.google.com/maps/contrib/105998239177940925960,https://lh5.googleusercontent.com/p/AF1QipPDMZld61Vnp3VnC-n-s5gtnS6ZjwkWOVz6S8Oc=w408-h306-k-no,Maleisisch restaurant,"Maleisisch restaurant, Aziatisch restaurant, Cafe, Restaurant, Zuidoost-Aziatisch restaurant",4.1,12:00-22:00,maandag,+44 20 7434 1128,"C & R Cafe Restaurant, 4-5 Rupert Ct, London W1D 6DY, Verenigd Koninkrijk","laksa, singaporese keuken, queue, heffing, bak kut teh, steeg, chinatown, hart",https://www.google.com/maps/place/C+%26+R+Cafe+Restaurant/data=!4m7!3m6!1s0x487604d3b680c667:0x5ecde5cb191dd716!8m2!3d51.5111876!4d-0.1323559!16s%2Fg%2F11z72k2xh!19sChIJZ8aAttMEdkgRFtcdGcvlzV4?authuser=0&hl=nl&rclk=1
ChIJ0dPgdHeZmkcR8nNMrUZQtEQ,Restaurant National,,False,1225,"Name: Brauhaus Winterthur
link: https://www.google.com/maps/search/Brauhaus+Winterthur/@47.498618,8.72604?authuser=0&hl=nl&entry=ttu
Reviews: 831 reviews

Name: Bloom
link: https://www.google.com/maps/search/Bloom/@47.5010194,8.732361299999999?authuser=0&hl=nl&entry=ttu
Reviews: 721 reviews

Name: Restaurant zur Sonne AG Winterthur
link: https://www.google.com/maps/search/Restaurant+zur+Sonne+AG+Winterthur/@47.499683399999995,8.7298135?authuser=0&hl=nl&entry=ttu
Reviews: 617 reviews

Name: Nachbarsgarten
link: https://www.google.com/maps/search/Nachbarsgarten/@47.505847499999994,8.7193974?authuser=0&hl=nl&entry=ttu
Reviews: 286 reviews

Name: Hotel und Restaurant Taverne zum Kreuz
link: https://www.google.com/maps/search/Hotel+und+Restaurant+Taverne+zum+Kreuz/@47.500739499999995,8.7266315?authuser=0&hl=nl&entry=ttu
Reviews: 37 reviews",http://national-winterthur.ch/,Restaurant National (eigenaar),https://www.google.com/maps/contrib/113429406355225399450,https://lh5.googleusercontent.com/p/AF1QipPT7ow6DhR9HKPthIHjIfERx3rt_vFpHO_942JE=w408-h272-k-no,Mediterraans restaurant,"Mediterraans restaurant, Eetzaal, Bar, Brunchrestaurant, Cafe, Restaurant, Zwitsers restaurant",4.2,09:00-22:30,Open All Days,+41 52 212 24 24,"Restaurant National, Stadthausstrasse 24, 8400 Winterthur, Zwitserland","brunch, station, tartaar, serre, gasten, bezoek, zurcher geschnetzeltes, rosti",https://www.google.com/maps/place/Restaurant+National/data=!4m7!3m6!1s0x479a997774e0d3d1:0x44b45046ad4c73f2!8m2!3d47.4997246!4d8.7241413!16s%2Fg%2F1t_tj7ym!19sChIJ0dPgdHeZmkcR8nNMrUZQtEQ?authuser=0&hl=nl&rclk=1
ChIJt6rfVrRXz0cRSgqBOXT02gE,Proeflokaal de Boom,"Museum in een voormalige brouwerij, met historische werktuigen voor het maken van bier en antieke flessen.",False,1223,"Name: Proeflokaal De Kleine Deugniet
link: https://www.google.com/maps/search/Proeflokaal+De+Kleine+Deugniet/@52.632360299999995,4.746868?authuser=0&hl=nl&entry=ttu
Reviews: 471 reviews

Name: Cafe Jong Belegen
link: https://www.google.com/maps/search/Caf%C3%A9+Jong+Belegen/@52.631239,4.749772999999999?authuser=0&hl=nl&entry=ttu
Reviews: 184 reviews

Name: Cafe De Zaak
link: https://www.google.com/maps/search/Caf%C3%A9+De+Zaak/@52.6319157,4.750094799999999?authuser=0&hl=nl&entry=ttu
Reviews: 117 reviews

Name: De Bierkelder Alkmaar
link: https://www.google.com/maps/search/De+Bierkelder+Alkmaar/@52.6296871,4.7503928?authuser=0&hl=nl&entry=ttu
Reviews: 23 reviews",http://www.proeflokaaldeboom.nl/,Proeflokaal de Boom (eigenaar),https://www.google.com/maps/contrib/104295756332956676315,https://lh5.googleusercontent.com/p/AF1QipNVD2QnkiW2P-ZnJg1jBVN1RPH3sJfOh8DJ5Fzi=w408-h272-k-no,Cafe,"Cafe, Cafetaria",4.5,13:00-00:00,Open All Days,+31 72 511 5547,"Proeflokaal de Boom, Houttil 1, 1811 JL Alkmaar, Nederland","bier, personeel, gezellig, museum, fles, druk, hapjes, gracht, borrel, bitterballen",https://www.google.com/maps/place/Proeflokaal+de+Boom/data=!4m7!3m6!1s0x47cf57b456dfaab7:0x1daf47439810a4a!8m2!3d52.632267!4d4.7507899!16s%2Fg%2F1tgfvwwc!19sChIJt6rfVrRXz0cRSgqBOXT02gE?authuser=0&hl=nl&rclk=1
ChIJ5Z8wGeMTm0cR0VCgoUjXf2Y,McDonald's,"Klassieke, langbestaande fastfoodketen bekend om zijn burgers en friet.",False,1180,"Name: McDonald's Lustenau
link: https://www.google.com/maps/search/McDonald%27s+Lustenau/@47.418093999999996,9.671861999999999?authuser=0&hl=nl&entry=ttu
Reviews: 2808 reviews

Name: Pizzeria da Franco
link: https://www.google.com/maps/search/Pizzeria+da+Franco/@47.452214,9.636326?authuser=0&hl=nl&entry=ttu
Reviews: 292 reviews

Name: Emil
link: https://www.google.com/maps/search/Emil/@47.4478642,9.6294348?authuser=0&hl=nl&entry=ttu
Reviews: 230 reviews

Name: Dino Fresh & Hot
link: https://www.google.com/maps/search/Dino+Fresh+%26+Hot/@47.4523152,9.6371595?authuser=0&hl=nl&entry=ttu
Reviews: 98 reviews

Name: Burger King
link: https://www.google.com/maps/search/Burger+King/@47.460842,9.602817600000002?authuser=0&hl=nl&entry=ttu
Reviews: 87 reviews",https://www.mcdonalds.ch/de/restaurants/st-margrethen%3Futm_source%3Dgoogle%26utm_medium%3DYext%26utm_campaign%3D780067,McDonald's (eigenaar),https://www.google.com/maps/contrib/114803545710873773408,https://lh5.googleusercontent.com/p/AF1QipMII6RZpNcLTAQDc5B7jjlUIJmUTwW3IRoWNyCK=w426-h240-k-no,Restaurant,"Restaurant, Cafe, Snackbar, Hamburgerrestaurant",3.8,09:00-22:00,Open All Days,+41 71 744 81 81,"McDonald's, Neugrutstrasse 1, 9430 St. Margrethen, Zwitserland","burger, klantenservice, koffie, toilet, filiaal, drive in, mcflurry, corona",https://www.google.com/maps/place/McDonald%E2%80%99s/data=!4m7!3m6!1s0x479b13e319309fe5:0x667fd748a1a050d1!8m2!3d47.4472811!4d9.6531518!16s%2Fg%2F1hc3sxf45!19sChIJ5Z8wGeMTm0cR0VCgoUjXf2Y?authuser=0&hl=nl&rclk=1
ChIJ7Qry63jEw0cRDdr8jb9VRPc,Yaki,,False,961,"Name: Restaurant Kabuki
link: https://www.google.com/maps/search/Restaurant+Kabuki/@50.848832,4.350893?authuser=0&hl=nl&entry=ttu
Reviews: 2723 reviews

Name: Fanny Thai
link: https://www.google.com/maps/search/Fanny+Thai/@50.8481435,4.348004500000001?authuser=0&hl=nl&entry=ttu
Reviews: 1651 reviews

Name: Yi Chan
link: https://www.google.com/maps/search/Yi+Chan/@50.8483009,4.3486132?authuser=0&hl=nl&entry=ttu
Reviews: 1088 reviews

Name: Siam Square, Authentic Thai Issan Food
link: https://www.google.com/maps/search/Siam+Square%2C+Authentic+Thai+Issan+Food/@50.8484367,4.3478084?authuser=0&hl=nl&entry=ttu
Reviews: 377 reviews

Name: Thaimo Thai Food
link: https://www.google.com/maps/search/Thaimo+Thai+Food/@50.853582499999995,4.3547098?authuser=0&hl=nl&entry=ttu
Reviews: 271 reviews",https://yakigdplace.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Yaki (eigenaar),https://www.google.com/maps/contrib/101563335248751573366,https://lh5.googleusercontent.com/p/AF1QipNwYd3BMi7cTPYYrMCK0eAErPM9JCznd82TXQxC=w408-h544-k-no,Thais restaurant,Thais restaurant,4.1,12:00-23:00,Open All Days,02 503 34 09,"Yaki, Rue du Midi 52, 1000 Bruxelles","vietnamese keuken, cash, pho, gangen, nem ran, tourist",https://www.google.com/maps/place/Yaki/data=!4m7!3m6!1s0x47c3c478ebf20aed:0xf74455bf8dfcda0d!8m2!3d50.8464435!4d4.3501499!16s%2Fg%2F1w345sb_!19sChIJ7Qry63jEw0cRDdr8jb9VRPc?authuser=0&hl=nl&rclk=1
ChIJ8zJX7k6j2EcRlgkAh1VNlFk,Orange Tree Pub & Dining,,False,901,"Name: Goose Romford
link: https://www.google.com/maps/search/Goose+Romford/@51.5747127,0.1838967?authuser=0&hl=nl&entry=ttu
Reviews: 1781 reviews

Name: The New Boar Abridge
link: https://www.google.com/maps/search/The+New+Boar+Abridge/@51.650968,0.11784889999999999?authuser=0&hl=nl&entry=ttu
Reviews: 653 reviews

Name: The Rabbits Pub and Restaurant
link: https://www.google.com/maps/search/The+Rabbits+Pub+and+Restaurant/@51.648365999999996,0.168753?authuser=0&hl=nl&entry=ttu
Reviews: 585 reviews

Name: Aspen Tree
link: https://www.google.com/maps/search/Aspen+Tree/@51.600344899999996,0.1771226?authuser=0&hl=nl&entry=ttu
Reviews: 515 reviews

Name: Top Oak Restaurant & Pub Essex Venue Hire Stapleford Abbotts
link: https://www.google.com/maps/search/Top+Oak+Restaurant+%26+Pub+Essex+Venue+Hire+Stapleford+Abbotts/@51.6282831,0.18270309999999998?authuser=0&hl=nl&entry=ttu
Reviews: 462 reviews",http://www.orangetreeromford.co.uk/,Orange Tree Pub & Dining (eigenaar),https://www.google.com/maps/contrib/105961635344314697378,https://lh5.googleusercontent.com/p/AF1QipPaXGmI4nlw2RiNHCxr53B1I4YI0ViFeCfGvRbt=w408-h272-k-no,Cafe,"Cafe, Bar, Koffiebar, Eetcafe, Restaurant",4.3,12:00-23:00,Open All Days,+44 1708 752739,"Orange Tree Pub & Dining, Havering-atte-Bower, Romford RM4 1PJ, Verenigd Koninkrijk","lunch, sunday roast, tuin, voedsel- en drankservice, parkeren, waarde, aardappelen, lamsvlees, hors-d'oeuvre, land",https://www.google.com/maps/place/Orange+Tree+Pub+%26+Dining/data=!4m7!3m6!1s0x47d8a34eee5732f3:0x59944d5587000996!8m2!3d51.613661!4d0.1810383!16s%2Fg%2F1v_z84sy!19sChIJ8zJX7k6j2EcRlgkAh1VNlFk?authuser=0&hl=nl&rclk=1
