place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJF-pLc6vkQDERK-XF3CCkMqI,Drops Thuong Huyen,,False,79,"Name: Cafe Chieu Tim
link: https://www.google.com/maps/search/Cafe+Chi%E1%BB%81u+T%C3%ADm/@16.741944399999998,107.19138889999999?authuser=0&hl=en&entry=ttu
Reviews: 114 reviews

Name: ALOHA coffee
link: https://www.google.com/maps/search/ALOHA+coffee/@16.741309299999998,107.1913263?authuser=0&hl=en&entry=ttu
Reviews: 8 reviews

Name: Coffee Hoang Gia
link: https://www.google.com/maps/search/Coffee+Ho%C3%A0ng+Gia/@16.743385099999998,107.189595?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews",https://www.facebook.com/GiotThuongHuyen2000,Drops Thuong Huyen (Owner),https://www.google.com/maps/contrib/101464529283080148878,https://lh5.googleusercontent.com/p/AF1QipNnlzKiQlKvhBmt_ladn9DEMocNg-HI3pU2Vir-=w426-h240-k-no,Cafe,Cafe,4.3,6 AM-9 PM,Open All Days,+84 935 430 544,"Drops Thuong Huyen, 80 Hai Ba Trung, Phuong 3, Quang Tri, 523700, Vietnam",,https://www.google.com/maps/place/Drops+Thuong+Huyen/data=!4m7!3m6!1s0x3140e4ab734bea17:0xa232a420dcc5e52b!8m2!3d16.7460109!4d107.1910392!16s%2Fg%2F11b6xgzht7!19sChIJF-pLc6vkQDERK-XF3CCkMqI?authuser=0&hl=en&rclk=1
ChIJCbdxcp7lQDERTeRFCO46xTI,HUVI SQUARE,,False,75,"Name: Coffee Hoang Gia
link: https://www.google.com/maps/search/Coffee+Ho%C3%A0ng+Gia/@16.743385099999998,107.189595?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews

Name: Trieu Phong
link: https://www.google.com/maps/search/Tri%E1%BB%87u+Phong/@16.7933414,107.13327869999999?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: Ca phe gia vien
link: https://www.google.com/maps/search/C%C3%A0+ph%C3%AA+gia+vi%C3%AAn/@16.764502399999998,107.1921684?authuser=0&hl=en&entry=ttu
Reviews: 3 reviews

Name: 1992 COFFEE & MILKTEA
link: https://www.google.com/maps/search/1992+COFFEE+%26+MILKTEA/@16.763163199999997,107.170822?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",http://facebook.com/huvisquare,HUVI SQUARE (Owner),https://www.google.com/maps/contrib/108973185672812226640,https://lh5.googleusercontent.com/p/AF1QipOEuklUuAOTV-4Tnz3rGZvwGsILJ7qVJgaZwtFh=w408-h306-k-no,Coffee shop,"Coffee shop, Restaurant",4.3,6:30 AM-10:30 PM,Open All Days,+84 945 061 290,"HUVI SQUARE, QL1A, Nhan Bieu 2, Trieu Phong, Quang Tri, Vietnam",,https://www.google.com/maps/place/HUVI+SQUARE/data=!4m7!3m6!1s0x3140e59e7271b709:0x32c53aee0845e44d!8m2!3d16.7508812!4d107.1779858!16s%2Fg%2F11j5bp3wkf!19sChIJCbdxcp7lQDERTeRFCO46xTI?authuser=0&hl=en&rclk=1
ChIJFbF_7onlQDERqkP-QmLSQco,Retro Coffee - Xuong cafe rang xay,,False,57,"Name: CAMON COFFEE
link: https://www.google.com/maps/search/CAMON+COFFEE/@16.813141299999998,107.1023573?authuser=0&hl=en&entry=ttu
Reviews: 225 reviews

Name: Nhu's coffee
link: https://www.google.com/maps/search/Nh%C6%B0%E2%80%99s+coffee/@16.8126332,107.10154179999999?authuser=0&hl=en&entry=ttu
Reviews: 74 reviews

Name: The Rustic Coffee
link: https://www.google.com/maps/search/The+Rustic+Coffee/@16.8122965,107.1014472?authuser=0&hl=en&entry=ttu
Reviews: 63 reviews

Name: Cafe Xom nho
link: https://www.google.com/maps/search/Cafe+X%C3%B3m+nh%E1%BB%8F/@16.8106398,107.0965726?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews",http://retrocoffee.vn/,Retro Coffee - Xuong cafe rang xay (Owner),https://www.google.com/maps/contrib/106296160596210780229,https://lh5.googleusercontent.com/p/AF1QipPERGCSBirHh_bQdhCUWEs6E-kLGm_0AIMy89_a=w408-h272-k-no,Coffee shop,"Coffee shop, Coffee machine supplier",4.1,6 AM-10:30 PM,Open All Days,+84 935 833 385,"Retro Coffee - Xuong cafe rang xay, 49 Ngo Quyen, Phuong 5, Dong Ha, Quang Tri, Vietnam",,https://www.google.com/maps/place/Retro+Coffee+-+X%C6%B0%E1%BB%9Fng+cafe+rang+xay/data=!4m7!3m6!1s0x3140e589ee7fb115:0xca41d26242fe43aa!8m2!3d16.8125062!4d107.1023348!16s%2Fg%2F11f086_86q!19sChIJFbF_7onlQDERqkP-QmLSQco?authuser=0&hl=en&rclk=1
ChIJG8kzzqXkQDERpq4LuiIP6DY,Cafe Dong Que,,False,49,"Name: Queen Coffee
link: https://www.google.com/maps/search/Queen+Coffee/@16.7466999,107.186405?authuser=0&hl=en&entry=ttu
Reviews: 31 reviews

Name: cafe EVA
link: https://www.google.com/maps/search/cafe+EVA/@16.7353461,107.1910273?authuser=0&hl=en&entry=ttu
Reviews: 7 reviews

Name: House Coffee
link: https://www.google.com/maps/search/House+Coffee/@16.7470245,107.18811029999999?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews",https://cafedongque.business.site/,Cafe Dong Que (Owner),https://www.google.com/maps/contrib/100078091040580918596,https://lh5.googleusercontent.com/p/AF1QipOSQl0nH-_-Aahq16FC4kzYuhh81f8JKVwQ36E5=w408-h272-k-no,Espresso bar,Espresso bar,4.3,6 AM-11 PM,Open All Days,+84 947 784 123,"Cafe Dong Que, 7/16 Le Hong Phong, Phuong 3, Quang Tri, Vietnam",,https://www.google.com/maps/place/Cafe+%C4%90%E1%BB%93ng+Qu%C3%AA/data=!4m7!3m6!1s0x3140e4a5ce33c91b:0x36e80f22ba0baea6!8m2!3d16.7459745!4d107.1860132!16s%2Fg%2F11ddxn0c16!19sChIJG8kzzqXkQDERpq4LuiIP6DY?authuser=0&hl=en&rclk=1
ChIJg6ec6a_kQDER9xM39L-TiXg,Coffee Green,,False,13,"Name: Cafe Chieu Tim
link: https://www.google.com/maps/search/Cafe+Chi%E1%BB%81u+T%C3%ADm/@16.741944399999998,107.19138889999999?authuser=0&hl=en&entry=ttu
Reviews: 114 reviews

Name: Ca Phe Song Xanh
link: https://www.google.com/maps/search/C%C3%A0+Ph%C3%AA+S%C3%B4ng+Xanh/@16.753839799999998,107.1850856?authuser=0&hl=en&entry=ttu
Reviews: 107 reviews

Name: Ca Phe Song Trach
link: https://www.google.com/maps/search/C%C3%A0+Ph%C3%AA+S%C3%B4ng+Tr%E1%BA%A1ch/@16.753878,107.1850978?authuser=0&hl=en&entry=ttu
Reviews: 13 reviews

Name: Cafe Trinh
link: https://www.google.com/maps/search/Cafe+Trinh/@16.7531914,107.18521559999999?authuser=0&hl=en&entry=ttu
Reviews: 9 reviews

Name: Ca Phe Du Am
link: https://www.google.com/maps/search/C%C3%A0+Ph%C3%AA+D%C6%B0+%C3%82m/@16.7539858,107.18513619999999?authuser=0&hl=en&entry=ttu
Reviews: 3 reviews",https://www.facebook.com/Green-Coffee-2045265389041170/,Coffee Green (Owner),https://www.google.com/maps/contrib/111275618098451492464,https://lh5.googleusercontent.com/p/AF1QipPdiH110iNW0sPy_jAbAM_NDaWtm17IhaSn-WaC=w427-h240-k-no,Cafe,Cafe,4.2,6:30 AM-10:30 PM,Open All Days,+84 948 978 123,"Coffee Green, Green Cofee, 55 Ngo Quyen, Phuong 2, Quang Tri, Vietnam",,https://www.google.com/maps/place/Coffee+Green/data=!4m7!3m6!1s0x3140e4afe99ca783:0x788993bff43713f7!8m2!3d16.7538431!4d107.1850877!16s%2Fg%2F11gg65jlvb!19sChIJg6ec6a_kQDER9xM39L-TiXg?authuser=0&hl=en&rclk=1
ChIJg9apnd7lQDERUQc4jawuEi8,Coffee TIME,,False,12,"Name: Home is Dang coffee shop
link: https://www.google.com/maps/search/Home+is+Dang+coffee+shop/@16.8138893,107.1045592?authuser=0&hl=en&entry=ttu
Reviews: 27 reviews

Name: Cafe Nha - Coffee House
link: https://www.google.com/maps/search/Cafe+Nha+-+Coffee+House/@16.823267599999998,107.10430380000001?authuser=0&hl=en&entry=ttu
Reviews: 5 reviews

Name: Cafe Ngoc Anh
link: https://www.google.com/maps/search/Cafe+Ng%E1%BB%8Dc+%C3%81nh/@16.827323,107.09921089999999?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/86Dangdung,Coffee TIME (Owner),https://www.google.com/maps/contrib/111479449707803833364,https://lh5.googleusercontent.com/p/AF1QipPxtI6paY_FiMjP24my0KFJls5SbbErlHb6SAaG=w408-h318-k-no,Coffee shop,Coffee shop,4.9,6 AM-9:30 PM,Open All Days,+84 903 505 558,"Coffee TIME, 86 Dang Dung, Phuong 2, Dong Ha, Quang Tri 48100, Vietnam",,https://www.google.com/maps/place/Coffee+TIME/data=!4m7!3m6!1s0x3140e5de9da9d683:0x2f122eac8d380751!8m2!3d16.8277829!4d107.1055491!16s%2Fg%2F11rjw2_1hw!19sChIJg9apnd7lQDERUQc4jawuEi8?authuser=0&hl=en&rclk=1
ChIJh1ejj2r7QDERjDjyDTQTzTI,The TAP Cafe,,False,10,"Name: Quan coffee Tan Hop
link: https://www.google.com/maps/search/Qu%C3%A1n+coffee+T%C3%A2n+H%E1%BB%A3p/@16.745021899999998,107.17860499999999?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: Heart Coffe
link: https://www.google.com/maps/search/Heart+Coffe/@16.7373711,107.1915081?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Coffee Khong Ten
link: https://www.google.com/maps/search/Coffee+Kh%C3%B4ng+T%C3%AAn/@16.740132799999998,107.18635900000001?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.thetapcafe.com/,The TAP Cafe (Owner),https://www.google.com/maps/contrib/112662500679532033237,https://lh5.googleusercontent.com/p/AF1QipMo7SCNajZNYZ6FvnwPWsslIA_LgvyTTIywEHRg=w426-h240-k-no,Coffee shop,Coffee shop,4.4,6 AM-10 PM,Open All Days,+84 888 999 912,"The TAP Cafe, 120 Le Duan, Phuong 1, Quang Tri, Vietnam",,https://www.google.com/maps/place/The+TAP+Cafe/data=!4m7!3m6!1s0x3140fb6a8fa35787:0x32cd13340df2388c!8m2!3d16.7405102!4d107.1841212!16s%2Fg%2F11pds009vd!19sChIJh1ejj2r7QDERjDjyDTQTzTI?authuser=0&hl=en&rclk=1
ChIJhfbwO6zlQDERGq7IuPLDtLA,Little.Ken Cafe & Tea,,False,10,"Name: Cafe Ken Ry
link: https://www.google.com/maps/search/Cafe+Ken+Ry/@16.782566,107.1825492?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Laken kafe
link: https://www.google.com/maps/search/L%C3%A0ken+kafe/@16.8156559,107.1013127?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Ken coffee
link: https://www.google.com/maps/search/Ken+coffee/@16.8069341,107.11094179999999?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/profile.php%3Fid%3D100079674300255,Little.Ken Cafe & Tea (Owner),https://www.google.com/maps/contrib/109737353328089809479,https://lh5.googleusercontent.com/p/AF1QipMBTm0Bq_RdxQaMN62-KmknDA0KZDtOlJUjxHjC=w408-h544-k-no,Coffee shop,Coffee shop,3.7,,Open All Days,+84 944 909 939,"Little.Ken Cafe & Tea, 76 Ly Thai To, Phuong 2, Quang Tri, Vietnam",,https://www.google.com/maps/place/Little.Ken+Caf%C3%A9+%26+Tea/data=!4m7!3m6!1s0x3140e5ac3bf0f685:0xb0b4c3f2b8c8ae1a!8m2!3d16.751007!4d107.190548!16s%2Fg%2F11tj_rp2bw!19sChIJhfbwO6zlQDERGq7IuPLDtLA?authuser=0&hl=en&rclk=1
ChIJKwpA68jlQDER2-gi4ZDlKAI,Tocotoco TX Quang Tri,,False,4,"Name: Tocotoco Tea
link: https://www.google.com/maps/search/Tocotoco+Tea/@16.810368999999998,107.10853250000001?authuser=0&hl=en&entry=ttu
Reviews: 3 reviews

Name: Trabidaohaibatrung
link: https://www.google.com/maps/search/Trabidaohaibatrung/@16.745376699999998,107.1906104?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/profile.php?id=100088506601634&mibextid=LQQJ4d,Tocotoco TX Quang Tri (Owner),https://www.google.com/maps/contrib/100641000915853690936,https://lh5.googleusercontent.com/p/AF1QipPTCLZpB5TRv5-78o7N014FCLhLblxgcjUZYv01=w426-h240-k-no,Bubble tea store,Bubble tea store,4.3,7:30 AM-11 PM,Open All Days,+84 777 036 777,"Tocotoco TX Quang Tri, 60 Ly Thai To, Phuong 2, Quang Tri, Vietnam",,https://www.google.com/maps/place/Tocotoco+TX+Qu%E1%BA%A3ng+Tr%E1%BB%8B/data=!4m7!3m6!1s0x3140e5c8eb400a2b:0x228e590e122e8db!8m2!3d16.7513692!4d107.1893306!16s%2Fg%2F11tnxg7b30!19sChIJKwpA68jlQDER2-gi4ZDlKAI?authuser=0&hl=en&rclk=1
ChIJQ8H1fqrlQDER9er9vniKn4g,Napoli Coffee Ai Tu,,False,4,"Name: COFFEE MILANO AI TU
link: https://www.google.com/maps/search/COFFEE+MILANO+%C3%81I+T%E1%BB%AC/@16.7680154,107.16607529999999?authuser=0&hl=en&entry=ttu
Reviews: 15 reviews

Name: Napoli Coffee
link: https://www.google.com/maps/search/Napoli+Coffee/@16.8182872,107.0956482?authuser=0&hl=en&entry=ttu
Reviews: 7 reviews

Name: Napoli Coffee
link: https://www.google.com/maps/search/Napoli+Coffee/@16.8964308,107.18924369999999?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Napoli coffee, tea, food.
link: https://www.google.com/maps/search/Napoli+coffee%2C+tea%2C+food./@16.814132999999998,107.10084289999999?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews

Name: QUEEN_Coffe & Milk Tea
link: https://www.google.com/maps/search/QUEEN_Coffe+%26+Milk+Tea/@16.7669033,107.1654313?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/Napolicoffeeaitu,Napoli Coffee Ai Tu (Owner),https://www.google.com/maps/contrib/113227973674272867559,https://lh5.googleusercontent.com/p/AF1QipP-OTPGMAExqw9Ct30Wv10SH4PHs-KXsfLqCfwI=w408-h544-k-no,Coffee shop,Coffee shop,4.5,Open 24 hours,Open All Days,+84 797 046 999,"Napoli Coffee Ai Tu, D. Vo Thi Sau, TT. ai Tu, Trieu Phong, Quang Tri, Vietnam",,https://www.google.com/maps/place/Napoli+Coffee+Ai+Tu/data=!4m7!3m6!1s0x3140e5aa7ef5c143:0x889f8a78befdeaf5!8m2!3d16.7696488!4d107.1630669!16s%2Fg%2F11rn7kxwkf!19sChIJQ8H1fqrlQDER9er9vniKn4g?authuser=0&hl=en&rclk=1
