place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJh4FMYnzvAzsRYgtA6X0zq6A,Kumbakonam Degree Coffee Shop,,False,27,"Name: Suthersan Coffee Shop
link: https://www.google.com/maps/search/Suthersan+Coffee+Shop/@8.8001769,78.134727?authuser=0&hl=zh-TW&entry=ttu
Reviews: 147 reviews

Name: Surya Coffee Shop
link: https://www.google.com/maps/search/Surya+Coffee+Shop/@8.8041722,78.1469788?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews",https://kumbakonamcoffeeindia.com/,Kumbakonam Degree Coffee Shop (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMvpVX8oQfE5EUiw7SAG6-H505puu0P4gFXeX6O=w408-h281-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",4.2,,Open All Days,+91 98844 06181,"R42R+P79 Kumbakonam Degree Coffee Shop, Pudugramam, Thoothukudi, Tamil Nadu 628002Yin Du ",,https://www.google.com/maps/place/Kumbakonam+Degree+Coffee+Shop/data=!4m7!3m6!1s0x3b03ef7c624c8187:0xa0ab337de9400b62!8m2!3d8.801797!4d78.1407296!16s%2Fg%2F11fmgy_vwl!19sChIJh4FMYnzvAzsRYgtA6X0zq6A?authuser=0&hl=zh-TW&rclk=1
ChIJZVczi_DvAzsRXTTzXDIi1Hc,Spot 69,,False,9,"Name: Disco Coffee Bar
link: https://www.google.com/maps/search/Disco+Coffee+Bar/@8.8059666,78.1479437?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: Surya Coffee Shop
link: https://www.google.com/maps/search/Surya+Coffee+Shop/@8.8041722,78.1469788?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Smiley The Cafe
link: https://www.google.com/maps/search/Smiley+The+Caf%C3%A9/@8.8039733,78.15186539999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Cool Zone
link: https://www.google.com/maps/search/Cool+Zone/@8.805088399999999,78.1399069?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://spot69.business.site/,Spot 69 (Ye Zhu ),https://www.google.com/maps/contrib/116868165667733326866,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=v0C7mlrYEScJE_BNc0TTxg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=113.04352&pitch=0&thumbfov=100,Ka Pei Dian ,Ka Pei Dian ,4.7,09:00-22:00,Open All Days,,"150A, Spot 69, 4, Thevarpuram Rd, Pudugramam, Thoothukudi, Tamil Nadu 628003Yin Du ",,https://www.google.com/maps/place/Spot+69/data=!4m7!3m6!1s0x3b03eff08b335765:0x77d422325cf3345d!8m2!3d8.8019058!4d78.1414235!16s%2Fg%2F11n96p7s3p!19sChIJZVczi_DvAzsRXTTzXDIi1Hc?authuser=0&hl=zh-TW&rclk=1
ChIJKfKxAJnvAzsR-UTbvRPGxiE,Narasu's Coffee,,False,3,"Name: Suthersan Coffee Shop
link: https://www.google.com/maps/search/Suthersan+Coffee+Shop/@8.8001769,78.134727?authuser=0&hl=zh-TW&entry=ttu
Reviews: 147 reviews

Name: M.N. Coffee House
link: https://www.google.com/maps/search/M.N.+Coffee+House/@8.8023429,78.1515043?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: RAMU COFFEE CAFE
link: https://www.google.com/maps/search/RAMU+COFFEE+CAFE/@8.8024585,78.1432119?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://narasuscoffee.in/,Narasu's Coffee (Ye Zhu ),,//lh6.googleusercontent.com/qIRE7qbOcMyYUS1QLkDAL921Q-r6i919o1NN_Rsx8WkvSCKdkvXa_u2e0l0ZO5g=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.7,09:30-20:30,Xing Qi Ri ,+91 94427 00929,"Narasu's Coffee, 37, E Car St, Tuticorin Melur, Shanmugapuram, Thoothukudi, Tamil Nadu 628003Yin Du ",,https://www.google.com/maps/place/Narasu%27s+Coffee/data=!4m7!3m6!1s0x3b03ef9900b1f229:0x21c6c613bddb44f9!8m2!3d8.805175!4d78.1479406!16s%2Fg%2F11c6sqtstc!19sChIJKfKxAJnvAzsR-UTbvRPGxiE?authuser=0&hl=zh-TW&rclk=1
ChIJ-RSQ5vTvAzsREsnhVjseR4I,Venkateswara Snacks Corner,,False,1067,"Name: ROYAL TEA SHOP
link: https://www.google.com/maps/search/ROYAL+TEA+SHOP/@8.8171714,78.132236?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Manikandan Tea Stall
link: https://www.google.com/maps/search/Manikandan+Tea+Stall/@8.8145363,78.14096459999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: SELVAM TEA STALL
link: https://www.google.com/maps/search/SELVAM+TEA+STALL/@8.8187711,78.13222619999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Venkateswara Snacks Corner (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM3RnzaSIiVjMpHKkTa4BZi5NMj_veb4k7CVpk2=w408-h306-k-no,Cha Xie Dian ,"Cha Xie Dian , Ka Pei Ting ",4,04:00-22:00,Open All Days,,"R4CJ+3QR Venkateswara Snacks Corner, KTC Nagar, Thoothukudi, Tamil Nadu 628002Yin Du ","Cha Dian , Bang Wan , Zao Shang , Wei Sheng , Qing Jie , Jia Ge , Lu Bian Tan ",https://www.google.com/maps/place/Venkateswara+Snacks+Corner/data=!4m7!3m6!1s0x3b03eff4e69014f9:0x82471e3b56e1c912!8m2!3d8.8202294!4d78.1318992!16s%2Fg%2F11f1j0kyfm!19sChIJ-RSQ5vTvAzsREsnhVjseR4I?authuser=0&hl=zh-TW&rclk=1
ChIJf9TN9I3vAzsR4yvhyLl_kys,ESAA Cafe Veg,,False,575,"Name: Shri Bhavans Vegetarian Restaurant
link: https://www.google.com/maps/search/Shri+Bhavans+Vegetarian+Restaurant/@8.816404799999999,78.13297279999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 944 reviews

Name: SRI ASHOK BHAVAN
link: https://www.google.com/maps/search/SRI+ASHOK+BHAVAN/@8.7999684,78.13436229999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 855 reviews

Name: Hotel Sri Arasan
link: https://www.google.com/maps/search/Hotel+Sri+Arasan/@8.8030288,78.14033300000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 280 reviews

Name: Saiva Kadai
link: https://www.google.com/maps/search/Saiva+Kadai/@8.8005208,78.13547439999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews",,ESAA Cafe Veg (Ye Zhu ),https://www.google.com/maps/contrib/105497073212099595033,https://lh5.googleusercontent.com/p/AF1QipNLITIPqstiTEVzUzehYc1TojkzLBy6vP0yekcE=w426-h240-k-no,Su Shi Can Ting ,"Su Shi Can Ting , Zao Can Can Ting , Ka Pei Ting , Kuai Can Dian ",4.1,07:00-22:30,Open All Days,+91 87541 01057,"ESAA Cafe Veg, E.B Substation, 113A, City Tower Complex, Sixty Feet Road, Thoothukudi, Tamil Nadu 628002Yin Du ","Fan Dian , Jia Ge , Wu Can , Jia Ting , Gong Che , Suan La Jiang , Ke Fu , Leng Qi ",https://www.google.com/maps/place/ESAA+Cafe+Veg/data=!4m7!3m6!1s0x3b03ef8df4cdd47f:0x2b937fb9c8e12be3!8m2!3d8.8129534!4d78.1371926!16s%2Fg%2F11c30x9tcc!19sChIJf9TN9I3vAzsR4yvhyLl_kys?authuser=0&hl=zh-TW&rclk=1
ChIJf96mN5TvAzsR5yn_c6gHBT4,The Aardvark Cafe,,False,471,"Name: Arabian Restaurant
link: https://www.google.com/maps/search/Arabian+Restaurant/@8.8042562,78.1483057?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1587 reviews

Name: NACHIYAR CAFE AND RESTAURANT
link: https://www.google.com/maps/search/NACHIYAR+CAFE+AND+RESTAURANT/@8.8007548,78.1535936?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: AADHIRAN CAFE
link: https://www.google.com/maps/search/AADHIRAN+CAFE/@8.816376,78.12938539999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Cafe Agadyas
link: https://www.google.com/maps/search/Cafe+Agadyas/@8.8043806,78.1430073?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,The Aardvark Cafe (Ye Zhu ),https://www.google.com/maps/contrib/113494391060919946131,https://lh5.googleusercontent.com/p/AF1QipPOvlE3Oy2grYdYjLJsxwuzFcuCjplD5qZjnkDi=w408-h544-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , Can Ting ",4,09:30-21:30,Open All Days,+91 461 233 0941,"The Aardvark Cafe, 6th St, Toovipuram, Thoothukudi, Tamil Nadu 628002Yin Du ","Pi Sa , Jia Ge , Zhuang Xiu , Dan Gao , atmosphere, Ji Rou , Bu Lang Ni , Han Bao , Jia Ting ",https://www.google.com/maps/place/The+Aardvark+Cafe/data=!4m7!3m6!1s0x3b03ef9437a6de7f:0x3e0507a873ff29e7!8m2!3d8.8050772!4d78.1384467!16s%2Fg%2F11b5phmml7!19sChIJf96mN5TvAzsR5yn_c6gHBT4?authuser=0&hl=zh-TW&rclk=1
ChIJcbVPx9fvAzsRfM4NjCotBAc,Ungalukaha Tea Stall,,False,263,"Name: Tea master
link: https://www.google.com/maps/search/Tea+master/@8.800544799999999,78.1354309?authuser=0&hl=zh-TW&entry=ttu
Reviews: 155 reviews

Name: Latte cafe
link: https://www.google.com/maps/search/Latte+cafe/@8.8023315,78.1516031?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Ungalukaha Tea Stall (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMdQBJ4cVOT508L1ZXuz4AwXLbKWd3m4R0baJX_=w520-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,06:00-21:45,Xing Qi Ri ,,"R534+CG9 Ungalukaha Tea Stall, EMPEROR STREET - LANE, West Great Cotton Road, opposite to CATHEDRAL CHURCH, EXTN, Thoothukudi, Tamil Nadu 628001Yin Du ","Xiao Chi , Cha Dian , Mei Gui , Suan La Jiang , Nai , Wei Sheng ",https://www.google.com/maps/place/Ungalukaha+Tea+Stall/data=!4m7!3m6!1s0x3b03efd7c74fb571:0x7042d2a8c0dce7c!8m2!3d8.8035332!4d78.1563445!16s%2Fg%2F11grc0n4hs!19sChIJcbVPx9fvAzsRfM4NjCotBAc?authuser=0&hl=zh-TW&rclk=1
ChIJc5wo547xAzsRiUdSS6SKN9Y,TUTEA,,False,249,,,TUTEA (Ye Zhu ),https://www.google.com/maps/contrib/111563658713681690450,https://lh5.googleusercontent.com/p/AF1QipNLdQopZ5CQtRJIJj2m3C4N4t5iYMFXXDXcJy9o=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,05:00-21:00,Xing Qi Ri ,,"TUTEA, Palayamkottai Rd, Anthonyarpuram, Thoothukudi, Ayyanadaippu, Tamil Nadu 628101Yin Du ","Xiao Chi , Gao Su Gong Lu , Ning Cha ",https://www.google.com/maps/place/TUTEA/data=!4m7!3m6!1s0x3b03f18ee7289c73:0xd6378aa44b524789!8m2!3d8.7791537!4d78.0949065!16s%2Fg%2F11nfp_smyx!19sChIJc5wo547xAzsRiUdSS6SKN9Y?authuser=0&hl=zh-TW&rclk=1
ChIJsXkepDDvAzsRw9M0HYqhuwE,Gandhi Tea stall,,False,243,"Name: Gandhi Tea stall & Sri Ganesha bakery
link: https://www.google.com/maps/search/Gandhi+Tea+stall+%26+Sri+Ganesha+bakery/@8.7209562,78.1136461?authuser=0&hl=zh-TW&entry=ttu
Reviews: 90 reviews

Name: Tea mall
link: https://www.google.com/maps/search/Tea+mall/@8.8045358,78.1399805?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: MANIRAJ TEA STALL
link: https://www.google.com/maps/search/MANIRAJ+TEA+STALL/@8.7455388,78.1253377?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Gandhi Tea stall (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNKburpc5L8ZaoKUTacGDbaAXRYrNGFAXcseOr3=w519-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,3.8,,Open All Days,+91 80564 59933,"P4WG+66G Gandhi Tea stall, Tuticorin Beach Road Salt Pans, Thoothukudi, Muttayyapuram, Tamil Nadu 628005Yin Du ",Cha Dian ,https://www.google.com/maps/place/Gandhi+Tea+stall/data=!4m7!3m6!1s0x3b03ef30a41e79b1:0x1bba18a1d34d3c3!8m2!3d8.7455574!4d78.1255745!16s%2Fg%2F11h10zxw_v!19sChIJsXkepDDvAzsRw9M0HYqhuwE?authuser=0&hl=zh-TW&rclk=1
ChIJoz7HkKPxAzsRRRUCzDafnzE,ARK cafe,,False,163,"Name: The Aardvark Cafe
link: https://www.google.com/maps/search/The+Aardvark+Cafe/@8.8050772,78.13844670000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 471 reviews

Name: Anytime Tea & Coffee
link: https://www.google.com/maps/search/Anytime+Tea+%26+Coffee/@8.7676211,78.0791782?authuser=0&hl=zh-TW&entry=ttu
Reviews: 91 reviews

Name: Am coffee bar
link: https://www.google.com/maps/search/Am+coffee+bar/@8.806880399999999,78.1333011?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,ARK cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO1kNIIc30CQgryetulDB4TAX1NNdS2zby9DGuJ=w408-h329-k-no,Ka Pei Ting ,Ka Pei Ting ,4.1,24 Xiao Shi Ying Ye ,Open All Days,,"Q36F+95H ARK cafe, Maravanmadam, Thoothukudi, Tamil Nadu 628101Yin Du ",Xiao Chi ,https://www.google.com/maps/place/ARK+cafe/data=!4m7!3m6!1s0x3b03f1a390c73ea3:0x319f9f36cc021545!8m2!3d8.7609372!4d78.0729688!16s%2Fg%2F11dflcqbr4!19sChIJoz7HkKPxAzsRRRUCzDafnzE?authuser=0&hl=zh-TW&rclk=1
ChIJh-QXnFDvAzsRNuKSoEU6e50,Tea master,,False,156,"Name: Anytime Tea & Coffee
link: https://www.google.com/maps/search/Anytime+Tea+%26+Coffee/@8.7676211,78.0791782?authuser=0&hl=zh-TW&entry=ttu
Reviews: 91 reviews

Name: Tea Time
link: https://www.google.com/maps/search/Tea+Time/@8.8053404,78.1386998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Tea mall
link: https://www.google.com/maps/search/Tea+mall/@8.8045358,78.1399805?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Tea Master G C Road
link: https://www.google.com/maps/search/Tea+Master+G+C+Road/@8.8039338,78.1555513?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",,Tea master (Ye Zhu ),https://www.google.com/maps/contrib/103417544572555955984,https://lh5.googleusercontent.com/p/AF1QipPQY-kGtolmuLIxi30CnXMoPW-l1QiSF_D_18kx=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,24 Xiao Shi Ying Ye ,Open All Days,,"Tea master, Palayamkottai Rd, Toovipuram, Thoothukudi, Tamil Nadu 628002Yin Du ","Xiao Chi , Bing Cha , Jia Ge , Cha Dian ",https://www.google.com/maps/place/Tea+master/data=!4m7!3m6!1s0x3b03ef509c17e487:0x9d7b3a45a092e236!8m2!3d8.8005448!4d78.1354309!16s%2Fg%2F11rwppln91!19sChIJh-QXnFDvAzsRNuKSoEU6e50?authuser=0&hl=zh-TW&rclk=1
ChIJ52IqlL_vAzsRqS4XhI39yx8,Suthersan Coffee Shop,,False,147,"Name: Selvam Coffee corner &snack
link: https://www.google.com/maps/search/Selvam+Coffee+corner+%26snack/@8.8071689,78.1420225?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",,Suthersan Coffee Shop (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMuUJffqfgbZ6EG0Q_I37zybxq9DdpVm2ELcoM-=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,07:00-21:00,Open All Days,,"R42M+3VH Suthersan Coffee Shop, Palayamkottai Rd, Subbiah Puram, Thoothukudi, Tamil Nadu 628002Yin Du ","Xiao Chi , Cha Dian ",https://www.google.com/maps/place/Suthersan+Coffee+Shop/data=!4m7!3m6!1s0x3b03efbf942a62e7:0x1fcbfd8d84172ea9!8m2!3d8.8001769!4d78.134727!16s%2Fg%2F11csqb1fqt!19sChIJ52IqlL_vAzsRqS4XhI39yx8?authuser=0&hl=zh-TW&rclk=1
ChIJf-dQL2PxAzsRX_P0ejz2RRQ,Anytime Tea & Coffee,,False,91,"Name: TUTEA
link: https://www.google.com/maps/search/TUTEA/@8.7791537,78.0949065?authuser=0&hl=zh-TW&entry=ttu
Reviews: 249 reviews

Name: ARK cafe
link: https://www.google.com/maps/search/ARK+cafe/@8.760937199999999,78.0729688?authuser=0&hl=zh-TW&entry=ttu
Reviews: 163 reviews

Name: Tea master
link: https://www.google.com/maps/search/Tea+master/@8.800544799999999,78.1354309?authuser=0&hl=zh-TW&entry=ttu
Reviews: 155 reviews

Name: Tea Time
link: https://www.google.com/maps/search/Tea+Time/@8.8059003,78.1441449?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",,Anytime Tea & Coffee (Ye Zhu ),https://www.google.com/maps/contrib/116842062990344083143,https://lh5.googleusercontent.com/p/AF1QipNqTKWLzxENJV3Vq7lY1bEtOpt3xyq_vwb8Wp3L=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.2,24 Xiao Shi Ying Ye ,Open All Days,+91 98941 32531,"Anytime Tea & Coffee, Maravanmadam, Thoothukudi, Tamil Nadu 628101Yin Du ",,https://www.google.com/maps/place/Anytime+Tea+%26+Coffee/data=!4m7!3m6!1s0x3b03f1632f50e77f:0x1445f63c7af4f35f!8m2!3d8.7676211!4d78.0791782!16s%2Fg%2F11qpshx0_7!19sChIJf-dQL2PxAzsRX_P0ejz2RRQ?authuser=0&hl=zh-TW&rclk=1
ChIJ51Dol3nvAzsRbeRLVKQW4GM,Soosaiya tea stall,,False,83,"Name: SELVI Tea Stall
link: https://www.google.com/maps/search/SELVI+Tea+Stall/@8.8214484,78.1477139?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Gomathi Tea Stall
link: https://www.google.com/maps/search/Gomathi+Tea+Stall/@8.8063738,78.1481348?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Soosaiya tea stall (Ye Zhu ),https://www.google.com/maps/contrib/105739918411751642496,https://lh5.googleusercontent.com/p/AF1QipNpf_bJ66UTQZl0B_iS81wZ2ZN2G_MioaPvEu1x=w408-h725-k-no,Ka Pei Ting ,Ka Pei Ting ,4,24 Xiao Shi Ying Ye ,Open All Days,,"Soosaiya tea stall, Therepuram, Thoothukudi, Tamil Nadu 628001Yin Du ",,https://www.google.com/maps/place/Soosaiya+tea+stall/data=!4m7!3m6!1s0x3b03ef7997e850e7:0x63e016a4544be46d!8m2!3d8.8153436!4d78.1607485!16s%2Fg%2F11gbx9ycvw!19sChIJ51Dol3nvAzsRbeRLVKQW4GM?authuser=0&hl=zh-TW&rclk=1
ChIJCSgIfdDvAzsRm4DTvHdQAsQ,Lassi Day Cafe & Burger Pav,,False,53,"Name: The London Shakes
link: https://www.google.com/maps/search/The+London+Shakes/@8.8126935,78.1380538?authuser=0&hl=zh-TW&entry=ttu
Reviews: 265 reviews

Name: FOOD SQUARE
link: https://www.google.com/maps/search/FOOD+SQUARE/@8.812673199999999,78.13803829999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: SRI LAKSHMI JUICE SPOT
link: https://www.google.com/maps/search/SRI+LAKSHMI+JUICE+SPOT/@8.8062995,78.145291?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Lazza Ice
link: https://www.google.com/maps/search/Lazza+Ice/@8.808929899999999,78.1401525?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Sri Sabaris Fastfood
link: https://www.google.com/maps/search/Sri+Sabaris+Fastfood/@8.8138436,78.1429821?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Lassi Day Cafe & Burger Pav (Ye Zhu ),https://www.google.com/maps/contrib/115702545272301592480,https://lh5.googleusercontent.com/p/AF1QipOZID1cdsVUerET21R1fwnQlqZ5knjf_fqwXEs=w408-h277-k-no,Xue Gao Dian ,Xue Gao Dian ,4.5,10:00-22:00,Open All Days,+91 94868 17910,"Lassi Day Cafe & Burger Pav, Selva Vinayagapuram, Cross Street, near T.M.C. colony, Polpettai East, Thoothukudi, Tamil Nadu 628002Yin Du ","Jia Ge , Nai Xi , Xiao Chi ",https://www.google.com/maps/place/Lassi+Day+Cafe+%26+Burger+Pav/data=!4m7!3m6!1s0x3b03efd07d082809:0xc4025077bcd3809b!8m2!3d8.8129303!4d78.1424377!16s%2Fg%2F11t6ndwbcq!19sChIJCSgIfdDvAzsRm4DTvHdQAsQ?authuser=0&hl=zh-TW&rclk=1
ChIJB0aMtfrvAzsROUIZkewmhuc,Season's cafe,,False,46,,,Season's cafe (Ye Zhu ),https://www.google.com/maps/contrib/109505215702512663392,https://lh5.googleusercontent.com/p/AF1QipMnEaxV2UEy73chvrUsdBZE4fE5ZaCXeEgxfWc9=w408-h272-k-no,Ka Pei Ting ,"Ka Pei Ting , Can Ting ",4,15:00-23:00,Open All Days,,"Season's cafe, State Bank Colony, Thalamuthu Nagar, Thoothukudi, Tamil Nadu 628002Yin Du ","Ji Rou , atmosphere, Ping Lun ",https://www.google.com/maps/place/Season%27s+cafe/data=!4m7!3m6!1s0x3b03effab58c4607:0xe78626ec91194239!8m2!3d8.8172235!4d78.1438227!16s%2Fg%2F11l1_vlcqp!19sChIJB0aMtfrvAzsROUIZkewmhuc?authuser=0&hl=zh-TW&rclk=1
ChIJ8T9IGE7vAzsRIYhoT_C9rx4,Tea Bench,,False,29,"Name: Selvam Tea Stall
link: https://www.google.com/maps/search/Selvam+Tea+Stall/@8.8007065,78.1574685?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Tea Time
link: https://www.google.com/maps/search/Tea+Time/@8.8059003,78.1441449?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",,Tea Bench (Ye Zhu ),https://www.google.com/maps/contrib/109533467338122190990,https://lh5.googleusercontent.com/p/AF1QipOZxQfZsjCISdLZToXypK7SsSDyqH76wrlRS_lK=w408-h517-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,06:00-21:00,Open All Days,,"Tea Bench, 224, S Cotton Rd, Matha Koil, Shanmugapuram, Thoothukudi, Tamil Nadu 628001Yin Du ",,https://www.google.com/maps/place/Tea+Bench/data=!4m7!3m6!1s0x3b03ef4e18483ff1:0x1eafbdf04f688821!8m2!3d8.801072!4d78.1535004!16s%2Fg%2F11shk6h038!19sChIJ8T9IGE7vAzsRIYhoT_C9rx4?authuser=0&hl=zh-TW&rclk=1
ChIJH0Pr0ervAzsRKH5xbT50UUM,Arun Coffee Cafe,,False,27,"Name: Abi tea stall
link: https://www.google.com/maps/search/Abi+tea+stall/@8.8271386,78.1290575?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Arun Coffee Cafe (Ye Zhu ),https://www.google.com/maps/contrib/115833536642494946485,https://lh5.googleusercontent.com/p/AF1QipPMTyPdjBRe6450fXViS5KmoL9FvbFxhLil_ZOC=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,04:00-23:00,Open All Days,,"Arun Coffee Cafe, Ae/30A, Ettayapuram Rd, Thalamuthu Nagar, Thoothukudi, Tamil Nadu 628002Yin Du ",,https://www.google.com/maps/place/Arun+Coffee+Cafe/data=!4m7!3m6!1s0x3b03efead1eb431f:0x4351743e6d717e28!8m2!3d8.824569!4d78.1303702!16s%2Fg%2F11dxkdh94z!19sChIJH0Pr0ervAzsRKH5xbT50UUM?authuser=0&hl=zh-TW&rclk=1
