place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJib4Rtuh145MRBOM4Fp1irrE,PARLEY Cafe Bar,,False,15,"Name: PARLAWI CAFE & LAB
link: https://www.google.com/maps/search/PARLAWI+CAFE+%26+LAB/@-17.3906238,-66.1705142?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: MEDUZA Resto-Bar
link: https://www.google.com/maps/search/MEDUZA+Resto-Bar/@-17.3412501,-66.2157659?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Pausa Cafe Bar
link: https://www.google.com/maps/search/Pausa+Caf%C3%A9+Bar/@-17.3785027,-66.1506028?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Cafe Santivanez
link: https://www.google.com/maps/search/Caf%C3%A9+Santiva%C3%B1ez/@-17.3395913,-66.2180911?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.facebook.com/Parley-Caf%25C3%25A9-Bar-1726758494044355/,PARLEY Cafe Bar (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOYHpGzREstSHuyP_1jrWkVwav3ER2sHVtFWc6F=w408-h338-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,13:00-21:30,Open All Days,+591 74809771,"MQ6M+33P PARLEY Cafe Bar, Calle Cochabamba, Tiquipaya, Bo Li Wei Ya ",,https://www.google.com/maps/place/PARLEY+Caf%C3%A9+Bar/data=!4m7!3m6!1s0x93e375e8b611be89:0xb1ae629d1638e304!8m2!3d-17.3397836!4d-66.2173!16s%2Fg%2F11f7qvshp1!19sChIJib4Rtuh145MRBOM4Fp1irrE?authuser=0&hl=zh-TW&rclk=1
ChIJJTPu-Kx145MR7bnnFGXawQo,Home Store Tiquipaya,,False,6,"Name: Home Stuff
link: https://www.google.com/maps/search/Home+Stuff/@-17.3685703,-66.16433529999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Home Store
link: https://www.google.com/maps/search/Home+Store/@-17.3914054,-66.15284009999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Tienda home&health
link: https://www.google.com/maps/search/Tienda+home%26health/@-17.4441308,-66.1330819?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: SHOPPING CENTER TIQUIPAYA
link: https://www.google.com/maps/search/SHOPPING+CENTER+TIQUIPAYA/@-17.3381224,-66.2202013?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Tienda Dna Luli
link: https://www.google.com/maps/search/Tienda+D%C3%B1a+Luli/@-17.4049934,-66.3044268?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/profile.php?id=100090211716776,Home Store Tiquipaya (Ye Zhu ),https://www.google.com/maps/contrib/111483390507611483271,https://lh5.googleusercontent.com/p/AF1QipOM3fdTzwNKRkVic2eYMYm8rt03d8UXw2ILRuAu=w408-h314-k-no,Dian Qi Xing ,"Dian Qi Xing , Li Pin Dian ",4.5,09:00-21:00,Open All Days,+591 70773561,"Home Store Tiquipaya, Av. Reducto y, Cochabamba, Bo Li Wei Ya ",,https://www.google.com/maps/place/Home+Store+Tiquipaya/data=!4m7!3m6!1s0x93e375acf8ee3325:0xac1da6514e7b9ed!8m2!3d-17.3364381!4d-66.2205333!16s%2Fg%2F11ghshp05v!19sChIJJTPu-Kx145MR7bnnFGXawQo?authuser=0&hl=zh-TW&rclk=1
ChIJlxxxpR9145MRSUsf5fuSps8,Guichi Cakes & Bakery - Pasteleria Artesanal,,False,1,"Name: PASTELERIA FINA ARTESANAL
link: https://www.google.com/maps/search/PASTELERIA+FINA+ARTESANAL/@-17.333686399999998,-66.2190064?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Reposteria Tiquipayeno Suc. Tiquipaya
link: https://www.google.com/maps/search/Reposteria+Tiquipaye%C3%B1o+Suc.+Tiquipaya/@-17.3381668,-66.221159?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Panaderia y Pasteleria Tiquipayamanta
link: https://www.google.com/maps/search/Panader%C3%ADa+y+Pasteler%C3%ADa+Tiquipayamanta/@-17.340152,-66.2169224?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Candy Clau
link: https://www.google.com/maps/search/Candy+Clau/@-17.3529318,-66.2140972?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/GC.CAKESBAKERY,Guichi Cakes & Bakery - Pasteleria Artesanal (Ye Zhu ),https://www.google.com/maps/contrib/101459298661066573063,https://lh5.googleusercontent.com/p/AF1QipMtgt9Ca-8w4Q7ofeyyAEFPGBo8NGhnABmHPdlI=w408-h408-k-no,Xi Bing Dian ,Xi Bing Dian ,5,09:00-16:00,Open All Days,+591 70377795,"Guichi Cakes & Bakery - Pasteleria Artesanal, Tiquipaya - Calle Cochabamba Ndeg 752, 1 Cuadra al oeste Surtidor FortalezaBo Li Wei Ya ",,https://www.google.com/maps/place/Guichi+Cakes+%26+Bakery+-+Pasteleria+Artesanal/data=!4m7!3m6!1s0x93e3751fa5711c97:0xcfa692fbe51f4b49!8m2!3d-17.3380359!4d-66.2234629!16s%2Fg%2F11q2t1d3v8!19sChIJlxxxpR9145MRSUsf5fuSps8?authuser=0&hl=zh-TW&rclk=1
ChIJ3QOQP0l145MRh7VmwPNXe7w,Empanadas Uchus Chuchus,,False,,"Name: Reposteria Tiquipayeno Suc. Tiquipaya
link: https://www.google.com/maps/search/Reposteria+Tiquipaye%C3%B1o+Suc.+Tiquipaya/@-17.3381668,-66.221159?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: JAYA NINA
link: https://www.google.com/maps/search/JAYA+NINA/@-17.3885707,-66.1740682?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Panaderia y Reposteria Manos Maravillosas
link: https://www.google.com/maps/search/Panaderia+y+Reposteria+Manos+Maravillosas/@-17.337429999999998,-66.22025719999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Candy Clau
link: https://www.google.com/maps/search/Candy+Clau/@-17.3529318,-66.2140972?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Panaderia y Pasteleria Tiquipayamanta
link: https://www.google.com/maps/search/Panader%C3%ADa+y+Pasteler%C3%ADa+Tiquipayamanta/@-17.340152,-66.2169224?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/uchuschuchus/,Empanadas Uchus Chuchus (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPLMdcibrI7FmatZyQFNx0pq23paHs8YDnzOrwp=w408-h306-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,,03:00-18:00,"Xing Qi Ri , Xing Qi Yi ",+591 75907288,"MQ5Q+479 Empanadas Uchus Chuchus, Av Ecologica, Tiquipaya, Bo Li Wei Ya ",,https://www.google.com/maps/place/Empanadas+Uchus+Chuchus/data=!4m7!3m6!1s0x93e375493f9003dd:0xbc7b57f3c066b587!8m2!3d-17.3422242!4d-66.2117672!16s%2Fg%2F11qz9spbz4!19sChIJ3QOQP0l145MRh7VmwPNXe7w?authuser=0&hl=zh-TW&rclk=1
ChIJvRMP9xd145MRnm1-uxmFwM4,Helados De Canela,,False,146,"Name: Restaurant Heladeria ""Food Garden""
link: https://www.google.com/maps/search/Restaurant+Heladeria+%22Food+Garden%22/@-17.3387371,-66.2191603?authuser=0&hl=zh-TW&entry=ttu
Reviews: 122 reviews

Name: Heladeria Eliana
link: https://www.google.com/maps/search/Helader%C3%ADa+Eliana/@-17.3415851,-66.2131569?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: canela cafe
link: https://www.google.com/maps/search/canela+cafe/@-17.413976599999998,-66.1653224?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Helados De Canela (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNGWXbM_jZZdiSN__VivuAcwxlwG3f-QVghfUyU=w426-h240-k-no,Can Ting ,Can Ting ,4.2,13:00-17:00,"Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Si , Xing Qi Wu ",,"MQ5Q+45Q Helados De Canela, Tiquipaya, Bo Li Wei Ya ","Jia Ge , Shou Gong , Fu You ",https://www.google.com/maps/place/Helados+De+Canela/data=!4m7!3m6!1s0x93e37517f70f13bd:0xcec08519bb7e6d9e!8m2!3d-17.3421734!4d-66.2120166!16s%2Fg%2F11c45tp98v!19sChIJvRMP9xd145MRnm1-uxmFwM4?authuser=0&hl=zh-TW&rclk=1
ChIJ84ZF8L5145MRHcY56m748rI,Salon de te y cafe,,False,17,"Name: Typica Cafe Tostaduria
link: https://www.google.com/maps/search/Typica+Cafe+Tostaduria/@-17.385814,-66.15811459999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 783 reviews

Name: Toc Toc Cafe
link: https://www.google.com/maps/search/Toc+Toc+Cafe/@-17.3791384,-66.1560045?authuser=0&hl=zh-TW&entry=ttu
Reviews: 160 reviews

Name: Chocolates Para Ti Cochabamba
link: https://www.google.com/maps/search/Chocolates+Para+T%C3%AD+Cochabamba/@-17.378501300000003,-66.1533577?authuser=0&hl=zh-TW&entry=ttu
Reviews: 113 reviews

Name: Der Kaffee Cafe
link: https://www.google.com/maps/search/Der+Kaffee+Cafe/@-17.389442799999998,-66.1541467?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Gourmet Coffee
link: https://www.google.com/maps/search/Gourmet+Coffee/@-17.374029699999998,-66.1542673?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Salon de te y cafe (Ye Zhu ),https://www.google.com/maps/contrib/117660139088885924024,https://lh5.googleusercontent.com/p/AF1QipNu4B2jfK13MfpyHXkPSqtFTVFdlwOl4wSCWhQq=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.7,15:30-20:30,Xing Qi Ri ,,"Salon de te y cafe, Potosi 1450, Cochabamba, Bo Li Wei Ya ",,https://www.google.com/maps/place/Sal%C3%B3n+de+t%C3%A9+y+caf%C3%A9/data=!4m7!3m6!1s0x93e375bef04586f3:0xb2f2f86eea39c61d!8m2!3d-17.3748839!4d-66.1526758!16s%2Fg%2F11sd4ctkp6!19sChIJ84ZF8L5145MRHcY56m748rI?authuser=0&hl=zh-TW&rclk=1
ChIJteiRJwJ145MRSFPHtTVJDyg,Cowork cafe express,,False,12,"Name: Cowork Cafe
link: https://www.google.com/maps/search/Cowork+Caf%C3%A9/@-17.3714671,-66.1469603?authuser=0&hl=zh-TW&entry=ttu
Reviews: 787 reviews

Name: Capresso Cafe
link: https://www.google.com/maps/search/Capresso+Caf%C3%A9/@-17.3703336,-66.17057129999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 583 reviews

Name: Cowork Cafe CALA CALA
link: https://www.google.com/maps/search/Cowork+Cafe+CALA+CALA/@-17.3696744,-66.16250459999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 526 reviews

Name: Cafe Norte Cowork
link: https://www.google.com/maps/search/Caf%C3%A9+Norte+Cowork/@-17.3730458,-66.1505877?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: La Kafeta express
link: https://www.google.com/maps/search/La+Kafeta+express/@-17.372743099999997,-66.1606426?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Cowork cafe express (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMZIMKRgLvAsnkpzVtSK6sRqtmkRHPwvKgvTPsQ=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.5,,Open All Days,,"Cowork cafe express, Washington 1936, Cochabamba, Bo Li Wei Ya ",,https://www.google.com/maps/place/Cowork+caf%C3%A9+express/data=!4m7!3m6!1s0x93e375022791e8b5:0x280f4935b5c75348!8m2!3d-17.369479!4d-66.1673611!16s%2Fg%2F11pxss2lzb!19sChIJteiRJwJ145MRSFPHtTVJDyg?authuser=0&hl=zh-TW&rclk=1
ChIJ3SyJyjh145MRt94i287JA7o,PASTELERIA FINA ARTESANAL,,False,10,"Name: Restaurant Heladeria ""Food Garden""
link: https://www.google.com/maps/search/Restaurant+Heladeria+%22Food+Garden%22/@-17.3387371,-66.2191603?authuser=0&hl=zh-TW&entry=ttu
Reviews: 122 reviews

Name: Guichi Cakes & Bakery - Pasteleria Artesanal
link: https://www.google.com/maps/search/Guichi+Cakes+%26+Bakery+-+Pasteleria+Artesanal/@-17.338035899999998,-66.22346290000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Panaderia y Pasteleria Tiquipayamanta
link: https://www.google.com/maps/search/Panader%C3%ADa+y+Pasteler%C3%ADa+Tiquipayamanta/@-17.340152,-66.2169224?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Helados artesanales Tiquipaya
link: https://www.google.com/maps/search/Helados+artesanales+Tiquipaya/@-17.3379331,-66.2185518?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,PASTELERIA FINA ARTESANAL (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN6EU1fzbuOGwbdyworTowTq2chsqeOPA0wxE70=w426-h240-k-no,Can Ting ,"Can Ting , Gao Bing Dian ",3.5,09:00-19:30,Xing Qi Ri ,+591 69473755,"MQ8J+G9H PASTELERIA FINA ARTESANAL, Aguas Potables, Tiquipaya, Bo Li Wei Ya ",,https://www.google.com/maps/place/PASTELERIA+FINA+ARTESANAL/data=!4m7!3m6!1s0x93e37538ca892cdd:0xba03c9cedb22deb7!8m2!3d-17.3336864!4d-66.2190064!16s%2Fg%2F11b6ljkx_g!19sChIJ3SyJyjh145MRt94i287JA7o?authuser=0&hl=zh-TW&rclk=1
ChIJz2WJwYJ145MRkFASB0CivPc,"Salon de Eventos ""Contessa""",,False,8,"Name: Las Gardenias
link: https://www.google.com/maps/search/Las+Gardenias/@-17.3452949,-66.2139739?authuser=0&hl=zh-TW&entry=ttu
Reviews: 221 reviews

Name: Salon de Eventos Balderrama -charmant-
link: https://www.google.com/maps/search/Sal%C3%B3n+de+Eventos+Balderrama+-charmant-/@-17.3387384,-66.2159089?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews

Name: Hacienda Emma - Salon de Eventos
link: https://www.google.com/maps/search/Hacienda+Emma+-+Sal%C3%B3n+de+Eventos/@-17.3550541,-66.2126147?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Salon de eventos lazzo
link: https://www.google.com/maps/search/Sal%C3%B3n+de+eventos+lazzo/@-17.3591949,-66.1958557?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,"Salon de Eventos ""Contessa"" (Ye Zhu )",,https://lh5.googleusercontent.com/p/AF1QipMqhnOY87hjQZXAi5xWSXVbwVFbFfvfgRLuuXJv=w408-h306-k-no,Cha Yi Guan ,Cha Yi Guan ,4,24 Xiao Shi Ying Ye ,"Xing Qi Yi , Xing Qi Er , Xing Qi San ",+591 60391085,"JRX2+R9X Salon de Eventos ""Contessa"", Tiquipaya, Bo Li Wei Ya ",,https://www.google.com/maps/place/Sal%C3%B3n+de+Eventos+%22Contessa%22/data=!4m7!3m6!1s0x93e37582c18965cf:0xf7bca24007125090!8m2!3d-17.3503801!4d-66.1990299!16s%2Fg%2F11ry9b_8k8!19sChIJz2WJwYJ145MRkFASB0CivPc?authuser=0&hl=zh-TW&rclk=1
ChIJ40sM7yt145MRmwIEra7zys8,more coffee shop,,False,8,"Name: Cafe Ideal Bolivia Cochabamba
link: https://www.google.com/maps/search/Caf%C3%A9+Ideal+Bolivia+Cochabamba/@-17.3935769,-66.1590045?authuser=0&hl=zh-TW&entry=ttu
Reviews: 170 reviews

Name: Toc Toc Cafe
link: https://www.google.com/maps/search/Toc+Toc+Cafe/@-17.3791384,-66.1560045?authuser=0&hl=zh-TW&entry=ttu
Reviews: 160 reviews

Name: De Cafe
link: https://www.google.com/maps/search/De+Caf%C3%A9/@-17.377477799999998,-66.15144?authuser=0&hl=zh-TW&entry=ttu
Reviews: 94 reviews

Name: Don Cafe
link: https://www.google.com/maps/search/Don+Caf%C3%A9/@-17.3747495,-66.1600903?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: La Mona Cafe
link: https://www.google.com/maps/search/La+Mona+Caf%C3%A9/@-17.3907624,-66.1546803?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",,more coffee shop (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMXvMRK1p2l2lBeUnn1GCGm6OV8qONlMzTypVWx=w408-h543-k-no,Ka Pei Dian ,Ka Pei Dian ,4,24 Xiao Shi Ying Ye ,Open All Days,+591 73785498,"JRCW+J9W more coffee shop, C. A. Padilla, Cochabamba, Bo Li Wei Ya ",,https://www.google.com/maps/place/more+coffee+shop/data=!4m7!3m6!1s0x93e3752bef0c4be3:0xcfcaf3aead04029b!8m2!3d-17.3783829!4d-66.1540391!16s%2Fg%2F11p08s9h1s!19sChIJ40sM7yt145MRmwIEra7zys8?authuser=0&hl=zh-TW&rclk=1
