place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJc997VeWj9HERaxSjIgPw7fg,Coffee Post,,False,1885,"Name: Cafe Escape
link: https://www.google.com/maps/search/Cafe+Escape/@-21.1346763,-175.201234?authuser=0&hl=zh-TW&entry=ttu
Reviews: 84 reviews

Name: Tupu'anga Coffee Factory and Cafe
link: https://www.google.com/maps/search/Tupu%27anga+Coffee+Factory+and+Cafe/@-21.1522679,-175.1746963?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Vietnamese Cafe
link: https://www.google.com/maps/search/Vietnamese+Cafe/@-21.13732,-175.199501?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: The Waterfront Cafe
link: https://www.google.com/maps/search/The+Waterfront+Cafe/@-21.1394797,-175.1846836?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Victor's Cafe
link: https://www.google.com/maps/search/Victor%27s+Cafe/@-21.1362773,-175.20177769999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.facebook.com/coffeeposttonga,Coffee Post (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN6xbgUQFn8tXyo7mlItIsZryskYAtUO4LrhJZM=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,5,07:00-16:00,"Xing Qi Liu , Xing Qi Ri ",+676 788 6250,"VR82+M3R Coffee Post, Maufanga, Nuku'alofa, Tang Jia ","Di Di , youtuber, Lu You , Cheng Ke , Shou Shi , Yi Sheng , Gan Xie , Cheng Gong ",https://www.google.com/maps/place/Coffee+Post/data=!4m7!3m6!1s0x71f4a3e5557bdf73:0xf8edf00322a3146b!8m2!3d-21.1332528!4d-175.1998661!16s%2Fg%2F12ml2wwgh!19sChIJc997VeWj9HERaxSjIgPw7fg?authuser=0&hl=zh-TW&rclk=1
ChIJgTGG_u-j9HERgabiKRx3oR0,Friends Cafe and Tourist Center,,False,66,"Name: Coffee Post
link: https://www.google.com/maps/search/Coffee+Post/@-21.133252799999998,-175.1998661?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1857 reviews

Name: Cafe Escape
link: https://www.google.com/maps/search/Cafe+Escape/@-21.1346763,-175.201234?authuser=0&hl=zh-TW&entry=ttu
Reviews: 84 reviews

Name: The Waterfront Cafe
link: https://www.google.com/maps/search/The+Waterfront+Cafe/@-21.1394797,-175.1846836?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Tonga Tourism Authority Visitor Centre
link: https://www.google.com/maps/search/Tonga+Tourism+Authority+Visitor+Centre/@-21.1346423,-175.195817?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://www.friendstonga.com/,Friends Cafe and Tourist Center (Ye Zhu ),https://www.google.com/maps/contrib/111068615706331693597,https://lh5.googleusercontent.com/p/AF1QipMGBi5pKR5cCaUhE9XDuz_tAfTekjJ-jZmqcskM=w426-h240-k-no,Lu Ke Zhong Xin ,"Lu Ke Zhong Xin , Ka Pei Ting ",4.2,07:30-22:00,Xing Qi Ri ,+676 27-323,"Friends Cafe and Tourist Center, Salote Rd, Nuku'alofa, Tang Jia ","Ka Pei , atmosphere, Xuan Ze , Wu Can , Yu , Jia Ge , Shu Tiao , Qing Lu , Yi Da Li Mian , wifi",https://www.google.com/maps/place/Friends+Cafe+and+Tourist+Center/data=!4m7!3m6!1s0x71f4a3effe863181:0x1da1771c29e2a681!8m2!3d-21.133675!4d-175.1998943!16s%2Fg%2F1vl5gztm!19sChIJgTGG_u-j9HERgabiKRx3oR0?authuser=0&hl=zh-TW&rclk=1
ChIJg83q_xq1k3ERX9vSxUrKSxI,Mango Cafe,,False,44,"Name: Bellavista Cafe
link: https://www.google.com/maps/search/Bellavista+Cafe/@-18.653371099999998,-173.9825133?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: Cafe Tropicana
link: https://www.google.com/maps/search/Cafe+Tropicana/@-18.6518695,-173.9835?authuser=0&hl=zh-TW&entry=ttu
Reviews: 37 reviews

Name: The Basque Tavern
link: https://www.google.com/maps/search/The+Basque+Tavern/@-18.6559907,-173.9812091?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: Coffee & Tees
link: https://www.google.com/maps/search/Coffee+%26+Tees/@-18.652919999999998,-173.9824324?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Coffee Plus Cafe
link: https://www.google.com/maps/search/Coffee+Plus+Cafe/@-18.652919999999998,-173.9824324?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",https://m.facebook.com/pages/Mango-Cafe/129474230485640,Mango Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNK9KUwIsBV0avG4QDG5lDPb454R5Wapuwyo3a1=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,08:00-21:00,Open All Days,,"82V9+9CF Mango Cafe, Fatafehi Rd, Neiafu, Tang Jia ","Pi Jiu , wifi, Jia Ge ",https://www.google.com/maps/place/Mango+Cafe/data=!4m7!3m6!1s0x7193b51affeacd83:0x124bca4ac5d2db5f!8m2!3d-18.656561!4d-173.981443!16s%2Fg%2F11gtysdff1!19sChIJg83q_xq1k3ERX9vSxUrKSxI?authuser=0&hl=zh-TW&rclk=1
ChIJKVpH30-0k3ERfWyyC-OEobo,Cafe Tropicana,,False,37,"Name: Bellavista Cafe
link: https://www.google.com/maps/search/Bellavista+Cafe/@-18.653371099999998,-173.9825133?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: Mango Cafe
link: https://www.google.com/maps/search/Mango+Cafe/@-18.656561,-173.98144299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: The Basque Tavern
link: https://www.google.com/maps/search/The+Basque+Tavern/@-18.6559907,-173.9812091?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: Coffee & Tees
link: https://www.google.com/maps/search/Coffee+%26+Tees/@-18.652919999999998,-173.9824324?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Coffee Plus Cafe
link: https://www.google.com/maps/search/Coffee+Plus+Cafe/@-18.652919999999998,-173.9824324?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",https://cafetropicanavavau.business.site/?utm_source=gmb&utm_medium=referral,Cafe Tropicana (Ye Zhu ),https://www.google.com/maps/contrib/116021436111473214890,https://lh5.googleusercontent.com/p/AF1QipOJMukGnDD0A6Y4o6areLyV4yc1PEXMmEVPKyPE=w408-h271-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,07:30-16:00,Xing Qi Ri ,+676 71-322,"Cafe Tropicana, Fatafehi Rd, Neiafu, Tang Jia ",Wang Lu ,https://www.google.com/maps/place/Cafe+Tropicana/data=!4m7!3m6!1s0x7193b44fdf475a29:0xbaa184e30bb26c7d!8m2!3d-18.6518695!4d-173.9835!16s%2Fg%2F1wt3nm5n!19sChIJKVpH30-0k3ERfWyyC-OEobo?authuser=0&hl=zh-TW&rclk=1
ChIJR_suxG6k9HERFwB5IvHu_2E,Tupu'anga Coffee Factory and Cafe,,False,25,"Name: Coffee Post
link: https://www.google.com/maps/search/Coffee+Post/@-21.133252799999998,-175.1998661?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1857 reviews

Name: Cafe Escape
link: https://www.google.com/maps/search/Cafe+Escape/@-21.1346763,-175.201234?authuser=0&hl=zh-TW&entry=ttu
Reviews: 84 reviews

Name: Vietnamese Cafe
link: https://www.google.com/maps/search/Vietnamese+Cafe/@-21.13732,-175.199501?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: Weta Coffee - Tonga
link: https://www.google.com/maps/search/Weta+Coffee+-+Tonga/@-21.140042599999997,-175.1878341?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Victor's Cafe
link: https://www.google.com/maps/search/Victor%27s+Cafe/@-21.1362773,-175.20177769999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.madeintonga.com/tupuanga,Tupu'anga Coffee Factory and Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNgxg81Tef0ItKtWUdc1ERttBKdx4DRWmxb22zH=w493-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,08:00-16:00,Xing Qi Ri ,+676 26-174,"RRXG+34V Tupu'anga Coffee Factory and Cafe, Nuku'alofa, Tang Jia ","Bao Shi , Si Kang , Shu Pian ",https://www.google.com/maps/place/Tupu%27anga+Coffee+Factory+and+Cafe/data=!4m7!3m6!1s0x71f4a46ec42efb47:0x61ffeef122790017!8m2!3d-21.1522679!4d-175.1746963!16s%2Fg%2F11c30s8yn4!19sChIJR_suxG6k9HERFwB5IvHu_2E?authuser=0&hl=zh-TW&rclk=1
ChIJR5h7-guk9HERp_Ck3CmRIzk,The Waterfront Cafe,,False,18,"Name: Coffee Post
link: https://www.google.com/maps/search/Coffee+Post/@-21.133252799999998,-175.1998661?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1857 reviews

Name: Cafe Escape
link: https://www.google.com/maps/search/Cafe+Escape/@-21.1346763,-175.201234?authuser=0&hl=zh-TW&entry=ttu
Reviews: 84 reviews

Name: Lunarossa Restaurant
link: https://www.google.com/maps/search/Lunarossa+Restaurant/@-21.1352567,-175.1975487?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews

Name: Vietnamese Cafe
link: https://www.google.com/maps/search/Vietnamese+Cafe/@-21.13732,-175.199501?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: Tropical Taste
link: https://www.google.com/maps/search/Tropical+Taste/@-21.1449175,-175.2065793?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",http://www.waterfrontlodge-tonga.com/,The Waterfront Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNqrlGN7MzMvEBWt_TcczHjvntRwJvMvvOF001v=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,08:00-21:00,Xing Qi Ri ,+676 25-260,"VR68+644 The Waterfront Cafe, Nuku'alofa, Tang Jia ","Da Xia , Gui Tou Dao ",https://www.google.com/maps/place/The+Waterfront+Cafe/data=!4m7!3m6!1s0x71f4a40bfa7b9847:0x39239129dca4f0a7!8m2!3d-21.1394797!4d-175.1846836!16s%2Fg%2F1tdy4nz8!19sChIJR5h7-guk9HERp_Ck3CmRIzk?authuser=0&hl=zh-TW&rclk=1
ChIJzffDt--j9HERVN9J-LuTBaE,Christ Embassy Tonga,,False,,"Name: Australian High Commission
link: https://www.google.com/maps/search/Australian+High+Commission/@-21.1367822,-175.1956413?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: The Church of Jesus Christ of Latter-day Saints
link: https://www.google.com/maps/search/The+Church+of+Jesus+Christ+of+Latter-day+Saints/@-21.1437702,-175.20713229999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Chinese Embassy
link: https://www.google.com/maps/search/Chinese+Embassy/@-21.136417899999998,-175.193005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: The Church of Jesus Christ of Latter-day Saints
link: https://www.google.com/maps/search/The+Church+of+Jesus+Christ+of+Latter-day+Saints/@-21.1561508,-175.2200986?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: The Church of Jesus Christ of Latter-day Saints
link: https://www.google.com/maps/search/The+Church+of+Jesus+Christ+of+Latter-day+Saints/@-21.1380144,-175.1962543?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.cepacific.org/,Christ Embassy Tonga (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,,07:30-22:00,Xing Qi Ri ,+676 770 4075,"VQ7X+HGW Christ Embassy Tonga, Nuku'alofa, Tang Jia ",,https://www.google.com/maps/place/Christ+Embassy+Tonga/data=!4m7!3m6!1s0x71f4a3efb7c3f7cd:0xa10593bbf849df54!8m2!3d-21.1360225!4d-175.2011847!16s%2Fg%2F11crzxsc12!19sChIJzffDt--j9HERVN9J-LuTBaE?authuser=0&hl=zh-TW&rclk=1
ChIJydjugnl0jXERyAbi1MWbSoM,Mariner's Cafe and Bar,,False,13,"Name: Matafonua Lodge Resort and Restaurant
link: https://www.google.com/maps/search/Matafonua+Lodge+Resort+and+Restaurant/@-19.719361499999998,-174.2812722?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: Ha'apai Beach Resort
link: https://www.google.com/maps/search/Ha%27apai+Beach+Resort/@-19.790872999999998,-174.34658399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Fifita Guesthouse
link: https://www.google.com/maps/search/Fifita+Guesthouse/@-19.8042552,-174.34991349999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Lindsay's Guesthouse
link: https://www.google.com/maps/search/Lindsay%27s+Guesthouse/@-19.813113899999998,-174.3518933?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Hungry Whales
link: https://www.google.com/maps/search/Hungry+Whales/@-19.8041229,-174.35114109999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Mariner's Cafe and Bar (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNphbd0yKeatpLcd4_XtESf7l_igGnjLsAOmOnZ=w408-h349-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,,Open All Days,+676 60-374,"5MW2+83C Mariner's Cafe and Bar, Fau Rd, Pangai, Tang Jia ",,https://www.google.com/maps/place/Mariner%27s+Cafe+and+Bar/data=!4m7!3m6!1s0x718d747982eed8c9:0x834a9bc5d4e206c8!8m2!3d-19.8041956!4d-174.349865!16s%2Fg%2F1hf6bbgj1!19sChIJydjugnl0jXERyAbi1MWbSoM?authuser=0&hl=zh-TW&rclk=1
ChIJuVxuqQGl9HERbZdm3_cRSCo,Weta Coffee - Tonga,,False,8,"Name: Coffee Post
link: https://www.google.com/maps/search/Coffee+Post/@-21.133252799999998,-175.1998661?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1857 reviews

Name: Tupu'anga Coffee Factory and Cafe
link: https://www.google.com/maps/search/Tupu%27anga+Coffee+Factory+and+Cafe/@-21.1522679,-175.1746963?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Vietnamese Cafe
link: https://www.google.com/maps/search/Vietnamese+Cafe/@-21.13732,-175.199501?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: The Waterfront Cafe
link: https://www.google.com/maps/search/The+Waterfront+Cafe/@-21.1394797,-175.1846836?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Western Bus Terminal
link: https://www.google.com/maps/search/Western+Bus+Terminal/@-21.1328784,-175.197207?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Weta Coffee - Tonga (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNc0pPpxhWtN6B1vaF2aQTemPfCOm_d_BM1ZzC_=w408-h911-k-no,Ka Pei Dian ,Ka Pei Dian ,5,06:00-20:00,Xing Qi Ri ,+676 888 9382,"VR56+XVM Weta Coffee - Tonga, Salote Rd, Nuku'alofa, Tang Jia ",,https://www.google.com/maps/place/Weta+Coffee+-+Tonga/data=!4m7!3m6!1s0x71f4a501a96e5cb9:0x2a4811f7df66976d!8m2!3d-21.1400426!4d-175.1878341!16s%2Fg%2F11r7490jvq!19sChIJuVxuqQGl9HERbZdm3_cRSCo?authuser=0&hl=zh-TW&rclk=1
ChIJK4TBG3yj9HERkWx5UDoF0MY,Little india,,False,7,"Name: Little Italy Pizzeria Restaurant
link: https://www.google.com/maps/search/Little+Italy+Pizzeria+Restaurant/@-21.1272916,-175.2100213?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Vietnamese Cafe
link: https://www.google.com/maps/search/Vietnamese+Cafe/@-21.13732,-175.199501?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: Tropical Taste
link: https://www.google.com/maps/search/Tropical+Taste/@-21.1449175,-175.2065793?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Talahiva Restaurant
link: https://www.google.com/maps/search/Talahiva+Restaurant/@-21.1375186,-175.20273949999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Little india (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMQmCu-4_6ekqPM3dB6Zb6udz21s5xnesMvMlbJ=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,07:30-22:00,Xing Qi Ri ,+676 22-181,"VQ4R+FXR Little india, Taufa'ahau Rd, Nuku'alofa, Tang Jia ",,https://www.google.com/maps/place/Little+india/data=!4m7!3m6!1s0x71f4a37c1bc1842b:0xc6d0053a50796c91!8m2!3d-21.1437729!4d-175.2076167!16s%2Fg%2F11f62lmr6q!19sChIJK4TBG3yj9HERkWx5UDoF0MY?authuser=0&hl=zh-TW&rclk=1
