place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJO7lOg1OB5kcRc1cnVSX_tHM,Han Bao Wang ,"Zhu Ming De Lian Suo Su Shi Dian ,Fan Shou Shao Kao Han Bao , Shu Tiao He Nai Xi . ",False,3437,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@48.7853563,1.9857733?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1493 reviews

Name: Le Platane
link: https://www.google.com/maps/search/Le+Platane/@48.7786318,2.009308?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1390 reviews

Name: Eat's Time
link: https://www.google.com/maps/search/Eat%27s+Time/@48.7782627,2.0083151?authuser=0&hl=zh-TW&entry=ttu
Reviews: 578 reviews

Name: Chicken Minute officiel
link: https://www.google.com/maps/search/Chicken+Minute+officiel/@48.7747959,1.9970692?authuser=0&hl=zh-TW&entry=ttu
Reviews: 493 reviews",https://www.burgerking.fr/restaurants%3Fy_source%3D1_MTUwMTQ1NDItNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Han Bao Wang  (Ye Zhu ),https://www.google.com/maps/contrib/109818974603724613970,https://lh5.googleusercontent.com/p/AF1QipPkmQOVdUbndhmdaXufNqIk1gToLYvTwbqg5cho=w426-h240-k-no,Kuai Can Dian ,"Kuai Can Dian , Mei Shi Can Ting , Jiu Ba Ba Fang , Jia Ting Can Ting , Han Bao Can Ting , Wai Mai Zi Qu Can Ting ",3.7,11:00-01:00,Open All Days,+33 1 82 84 01 35,"Han Bao Wang 16 Av. Paul Vaillant-Couturier, 78190 Trappes, Fa Guo ","Xia Ding , Leng , Ting Che Chang , Zu Zhi , La Ji Tong , Yin Shua , Ban Ye ",https://www.google.com/maps/place/%E6%BC%A2%E5%A0%A1%E7%8E%8B/data=!4m7!3m6!1s0x47e68153834eb93b:0x73b4ff2555275773!8m2!3d48.7792828!4d2.0095125!16s%2Fg%2F11c5sdb_2n!19sChIJO7lOg1OB5kcRc1cnVSX_tHM?authuser=0&hl=zh-TW&rclk=1
ChIJexk9x_qD5kcR0cMp6CXKzNQ,Hippopotamus,,False,1527,"Name: Leon - Trappes
link: https://www.google.com/maps/search/L%C3%A9on+-+Trappes/@48.766198499999994,1.9736921?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1391 reviews

Name: Eat's Time
link: https://www.google.com/maps/search/Eat%27s+Time/@48.7782627,2.0083151?authuser=0&hl=zh-TW&entry=ttu
Reviews: 578 reviews

Name: Rest'O Cocorico
link: https://www.google.com/maps/search/Rest%27O+Cocorico/@48.782513099999996,2.0428188?authuser=0&hl=zh-TW&entry=ttu
Reviews: 480 reviews

Name: Grillades de la Gare Chez Ahmed
link: https://www.google.com/maps/search/Grillades+de+la+Gare+Chez+Ahmed/@48.776719199999995,2.0035875?authuser=0&hl=zh-TW&entry=ttu
Reviews: 200 reviews

Name: Le Bon Thai
link: https://www.google.com/maps/search/Le+Bon+Tha%C3%AF/@48.7765881,2.00589?authuser=0&hl=zh-TW&entry=ttu
Reviews: 121 reviews",https://restaurants.hippopotamus.fr/hippopotamus-steakhouse-5b8544d60b5e%3Fy_source%3D1_MTQ4MDU0NTktNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Hippopotamus (Ye Zhu ),https://www.google.com/maps/contrib/100547927848752497998,https://lh5.googleusercontent.com/p/AF1QipP9FCTaF3Di7SRqMwfprXi3A_2g7ZzzgfxEo18Q=w408-h306-k-no,Can Ting ,"Can Ting , Jiu Ba Ba Fang , Shao Kao Can Ting , Mei Shi Can Che Dian , Jia Ting Can Ting , Fa Guo Can Ting , Wai Mai Zi Qu Can Ting , Mei Shi Niu Ba Wu ",3.7,"11:30-15:00, 18:30-22:30",Open All Days,+33 1 30 13 01 20,"Hippopotamus, 23 bis Av. de l'Armee Leclerc, 78190 Trappes, Fa Guo ","Bai Pan , Ju Kao , Niu Fu , Jing Li Ren , Ni ",https://www.google.com/maps/place/Hippopotamus/data=!4m7!3m6!1s0x47e683fac73d197b:0xd4ccca25e829c3d1!8m2!3d48.773275!4d1.9942037!16s%2Fg%2F1hc1pgw55!19sChIJexk9x_qD5kcR0cMp6CXKzNQ?authuser=0&hl=zh-TW&rclk=1
ChIJR4zN2guE5kcRn0o__SAMUP0,McDonald's,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,1495,"Name: Han Bao Wang 
link: https://www.google.com/maps/search/%E6%BC%A2%E5%A0%A1%E7%8E%8B/@48.7792828,2.0095125?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3437 reviews

Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@48.769740999999996,2.061305?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1774 reviews

Name: Eat's Time
link: https://www.google.com/maps/search/Eat%27s+Time/@48.7782627,2.0083151?authuser=0&hl=zh-TW&entry=ttu
Reviews: 578 reviews

Name: Chicken Minute officiel
link: https://www.google.com/maps/search/Chicken+Minute+officiel/@48.7747959,1.9970692?authuser=0&hl=zh-TW&entry=ttu
Reviews: 493 reviews

Name: Chicken House Les Merisiers
link: https://www.google.com/maps/search/Chicken+House+Les+Merisiers/@48.776350199999996,1.9875262999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews",http://www.mcdonalds.fr/,McDonald's (Ye Zhu ),https://www.google.com/maps/contrib/114846729262681495274,https://lh5.googleusercontent.com/p/AF1QipMGOeBT0WY1HT_Mk2s4Feh6i4hLw7YV0Qnvxx4F=w426-h240-k-no,Kuai Can Dian ,Kuai Can Dian ,3.4,10:00-00:00,Open All Days,+33 1 39 38 65 30,"McDonald's, 2 Rue Paul Verlaine, 78190 Trappes, Fa Guo ","Xia Ding , Leng , Fang Jian , Ting Che Chang , Jing Li Ren , Shou Shi ",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x47e6840bdacd8c47:0xfd500c20fd3f4a9f!8m2!3d48.7853563!4d1.9857733!16s%2Fg%2F11bxdx0g0m!19sChIJR4zN2guE5kcRn0o__SAMUP0?authuser=0&hl=zh-TW&rclk=1
ChIJKUoKhVOB5kcR2CqwoyWgr9k,BOULANGERIE ANGE,,False,961,"Name: La Belle de Trappes
link: https://www.google.com/maps/search/La+Belle+de+Trappes/@48.777718899999996,1.9865502?authuser=0&hl=zh-TW&entry=ttu
Reviews: 130 reviews

Name: Boulangerie Cesaire
link: https://www.google.com/maps/search/Boulangerie+C%C3%A9saire/@48.7842908,1.9848938999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 93 reviews

Name: Bakery pastry
link: https://www.google.com/maps/search/Bakery+pastry/@48.7802304,1.9878149999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 89 reviews

Name: Boulangerie de la Mairie
link: https://www.google.com/maps/search/Boulangerie+de+la+Mairie/@48.7753561,1.9999346999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: Argon
link: https://www.google.com/maps/search/Argon/@48.7791077,2.0091915000000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.boulangerie-ange.fr/,BOULANGERIE ANGE (Ye Zhu ),https://www.google.com/maps/contrib/118213947940931143200,https://lh5.googleusercontent.com/p/AF1QipO2IfI3X1aSdMFKcgtRZXOuUGlYg9nEvLMwudqh=w408-h544-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Ka Pei Ting , Zheng Liu Ka Pei Ba , Kuai Can Dian , Gao Bing Dian , Bo Bing Can Ting , Cha Yi Guan ",4,06:00-20:00,Xing Qi Yi ,+33 1 30 66 76 45,"BOULANGERIE ANGE, 16 Av. Paul Vaillant-Couturier, 78190 Trappes, Fa Guo ","Pi Sa , San Ming Zhi , Dian Yuan , Ke Song , Yan , Ta , Shou Tao , Yuan Gong , Ce Suo ",https://www.google.com/maps/place/BOULANGERIE+ANGE/data=!4m7!3m6!1s0x47e68153850a4a29:0xd9afa025a3b02ad8!8m2!3d48.7791!4d2.0088629!16s%2Fg%2F11c2lyp2yz!19sChIJKUoKhVOB5kcR2CqwoyWgr9k?authuser=0&hl=zh-TW&rclk=1
ChIJJdL87dSG5kcR3gw2yEwY9zw,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,645,"Name: BAGELSTEIN * Bagels & Coffee shop
link: https://www.google.com/maps/search/BAGELSTEIN+%E2%80%A2+Bagels+%26+Coffee+shop/@48.7857035,2.0446754?authuser=0&hl=zh-TW&entry=ttu
Reviews: 315 reviews

Name: Cafe des Arts restaurant montigny le bretonneux
link: https://www.google.com/maps/search/Caf%C3%A9+des+Arts+restaurant+montigny+le+bretonneux/@48.788308099999995,2.0435350999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 274 reviews

Name: Le Cafe du Marche
link: https://www.google.com/maps/search/Le+Caf%C3%A9+du+March%C3%A9/@48.780835800000006,2.0413198?authuser=0&hl=zh-TW&entry=ttu
Reviews: 160 reviews

Name: La Croissanterie
link: https://www.google.com/maps/search/La+Croissanterie/@48.784251,2.044832?authuser=0&hl=zh-TW&entry=ttu
Reviews: 86 reviews",https://www.starbucks.fr/,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/108583584166125832784,https://lh5.googleusercontent.com/p/AF1QipOXSSXnDqaKA0L6Q2fPPNpq8Qvnf7iwT-fKg7_7=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting , Zao Wu Can Can Ting , Zi Zhu Can Ting , Xi Bing Dian , Ka Pei Dian , Sha Lu Dian , San Wen Zhi Dian , Cha Xie Dian , Wi-Fi Re Dian ",3.9,07:30-20:00,Open All Days,+33 1 30 57 05 82,"Starbucks, 15 Rue Colbert, 78180 Montigny-le-Bretonneux, Fa Guo ","Jing Pin Dian , Ka Pei Shi , Yuan Gong , Xing Bing Le , Tang , Zhou Ri , Na Tie ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x47e686d4edfcd225:0x3cf7184cc8360cde!8m2!3d48.782532!4d2.0434548!16s%2Fg%2F12hkml8hh!19sChIJJdL87dSG5kcR3gw2yEwY9zw?authuser=0&hl=zh-TW&rclk=1
ChIJPU_iffyD5kcRCEO-DjVJEZM,Chicken Minute officiel,,False,493,"Name: Eat's Time
link: https://www.google.com/maps/search/Eat%27s+Time/@48.7782627,2.0083151?authuser=0&hl=zh-TW&entry=ttu
Reviews: 578 reviews

Name: Eat Corner
link: https://www.google.com/maps/search/Eat+Corner/@48.7754007,1.9994121999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 222 reviews

Name: Chicken House Les Merisiers
link: https://www.google.com/maps/search/Chicken+House+Les+Merisiers/@48.776350199999996,1.9875262999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews",http://chickenminuteofficiel.fr/,Chicken Minute officiel (Ye Zhu ),https://www.google.com/maps/contrib/115616166827881717625,https://lh5.googleusercontent.com/p/AF1QipOeu8_cG-hXiMAqfIYoCHhfrGDDd1gS1RnhME4q=w408-h306-k-no,Kuai Can Dian ,"Kuai Can Dian , Ji Yi Can Ting , Zha Ji Wai Dai , Wai Song Su Di Can Ting ",4.1,11:00-23:00,Open All Days,+33 1 30 50 83 14,"Chicken Minute officiel, 56 Rue Jean Jaures, 78190 Trappes, Fa Guo ","naan, Xia Ding , Ju Kao , Wei Sheng , Xiang Liao , Song Bing , Jian Kang , Dian Hua ",https://www.google.com/maps/place/Chicken+Minute+officiel/data=!4m7!3m6!1s0x47e683fc7de24f3d:0x931149350ebe4308!8m2!3d48.7747959!4d1.9970692!16s%2Fg%2F1tfcbhcx!19sChIJPU_iffyD5kcRCEO-DjVJEZM?authuser=0&hl=zh-TW&rclk=1
ChIJeR4F71WB5kcR5wkOtJI3uag,Franprix,,False,316,"Name: Auchan Supermarket Trappes
link: https://www.google.com/maps/search/Auchan+Supermarket+Trappes/@48.7878506,1.9746503999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1474 reviews

Name: Carrefour Market Trappes
link: https://www.google.com/maps/search/Carrefour+Market+Trappes/@48.776883999999995,1.9875279999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 771 reviews

Name: Epicerie
link: https://www.google.com/maps/search/%C3%89picerie/@48.7802352,1.9870877999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews

Name: Chez Fouz
link: https://www.google.com/maps/search/Chez+Fouz/@48.7748318,1.9980011999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews",http://www.franprix.fr/,Franprix (Ye Zhu ),https://www.google.com/maps/contrib/106234767925040651525,https://lh5.googleusercontent.com/p/AF1QipPUyLiS24UduoAJwDDIus41v5E-49hWc2q42tDO=w408-h306-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Bian Li Dian , Kuai Can Dian , Za Huo Dian , Jiu Pin Dian , Tian Ran Shi Pin Dian , You Ji Shi Pin Dian , You Ji Shang Dian , Nong Chan Pin Shi Chang , San Wen Zhi Dian ",3.4,08:00-20:45,Open All Days,+33 1 30 62 84 43,"Franprix, 36 Av. Paul Vaillant-Couturier, 78190 Trappes, Fa Guo ","Zhou Ri , Bian Li Chao Shang , Shou Yin , Ke Ren , Bian Li Shang Dian , Zhi Fu , Cai ",https://www.google.com/maps/place/Franprix/data=!4m7!3m6!1s0x47e68155ef051e79:0xa8b93792b40e09e7!8m2!3d48.7774649!4d2.0049263!16s%2Fg%2F1thsf788!19sChIJeR4F71WB5kcR5wkOtJI3uag?authuser=0&hl=zh-TW&rclk=1
ChIJU0ADf5iD5kcRthjti1SBsSg,Total Petrol Station Access,,False,274,"Name: Station Service Auchan Supermarche Trappes
link: https://www.google.com/maps/search/Station+Service+Auchan+Supermarch%C3%A9+Trappes/@48.7890813,1.9738531000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews

Name: TotalEnergies
link: https://www.google.com/maps/search/TotalEnergies/@48.798307199999996,2.0483781?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: ESSO EXPRESS MONTIGNY LE BRETONNEUX
link: https://www.google.com/maps/search/ESSO+EXPRESS+MONTIGNY+LE+BRETONNEUX/@48.7773653,2.0186881999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 58 reviews

Name: STATION BP TRAPPES SNCF
link: https://www.google.com/maps/search/STATION+BP+TRAPPES+SNCF/@48.7696299,1.9844926999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: STATION BP TRAPPES LUTHER KING
link: https://www.google.com/maps/search/STATION+BP+TRAPPES+LUTHER+KING/@48.7728119,1.990964?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews",https://store.totalenergies.fr/fr_FR/NF072301%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dmybusiness-website,Total Petrol Station Access (Ye Zhu ),https://www.google.com/maps/contrib/113439572506416762177,https://lh5.googleusercontent.com/p/AF1QipOhxnrbx8rOxVOGL6bsh83wZSbt7IESTvmUihrl=w408-h302-k-no,You Zhan ,"You Zhan , Ti Dai Ran Liao You Zhan , Xi Che Fu Wu , Ka Pei Dian , Bian Li Dian , San Wen Zhi Dian ",3.5,06:00-22:00,Open All Days,+33 1 30 16 01 20,"Total Petrol Station Access, Rte de Chartres N10, 78190 Trappes, Fa Guo ","Jia Ge , Zhi Fu , Xi Di , Xi Chen Qi , Ling , Jing Pin Dian , Zhong ",https://www.google.com/maps/place/Total+Petrol+Station+Access/data=!4m7!3m6!1s0x47e683987f034053:0x28b181548bed18b6!8m2!3d48.7816539!4d2.0212945!16s%2Fg%2F1tmkk8_n!19sChIJU0ADf5iD5kcRthjti1SBsSg?authuser=0&hl=zh-TW&rclk=1
ChIJVzyZZAqD5kcRWY2c60SMBiA,METRO Trappes,,False,205,"Name: Auchan Supermarket Trappes
link: https://www.google.com/maps/search/Auchan+Supermarket+Trappes/@48.7878506,1.9746503999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1474 reviews

Name: Carrefour Market Trappes
link: https://www.google.com/maps/search/Carrefour+Market+Trappes/@48.776883999999995,1.9875279999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 771 reviews

Name: Franprix
link: https://www.google.com/maps/search/Franprix/@48.7774649,2.0049262999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 316 reviews

Name: Epicerie
link: https://www.google.com/maps/search/%C3%89picerie/@48.7802352,1.9870877999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews

Name: EM Trappes
link: https://www.google.com/maps/search/EM+Trappes/@48.7669597,1.9753179?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews",https://www.metro.fr/entrepot/trappes%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_content%3Dwebsite%26utm_term%3Dtrappes,METRO Trappes (Ye Zhu ),https://www.google.com/maps/contrib/106100399773779278833,https://lh5.googleusercontent.com/p/AF1QipNItwnmGgqZK7T6KMVQr3GV6eivhbMkQWsueoY3=w408-h272-k-no,Pi Fa Dian  (Hui Yuan Zhi ),"Pi Fa Dian  (Hui Yuan Zhi ), Jiu Ba Can Ting Jia Ju Dian , Wai Hui Yin Shi Gong Ying Shang , Chu Fang Yong Pin Dian , Can Ting Yong Pin Dian , Shi Pin Pi Fa Dian ",3.8,05:00-19:00,"Xing Qi Ri , Xing Qi Yi ",+33 825 09 09 09,"METRO Trappes, Route de Chartres (RN 10, Zone Immoparc, 78190 Trappes, Fa Guo ","Jia Ge , Ke Ren , Zai Nan ",https://www.google.com/maps/place/METRO+Trappes/data=!4m7!3m6!1s0x47e6830a64993c57:0x20068c44eb9c8d59!8m2!3d48.7646561!4d1.970836!16s%2Fg%2F11btm7z1fd!19sChIJVzyZZAqD5kcRWY2c60SMBiA?authuser=0&hl=zh-TW&rclk=1
ChIJuf_uiOmD5kcRQHmhBSCtTi0,RESTAURANT L'ESCALE GOURMANDE,,False,134,"Name: Hippopotamus
link: https://www.google.com/maps/search/Hippopotamus/@48.773275,1.9942037?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1526 reviews

Name: Leon - Trappes
link: https://www.google.com/maps/search/L%C3%A9on+-+Trappes/@48.766198499999994,1.9736921?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1391 reviews

Name: Les delices du Maghreb, chez Ahmed
link: https://www.google.com/maps/search/Les+d%C3%A9lices+du+Maghreb%2C+chez+Ahmed/@48.7764005,2.0019861?authuser=0&hl=zh-TW&entry=ttu
Reviews: 209 reviews

Name: Le Petit Pascal
link: https://www.google.com/maps/search/Le+Petit+Pascal/@48.7749204,2.0055575?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: Le Douze Heures Restaurant
link: https://www.google.com/maps/search/Le+Douze+Heures+Restaurant/@48.7758253,2.0000546?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews",https://lescale-gourmande.eatbu.com/%3Flang%3Dfr,RESTAURANT L'ESCALE GOURMANDE (Ye Zhu ),https://www.google.com/maps/contrib/103242291496850647821,https://lh5.googleusercontent.com/p/AF1QipOWq0K3Ct_7FIgLU4cxSQ90WNmuzHPWJlgWRw52=w426-h240-k-no,Can Ting ,"Can Ting , Jiu Ba , Pi Jiu Niang Zhi Chang , Ka Pei Ting ",4.4,,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Si , Xing Qi Wu , Xing Qi Liu ",+33 1 30 51 52 45,"RESTAURANT L'ESCALE GOURMANDE, 46 Av. Roger Hennequin, 78190 Trappes, Fa Guo ","Jia Ge , Bai Pan , Kao Lu , Xiao Rong , Can Jiu Guan , Pi Sa , Ka Pei Ting ",https://www.google.com/maps/place/RESTAURANT+L%27ESCALE+GOURMANDE/data=!4m7!3m6!1s0x47e683e988eeffb9:0x2d4ead2005a17940!8m2!3d48.7643072!4d1.985092!16s%2Fg%2F1tf01swf!19sChIJuf_uiOmD5kcRQHmhBSCtTi0?authuser=0&hl=zh-TW&rclk=1
