place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJc5xJosT_XkcRLOVap4oM7Bs,Cevabdzinica Hari,,False,7648,"Name: Konoba ""Plava voda""
link: https://www.google.com/maps/search/Konoba+%22Plava+voda%22/@44.2294239,17.672637299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3139 reviews

Name: Lutvina Kahva Coffeehouse
link: https://www.google.com/maps/search/Lutvina+Kahva+Coffeehouse/@44.229584,17.672995399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1361 reviews

Name: Cevabdzinica ""KARALIC""
link: https://www.google.com/maps/search/%C4%86evabd%C5%BEinica+%22KARALI%C4%86%22/@44.226613199999996,17.670087799999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 387 reviews

Name: Cevabdzinica Bosna
link: https://www.google.com/maps/search/%C4%86evabd%C5%BEinica+Bosna/@44.2261716,17.665327599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews

Name: Cevabzinica Hari
link: https://www.google.com/maps/search/%C4%86evab%C5%BEinica+Hari/@44.3124864,17.5734124?authuser=0&hl=zh-TW&entry=ttu
Reviews: 94 reviews",https://cevabdzinicahari.com/,Cevabdzinica Hari (Ye Zhu ),https://www.google.com/maps/contrib/102796708355459227251,https://lh5.googleusercontent.com/p/AF1QipNt6QWhByL59huvg9dGSk9tpI4-lSdMqBljaFfu=w426-h240-k-no,Shao Kao Can Ting ,"Shao Kao Can Ting , Zao Can Can Ting ",4.7,07:00-23:00,Open All Days,+387 30 511-727,"Cevabdzinica Hari, Donja carsija bb, Travnik 72270Bo Si Ni Ya He Hei Sai Ge Wei Na ","Chuan Shao , He , Shi Yan , Di Qu , Kao Bing , You Ge ",https://www.google.com/maps/place/%C4%86evabd%C5%BEinica+Hari/data=!4m7!3m6!1s0x475effc4a2499c73:0x1bec0c8aa75ae52c!8m2!3d44.2267219!4d17.6708389!16s%2Fg%2F1ptzbh8vt!19sChIJc5xJosT_XkcRLOVap4oM7Bs?authuser=0&hl=zh-TW&rclk=1
ChIJ1TEusOf_XkcRGfRSipgtG8g,Konak,,False,1715,"Name: Bajra Ugostiteljstvo
link: https://www.google.com/maps/search/Bajra+Ugostiteljstvo/@44.2254066,17.659872999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1066 reviews

Name: Cevabdzinica Bosna
link: https://www.google.com/maps/search/%C4%86evabd%C5%BEinica+Bosna/@44.2261716,17.665327599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews

Name: Restoran Tarabovac
link: https://www.google.com/maps/search/Restoran+Tarabovac/@44.2248878,17.6653998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Bistro ""Lovac""
link: https://www.google.com/maps/search/Bistro+%22Lovac%22/@44.2261015,17.658720799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews",http://www.bajra.ba/,Konak (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM9BJOlBDF_H-MeiuE9nNe6jOK4g6S0oHTbbRS_=w408-h543-k-no,Can Ting ,Can Ting ,4.4,07:00-23:00,Open All Days,+387 30 509-021,"Konak, Vezirska bb, Travnik 72270Bo Si Ni Ya He Hei Sai Ge Wei Na ","Dan Gao , Ka Pei Ting , Jia Ge , He , Ting Che ",https://www.google.com/maps/place/Konak/data=!4m7!3m6!1s0x475effe7b02e31d5:0xc81b2d988a52f419!8m2!3d44.2255897!4d17.6603438!16s%2Fg%2F11b7fx2hd3!19sChIJ1TEusOf_XkcRGfRSipgtG8g?authuser=0&hl=zh-TW&rclk=1
ChIJw5cMocT_XkcR0O0gS2PEBAo,Lutvina Kahva Coffeehouse,,False,1361,"Name: Cevabdzinica Hari
link: https://www.google.com/maps/search/%C4%86evabd%C5%BEinica+Hari/@44.2267219,17.6708389?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7647 reviews

Name: Konoba ""Plava voda""
link: https://www.google.com/maps/search/Konoba+%22Plava+voda%22/@44.2294239,17.672637299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3139 reviews

Name: Konak
link: https://www.google.com/maps/search/Konak/@44.2255897,17.6603438?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1715 reviews

Name: restaurant Castel on Hendek
link: https://www.google.com/maps/search/restaurant+Castel+on+Hendek/@44.229659999999996,17.6701049?authuser=0&hl=zh-TW&entry=ttu
Reviews: 490 reviews

Name: Ascinica Plava Voda
link: https://www.google.com/maps/search/A%C5%A1%C4%8Dinica+Plava+Voda/@44.229635099999996,17.672268199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 347 reviews",https://lutvina-kahva.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Lutvina Kahva Coffeehouse (Ye Zhu ),https://www.google.com/maps/contrib/110230792413209853834,https://lh5.googleusercontent.com/p/AF1QipNePvgAVJa8t_vMMATevW0eBYpkskUM1NRbXgmT=w408-h543-k-no,Can Ting ,Can Ting ,4.6,07:00-22:00,Open All Days,+387 61 154 520,"Lutvina Kahva Coffeehouse, Sumece bb, Travnik 72270Bo Si Ni Ya He Hei Sai Ge Wei Na ","Chuan Shao , He , Yan , Ka Pei Ting , Jia Ge , Gan Mou , Xia Tian ",https://www.google.com/maps/place/Lutvina+Kahva+Coffeehouse/data=!4m7!3m6!1s0x475effc4a10c97c3:0xa04c4634b20edd0!8m2!3d44.229584!4d17.6729954!16s%2Fg%2F1wf20mym!19sChIJw5cMocT_XkcR0O0gS2PEBAo?authuser=0&hl=zh-TW&rclk=1
ChIJ71BAJt3_XkcR6vCOcVmhipw,Konzum,,False,920,"Name: Bingo
link: https://www.google.com/maps/search/Bingo/@44.2272852,17.6655721?authuser=0&hl=zh-TW&entry=ttu
Reviews: 156 reviews

Name: Dm Market
link: https://www.google.com/maps/search/Dm+Market/@44.226540199999995,17.6610773?authuser=0&hl=zh-TW&entry=ttu
Reviews: 136 reviews

Name: Mercator
link: https://www.google.com/maps/search/Mercator/@44.2268876,17.661196399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 94 reviews

Name: KONZUM
link: https://www.google.com/maps/search/KONZUM/@44.2069045,17.7152833?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: Grand
link: https://www.google.com/maps/search/Grand/@44.2264249,17.6570802?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://www.konzum.co.ba/,Konzum (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNNHXzvTQbT8uUzBnHQcYWXYManpkProIsye7TG=w426-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.1,08:00-22:00,Open All Days,+387 30 512-205,"Konzum, Bosanska bb, Travnik 72270Bo Si Ni Ya He Hei Sai Ge Wei Na ",,https://www.google.com/maps/place/Konzum/data=!4m7!3m6!1s0x475effdd264050ef:0x9c8aa159718ef0ea!8m2!3d44.2257375!4d17.6660706!16s%2Fg%2F1q6h_dbts!19sChIJ71BAJt3_XkcR6vCOcVmhipw?authuser=0&hl=zh-TW&rclk=1
ChIJzUy4TKz_XkcRpmYKQlpX3UM,My Place Cafe Travnik,,False,781,"Name: Upitnik
link: https://www.google.com/maps/search/Upitnik/@44.2259811,17.6687458?authuser=0&hl=zh-TW&entry=ttu
Reviews: 242 reviews

Name: Cafe La Vie
link: https://www.google.com/maps/search/Caf%C3%A9+La+Vie/@44.2264177,17.6703655?authuser=0&hl=zh-TW&entry=ttu
Reviews: 78 reviews

Name: Caffe ""Oaza""
link: https://www.google.com/maps/search/Caffe+%22Oaza%22/@44.2255888,17.665059799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Caffe Mik
link: https://www.google.com/maps/search/Caffe+Mik/@44.226653999999996,17.666552799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",http://www.mycompany.ba/,My Place Cafe Travnik (Ye Zhu ),https://www.google.com/maps/contrib/101635626266539816162,https://lh5.googleusercontent.com/p/AF1QipPyj6hoalc9NrkeDcKlpeFnO-dTfJaQitf1WKv2=w409-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,07:00-23:00,Open All Days,+387 62 557 333,"My Place Cafe Travnik, Bosanska 33, Travnik 72270Bo Si Ni Ya He Hei Sai Ge Wei Na ",,https://www.google.com/maps/place/My+Place+Caf%C3%A9+Travnik/data=!4m7!3m6!1s0x475effac4cb84ccd:0x43dd575a420a66a6!8m2!3d44.226125!4d17.6565035!16s%2Fg%2F11ghnbdkmg!19sChIJzUy4TKz_XkcRpmYKQlpX3UM?authuser=0&hl=zh-TW&rclk=1
ChIJD3H9iQMBX0cRUxwZcJdALQ4,Code,,False,451,"Name: Caffe Studio
link: https://www.google.com/maps/search/Caffe+Studio/@44.17044200000001,17.6582886?authuser=0&hl=zh-TW&entry=ttu
Reviews: 556 reviews

Name: Caffe Club Balkan
link: https://www.google.com/maps/search/Caffe+Club+Balkan/@44.1750174,17.6628881?authuser=0&hl=zh-TW&entry=ttu
Reviews: 162 reviews

Name: Caffe Cortado
link: https://www.google.com/maps/search/Caffe+Cortado/@44.170723699999996,17.658956099999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Caffe Lira
link: https://www.google.com/maps/search/Caffe+Lira/@44.1697031,17.656493599999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Cafe ""Globus"" Novi Travnik
link: https://www.google.com/maps/search/Cafe+%22Globus%22+Novi+Travnik/@44.1702164,17.6559557?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.caffeclub-code.com/,Code (Ye Zhu ),https://www.google.com/maps/contrib/106237153688148170651,https://lh5.googleusercontent.com/p/AF1QipM9Uvoyhs3gc0Oeub4yuzeocPL9MXtNXyihyxs=w408-h271-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba ",4.6,08:00-00:00,Open All Days,+387 63 905 003,"Code, Ive Andrica 15, Novi Travnik 72290Bo Si Ni Ya He Hei Sai Ge Wei Na ",,https://www.google.com/maps/place/Code/data=!4m7!3m6!1s0x475f010389fd710f:0xe2d409770191c53!8m2!3d44.1734724!4d17.662876!16s%2Fg%2F12qfbhsbz!19sChIJD3H9iQMBX0cRUxwZcJdALQ4?authuser=0&hl=zh-TW&rclk=1
ChIJX1OhcMP_XkcRiL4tXcUUILA,Cafe Vremeplov,,False,352,"Name: Upitnik
link: https://www.google.com/maps/search/Upitnik/@44.2259811,17.6687458?authuser=0&hl=zh-TW&entry=ttu
Reviews: 242 reviews

Name: Nostalgija
link: https://www.google.com/maps/search/Nostalgija/@44.225886599999995,17.6629725?authuser=0&hl=zh-TW&entry=ttu
Reviews: 166 reviews

Name: Apartment Vremeplov
link: https://www.google.com/maps/search/Apartment+Vremeplov/@44.22730610000001,17.6701338?authuser=0&hl=zh-TW&entry=ttu
Reviews: 50 reviews

Name: Caffe ""Oaza""
link: https://www.google.com/maps/search/Caffe+%22Oaza%22/@44.2255888,17.665059799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",https://m.facebook.com/vremeplovcafe/,Cafe Vremeplov (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPg2kSZmhOrM48fDcWEBYKPdToYy0vm_fl1hYrS=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.8,06:00-23:00,Open All Days,+387 61 748 680,"Cafe Vremeplov, Varos 10, Travnik 72270Bo Si Ni Ya He Hei Sai Ge Wei Na ","Zhuang Xiu , atmosphere",https://www.google.com/maps/place/Cafe+Vremeplov/data=!4m7!3m6!1s0x475effc370a1535f:0xb02014c55d2dbe88!8m2!3d44.2272571!4d17.670105!16s%2Fg%2F11c5397v5t!19sChIJX1OhcMP_XkcRiL4tXcUUILA?authuser=0&hl=zh-TW&rclk=1
ChIJP0XoeN3_XkcRlWvT_ZAcjdI,"Caffe Bar ""Gaj - INN"" Travnik",,False,262,"Name: Upitnik
link: https://www.google.com/maps/search/Upitnik/@44.2259811,17.6687458?authuser=0&hl=zh-TW&entry=ttu
Reviews: 242 reviews

Name: Caffe Bonna Notte
link: https://www.google.com/maps/search/Caffe+Bonna+Notte/@44.226192399999995,17.6612396?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews

Name: Caffe Jack
link: https://www.google.com/maps/search/Caffe+Jack/@44.2265084,17.6675505?authuser=0&hl=zh-TW&entry=ttu
Reviews: 60 reviews

Name: Caffe ""Oaza""
link: https://www.google.com/maps/search/Caffe+%22Oaza%22/@44.2255888,17.665059799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: caffe KAN
link: https://www.google.com/maps/search/caffe+KAN/@44.2260975,17.6674279?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",https://caffe-nargila-bar-gaj-travnik.business.site/,"Caffe Bar ""Gaj - INN"" Travnik (Ye Zhu )",https://www.google.com/maps/contrib/106518400294565097938,https://lh5.googleusercontent.com/p/AF1QipNFmdnTPGKUa6jNP7uMeurr7ZH2wo-BY3b0xo22=w427-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,08:00-23:00,Open All Days,+387 62 130 356,"Caffe Bar ""Gaj - INN"" Travnik, Gaj 18, Travnik 72270Bo Si Ni Ya He Hei Sai Ge Wei Na ",,https://www.google.com/maps/place/Caffe+Bar+%22Gaj+-+INN%22+Travnik/data=!4m7!3m6!1s0x475effdd78e8453f:0xd28d1c90fdd36b95!8m2!3d44.2237941!4d17.6630354!16s%2Fg%2F11cn9qpf7p!19sChIJP0XoeN3_XkcRlWvT_ZAcjdI?authuser=0&hl=zh-TW&rclk=1
ChIJl7cys9z_XkcRXixxEK2E72w,Upitnik,,False,242,"Name: Nostalgija
link: https://www.google.com/maps/search/Nostalgija/@44.225886599999995,17.6629725?authuser=0&hl=zh-TW&entry=ttu
Reviews: 166 reviews

Name: Vanilla
link: https://www.google.com/maps/search/Vanilla/@44.2258175,17.6641569?authuser=0&hl=zh-TW&entry=ttu
Reviews: 166 reviews

Name: Caffe Bonna Notte
link: https://www.google.com/maps/search/Caffe+Bonna+Notte/@44.226192399999995,17.6612396?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews

Name: Caffe Domino
link: https://www.google.com/maps/search/Caffe+Domino/@44.2258922,17.6542857?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://upitnik-cafe.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Upitnik (Ye Zhu ),https://www.google.com/maps/contrib/101779211492772171049,https://lh5.googleusercontent.com/p/AF1QipM4udaAogUSXr3Z17yDMmIprqHroASMn31--I_p=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,06:30-23:00,Open All Days,+387 61 171 291,"Upitnik, 72270, Travnik 72270Bo Si Ni Ya He Hei Sai Ge Wei Na ",,https://www.google.com/maps/place/Upitnik/data=!4m7!3m6!1s0x475effdcb332b797:0x6cef84ad10712c5e!8m2!3d44.2259811!4d17.6687458!16s%2Fg%2F11c54bvy_l!19sChIJl7cys9z_XkcRXixxEK2E72w?authuser=0&hl=zh-TW&rclk=1
ChIJ29k5yuf_XkcR45QpOF9Ue2o,Shisha bar Kaldrma,,False,182,,https://instagram.com/kaldrma_caffeshisha_bar,Shisha bar Kaldrma (Ye Zhu ),https://www.google.com/maps/contrib/107681181052620210437,https://lh5.googleusercontent.com/p/AF1QipPSW9oL1G1ZwaAy_xS6jDB37T8XHAbPFG8gel_U=w408-h408-k-no,Ka Pei Ting ,"Ka Pei Ting , Shui Yan Hu Ba ",4.7,08:00-00:00,Open All Days,,"Shisha bar Kaldrma, Bosanska 48, Travnik 72270Bo Si Ni Ya He Hei Sai Ge Wei Na ",,https://www.google.com/maps/place/Shisha+bar+Kaldrma/data=!4m7!3m6!1s0x475effe7ca39d9db:0x6a7b545f382994e3!8m2!3d44.2262814!4d17.6602126!16s%2Fg%2F11f_fmft93!19sChIJ29k5yuf_XkcR45QpOF9Ue2o?authuser=0&hl=zh-TW&rclk=1
