place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ7RyD545tkpUR2pbOAuavjdY,Cooperativa Obrera sucursal 30,,False,1152,"Name: Cooperativa Obrera sucursal 45
link: https://www.google.com/maps/search/Cooperativa+Obrera+sucursal+45/@-38.370244199999995,-60.2679768?authuser=0&hl=zh-TW&entry=ttu
Reviews: 670 reviews

Name: Cooperativa Agraria de Tres Arroyos Ltda.
link: https://www.google.com/maps/search/Cooperativa+Agraria+de+Tres+Arroyos+Ltda./@-38.3689788,-60.2860995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 472 reviews

Name: Naldo
link: https://www.google.com/maps/search/Naldo/@-38.377983,-60.273002600000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 409 reviews

Name: Casa Silvia (Art. para el hogar)
link: https://www.google.com/maps/search/Casa+Silvia+%28Art.+para+el+hogar%29/@-38.375636,-60.27047599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 249 reviews

Name: Estacionamiento La Coope
link: https://www.google.com/maps/search/Estacionamiento+La+Coope/@-38.3781059,-60.276528299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.cooperativaobrera.coop/,Cooperativa Obrera sucursal 30 (Ye Zhu ),https://www.google.com/maps/contrib/101907394742159621857,https://lh5.googleusercontent.com/p/AF1QipOEN6xhLGp77_WGtYna4rBTP7yjYmS4OQmkCK3U=w426-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Za Huo Dian ",4.3,08:30-21:00,Xing Qi Ri ,+54 2983 43-2005,"Cooperativa Obrera sucursal 30, Colon 33, B7500 Tres Arroyos, Provincia de Buenos Aires, A Gen Ting ","Jia Ge , Gong Ying , He , Qing Jie , Pin Pai , Zhi Fu , Zai Nan ",https://www.google.com/maps/place/Cooperativa+Obrera+sucursal+30/data=!4m7!3m6!1s0x95926d8ee7831ced:0xd68dafe602ce96da!8m2!3d-38.3782344!4d-60.2766063!16s%2Fg%2F11clwhl64b!19sChIJ7RyD545tkpUR2pbOAuavjdY?authuser=0&hl=zh-TW&rclk=1
ChIJOSHHqbBtkpURMVMGbt_vWmo,Confiteria La Perla,,False,915,"Name: La Rosa
link: https://www.google.com/maps/search/La+Rosa/@-38.375059799999995,-60.273104000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 264 reviews

Name: Bar La Perla
link: https://www.google.com/maps/search/Bar+La+Perla/@-38.378687899999996,-60.274262799999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 220 reviews

Name: Panaderia & Confiteria Tres Arroyos
link: https://www.google.com/maps/search/Panader%C3%ADa+%26+Confiter%C3%ADa+Tres+Arroyos/@-38.3842922,-60.266117599999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 136 reviews

Name: Panaderia Lebledor
link: https://www.google.com/maps/search/Panaderia+Lebledor/@-38.3741325,-60.264913500000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 78 reviews

Name: Confiteria y Panaderia San Martin
link: https://www.google.com/maps/search/Confiteria+y+Panaderia+San+Martin/@-38.3746859,-60.27887319999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 54 reviews",https://confiterialaperla.com.ar/,Confiteria La Perla (Ye Zhu ),https://www.google.com/maps/contrib/117080743456232848339,https://lh5.googleusercontent.com/p/AF1QipMFPXFvteQH-8g8A1rZ_VvBFcBhK0xUBmHAPvfj=w408-h271-k-no,Fa Shi Gao Bing Dian ,"Fa Shi Gao Bing Dian , Wai Hui Yin Shi Gong Ying Shang , Dao Hui Fu Wu , Zhu Gu Li Dian , Tang Guo Gao Bing Dian , Jing Pin Dian , Jiu Pin Zhuan Mai Dian ",4.6,07:00-22:30,Open All Days,+54 2983 43-0222,"Confiteria La Perla, Av. Moreno 171, B7500 Tres Arroyos, Provincia de Buenos Aires, A Gen Ting ","Mian Tuan , Jia Ge , Fu You , Fa Piao , Ke Song , Zao Can , Tian , Ke Ting ",https://www.google.com/maps/place/Confiter%C3%ADa+La+Perla/data=!4m7!3m6!1s0x95926db0a9c72139:0x6a5aefdf6e065331!8m2!3d-38.378232!4d-60.274214!16s%2Fg%2F1tgcbpm8!19sChIJOSHHqbBtkpURMVMGbt_vWmo?authuser=0&hl=zh-TW&rclk=1
ChIJJ8h6RFJtkpURYuR1RivPJsY,Ruya Coffee Store,,False,803,"Name: Sorti Cafe
link: https://www.google.com/maps/search/Sorti+Caf%C3%A9/@-38.3798697,-60.27402299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2396 reviews

Name: Confiteria La Perla
link: https://www.google.com/maps/search/Confiter%C3%ADa+La+Perla/@-38.378232,-60.274214?authuser=0&hl=zh-TW&entry=ttu
Reviews: 915 reviews

Name: Joker's Cafe Resto Bar
link: https://www.google.com/maps/search/Joker%27s+Caf%C3%A9+Resto+Bar/@-38.3789021,-60.272670600000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 462 reviews

Name: Green licuados y cocteles
link: https://www.google.com/maps/search/Green+licuados+y+cocteles/@-38.3783254,-60.275364999999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Mandalas Cafe
link: https://www.google.com/maps/search/Mandalas+Cafe/@-38.3796944,-60.274242599999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://instagram.com/ruyatresarroyos,Ruya Coffee Store (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN7sz9bGNv5aXq5eQvESSBDYKE7_OovfQSkeem1=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,08:00-22:00,Open All Days,+54 2983 38-6668,"Ruya Coffee Store, Colon 401, Tres Arroyos, Provincia de Buenos Aires, A Gen Ting ","Fu You , Er Zi , Nai , Xin , Nian Qing , He ",https://www.google.com/maps/place/Ruya+Coffee+Store/data=!4m7!3m6!1s0x95926d52447ac827:0xc626cf2b4675e462!8m2!3d-38.3807672!4d-60.2727975!16s%2Fg%2F11h5s2t22b!19sChIJJ8h6RFJtkpURYuR1RivPJsY?authuser=0&hl=zh-TW&rclk=1
ChIJEZLCdzRskpUR11pTW3FpgUk,Cooperativa Agraria de Tres Arroyos Ltda.,,False,472,"Name: Cooperativa Rural Ltda Alfa
link: https://www.google.com/maps/search/Cooperativa+Rural+Ltda+Alfa/@-38.3834656,-60.2769385?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Coop. Agraria Tres Arroyos LTDA
link: https://www.google.com/maps/search/Coop.+Agraria+Tres+Arroyos+LTDA/@-38.394575499999995,-60.284198399999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Cerealera Tres Arroyos Sa
link: https://www.google.com/maps/search/Cerealera+Tres+Arroyos+Sa/@-38.3637023,-60.292717499999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Semillas Y Cereales Tres Arroyos
link: https://www.google.com/maps/search/Semillas+Y+Cereales+Tres+Arroyos/@-38.3597551,-60.278075699999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://www.agraria.com.ar/,Cooperativa Agraria de Tres Arroyos Ltda. (Ye Zhu ),https://www.google.com/maps/contrib/118053486532352462440,https://lh5.googleusercontent.com/p/AF1QipN55tJWxeADRD1gRmL0vTSfU_AjSte5NhPbALJI=w426-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Nong Ye He Zuo She , Fei Liao Gong Ying Shang , Wu Jin Yong Pin Dian , Zhong Zi Gong Ying Shang ",4.5,"08:00-12:30, 15:30-20:00",Xing Qi Ri ,+54 2983 43-1340,"Cooperativa Agraria de Tres Arroyos Ltda., Av. San Martin 1050, Tres Arroyos, Provincia de Buenos Aires, A Gen Ting ","Jia Ge , Gong Ying , Ting Che Chang , Pin Pai , Shou Yin , Rou ",https://www.google.com/maps/place/Cooperativa+Agraria+de+Tres+Arroyos+Ltda./data=!4m7!3m6!1s0x95926c3477c29211:0x498169715b535ad7!8m2!3d-38.3689788!4d-60.2860995!16s%2Fg%2F1vl5hz8q!19sChIJEZLCdzRskpUR11pTW3FpgUk?authuser=0&hl=zh-TW&rclk=1
ChIJXb-sCnBtkpURqvBPNoyiwYw,Cartagena Liquor & Gift Shop,,False,67,"Name: Sorti Cafe
link: https://www.google.com/maps/search/Sorti+Caf%C3%A9/@-38.3798697,-60.27402299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2396 reviews

Name: Oslo Bar
link: https://www.google.com/maps/search/Oslo+Bar/@-38.3778407,-60.2746285?authuser=0&hl=zh-TW&entry=ttu
Reviews: 330 reviews

Name: BLOOM dindi
link: https://www.google.com/maps/search/BLOOM+dind%C3%AD/@-38.380027299999995,-60.26737869999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews",https://cartagena-liquor-gift-shop.negocio.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Cartagena Liquor & Gift Shop (Ye Zhu ),https://www.google.com/maps/contrib/101685782189650698858,https://lh5.googleusercontent.com/p/AF1QipMIvYlVcxilh4nO1qvAjQz1xLkFiy2OwZk9_m6S=w408-h306-k-no,Jiu Ba ,Jiu Ba ,4.6,08:00-00:00,Xing Qi Ri ,,"Cartagena Liquor & Gift Shop, Colon 489, B7500 Tres Arroyos, Provincia de Buenos Aires, A Gen Ting ","Jia Ge , Kong Jian ",https://www.google.com/maps/place/Cartagena+Liquor+%26+Gift+Shop/data=!4m7!3m6!1s0x95926d700aacbf5d:0x8cc1a28c364ff0aa!8m2!3d-38.3814404!4d-60.2721436!16s%2Fg%2F11nrs4czgj!19sChIJXb-sCnBtkpURqvBPNoyiwYw?authuser=0&hl=zh-TW&rclk=1
ChIJRzSF70htkpURtINCQMb3S64,RICOS CHURROS,,False,35,"Name: Confiteria La Perla
link: https://www.google.com/maps/search/Confiter%C3%ADa+La+Perla/@-38.378232,-60.274214?authuser=0&hl=zh-TW&entry=ttu
Reviews: 915 reviews

Name: Chocolates Puente Viejo
link: https://www.google.com/maps/search/Chocolates+Puente+Viejo/@-38.394661299999996,-60.27301680000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: La Reyna churreria y Sandwicheria
link: https://www.google.com/maps/search/La+Reyna+churrer%C3%ADa+y+Sandwicher%C3%ADa/@-38.3836507,-60.287142900000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: La Roty
link: https://www.google.com/maps/search/La+Roty/@-38.3851453,-60.26748739999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Dulces Tentaciones
link: https://www.google.com/maps/search/Dulces+Tentaciones/@-38.3815526,-60.2712357?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/Ricos.Churrostsas/,RICOS CHURROS (Ye Zhu ),https://www.google.com/maps/contrib/113778018024036810239,https://lh5.googleusercontent.com/p/AF1QipO4Ub9aPt3kHWCrGgh0DawNcepl083wec_iP2Si=w408-h306-k-no,Xi Ban Ya You Tiao Dian ,"Xi Ban Ya You Tiao Dian , Za Huo Dian ",4.5,"09:00-13:00, 15:30-19:30",Xing Qi Yi ,+54 2983 52-5256,"RICOS CHURROS, Chacabuco 128, B7500 Tres Arroyos, Provincia de Buenos Aires, A Gen Ting ",Chan Pin ,https://www.google.com/maps/place/RICOS+CHURROS/data=!4m7!3m6!1s0x95926d48ef853447:0xae4bf7c6404283b4!8m2!3d-38.3792844!4d-60.2761957!16s%2Fg%2F11pg9mpyx3!19sChIJRzSF70htkpURtINCQMb3S64?authuser=0&hl=zh-TW&rclk=1
ChIJ-XQD3M5tkpUR5BOCoDFfO0s,The Market - Cheap & Quick,,False,25,"Name: Macadamia Saludable & Gourmet
link: https://www.google.com/maps/search/Macadamia+Saludable+%26+Gourmet/@-38.374562499999996,-60.269180600000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: Mercadito Tres Arroyos
link: https://www.google.com/maps/search/Mercadito+Tres+Arroyos/@-38.3849227,-60.2814827?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: TU LUGAR DESPENSA
link: https://www.google.com/maps/search/TU+LUGAR+DESPENSA/@-38.375439799999995,-60.281653500000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: TODO RESUELTO
link: https://www.google.com/maps/search/TODO+RESUELTO/@-38.3735944,-60.27201869999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.themarket.ms3.com.ar/,The Market - Cheap & Quick (Ye Zhu ),https://www.google.com/maps/contrib/112155096478879952287,https://lh5.googleusercontent.com/p/AF1QipO7GBAhXVxcsGoUVz3dxPIucOdydf3X2QseF5-Z=w408-h544-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Gao Ji Shi Cai Dian , Za Huo Dian , Tian Ran Shi Pin Dian , You Ji Shi Pin Dian , Cha Xie Dian ",4.4,"08:30-14:00, 16:00-22:30",Open All Days,+54 2983 60-0949,"The Market - Cheap & Quick, Chacabuco 499, B7500 Tres Arroyos, Provincia de Buenos Aires, A Gen Ting ",Jia Ge ,https://www.google.com/maps/place/The+Market+-+Cheap+%26+Quick/data=!4m7!3m6!1s0x95926dcedc0374f9:0x4b3b5f31a08213e4!8m2!3d-38.382237!4d-60.2727405!16s%2Fg%2F11j21nb8r1!19sChIJ-XQD3M5tkpUR5BOCoDFfO0s?authuser=0&hl=zh-TW&rclk=1
ChIJQQHTou9tkpURJadHmN0-8ho,Lo del Panda,,False,7,"Name: Sofia
link: https://www.google.com/maps/search/Sofia/@-38.373737299999995,-60.2713203?authuser=0&hl=zh-TW&entry=ttu
Reviews: 264 reviews

Name: SUPER 3 . Autoservicio .
link: https://www.google.com/maps/search/SUPER+3+.+Autoservicio+./@-38.377705299999995,-60.2841168?authuser=0&hl=zh-TW&entry=ttu
Reviews: 138 reviews

Name: super chino
link: https://www.google.com/maps/search/super+chino/@-38.3718499,-60.289198799999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: Supermercado Apin
link: https://www.google.com/maps/search/Supermercado+Apin/@-38.360535999999996,-60.2761811?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Panda Express
link: https://www.google.com/maps/search/Panda+Express/@-38.3778947,-60.2786689?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://instagram.com/lodelpanda3a,Lo del Panda (Ye Zhu ),https://www.google.com/maps/contrib/116470594362421810568,https://lh5.googleusercontent.com/p/AF1QipPKgHyBQzE_Wkp2DDKA7pf3eRm9QgvN24s1B6Ej=w426-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.9,"09:00-13:00, 17:00-21:00",Open All Days,,"Lo del Panda, Alberdi 99, B7500 Tres Arroyos, Provincia de Buenos Aires, A Gen Ting ",,https://www.google.com/maps/place/Lo+del+Panda/data=!4m7!3m6!1s0x95926defa2d30141:0x1af23edd9847a725!8m2!3d-38.3815434!4d-60.2833159!16s%2Fg%2F11s0vj5b_w!19sChIJQQHTou9tkpURJadHmN0-8ho?authuser=0&hl=zh-TW&rclk=1
ChIJz3wrNVNtkpURNzXvEfKGlm4,Moka gluten free & vegan,,False,2,"Name: Delicias Tresa sin gluten
link: https://www.google.com/maps/search/Delicias+Tresa+sin+gluten/@-38.3841402,-60.277452399999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews

Name: Macadamia Saludable & Gourmet
link: https://www.google.com/maps/search/Macadamia+Saludable+%26+Gourmet/@-38.374562499999996,-60.269180600000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: Dietetica Los Arroyos
link: https://www.google.com/maps/search/Diet%C3%A9tica+Los+Arroyos/@-38.3788139,-60.27636630000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews

Name: The Market - Cheap & Quick
link: https://www.google.com/maps/search/The+Market+-+Cheap+%26+Quick/@-38.382236999999996,-60.2727405?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Cocina especializada para celiacos
link: https://www.google.com/maps/search/Cocina+especializada+para+celiacos/@-38.3842596,-60.2773488?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://instagram.com/moka.vmr%3Futm_medium%3Dcopy_link,Moka gluten free & vegan (Ye Zhu ),https://www.google.com/maps/contrib/107378211756394567374,https://lh5.googleusercontent.com/p/AF1QipOY1K7neXkTlVnwA75plpS9FZC_Bhf1rsQzx8-C=w408-h306-k-no,Bian Li Dian ,Bian Li Dian ,5,09:30-19:30,Xing Qi Ri ,+54 2983 51-2742,"Moka gluten free & vegan, 25 de Mayo 102, B7500 Tres Arroyos, Provincia de Buenos Aires, A Gen Ting ",,https://www.google.com/maps/place/Moka+gluten+free+%26+vegan/data=!4m7!3m6!1s0x95926d53352b7ccf:0x6e9686f211ef3537!8m2!3d-38.3799126!4d-60.277332!16s%2Fg%2F11q3655t39!19sChIJz3wrNVNtkpURNzXvEfKGlm4?authuser=0&hl=zh-TW&rclk=1
ChIJa16lOrptkpURvE8pRPSjxLo,Sorti Cafe,,False,2396,"Name: Ruya Coffee Store
link: https://www.google.com/maps/search/Ruya+Coffee+Store/@-38.3807672,-60.272797499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 803 reviews

Name: Joker's Cafe Resto Bar
link: https://www.google.com/maps/search/Joker%27s+Caf%C3%A9+Resto+Bar/@-38.3789021,-60.272670600000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 462 reviews

Name: Amadeus
link: https://www.google.com/maps/search/Amadeus/@-38.377024299999995,-60.270359299999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 150 reviews",,Sorti Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMHBLrz8z4jcD38l1M74isqjGI-RGrKI1EXSsMO=w408-h544-k-no,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting ",4.5,08:00-01:30,Open All Days,+54 2983 43-1795,"Sorti Cafe, Tres Arroyos, Provincia de Buenos Aires, A Gen Ting ","Fu You , Xi , Xin , Wan Can ",https://www.google.com/maps/place/Sorti+Caf%C3%A9/data=!4m7!3m6!1s0x95926dba3aa55e6b:0xbac4a3f444294fbc!8m2!3d-38.3798697!4d-60.274023!16s%2Fg%2F11bc56vsfm!19sChIJa16lOrptkpURvE8pRPSjxLo?authuser=0&hl=zh-TW&rclk=1
