place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ7wW_kpuMDkcR28v-bcwvZjc,Up MAJ,,False,697,"Name: Restaurace Porici
link: https://www.google.com/maps/search/Restaurace+Po%C5%99%C3%AD%C4%8D%C3%AD/@50.5759712,15.9614733?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1876 reviews

Name: Pizzeria La piazza
link: https://www.google.com/maps/search/Pizzeria+La+piazza/@50.56141660000001,15.911559100000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1795 reviews

Name: Restaurace Jednicka Trutnov
link: https://www.google.com/maps/search/Restaurace+Jedni%C4%8Dka+Trutnov/@50.5614238,15.911777899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1491 reviews

Name: Restaurace Pohoda
link: https://www.google.com/maps/search/Restaurace+Pohoda/@50.5620023,15.9113805?authuser=0&hl=zh-TW&entry=ttu
Reviews: 460 reviews

Name: Restaurace a music bar Pod Hradem
link: https://www.google.com/maps/search/Restaurace+a+music+bar+Pod+Hradem/@50.5618559,15.913384800000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 285 reviews",http://upmaj.cz/,Up MAJ (Ye Zhu ),https://www.google.com/maps/contrib/117223277057072052130,https://lh5.googleusercontent.com/p/AF1QipOM_E1T9uFCdLmBV2kyWocFAUkjVAGZlU-P2VJb=w408-h272-k-no,Can Ting ,"Can Ting , Ka Pei Ting ",4.1,10:00-22:00,"Xing Qi Ri , Xing Qi Liu ",+420 737 278 926,"Up MAJ, OD Maj, Horska, 541 01 Trutnov, Jie Ke ",Ka Pei ,https://www.google.com/maps/place/Up+M%C3%81J/data=!4m7!3m6!1s0x470e8c9b92bf05ef:0x37662fcc6dfecbdb!8m2!3d50.5618268!4d15.9112203!16s%2Fg%2F11g_60jmk!19sChIJ7wW_kpuMDkcR28v-bcwvZjc?authuser=0&hl=zh-TW&rclk=1
ChIJY1MEXJyMDkcRN5uEKpfTUiE,Cafe U Korunek,,False,506,"Name: Bruno Coffee & Bar
link: https://www.google.com/maps/search/Bruno+Coffee+%26+Bar/@50.55992,15.911351000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 438 reviews

Name: Caffe Uffo
link: https://www.google.com/maps/search/Caff%C3%A9+Uffo/@50.5633939,15.910261799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 114 reviews

Name: Pullt
link: https://www.google.com/maps/search/Pullt/@50.561001999999995,15.914640499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: Barevna kavarna
link: https://www.google.com/maps/search/Barevn%C3%A1+kav%C3%A1rna/@50.559585299999995,15.906610200000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: Coffee & Bistro Wood
link: https://www.google.com/maps/search/Coffee+%26+Bistro+Wood/@50.561886699999995,15.9177563?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",http://www.cafeukorunek.cz/,Cafe U Korunek (Ye Zhu ),https://www.google.com/maps/contrib/111306459967928568285,https://lh5.googleusercontent.com/p/AF1QipPRBWp7xTpaKxqf7fbc4YBLZnirM29le-609OGB=w408-h272-k-no,Ka Pei Ting ,"Ka Pei Ting , Ji Wei Jiu Jiu Ba , Ka Pei Dian ",4.5,08:00-19:30,Open All Days,+420 605 242 701,"Cafe U Korunek, Krakonosovo nam. 129, 541 01 Trutnov 1, Jie Ke ",Dan Gao ,https://www.google.com/maps/place/Caf%C3%A9+U+Korunek/data=!4m7!3m6!1s0x470e8c9c5c045363:0x2152d3972a849b37!8m2!3d50.5608377!4d15.9139605!16s%2Fg%2F1thq8l0m!19sChIJY1MEXJyMDkcRN5uEKpfTUiE?authuser=0&hl=zh-TW&rclk=1
ChIJ_d_cGR-NDkcRuW2j-vYKdD4,Bruno Coffee & Bar,,False,438,"Name: VOLKAFE - Kafirna, Prazirna kavy, Kramek, Cokoladovna
link: https://www.google.com/maps/search/VOLKAFE+-+Kaf%C3%ADrna%2C+Pra%C5%BE%C3%ADrna+k%C3%A1vy%2C+Kr%C3%A1mek%2C+%C4%8Cokol%C3%A1dovna/@50.5632909,15.911273099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 392 reviews

Name: Cafe Bar Atrium
link: https://www.google.com/maps/search/Cafe+Bar+Atrium/@50.5613153,15.9116642?authuser=0&hl=zh-TW&entry=ttu
Reviews: 139 reviews

Name: Barevna kavarna
link: https://www.google.com/maps/search/Barevn%C3%A1+kav%C3%A1rna/@50.559585299999995,15.906610200000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: Vinoteka U Hroznu
link: https://www.google.com/maps/search/Vinot%C3%A9ka+U+Hroznu/@50.559619899999994,15.9115146?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Coffee & Bistro Wood
link: https://www.google.com/maps/search/Coffee+%26+Bistro+Wood/@50.561886699999995,15.9177563?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",http://www.brunocoffee.cz/,Bruno Coffee & Bar (Ye Zhu ),https://www.google.com/maps/contrib/111066444572316821088,https://lh5.googleusercontent.com/p/AF1QipOrWCHlDxvNkDbhYllPqigU0k-KPvRgf_6rTF6C=w426-h240-k-no,Zheng Liu Ka Pei Ba ,Zheng Liu Ka Pei Ba ,4.8,08:00-20:00,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+420 734 617 382,"Bruno Coffee & Bar, Havlickova 110, 541 01 Trutnov 1, Jie Ke ","Dan Gao , Jia Ge , atmosphere, Ying Wen ",https://www.google.com/maps/place/Bruno+Coffee+%26+Bar/data=!4m7!3m6!1s0x470e8d1f19dcdffd:0x3e740af6faa36db9!8m2!3d50.55992!4d15.911351!16s%2Fg%2F11fct10pl8!19sChIJ_d_cGR-NDkcRuW2j-vYKdD4?authuser=0&hl=zh-TW&rclk=1
ChIJZ1C2YJmMDkcR2PeRgxi_T0Y,"VOLKAFE - Kafirna, Prazirna kavy, Kramek, Cokoladovna",,False,394,"Name: Bruno Coffee & Bar
link: https://www.google.com/maps/search/Bruno+Coffee+%26+Bar/@50.55992,15.911351000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 438 reviews

Name: Kafka cafe & cocktail bar
link: https://www.google.com/maps/search/Kafka+caf%C3%A9+%26+cocktail+bar/@50.5604793,15.9123954?authuser=0&hl=zh-TW&entry=ttu
Reviews: 168 reviews

Name: Caffe Uffo
link: https://www.google.com/maps/search/Caff%C3%A9+Uffo/@50.5633939,15.910261799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 114 reviews

Name: Barevna kavarna
link: https://www.google.com/maps/search/Barevn%C3%A1+kav%C3%A1rna/@50.559585299999995,15.906610200000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: Coffee & Bistro Wood
link: https://www.google.com/maps/search/Coffee+%26+Bistro+Wood/@50.561886699999995,15.9177563?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",https://eshop.volkafe.cz/,"VOLKAFE - Kafirna, Prazirna kavy, Kramek, Cokoladovna (Ye Zhu )",https://www.google.com/maps/contrib/109838828125977955912,https://lh5.googleusercontent.com/p/AF1QipNzkES7It_oZDvEWxcezN2U9pCa5DwcJ06_lXU7=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Hong Bei Shang ",4.8,09:00-16:30,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Si , Xing Qi Liu ",+420 776 595 417,"VOLKAFE - Kafirna, Prazirna kavy, Kramek, Cokoladovna, Spojenecka 61, 541 01 Trutnov 1-Stredni Predmesti, Jie Ke ",,"https://www.google.com/maps/place/VOLKAFE+-+Kaf%C3%ADrna,+Pra%C5%BE%C3%ADrna+k%C3%A1vy,+Kr%C3%A1mek,+%C4%8Cokol%C3%A1dovna/data=!4m7!3m6!1s0x470e8c9960b65067:0x464fbf188391f7d8!8m2!3d50.5632909!4d15.9112731!16s%2Fg%2F113gynmzh!19sChIJZ1C2YJmMDkcR2PeRgxi_T0Y?authuser=0&hl=zh-TW&rclk=1"
ChIJda-Nd5yMDkcRw11a4RwT7aA,Cafe Bar Atrium,,False,139,"Name: Bruno Coffee & Bar
link: https://www.google.com/maps/search/Bruno+Coffee+%26+Bar/@50.55992,15.911351000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 438 reviews

Name: ChrisTea Room Cajovna
link: https://www.google.com/maps/search/ChrisTea+Room+%C4%8Cajovna/@50.5661699,15.9221717?authuser=0&hl=zh-TW&entry=ttu
Reviews: 87 reviews

Name: Barevna kavarna
link: https://www.google.com/maps/search/Barevn%C3%A1+kav%C3%A1rna/@50.559585299999995,15.906610200000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: Vinoteka U Hroznu
link: https://www.google.com/maps/search/Vinot%C3%A9ka+U+Hroznu/@50.559619899999994,15.9115146?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Coffee & Bistro Wood
link: https://www.google.com/maps/search/Coffee+%26+Bistro+Wood/@50.561886699999995,15.9177563?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",https://www.facebook.com/cafebaratrium/,Cafe Bar Atrium (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNVXcniKtUG0UuI4074t7SEPhEERQuAT1UOEnnF=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.8,08:00-18:30,Xing Qi Ri ,+420 777 636 628,"Cafe Bar Atrium, Na Vrchu 98, 541 01 Trutnov 1-Vnitrni Mesto, Jie Ke ",,https://www.google.com/maps/place/Cafe+Bar+Atrium/data=!4m7!3m6!1s0x470e8c9c778daf75:0xa0ed131ce15a5dc3!8m2!3d50.5613153!4d15.9116642!16s%2Fg%2F11c53nz850!19sChIJda-Nd5yMDkcRw11a4RwT7aA?authuser=0&hl=zh-TW&rclk=1
ChIJzYjO2JuMDkcRZPoNNNalMvo,Caffe Uffo,,False,114,"Name: Bruno Coffee & Bar
link: https://www.google.com/maps/search/Bruno+Coffee+%26+Bar/@50.55992,15.911351000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 438 reviews

Name: VOLKAFE - Kafirna, Prazirna kavy, Kramek, Cokoladovna
link: https://www.google.com/maps/search/VOLKAFE+-+Kaf%C3%ADrna%2C+Pra%C5%BE%C3%ADrna+k%C3%A1vy%2C+Kr%C3%A1mek%2C+%C4%8Cokol%C3%A1dovna/@50.5632909,15.911273099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 392 reviews

Name: Kafka cafe & cocktail bar
link: https://www.google.com/maps/search/Kafka+caf%C3%A9+%26+cocktail+bar/@50.5604793,15.9123954?authuser=0&hl=zh-TW&entry=ttu
Reviews: 168 reviews

Name: Vinoteka U Hroznu
link: https://www.google.com/maps/search/Vinot%C3%A9ka+U+Hroznu/@50.559619899999994,15.9115146?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Coffee & Bistro Wood
link: https://www.google.com/maps/search/Coffee+%26+Bistro+Wood/@50.561886699999995,15.9177563?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",http://uffo.cz/,Caffe Uffo (Ye Zhu ),https://www.google.com/maps/contrib/106286363599249202302,https://lh5.googleusercontent.com/p/AF1QipNaEaiUnXFLW5yje_jSJTfpr231tqLRYn8q49od=w408-h725-k-no,Ka Pei Ting ,Ka Pei Ting ,4.1,08:00-20:00,Open All Days,+420 770 139 078,"Caffe Uffo, namesti Republiky 999, 541 01 Trutnov 1-Stredni Predmesti, Jie Ke ",,https://www.google.com/maps/place/Caff%C3%A9+Uffo/data=!4m7!3m6!1s0x470e8c9bd8ce88cd:0xfa32a5d6340dfa64!8m2!3d50.5633939!4d15.9102618!16s%2Fg%2F11f8hz0735!19sChIJzYjO2JuMDkcRZPoNNNalMvo?authuser=0&hl=zh-TW&rclk=1
ChIJvVy3UZyMDkcR54KEEgxK4Po,Lesa Trutnov,,False,114,"Name: Bruno Coffee & Bar
link: https://www.google.com/maps/search/Bruno+Coffee+%26+Bar/@50.55992,15.911351000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 438 reviews

Name: VOLKAFE - Kafirna, Prazirna kavy, Kramek, Cokoladovna
link: https://www.google.com/maps/search/VOLKAFE+-+Kaf%C3%ADrna%2C+Pra%C5%BE%C3%ADrna+k%C3%A1vy%2C+Kr%C3%A1mek%2C+%C4%8Cokol%C3%A1dovna/@50.5632909,15.911273099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 392 reviews

Name: Kafka cafe & cocktail bar
link: https://www.google.com/maps/search/Kafka+caf%C3%A9+%26+cocktail+bar/@50.5604793,15.9123954?authuser=0&hl=zh-TW&entry=ttu
Reviews: 168 reviews

Name: Barevna kavarna
link: https://www.google.com/maps/search/Barevn%C3%A1+kav%C3%A1rna/@50.559585299999995,15.906610200000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: Coffee & Bistro Wood
link: https://www.google.com/maps/search/Coffee+%26+Bistro+Wood/@50.561886699999995,15.9177563?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",http://facebook.com/lesatrutnov,Lesa Trutnov (Ye Zhu ),https://www.google.com/maps/contrib/108825989496455298928,https://lh5.googleusercontent.com/p/AF1QipMJJlmcAZI1emZ0DIem_NkXNbhcpKK41g_-cNbk=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",4.8,,Open All Days,+420 775 133 588,"Lesa Trutnov, Jihoslovanska 149, 541 01 Trutnov 1-Vnitrni Mesto, Jie Ke ",,https://www.google.com/maps/place/Lesa+Trutnov/data=!4m7!3m6!1s0x470e8c9c51b75cbd:0xfae04a0c128482e7!8m2!3d50.5607444!4d15.9144326!16s%2Fg%2F11f1pq7l4v!19sChIJvVy3UZyMDkcR54KEEgxK4Po?authuser=0&hl=zh-TW&rclk=1
ChIJ0W8h_gmLDkcR7Prry73dxa8,ChrisTea Room Cajovna,,False,87,,https://www.cajovna-trutnov.cz/,ChrisTea Room Cajovna (Ye Zhu ),https://www.google.com/maps/contrib/116841206997629822172,https://lh5.googleusercontent.com/p/AF1QipMrvybaiF8rNiUmFLiBzyVPt6usUE8lYQDPJL2M=w408-h402-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba , Shui Yan Hu Ba , Cha Yi Guan ",4.9,15:00-22:00,Xing Qi Yi ,+420 725 182 152,"ChrisTea Room Cajovna, Lomni 145, 541 01 Trutnov 1-Dolni Predmesti, Jie Ke ",,https://www.google.com/maps/place/ChrisTea+Room+%C4%8Cajovna/data=!4m7!3m6!1s0x470e8b09fe216fd1:0xafc5ddbdcbebfaec!8m2!3d50.5661699!4d15.9221717!16s%2Fg%2F11h0t15nb1!19sChIJ0W8h_gmLDkcR7Prry73dxa8?authuser=0&hl=zh-TW&rclk=1
ChIJfZ3MS86MDkcRzxnkWmyq1XM,Up Zelenka,,False,71,"Name: Up MAJ
link: https://www.google.com/maps/search/Up+M%C3%81J/@50.5618268,15.911220300000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 697 reviews

Name: Cukrarna a Kavarna Promenada
link: https://www.google.com/maps/search/Cukr%C3%A1rna+a+Kav%C3%A1rna+Promen%C3%A1da/@50.5631227,15.912830999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 157 reviews

Name: Cukrarna Na Polske
link: https://www.google.com/maps/search/Cukr%C3%A1rna+Na+Polsk%C3%A9/@50.5634832,15.919094900000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 135 reviews",http://upzelenka.cz/,Up Zelenka (Ye Zhu ),https://www.google.com/maps/contrib/105188961066385682685,https://lh5.googleusercontent.com/p/AF1QipM16RmdmUvgkVhbnaXzAQqLQ7b-apuNJDVHuwjI=w426-h240-k-no,Xi Bing Dian ,"Xi Bing Dian , Ka Pei Ting ",4.4,11:00-18:00,Open All Days,+420 737 279 796,"Up Zelenka, Dlouha 644, 541 02 Trutnov 4, Jie Ke ",,https://www.google.com/maps/place/Up+Zelenka/data=!4m7!3m6!1s0x470e8cce4bcc9d7d:0x73d5aa6c5ae419cf!8m2!3d50.5852349!4d15.8893985!16s%2Fg%2F11b5s2cpyy!19sChIJfZ3MS86MDkcRzxnkWmyq1XM?authuser=0&hl=zh-TW&rclk=1
ChIJneHs2JqMDkcRoIEZh-5Pdwo,Barevna kavarna,,False,35,"Name: Bruno Coffee & Bar
link: https://www.google.com/maps/search/Bruno+Coffee+%26+Bar/@50.55992,15.911351000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 438 reviews

Name: VOLKAFE - Kafirna, Prazirna kavy, Kramek, Cokoladovna
link: https://www.google.com/maps/search/VOLKAFE+-+Kaf%C3%ADrna%2C+Pra%C5%BE%C3%ADrna+k%C3%A1vy%2C+Kr%C3%A1mek%2C+%C4%8Cokol%C3%A1dovna/@50.5632909,15.911273099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 392 reviews

Name: Cafe Bar Atrium
link: https://www.google.com/maps/search/Cafe+Bar+Atrium/@50.5613153,15.9116642?authuser=0&hl=zh-TW&entry=ttu
Reviews: 139 reviews

Name: Lesa Trutnov
link: https://www.google.com/maps/search/Lesa+Trutnov/@50.5607444,15.914432599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 114 reviews

Name: Vinoteka U Hroznu
link: https://www.google.com/maps/search/Vinot%C3%A9ka+U+Hroznu/@50.559619899999994,15.9115146?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews",http://www.barevnedomky.cz/,Barevna kavarna (Ye Zhu ),https://www.google.com/maps/contrib/101890006489209771682,https://lh5.googleusercontent.com/p/AF1QipPA96B4Qg74FDK9V_dqwfUrqu786u49YJd2hDd1=w408-h725-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,09:30-16:30,"Xing Qi Ri , Xing Qi Liu ",+420 702 088 571,"Barevna kavarna, Zizkova 277, 541 01 Trutnov 1-Horni Predmesti, Jie Ke ",,https://www.google.com/maps/place/Barevn%C3%A1+kav%C3%A1rna/data=!4m7!3m6!1s0x470e8c9ad8ece19d:0xa774fee871981a0!8m2!3d50.5595853!4d15.9066102!16s%2Fg%2F1q66z229t!19sChIJneHs2JqMDkcRoIEZh-5Pdwo?authuser=0&hl=zh-TW&rclk=1
