place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJqe_ajyyEhTMRAK0hM8bDrK0,8th Avenue Coffee Shop,,False,81,"Name: @KopiTea
link: https://www.google.com/maps/search/%40KopiTea/@17.6273381,121.7362638?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews

Name: Bean and Brew Coffee Shop
link: https://www.google.com/maps/search/Bean+and+Brew+Coffee+Shop/@17.6119985,121.728988?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: TOOTEA CAFE MABINI STREET
link: https://www.google.com/maps/search/TOOTEA+CAFE+MABINI+STREET/@17.6162503,121.7251986?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Cafe Della Citta
link: https://www.google.com/maps/search/Caf%C3%A9+Della+Citt%C3%A0/@17.61367,121.72474799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.facebook.com/8thavenuecoffee,8th Avenue Coffee Shop (Ye Zhu ),https://www.google.com/maps/contrib/115833563543097086102,https://lh5.googleusercontent.com/p/AF1QipNxLxlmDun4n5QKuU8PeoBGc_uP1BXzhWzX5Jo=w408-h272-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",4.4,08:00-00:00,Open All Days,+63 917 837 0992,"8th Avenue Coffee Shop, Magallanes St, Tuguegarao, 3500 Cagayan, Fei Lu Bin ","Kou Wei , Jia Ge ",https://www.google.com/maps/place/8th+Avenue+Coffee+Shop/data=!4m7!3m6!1s0x3385842c8fdaefa9:0xadacc3c63321ad00!8m2!3d17.6165735!4d121.7258802!16s%2Fg%2F11c1tmh63s!19sChIJqe_ajyyEhTMRAK0hM8bDrK0?authuser=0&hl=zh-TW&rclk=1
ChIJa4Ep50WHhTMR-rRhIsD0GKs,Starbucks SM City Tuguegarao,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,56,"Name: Barako Boy Coffee 
link: https://www.google.com/maps/search/Barako+Boy+Coffee+%EF%B8%8F/@17.616968999999997,121.7296999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews

Name: Balete Cafe
link: https://www.google.com/maps/search/Balete+Cafe/@17.607001,121.71641129999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: KKOPI.TEA TUGUEGARAO CITY
link: https://www.google.com/maps/search/KKOPI.TEA+TUGUEGARAO+CITY/@17.6307336,121.72093389999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Black Scoop Cafe SM City Tuguegarao
link: https://www.google.com/maps/search/Black+Scoop+Cafe+SM+City+Tuguegarao/@17.627004499999998,121.7192191?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: SheBrews Cafe'
link: https://www.google.com/maps/search/SheBrews+Cafe%27/@17.6248965,121.72303240000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.starbucks.ph/,Starbucks SM City Tuguegarao (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNYfKEJ6eaxTWfx05X5qqPpFt_jf57dXJO6m30p=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,09:00-23:00,Open All Days,,"G/F, Starbucks SM City Tuguegarao, SM City Tuguegarao, Bagay Road, Tuguegarao, Cagayan, Fei Lu Bin ",,https://www.google.com/maps/place/Starbucks+SM+City+Tuguegarao/data=!4m7!3m6!1s0x33858745e729816b:0xab18f4c02261b4fa!8m2!3d17.6274377!4d121.7179531!16s%2Fg%2F11tjfwjtz0!19sChIJa4Ep50WHhTMR-rRhIsD0GKs?authuser=0&hl=zh-TW&rclk=1
ChIJW-hpO8eFhTMRP1eYCj1pcN0,Barako Boy Coffee ,,False,39,"Name: Honey Bakes Cafe - Tanza, Tuguegarao City
link: https://www.google.com/maps/search/Honey+Bakes+Cafe+-+Tanza%2C+Tuguegarao+City/@17.629781899999998,121.7389964?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Double Dose Cafe
link: https://www.google.com/maps/search/Double+Dose+Caf%C3%A9/@17.6431812,121.73817799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews

Name: TooTea Cafe
link: https://www.google.com/maps/search/TooTea+Cafe/@17.6499123,121.7531024?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: Bean and Brew Coffee Shop
link: https://www.google.com/maps/search/Bean+and+Brew+Coffee+Shop/@17.6119985,121.728988?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Balete Cafe
link: https://www.google.com/maps/search/Balete+Cafe/@17.607001,121.71641129999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews",https://barakoboycoffee.business.site/,Barako Boy Coffee  (Ye Zhu ),https://www.google.com/maps/contrib/100533231488414871333,https://lh5.googleusercontent.com/p/AF1QipP7l1LFJJzCP6UG_v2H8kWQDHlShAXICEYBII8=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Pi Jiu Niang Zhi Chang , Ka Pei Ting , Ka Pei Hong Bei Shang , Ka Pei Pi Fa Shang , Shou Shi Dian , Can Ting , Ji Nian Pin Shang Dian , Lu You Jing Dian , Pi Fa Shang ",4.3,11:00-23:00,Open All Days,+63 906 035 7488,"Barako Boy Coffee , Mamato's Food Park, Balao St, Tuguegarao, 3500 Cagayan, Fei Lu Bin ",Ji Na Bang ,https://www.google.com/maps/place/Barako+Boy+Coffee+%EF%B8%8F/data=!4m7!3m6!1s0x338585c73b69e85b:0xdd70693d0a98573f!8m2!3d17.616969!4d121.7296999!16s%2Fg%2F11by_p2cpw!19sChIJW-hpO8eFhTMRP1eYCj1pcN0?authuser=0&hl=zh-TW&rclk=1
ChIJ656VF26FhTMRpoONoxjJDts,"Honey Bakes Cafe - Tanza, Tuguegarao City",,False,32,"Name: Barako Boy Coffee 
link: https://www.google.com/maps/search/Barako+Boy+Coffee+%EF%B8%8F/@17.616968999999997,121.7296999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews

Name: @KopiTea
link: https://www.google.com/maps/search/%40KopiTea/@17.6273381,121.7362638?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews

Name: Black Scoop Cafe
link: https://www.google.com/maps/search/Black+Scoop+Cafe/@17.6267511,121.7339847?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Bean and Brew Coffee Shop
link: https://www.google.com/maps/search/Bean+and+Brew+Coffee+Shop/@17.6119985,121.728988?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews",https://m.facebook.com/HoneyBakesCafe,"Honey Bakes Cafe - Tanza, Tuguegarao City (Ye Zhu )",https://www.google.com/maps/contrib/112619149853700080868,https://lh5.googleusercontent.com/p/AF1QipNgDu4P5rqJ4WdpBgXZnJkf9LF6Sb13_p4GcNHN=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , Gao Bing Dian , Can Ting ",4.7,09:00-23:00,Open All Days,+63 917 520 0905,"Honey Bakes Cafe - Tanza, Tuguegarao City, Maharlika Highway, Tanza, Tuguegarao, 3500 Cagayan, Fei Lu Bin ",Jia Ge ,"https://www.google.com/maps/place/Honey+Bakes+Cafe+-+Tanza,+Tuguegarao+City/data=!4m7!3m6!1s0x3385856e17959eeb:0xdb0ec918a38d83a6!8m2!3d17.6297819!4d121.7389964!16s%2Fg%2F11q85m2rcl!19sChIJ656VF26FhTMRpoONoxjJDts?authuser=0&hl=zh-TW&rclk=1"
ChIJ1WDDyTaFhTMRfca54wuivrE,@KopiTea,,False,28,"Name: 8th Avenue Coffee Shop
link: https://www.google.com/maps/search/8th+Avenue+Coffee+Shop/@17.616573499999998,121.7258802?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews

Name: Honey Bakes Cafe - Tanza, Tuguegarao City
link: https://www.google.com/maps/search/Honey+Bakes+Cafe+-+Tanza%2C+Tuguegarao+City/@17.629781899999998,121.7389964?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: TooTea Cafe
link: https://www.google.com/maps/search/TooTea+Cafe/@17.6499123,121.7531024?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: Bean and Brew Coffee Shop
link: https://www.google.com/maps/search/Bean+and+Brew+Coffee+Shop/@17.6119985,121.728988?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Cafe Della Citta
link: https://www.google.com/maps/search/Caf%C3%A9+Della+Citt%C3%A0/@17.61367,121.72474799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://kopitea.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,@KopiTea (Ye Zhu ),https://www.google.com/maps/contrib/105405262872970497602,https://lh5.googleusercontent.com/p/AF1QipN7QTYr1HFACFhJuTc2X1J2XYeigNGyQZ_OVXkH=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.7,07:00-03:00,Open All Days,+63 78 255 4241,"@KopiTea, 17 Tanza, National Hwy, Tuguegarao, 3500 Cagayan, Fei Lu Bin ",,https://www.google.com/maps/place/%27@KopiTea%27/data=!4m7!3m6!1s0x33858536c9c360d5:0xb1bea20be3b9c67d!8m2!3d17.6273381!4d121.7362638!16s%2Fg%2F11mhlmy0tz!19sChIJ1WDDyTaFhTMRfca54wuivrE?authuser=0&hl=zh-TW&rclk=1
ChIJua4rb4OFhTMRx6j5dg4gAyA,Cafe Asuncion,,False,22,"Name: Almira's Cafe
link: https://www.google.com/maps/search/Almira%27s+Cafe/@17.605229899999998,121.6934851?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: Crepeman Cafe Tuguegarao
link: https://www.google.com/maps/search/Crepeman+Cafe+Tuguegarao/@17.6167151,121.7259203?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: George Cafe
link: https://www.google.com/maps/search/George+Cafe/@17.60987,121.72445979999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: The Frappe Bar Cafe
link: https://www.google.com/maps/search/The+Frappe+Bar+Cafe/@17.6141649,121.72973909999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.pulsarhotel.com/,Cafe Asuncion (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNMK6xw_AkuPTIJonyeqI-9HM7jBT7k1rYoaTbc=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,09:00-21:00,Open All Days,+63 917 822 5752,"JQW6+54W Cafe Asuncion, Enrile Ave, Tuguegarao, Cagayan, Fei Lu Bin ",,https://www.google.com/maps/place/Cafe+Asuncion/data=!4m7!3m6!1s0x338585836f2baeb9:0x2003200e76f9a8c7!8m2!3d17.6454943!4d121.7603159!16s%2Fg%2F1q5bm6hdw!19sChIJua4rb4OFhTMRx6j5dg4gAyA?authuser=0&hl=zh-TW&rclk=1
ChIJEdwQlWeFhTMRHhj4lmPJO8k,TooTea Cafe,,False,19,"Name: 8th Avenue Coffee Shop
link: https://www.google.com/maps/search/8th+Avenue+Coffee+Shop/@17.616573499999998,121.7258802?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews

Name: Barako Boy Coffee 
link: https://www.google.com/maps/search/Barako+Boy+Coffee+%EF%B8%8F/@17.616968999999997,121.7296999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews

Name: Double Dose Cafe
link: https://www.google.com/maps/search/Double+Dose+Caf%C3%A9/@17.6431812,121.73817799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews

Name: @KopiTea
link: https://www.google.com/maps/search/%40KopiTea/@17.6273381,121.7362638?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews

Name: Balete Cafe
link: https://www.google.com/maps/search/Balete+Cafe/@17.607001,121.71641129999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews",http://utak.io/store/tooteacafe_carig,TooTea Cafe (Ye Zhu ),https://www.google.com/maps/contrib/116292982470647072420,https://lh5.googleusercontent.com/p/AF1QipMqSVrN1b7Zo4Sm4tguqEXlfU_gdsa-_etheHSN=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mei Shi Can Che Dian ",4.1,08:00-02:00,Open All Days,+63 917 573 9228,"TooTea Cafe, Caggay 7 Enrile Ave, Carig Regional Center, Tuguegarao, 3500 Cagayan, Fei Lu Bin ",,https://www.google.com/maps/place/TooTea+Cafe/data=!4m7!3m6!1s0x338585679510dc11:0xc93bc96396f8181e!8m2!3d17.6499123!4d121.7531024!16s%2Fg%2F11smcrm1w8!19sChIJEdwQlWeFhTMRHhj4lmPJO8k?authuser=0&hl=zh-TW&rclk=1
ChIJzW8zbimEhTMR5dpErxXfAjY,The Cup of Faith,,False,12,"Name: @KopiTea
link: https://www.google.com/maps/search/%40KopiTea/@17.6273381,121.7362638?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews

Name: Balete Cafe
link: https://www.google.com/maps/search/Balete+Cafe/@17.607001,121.71641129999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Morning tea
link: https://www.google.com/maps/search/Morning+tea/@17.6157567,121.7283558?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Kids at Heart Cafe
link: https://www.google.com/maps/search/Kids+at+Heart+Cafe/@17.6179392,121.7311667?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Cafe Della Citta
link: https://www.google.com/maps/search/Caf%C3%A9+Della+Citt%C3%A0/@17.61367,121.72474799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.thecupoffaith.com/,The Cup of Faith (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNAeeS2lB4ayzZOh0jE0LNVOo7GWSHX2GWoqFrN=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.8,10:00-21:00,Open All Days,,"The Cup of Faith, SM Center Tuguegarao, Luna St, Tuguegarao, 3500 Cagayan, Fei Lu Bin ",,https://www.google.com/maps/place/The+Cup+of+Faith/data=!4m7!3m6!1s0x338584296e336fcd:0x3602df15af44dae5!8m2!3d17.6129303!4d121.7231477!16s%2Fg%2F11gdzsw4z9!19sChIJzW8zbimEhTMR5dpErxXfAjY?authuser=0&hl=zh-TW&rclk=1
ChIJf1JyAUyFhTMRQGLnbFW6U2k,Starbucks | Robinsons Tuguegarao,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,10,"Name: Barako Boy Coffee 
link: https://www.google.com/maps/search/Barako+Boy+Coffee+%EF%B8%8F/@17.616968999999997,121.7296999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews

Name: Black Scoop Cafe
link: https://www.google.com/maps/search/Black+Scoop+Cafe/@17.6267511,121.7339847?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Bean and Brew Coffee Shop
link: https://www.google.com/maps/search/Bean+and+Brew+Coffee+Shop/@17.6119985,121.728988?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Dunkin' - Robinsons Tuguegarao
link: https://www.google.com/maps/search/Dunkin%27+-+Robinsons+Tuguegarao/@17.6281854,121.73331780000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Cafe Tribu
link: https://www.google.com/maps/search/Caf%C3%A9+Tribu/@17.6279093,121.73317680000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.starbucks.ph/,Starbucks | Robinsons Tuguegarao (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNo6rc-OyqKosDeFt2VWCh3FlHWhmRsI7dbynoq=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,3.6,07:00-22:00,Open All Days,+63 78 825 2273,"Ground Floor, Starbucks | Robinsons Tuguegarao, Robinsons Place, Pan-Philippine Hwy, Tuguegarao, Cagayan, Fei Lu Bin ",Bei ,https://www.google.com/maps/place/Starbucks+%7C+Robinsons+Tuguegarao/data=!4m7!3m6!1s0x3385854c0172527f:0x6953ba556ce76240!8m2!3d17.6283247!4d121.7331465!16s%2Fg%2F11sb1mdw9n!19sChIJf1JyAUyFhTMRQGLnbFW6U2k?authuser=0&hl=zh-TW&rclk=1
ChIJCcA2CZ6FhTMRqJkHE2LzT98,The Brew Code by Sky,,False,6,,https://facebook.com/tbcbysky,The Brew Code by Sky (Ye Zhu ),https://www.google.com/maps/contrib/104897612045481253331,https://lh5.googleusercontent.com/p/AF1QipNzahwqxRGFjsjMXTBvppVJmpGZiuOJgu3LhXPk=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting , Zheng Liu Ka Pei Ba ",5,10:00-00:00,Open All Days,+63 955 201 7218,"The Brew Code by Sky, 179 Del Rosario St, Tuguegarao, 3500 Cagayan, Fei Lu Bin ",,https://www.google.com/maps/place/The+Brew+Code+by+Sky/data=!4m7!3m6!1s0x3385859e0936c009:0xdf4ff362130799a8!8m2!3d17.6085758!4d121.7268854!16s%2Fg%2F11v3f_890p!19sChIJCcA2CZ6FhTMRqJkHE2LzT98?authuser=0&hl=zh-TW&rclk=1
