place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJuxfYwwPIFkcRmd4RDv55Ogk,Kawiarnia Co Badz,,False,1395,"Name: Piccolo Cafe
link: https://www.google.com/maps/search/Piccolo+Cafe/@50.1149479,18.9881942?authuser=0&hl=zh-TW&entry=ttu
Reviews: 689 reviews

Name: Lokalizacja bistro
link: https://www.google.com/maps/search/Lokalizacja+bistro/@50.1175062,18.9921365?authuser=0&hl=zh-TW&entry=ttu
Reviews: 659 reviews

Name: Restauracja Dotychczas
link: https://www.google.com/maps/search/Restauracja+Dotychczas/@50.0992465,18.989163599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 529 reviews

Name: Kawiarnia Dobre Miejsce
link: https://www.google.com/maps/search/Kawiarnia+Dobre+Miejsce/@50.1131208,18.962913?authuser=0&hl=zh-TW&entry=ttu
Reviews: 149 reviews",https://kawiarniatychy.pl/,Kawiarnia Co Badz (Ye Zhu ),https://www.google.com/maps/contrib/115998413130392110822,https://lh5.googleusercontent.com/p/AF1QipOS_NH-93DINQ9nLxlmpX2txD7MLOrESj1wbX2b=w408-h408-k-no,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting ",4.8,08:00-21:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 786 283 328,"Kawiarnia Co Badz, Grota-Roweckiego 28, 43-100 Tychy, Bo Lan ",,https://www.google.com/maps/place/Kawiarnia+Co+B%C4%85d%C5%BA/data=!4m7!3m6!1s0x4716c803c3d817bb:0x93a79fe0e11de99!8m2!3d50.1178434!4d18.991601!16s%2Fg%2F11bzrj45fy!19sChIJuxfYwwPIFkcRmd4RDv55Ogk?authuser=0&hl=zh-TW&rclk=1
ChIJxUtGLRHIFkcR7J3tezhfTqE,W Miedzyczasie Coffee & Restaurant,,False,1175,"Name: Joker Restaurant
link: https://www.google.com/maps/search/Joker+Restaurant/@50.1281423,18.9829874?authuser=0&hl=zh-TW&entry=ttu
Reviews: 747 reviews

Name: Restauracja Dotychczas
link: https://www.google.com/maps/search/Restauracja+Dotychczas/@50.0992465,18.989163599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 529 reviews

Name: Venice
link: https://www.google.com/maps/search/Venice/@50.1346224,18.9758069?authuser=0&hl=zh-TW&entry=ttu
Reviews: 506 reviews

Name: Bistro&Bar Micha
link: https://www.google.com/maps/search/Bistro%26Bar+Micha/@50.1287125,18.983855?authuser=0&hl=zh-TW&entry=ttu
Reviews: 205 reviews",http://www.wmiedzyczasie.tychy.pl/,W Miedzyczasie Coffee & Restaurant (Ye Zhu ),https://www.google.com/maps/contrib/101188895857206077984,https://lh5.googleusercontent.com/p/AF1QipMYkhGyU2dRA_nNFDwQNbVRLbIM7bqJlDnFctCO=w408-h273-k-no,Can Ting ,"Can Ting , Dao Hui Fu Wu , Ka Pei Dian , Pai Dui Chou Ban Ren , Gao Bing Dian , Bo Bing Can Ting ",4.5,10:00-21:00,Open All Days,+48 534 281 638,"W Miedzyczasie Coffee & Restaurant, Kosciuszki 19, 43-100 Tychy, Bo Lan ",Pi Sa ,https://www.google.com/maps/place/W+Mi%C4%99dzyczasie+Coffee+%26+Restaurant/data=!4m7!3m6!1s0x4716c8112d464bc5:0xa14e5f387bed9dec!8m2!3d50.1288933!4d18.9850598!16s%2Fg%2F1ptwzxgff!19sChIJxUtGLRHIFkcR7J3tezhfTqE?authuser=0&hl=zh-TW&rclk=1
ChIJ36w-lP-3FkcRzpAK63EKDg0,Lip Smacking Cafe,,False,965,"Name: Kawiarnia Co Badz
link: https://www.google.com/maps/search/Kawiarnia+Co+B%C4%85d%C5%BA/@50.1178434,18.991601?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1394 reviews

Name: sloik & kawa
link: https://www.google.com/maps/search/s%C5%82oik+%26+kawa/@50.112666600000004,18.9855713?authuser=0&hl=zh-TW&entry=ttu
Reviews: 797 reviews

Name: Piccolo Cafe
link: https://www.google.com/maps/search/Piccolo+Cafe/@50.1149479,18.9881942?authuser=0&hl=zh-TW&entry=ttu
Reviews: 689 reviews

Name: Fastcoffee
link: https://www.google.com/maps/search/Fastcoffee/@50.12613880000001,18.9814682?authuser=0&hl=zh-TW&entry=ttu
Reviews: 314 reviews",http://www.lscafe.pl/,Lip Smacking Cafe (Ye Zhu ),https://www.google.com/maps/contrib/114736811653066197888,https://lh5.googleusercontent.com/p/AF1QipMjN3SIJCJitAwSusE22wY8GV1Jz_pNIoxjbRA_=w425-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting , Xian Bing Dian ",4.7,10:00-20:30,Open All Days,+48 512 979 011,"Lip Smacking Cafe, Darwina 25, 43-100 Tychy, Bo Lan ","Dan Gao , atmosphere, Ka Pei Shi ",https://www.google.com/maps/place/Lip+Smacking+Caf%C3%A9/data=!4m7!3m6!1s0x4716b7ff943eacdf:0xd0e0a71eb0a90ce!8m2!3d50.1115127!4d18.9952415!16s%2Fg%2F1tdy36h1!19sChIJ36w-lP-3FkcRzpAK63EKDg0?authuser=0&hl=zh-TW&rclk=1
ChIJ1UxIEAG4FkcRha1_3m40UiM,"""W antryju na byfyju"" cafe",,False,824,"Name: Lip Smacking Cafe
link: https://www.google.com/maps/search/Lip+Smacking+Caf%C3%A9/@50.1115127,18.9952415?authuser=0&hl=zh-TW&entry=ttu
Reviews: 965 reviews

Name: sloik & kawa
link: https://www.google.com/maps/search/s%C5%82oik+%26+kawa/@50.112666600000004,18.9855713?authuser=0&hl=zh-TW&entry=ttu
Reviews: 797 reviews

Name: Kawiarnia i Cukiernia Bonbon
link: https://www.google.com/maps/search/Kawiarnia+i+Cukiernia+Bonbon/@50.124687300000005,18.9844053?authuser=0&hl=zh-TW&entry=ttu
Reviews: 515 reviews

Name: Huhu - bawialnia i kawiarnia
link: https://www.google.com/maps/search/Huhu+-+bawialnia+i+kawiarnia/@50.108692,18.993595?authuser=0&hl=zh-TW&entry=ttu
Reviews: 88 reviews

Name: Wisienka na torcie Tychy
link: https://www.google.com/maps/search/Wisienka+na+torcie+Tychy/@50.0989697,19.008942899999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews",http://m.facebook.com/pages/category/cafe/W-antryju-na-byfyju-1160679850612298/%3Flocale2%3Dpl_PL,"""W antryju na byfyju"" cafe (Ye Zhu )",https://www.google.com/maps/contrib/104660946849558451750,https://lh5.googleusercontent.com/p/AF1QipO5E_ggcH-nZ4FKdM4I085o_-1LG7YOgU7zgBsu=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Zao Can Can Ting ",4.6,09:00-20:30,Open All Days,+48 783 250 233,"""W antryju na byfyju"" cafe, Dabrowskiego 95, 43-100 Tychy, Bo Lan ",,https://www.google.com/maps/place/%22W+antryju+na+byfyju%22+cafe/data=!4m7!3m6!1s0x4716b80110484cd5:0x2352346ede7fad85!8m2!3d50.109085!4d19.000081!16s%2Fg%2F11bxb9xy1j!19sChIJ1UxIEAG4FkcRha1_3m40UiM?authuser=0&hl=zh-TW&rclk=1
ChIJDZ7wVPy3FkcRT_U70XkOEdE,sloik & kawa,,False,797,"Name: Lip Smacking Cafe
link: https://www.google.com/maps/search/Lip+Smacking+Caf%C3%A9/@50.1115127,18.9952415?authuser=0&hl=zh-TW&entry=ttu
Reviews: 965 reviews

Name: Piccolo Cafe
link: https://www.google.com/maps/search/Piccolo+Cafe/@50.1149479,18.9881942?authuser=0&hl=zh-TW&entry=ttu
Reviews: 689 reviews

Name: Kawiarnia i Cukiernia Bonbon
link: https://www.google.com/maps/search/Kawiarnia+i+Cukiernia+Bonbon/@50.124687300000005,18.9844053?authuser=0&hl=zh-TW&entry=ttu
Reviews: 515 reviews

Name: Fastcoffee
link: https://www.google.com/maps/search/Fastcoffee/@50.12613880000001,18.9814682?authuser=0&hl=zh-TW&entry=ttu
Reviews: 314 reviews",https://soik-kawa.business.site/,sloik & kawa (Ye Zhu ),https://www.google.com/maps/contrib/103516656847066965296,https://lh5.googleusercontent.com/p/AF1QipOvjO_rh2V0dlcxz3zolmj3bwqKvGhchtGj_Zvc=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba Ya Zuo , Can Ting ",4.5,09:00-21:00,Xing Qi Yi ,+48 511 313 512,"sloik & kawa, Dmowskiego 4, 43-100 Tychy, Bo Lan ",,https://www.google.com/maps/place/s%C5%82oik+%26+kawa/data=!4m7!3m6!1s0x4716b7fc54f09e0d:0xd1110e79d13bf54f!8m2!3d50.1126666!4d18.9855713!16s%2Fg%2F11bc7r29cy!19sChIJDZ7wVPy3FkcRT_U70XkOEdE?authuser=0&hl=zh-TW&rclk=1
ChIJZQtt-hnIFkcRSUtpk1I9iV0,"TODOJUTRA - zapiexy, bajgle and more",,False,736,"Name: Telepizza
link: https://www.google.com/maps/search/Telepizza/@50.125732899999996,18.981507999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 723 reviews

Name: Restauracja Dotychczas
link: https://www.google.com/maps/search/Restauracja+Dotychczas/@50.0992465,18.989163599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 529 reviews

Name: Zakrecony Burger Street Food Truck
link: https://www.google.com/maps/search/Zakr%C4%99cony+Burger+Street+Food+Truck/@50.109958500000005,18.9741383?authuser=0&hl=zh-TW&entry=ttu
Reviews: 251 reviews

Name: 43STO BISTRO
link: https://www.google.com/maps/search/43STO+BISTRO/@50.107847199999995,18.982547399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 159 reviews",http://www.todojutra.pl/,"TODOJUTRA - zapiexy, bajgle and more (Ye Zhu )",https://www.google.com/maps/contrib/109386575412385984268,https://lh5.googleusercontent.com/p/AF1QipMGnBbhY5fH7oq6oO5d6Lpznm2C4xaeG4hc9dS6=w408-h510-k-no,Ka Pei Dian ,"Ka Pei Dian , Kuai Can Dian , Wai Song Su Di Can Ting , Bo Bing Wai Mai Zi Qu , Can Ting ",4.3,10:00-21:00,Open All Days,+48 507 020 003,"TODOJUTRA - zapiexy, bajgle and more, Batorego 27, 43-100 Tychy, Bo Lan ",,"https://www.google.com/maps/place/TODOJUTRA+-+zapiexy,+bajgle+and+more/data=!4m7!3m6!1s0x4716c819fa6d0b65:0x5d893d5293694b49!8m2!3d50.1258075!4d18.9820512!16s%2Fg%2F11f730hnd4!19sChIJZQtt-hnIFkcRSUtpk1I9iV0?authuser=0&hl=zh-TW&rclk=1"
ChIJH23VeQLIFkcRumbjRqLwhYs,Piccolo Cafe,,False,690,"Name: Kawiarnia Co Badz
link: https://www.google.com/maps/search/Kawiarnia+Co+B%C4%85d%C5%BA/@50.1178434,18.991601?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1394 reviews

Name: Lip Smacking Cafe
link: https://www.google.com/maps/search/Lip+Smacking+Caf%C3%A9/@50.1115127,18.9952415?authuser=0&hl=zh-TW&entry=ttu
Reviews: 965 reviews

Name: Fastcoffee
link: https://www.google.com/maps/search/Fastcoffee/@50.12613880000001,18.9814682?authuser=0&hl=zh-TW&entry=ttu
Reviews: 314 reviews

Name: Kawiarnia Dobre Miejsce
link: https://www.google.com/maps/search/Kawiarnia+Dobre+Miejsce/@50.1131208,18.962913?authuser=0&hl=zh-TW&entry=ttu
Reviews: 149 reviews

Name: Proper COFFEE Tychy
link: https://www.google.com/maps/search/Proper+COFFEE+Tychy/@50.1175977,18.9918238?authuser=0&hl=zh-TW&entry=ttu
Reviews: 63 reviews",https://www.facebook.com/PiccoloCafeTychy/%3Flocale%3Dpl_PL,Piccolo Cafe (Ye Zhu ),https://www.google.com/maps/contrib/100320439028957944944,https://lh5.googleusercontent.com/p/AF1QipNce4W0OC0D8XDIGcC8pTr1KjSzHe9Fvb6a-CdH=w408-h408-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,09:00-20:00,"Xing Qi Yi , Xing Qi Er , Xing Qi San ",+48 666 392 882,"Piccolo Cafe, Grota-Roweckiego 60, 43-100 Tychy, Bo Lan ",Dan Gao ,https://www.google.com/maps/place/Piccolo+Cafe/data=!4m7!3m6!1s0x4716c80279d56d1f:0x8b85f0a246e366ba!8m2!3d50.1149479!4d18.9881942!16s%2Fg%2F1tj884zl!19sChIJH23VeQLIFkcRumbjRqLwhYs?authuser=0&hl=zh-TW&rclk=1
ChIJ3SxYdALIFkcRw0Dxue461us,Lodowato,,False,667,"Name: Piccolo Cafe
link: https://www.google.com/maps/search/Piccolo+Cafe/@50.1149479,18.9881942?authuser=0&hl=zh-TW&entry=ttu
Reviews: 689 reviews

Name: Lodziarnia Cypisek
link: https://www.google.com/maps/search/Lodziarnia+Cypisek/@50.117052199999996,18.991468899999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 370 reviews

Name: GRAMY
link: https://www.google.com/maps/search/GRAMY/@50.1175062,18.9921365?authuser=0&hl=zh-TW&entry=ttu
Reviews: 76 reviews

Name: Lokalne Lody
link: https://www.google.com/maps/search/Lokalne+Lody/@50.1290081,18.982015999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews",http://lodowato.pl/,Lodowato (Ye Zhu ),https://www.google.com/maps/contrib/104997726310226956120,https://lh5.googleusercontent.com/p/AF1QipMKB3ON-m-xvp0BQTZOFz-WaL8sQNzZl7D_dnLX=w408-h272-k-no,Xue Gao Dian ,Xue Gao Dian ,4.7,,Open All Days,+48 604 894 475,"Lodowato, Grota-Roweckiego 69, 43-100 Tychy, Bo Lan ",,https://www.google.com/maps/place/Lodowato/data=!4m7!3m6!1s0x4716c80274582cdd:0xebd63aeeb9f140c3!8m2!3d50.1147602!4d18.9886632!16s%2Fg%2F11c6dly6l9!19sChIJ3SxYdALIFkcRw0Dxue461us?authuser=0&hl=zh-TW&rclk=1
ChIJ2aPwYyO4FkcRraRof0Tn0a0,Promenada,,False,663,"Name: Piccolo Cafe
link: https://www.google.com/maps/search/Piccolo+Cafe/@50.1149479,18.9881942?authuser=0&hl=zh-TW&entry=ttu
Reviews: 689 reviews

Name: Ciachomania
link: https://www.google.com/maps/search/Ciachomania/@50.09288,18.9937646?authuser=0&hl=zh-TW&entry=ttu
Reviews: 496 reviews

Name: Gramy
link: https://www.google.com/maps/search/Gramy/@50.0873195,18.992771299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 319 reviews

Name: Cynamon Klubokawiarnia
link: https://www.google.com/maps/search/Cynamon+Klubokawiarnia/@50.111518399999994,18.988667900000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 242 reviews

Name: Kawiarnia Dobre Miejsce
link: https://www.google.com/maps/search/Kawiarnia+Dobre+Miejsce/@50.1131208,18.962913?authuser=0&hl=zh-TW&entry=ttu
Reviews: 149 reviews",http://www.promenadatychy.pl/,Promenada (Ye Zhu ),https://www.google.com/maps/contrib/105139437035813670759,https://lh5.googleusercontent.com/p/AF1QipN6y8RGbAGgnu8JOQhgrDPmUgV3hecAhVnuLwZi=w408-h270-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,08:00-21:00,"Xing Qi Yi , Xing Qi Ri ",+48 665 005 500,"Promenada, Parkowa 17, 43-100 Tychy, Bo Lan ",Bing Qi Lin ,https://www.google.com/maps/place/Promenada/data=!4m7!3m6!1s0x4716b82363f0a3d9:0xadd1e7447f68a4ad!8m2!3d50.087347!4d18.9928447!16s%2Fg%2F11cn05w0y5!19sChIJ2aPwYyO4FkcRraRof0Tn0a0?authuser=0&hl=zh-TW&rclk=1
ChIJHzMfahrIFkcRiqGHlhKnAKo,Kawiarnia i Cukiernia Bonbon,,False,515,"Name: Kawiarnia Co Badz
link: https://www.google.com/maps/search/Kawiarnia+Co+B%C4%85d%C5%BA/@50.1178434,18.991601?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1394 reviews

Name: ""W antryju na byfyju"" cafe
link: https://www.google.com/maps/search/%22W+antryju+na+byfyju%22+cafe/@50.109085,19.000080999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 824 reviews

Name: sloik & kawa
link: https://www.google.com/maps/search/s%C5%82oik+%26+kawa/@50.112666600000004,18.9855713?authuser=0&hl=zh-TW&entry=ttu
Reviews: 797 reviews

Name: Ciachomania
link: https://www.google.com/maps/search/Ciachomania/@50.09288,18.9937646?authuser=0&hl=zh-TW&entry=ttu
Reviews: 496 reviews

Name: Kawiarnia Dobre Miejsce
link: https://www.google.com/maps/search/Kawiarnia+Dobre+Miejsce/@50.1131208,18.962913?authuser=0&hl=zh-TW&entry=ttu
Reviews: 149 reviews",https://m.facebook.com/Bonbontychy/%3Flocale2%3Dpl_PL,Kawiarnia i Cukiernia Bonbon (Ye Zhu ),https://www.google.com/maps/contrib/104236127973854271876,https://lh5.googleusercontent.com/p/AF1QipMK4BIu63VrS35J-cODKxuTXRm5ZmEq5yAOnmYN=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,09:00-21:00,Open All Days,+48 603 087 555,"Kawiarnia i Cukiernia Bonbon, Biblioteczna 7, 43-100 Tychy, Bo Lan ",Tian Dian ,https://www.google.com/maps/place/Kawiarnia+i+Cukiernia+Bonbon/data=!4m7!3m6!1s0x4716c81a6a1f331f:0xaa00a7129687a18a!8m2!3d50.1246873!4d18.9844053!16s%2Fg%2F11b6h_s63s!19sChIJHzMfahrIFkcRiqGHlhKnAKo?authuser=0&hl=zh-TW&rclk=1
