place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJR1YYIxaqzzsR0vzgjBXLAjs,Chhotu Kolhapuri Wada Pav,,False,279,"Name: SHREE GAYATRI FASTFOOD CENTER
link: https://www.google.com/maps/search/SHREE+GAYATRI+FASTFOOD+CENTER/@18.3901017,77.118432?authuser=0&hl=zh-TW&entry=ttu
Reviews: 130 reviews

Name: Appa Foods
link: https://www.google.com/maps/search/Appa+Foods/@18.392844099999998,77.1149123?authuser=0&hl=zh-TW&entry=ttu
Reviews: 63 reviews

Name: sri gayatri bhel and pav bhaji center
link: https://www.google.com/maps/search/sri+gayatri+bhel+and+pav+bhaji+center/@18.399367599999998,77.1064224?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Shivneri Misal
link: https://www.google.com/maps/search/Shivneri+Misal/@18.3926631,77.1328174?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",https://chhotu-kolhapuri-wada-pav.business.site/,Chhotu Kolhapuri Wada Pav (Ye Zhu ),https://www.google.com/maps/contrib/106623938679921907337,https://lh5.googleusercontent.com/p/AF1QipPXlzzigIZ7FteTJvqZ7tTEvc53YZJPMs4KEIo4=w408-h306-k-no,Can Ting ,"Can Ting , Kuai Can Dian ",4.3,11:00-22:00,Open All Days,,"Chhotu Kolhapuri Wada Pav, Main Road,Near Bank Of Maharashtra,Nanded, Bidar Rd, Udgir, Maharashtra 413517Yin Du ","Xiao Chi , Su Shi ",https://www.google.com/maps/place/Chhotu+Kolhapuri+Wada+Pav/data=!4m7!3m6!1s0x3bcfaa1623185647:0x3b02cb158ce0fcd2!8m2!3d18.389096!4d77.117999!16s%2Fg%2F11hbnlf8_r!19sChIJR1YYIxaqzzsR0vzgjBXLAjs?authuser=0&hl=zh-TW&rclk=1
ChIJfcVO4xOqzzsRqm5gTlr879Q,Monginis Cake Shop,,False,139,"Name: Kekiz Cake Shop
link: https://www.google.com/maps/search/Kekiz+Cake+Shop/@18.3892822,77.11835789999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 172 reviews

Name: Zoyabakery
link: https://www.google.com/maps/search/Zoyabakery/@18.4068011,77.1248911?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Kekiz
link: https://www.google.com/maps/search/Kekiz/@18.3936797,77.1108978?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",https://cakeshops.monginis.net/monginis-cake-shop-united-foods-and-beverages-cake-shop-bidar-road-udgir-123976/Home%3Futm_source%3Dlocator%26utm_medium%3Dgoogleplaces,Monginis Cake Shop (Ye Zhu ),https://www.google.com/maps/contrib/104929744316831440097,https://lh5.googleusercontent.com/p/AF1QipNNE5m0M2shuraMUBHADzxQnzXVzF9j39TJ71vs=w426-h240-k-no,Xi Bing Dian ,"Xi Bing Dian , Mian Bao Xi Bing Dian , Tian Pin Can Ting , Tian Pin Dian ",4.2,10:00-22:00,Open All Days,+91 77219 99126,"Shop No 1, Monginis Cake Shop, Daimi Complex, Udgir - Bidar Rd, opposite Raghukul Mangal Karyalay, Shiv Nagar Colony, Udgir, Maharashtra 413517Yin Du ",,https://www.google.com/maps/place/Monginis+Cake+Shop/data=!4m7!3m6!1s0x3bcfaa13e34ec57d:0xd4effc5a4e606eaa!8m2!3d18.383477!4d77.1198363!16s%2Fg%2F11f4r33ycr!19sChIJfcVO4xOqzzsRqm5gTlr879Q?authuser=0&hl=zh-TW&rclk=1
ChIJH70IpMWrzzsRtxaWFrgEMUc,RB Cafe,,False,128,"Name: The Cafe House & Fast Food Plaza
link: https://www.google.com/maps/search/The+Cafe+House+%26+Fast+Food+Plaza/@18.3835011,77.1199583?authuser=0&hl=zh-TW&entry=ttu
Reviews: 164 reviews

Name: Mamta Cafe
link: https://www.google.com/maps/search/Mamta+Cafe/@18.3903105,77.1268254?authuser=0&hl=zh-TW&entry=ttu
Reviews: 103 reviews

Name: MR Drum Cafe
link: https://www.google.com/maps/search/MR+Drum+Cafe/@18.390555900000003,77.12671189999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Creamy &crunchy
link: https://www.google.com/maps/search/Creamy+%26crunchy/@18.3822144,77.1212142?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: Pubg Cafe,Udgir
link: https://www.google.com/maps/search/Pubg+Cafe%2CUdgir/@18.3942882,77.11260089999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://rbcafe-cafe.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,RB Cafe (Ye Zhu ),https://www.google.com/maps/contrib/107399331162704222662,https://lh5.googleusercontent.com/p/AF1QipMtM9mCx-cnfksGlBHfFdHsjEFWo37T4oIxgGd5=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,3.8,10:00-22:30,Open All Days,,"RB Cafe, Archana bar & lodge, Vikas Nagar, Udgir, Maharashtra 413517Yin Du ","Pi Sa , Pin Zhi ",https://www.google.com/maps/place/RB+Cafe/data=!4m7!3m6!1s0x3bcfabc5a408bd1f:0x473104b8169616b7!8m2!3d18.3809336!4d77.1216862!16s%2Fg%2F11fd3pnr7n!19sChIJH70IpMWrzzsRtxaWFrgEMUc?authuser=0&hl=zh-TW&rclk=1
ChIJRyrpqRaqzzsROZ_p8xD1ABs,Tara Pan Shop,,False,121,"Name: RB Cafe
link: https://www.google.com/maps/search/RB+Cafe/@18.3809336,77.1216862?authuser=0&hl=zh-TW&entry=ttu
Reviews: 128 reviews

Name: Mamta Cafe
link: https://www.google.com/maps/search/Mamta+Cafe/@18.3903105,77.1268254?authuser=0&hl=zh-TW&entry=ttu
Reviews: 103 reviews

Name: MR Drum Cafe
link: https://www.google.com/maps/search/MR+Drum+Cafe/@18.390555900000003,77.12671189999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Quality Pan Shop
link: https://www.google.com/maps/search/Quality+Pan+Shop/@18.3815299,77.1209658?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Tara Paan Shop
link: https://www.google.com/maps/search/Tara+Paan+Shop/@18.385123,77.1239202?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://tara-pan-shop.business.site/,Tara Pan Shop (Ye Zhu ),https://www.google.com/maps/contrib/109295457954878841185,https://lh5.googleusercontent.com/p/AF1QipNme9U0ik5xtQychX_Nmmrl1ue1WZwjM4m6nKk_=w493-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,08:00-00:00,Open All Days,+91 99605 29421,"Tara Pan Shop, Shiv Nagar Colony, Udgir, Maharashtra 413517Yin Du ",,https://www.google.com/maps/place/Tara+Pan+Shop/data=!4m7!3m6!1s0x3bcfaa16a9e92a47:0x1b00f510f3e99f39!8m2!3d18.3844022!4d77.1196954!16s%2Fg%2F11c6lf13jk!19sChIJRyrpqRaqzzsROZ_p8xD1ABs?authuser=0&hl=zh-TW&rclk=1
ChIJieO93DyqzzsR7RqFMzUS1V0,Bombay Bakery Sweets And Confectionery,,False,93,"Name: Kekiz Cake Shop
link: https://www.google.com/maps/search/Kekiz+Cake+Shop/@18.3892822,77.11835789999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 172 reviews

Name: Maharashtra Bakers & Sweets
link: https://www.google.com/maps/search/Maharashtra+Bakers+%26+Sweets/@18.3886997,77.1217566?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: Shruti's homemade cakes
link: https://www.google.com/maps/search/Shruti%27s+homemade+cakes/@18.3940394,77.1168167?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Kekiz
link: https://www.google.com/maps/search/Kekiz/@18.3936797,77.1108978?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",https://bombaybakery.mini.store/,Bombay Bakery Sweets And Confectionery (Ye Zhu ),https://www.google.com/maps/contrib/115722697478381782667,https://lh5.googleusercontent.com/p/AF1QipPd9TmKRTJVpj8fgRKvUsCOTo5a-n6byb2kbHYA=w408-h307-k-no,Xi Bing Dian ,"Xi Bing Dian , Tang Guo Dian , Luo Nong Qu , Ru Pin Gong Ying Shang , Tian Pin Zi Zhu Can , Xian Ru Pei Song Fu Wu , Gao Bing Dian , Bo Bing Wai Mai Zi Qu , Hun Li Gao Bing Dian , Mian Bao Pi Fa Shang ",4.3,06:30-23:30,Open All Days,+91 90285 43080,"Bombay Bakery Sweets And Confectionery, Qadri complex, Main Road, opposite to Police Station, Khadkali, Udgir, Maharashtra 413517Yin Du ","Pin Zhi , Chan Pin ",https://www.google.com/maps/place/Bombay+Bakery+Sweets+And+Confectionery/data=!4m7!3m6!1s0x3bcfaa3cdcbde389:0x5dd5123533851aed!8m2!3d18.3925542!4d77.1168882!16s%2Fg%2F11b807gl6w!19sChIJieO93DyqzzsR7RqFMzUS1V0?authuser=0&hl=zh-TW&rclk=1
ChIJ1-CjWUKqzzsRUN2qdcxDSqI,Yewale Amruttulya by Hotel Shri Vitthal,,False,80,"Name: Chai-way
link: https://www.google.com/maps/search/Chai-way/@18.3917908,77.13098839999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 174 reviews

Name: hotal prachi
link: https://www.google.com/maps/search/hotal+prachi/@18.3827881,77.1227195?authuser=0&hl=zh-TW&entry=ttu
Reviews: 126 reviews

Name: Mamta Cafe
link: https://www.google.com/maps/search/Mamta+Cafe/@18.3903105,77.1268254?authuser=0&hl=zh-TW&entry=ttu
Reviews: 103 reviews

Name: Yewale Amrutatulya, Udgir
link: https://www.google.com/maps/search/Yewale+Amrutatulya%2C+Udgir/@18.3935458,77.1117124?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: RELOAD HOTEL & CAFE
link: https://www.google.com/maps/search/RELOAD+HOTEL+%26+CAFE/@18.388514999999998,77.1375087?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews",https://www.yewaleamruttulya.com/,Yewale Amruttulya by Hotel Shri Vitthal (Ye Zhu ),https://www.google.com/maps/contrib/108429080465233731995,https://lh5.googleusercontent.com/p/AF1QipMczu9EGmJdIXW_ae7ukBkm_TyfwNMbQ21ivEUl=w426-h240-k-no,Cha Xie Dian ,"Cha Xie Dian , Yin Pin Fen Xiao Shang , Ka Pei Ting , Ka Pei Dian , Wai Dai Ka Pei Zhuan Mai Dian , Cha Yi Guan ",4.1,06:00-22:00,Open All Days,+91 77382 05967,"Yewale Amruttulya by Hotel Shri Vitthal, Apparao Chowk, Udgir - Degloor Rd, Udgir, Maharashtra 413517Yin Du ",,https://www.google.com/maps/place/Yewale+Amruttulya+by+Hotel+Shri+Vitthal/data=!4m7!3m6!1s0x3bcfaa4259a3e0d7:0xa24a43cc75aadd50!8m2!3d18.3928451!4d77.1338351!16s%2Fg%2F11c1wrlb6c!19sChIJ1-CjWUKqzzsRUN2qdcxDSqI?authuser=0&hl=zh-TW&rclk=1
ChIJB1JRiHWrzzsRk5kvnVdjGls,Creamy Nuts,,False,32,"Name: The Cafe House & Fast Food Plaza
link: https://www.google.com/maps/search/The+Cafe+House+%26+Fast+Food+Plaza/@18.3835011,77.1199583?authuser=0&hl=zh-TW&entry=ttu
Reviews: 164 reviews

Name: Mamta Cafe
link: https://www.google.com/maps/search/Mamta+Cafe/@18.3903105,77.1268254?authuser=0&hl=zh-TW&entry=ttu
Reviews: 103 reviews

Name: Yewale Amrutatulya, Udgir
link: https://www.google.com/maps/search/Yewale+Amrutatulya%2C+Udgir/@18.3935458,77.1117124?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: Creamy &crunchy
link: https://www.google.com/maps/search/Creamy+%26crunchy/@18.3822144,77.1212142?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: Pubg Cafe,Udgir
link: https://www.google.com/maps/search/Pubg+Cafe%2CUdgir/@18.3942882,77.11260089999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://www.creamynuts.in/,Creamy Nuts (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO6vfJsanTO-s2KaT0C-4nmlJT3D0W6bGOC-cW4=w408-h725-k-no,Ka Pei Ting ,Ka Pei Ting ,3.3,10:00-22:00,Open All Days,+91 99600 04100,"94Q9+PC5 Creamy Nuts, Ram Nagar, Khadkali, Udgir, Maharashtra 413517Yin Du ",,https://www.google.com/maps/place/Creamy+Nuts/data=!4m7!3m6!1s0x3bcfab7588515207:0x5b1a63579d2f9993!8m2!3d18.3892528!4d77.1186037!16s%2Fg%2F11h9kzw_f7!19sChIJB1JRiHWrzzsRk5kvnVdjGls?authuser=0&hl=zh-TW&rclk=1
ChIJf0QSSmGrzzsRt4VP097kKLQ,RELOAD HOTEL & CAFE,,False,21,"Name: RB Cafe
link: https://www.google.com/maps/search/RB+Cafe/@18.3809336,77.1216862?authuser=0&hl=zh-TW&entry=ttu
Reviews: 128 reviews

Name: Mamta Cafe
link: https://www.google.com/maps/search/Mamta+Cafe/@18.3903105,77.1268254?authuser=0&hl=zh-TW&entry=ttu
Reviews: 103 reviews

Name: MR Drum Cafe
link: https://www.google.com/maps/search/MR+Drum+Cafe/@18.390555900000003,77.12671189999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: New Pubg Cafe
link: https://www.google.com/maps/search/New+Pubg+Cafe/@18.393213499999998,77.13403009999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 37 reviews

Name: Creamy &crunchy
link: https://www.google.com/maps/search/Creamy+%26crunchy/@18.3822144,77.1212142?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews",https://hotel-cafe-coffee-store.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,RELOAD HOTEL & CAFE (Ye Zhu ),https://www.google.com/maps/contrib/113555087084405228455,https://lh5.googleusercontent.com/p/AF1QipN3zylPY_HShVfcDILKgCao3R6PRiM3scS2YSC_=w427-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,5,09:00-21:00,Open All Days,,"RELOAD HOTEL & CAFE, hospital, opp. Life care, Shivneri, Udgir, Nideban, Maharashtra 413517Yin Du ",,https://www.google.com/maps/place/RELOAD+HOTEL+%26+CAFE/data=!4m7!3m6!1s0x3bcfab614a12447f:0xb428e4ded34f85b7!8m2!3d18.388515!4d77.1375087!16s%2Fg%2F11qzpk_jbn!19sChIJf0QSSmGrzzsRt4VP097kKLQ?authuser=0&hl=zh-TW&rclk=1
ChIJ19YE6WurzzsRGFPc_nY7B5w,Nature's Fresh Ice cream (100%Natural),,False,13,"Name: Creamy Nuts
link: https://www.google.com/maps/search/Creamy+Nuts/@18.389252799999998,77.1186037?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: BHARKADEVI ICE CREAM
link: https://www.google.com/maps/search/BHARKADEVI+ICE+CREAM/@18.3889534,77.1232833?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews

Name: Amul Agency
link: https://www.google.com/maps/search/Amul+Agency/@18.383068899999998,77.1194761?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.facebook.com/Natures-Fresh-Ice-Cream-104694322164844/,Nature's Fresh Ice cream (100%Natural) (Ye Zhu ),https://www.google.com/maps/contrib/105683386917519577884,https://lh5.googleusercontent.com/p/AF1QipP47CuGAMys6Cy4xSaZKz3gSDXoS82r3gnnKfB8=w408-h884-k-no,Xue Gao Dian ,Xue Gao Dian ,4.8,10:00-23:00,Open All Days,+91 79729 40710,"Nature's Fresh Ice cream (100%Natural), In front of Raghukul Mangal Karyalay, Shahu chowk,Bidar road, Udgir In front of Raghukul Mangal Karyalay, Shahu chowk, Udgir - Bidar Rd, Udgir, Maharashtra 413517Yin Du ",,https://www.google.com/maps/place/Nature%27s+Fresh+Ice+cream+%28100%25Natural%29/data=!4m7!3m6!1s0x3bcfab6be904d6d7:0x9c073b76fedc5318!8m2!3d18.3833618!4d77.1200954!16s%2Fg%2F11rv1x3s5x!19sChIJ19YE6WurzzsRGFPc_nY7B5w?authuser=0&hl=zh-TW&rclk=1
ChIJ17vqVvKrzzsRiUehz-WfVAI,Naivedyam Resto,,False,1079,"Name: Hotel Jai Jawan
link: https://www.google.com/maps/search/Hotel+Jai+Jawan/@18.392502699999998,77.1158963?authuser=0&hl=zh-TW&entry=ttu
Reviews: 533 reviews

Name: ST Canteen Udgir
link: https://www.google.com/maps/search/ST+Canteen+Udgir/@18.3864002,77.11952540000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 335 reviews

Name: Hotel Madhuban
link: https://www.google.com/maps/search/Hotel+Madhuban/@18.3931779,77.114615?authuser=0&hl=zh-TW&entry=ttu
Reviews: 248 reviews

Name: Sadhana Pure Veg
link: https://www.google.com/maps/search/Sadhana+Pure+Veg/@18.389148000000002,77.1179758?authuser=0&hl=zh-TW&entry=ttu
Reviews: 226 reviews",,Naivedyam Resto (Ye Zhu ),https://www.google.com/maps/contrib/104676070142611658874,https://lh5.googleusercontent.com/p/AF1QipMPDAOE29LxMwqltqY3O1-98yWej7TfwC4Bqva5=w408-h306-k-no,Jia Ting Can Ting ,Jia Ting Can Ting ,3.9,10:00-23:00,Open All Days,,"Naivedyam Resto, Degloor Rd, near lal bahadur shastri vidyalay, Vikas Nagar, Udgir, Maharashtra 413517Yin Du ","Fan Dian , Shi Wu Pin Zhi , Su Shi , Jia Ge , Can Yin , Ju Hui , Pei Song , Shuai Bing , Huan Jing ",https://www.google.com/maps/place/Naivedyam+Resto/data=!4m7!3m6!1s0x3bcfabf256eabbd7:0x2549fe5cfa14789!8m2!3d18.3893546!4d77.1243292!16s%2Fg%2F11g03zwtwt!19sChIJ17vqVvKrzzsRiUehz-WfVAI?authuser=0&hl=zh-TW&rclk=1
