place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ01yP3A5cozsRi8z-IheIMVM,Ideal Ice Cream Parlour Highway Thokkottu,,False,829,"Name: Ideal Cream Parlour
link: https://www.google.com/maps/search/Ideal+Cream+Parlour/@12.867500999999999,74.84062960000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6382 reviews

Name: AMUL ICE CREAM PARLOUR
link: https://www.google.com/maps/search/AMUL+ICE+CREAM+PARLOUR/@12.8147329,74.8589908?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: Rayan's
link: https://www.google.com/maps/search/Rayan%27s/@12.818206,74.8606411?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews

Name: Cornish Icecream Parlour & Juice
link: https://www.google.com/maps/search/Cornish+Icecream+Parlour+%26+Juice/@12.808486,74.894246?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: MangoBerrys Thokkottu
link: https://www.google.com/maps/search/MangoBerrys+Thokkottu/@12.8196862,74.85879849999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://ideal-ice-cream-parlour-highway-thokkottu-ice.business.site/%3Fm%3Dtrue,Ideal Ice Cream Parlour Highway Thokkottu (Ye Zhu ),https://www.google.com/maps/contrib/102510613943917917108,https://lh5.googleusercontent.com/p/AF1QipPqQoJwzI_Jb09834RWC901Iv__FLoMW6fTXgno=w426-h240-k-no,Xue Gao Dian ,"Xue Gao Dian , Kuai Can Dian , Guo Shi Yuan , Guo Zhi Dian ",4.3,10:00-23:00,Open All Days,+91 74119 99989,"Ideal Ice Cream Parlour Highway Thokkottu, Batnagara Thokkottu, Ullal, Mangaluru, Karnataka 575020Yin Du ","Jing Yan , Jia Ge , Xing Wei , Jia Ting , Ting Che , Gan Jue , San Ming Zhi , Guo Zhi , Wei Sheng ",https://www.google.com/maps/place/Ideal+Ice+Cream+Parlour+Highway+Thokkottu/data=!4m7!3m6!1s0x3ba35c0edc8f5cd3:0x5331881722fecc8b!8m2!3d12.8145662!4d74.8589336!16s%2Fg%2F11f2xyc0hp!19sChIJ01yP3A5cozsRi8z-IheIMVM?authuser=0&hl=zh-TW&rclk=1
ChIJY-9jzrFbozsRTXJpeaC6KN8,Cafe Coffee Day,,False,474,"Name: Ideal Cafe
link: https://www.google.com/maps/search/Ideal+Cafe/@12.869871,74.840543?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15174 reviews

Name: Ziffy Cafe
link: https://www.google.com/maps/search/Ziffy+Cafe/@12.8689129,74.85814309999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 305 reviews

Name: The Mangalore Cafe
link: https://www.google.com/maps/search/The+Mangalore+Cafe/@12.859728599999999,74.8551365?authuser=0&hl=zh-TW&entry=ttu
Reviews: 222 reviews",https://pandeshwar.cafecoffeeday.com/,Cafe Coffee Day (Ye Zhu ),https://www.google.com/maps/contrib/112404864068811278537,https://lh5.googleusercontent.com/p/AF1QipNMwjUbWAsfA2BtYfdqcJm478isutfCGlbOLkmW=w408-h408-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , Wai Mai Zi Qu Can Ting , Gao Bing Dian , Can Ting , San Wen Zhi Dian ",4,10:00-21:00,Open All Days,+91 1800 102 5093,"Unit No. F&B 01, Under Ground Flr, Cafe Coffee Day, Forum Mall, Pandeshwar Rd, Pandeshwar, Mangaluru, Karnataka 575001Yin Du ","Qia Bu Qi Nuo , Bei , Jing Yan , atmosphere, Na Tie , Jia Ge , Dan Gao , Pin Pai , Si Rong , Gou Wu Zhong Xin ",https://www.google.com/maps/place/Caf%C3%A9+Coffee+Day/data=!4m7!3m6!1s0x3ba35bb1ce63ef63:0xdf28baa07969724d!8m2!3d12.8569918!4d74.8385831!16s%2Fg%2F11c2q41vkl!19sChIJY-9jzrFbozsRTXJpeaC6KN8?authuser=0&hl=zh-TW&rclk=1
ChIJwTWatwlcozsRO_B02_ryEKE,Just Bake ThokKottu,,False,144,"Name: 7th Heaven Cake shop Thokkottu -slice of happiness
link: https://www.google.com/maps/search/7th+Heaven+Cake+shop+Thokkottu+-slice+of+happiness/@12.816852599999999,74.8590399?authuser=0&hl=zh-TW&entry=ttu
Reviews: 200 reviews

Name: Ribbons and Balloons - Thokkottu
link: https://www.google.com/maps/search/Ribbons+and+Balloons+-+Thokkottu/@12.818079899999999,74.8595594?authuser=0&hl=zh-TW&entry=ttu
Reviews: 79 reviews

Name: JUST BAKE
link: https://www.google.com/maps/search/JUST+BAKE/@12.8842432,74.8764121?authuser=0&hl=zh-TW&entry=ttu
Reviews: 72 reviews

Name: Just Bake Derebail Konchady
link: https://www.google.com/maps/search/Just+Bake+Derebail+Konchady/@12.9071091,74.8493136?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews",https://www.justbake.in/,Just Bake ThokKottu (Ye Zhu ),https://www.google.com/maps/contrib/113129119701014095003,https://lh5.googleusercontent.com/p/AF1QipNeDOmjKG1N-TRh1BQ3mrRNwXmE_dM6wbptNl1l=w408-h306-k-no,Xi Bing Dian ,"Xi Bing Dian , Mian Bao Xi Bing Dian , Ka Pei Ting ",3.3,10:00-20:00,Open All Days,+91 78293 88900,"Just Bake ThokKottu, samruddhi arcade next to reliance trends over bridge, NH 66, Thokottu, Karnataka 575017Yin Du ","Ke Ren , Jing Yan , Sheng Ri ",https://www.google.com/maps/place/Just+Bake+ThokKottu/data=!4m7!3m6!1s0x3ba35c09b79a35c1:0xa110f2fadb74f03b!8m2!3d12.8147862!4d74.8589982!16s%2Fg%2F11g6q22pz6!19sChIJwTWatwlcozsRO_B02_ryEKE?authuser=0&hl=zh-TW&rclk=1
ChIJj8MHxyFfozsRYw2sC0Fa_4w,Yenepoya Hospital cafe,,False,128,"Name: Nyzew Restocafe
link: https://www.google.com/maps/search/Nyzew+Restocafe/@12.8133488,74.88145449999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 77 reviews

Name: Lassi n Cafe
link: https://www.google.com/maps/search/Lassi+n+Cafe/@12.8113564,74.8830254?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: Fresh and Honest
link: https://www.google.com/maps/search/Fresh+and+Honest/@12.8078729,74.88804379999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",http://www.yenepoya.edu.in/,Yenepoya Hospital cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMqtDWbTNKagZ71yY1ZG7CDH9AVbJdk-hMD8CYf=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,24 Xiao Shi Ying Ye ,Open All Days,,"RV6J+R68 Yenepoya Hospital cafe, Someshwara, Ullal, Karnataka 575022Yin Du ","Yi Sheng , Zhi Liao ",https://www.google.com/maps/place/Yenepoya+Hospital+cafe/data=!4m7!3m6!1s0x3ba35f21c707c38f:0x8cff5a410bac0d63!8m2!3d12.8120256!4d74.8805906!16s%2Fg%2F11gh94_xzf!19sChIJj8MHxyFfozsRYw2sC0Fa_4w?authuser=0&hl=zh-TW&rclk=1
ChIJqdkvhSNdozsRXUZAVQtyJ6Q,Namma super market,,False,114,"Name: Namma Sai Super Market
link: https://www.google.com/maps/search/Namma+Sai+Super+Market/@12.7949063,74.8574965?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews

Name: MinI Super Market
link: https://www.google.com/maps/search/MinI+Super+Market/@12.8713014,74.8521525?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",http://nammasupermarketonline.com/,Namma super market (Ye Zhu ),https://www.google.com/maps/contrib/108452878086112684436,https://lh5.googleusercontent.com/p/AF1QipOrpSNngZ0wHXsn_cKiOBPdTywfDA7UQO93TpaZ=w508-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.2,09:00-22:00,Open All Days,,"Namma super market, Someshwar Village, Ullal, Karnataka 575022Yin Du ","Ke Fu , Jia Ge ",https://www.google.com/maps/place/Namma+super+market/data=!4m7!3m6!1s0x3ba35d23852fd9a9:0xa427720b5540465d!8m2!3d12.7877872!4d74.8601612!16s%2Fg%2F11jnvm7t0q!19sChIJqdkvhSNdozsRXUZAVQtyJ6Q?authuser=0&hl=zh-TW&rclk=1
ChIJj7EyZIFhozsRITjWT8wWLVM,TANGO!,,False,51,"Name: Paneer Charmuri Point
link: https://www.google.com/maps/search/Paneer+Charmuri+Point/@12.7993093,74.8936164?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: Churmuri Stall
link: https://www.google.com/maps/search/Churmuri+Stall/@12.8780494,74.9188558?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews",https://instagram.com/tangochaats%3Figshid%3Dlzow3ufyfo37,TANGO! (Ye Zhu ),https://www.google.com/maps/contrib/110443853408737886718,https://lh5.googleusercontent.com/p/AF1QipPD3EBap-3rA9tU-31DeELhvooY7KdGu-sMIGTn=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.9,,Open All Days,+91 75610 07378,"TANGO!, Beeri Bus Stop, Centre point, Beeri, Kotekar, junction, Beeri, Karnataka 575022Yin Du ","Liao Tian , Wei Sheng ",https://www.google.com/maps/place/TANGO!/data=!4m7!3m6!1s0x3ba361816432b18f:0x532d16cc4fd63821!8m2!3d12.7867133!4d74.8604984!16s%2Fg%2F11h4czh8by!19sChIJj7EyZIFhozsRITjWT8wWLVM?authuser=0&hl=zh-TW&rclk=1
ChIJ2ezeyxdfozsR2_ChwoV0q2U,Smoothies Secrets,,False,48,"Name: Juice It Up Resto cafe
link: https://www.google.com/maps/search/Juice+It+Up+Resto+cafe/@12.812447299999999,74.88200049999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 688 reviews",https://smoothies-secrets.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Smoothies Secrets (Ye Zhu ),https://www.google.com/maps/contrib/115835121480842340400,https://lh5.googleusercontent.com/p/AF1QipOer_KdQnKkV_dNiIceFdj168WjjfjPGLjkN7wv=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,,Open All Days,+91 98866 25957,"Smoothies Secrets, Mangalore - Thokkottu - Konaje Univarsity Rd, Madani Nagar, Permanur, Deralakatte, Ullal, Karnataka 575017Yin Du ","Han Bao , Yi Da Li Mian , Nai Xi ",https://www.google.com/maps/place/Smoothies+Secrets/data=!4m7!3m6!1s0x3ba35f17cbdeecd9:0x65ab7485c2a1f0db!8m2!3d12.8163636!4d74.8801859!16s%2Fg%2F11k3x7ynys!19sChIJ2ezeyxdfozsR2_ChwoV0q2U?authuser=0&hl=zh-TW&rclk=1
ChIJhzdS0qdfozsRRAceCrQK2vs,JUST HUNGER,,False,14,"Name: Hashtag Cafe
link: https://www.google.com/maps/search/Hashtag+Cafe/@12.8046537,74.8990204?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews

Name: Waffee House Deralakatte
link: https://www.google.com/maps/search/Waffee+House+Deralakatte/@12.809499599999999,74.8890215?authuser=0&hl=zh-TW&entry=ttu
Reviews: 141 reviews

Name: Hunger Lust -Cloud Kitchen
link: https://www.google.com/maps/search/Hunger+Lust+-Cloud+Kitchen/@12.851843599999999,74.84991699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 107 reviews",https://instagram.com/just_hunger_official%3Figshid%3DYmMyMTA2M2Y%3D,JUST HUNGER (Ye Zhu ),https://www.google.com/maps/contrib/104447622372353251936,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8y6v2HW3H2wllzr4LEbT5w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=337.92596&pitch=0&thumbfov=100,Ka Pei Ting ,Ka Pei Ting ,4.8,11:30-01:00,Open All Days,,"JUST HUNGER, KS Hegde, West Gate Avenue Building, opposit, Belma Village, Deralakatte, Mangaluru, Karnataka 575022Yin Du ",,https://www.google.com/maps/place/JUST+HUNGER/data=!4m7!3m6!1s0x3ba35fa7d2523787:0xfbda0ab40a1e0744!8m2!3d12.809509!4d74.888589!16s%2Fg%2F11sqj4myyb!19sChIJhzdS0qdfozsRRAceCrQK2vs?authuser=0&hl=zh-TW&rclk=1
ChIJAwge4fNdozsRYePgKs1Nx-8,The Lassi Corner,,False,13,"Name: Lassi n Cafe
link: https://www.google.com/maps/search/Lassi+n+Cafe/@12.8113564,74.8830254?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: Lassi N Shakes Mlr
link: https://www.google.com/maps/search/Lassi+N+Shakes+Mlr/@12.882070400000002,74.8397899?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews

Name: Lassi Bistro
link: https://www.google.com/maps/search/Lassi+Bistro/@12.8833405,74.855637?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",https://www.lassicorner.com/,The Lassi Corner (Ye Zhu ),https://www.google.com/maps/contrib/100114641098253047651,https://lh5.googleusercontent.com/p/AF1QipNyLwSLjwqgZQJGVwlYVhb32B3MDWGmj0x-c5IT=w408-h576-k-no,Ka Pei Ting ,"Ka Pei Ting , Jia Ting Can Ting , Kuai Can Dian , Xue Gao Dian , Guo Zhi Dian , Can Ting ",4.8,,Open All Days,+91 74068 04000,"The Lassi Corner, Shop No 17, NH 66, Permanur, Ullal, Mangaluru, Karnataka 575017Yin Du ",,https://www.google.com/maps/place/The+Lassi+Corner/data=!4m7!3m6!1s0x3ba35df3e11e0803:0xefc74dcd2ae0e361!8m2!3d12.8173472!4d74.8594579!16s%2Fg%2F11qb8n3lk_!19sChIJAwge4fNdozsRYePgKs1Nx-8?authuser=0&hl=zh-TW&rclk=1
ChIJP3yhipRdozsR5t9j8YY1Mqw,Sazha coffee center,,False,2,"Name: Ziffy Cafe
link: https://www.google.com/maps/search/Ziffy+Cafe/@12.8689129,74.85814309999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 305 reviews

Name: Chai Sutta
link: https://www.google.com/maps/search/Chai+Sutta/@12.8751914,74.8400564?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews

Name: Chai Mas Kada
link: https://www.google.com/maps/search/Chai+Mas+Kada/@12.8096161,74.8903612?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: 916 CAFE HUT
link: https://www.google.com/maps/search/916+CAFE+HUT/@12.8093215,74.89309879999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews",https://sazha-coffee-center.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Sazha coffee center (Ye Zhu ),https://www.google.com/maps/contrib/113701926624956928004,https://lh5.googleusercontent.com/p/AF1QipPY42Jc52ThxicerJf0cNpLJfKFpLh7lxhdmNKo=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,5,,Open All Days,,"Sazha coffee center, coffee center, Sazha, Mangaluru, Karnataka 575023Yin Du ",,https://www.google.com/maps/place/Sazha+coffee+center/data=!4m7!3m6!1s0x3ba35d948aa17c3f:0xac323586f163dfe6!8m2!3d12.7670248!4d74.8706071!16s%2Fg%2F11s8xw8cvg!19sChIJP3yhipRdozsR5t9j8YY1Mqw?authuser=0&hl=zh-TW&rclk=1
