place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJezPvL4U-_kYRb-hD41SINgc,COLUMBUS Tavern Ustka - Restaurant,,False,6661,"Name: Laguna Marine Food & Drink
link: https://www.google.com/maps/search/Laguna+Marine+Food+%26+Drink/@54.587967899999995,16.8578091?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2803 reviews

Name: Tawerna Portowa Restauracja Ustka
link: https://www.google.com/maps/search/Tawerna+Portowa+Restauracja+Ustka/@54.584292999999995,16.855040799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1982 reviews

Name: Restauracja Familia
link: https://www.google.com/maps/search/Restauracja+Familia/@54.584652,16.8583374?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1876 reviews

Name: BISTRO KANAL - SNIADANIA I LUNCHE I CIASTA
link: https://www.google.com/maps/search/BISTRO+KANA%C5%81+-+%C5%9ANIADANIA+I+LUNCHE+I+CIASTA/@54.583475899999996,16.8559841?authuser=0&hl=zh-TW&entry=ttu
Reviews: 863 reviews

Name: Restauracja Tawerna ViVa
link: https://www.google.com/maps/search/Restauracja+Tawerna+ViVa/@54.5869688,16.8546661?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",http://www.tawerna.columbus.pl/,COLUMBUS Tavern Ustka - Restaurant (Ye Zhu ),https://www.google.com/maps/contrib/111015305705864585495,https://lh5.googleusercontent.com/p/AF1QipPuyEyZkPqcWtQ_76el-2gKT_emw4dx97JNDiHY=w426-h240-k-no,Can Ting ,"Can Ting , Ka Pei Ting , Zi Zhu Can Ting , Bo Lan Can Ting , Hai Xian Can Ting , Sheng Dai Can Ting ",4.4,13:00-22:00,"Xing Qi Ri , Xing Qi Yi ",+48 500 530 530,"COLUMBUS Tavern Ustka - Restaurant, Boleslawa Limanowskiego 1, 76-270 Ustka, Bo Lan ","Ke Fu , atmosphere, Hai , Xiao Cai , Gui Yu , Di Tu , Yu Tang ",https://www.google.com/maps/place/COLUMBUS+Tavern+Ustka+-+Restaurant/data=!4m7!3m6!1s0x46fe3e852fef337b:0x7368854e343e86f!8m2!3d54.5881419!4d16.8549545!16s%2Fg%2F1q62d7glw!19sChIJezPvL4U-_kYRb-hD41SINgc?authuser=0&hl=zh-TW&rclk=1
ChIJu2JxB4E-_kYRQAB0jahivIg,Biedronka,,False,3755,"Name: Lidl
link: https://www.google.com/maps/search/Lidl/@54.575988599999995,16.8522237?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2786 reviews

Name: Aldi
link: https://www.google.com/maps/search/Aldi/@54.5739719,16.8687659?authuser=0&hl=zh-TW&entry=ttu
Reviews: 833 reviews

Name: Zabka
link: https://www.google.com/maps/search/%C5%BBabka/@54.5844082,16.8583863?authuser=0&hl=zh-TW&entry=ttu
Reviews: 490 reviews

Name: Carrefour Express
link: https://www.google.com/maps/search/Carrefour+Express/@54.5845727,16.859684599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews

Name: Market Chinski
link: https://www.google.com/maps/search/Market+Chi%C5%84ski/@54.582695199999996,16.8677767?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/100111052780456462160,https://lh5.googleusercontent.com/p/AF1QipM0mZ7PUTyHrrB0dZp9iMmCDJDBOvGcrxChcL80=w408-h271-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",3.8,06:00-23:30,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+48 800 080 010,"Biedronka, plac Dabrowskiego 1, 76-270 Ustka, Bo Lan ",Shou Yin ,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x46fe3e81077162bb:0x88bc62a88d740040!8m2!3d54.58277!4d16.8675088!16s%2Fg%2F1tg_kb7b!19sChIJu2JxB4E-_kYRQAB0jahivIg?authuser=0&hl=zh-TW&rclk=1
ChIJW9sfSJs-_kYROyh-Qyl089M,Pizzeria Toscania,,False,3247,"Name: Neptun
link: https://www.google.com/maps/search/Neptun/@54.5854568,16.8549099?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1611 reviews

Name: Al Dente. Restauracja. Lapszys E.
link: https://www.google.com/maps/search/Al+Dente.+Restauracja.+%C5%81apszys+E./@54.576380300000004,16.8476385?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1482 reviews

Name: Ustecka Przystan
link: https://www.google.com/maps/search/Ustecka+Przysta%C5%84/@54.5812367,16.8614544?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1004 reviews

Name: Pizzeria DIAVOLLO
link: https://www.google.com/maps/search/Pizzeria+DIAVOLLO/@54.5791769,16.8471717?authuser=0&hl=zh-TW&entry=ttu
Reviews: 691 reviews

Name: Pizzeria Appetito
link: https://www.google.com/maps/search/Pizzeria+Appetito/@54.5883028,16.859409199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews",https://toscaniaustka.pl/,Pizzeria Toscania (Ye Zhu ),https://www.google.com/maps/contrib/109487681312616049880,https://lh5.googleusercontent.com/p/AF1QipOBA3C6-6dhcNBvhnrZoNWURaeYQ6iLHgbCLEQ=w408-h306-k-no,Bo Bing Can Ting ,"Bo Bing Can Ting , Can Ting ",4.4,12:30-21:00,"Xing Qi Ri , Xing Qi Yi ",+48 663 102 202,"Pizzeria Toscania, Marynarki Polskiej 14, 76-270 Ustka, Bo Lan ","Jia Ge , Di Tu , Ce Suo ",https://www.google.com/maps/place/Pizzeria+Toscania/data=!4m7!3m6!1s0x46fe3e9b481fdb5b:0xd3f37429437e283b!8m2!3d54.58576!4d16.8548473!16s%2Fg%2F1tdkkxx8!19sChIJW9sfSJs-_kYROyh-Qyl089M?authuser=0&hl=zh-TW&rclk=1
ChIJga0NWSg8_kYRS02rUTxA-Bw,Lidl,,False,2786,"Name: Biedronka
link: https://www.google.com/maps/search/Biedronka/@54.58277,16.8675088?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3754 reviews

Name: Aldi
link: https://www.google.com/maps/search/Aldi/@54.5739719,16.8687659?authuser=0&hl=zh-TW&entry=ttu
Reviews: 833 reviews

Name: Delikatesy Centrum
link: https://www.google.com/maps/search/Delikatesy+Centrum/@54.5838423,16.8640908?authuser=0&hl=zh-TW&entry=ttu
Reviews: 656 reviews

Name: SKLEP LIMONKA (U JANUSZA)
link: https://www.google.com/maps/search/SKLEP+LIMONKA+%28U+JANUSZA%29/@54.5808367,16.8652508?authuser=0&hl=zh-TW&entry=ttu
Reviews: 117 reviews

Name: Sklep spozywczy PSS Spolem
link: https://www.google.com/maps/search/Sklep+spo%C5%BCywczy+PSS+Spo%C5%82em/@54.57657400000001,16.851954?authuser=0&hl=zh-TW&entry=ttu
Reviews: 37 reviews",https://www.lidl.pl/,Lidl (Ye Zhu ),https://www.google.com/maps/contrib/114815202180514226225,https://lh5.googleusercontent.com/p/AF1QipPvWMq3zqVVaKDC3ZMDOq8xQtr7dJSxIUy-9IzW=w408-h306-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Chao Ji Shi Chang ",4.2,06:00-22:00,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+48 61 880 30 00,"Lidl, Darlowska 14, 76-270 Ustka, Bo Lan ",,https://www.google.com/maps/place/Lidl/data=!4m7!3m6!1s0x46fe3c28590dad81:0x1cf8403c51ab4d4b!8m2!3d54.5759886!4d16.8522237!16s%2Fg%2F11b6nr4f0h!19sChIJga0NWSg8_kYRS02rUTxA-Bw?authuser=0&hl=zh-TW&rclk=1
ChIJ0SNJvIQ-_kYRropAWQ62d3M,Cafe Mistral,,False,2136,"Name: Cafe Iceberg
link: https://www.google.com/maps/search/Cafe+Iceberg/@54.5819969,16.8586311?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2033 reviews

Name: Mistral Cafe Tu i Teraz
link: https://www.google.com/maps/search/Mistral+Cafe+Tu+i+Teraz/@54.582822,16.8582499?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1203 reviews

Name: Cafe Villa Mistral
link: https://www.google.com/maps/search/Cafe+Villa+Mistral/@54.5866349,16.8601794?authuser=0&hl=zh-TW&entry=ttu
Reviews: 437 reviews

Name: Cafe Mistral Na Fali
link: https://www.google.com/maps/search/Cafe+Mistral+Na+Fali/@54.588018899999994,16.8514743?authuser=0&hl=zh-TW&entry=ttu
Reviews: 382 reviews",http://cafemistral.ustka.pl/,Cafe Mistral (Ye Zhu ),https://www.google.com/maps/contrib/115877074891050376273,https://lh5.googleusercontent.com/p/AF1QipNhDbEC40Zk_cNPThGKc6TOGb8yciPgTdmkNJ1c=w408-h271-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,10:00-20:00,Open All Days,+48 501 527 578,"Cafe Mistral, Kaszubska 9, 76-270 Ustka, Bo Lan ",Tang Guo ,https://www.google.com/maps/place/Cafe+Mistral/data=!4m7!3m6!1s0x46fe3e84bc4923d1:0x7377b60e59408aae!8m2!3d54.5847748!4d16.8572512!16s%2Fg%2F11bt_hynl9!19sChIJ0SNJvIQ-_kYRropAWQ62d3M?authuser=0&hl=zh-TW&rclk=1
ChIJOUfeOy88_kYRQfAed9dezpE,Biedronka,,False,2056,"Name: Lidl
link: https://www.google.com/maps/search/Lidl/@54.575988599999995,16.8522237?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2786 reviews

Name: Polomarket
link: https://www.google.com/maps/search/Polomarket/@54.581848099999995,16.866445499999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1135 reviews

Name: Aldi
link: https://www.google.com/maps/search/Aldi/@54.5739719,16.8687659?authuser=0&hl=zh-TW&entry=ttu
Reviews: 833 reviews

Name: Zabka
link: https://www.google.com/maps/search/%C5%BBabka/@54.581082699999996,16.8643812?authuser=0&hl=zh-TW&entry=ttu
Reviews: 94 reviews

Name: SKLEP OGOLNOSPOZYWCZY MINI - DELIKATESY WANDA SANDERA
link: https://www.google.com/maps/search/SKLEP+OG%C3%93LNOSPO%C5%BBYWCZY+MINI+-+DELIKATESY+WANDA+SANDERA/@54.58103800000001,16.870224?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/110760535122157740486,https://lh5.googleusercontent.com/p/AF1QipMz6MNs-zN4wA87qruyFm2IyKqE946aXMGfRX57=w426-h240-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",4.1,06:00-23:30,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+48 800 080 010,"Biedronka, Kwiatowa 1, 76-270 Ustka, Bo Lan ",Xuan Ze ,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x46fe3c2f3bde4739:0x91ce5ed7771ef041!8m2!3d54.5722782!4d16.8509564!16s%2Fg%2F1hf26psmp!19sChIJOUfeOy88_kYRQfAed9dezpE?authuser=0&hl=zh-TW&rclk=1
ChIJy6v6otU__kYRmBq08bV6ch0,"Restauracja ""Weranda"" w Ustce",,False,1965,"Name: Tawerna Portowa Restauracja Ustka
link: https://www.google.com/maps/search/Tawerna+Portowa+Restauracja+Ustka/@54.584292999999995,16.855040799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1982 reviews

Name: Restauracja Familia
link: https://www.google.com/maps/search/Restauracja+Familia/@54.584652,16.8583374?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1876 reviews

Name: Restauracja 7-Niebo
link: https://www.google.com/maps/search/Restauracja+7-Niebo/@54.585037299999996,16.8561604?authuser=0&hl=zh-TW&entry=ttu
Reviews: 372 reviews",http://www.weranda-ustka.pl/,"Restauracja ""Weranda"" w Ustce (Ye Zhu )",https://www.google.com/maps/contrib/117903967537652078171,https://lh5.googleusercontent.com/p/AF1QipMSkL2VM3_JCMXN_WWFCGp0jB9dV1zkx_D1MxLy=w426-h240-k-no,Can Ting ,"Can Ting , Ka Pei Ting , Sheng Dai Can Ting ",4.5,09:00-21:00,Open All Days,+48 530 158 999,"Restauracja ""Weranda"" w Ustce, Chopina 10A, 76-270 Ustka, Bo Lan ","Jia Ge , atmosphere, Han Bao , Ke Fu , Bing Sha , Di Tu , Diao Jiu , Zao Can , Pi Jiu ",https://www.google.com/maps/place/Restauracja+%22Weranda%22+w+Ustce/data=!4m7!3m6!1s0x46fe3fd5a2faabcb:0x1d727ab5f1b41a98!8m2!3d54.5877848!4d16.8637311!16s%2Fg%2F11h5w3ytbq!19sChIJy6v6otU__kYRmBq08bV6ch0?authuser=0&hl=zh-TW&rclk=1
ChIJKXlGSZs-_kYRfWUIjg3-F-A,Palarnia Kawy Kawiarnia Lodziarnia Jablonowscy,,False,1299,"Name: Cafe Iceberg
link: https://www.google.com/maps/search/Cafe+Iceberg/@54.5819969,16.8586311?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2033 reviews

Name: AniAnicafe Ustka
link: https://www.google.com/maps/search/AniAnicafe+Ustka/@54.583484299999995,16.8578279?authuser=0&hl=zh-TW&entry=ttu
Reviews: 541 reviews

Name: Bacio
link: https://www.google.com/maps/search/Bacio/@54.5855305,16.8552362?authuser=0&hl=zh-TW&entry=ttu
Reviews: 501 reviews

Name: Kawiarnia Cafe Aronia
link: https://www.google.com/maps/search/Kawiarnia+Cafe+Aronia/@54.587056,16.863416?authuser=0&hl=zh-TW&entry=ttu
Reviews: 255 reviews",http://www.jablonowscy.pl/,Palarnia Kawy Kawiarnia Lodziarnia Jablonowscy (Ye Zhu ),https://www.google.com/maps/contrib/101786110210043324787,https://lh5.googleusercontent.com/p/AF1QipMUkkSZXKUbu8GTXztOyeW7skbXi27dj9S3OZtg=w408-h306-k-no,Ka Pei Hong Bei Shang ,"Ka Pei Hong Bei Shang , Ka Pei Ting ",4.5,10:00-20:00,Open All Days,+48 733 688 889,"Palarnia Kawy Kawiarnia Lodziarnia Jablonowscy, Marynarki Polskiej 41, 76-270 Ustka, Bo Lan ","Bing Qi Lin , Qia Bu Qi Nuo ",https://www.google.com/maps/place/Palarnia+Kawy+Kawiarnia+Lodziarnia+Jab%C5%82onowscy/data=!4m7!3m6!1s0x46fe3e9b49467929:0xe017fe0d8e08657d!8m2!3d54.5853425!4d16.8551751!16s%2Fg%2F11f3ft5zcw!19sChIJKXlGSZs-_kYRfWUIjg3-F-A?authuser=0&hl=zh-TW&rclk=1
ChIJqQreBN8__kYRFWZ2HocrSQk,Mistral Cafe Tu i Teraz,,False,1204,"Name: Cafe Mistral
link: https://www.google.com/maps/search/Cafe+Mistral/@54.5847748,16.8572512?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2135 reviews

Name: Cafe Iceberg
link: https://www.google.com/maps/search/Cafe+Iceberg/@54.5819969,16.8586311?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2033 reviews

Name: Cafe Villa Mistral
link: https://www.google.com/maps/search/Cafe+Villa+Mistral/@54.5866349,16.8601794?authuser=0&hl=zh-TW&entry=ttu
Reviews: 437 reviews

Name: Cafe Mistral Na Fali
link: https://www.google.com/maps/search/Cafe+Mistral+Na+Fali/@54.588018899999994,16.8514743?authuser=0&hl=zh-TW&entry=ttu
Reviews: 382 reviews",http://www.mistral.ustka.pl/,Mistral Cafe Tu i Teraz (Ye Zhu ),https://www.google.com/maps/contrib/104357561468227826211,https://lh5.googleusercontent.com/p/AF1QipNcPSajBl9u1Y4mMJ4RB20cVXpBD5_VIrN6kDky=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,09:00-20:00,Open All Days,+48 501 527 578,"Mistral Cafe Tu i Teraz, Marynarki Polskiej 73, 76-270 Ustka, Bo Lan ","Dan Gao , Xuan Ze , Qia Bu Qi Nuo ",https://www.google.com/maps/place/Mistral+Cafe+Tu+i+Teraz/data=!4m7!3m6!1s0x46fe3fdf04de0aa9:0x9492b871e766615!8m2!3d54.582822!4d16.8582499!16s%2Fg%2F11fl0tzhrn!19sChIJqQreBN8__kYRFWZ2HocrSQk?authuser=0&hl=zh-TW&rclk=1
ChIJo5aNLoE-_kYRAGN1V3WurW8,Polomarket,,False,1135,"Name: Aldi
link: https://www.google.com/maps/search/Aldi/@54.5739719,16.8687659?authuser=0&hl=zh-TW&entry=ttu
Reviews: 833 reviews

Name: GROCERY ""ENA"" ABC
link: https://www.google.com/maps/search/GROCERY+%22ENA%22+ABC/@54.575886999999994,16.8745659?authuser=0&hl=zh-TW&entry=ttu
Reviews: 140 reviews

Name: Top market
link: https://www.google.com/maps/search/Top+market/@54.578796999999994,16.8488959?authuser=0&hl=zh-TW&entry=ttu
Reviews: 116 reviews

Name: Carrefour Express
link: https://www.google.com/maps/search/Carrefour+Express/@54.5845727,16.859684599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews

Name: Kiosk
link: https://www.google.com/maps/search/Kiosk/@54.5820162,16.8665451?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.polomarket.pl/,Polomarket (Ye Zhu ),https://www.google.com/maps/contrib/114622632573983607549,https://lh5.googleusercontent.com/p/AF1QipPvxv2y1eC3__wBp2ur-TDh7vBVHwGq8YubfUql=w408-h306-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Jiu Lei Ling Shou Zhuan Mai , Hong Bei Yong Ju Dian , Rou Fan , Shou Shi Dian , Nai Zhi Pin Dian , Shu Guo Dian , You Ji Shi Pin Dian , You Ji Shang Dian , Jiu Pin Zhuan Mai Dian ",3.8,06:00-21:00,"Xing Qi Yi , Xing Qi Er ",+48 518 015 062,"Polomarket, Krotka 1, 76-270 Ustka, Bo Lan ","Jia Ge , Xuan Ze ",https://www.google.com/maps/place/Polomarket/data=!4m7!3m6!1s0x46fe3e812e8d96a3:0x6fadae7557756300!8m2!3d54.5818481!4d16.8664455!16s%2Fg%2F1hc559lft!19sChIJo5aNLoE-_kYRAGN1V3WurW8?authuser=0&hl=zh-TW&rclk=1
