place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJdRlVSfIABDQRq5S65hPQo-8,Ban Dao Jiu Dian ,"Ti Gong Ya Zhi Ke Fang De Hao Hua Fan Dian ,She You  7 Jian Can Ting , 1 Jian Jiu Ba ,Yi Ji Shui Liao Zhong Xin He Shi Nei Yong Chi . ",False,6569,,https://www.peninsula.com/en/hong-kong/5-star-luxury-hotel-kowloon,Ban Dao Jiu Dian  (Ye Zhu ),https://www.google.com/maps/contrib/109648871846093552260,https://lh3.googleusercontent.com/gps-proxy/AMy85WKrhWr2irRFeyP4QduYeLmJnYsEOX1Y3egnR7dw6AOVw8-V6GjW9lYzPLKPCS2kPPYEJYMtX2gpWQcm_WmAr02TF70phsX-c5Q52stfYRa_CS_4fIJH7qhWRmaHNr5CiPi35u0r8GPRhen3O4DBx0fFxfgfCutJTz4FN4p2I4gLgcHiOltaDi2D=w408-h272-k-no,Jiu Dian ,Jiu Dian ,4.5,,Open All Days,2920 2888,Jian Sha Ju Shu Shi Ba Li Dao Ban Dao Jiu Dian ,"Yan Zou , Si Kang , Ye Jing , Da Tang , Gu Dian , Tu Shi ",https://www.google.com/maps/place/%E5%8D%8A%E5%B3%B6%E9%85%92%E5%BA%97/data=!4m10!3m9!1s0x340400f249551975:0xefa3d013e6ba94ab!5m2!4m1!1i2!8m2!3d22.2951024!4d114.1718537!16zL20vMDJ3Z3dz!19sChIJdRlVSfIABDQRq5S65hPQo-8?authuser=0&hl=zh-TW&rclk=1
ChIJzbDWTWIABDQR_WNi3VDdv-U,Xiang Gang Si Ji Jiu Dian ,"Fu Kan Wei Duo Li Ya Gang De Ya Zhi Fan Dian ,Ti Gong Jing Zhi De Ke Fang He Tao Fang ,Bing She You Dian Ya De Can Ting He You Yong Chi . ",False,3129,,https://www.fourseasons.com/hongkong/%3Futm_source%3Dgoogle%26utm_medium%3Dorganicsearch%26utm_campaign%3Dtor-hkg-hre-mid-seo-na%26utm_content%3Dna-na%26utm_term%3Dna,Xiang Gang Si Ji Jiu Dian  (Ye Zhu ),https://www.google.com/maps/contrib/112902616649519272202,https://lh5.googleusercontent.com/p/AF1QipOL_kY27eTjLZ_mu_q0LdX1D6crSijNyIDsMhE4=w408-h272-k-no,Jiu Dian ,"Jiu Dian , Hun Li Chang Di ",4.5,,Open All Days,3196 8888,Zhong Huan Jin Rong Jie 8Hao Xiang Gang Si Ji Jiu Dian ,"Gou Wu Shang Chang , Huan Jing , Xiang Bin , Mi Zhi Lian , Hai Jing , Dian Xin , She Shi , Jin Rong ",https://www.google.com/maps/place/%E9%A6%99%E6%B8%AF%E5%9B%9B%E5%AD%A3%E9%85%92%E5%BA%97/data=!4m10!3m9!1s0x340400624dd6b0cd:0xe5bfdd50dd6263fd!5m2!4m1!1i2!8m2!3d22.2863701!4d114.1570412!16s%2Fm%2F064r789!19sChIJzbDWTWIABDQR_WNi3VDdv-U?authuser=0&hl=zh-TW&rclk=1
ChIJhe2GUAy6Lg0RiSCqBdn6J3Y,A Ventana,,False,558,"Name: A Cerveceria de Laxe
link: https://www.google.com/maps/search/A+Cervecer%C3%ADa+de+Laxe/@43.220779400000005,-9.0058403?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1206 reviews

Name: Restaurante Mar De Fondo (Laxe)
link: https://www.google.com/maps/search/Restaurante+Mar+De+Fondo+%28Laxe%29/@43.222068799999995,-9.005331?authuser=0&hl=zh-TW&entry=ttu
Reviews: 865 reviews

Name: Restaurante Bahia de Laxe
link: https://www.google.com/maps/search/Restaurante+Bah%C3%ADa+de+Laxe/@43.2192481,-9.005098?authuser=0&hl=zh-TW&entry=ttu
Reviews: 538 reviews

Name: Taberna ~ O Quitapenas
link: https://www.google.com/maps/search/Taberna+~+O+Quitapenas/@43.216810599999995,-9.0046737?authuser=0&hl=zh-TW&entry=ttu
Reviews: 152 reviews

Name: Restaurante @ O Nautico
link: https://www.google.com/maps/search/Restaurante+%40+O+N%C3%A1utico/@43.2197564,-9.0055333?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews",http://www.facebook.com/aventana,A Ventana (Ye Zhu ),https://www.google.com/maps/contrib/115021767551005491045,https://lh5.googleusercontent.com/p/AF1QipO2ML9YDhLzNzzcwzAPU0x5Gg3i0jkcxojm4JXa=w427-h240-k-no,Zi Zhu Can Ting ,"Zi Zhu Can Ting , Ka Pei Ting , Yin Le Ting , Jiu Ba ",4.2,,Open All Days,+34 981 72 83 19,"A Ventana, C/ Real 14, Laxe (A Coruna), 15117 Laxe, Xi Ban Ya ","Bei , Huan Jing , Diao Jiu , Sha Tan , Yan Chang Hui , Wan Shang , tapas, Chuang , Pi Jiu ",https://www.google.com/maps/place/A+Ventana/data=!4m7!3m6!1s0xd2eba0c5086ed85:0x7627fad905aa2089!8m2!3d43.2221199!4d-9.0053508!16s%2Fg%2F1tls43b5!19sChIJhe2GUAy6Lg0RiSCqBdn6J3Y?authuser=0&hl=zh-TW&rclk=1
ChIJ32eGF3wABDQRGLekTcrV9ss,Kaffeine,,False,324,"Name: The Cupping Room (Shang Huan )
link: https://www.google.com/maps/search/The+Cupping+Room+%28%E4%B8%8A%E7%92%B0%29/@22.2850412,114.15055179999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 849 reviews

Name: Barista Jam
link: https://www.google.com/maps/search/Barista+Jam/@22.285622,114.150544?authuser=0&hl=zh-TW&entry=ttu
Reviews: 419 reviews

Name: Coco Espresso
link: https://www.google.com/maps/search/Coco+Espresso/@22.285214699999997,114.1523998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 265 reviews

Name: Fast Gourmet
link: https://www.google.com/maps/search/Fast+Gourmet/@22.2838885,114.15226109999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 257 reviews

Name: Meanwhile Coffee
link: https://www.google.com/maps/search/Meanwhile+Coffee/@22.2847339,114.1509813?authuser=0&hl=zh-TW&entry=ttu
Reviews: 126 reviews",https://www.facebook.com/kaffeinehk/,Kaffeine (Ye Zhu ),https://www.google.com/maps/contrib/107025819047189254688,https://lh5.googleusercontent.com/p/AF1QipPZvH112bRU56qCwv_P-IaOubz2pQbo4yRObKz3=w408-h408-k-no,Can Ting ,"Can Ting , Ka Pei Ting ",4.1,08:00-18:00,Open All Days,2639 5100,"Kaffeine, 108 Jervois St, Sheung Wan","cafe, Dan Gao , Niu You Guo , scone, Niu Jiao Bao , brunch, espresso, flat white, She Ji , cappuccino",https://www.google.com/maps/place/Kaffeine/data=!4m7!3m6!1s0x3404007c178667df:0xcbf6d5ca4da4b718!8m2!3d22.2853119!4d114.1505434!16s%2Fg%2F11f03p_7t9!19sChIJ32eGF3wABDQRGLekTcrV9ss?authuser=0&hl=zh-TW&rclk=1
ChIJaXiLYtihc0gRuyuaQZX8-WM,Ventana Grand Cafe,,False,163,"Name: Urban Reef
link: https://www.google.com/maps/search/Urban+Reef/@50.7201788,-1.8408904?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3084 reviews

Name: NEO Restaurant
link: https://www.google.com/maps/search/NEO+Restaurant/@50.716881099999995,-1.877097?authuser=0&hl=zh-TW&entry=ttu
Reviews: 795 reviews

Name: Arbor
link: https://www.google.com/maps/search/Arbor/@50.7195268,-1.8682906000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 359 reviews

Name: Schpoons & Forx
link: https://www.google.com/maps/search/Schpoons+%26+Forx/@50.718970299999995,-1.8808501?authuser=0&hl=zh-TW&entry=ttu
Reviews: 242 reviews

Name: Mirabelle Restaurant
link: https://www.google.com/maps/search/Mirabelle+Restaurant/@50.719263899999994,-1.8609552?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://cumberlandbournemouth.co.uk/ventana-grand-cafe/,Ventana Grand Cafe (Ye Zhu ),https://www.google.com/maps/contrib/110034950500279768205,https://lh5.googleusercontent.com/p/AF1QipOh7EKcI-37IHgNcRNTPdy7XOI8Tc5CQB_G7HY6=w408-h271-k-no,Can Ting ,"Can Ting , Jiu Ba , Ying Guo Can Ting , Ka Pei Ting , Zheng Liu Ka Pei Ba ",4.5,12:00-21:00,Open All Days,+44 1202 208612,"Ventana Grand Cafe, The Cumberland Hotel, 27 E Overcliff Dr, Boscombe, Bournemouth BH1 3AFYing Guo ","Jia Ge , Wu Can , Fan Dian , Can Yin , San Ming Zhi , Zhu Can , Si Kang , Ji Nian Ri , Dan Cai ",https://www.google.com/maps/place/Ventana+Grand+Caf%C3%A9/data=!4m7!3m6!1s0x4873a1d8628b7869:0x63f9fc95419a2bbb!8m2!3d50.7191981!4d-1.8611156!16s%2Fg%2F1hm5lw0rg!19sChIJaXiLYtihc0gRuyuaQZX8-WM?authuser=0&hl=zh-TW&rclk=1
ChIJVVUFCQmUEkcR-gR8LX91Fe4,Caffe Ventana,,False,157,"Name: GIMMI lounge cafe
link: https://www.google.com/maps/search/GIMMI+lounge+cafe/@49.223019,16.592619?authuser=0&hl=zh-TW&entry=ttu
Reviews: 561 reviews

Name: Buchta B
link: https://www.google.com/maps/search/Buchta+B/@49.208946999999995,16.603832999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 516 reviews

Name: Kavarna u Zambocha
link: https://www.google.com/maps/search/Kav%C3%A1rna+u+%C5%BDambocha/@49.2258729,16.5939936?authuser=0&hl=zh-TW&entry=ttu
Reviews: 160 reviews

Name: Cafe Gemini
link: https://www.google.com/maps/search/Caf%C3%A9+Gemini/@49.2168828,16.607525900000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 114 reviews

Name: Cafe Atelier
link: https://www.google.com/maps/search/Caf%C3%A9+Ateli%C3%A9r/@49.227204699999994,16.592451399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 86 reviews",https://ventanacafe.eatbu.com/,Caffe Ventana (Ye Zhu ),https://www.google.com/maps/contrib/112631326354386880190,https://lh5.googleusercontent.com/p/AF1QipM3ln0enlyhACSYZKeaJDGxy8qS30e-7nOqbT7e=w408-h240-k-no-pi0-ya8.156693-ro-0-fo100,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting ",4.1,08:00-18:00,"Xing Qi Liu , Xing Qi Ri ",+420 774 248 396,"Caffe Ventana, Bozetechova 1, 612 00 Brno-Kralovo Pole, Jie Ke ",,https://www.google.com/maps/place/Caff%C3%A9+Ventana/data=!4m7!3m6!1s0x4712940909055555:0xee15757f2d7c04fa!8m2!3d49.2264416!4d16.5958453!16s%2Fg%2F11bwpzr56w!19sChIJVVUFCQmUEkcR-gR8LX91Fe4?authuser=0&hl=zh-TW&rclk=1
ChIJiyrBo58pw4ARuC8Gov7bmMQ,Ventana Coffee,,False,148,"Name: Rad Coffee - Covina
link: https://www.google.com/maps/search/Rad+Coffee+-+Covina/@34.0873537,-117.890469?authuser=0&hl=zh-TW&entry=ttu
Reviews: 512 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@34.0870426,-117.9081729?authuser=0&hl=zh-TW&entry=ttu
Reviews: 457 reviews

Name: Flower Beans Creperie Sandwiches Coffee
link: https://www.google.com/maps/search/Flower+Beans+Creperie+Sandwiches+Coffee/@34.104524,-117.904941?authuser=0&hl=zh-TW&entry=ttu
Reviews: 371 reviews

Name: 7 Leaves Cafe
link: https://www.google.com/maps/search/7+Leaves+Cafe/@34.0959256,-117.90660360000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 75 reviews

Name: Light House Coffee
link: https://www.google.com/maps/search/Light+House+Coffee/@34.0897989,-117.8860004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://ventana-coffee.business.site/,Ventana Coffee (Ye Zhu ),https://www.google.com/maps/contrib/109022768586792663971,https://lh5.googleusercontent.com/p/AF1QipNefNqKsbhkLIMwEvpkPib3MC3l9HmZbAnfMH37=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,09:00-15:00,"Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Si , Xing Qi Wu , Xing Qi Ri ",+1 626-332-3303,"Ventana Coffee, 589 N Azusa Ave, Covina, CA 91722Mei Guo ","Na Tie , Pa Ni Ni , Jia Ge , Mian Ji , atmosphere, Sha La , Mo Cha , Xiang Cao , Gao , Xun Yi Cao ",https://www.google.com/maps/place/Ventana+Coffee/data=!4m7!3m6!1s0x80c3299fa3c12a8b:0xc498dbfea2062fb8!8m2!3d34.0912896!4d-117.9087546!16s%2Fg%2F11f6hqwy0v!19sChIJiyrBo58pw4ARuC8Gov7bmMQ?authuser=0&hl=zh-TW&rclk=1
ChIJtSemqdwBBDQRmUVeNTNHOTk,Brewed,,False,65,"Name: Green Waffle Diner
link: https://www.google.com/maps/search/Green+Waffle+Diner/@22.2826499,114.1533293?authuser=0&hl=zh-TW&entry=ttu
Reviews: 496 reviews

Name: Barista Jam
link: https://www.google.com/maps/search/Barista+Jam/@22.285622,114.150544?authuser=0&hl=zh-TW&entry=ttu
Reviews: 419 reviews

Name: Friday Cafe & Wine Bar
link: https://www.google.com/maps/search/Friday+Cafe+%26+Wine+Bar/@22.2854839,114.1520444?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews

Name: Ka Pei Re 
link: https://www.google.com/maps/search/%E5%92%96%E5%95%A1%E7%86%B1/@22.2857512,114.15121599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://instagram.com/brewed.hk%3Figshid%3DYmMyMTA2M2Y%3D,Brewed (Ye Zhu ),https://www.google.com/maps/contrib/101299079631134270322,https://lh5.googleusercontent.com/p/AF1QipOsJI0jkyxkzcAu56FgZc_FwiMfxWCaRG6qeKEb=w408-h547-k-no,Ka Pei Ting ,"Ka Pei Ting , Can Ting ",4.3,09:00-18:00,Open All Days,6135 8882,"Zhong Huan Shop E, G/F, Fu Fai Commercial Centre, 27 Hillier StreetBrewed","Na Tie , Suan Zhong , Jia Ge , Xi Duo Shi , brunch, Sha Lu , Yi Fen , Song Xie Xie , Kai Wei ",https://www.google.com/maps/place/Brewed/data=!4m7!3m6!1s0x340401dca9a627b5:0x39394733355e4599!8m2!3d22.285168!4d114.1512508!16s%2Fg%2F11mvyqxppf!19sChIJtSemqdwBBDQRmUVeNTNHOTk?authuser=0&hl=zh-TW&rclk=1
ChIJk7KauMcBBDQR-8tc7OBs6ng,Flow,,False,64,"Name: DOZY
link: https://www.google.com/maps/search/DOZY/@22.327826599999998,114.1630916?authuser=0&hl=zh-TW&entry=ttu
Reviews: 168 reviews

Name: BOLD Coffee
link: https://www.google.com/maps/search/BOLD+Coffee/@22.3270476,114.1644456?authuser=0&hl=zh-TW&entry=ttu
Reviews: 167 reviews

Name: Cofflow Shun Liu Jing Pin Ka Pei 
link: https://www.google.com/maps/search/Cofflow+%E9%A0%86%E6%B5%81%E7%B2%BE%E5%93%81%E5%92%96%E5%95%A1/@22.3268363,114.16393439999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 118 reviews

Name: KOKONI
link: https://www.google.com/maps/search/KOKONI/@22.327672,114.163713?authuser=0&hl=zh-TW&entry=ttu
Reviews: 100 reviews",https://flowcoffee.hk/,Flow (Ye Zhu ),https://www.google.com/maps/contrib/105962343822177566677,https://lh5.googleusercontent.com/p/AF1QipPgd8BZt-UzpWpEyb0EtSW38y5uzzuAlUfltomW=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4,12:00-18:00,Open All Days,2452 2345,"Shop 3, Flow, 195 Tai Nan St, Sham Shui Po","Jia Qian , Dou , Dan Gao , Xuan Ze , Mo Cha , Huan Jing , Kou Wei , Jiang , Ka Pei Shi , espresso",https://www.google.com/maps/place/Flow/data=!4m7!3m6!1s0x340401c7b89ab293:0x78ea6ce0ec5ccbfb!8m2!3d22.3273652!4d114.1628777!16s%2Fg%2F11qqw__bw0!19sChIJk7KauMcBBDQR-8tc7OBs6ng?authuser=0&hl=zh-TW&rclk=1
ChIJJTK_YTH7AzQRMiZKBc_Ivqs,Caffe Milani,,False,12,"Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@22.3953946,113.9739056?authuser=0&hl=zh-TW&entry=ttu
Reviews: 367 reviews

Name: Miss Coffee
link: https://www.google.com/maps/search/Miss+Coffee/@22.401193199999998,113.97810299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 140 reviews

Name: Reborn Coffee
link: https://www.google.com/maps/search/Reborn+Coffee/@22.387957399999998,113.9751462?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Italian Tomato - Tun Men V CityDian 
link: https://www.google.com/maps/search/Italian+Tomato+-+%E5%B1%AF%E9%96%80V+City%E5%BA%97/@22.395387799999998,113.9739331?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Petite House GELATO
link: https://www.google.com/maps/search/Petite+House+GELATO/@22.392640999999998,113.97665500000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://luxtek.com.hk/zh-hant/,Caffe Milani (Ye Zhu ),https://www.google.com/maps/contrib/107787900538092255919,https://lh5.googleusercontent.com/p/AF1QipMSQVg8-XXCiHaUt3ILItlMwd3hOvGUYQ4IICMF=w408-h272-k-no,Yi Lang Ka Pei Ting ,Yi Lang Ka Pei Ting ,2.8,,Open All Days,2755 0122,"Tun Men Ceng  M-11 Hao Pu  Shop M-11 V city, MTRCaffe Milani","Dan Gao , Na Tie , Jia Ge ",https://www.google.com/maps/place/Caffe+Milani/data=!4m7!3m6!1s0x3403fb3161bf3225:0xabbec8cf054a2632!8m2!3d22.3953946!4d113.9739056!16s%2Fg%2F11rkcx4gzz!19sChIJJTK_YTH7AzQRMiZKBc_Ivqs?authuser=0&hl=zh-TW&rclk=1
