place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ9cR1oWiaaUcRA2CvsIb_QKE,Marica Cafe and Restaurant,,False,2119,"Name: Fricska
link: https://www.google.com/maps/search/Fricska/@47.0982181,17.9009619?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2791 reviews

Name: Chill Bistro etterem es kavehaz Veszprem
link: https://www.google.com/maps/search/Chill+Bistro+%C3%A9tterem+%C3%A9s+k%C3%A1v%C3%A9h%C3%A1z+Veszpr%C3%A9m/@47.094056099999996,17.906152?authuser=0&hl=zh-TW&entry=ttu
Reviews: 949 reviews

Name: Allegro Cafe
link: https://www.google.com/maps/search/Allegro+Cafe/@47.102645599999995,17.9335238?authuser=0&hl=zh-TW&entry=ttu
Reviews: 364 reviews

Name: Malomkert Sorhaz
link: https://www.google.com/maps/search/Malomkert+S%C3%B6rh%C3%A1z/@47.097545,17.9088486?authuser=0&hl=zh-TW&entry=ttu
Reviews: 137 reviews

Name: Gourmandia Etterem
link: https://www.google.com/maps/search/Gourmandia+%C3%89tterem/@47.0921054,17.9077148?authuser=0&hl=zh-TW&entry=ttu
Reviews: 126 reviews",https://www.maricaveszprem.hu/,Marica Cafe and Restaurant (Ye Zhu ),https://www.google.com/maps/contrib/115335311614314477901,https://lh5.googleusercontent.com/p/AF1QipOEDSdCRR4EdaGGni03mVoZ-PKjQhcY-iQRw4aI=w427-h240-k-no,Can Ting ,"Can Ting , Tian Pin Can Ting , Xiong Ya Li Can Ting , Yi Da Li Can Ting ",4.5,11:00-22:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+36 70 634 2403,"Veszprem, Marica Cafe and Restaurant, Kossuth Lajos u. 5, 8200 Xiong Ya Li ","Han Bao , Jia Ge , Pi Sa , Ka Pei , Pan , Ning Meng Shui , Pi Jiu ",https://www.google.com/maps/place/Marica+Cafe+and+Restaurant/data=!4m7!3m6!1s0x47699a68a175c4f5:0xa140ff86b0af6003!8m2!3d47.0931472!4d17.909151!16s%2Fg%2F1tdq4t4b!19sChIJ9cR1oWiaaUcRA2CvsIb_QKE?authuser=0&hl=zh-TW&rclk=1
ChIJ_xs2Ko-aaUcR5sOMgRL_-SQ,Koko Bt.,,False,1494,"Name: Macko Cukraszda Veszprem
link: https://www.google.com/maps/search/Mack%C3%B3+Cukr%C3%A1szda+Veszpr%C3%A9m/@47.0922547,17.9077296?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1254 reviews

Name: Schonig Cukraszda es Kavehaz
link: https://www.google.com/maps/search/Sch%C5%91nig+Cukr%C3%A1szda+%C3%A9s+K%C3%A1v%C3%A9h%C3%A1z/@47.09025930000001,17.9014977?authuser=0&hl=zh-TW&entry=ttu
Reviews: 855 reviews

Name: Finom Cukraszda
link: https://www.google.com/maps/search/Finom+Cukr%C3%A1szda/@47.0829458,17.8968293?authuser=0&hl=zh-TW&entry=ttu
Reviews: 357 reviews

Name: Tini Cukraszda
link: https://www.google.com/maps/search/Tini+Cukr%C3%A1szda/@47.0897266,17.9230381?authuser=0&hl=zh-TW&entry=ttu
Reviews: 345 reviews

Name: Stoki Cukraszda
link: https://www.google.com/maps/search/Stoki+Cukr%C3%A1szda/@47.092430799999995,17.925867?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews",http://www.kokocukraszda.hu/,Koko Bt. (Ye Zhu ),https://www.google.com/maps/contrib/117884492147626216707,https://lh5.googleusercontent.com/p/AF1QipNcFqRn08HR-DkWJOTJxDM43jEDGyK2QcrsLyuh=w426-h240-k-no,Tian Pin Dian ,Tian Pin Dian ,4.6,10:00-19:00,Open All Days,+36 88 560 050,"Veszprem, Koko Bt., Marcius 15. u. 3/1, 8200 Xiong Ya Li ",Jia Ge ,https://www.google.com/maps/place/Koko+Bt./data=!4m7!3m6!1s0x47699a8f2a361bff:0x24f9ff12818cc3e6!8m2!3d47.1057455!4d17.9225447!16s%2Fg%2F1trxj1rv!19sChIJ_xs2Ko-aaUcR5sOMgRL_-SQ?authuser=0&hl=zh-TW&rclk=1
ChIJ9daJkGiaaUcR4FFl_arVITQ,Macko Cukraszda Veszprem,,False,1254,"Name: Koko Bt.
link: https://www.google.com/maps/search/Koko+Bt./@47.1057455,17.9225447?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1494 reviews

Name: Schonig Cukraszda es Kavehaz
link: https://www.google.com/maps/search/Sch%C5%91nig+Cukr%C3%A1szda+%C3%A9s+K%C3%A1v%C3%A9h%C3%A1z/@47.09025930000001,17.9014977?authuser=0&hl=zh-TW&entry=ttu
Reviews: 855 reviews

Name: Finom Cukraszda
link: https://www.google.com/maps/search/Finom+Cukr%C3%A1szda/@47.0829458,17.8968293?authuser=0&hl=zh-TW&entry=ttu
Reviews: 357 reviews

Name: Tini Cukraszda
link: https://www.google.com/maps/search/Tini+Cukr%C3%A1szda/@47.0897266,17.9230381?authuser=0&hl=zh-TW&entry=ttu
Reviews: 345 reviews

Name: Stoki Cukraszda
link: https://www.google.com/maps/search/Stoki+Cukr%C3%A1szda/@47.092430799999995,17.925867?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews",http://www.mackocukraszda.hu/,Macko Cukraszda Veszprem (Ye Zhu ),https://www.google.com/maps/contrib/104553393965518084025,https://lh5.googleusercontent.com/p/AF1QipPds6ZYZnZ4QDZNcjPRwae2k6Ui-Qe1Pc9Y1kwe=w408-h270-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Tang Guo Gao Bing Dian , Xue Gao Dian ",4.4,09:00-19:00,"Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Ri ",+36 30 782 5232,"Veszprem, Macko Cukraszda Veszprem, Megyehaz ter 2, 8200 Xiong Ya Li ",Dan Gao ,https://www.google.com/maps/place/Mack%C3%B3+Cukr%C3%A1szda+Veszpr%C3%A9m/data=!4m7!3m6!1s0x47699a689089d6f5:0x3421d5aafd6551e0!8m2!3d47.0922547!4d17.9077296!16s%2Fg%2F1tgfc4s1!19sChIJ9daJkGiaaUcR4FFl_arVITQ?authuser=0&hl=zh-TW&rclk=1
ChIJpxQwDEKaaUcRvLJvIUts9m4,Schonig Cukraszda es Kavehaz,,False,855,"Name: Macko Cukraszda Veszprem
link: https://www.google.com/maps/search/Mack%C3%B3+Cukr%C3%A1szda+Veszpr%C3%A9m/@47.0922547,17.9077296?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1254 reviews

Name: Finom Cukraszda
link: https://www.google.com/maps/search/Finom+Cukr%C3%A1szda/@47.0829458,17.8968293?authuser=0&hl=zh-TW&entry=ttu
Reviews: 357 reviews

Name: Tini Cukraszda
link: https://www.google.com/maps/search/Tini+Cukr%C3%A1szda/@47.0897266,17.9230381?authuser=0&hl=zh-TW&entry=ttu
Reviews: 345 reviews

Name: KOKO Terasz
link: https://www.google.com/maps/search/KOK%C3%93+Terasz/@47.093059,17.9117635?authuser=0&hl=zh-TW&entry=ttu
Reviews: 244 reviews

Name: Stoki Cukraszda
link: https://www.google.com/maps/search/Stoki+Cukr%C3%A1szda/@47.092430799999995,17.925867?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews",http://www.schonigcukraszda.hu/,Schonig Cukraszda es Kavehaz (Ye Zhu ),https://www.google.com/maps/contrib/111319043832157799532,https://lh5.googleusercontent.com/p/AF1QipOnS8zfC5KQzpzCyTFPRU1_iMTNeUgKXvGSysek=w408-h544-k-no,Tian Pin Dian ,Tian Pin Dian ,4.6,09:00-19:30,Open All Days,+36 88 427 526,"Veszprem, Schonig Cukraszda es Kavehaz, Kiskorosi u. 18, 8200 Xiong Ya Li ",,https://www.google.com/maps/place/Sch%C5%91nig+Cukr%C3%A1szda+%C3%A9s+K%C3%A1v%C3%A9h%C3%A1z/data=!4m7!3m6!1s0x47699a420c3014a7:0x6ef66c4b216fb2bc!8m2!3d47.0902593!4d17.9014977!16s%2Fg%2F1thx2v69!19sChIJpxQwDEKaaUcRvLJvIUts9m4?authuser=0&hl=zh-TW&rclk=1
ChIJfw8fkASbaUcR6LCU2-kJmfQ,Papirkutya,,False,813,"Name: Allegro Cafe
link: https://www.google.com/maps/search/Allegro+Cafe/@47.102645599999995,17.9335238?authuser=0&hl=zh-TW&entry=ttu
Reviews: 364 reviews

Name: Daiquiri Patisserie Cafe and Bar
link: https://www.google.com/maps/search/Daiquiri+Patisserie+Cafe+and+Bar/@47.092869799999995,17.9105533?authuser=0&hl=zh-TW&entry=ttu
Reviews: 324 reviews

Name: KUNSZT!
link: https://www.google.com/maps/search/KUNSZT%21/@47.093827999999995,17.906814999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 313 reviews

Name: monokli brunch&cafe
link: https://www.google.com/maps/search/monokli+brunch%26cafe/@47.0849103,17.9259585?authuser=0&hl=zh-TW&entry=ttu
Reviews: 146 reviews

Name: Semiramis Kavehaz
link: https://www.google.com/maps/search/Semiramis+K%C3%A1v%C3%A9h%C3%A1z/@47.0923662,17.9068012?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews",http://www.facebook.com/papirkutya.veszprem,Papirkutya (Ye Zhu ),https://www.google.com/maps/contrib/110501601873877906251,https://lh5.googleusercontent.com/p/AF1QipMGrc7MO67wYp0bvbrvA79-TdYf1DZou6r0SbWI=w408-h272-k-no,Ka Pei Ting ,"Ka Pei Ting , Xiao Can Guan  (Bistro), Xian Chang Yin Le Jiu Ba ",4.7,09:00-01:00,"Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Ri ",+36 20 241 0074,"Veszprem, Papirkutya, Szabadsag ter 9, 8200 Xiong Ya Li ","atmosphere, Lan Mu , Yan Chang Hui , Jia Ge , Can Jiu Guan , vegan, Xuan Ze , Xiao Jiu Ba , Ke Ai , Wan Shang ",https://www.google.com/maps/place/Pap%C3%ADrkutya/data=!4m7!3m6!1s0x47699b04901f0f7f:0xf49909e9db94b0e8!8m2!3d47.0929024!4d17.9078791!16s%2Fg%2F11j4np3zyb!19sChIJfw8fkASbaUcR6LCU2-kJmfQ?authuser=0&hl=zh-TW&rclk=1
ChIJMRr9pGiaaUcRvJBRECOkm7Q,"Historia Hangvilla Etterem, Kavezo es Rendezvenykozpont",,False,602,"Name: Fejesvolgy Vendeglo
link: https://www.google.com/maps/search/Fejesv%C3%B6lgy+Vend%C3%A9gl%C5%91/@47.0905262,17.9000451?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1895 reviews

Name: Nosztalgia Garden
link: https://www.google.com/maps/search/Nosztalgia+Garden/@47.0961461,17.895901600000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 297 reviews

Name: Malomkert Sorhaz
link: https://www.google.com/maps/search/Malomkert+S%C3%B6rh%C3%A1z/@47.097545,17.9088486?authuser=0&hl=zh-TW&entry=ttu
Reviews: 137 reviews

Name: Villa Medici Etterem
link: https://www.google.com/maps/search/Villa+Medici+%C3%89tterem/@47.096132499999996,17.8958933?authuser=0&hl=zh-TW&entry=ttu
Reviews: 132 reviews

Name: Gourmandia Etterem
link: https://www.google.com/maps/search/Gourmandia+%C3%89tterem/@47.0921054,17.9077148?authuser=0&hl=zh-TW&entry=ttu
Reviews: 126 reviews",https://www.historiahangvilla.hu/,"Historia Hangvilla Etterem, Kavezo es Rendezvenykozpont (Ye Zhu )",https://www.google.com/maps/contrib/104099820263369154241,https://lh5.googleusercontent.com/p/AF1QipMIGMKFUHBltNN51D8takOx1DaCwpnUbt2E-Crr=w408-h271-k-no,Ka Pei Ting ,"Ka Pei Ting , Can Ting , Hun Li Chang Di ",4.3,,Open All Days,+36 88 889 185,"Veszprem, Historia Hangvilla Etterem, Kavezo es Rendezvenykozpont, Brusznyai Arpad u. 2, 8200 Xiong Ya Li ","Jia Ge , Wu Can ","https://www.google.com/maps/place/Historia+Hangvilla+%C3%89tterem,+K%C3%A1v%C3%A9z%C3%B3+%C3%A9s+Rendezv%C3%A9nyk%C3%B6zpont/data=!4m7!3m6!1s0x47699a68a4fd1a31:0xb49ba423105190bc!8m2!3d47.0921889!4d17.9091151!16s%2Fg%2F1pzyw7dwh!19sChIJMRr9pGiaaUcRvJBRECOkm7Q?authuser=0&hl=zh-TW&rclk=1"
ChIJGWXHGmaaaUcR0oWbuv3pg5M,Incognito Cafe,,False,501,"Name: Chill Bistro etterem es kavehaz Veszprem
link: https://www.google.com/maps/search/Chill+Bistro+%C3%A9tterem+%C3%A9s+k%C3%A1v%C3%A9h%C3%A1z+Veszpr%C3%A9m/@47.094056099999996,17.906152?authuser=0&hl=zh-TW&entry=ttu
Reviews: 949 reviews

Name: Daiquiri Patisserie Cafe and Bar
link: https://www.google.com/maps/search/Daiquiri+Patisserie+Cafe+and+Bar/@47.092869799999995,17.9105533?authuser=0&hl=zh-TW&entry=ttu
Reviews: 324 reviews

Name: KUNSZT!
link: https://www.google.com/maps/search/KUNSZT%21/@47.093827999999995,17.906814999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 313 reviews

Name: Semiramis Kavehaz
link: https://www.google.com/maps/search/Semiramis+K%C3%A1v%C3%A9h%C3%A1z/@47.0923662,17.9068012?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews",https://www.facebook.com/incognitokavezo/,Incognito Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOvmBWvChaKd42hbfLVJV3RlsUXYPKS-YRKwlo1=w408-h306-k-no,Jiu Ba ,Jiu Ba ,4.7,08:00-22:00,Xing Qi Ri ,+36 88 410 115,"Veszprem, Incognito Cafe, Kossuth Lajos u. 5, 8200 Xiong Ya Li ",,https://www.google.com/maps/place/Incognito+Caf%C3%A9/data=!4m7!3m6!1s0x47699a661ac76519:0x9383e9fdba9b85d2!8m2!3d47.0933206!4d17.9088213!16s%2Fg%2F11c4d48jlj!19sChIJGWXHGmaaaUcR0oWbuv3pg5M?authuser=0&hl=zh-TW&rclk=1
ChIJNcCErWeaaUcR-cuBaaw7wxA,Oliva Etterem,,False,495,"Name: Johnny's Bistro Veszprem
link: https://www.google.com/maps/search/Johnny%27s+Bistro+Veszpr%C3%A9m/@47.093444600000005,17.9118031?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2276 reviews

Name: Fejesvolgy Vendeglo
link: https://www.google.com/maps/search/Fejesv%C3%B6lgy+Vend%C3%A9gl%C5%91/@47.0905262,17.9000451?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1895 reviews

Name: Elefant Etterem
link: https://www.google.com/maps/search/Elef%C3%A1nt+%C3%89tterem/@47.0941613,17.9058886?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1700 reviews

Name: Horvath-kert Vendeglo
link: https://www.google.com/maps/search/Horv%C3%A1th-kert+Vend%C3%A9gl%C5%91/@47.0899924,17.9232902?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1429 reviews

Name: Betekints Etterem
link: https://www.google.com/maps/search/Betekints+%C3%89tterem/@47.097949299999996,17.8942959?authuser=0&hl=zh-TW&entry=ttu
Reviews: 135 reviews",http://www.oliva.hu/,Oliva Etterem (Ye Zhu ),https://www.google.com/maps/contrib/101250708213992036709,https://lh5.googleusercontent.com/p/AF1QipPi8WwJsz-ph1Qndr-8FgsPmI-Z1Ht-7EtZsxd4=w427-h240-k-no,Can Ting ,"Can Ting , Ka Pei Dian , Hun Li Chang Di ",4.5,11:30-21:30,Xing Qi Ri ,+36 88 561 900,"Veszprem, Oliva Etterem, Buhim u. 14-16, 8200 Xiong Ya Li ","Hua Yuan , Hong Jiu , Tian Dian ",https://www.google.com/maps/place/Oliva+%C3%89tterem/data=!4m7!3m6!1s0x47699a67ad84c035:0x10c33bac6981cbf9!8m2!3d47.0943387!4d17.9077492!16s%2Fg%2F1tqtwp97!19sChIJNcCErWeaaUcR-cuBaaw7wxA?authuser=0&hl=zh-TW&rclk=1
ChIJ1wS1HmmaaUcROM3HS3WdyQY,Kave- es Teahaz az Irodeakhoz,,False,439,"Name: Cafe Frei Veszprem
link: https://www.google.com/maps/search/Cafe+Frei+Veszpr%C3%A9m/@47.0956385,17.9186822?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1167 reviews

Name: Papirkutya
link: https://www.google.com/maps/search/Pap%C3%ADrkutya/@47.0929024,17.9078791?authuser=0&hl=zh-TW&entry=ttu
Reviews: 812 reviews

Name: Daiquiri Patisserie Cafe and Bar
link: https://www.google.com/maps/search/Daiquiri+Patisserie+Cafe+and+Bar/@47.092869799999995,17.9105533?authuser=0&hl=zh-TW&entry=ttu
Reviews: 324 reviews

Name: Semiramis Kavehaz
link: https://www.google.com/maps/search/Semiramis+K%C3%A1v%C3%A9h%C3%A1z/@47.0923662,17.9068012?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: Szieszta Kavezo es Konferenciaterem
link: https://www.google.com/maps/search/Szieszta+K%C3%A1v%C3%A9z%C3%B3+%C3%A9s+Konferenciaterem/@47.092357199999995,17.910968999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews",http://www.irodeakteahaz.hu/,Kave- es Teahaz az Irodeakhoz (Ye Zhu ),https://www.google.com/maps/contrib/113906155398948786899,https://lh5.googleusercontent.com/p/AF1QipOXn1Xk7Ykr1qrBdqbIWk-mrm8Mh7u8QHErBhZg=w408-h272-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Hong Bei Shang , Gou Er Ka Pei Guan , Wang Ba , Cha Yi Guan , Cha Xie Dian ",4.7,09:00-22:00,Xing Qi Yi ,+36 20 505 4010,"Veszprem, Kave- es Teahaz az Irodeakhoz, Komakut ter 3, 8200 Xiong Ya Li ","atmosphere, Pi Jiu , Dan Gao ",https://www.google.com/maps/place/K%C3%A1v%C3%A9-+%C3%A9s+Teah%C3%A1z+az+%C3%8Dr%C3%B3de%C3%A1khoz/data=!4m7!3m6!1s0x47699a691eb504d7:0x6c99d754bc7cd38!8m2!3d47.0905051!4d17.9066242!16s%2Fg%2F1tfcm3zs!19sChIJ1wS1HmmaaUcROM3HS3WdyQY?authuser=0&hl=zh-TW&rclk=1
ChIJ9Z16AA2baUcRElEVkQfH6aM,Tizen1,,False,367,"Name: Cafe Frei Veszprem
link: https://www.google.com/maps/search/Cafe+Frei+Veszpr%C3%A9m/@47.0956385,17.9186822?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1167 reviews

Name: KUNSZT!
link: https://www.google.com/maps/search/KUNSZT%21/@47.093827999999995,17.906814999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 313 reviews

Name: monokli brunch&cafe
link: https://www.google.com/maps/search/monokli+brunch%26cafe/@47.0849103,17.9259585?authuser=0&hl=zh-TW&entry=ttu
Reviews: 146 reviews

Name: Semiramis Kavehaz
link: https://www.google.com/maps/search/Semiramis+K%C3%A1v%C3%A9h%C3%A1z/@47.0923662,17.9068012?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: Szieszta Kavezo es Konferenciaterem
link: https://www.google.com/maps/search/Szieszta+K%C3%A1v%C3%A9z%C3%B3+%C3%A9s+Konferenciaterem/@47.092357199999995,17.910968999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews",https://www.facebook.com/tizen1.veszprem/,Tizen1 (Ye Zhu ),https://www.google.com/maps/contrib/108554103192455351158,https://lh5.googleusercontent.com/p/AF1QipP-Q7dBIqJF8ukD4tUMTsMMst7GYjn_ZcY4Tcxq=w408-h545-k-no,Ka Pei Dian ,Ka Pei Dian ,4.8,08:00-18:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",,"Veszprem, Tizen1, Kossuth Lajos u. 6, 8200 Xiong Ya Li ","Ru Luo Dan Gao , Ka Pei Shi ",https://www.google.com/maps/place/Tizen1/data=!4m7!3m6!1s0x47699b0d007a9df5:0xa3e9c70791155112!8m2!3d47.092813!4d17.9095448!16s%2Fg%2F11g1mjy73v!19sChIJ9Z16AA2baUcRElEVkQfH6aM?authuser=0&hl=zh-TW&rclk=1
