place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJa8y8hlLbXpERBZmISpls-bw,Cafe Emprende,,False,,"Name: Snack ""LA PAZ"" (case)
link: https://www.google.com/maps/search/Snack+%22LA+PAZ%22+%28case%29/@-16.6522026,-68.30104109999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: CAFE
link: https://www.google.com/maps/search/CAFE/@-16.535281599999998,-68.1556425?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: CAFE EMPAPAD
link: https://www.google.com/maps/search/CAFE+EMPAPAD/@-16.5047064,-68.116767?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: PUNTO DE ENCUENTRO
link: https://www.google.com/maps/search/PUNTO+DE+ENCUENTRO/@-16.652799100000003,-68.2999497?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/cafemprendes/%3Fref%3Dpages_you_manage,Cafe Emprende (Ye Zhu ),https://www.google.com/maps/contrib/108990379427601943771,https://lh5.googleusercontent.com/p/AF1QipO4tUvtBcLemxWgxYioKwybYVJmF7PVAlLp0LA3=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,,17:00-21:00,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Si ",+591 68183061,"Cafe Emprende, 68183061 La Paz, Viacha, Av. Pisagua N65, Bo Li Wei Ya ",,https://www.google.com/maps/place/Caf%C3%A9+Emprende/data=!4m7!3m6!1s0x915edb5286bccc6b:0xbcf96c994a889905!8m2!3d-16.6541757!4d-68.3027593!16s%2Fg%2F11t3c6qnh6!19sChIJa8y8hlLbXpERBZmISpls-bw?authuser=0&hl=zh-TW&rclk=1
ChIJDZqw2AjbXpERhdXolBapJ3o,MILY HELADOS ARTESANALES,,False,,"Name: Pollos ""CONQUISTADOR""
link: https://www.google.com/maps/search/Pollos+%22CONQUISTADOR%22/@-16.647867899999998,-68.2922196?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Salteneria Dona Carmen
link: https://www.google.com/maps/search/Salte%C3%B1eria+Do%C3%B1a+Carmen/@-16.6525093,-68.29825389999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Horno caliente y Panaderia ""Elenita""
link: https://www.google.com/maps/search/Horno+caliente+y+Panader%C3%ADa+%22Elenita%22/@-16.649133499999998,-68.2939008?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: PUNTO DE ENCUENTRO
link: https://www.google.com/maps/search/PUNTO+DE+ENCUENTRO/@-16.652799100000003,-68.2999497?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Snack Nayely
link: https://www.google.com/maps/search/Snack+Nayely/@-16.6522038,-68.2902146?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://sites.google.com/view/mily-helados-artesanales/productos/paletas-heladas?authuser=3,MILY HELADOS ARTESANALES (Ye Zhu ),https://www.google.com/maps/contrib/113797057710868959993,https://lh5.googleusercontent.com/p/AF1QipMKzGypBALAs1RNEeAwMSa0G5xsySgzi0pbGzHx=w408-h408-k-no,Ka Pei Ting ,Ka Pei Ting ,,09:00-19:00,Open All Days,+591 67147591,"MILY HELADOS ARTESANALES, Viacha, Bo Li Wei Ya ",,https://www.google.com/maps/place/MILY+HELADOS+ARTESANALES/data=!4m7!3m6!1s0x915edb08d8b09a0d:0x7a27a91694e8d585!8m2!3d-16.6498843!4d-68.2949705!16s%2Fg%2F11j68tm03g!19sChIJDZqw2AjbXpERhdXolBapJ3o?authuser=0&hl=zh-TW&rclk=1
ChIJKfnsT5nbXpERwoDtosUTvOo,CAFE DXN PORVENIR,,False,,,https://wa.link/etqs4n,CAFE DXN PORVENIR (Ye Zhu ),https://www.google.com/maps/contrib/109999193770372829957,,Zheng Liu Ka Pei Ba ,"Zheng Liu Ka Pei Ba , Ka Pei Dian ",,24 Xiao Shi Ying Ye ,Open All Days,+591 74008552,"CAFE DXN PORVENIR, Zona porvenir, 0000 LA PAZ - EL ALTO, Av 18 de Noviembre 3112, Viacha, Bo Li Wei Ya ",,https://www.google.com/maps/place/CAFE+DXN+PORVENIR/data=!4m7!3m6!1s0x915edb994fecf929:0xeabc13c5a2ed80c2!8m2!3d-16.6467712!4d-68.2899311!16s%2Fg%2F11svjp3knk!19sChIJKfnsT5nbXpERwoDtosUTvOo?authuser=0&hl=zh-TW&rclk=1
ChIJUYtfIJDaXpEREZSvk02QfFE,Salteneria Dona Carmen,,False,11,"Name: Reposteria Amanda Belen
link: https://www.google.com/maps/search/Reposter%C3%ADa+Amanda+Belen/@-16.6521048,-68.30163209999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Saltenas zapato
link: https://www.google.com/maps/search/Salte%C3%B1as+zapato/@-16.6522814,-68.30305179999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Panaderia y Saltrneria Letanias
link: https://www.google.com/maps/search/Panaderia+y+Saltr%C3%B1eria+Letanias/@-16.6541571,-68.2997046?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Salteneria y cafeteria Donald
link: https://www.google.com/maps/search/Salte%C3%B1eria+y+cafeter%C3%ADa+Donald/@-16.6523401,-68.3033488?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: PUNTO DE ENCUENTRO
link: https://www.google.com/maps/search/PUNTO+DE+ENCUENTRO/@-16.652799100000003,-68.2999497?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Salteneria Dona Carmen (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM8kjK3O1nMptc4wq2sLz_RsLxSjH_XUSOCJmQN=w408-h543-k-no,Ka Pei Ting ,Ka Pei Ting ,3.2,06:30-13:00,Open All Days,+591 71286855,"8PW2+XMX Salteneria Dona Carmen, Viacha, Bo Li Wei Ya ",,https://www.google.com/maps/place/Salte%C3%B1eria+Do%C3%B1a+Carmen/data=!4m7!3m6!1s0x915eda90205f8b51:0x517c904d93af9411!8m2!3d-16.6525093!4d-68.2982539!16s%2Fg%2F11gd1_fyv1!19sChIJUYtfIJDaXpEREZSvk02QfFE?authuser=0&hl=zh-TW&rclk=1
ChIJG7ZKYGPbXpER-P2EjFkp2Ac,Saltenas zapato,,False,10,"Name: Salteneria Dona Carmen
link: https://www.google.com/maps/search/Salte%C3%B1eria+Do%C3%B1a+Carmen/@-16.6525093,-68.29825389999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: PENSION ESPERANZA
link: https://www.google.com/maps/search/PENSION+ESPERANZA/@-16.6517271,-68.2947836?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Los Antojos Viacha
link: https://www.google.com/maps/search/Los+Antojos+Viacha/@-16.652093999999998,-68.3009905?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Panaderia y Saltrneria Letanias
link: https://www.google.com/maps/search/Panaderia+y+Saltr%C3%B1eria+Letanias/@-16.6541571,-68.2997046?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: El Gustito Viacheno
link: https://www.google.com/maps/search/El+Gustito+Viache%C3%B1o/@-16.650141899999998,-68.29467129999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Saltenas zapato (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO64HfK_dy2EQtLjEJD77meVmmvQGKPWlq7omF9=w408-h725-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,,Open All Days,,"8MXW+3QP Saltenas zapato, 43 39, Viacha, Bo Li Wei Ya ",,https://www.google.com/maps/place/Salte%C3%B1as+zapato/data=!4m7!3m6!1s0x915edb63604ab61b:0x7d829598c84fdf8!8m2!3d-16.6522814!4d-68.3030518!16s%2Fg%2F11fspvvhy2!19sChIJG7ZKYGPbXpER-P2EjFkp2Ac?authuser=0&hl=zh-TW&rclk=1
ChIJP_JiGlbbXpERTS73DEbcJU4,"Snack ""LA PAZ"" (case)",,False,1,"Name: Chicharroneria
link: https://www.google.com/maps/search/Chicharroneria/@-16.6515119,-68.2994921?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: CAFETERIA LA VICTORIA
link: https://www.google.com/maps/search/CAFETERIA+LA+VICTORIA/@-16.5907821,-68.2321817?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Snack Nayely
link: https://www.google.com/maps/search/Snack+Nayely/@-16.6522038,-68.2902146?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Cafe Emprende
link: https://www.google.com/maps/search/Caf%C3%A9+Emprende/@-16.6541757,-68.30275929999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,"Snack ""LA PAZ"" (case) (Ye Zhu )",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RQY4F5RKbww3DOZ6c9ZXOw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=305.87122&pitch=0&thumbfov=100,Ka Pei Ting ,Ka Pei Ting ,5,21:00-01:30,Xing Qi Ri ,,"8MXX+4H8 Snack ""LA PAZ"" (case), Viacha, Bo Li Wei Ya ",,https://www.google.com/maps/place/Snack+%22LA+PAZ%22+%28case%29/data=!4m7!3m6!1s0x915edb561a62f23f:0x4e25dc460cf72e4d!8m2!3d-16.6522026!4d-68.3010411!16s%2Fg%2F11h59q_1qv!19sChIJP_JiGlbbXpERTS73DEbcJU4?authuser=0&hl=zh-TW&rclk=1
ChIJ2YetdaHbXpERr1wr2prsYIs,Cafe Karaoke Melodia,,False,1,"Name: KARAOKE ""I SING""
link: https://www.google.com/maps/search/KARAOKE+%22I+SING%22/@-16.4956045,-68.21134099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Karaoke ""ESTRELLA LOCA""
link: https://www.google.com/maps/search/Karaoke+%22ESTRELLA+LOCA%22/@-16.658364199999998,-68.0344326?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Cafe karaoke wifi
link: https://www.google.com/maps/search/Cafe+karaoke+wifi/@-16.4945802,-68.1752739?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafe Karaoke Melodia (Ye Zhu ),https://www.google.com/maps/contrib/102715471882360429584,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eBPOj5LwnXCXP13PJG3jnw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=187.73056&pitch=0&thumbfov=100,Ka Pei Dian ,Ka Pei Dian ,4,14:00-23:00,Xing Qi Ri ,,"Cafe Karaoke Melodia, Av. J. M. Pando 40, Viacha, Bo Li Wei Ya ",,https://www.google.com/maps/place/Caf%C3%A9+Karaoke+Melod%C3%ADa/data=!4m7!3m6!1s0x915edba175ad87d9:0x8b60ec9ada2b5caf!8m2!3d-16.6513221!4d-68.2987861!16s%2Fg%2F11pc_yhm3s!19sChIJ2YetdaHbXpERr1wr2prsYIs?authuser=0&hl=zh-TW&rclk=1
ChIJm10lGC0hX5ERCHDupi8lOco,EL principito salon de fiestas infantiles,,False,1,"Name: Salon De Eventos CONCEPCION VIP
link: https://www.google.com/maps/search/Salon+De+Eventos+CONCEPCI%C3%93N+VIP/@-16.6520656,-68.3014164?authuser=0&hl=zh-TW&entry=ttu
Reviews: 45 reviews

Name: El tinku
link: https://www.google.com/maps/search/El+tinku/@-16.6571461,-68.2984386?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: El Gustito Viacheno
link: https://www.google.com/maps/search/El+Gustito+Viache%C3%B1o/@-16.650141899999998,-68.29467129999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Querubines
link: https://www.google.com/maps/search/Querubines/@-16.6541689,-68.30010020000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Salon de Eventos ""Royal Palace""
link: https://www.google.com/maps/search/Sal%C3%B3n+de+Eventos+%22Royal+Palace%22/@-16.6526891,-68.301508?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,EL principito salon de fiestas infantiles (Ye Zhu ),https://www.google.com/maps/contrib/115349146706411230294,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=82dgKgwxAZm1zelZjiIKfQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=304.9829&pitch=0&thumbfov=100,Cha Yi Guan ,Cha Yi Guan ,5,24 Xiao Shi Ying Ye ,Open All Days,+591 77752038,"EL principito salon de fiestas infantiles, Av. Montes 78, Viacha, Bo Li Wei Ya ",,https://www.google.com/maps/place/EL+principito+sal%C3%B3n+de+fiestas+infantiles/data=!4m7!3m6!1s0x915f212d18255d9b:0xca39252fa6ee7008!8m2!3d-16.650101!4d-68.2980755!16s%2Fg%2F11thkv01kp!19sChIJm10lGC0hX5ERCHDupi8lOco?authuser=0&hl=zh-TW&rclk=1
ChIJEba6IbfZXpERt6AxeZ6yUyQ,CAFETERIA LA VICTORIA,,False,1,"Name: Restaurante
link: https://www.google.com/maps/search/Restaurante/@-16.5820085,-68.239673?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Viacha rotonda
link: https://www.google.com/maps/search/Viacha+rotonda/@-16.611285,-68.256543?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Chicharroneria
link: https://www.google.com/maps/search/Chicharroneria/@-16.6515119,-68.2994921?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Nueva carretera Viacha
link: https://www.google.com/maps/search/Nueva+carretera+Viacha/@-16.6261486,-68.2232392?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: calahuna viacha
link: https://www.google.com/maps/search/calahuna+viacha/@-16.4899474,-68.2081896?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,CAFETERIA LA VICTORIA (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOuQg8yk67hIS1zWCD9PmuaevCFlcoW7pgHDxkR=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,5,05:00-02:00,Xing Qi Ri ,+591 73050970,"CQ59+M3Q CAFETERIA LA VICTORIA, Viacha, Bo Li Wei Ya ",,https://www.google.com/maps/place/CAFETERIA+LA+VICTORIA/data=!4m7!3m6!1s0x915ed9b721bab611:0x2453b29e7931a0b7!8m2!3d-16.5907821!4d-68.2321817!16s%2Fg%2F11pzrvf446!19sChIJEba6IbfZXpERt6AxeZ6yUyQ?authuser=0&hl=zh-TW&rclk=1
ChIJP56j26DbXpERhAyBmhO0aUU,Yf ygc,,False,,,,Yf ygc (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,,"9M2V+R5G Yf ygc, Viacha, Bo Li Wei Ya ",,https://www.google.com/maps/place/Yf+ygc/data=!4m7!3m6!1s0x915edba0dba39e3f:0x4569b4139a810c84!8m2!3d-16.6205943!4d-68.3168175!16s%2Fg%2F11krncclym!19sChIJP56j26DbXpERhAyBmhO0aUU?authuser=0&hl=zh-TW&rclk=1
