place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJByKa6E_djUYR5ub8b0f7JNA,K-Supermarket Vihti,,False,885,"Name: K-Citymarket Vihti Nummela
link: https://www.google.com/maps/search/K-Citymarket+Vihti+Nummela/@60.332553100000005,24.3294349?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2566 reviews

Name: S-market Vihti
link: https://www.google.com/maps/search/S-market+Vihti/@60.41651919999999,24.3234024?authuser=0&hl=zh-TW&entry=ttu
Reviews: 705 reviews

Name: K-Market Nummela
link: https://www.google.com/maps/search/K-Market+Nummela/@60.3419502,24.3235375?authuser=0&hl=zh-TW&entry=ttu
Reviews: 435 reviews

Name: Vihdin rantakioski
link: https://www.google.com/maps/search/Vihdin+rantakioski/@60.415620000000004,24.3178675?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: Postin automaatti
link: https://www.google.com/maps/search/Postin+automaatti/@60.41819,24.324559999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.k-ruoka.fi/kauppa/k-supermarket-vihti,K-Supermarket Vihti (Ye Zhu ),https://www.google.com/maps/contrib/100008590883956310579,https://lh5.googleusercontent.com/p/AF1QipMHh9CwPLEiu0KDFqviUg2q9zFtixxH4SBhOkF4=w408-h306-k-no,Za Huo Dian ,"Za Huo Dian , Ka Pei Dian , Xiao Xing Gao Er Fu Qiu Chang , Bao Guo Zhi Wu Gui , Shang Dian ",4.2,07:00-22:00,Open All Days,+358 10 2866140,"K-Supermarket Vihti, Kirjavantie 2, 03400 Vihti, Fen Lan ",,https://www.google.com/maps/place/K-Supermarket+Vihti/data=!4m7!3m6!1s0x468ddd4fe89a2207:0xd024fb476ffce6e6!8m2!3d60.4182583!4d24.3243427!16s%2Fg%2F1hc0vrcs3!19sChIJByKa6E_djUYR5ub8b0f7JNA?authuser=0&hl=zh-TW&rclk=1
ChIJCyqmSU7djUYRaNpnG2F0e68,S-market Vihti,,False,705,"Name: K-Supermarket Vihti
link: https://www.google.com/maps/search/K-Supermarket+Vihti/@60.4182583,24.3243427?authuser=0&hl=zh-TW&entry=ttu
Reviews: 885 reviews

Name: S-market Veikkola
link: https://www.google.com/maps/search/S-market+Veikkola/@60.2687244,24.444445899999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 797 reviews

Name: S-Market
link: https://www.google.com/maps/search/S-Market/@60.224058400000004,24.0254442?authuser=0&hl=zh-TW&entry=ttu
Reviews: 632 reviews

Name: abc Vihti
link: https://www.google.com/maps/search/abc+Vihti/@60.41630619999999,24.3243283?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews",https://www.foodie.fi/%23!/store/dfdbfcf65bb3b467cd107a1bf68bd5ad,S-market Vihti (Ye Zhu ),https://www.google.com/maps/contrib/101523482373360059539,https://lh5.googleusercontent.com/p/AF1QipM5qrxYqMdEyK0hh2Mn2N6QDTTGVMxoAr--LdDR=w408-h306-k-no,Za Huo Dian ,"Za Huo Dian , Nong Chan Pin Shi Chang ",4,07:00-22:00,Open All Days,+358 75 30302579,"S-market Vihti, Niuhalanraitti 3, 03400 Vihti, Fen Lan ",,https://www.google.com/maps/place/S-market+Vihti/data=!4m7!3m6!1s0x468ddd4e49a62a0b:0xaf7b74611b67da68!8m2!3d60.4165192!4d24.3234024!16s%2Fg%2F1tct7cdf!19sChIJCyqmSU7djUYRaNpnG2F0e68?authuser=0&hl=zh-TW&rclk=1
ChIJKTnTzU_djUYRfYW_Ox00vR8,R-kioski,,False,110,"Name: K-Supermarket Vihti
link: https://www.google.com/maps/search/K-Supermarket+Vihti/@60.4182583,24.3243427?authuser=0&hl=zh-TW&entry=ttu
Reviews: 885 reviews

Name: Vihdin rantakioski
link: https://www.google.com/maps/search/Vihdin+rantakioski/@60.415620000000004,24.3178675?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: R-kioski Munkkiniemi
link: https://www.google.com/maps/search/R-kioski+Munkkiniemi/@60.1977586,24.8764091?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews

Name: Postin automaatti
link: https://www.google.com/maps/search/Postin+automaatti/@60.41819,24.324559999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Posti
link: https://www.google.com/maps/search/Posti/@60.41655999999999,24.325020000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.r-kioski.fi/kioskit/vihti-vaunukuja-1/,R-kioski (Ye Zhu ),https://www.google.com/maps/contrib/117713662287975672858,https://lh5.googleusercontent.com/p/AF1QipONxHWV-KK4CXZ1QcFOd3OZ4h7BLBjtMTCr2QeK=w408-h306-k-no,Shang Dian ,Shang Dian ,4,07:00-21:00,Open All Days,+358 40 5891832,"R-kioski, Vaunukuja 1D, 03400 Vihti, Fen Lan ",,https://www.google.com/maps/place/R-kioski/data=!4m7!3m6!1s0x468ddd4fcdd33929:0x1fbd341d3bbf857d!8m2!3d60.4165399!4d24.324962!16s%2Fg%2F11cjnpr5bx!19sChIJKTnTzU_djUYRfYW_Ox00vR8?authuser=0&hl=zh-TW&rclk=1
ChIJs-e1igTdjUYRXFlr4bGXIiM,Vihdin rantakioski,,False,59,"Name: K-Supermarket Vihti
link: https://www.google.com/maps/search/K-Supermarket+Vihti/@60.4182583,24.3243427?authuser=0&hl=zh-TW&entry=ttu
Reviews: 885 reviews

Name: Krissen Kahvila
link: https://www.google.com/maps/search/Krissen+Kahvila/@60.42568920000001,24.334052000000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews

Name: Cafe Neilikka
link: https://www.google.com/maps/search/Cafe+Neilikka/@60.33445859999999,24.3188478?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: Vihti ski kahvila
link: https://www.google.com/maps/search/Vihti+ski+kahvila/@60.379771999999996,24.366911899999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",https://www.facebook.com/Vihdin-Kirkonkyl%C3%A4n-Rantakioski-1323649654402005,Vihdin rantakioski (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNJ9RtCPX17t2Zqxhc2G98XJwkefuX6nktxn_Vm=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,,Open All Days,,"Vihdin rantakioski, 03400 Vihti, Fen Lan ",,https://www.google.com/maps/place/Vihdin+rantakioski/data=!4m7!3m6!1s0x468ddd048ab5e7b3:0x232297b1e16b595c!8m2!3d60.41562!4d24.3178675!16s%2Fg%2F11f5v622zm!19sChIJs-e1igTdjUYRXFlr4bGXIiM?authuser=0&hl=zh-TW&rclk=1
ChIJ2ZL2qsDpjUYRFVkbHTMhyjc,Cafe Neilikka,,False,35,"Name: AG-grillit Oy
link: https://www.google.com/maps/search/AG-grillit+Oy/@60.332471899999994,24.325616099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 856 reviews

Name: Seisakki
link: https://www.google.com/maps/search/Seisakki/@60.32562199999999,24.273970499999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 847 reviews

Name: Ilpunto Oy
link: https://www.google.com/maps/search/Ilpunto+Oy/@60.33392409999999,24.319781799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 140 reviews

Name: Presso Nummela
link: https://www.google.com/maps/search/Presso+Nummela/@60.3310893,24.320988699999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",http://cafeneilikka.fi/,Cafe Neilikka (Ye Zhu ),https://www.google.com/maps/contrib/101890626330293563887,https://lh5.googleusercontent.com/p/AF1QipM7Vtx6h9AT2qRmkvOJulHkkG749ITxgwrHj0_a=w408-h485-k-no,Tang Pin Can Ting ,Tang Pin Can Ting ,4.2,08:00-16:00,Xing Qi Ri ,+358 50 5252966,"Cafe Neilikka, Pisteenpolku 4, 03100 Vihti, Fen Lan ",,https://www.google.com/maps/place/Cafe+Neilikka/data=!4m7!3m6!1s0x468de9c0aaf692d9:0x37ca21331d1b5915!8m2!3d60.3344586!4d24.3188478!16s%2Fg%2F11frpgrd86!19sChIJ2ZL2qsDpjUYRFVkbHTMhyjc?authuser=0&hl=zh-TW&rclk=1
ChIJOUlujGvojUYRp5Y5nMtGRic,Vihti ski kahvila,,False,18,"Name: Krissen Kahvila
link: https://www.google.com/maps/search/Krissen+Kahvila/@60.42568920000001,24.334052000000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews

Name: Vihdin rantakioski
link: https://www.google.com/maps/search/Vihdin+rantakioski/@60.415620000000004,24.3178675?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: Cafe Neilikka
link: https://www.google.com/maps/search/Cafe+Neilikka/@60.33445859999999,24.3188478?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews",https://www.vihtiski.fi/,Vihti ski kahvila (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPc_CAG5Ck34IODKz3Wvay7KGLZcapPE_Z6kZeT=w507-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,2.8,10:00-16:00,Xing Qi Ri ,,"Vihti ski kahvila, 03250 Vihti, Fen Lan ",,https://www.google.com/maps/place/Vihti+ski+kahvila/data=!4m7!3m6!1s0x468de86b8c6e4939:0x274646cb9c3996a7!8m2!3d60.379772!4d24.3669119!16s%2Fg%2F11f4xjkt0_!19sChIJOUlujGvojUYRp5Y5nMtGRic?authuser=0&hl=zh-TW&rclk=1
ChIJS-KUBcfdjUYRyWX9-5BeCZU,Pingviini Jaatelokioski,,False,3,"Name: Pingviini Jaatelokahvila
link: https://www.google.com/maps/search/Pingviini+J%C3%A4%C3%A4tel%C3%B6kahvila/@60.632003999999995,24.863168899999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Nummelan OP:n jaatelokioski
link: https://www.google.com/maps/search/Nummelan+OP%3An+j%C3%A4%C3%A4tel%C3%B6kioski/@60.3353566,24.3209789?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://www.facebook.com/Vihdin-Pingviini-J%C3%A4%C3%A4tel%C3%B6kioski-483024935432709/,Pingviini Jaatelokioski (Ye Zhu ),https://www.google.com/maps/contrib/111277981233205653481,https://lh5.googleusercontent.com/p/AF1QipMKx7gBNa6NpahQ2BWv23yNuBSCQDC-WxPYjW-G=w408-h376-k-no,Xue Gao Dian ,Xue Gao Dian ,5,12:00-18:00,Open All Days,+358 40 7000478,"Pingviini Jaatelokioski, Kylaaukio, 34000 Vihti, Fen Lan ",,https://www.google.com/maps/place/Pingviini+J%C3%A4%C3%A4tel%C3%B6kioski/data=!4m7!3m6!1s0x468dddc70594e24b:0x95095e90fbfd65c9!8m2!3d60.4168449!4d24.3200436!16s%2Fg%2F11nnly3hhg!19sChIJS-KUBcfdjUYRyWX9-5BeCZU?authuser=0&hl=zh-TW&rclk=1
ChIJI5C_O0PdjUYRKKeGH2MPrR8,Krissen Kahvila,,False,115,"Name: Vihdin rantakioski
link: https://www.google.com/maps/search/Vihdin+rantakioski/@60.415620000000004,24.3178675?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: Vihti ski kahvila
link: https://www.google.com/maps/search/Vihti+ski+kahvila/@60.379771999999996,24.366911899999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",,Krissen Kahvila (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNNhNUF-EnELUv7zLBxTO-pj87XJTQowK1dC-Bi=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,05:00-16:00,"Xing Qi Ri , Xing Qi Liu ",+358 45 1331244,"Krissen Kahvila, Porintie 1592, 03400 Vihti, Fen Lan ",,https://www.google.com/maps/place/Krissen+Kahvila/data=!4m7!3m6!1s0x468ddd433bbf9023:0x1fad0f631f86a728!8m2!3d60.4256892!4d24.334052!16s%2Fg%2F1pzxstdm7!19sChIJI5C_O0PdjUYRKKeGH2MPrR8?authuser=0&hl=zh-TW&rclk=1
ChIJqQC9zEjdjUYRT3TCvnRHhdA,CafeTutta,,False,21,,,CafeTutta (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPCTvODZpK9mskat-GodELRFJA8A8oM4yLkcwJm=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,,Open All Days,+358 40 7030142,"CafeTutta, Niuhalanraitti 23, 03400 Vihti, Fen Lan ",,https://www.google.com/maps/place/CafeTutta/data=!4m7!3m6!1s0x468ddd48ccbd00a9:0xd0854774bec2744f!8m2!3d60.4188061!4d24.3173716!16s%2Fg%2F11df3dsbyx!19sChIJqQC9zEjdjUYRT3TCvnRHhdA?authuser=0&hl=zh-TW&rclk=1
ChIJexo5QB7djUYR4LkzuKBA2Ic,Saanansali,,False,6,"Name: Krissen Kahvila
link: https://www.google.com/maps/search/Krissen+Kahvila/@60.42568920000001,24.334052000000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews

Name: Vihdin rantakioski
link: https://www.google.com/maps/search/Vihdin+rantakioski/@60.415620000000004,24.3178675?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: Cafe Neilikka
link: https://www.google.com/maps/search/Cafe+Neilikka/@60.33445859999999,24.3188478?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews",,Saanansali (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNj7ypgVDipKGyENi_VRg57HiBPOYRE8N5WnHhm=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,2.8,,Open All Days,+358 40 5377741,"Saanansali, Niuhalanraitti 25, 03400 Vihti, Fen Lan ",,https://www.google.com/maps/place/Saanansali/data=!4m7!3m6!1s0x468ddd1e40391a7b:0x87d840a0b833b9e0!8m2!3d60.419103!4d24.3165607!16s%2Fg%2F11g0slzdjd!19sChIJexo5QB7djUYR4LkzuKBA2Ic?authuser=0&hl=zh-TW&rclk=1
