place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJbxfmMvoVuAAR6FE5xRmQwa0,Colher De Pau Cafeteria&bistro,,False,1382,"Name: Caffe Lorenzon
link: https://www.google.com/maps/search/Caff%C3%A8+Lorenzon/@-20.3438129,-40.2846644?authuser=0&hl=zh-TW&entry=ttu
Reviews: 989 reviews

Name: Bread & Company
link: https://www.google.com/maps/search/Bread+%26+Company/@-20.362278099999997,-40.2973004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 172 reviews

Name: Cupcake Coffee Cafeteria
link: https://www.google.com/maps/search/Cupcake+Coffee+Cafeteria/@-20.344112199999998,-40.2876808?authuser=0&hl=zh-TW&entry=ttu
Reviews: 158 reviews

Name: Baristro cafe & gastronomia
link: https://www.google.com/maps/search/Baristro+caf%C3%A9+%26+gastronomia/@-20.3532467,-40.2964955?authuser=0&hl=zh-TW&entry=ttu
Reviews: 143 reviews

Name: WillCafe
link: https://www.google.com/maps/search/WillCafe/@-20.3362137,-40.2871613?authuser=0&hl=zh-TW&entry=ttu
Reviews: 82 reviews",https://colherdepauconfeitaria.com.br/praia-de-itaparica,Colher De Pau Cafeteria&bistro (Ye Zhu ),https://www.google.com/maps/contrib/101166631569563322731,https://lh5.googleusercontent.com/p/AF1QipOb5wtVZ-Hi2Sk2-mcB8K6tbSds7qCgvtSD3HI=w408-h725-k-no,Ka Pei Dian ,"Ka Pei Dian , Xiao Can Guan  (Bistro), Zao Can Can Ting , Zao Wu Can Can Ting , Xi Bing Dian ",4.6,14:00-21:00,Xing Qi Yi ,+55 27 98189-0666,"Colher De Pau Cafeteria&bistro - R. Ibitirama, 245-351 - Praia de Itaparica, Vila Velha - ES, 29102-130Ba Xi ","Cai Dan , Guo Jiang , Zhuo , Xian Pai , Pin Wei ",https://www.google.com/maps/place/Colher+De+Pau+Cafeteria%26bistr%C3%B4/data=!4m7!3m6!1s0xb815fa32e6176f:0xadc19019c53951e8!8m2!3d-20.3665582!4d-40.3029503!16s%2Fg%2F11fzf9btb4!19sChIJbxfmMvoVuAAR6FE5xRmQwa0?authuser=0&hl=zh-TW&rclk=1
ChIJn0zxwUEWuAAR-x8VBIfIqYU,Caffe Lorenzon,,False,989,"Name: Cafe Havanna
link: https://www.google.com/maps/search/Cafe+Havanna/@-20.3419778,-40.288897999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 642 reviews

Name: Cupcake Coffee Cafeteria
link: https://www.google.com/maps/search/Cupcake+Coffee+Cafeteria/@-20.344112199999998,-40.2876808?authuser=0&hl=zh-TW&entry=ttu
Reviews: 158 reviews

Name: WillCafe
link: https://www.google.com/maps/search/WillCafe/@-20.3362137,-40.2871613?authuser=0&hl=zh-TW&entry=ttu
Reviews: 82 reviews

Name: Cafe Ser Amor
link: https://www.google.com/maps/search/Caf%C3%A9+Ser+Amor/@-20.333506999999997,-40.2832553?authuser=0&hl=zh-TW&entry=ttu
Reviews: 75 reviews

Name: Lugano Vila Velha
link: https://www.google.com/maps/search/Lugano+Vila+Velha/@-20.337524100000003,-40.2829639?authuser=0&hl=zh-TW&entry=ttu
Reviews: 54 reviews",http://www.caffelorenzon.com.br/,Caffe Lorenzon (Ye Zhu ),https://www.google.com/maps/contrib/100677071395053373555,https://lh5.googleusercontent.com/p/AF1QipMQBxCWUhwcvaVEemU69tvGfwsyAoHck1V3nwdJ=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Can Ting ",4.6,08:00-20:00,Open All Days,+55 27 99316-6507,"Caffe Lorenzon - Av. Hugo Musso, 1243 - Praia da Costa, Vila Velha - ES, 29101-281Ba Xi ","Huan Jing , Chi Dao Bao , Hui Yi , Ban Ni Di Ke Dan , Guo Jiang ",https://www.google.com/maps/place/Caff%C3%A8+Lorenzon/data=!4m7!3m6!1s0xb81641c1f14c9f:0x85a9c88704151ffb!8m2!3d-20.3438129!4d-40.2846644!16s%2Fg%2F1tgvfwcy!19sChIJn0zxwUEWuAAR-x8VBIfIqYU?authuser=0&hl=zh-TW&rclk=1
ChIJNUlZlUEWuAARo6ueCN25avA,Cafeteria Coffeetown Praia da Costa,,False,984,"Name: Cupcake Coffee Cafeteria
link: https://www.google.com/maps/search/Cupcake+Coffee+Cafeteria/@-20.344112199999998,-40.2876808?authuser=0&hl=zh-TW&entry=ttu
Reviews: 158 reviews

Name: Cafeteria Cheirin Bao Praia da Costa
link: https://www.google.com/maps/search/Cafeteria+Cheirin+B%C3%A3o+Praia+da+Costa/@-20.336347399999998,-40.2841653?authuser=0&hl=zh-TW&entry=ttu
Reviews: 148 reviews

Name: WillCafe
link: https://www.google.com/maps/search/WillCafe/@-20.3362137,-40.2871613?authuser=0&hl=zh-TW&entry=ttu
Reviews: 82 reviews",https://vix360.com.br/coffeetownpraiadacosta/,Cafeteria Coffeetown Praia da Costa (Ye Zhu ),https://www.google.com/maps/contrib/115885441955514262055,https://lh5.googleusercontent.com/p/AF1QipPg6YwP6le_2OoKoEDxUJn9a-JvBD4bSHOL8rbV=w609-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Gao Bing Dian , Can Ting ",4.5,08:30-20:40,Xing Qi Yi ,+55 27 3535-0012,"Cafeteria Coffeetown Praia da Costa - R. Maranhao, 45 - Praia da Costa, Vila Velha - ES, 29101-340Ba Xi ","Huan Jing , Pai , Chan Pin , Song Bing , Guo Jiang , Zao Wu Can ",https://www.google.com/maps/place/Cafeteria+Coffeetown+Praia+da+Costa/data=!4m7!3m6!1s0xb8164195594935:0xf06ab9dd089eaba3!8m2!3d-20.3433348!4d-40.2846054!16s%2Fg%2F11f3p1l0rg!19sChIJNUlZlUEWuAARo6ueCN25avA?authuser=0&hl=zh-TW&rclk=1
ChIJt4Oq2LU9uAARDJN58eH0ctA,Cafe do Museu,,False,705,"Name: Preferito Restaurante e Pizzaria
link: https://www.google.com/maps/search/Preferito+Restaurante+e+Pizzaria/@-20.3444893,-40.284776699999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 969 reviews

Name: Domus Italica
link: https://www.google.com/maps/search/Domus+It%C3%A1lica/@-20.3422558,-40.2876939?authuser=0&hl=zh-TW&entry=ttu
Reviews: 848 reviews

Name: Spaghetti & Cia - Vila Velha
link: https://www.google.com/maps/search/Spaghetti+%26+Cia+-+Vila+Velha/@-20.3317998,-40.281257499999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 710 reviews

Name: Cantina do Ettore
link: https://www.google.com/maps/search/Cantina+do+Ettore/@-20.335340799999997,-40.2854169?authuser=0&hl=zh-TW&entry=ttu
Reviews: 140 reviews

Name: Casa do Pao De Queijo
link: https://www.google.com/maps/search/Casa+do+P%C3%A3o+De+Queijo/@-20.3419018,-40.2890582?authuser=0&hl=zh-TW&entry=ttu
Reviews: 65 reviews",http://museuvale.com/site/website/Museu.aspx%3Ftipo%3D5,Cafe do Museu (Ye Zhu ),https://www.google.com/maps/contrib/110871632435059564460,https://lh5.googleusercontent.com/p/AF1QipN7a5v31lYEPo18Qi6iP40AuPcOkdNyI46UVF0O=w493-h240-k-no,Yi Da Li Can Ting ,Yi Da Li Can Ting ,4.5,10:00-00:00,Open All Days,+55 27 3326-8190,"Cafe do Museu - Tv. Leopoldina, s/n - Argolas, Vila Velha - ES, 29114-800Ba Xi ","Che Xiang , Yin Le , Huo Che , Wan Shang , Qia Bu Qi Nuo , Feng Jing , Chu Fang ",https://www.google.com/maps/place/Caf%C3%A9+do+Museu/data=!4m7!3m6!1s0xb83db5d8aa83b7:0xd072f4e1f179930c!8m2!3d-20.3265274!4d-40.3447096!16s%2Fg%2F1yfjmd46n!19sChIJt4Oq2LU9uAARDJN58eH0ctA?authuser=0&hl=zh-TW&rclk=1
ChIJPdCgjj8WuAARXrJQOdnUhco,Cafe Havanna,,False,642,"Name: Cafeteria Coffeetown Praia da Costa
link: https://www.google.com/maps/search/Cafeteria+Coffeetown+Praia+da+Costa/@-20.343334799999997,-40.2846054?authuser=0&hl=zh-TW&entry=ttu
Reviews: 984 reviews

Name: Cafeteria Cheirin Bao Praia da Costa
link: https://www.google.com/maps/search/Cafeteria+Cheirin+B%C3%A3o+Praia+da+Costa/@-20.336347399999998,-40.2841653?authuser=0&hl=zh-TW&entry=ttu
Reviews: 148 reviews

Name: WillCafe
link: https://www.google.com/maps/search/WillCafe/@-20.3362137,-40.2871613?authuser=0&hl=zh-TW&entry=ttu
Reviews: 82 reviews",http://www.havanna.com.br/,Cafe Havanna (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMKjvaquwndkK7oHK98EefcsRltD2VsnM5KoS-F=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",4.5,10:00-22:00,Open All Days,+55 27 3320-6145,"Cafe Havanna - R. Inacio Higino, 65 - Praia da Costa, Vila Velha - ES, 29101-950Ba Xi ","Chan Pin , Qia Bu Qi Nuo , Jiao Tang Niu Nai , espresso, Bing Qi Lin , Fu Wu ",https://www.google.com/maps/place/Cafe+Havanna/data=!4m7!3m6!1s0xb8163f8ea0d03d:0xca85d4d93950b25e!8m2!3d-20.3419778!4d-40.288898!16s%2Fg%2F11dxdhdp39!19sChIJPdCgjj8WuAARXrJQOdnUhco?authuser=0&hl=zh-TW&rclk=1
ChIJZ4w6VgUWuAAR3TvZyyKdfPo,California Coffee,,False,512,"Name: 4 Graos Cafeteria
link: https://www.google.com/maps/search/4+Gr%C3%A3os+Cafeteria/@-20.3529803,-40.2966167?authuser=0&hl=zh-TW&entry=ttu
Reviews: 272 reviews

Name: Bread & Company
link: https://www.google.com/maps/search/Bread+%26+Company/@-20.362278099999997,-40.2973004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 172 reviews

Name: Cafecito Corbalan
link: https://www.google.com/maps/search/Cafecito+Corbalan/@-20.3520419,-40.2977172?authuser=0&hl=zh-TW&entry=ttu
Reviews: 116 reviews",http://californiacoffee.com.br/,California Coffee (Ye Zhu ),https://www.google.com/maps/contrib/102986435802175147704,https://lh5.googleusercontent.com/p/AF1QipPCpMBNzQbrulD-1r2U8qRraPuJymOKAtlX__7e=w427-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.5,09:00-20:00,Xing Qi Ri ,+55 27 3020-8483,"California Coffee - Av. Santa Leopoldina, 713 - Praia de Itaparica, Vila Velha - ES, 29102-041Ba Xi ","Jia Ge , Qia Bu Qi Nuo , Jing Yan , Chan Pin , Huan Jing , Hui Yi , Pai , Guo Jiang ",https://www.google.com/maps/place/California+Coffee/data=!4m7!3m6!1s0xb81605563a8c67:0xfa7c9d22cbd93bdd!8m2!3d-20.358701!4d-40.2979848!16s%2Fg%2F11c6db59vd!19sChIJZ4w6VgUWuAAR3TvZyyKdfPo?authuser=0&hl=zh-TW&rclk=1
ChIJySpDwkEWuAARXitd4rEquU0,Pao & Companhia Praia da Costa,,False,372,"Name: Padaria Panzzone
link: https://www.google.com/maps/search/Padaria+Panzzone/@-20.335749699999997,-40.2837081?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1501 reviews

Name: Padaria Provincia do Pao
link: https://www.google.com/maps/search/Padaria+Provincia+do+P%C3%A3o/@-20.343584,-40.288305?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1400 reviews

Name: Bread & Company
link: https://www.google.com/maps/search/Bread+%26+Company/@-20.3328582,-40.2824092?authuser=0&hl=zh-TW&entry=ttu
Reviews: 250 reviews

Name: Padaria Hills Praia da Costa
link: https://www.google.com/maps/search/Padaria+Hills+Praia+da+Costa/@-20.3426427,-40.284425999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 201 reviews

Name: Cafe Amigo
link: https://www.google.com/maps/search/Caf%C3%A9+Amigo/@-20.3437666,-40.2846379?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://paoecia.com.br/,Pao & Companhia Praia da Costa (Ye Zhu ),https://www.google.com/maps/contrib/104931813815717981340,https://lh5.googleusercontent.com/p/AF1QipNV7ggQZg7Rsb0nEyKf6uMSVKx-W7AF89Or0Xjk=w408-h544-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Dian , Gao Bing Dian ",4.4,06:00-21:00,Open All Days,+55 27 99275-1655,"Pao & Companhia Praia da Costa - Av. Hugo Musso, 1243 - Praia da Costa, Vila Velha - ES, 29101-280Ba Xi ","Chan Pin , Ka Pei , Jia Ge , Huan Jing , Jia Ceng , Chi Dao Bao ",https://www.google.com/maps/place/P%C3%A3o+%26+Companhia+Praia+da+Costa/data=!4m7!3m6!1s0xb81641c2432ac9:0x4db92ab1e25d2b5e!8m2!3d-20.3438052!4d-40.2846976!16s%2Fg%2F11b6hrp288!19sChIJySpDwkEWuAARXitd4rEquU0?authuser=0&hl=zh-TW&rclk=1
ChIJH4NYJUEWuAARwCSQdEjSfDE,Delli Food Hall,,False,271,"Name: Foodhall Garden
link: https://www.google.com/maps/search/Foodhall+Garden/@-20.3293426,-40.279631699999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 386 reviews

Name: Casa do Pao De Queijo
link: https://www.google.com/maps/search/Casa+do+P%C3%A3o+De+Queijo/@-20.3419018,-40.2890582?authuser=0&hl=zh-TW&entry=ttu
Reviews: 65 reviews

Name: Delicita's
link: https://www.google.com/maps/search/Delicita%27s/@-20.3710894,-40.311940799999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Cantina Dela
link: https://www.google.com/maps/search/Cantina+Dela/@-20.3445246,-40.2887876?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.dellifoodhall.com/promo,Delli Food Hall (Ye Zhu ),https://www.google.com/maps/contrib/113575865754525420477,https://lh5.googleusercontent.com/p/AF1QipNaOD6QQuKgOFyE2AC6_zjtDdX3YYfNuxsi0TUx=w426-h240-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Ka Pei Dian , Bian Li Dian , Shou Shi Dian , Bo Bing Can Ting , Can Ting ",4.3,06:00-22:00,Open All Days,+55 27 3535-1227,"Delli Food Hall - R. Ceara, 225 - Praia da Costa, Vila Velha - ES, 29101-291Ba Xi ","Jia Ge , Chan Pin , Huan Jing , Pi Sa , Wu Can , Xiao Chi , Bian Li Shang Dian , Hong Jiu , Ting Che ",https://www.google.com/maps/place/Delli+Food+Hall/data=!4m7!3m6!1s0xb816412558831f:0x317cd248749024c0!8m2!3d-20.3406119!4d-40.2855317!16s%2Fg%2F11ddzhk36d!19sChIJH4NYJUEWuAARwCSQdEjSfDE?authuser=0&hl=zh-TW&rclk=1
ChIJgxARF48XuAAR66VlvJYS_hY,Terrafe - Praia da Costa,,False,269,"Name: Cafeteria Coffeetown Praia da Costa
link: https://www.google.com/maps/search/Cafeteria+Coffeetown+Praia+da+Costa/@-20.343334799999997,-40.2846054?authuser=0&hl=zh-TW&entry=ttu
Reviews: 984 reviews

Name: Cafe Havanna
link: https://www.google.com/maps/search/Cafe+Havanna/@-20.3419778,-40.288897999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 642 reviews

Name: WillCafe
link: https://www.google.com/maps/search/WillCafe/@-20.3362137,-40.2871613?authuser=0&hl=zh-TW&entry=ttu
Reviews: 82 reviews",http://www.terrafe.com.br/,Terrafe - Praia da Costa (Ye Zhu ),https://www.google.com/maps/contrib/111666307420049013816,https://lh5.googleusercontent.com/p/AF1QipOLldhGvO0Ym9bOh7VFQ0FeJcv15W6XkoeIkENi=w408-h271-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,09:00-21:00,Open All Days,+55 27 99900-2340,"Terrafe - Praia da Costa - Av. Antonio Gil Veloso, 1000 - Praia da Costa, Vila Velha - ES, 29101-014Ba Xi ","Huan Jing , Zhuo , Xiao Chi , Hai , Pai , Chan Pin , Bu Lang Ni , espresso",https://www.google.com/maps/place/Terraf%C3%A9+-+Praia+da+Costa/data=!4m7!3m6!1s0xb8178f17111083:0x16fe1296bc65a5eb!8m2!3d-20.3359073!4d-40.2815365!16s%2Fg%2F11rcpxxr4w!19sChIJgxARF48XuAAR66VlvJYS_hY?authuser=0&hl=zh-TW&rclk=1
ChIJuy7CwNc9uAARAsyVyJVX4eQ,Padaria e Confeitaria Rondopan,,False,207,"Name: Skina Padaria Lanchonete e Confeitaria
link: https://www.google.com/maps/search/Skina+Padaria+Lanchonete+e+Confeitaria/@-20.347250900000002,-40.345404699999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 130 reviews

Name: Unidas Confeitaria
link: https://www.google.com/maps/search/Unidas+Confeitaria/@-20.3465687,-40.3413368?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://www.instagram.com/padariarondopan/,Padaria e Confeitaria Rondopan (Ye Zhu ),https://www.google.com/maps/contrib/105704438542756671517,https://lh5.googleusercontent.com/p/AF1QipMUPAYAh8J02ObqmkJfZN94zqDQkQ-xa7PI5uv0=w408-h408-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Ka Pei Dian , Tang Guo Gao Bing Dian , Mei Shi Can Che Dian ",4.6,05:30-21:00,Open All Days,+55 27 3072-2735,"Padaria e Confeitaria Rondopan - R. Ana Siqueira, 139 - Industrial do Alecrim, Vila Velha - ES, 29117-315Ba Xi ","Chan Pin , Jia Ge , Di Qu , Zao Shang ",https://www.google.com/maps/place/Padaria+e+Confeitaria+Rondopan/data=!4m7!3m6!1s0xb83dd7c0c22ebb:0xe4e15795c895cc02!8m2!3d-20.3475803!4d-40.3408946!16s%2Fg%2F11jx4trrlc!19sChIJuy7CwNc9uAARAsyVyJVX4eQ?authuser=0&hl=zh-TW&rclk=1
