place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ6ZQ29TwU5kcRDCI_qAP8-t0,Total Petrol Station Access,,False,691,"Name: Auchan Supermarche Villepinte
link: https://www.google.com/maps/search/Auchan+Supermarch%C3%A9+Villepinte/@48.960001899999995,2.5548165?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2394 reviews

Name: TotalEnergies
link: https://www.google.com/maps/search/TotalEnergies/@48.9834439,2.5436248999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 150 reviews

Name: STATION BP VILLEPINTE CLEMENCEAU
link: https://www.google.com/maps/search/STATION+BP+VILLEPINTE+CLEMENCEAU/@48.9572217,2.5596444?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Station de service
link: https://www.google.com/maps/search/Station+de+service/@48.951272499999995,2.5279233000000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews",https://store.totalenergies.fr/fr_FR/NF059588%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dmybusiness-website,Total Petrol Station Access (Ye Zhu ),https://www.google.com/maps/contrib/111145172634404043049,https://lh5.googleusercontent.com/p/AF1QipNqEinIbDi4s6eap-g52UI2xCMjWnFygoDYvmv9=w408-h306-k-no,You Zhan ,"You Zhan , Ti Dai Ran Liao You Zhan , Xi Che Fu Wu , Ka Pei Dian , Bian Li Dian , San Wen Zhi Dian ",3.8,06:00-22:00,Open All Days,+33 1 43 84 25 56,"Total Petrol Station Access, Boulevard Robert Ballanger, D115, 93420 Villepinte, Fa Guo ","Xi Di , E , Chai You , Lun Tai , Zhi Fu , Shou Yin , Yan , Che Liang ",https://www.google.com/maps/place/Total+Petrol+Station+Access/data=!4m7!3m6!1s0x47e6143cf53694e9:0xddfafc03a83f220c!8m2!3d48.9539652!4d2.533695!16s%2Fg%2F113fpjxrq!19sChIJ6ZQ29TwU5kcRDCI_qAP8-t0?authuser=0&hl=zh-TW&rclk=1
ChIJwVhKlqMV5kcRGhtBg_emdEY,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,560,"Name: Fratellini Caffe
link: https://www.google.com/maps/search/Fratellini+Caff%C3%A8/@48.99102,2.523489?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1708 reviews

Name: Bistro l'Atelier Aeroville
link: https://www.google.com/maps/search/Bistro+l%27Atelier+A%C3%A9roville/@48.9904964,2.5235502000000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 613 reviews

Name: Columbus Cafe & Co
link: https://www.google.com/maps/search/Columbus+Caf%C3%A9+%26+Co/@48.9912704,2.5219731999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 202 reviews

Name: Pret A Manger Aeroville
link: https://www.google.com/maps/search/Pret+A+Manger+A%C3%A9roville/@48.9911313,2.5218482?authuser=0&hl=zh-TW&entry=ttu
Reviews: 139 reviews

Name: crepe and shake factory
link: https://www.google.com/maps/search/crepe+and+shake+factory/@48.9916559,2.5221454?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews",https://www.starbucks.fr/,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/113544644054078673099,https://lh5.googleusercontent.com/p/AF1QipMY0w4QS1Fd0jezoBfdcfTkKbquhzz7tILbW73_=w408-h544-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , Zheng Liu Ka Pei Ba ",3.9,10:00-20:00,Open All Days,+33 1 41 51 03 01,"Starbucks, 30 Rue des Buissons, 93000 Tremblay-en-France, Fa Guo ","Zhuo , Xiao Rong , Xia Ding , Bing Kuai , Tang , Dian Yuan , Wei Sheng , Shou Yin , Yuan Gong ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x47e615a3964a58c1:0x4674a6f783411b1a!8m2!3d48.9898055!4d2.5214871!16s%2Fg%2F1ptw9v3d9!19sChIJwVhKlqMV5kcRGhtBg_emdEY?authuser=0&hl=zh-TW&rclk=1
ChIJu1RFgDYX5kcRT6euboihLvs,Franprix,,False,369,"Name: Grand Frais Villepinte
link: https://www.google.com/maps/search/Grand+Frais+Villepinte/@48.9611375,2.5414773?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2447 reviews

Name: Auchan Supermarche Villepinte
link: https://www.google.com/maps/search/Auchan+Supermarch%C3%A9+Villepinte/@48.960001899999995,2.5548165?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2394 reviews

Name: Lidl
link: https://www.google.com/maps/search/Lidl/@48.957510000000006,2.56135?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1140 reviews

Name: Antep Market
link: https://www.google.com/maps/search/Antep+Market/@48.9546977,2.5355396999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 116 reviews

Name: Post Office Relay
link: https://www.google.com/maps/search/Post+Office+Relay/@48.9456506,2.5654379?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://www.franprix.fr/,Franprix (Ye Zhu ),https://www.google.com/maps/contrib/105011620325792837498,https://lh5.googleusercontent.com/p/AF1QipNKj5Cl4ERa50XU6S8EGzRoVYUb2mwTnO64176x=w426-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Bian Li Dian , Kuai Can Dian , Za Huo Dian , Jiu Pin Dian , Tian Ran Shi Pin Dian , You Ji Shi Pin Dian , You Ji Shang Dian , Nong Chan Pin Shi Chang , San Wen Zhi Dian ",3.3,07:30-21:00,Open All Days,+33 1 48 60 76 36,"Franprix, 2 Av. de la Gare, 93420 Villepinte, Fa Guo ","Zhou Ri , Ke Ren , Mao Yi , Zhu Yi , Ting Che Chang , Cai , You Jian , Ri Qi , Yuan Gong , Xia Ding ",https://www.google.com/maps/place/Franprix/data=!4m7!3m6!1s0x47e61736804554bb:0xfb2ea1886eaea74f!8m2!3d48.9456415!4d2.5654453!16s%2Fg%2F1tg_8sm4!19sChIJu1RFgDYX5kcRT6euboihLvs?authuser=0&hl=zh-TW&rclk=1
ChIJAa_SNToU5kcRQA0J1hU5xTc,Marie Blachere Boulangerie Sandwicherie Tarterie,,False,276,"Name: Boulangerie Lys
link: https://www.google.com/maps/search/Boulangerie+Lys/@48.963975999999995,2.5344694?authuser=0&hl=zh-TW&entry=ttu
Reviews: 346 reviews

Name: PAIN BALLANGER
link: https://www.google.com/maps/search/PAIN+BALLANGER/@48.954669599999995,2.5378092?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: Boulangerie La Festive Patisserie
link: https://www.google.com/maps/search/Boulangerie+La+Festive+Patisserie/@48.945306699999996,2.5655978999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: Baguepi -patisserie,boulangerie
link: https://www.google.com/maps/search/Baguepi+-patisserie%2Cboulangerie/@48.951209,2.5522527?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Cote Boulange
link: https://www.google.com/maps/search/Cote+Boulange/@48.9603603,2.5400438999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://boulangeries.marieblachere.com/villepinte/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dmybusiness-website,Marie Blachere Boulangerie Sandwicherie Tarterie (Ye Zhu ),https://www.google.com/maps/contrib/105734633610815500447,https://lh5.googleusercontent.com/p/AF1QipOXGKX2_F5tQx5HN6wl_Aza3guM-5mulcuR3yNF=w408-h544-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Ka Pei Ting , Gao Bing Dian , Bo Bing Wai Mai Zi Qu , San Wen Zhi Dian ",4,07:30-20:00,Xing Qi Ri ,+33 1 43 85 05 92,"Marie Blachere Boulangerie Sandwicherie Tarterie, 1 Voie de l'Orchidee Sauvage, 93420 Villepinte, Fa Guo ","Jia Ge , Dian Yuan , Pi Sa , Fa Guo Mian Bao , Ke Ren , Xiao Rong , Xuan Ze , Qiao Ke Li Ke Song ",https://www.google.com/maps/place/Marie+Blach%C3%A8re+Boulangerie+Sandwicherie+Tarterie/data=!4m7!3m6!1s0x47e6143a35d2af01:0x37c53915d6090d40!8m2!3d48.9602685!4d2.5400061!16s%2Fg%2F11f0_bt9bv!19sChIJAa_SNToU5kcRQA0J1hU5xTc?authuser=0&hl=zh-TW&rclk=1
ChIJWfNSbzUV5kcRQ8X4UN5-0w8,Columbus Cafe & Co,,False,202,"Name: Factory and Co Aeroville
link: https://www.google.com/maps/search/Factory+and+Co+A%C3%A9roville/@48.9908961,2.5228539?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3870 reviews

Name: Fratellini Caffe
link: https://www.google.com/maps/search/Fratellini+Caff%C3%A8/@48.99102,2.523489?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1708 reviews

Name: Banh Mi
link: https://www.google.com/maps/search/Banh+Mi/@48.9903166,2.5214182999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 428 reviews

Name: BCHEF
link: https://www.google.com/maps/search/BCHEF/@48.9935852,2.5205258?authuser=0&hl=zh-TW&entry=ttu
Reviews: 342 reviews

Name: crepe and shake factory
link: https://www.google.com/maps/search/crepe+and+shake+factory/@48.9916559,2.5221454?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews",https://www.columbuscafe.com/boutique/roissy-en-francecentre-commercial-aeroville/,Columbus Cafe & Co (Ye Zhu ),https://www.google.com/maps/contrib/106223197662908802531,https://lh5.googleusercontent.com/p/AF1QipOUWoyzSI7Wncra8VldG-Azc65s06aUMRjShDNO=w408-h306-k-no,Cha Xie Dian ,"Cha Xie Dian , Ka Pei Ting , Cha Yi Guan ",4.2,09:00-20:00,Open All Days,+33 1 74 25 03 07,"Columbus Cafe & Co, Centre commercial Aeroville, 30 Rue des Buissons, 95700 Roissy-en-France, Fa Guo ","Ke Ren , San Ming Zhi , Gao , Zhuo , Jing Yan , Song Bing , Bing Sha , Qiao Ke Li , Sha La , Fa Shi Tu Si ",https://www.google.com/maps/place/Columbus+Caf%C3%A9+%26+Co/data=!4m7!3m6!1s0x47e615356f52f359:0xfd37ede50f8c543!8m2!3d48.9912704!4d2.5219732!16s%2Fg%2F11j3v69plm!19sChIJWfNSbzUV5kcRQ8X4UN5-0w8?authuser=0&hl=zh-TW&rclk=1
ChIJUzEsY1MX5kcRANct51_IPXY,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,139,"Name: Starbucks Gare Marne-la-Vallee
link: https://www.google.com/maps/search/Starbucks+Gare+Marne-la-Vall%C3%A9e/@48.8700756,2.7826204999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 110 reviews

Name: PAUL
link: https://www.google.com/maps/search/PAUL/@49.0040331,2.5715201999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 77 reviews

Name: Costa Coffee
link: https://www.google.com/maps/search/Costa+Coffee/@49.005241999999996,2.5757393?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: Bert's Cafe Contemporain Aeropott Paris Charles De Gaulle
link: https://www.google.com/maps/search/Bert%27s+Caf%C3%A9+Contemporain+Aeropott+Paris+Charles+De+Gaulle/@49.00300240000001,2.5683653?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Starbucks T1 ZR
link: https://www.google.com/maps/search/Starbucks+T1+ZR/@49.014355200000004,2.5419801?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews",https://www.starbucks.fr/,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/109845661106669664093,https://lh5.googleusercontent.com/p/AF1QipPLrwbCvNtOrklGN7nizVZvhxNSlJQgvTvxX89N=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,2.9,06:00-13:30,Open All Days,+33 1 48 16 67 39,"Starbucks, Gare Roissy TGV, 93290 Tremblay-en-France, Fa Guo ","Jia Ge , Ji Chang , San Ming Zhi , Xiao Rong , Yan , Jiao Tang , Bao Quan , Dan Zi , Zun Zhong ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x47e61753632c3153:0x763dc85fe72dd700!8m2!3d48.979952!4d2.557211!16s%2Fg%2F11h6m0pjs0!19sChIJUzEsY1MX5kcRANct51_IPXY?authuser=0&hl=zh-TW&rclk=1
ChIJFcz6FO0V5kcRlL7iNbvJP4Q,Pret A Manger Aeroville,"Cai Lin Gui Dian Can De Lian Suo Dian ,Fan Shou Xian Cheng San Ming Zhi , Zao Can , Ka Pei , Tang Pin He Sha La . ",False,139,"Name: Factory and Co Aeroville
link: https://www.google.com/maps/search/Factory+and+Co+A%C3%A9roville/@48.9908961,2.5228539?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3870 reviews

Name: Hippopotamus Steakhouse
link: https://www.google.com/maps/search/Hippopotamus+Steakhouse/@48.990472999999994,2.5229904999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2051 reviews

Name: Big Fernand
link: https://www.google.com/maps/search/Big+Fernand/@48.9907326,2.5230473?authuser=0&hl=zh-TW&entry=ttu
Reviews: 733 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@48.989805499999996,2.5214871?authuser=0&hl=zh-TW&entry=ttu
Reviews: 560 reviews

Name: Banh Mi
link: https://www.google.com/maps/search/Banh+Mi/@48.9903166,2.5214182999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 428 reviews",https://www.pretamanger.fr/fr-FR/shop-finder/l/tremblay-en-france/30-rue-des-buissons/10405,Pret A Manger Aeroville (Ye Zhu ),https://www.google.com/maps/contrib/112540488417976252097,https://lh5.googleusercontent.com/p/AF1QipMaq2QXbqXX3LnP4Cewuc08FNviVkuj9uViuBXt=w408-h306-k-no,San Wen Zhi Dian ,"San Wen Zhi Dian , Mian Bao Xi Bing Dian , Jiu Ba , Zao Can Can Ting , Ka Pei Dian , Guo Zhi Dian , Wu Can Can Ting , Sha Lu Dian , Wu Jiu Jing Yin Liao Dian ",3.9,08:30-20:00,Open All Days,+33 1 74 25 74 22,"Pret A Manger Aeroville, Centre Commercial d'Aeroville, 30 Rue des Buissons, 93290 Tremblay-en-France, Fa Guo ","Yin Liao , Tuan Dui , Jia Ge , Na Tie , Xuan Ze , Ke Song , Wei Sheng , vegan",https://www.google.com/maps/place/Pret+A+Manger+A%C3%A9roville/data=!4m7!3m6!1s0x47e615ed14facc15:0x843fc9bb35e2be94!8m2!3d48.9911313!4d2.5218482!16s%2Fg%2F11nnskf___!19sChIJFcz6FO0V5kcRlL7iNbvJP4Q?authuser=0&hl=zh-TW&rclk=1
ChIJUU27FCwV5kcRbfovEPRGuMc,Diagonal Supermarche Villepinte,,False,89,"Name: DIAGONAL supermarche
link: https://www.google.com/maps/search/DIAGONAL+supermarch%C3%A9/@48.8830065,2.4597425?authuser=0&hl=zh-TW&entry=ttu
Reviews: 107 reviews

Name: Nahil Diagonal
link: https://www.google.com/maps/search/Nahil+Diagonal/@48.9438922,2.4822234?authuser=0&hl=zh-TW&entry=ttu
Reviews: 82 reviews

Name: Franprix
link: https://www.google.com/maps/search/Franprix/@48.943095,2.5688250999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: RB Marche DIAGONAL
link: https://www.google.com/maps/search/RB+March%C3%A9+DIAGONAL/@48.9465018,2.5099875?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews",https://diagonal-supermarche-villepinte.business.site/?utm_source=gmb&utm_medium=referral,Diagonal Supermarche Villepinte (Ye Zhu ),https://www.google.com/maps/contrib/105102953990326435207,https://lh5.googleusercontent.com/p/AF1QipPDXpK9pgrCMCuTrFVGJmRFcI_7SA-jjk_dEzeT=w408-h408-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.3,08:00-21:00,Open All Days,+33 1 71 81 41 63,"Diagonal Supermarche Villepinte, 102 Av. Emile Dambel, 93420 Villepinte, Fa Guo ","Jia Ge , Mao Yi , Ke Ren , E , star, Jing Pin Dian ",https://www.google.com/maps/place/Diagonal+Supermarch%C3%A9+Villepinte/data=!4m7!3m6!1s0x47e6152c14bb4d51:0xc7b846f4102ffa6d!8m2!3d48.9510573!4d2.5526016!16s%2Fg%2F11nnn447tb!19sChIJUU27FCwV5kcRbfovEPRGuMc?authuser=0&hl=zh-TW&rclk=1
ChIJu3AfKogV5kcRWfjjO3xma-A,PAIN BALLANGER,,False,44,"Name: Boulangerie Lys
link: https://www.google.com/maps/search/Boulangerie+Lys/@48.963975999999995,2.5344694?authuser=0&hl=zh-TW&entry=ttu
Reviews: 346 reviews

Name: Marie Blachere Boulangerie Sandwicherie Tarterie
link: https://www.google.com/maps/search/Marie+Blach%C3%A8re+Boulangerie+Sandwicherie+Tarterie/@48.9602685,2.5400061?authuser=0&hl=zh-TW&entry=ttu
Reviews: 276 reviews

Name: Fournil de Charlemagne
link: https://www.google.com/maps/search/Fournil+de+Charlemagne/@48.956799,2.5506955?authuser=0&hl=zh-TW&entry=ttu
Reviews: 40 reviews

Name: Baguepi -patisserie,boulangerie
link: https://www.google.com/maps/search/Baguepi+-patisserie%2Cboulangerie/@48.951209,2.5522527?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Les Delices de Villepinte
link: https://www.google.com/maps/search/Les+D%C3%A9lices+de+Villepinte/@48.955399,2.5321873999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",https://boulangerievillepinte.eatbu.com/,PAIN BALLANGER (Ye Zhu ),https://www.google.com/maps/contrib/108308224616467506805,https://lh5.googleusercontent.com/p/AF1QipOXNh0ltXiT0eq4t258O0cnVnvZ5jtR1r05-A72=w408-h544-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Xi Bing Dian , Qing Zhen Can Ting , Han Bao Can Ting , Wu Can Can Ting , Gao Bing Dian , San Wen Zhi Dian ",3.5,06:00-21:30,Open All Days,+33 1 43 83 75 29,"PAIN BALLANGER, 6 Av. Roger Salengro, 93420 Villepinte, Fa Guo ","Tang , San Ming Zhi , Ta , Ke Song ",https://www.google.com/maps/place/PAIN+BALLANGER/data=!4m7!3m6!1s0x47e615882a1f70bb:0xe06b667c3be3f859!8m2!3d48.9546696!4d2.5378092!16s%2Fg%2F11h_k7jx76!19sChIJu3AfKogV5kcRWfjjO3xma-A?authuser=0&hl=zh-TW&rclk=1
ChIJMcE8vFUR5kcRIhE8IWgjGfg,Columbus Cafe & Co,,False,39,"Name: Cora Cafeteria
link: https://www.google.com/maps/search/Cora+Cafeteria/@48.9274959,2.5542046?authuser=0&hl=zh-TW&entry=ttu
Reviews: 192 reviews

Name: Chi Fu Mei Qian Kao.
link: https://www.google.com/maps/search/Chi+Fu+Mei+Qian+Kao./@48.911887799999995,2.5212765999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 53 reviews

Name: Au Bon Coin
link: https://www.google.com/maps/search/Au+Bon+Coin/@48.9263073,2.5455259999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews",https://www.columbuscafe.com/boutique/livry-gargan/,Columbus Cafe & Co (Ye Zhu ),https://www.google.com/maps/contrib/113531009462440112619,https://lh5.googleusercontent.com/p/AF1QipP5Wiy7UCDB8XvyiP474Dbb_O8M6ajtclSH2T3i=w408-h611-k-no,Ka Pei Ting ,Ka Pei Ting ,4.1,09:00-19:00,Open All Days,+33 6 64 86 84 48,"Columbus Cafe & Co, Leroy Merlin, 6 All. Jean Coulon, 93190 Livry-Gargan, Fa Guo ",San Ming Zhi ,https://www.google.com/maps/place/Columbus+Caf%C3%A9+%26+Co/data=!4m7!3m6!1s0x47e61155bc3cc131:0xf8192368213c1122!8m2!3d48.9292005!4d2.5568483!16s%2Fg%2F1tznlntn!19sChIJMcE8vFUR5kcRIhE8IWgjGfg?authuser=0&hl=zh-TW&rclk=1
