place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJRTv8Sh1ZvZQRVzTVCnunInU,Supermercado Porecatu - Loja 02,,False,4502,"Name: Supermercados Proenca - Loja 12
link: https://www.google.com/maps/search/Supermercados+Proen%C3%A7a+-+Loja+12/@-20.4258143,-49.981998399999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1801 reviews

Name: Santa Cruz Supermarkets
link: https://www.google.com/maps/search/Santa+Cruz+Supermarkets/@-20.4248901,-49.973812099999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1348 reviews

Name: Amigao Supermercados - Pozzobon
link: https://www.google.com/maps/search/Amig%C3%A3o+Supermercados+-+Pozzobon/@-20.398150299999998,-49.9787111?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1020 reviews

Name: O Boticario
link: https://www.google.com/maps/search/O+Botic%C3%A1rio/@-20.4081378,-49.978595299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 37 reviews",http://www.superporecatu.com.br/,Supermercado Porecatu - Loja 02 (Ye Zhu ),https://www.google.com/maps/contrib/112360133500481316146,https://lh5.googleusercontent.com/p/AF1QipMuLnn_dtKRO7apMn8VFXY42G1nLwDnsJEDYfGo=w408-h271-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.5,07:00-22:00,Open All Days,+55 17 3426-6800,"Supermercado Porecatu - Loja 02 - Av. Brasil, 5087 - Sao Judas Tadeu, Votuporanga - SP, 15500-051Ba Xi ","Ting Che , Zu Zhi , Tui Guang , Jiao Yu , Xiao Chi Dian , Pai Dui , An Quan ",https://www.google.com/maps/place/Supermercado+Porecatu+-+Loja+02/data=!4m7!3m6!1s0x94bd591d4afc3b45:0x7522a77b0ad53457!8m2!3d-20.4081378!4d-49.9785953!16s%2Fg%2F1ydkhrd5x!19sChIJRTv8Sh1ZvZQRVzTVCnunInU?authuser=0&hl=zh-TW&rclk=1
ChIJh1FlxR1ZvZQRoSRDJK5SKm4,Supermercado Porecatu - Loja 01,,False,2017,"Name: Supermercados Proenca - Loja 12
link: https://www.google.com/maps/search/Supermercados+Proen%C3%A7a+-+Loja+12/@-20.4258143,-49.981998399999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1801 reviews

Name: Super Muffato Votuporanga
link: https://www.google.com/maps/search/Super+Muffato+Votuporanga/@-20.4209067,-49.9681284?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1662 reviews

Name: Santa Cruz Supermarkets
link: https://www.google.com/maps/search/Santa+Cruz+Supermarkets/@-20.4248901,-49.973812099999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1348 reviews

Name: Amigao Supermercados - Votuporanga Igreja Matriz
link: https://www.google.com/maps/search/Amig%C3%A3o+Supermercados+-+Votuporanga+Igreja+Matriz/@-20.4202361,-49.9747467?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1030 reviews

Name: Supermercado Para Todos
link: https://www.google.com/maps/search/Supermercado+Para+Todos/@-20.416973199999997,-49.9832677?authuser=0&hl=zh-TW&entry=ttu
Reviews: 109 reviews",http://superporecatu.com.br/,Supermercado Porecatu - Loja 01 (Ye Zhu ),https://www.google.com/maps/contrib/112265101857922915443,https://lh5.googleusercontent.com/p/AF1QipNCBYSoikym_Csd_fmyRon33RTmStXlr28yLtKY=w515-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.5,07:00-21:00,Open All Days,+55 17 3426-6170,"Supermercado Porecatu - Loja 01 - R. Amazonas, 4461 - Santa Luzia, Votuporanga - SP, 15500-004Ba Xi ","Ting Che , Zu Zhi , Tui Guang , Xiao Chi Dian , Gong Ying , Qing Jie , An Quan ",https://www.google.com/maps/place/Supermercado+Porecatu+-+Loja+01/data=!4m7!3m6!1s0x94bd591dc5655187:0x6e2a52ae244324a1!8m2!3d-20.4132772!4d-49.9761502!16s%2Fg%2F1wbg0hzn!19sChIJh1FlxR1ZvZQRoSRDJK5SKm4?authuser=0&hl=zh-TW&rclk=1
ChIJTQlA4-JZvZQROON9eidrgsc,Super Muffato Votuporanga,,False,1665,"Name: Supermercado Porecatu - Loja 01
link: https://www.google.com/maps/search/Supermercado+Porecatu+-+Loja+01/@-20.4132772,-49.976150200000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2017 reviews

Name: Supermercados Proenca - Loja 12
link: https://www.google.com/maps/search/Supermercados+Proen%C3%A7a+-+Loja+12/@-20.4258143,-49.981998399999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1801 reviews

Name: Santa Cruz Supermarkets
link: https://www.google.com/maps/search/Santa+Cruz+Supermarkets/@-20.4248901,-49.973812099999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1348 reviews

Name: Amigao Supermercados - Pozzobon
link: https://www.google.com/maps/search/Amig%C3%A3o+Supermercados+-+Pozzobon/@-20.398150299999998,-49.9787111?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1020 reviews

Name: Marcelo Supermercado
link: https://www.google.com/maps/search/Marcelo+Supermercado/@-20.4258733,-49.950277899999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 735 reviews",https://www.supermuffato.com.br/,Super Muffato Votuporanga (Ye Zhu ),https://www.google.com/maps/contrib/105523544027566144165,https://lh5.googleusercontent.com/p/AF1QipNtK_eoz9SgV6FQIJiyt8JJZKQxv1c2Y-FNXvPe=w408-h271-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.6,08:00-23:00,Xing Qi Yi ,+55 17 2101-0950,"Super Muffato Votuporanga - R. das Americas, 3456 - Jardim Bela Vista, Votuporanga - SP, 15501-125Ba Xi ","Zu Zhi , Ting Che , Tui Guang , Pin Pai , Jiao Yu ",https://www.google.com/maps/place/Super+Muffato+Votuporanga/data=!4m7!3m6!1s0x94bd59e2e340094d:0xc7826b277a7de338!8m2!3d-20.4209067!4d-49.9681284!16s%2Fg%2F11j8zhp3rv!19sChIJTQlA4-JZvZQROON9eidrgsc?authuser=0&hl=zh-TW&rclk=1
ChIJu92nPSZZvZQR0r8aGpGKzIA,Santa Cruz Supermarkets,,False,1349,"Name: Supermercado Porecatu - Loja 01
link: https://www.google.com/maps/search/Supermercado+Porecatu+-+Loja+01/@-20.4132772,-49.976150200000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2017 reviews

Name: Supermercados Proenca - Loja 12
link: https://www.google.com/maps/search/Supermercados+Proen%C3%A7a+-+Loja+12/@-20.4258143,-49.981998399999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1801 reviews

Name: Super Muffato Votuporanga
link: https://www.google.com/maps/search/Super+Muffato+Votuporanga/@-20.4209067,-49.9681284?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1662 reviews

Name: Amigao Supermercados - Votuporanga Igreja Matriz
link: https://www.google.com/maps/search/Amig%C3%A3o+Supermercados+-+Votuporanga+Igreja+Matriz/@-20.4202361,-49.9747467?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1030 reviews

Name: Mercado Leao
link: https://www.google.com/maps/search/Mercado+Le%C3%A3o/@-20.429283800000004,-49.9731765?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews",http://www.santacruzsupermercados.com.br/,Santa Cruz Supermarkets (Ye Zhu ),https://www.google.com/maps/contrib/104478788132342862008,https://lh5.googleusercontent.com/p/AF1QipPYiGANEM1MjZke46fxYVs3hywLumy1RU-2hlw2=w408-h306-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Za Huo Pei Song Fu Wu , Jiu Pin Dian ",4.3,07:00-21:00,Open All Days,+55 17 3406-0515,"Santa Cruz Supermarkets - R. Amazonas, 3132 - Vila Sao Vicente, Votuporanga - SP, 15505-208Ba Xi ","Jia Ge , Ting Che , Zu Zhi , Mian Bao Dian , Tui Guang , Xiao Chi Dian , Wu Can ",https://www.google.com/maps/place/Santa+Cruz+Supermarkets/data=!4m7!3m6!1s0x94bd59263da7ddbb:0x80cc8a911a1abfd2!8m2!3d-20.4248901!4d-49.9738121!16s%2Fg%2F1q69m1mzm!19sChIJu92nPSZZvZQR0r8aGpGKzIA?authuser=0&hl=zh-TW&rclk=1
ChIJn4yRzChZvZQRGb6CelVaZ0c,Ki Pao,,False,1032,"Name: Panificadora Peter Pao
link: https://www.google.com/maps/search/Panificadora+Peter+P%C3%A3o/@-20.4267057,-49.9775165?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1367 reviews

Name: Panificadora Aquiles
link: https://www.google.com/maps/search/Panificadora+Aquiles/@-20.4231221,-49.9732158?authuser=0&hl=zh-TW&entry=ttu
Reviews: 719 reviews

Name: Padaria Tempao Votuporanga
link: https://www.google.com/maps/search/Padaria+Temp%C3%A3o+Votuporanga/@-20.4161881,-49.9675312?authuser=0&hl=zh-TW&entry=ttu
Reviews: 265 reviews

Name: Panificadora e Confeitaria Maria Pozzobon Votuporanga
link: https://www.google.com/maps/search/Panificadora+e+Confeitaria+Maria+Pozzobon+Votuporanga/@-20.3961473,-49.975076699999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews",https://kipao-bakery.negocio.site/,Ki Pao (Ye Zhu ),https://www.google.com/maps/contrib/104790460048006983728,https://lh5.googleusercontent.com/p/AF1QipOD0gBJVSBdQO3FenJG_Ot7nQmQmL_64daH64Cj=w408-h306-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Ka Pei Ting ",4.5,05:30-22:00,Open All Days,+55 17 3423-1898,"Ki Pao - R. Pernambuco, 2865 - Patrimonio Novo, Votuporanga - SP, 15500-006Ba Xi ","Chan Pin , Jia Ge , Huan Jing , Guo Jiang , Zhu Zi Bao ",https://www.google.com/maps/place/Ki+P%C3%A3o/data=!4m7!3m6!1s0x94bd5928cc918c9f:0x47675a557a82be19!8m2!3d-20.4270802!4d-49.9728045!16s%2Fg%2F11dyqytpvz!19sChIJn4yRzChZvZQRGb6CelVaZ0c?authuser=0&hl=zh-TW&rclk=1
ChIJj-9BRExZvZQRrA1R6KcLpz0,Marcelo Supermercado,,False,736,"Name: Super Muffato Votuporanga
link: https://www.google.com/maps/search/Super+Muffato+Votuporanga/@-20.4209067,-49.9681284?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1662 reviews

Name: Supermercado Para Todos
link: https://www.google.com/maps/search/Supermercado+Para+Todos/@-20.416973199999997,-49.9832677?authuser=0&hl=zh-TW&entry=ttu
Reviews: 109 reviews

Name: Supermercado vida nova
link: https://www.google.com/maps/search/Supermercado+vida+nova/@-20.4322217,-49.9522434?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: Rossi Supermercado
link: https://www.google.com/maps/search/Rossi+Supermercado/@-20.4391689,-49.9892806?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://business.google.com/website/marcelo-supermercado,Marcelo Supermercado (Ye Zhu ),https://www.google.com/maps/contrib/100441848969830377316,https://lh5.googleusercontent.com/p/AF1QipOoKx73nUP7-PWcqEyr1rYHLS1Typ_S747fdfA=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.6,07:00-20:00,Xing Qi Yi ,+55 17 3423-2977,"Marcelo Supermercado - R. Felicio Gorayeb, 2634 - Jardim Bom Clima, Votuporanga - SP, 15505-075Ba Xi ","Jia Ge , Mian Bao Dian , Tui Guang , Gong Ying , Jiao Yu , Ke Ren ",https://www.google.com/maps/place/Marcelo+Supermercado/data=!4m7!3m6!1s0x94bd594c4441ef8f:0x3da70ba7e8510dac!8m2!3d-20.4258733!4d-49.9502779!16s%2Fg%2F11c13plm42!19sChIJj-9BRExZvZQRrA1R6KcLpz0?authuser=0&hl=zh-TW&rclk=1
ChIJb7kNTRxZvZQR0xYpNTbr8MY,"Nita Copos Embalagens, Produtos Naturais, Artigos para Festas e Produtos Alimenticios",,False,541,"Name: Peres Embalagens
link: https://www.google.com/maps/search/Peres+Embalagens/@-20.4122798,-49.9764713?authuser=0&hl=zh-TW&entry=ttu
Reviews: 269 reviews

Name: Mundo da Festa Votuporanga
link: https://www.google.com/maps/search/Mundo+da+Festa+Votuporanga/@-20.4242503,-49.9732602?authuser=0&hl=zh-TW&entry=ttu
Reviews: 109 reviews

Name: Kamila Doces & Festa
link: https://www.google.com/maps/search/Kamila+Doces+%26+Festa/@-20.399480699999998,-49.9785389?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: Votuplas Embalagens
link: https://www.google.com/maps/search/Votupl%C3%A1s+Embalagens/@-20.417268,-49.9754405?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: JV BRINDES & Sacola Personalizada
link: https://www.google.com/maps/search/JV+BRINDES+%26+Sacola+Personalizada/@-20.396321699999998,-49.9705632?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",https://nitacopos.com.br/,"Nita Copos Embalagens, Produtos Naturais, Artigos para Festas e Produtos Alimenticios (Ye Zhu )",https://www.google.com/maps/contrib/113260628504200518158,https://lh5.googleusercontent.com/p/AF1QipMYW4fi4YilqjI3H2xolzLDqpyrA1flqAIm7f0r=w408-h240-k-no-pi-0-ya10.000015-ro-0-fo100,Pai Dui Zhuang Shi Yong Pin Dian ,"Pai Dui Zhuang Shi Yong Pin Dian , Shi Pin Gong Ying Shang , Jian Kang Shi Pin Zhuan Mai Dian , Bao Zhuang Gong Si ",4.6,08:00-18:00,Open All Days,+55 17 3421-1640,"Nita Copos Embalagens, Produtos Naturais, Artigos para Festas e Produtos Alimenticios - R. Tiete, 3560 - Santa Eliza, Votuporanga - SP, 15505-186Ba Xi ","Jia Ge , Diao Wei , Xiang Liao , Yi Ci Xing , Sheng Ri ","https://www.google.com/maps/place/Nita+Copos+Embalagens,+Produtos+Naturais,+Artigos+para+Festas+e+Produtos+Aliment%C3%ADcios/data=!4m7!3m6!1s0x94bd591c4d0db96f:0xc6f0eb36352916d3!8m2!3d-20.4239571!4d-49.9727259!16s%2Fg%2F1tzvxny_!19sChIJb7kNTRxZvZQR0xYpNTbr8MY?authuser=0&hl=zh-TW&rclk=1"
ChIJdTLTDgdZvZQRML_g2HFcwdI,Panificadora Medina,,False,430,"Name: Panificadora Uniao
link: https://www.google.com/maps/search/Panificadora+Uni%C3%A3o/@-20.396666399999997,-49.978975999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 86 reviews

Name: Sabor Paes & Frios
link: https://www.google.com/maps/search/Sabor+P%C3%A3es+%26+Frios/@-20.4172229,-49.9709425?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Panificadora Mana
link: https://www.google.com/maps/search/Panificadora+Man%C3%A1/@-20.4274263,-49.9700923?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: Mini Mercado Medina
link: https://www.google.com/maps/search/Mini+Mercado+Medina/@-20.395597799999997,-49.9713219?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Panificadora e Confeitaria Maria Pozzobon Votuporanga
link: https://www.google.com/maps/search/Panificadora+e+Confeitaria+Maria+Pozzobon+Votuporanga/@-20.3961473,-49.975076699999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews",https://panificadora-medina.negocio.site/,Panificadora Medina (Ye Zhu ),https://www.google.com/maps/contrib/100539524892766156823,https://lh5.googleusercontent.com/p/AF1QipNV48jMHcaTUicqOu5OUUeoEFCaKr66cVI6qAfV=w426-h240-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Gao Bing Dian ",4.6,06:00-20:00,Open All Days,+55 17 3423-3824,"Panificadora Medina - R. Joao Ferreira do Nascimento, 2891 - Res. Prado, Votuporanga - SP, 15503-055Ba Xi ","Chan Pin , Jia Ge , Guo Jiang , Jia Ting , Ka Pei , Qi Si ",https://www.google.com/maps/place/Panificadora+Medina/data=!4m7!3m6!1s0x94bd59070ed33275:0xd2c15c71d8e0bf30!8m2!3d-20.3955978!4d-49.9713219!16s%2Fg%2F1tc_55_m!19sChIJdTLTDgdZvZQRML_g2HFcwdI?authuser=0&hl=zh-TW&rclk=1
ChIJRagf2zhZvZQRXZmt827O7p8,Acai + Sabor de Votuporanga,,False,385,"Name: Acai da Barra
link: https://www.google.com/maps/search/A%C3%A7a%C3%AD+da+Barra/@-20.4209578,-49.973584599999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 267 reviews

Name: Acai Nathus Votuporanga
link: https://www.google.com/maps/search/A%C3%A7a%C3%AD+Nathus+Votuporanga/@-20.4250325,-49.973420499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 230 reviews

Name: Bom Sabor Acai
link: https://www.google.com/maps/search/Bom+Sabor+A%C3%A7a%C3%AD/@-20.404626099999998,-49.9905794?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews

Name: Acai.con
link: https://www.google.com/maps/search/A%C3%A7a%C3%AD.con/@-20.419133799999997,-49.9693372?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Acai Delivery Votuporanga
link: https://www.google.com/maps/search/A%C3%A7a%C3%AD+Delivery+Votuporanga/@-20.4175245,-49.974005299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://linktr.ee/acaimaissaborvotuporanga,Acai + Sabor de Votuporanga (Ye Zhu ),https://www.google.com/maps/contrib/107923953791551353962,https://lh5.googleusercontent.com/p/AF1QipPBkBmRmJ5fQGjYqtBFhgbkbY3ynWtY9yrJ43bF=w408-h544-k-no,Ba Xi Mei Tian Dian Dian ,Ba Xi Mei Tian Dian Dian ,4.8,15:00-23:00,Open All Days,+55 17 99665-3639,"Acai + Sabor de Votuporanga, Entre ruas Alagoas e - Rua Pernambuco, R. Santa Catarina, 3507 - Patrimonio Velho, Votuporanga - SP, 15505-169Ba Xi ","Jia Ge , Chan Pin ",https://www.google.com/maps/place/A%C3%A7a%C3%AD+%2B+Sabor+de+Votuporanga/data=!4m7!3m6!1s0x94bd5938db1fa845:0x9feece6ef3ad995d!8m2!3d-20.421277!4d-49.9737019!16s%2Fg%2F11b6zpyrzz!19sChIJRagf2zhZvZQRXZmt827O7p8?authuser=0&hl=zh-TW&rclk=1
ChIJS_H81sxYvZQRMo-TQgbovgo,Market Dona Nena,,False,256,"Name: Mini mercado Avenida
link: https://www.google.com/maps/search/Mini+mercado+Avenida/@-20.4354107,-49.9831267?authuser=0&hl=zh-TW&entry=ttu
Reviews: 50 reviews

Name: Minimercado Gianezzi
link: https://www.google.com/maps/search/Minimercado+Gianezzi/@-20.4010925,-49.9735325?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: Supermercado vida nova
link: https://www.google.com/maps/search/Supermercado+vida+nova/@-20.4322217,-49.9522434?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: Mini Mercado Medina
link: https://www.google.com/maps/search/Mini+Mercado+Medina/@-20.395597799999997,-49.9713219?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Rossi Supermercado
link: https://www.google.com/maps/search/Rossi+Supermercado/@-20.4391689,-49.9892806?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.facebook.com/MercadoDonaNena/,Market Dona Nena (Ye Zhu ),https://www.google.com/maps/contrib/113787774168112290881,https://lh5.googleusercontent.com/p/AF1QipOdQykghNc5x972ZUVcYQJ8d4183Oj5yUFFDmto=w408-h251-k-no,Shi Chang ,Shi Chang ,4.4,07:00-20:00,Open All Days,+55 17 3421-5785,"Market Dona Nena - Av. Conde Francisco Matarazzo, 1824 - Da Estacao, Votuporanga - SP, 15501-385Ba Xi ","Jia Ge , Chan Pin , Mian Bao Dian ",https://www.google.com/maps/place/Market+Dona+Nena/data=!4m7!3m6!1s0x94bd58ccd6fcf14b:0xabee80642938f32!8m2!3d-20.4397185!4d-49.9908173!16s%2Fg%2F11c1lhrkgc!19sChIJS_H81sxYvZQRMo-TQgbovgo?authuser=0&hl=zh-TW&rclk=1
