place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJUfVERZJdAUcRlDE9LwvXZqI,Kaufland Walcz,,False,1350,"Name: Lidl
link: https://www.google.com/maps/search/Lidl/@53.276778199999995,16.4867268?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1085 reviews

Name: Biedronka
link: https://www.google.com/maps/search/Biedronka/@53.2765916,16.4877411?authuser=0&hl=zh-TW&entry=ttu
Reviews: 508 reviews

Name: Orange Walcz
link: https://www.google.com/maps/search/Orange+Wa%C5%82cz/@53.275465499999996,16.487516700000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 101 reviews

Name: Parking - Kaufland
link: https://www.google.com/maps/search/Parking+-+Kaufland/@53.275709899999995,16.4866483?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Familijna. Apteka
link: https://www.google.com/maps/search/Familijna.+Apteka/@53.2753726,16.487027599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.kaufland.pl/%3Fcid%3DF19054B02C1200K01000W01030000,Kaufland Walcz (Ye Zhu ),https://www.google.com/maps/contrib/102710722286611479527,https://lh5.googleusercontent.com/p/AF1QipMdvIKeTVzXieyZX0QP1F96FMt3-bFhsb3_hwhp=w426-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.2,06:00-23:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 800 300 062,"Kaufland Walcz, ul, Budowlanych 3, 78-600 Walcz, Bo Lan ",,https://www.google.com/maps/place/Kaufland+Wa%C5%82cz/data=!4m7!3m6!1s0x47015d924544f551:0xa266d70b2f3d3194!8m2!3d53.275267!4d16.4869131!16s%2Fg%2F1tdlf_23!19sChIJUfVERZJdAUcRlDE9LwvXZqI?authuser=0&hl=zh-TW&rclk=1
ChIJZzfdprldAUcRxe2egfMnerQ,Restauracja McDonald's,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,1175,"Name: Restauracja McDonald's
link: https://www.google.com/maps/search/Restauracja+McDonald%27s/@53.7087414,16.7072157?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4680 reviews

Name: Restauracja Walecka
link: https://www.google.com/maps/search/Restauracja+Wa%C5%82ecka/@53.274347899999995,16.46885?authuser=0&hl=zh-TW&entry=ttu
Reviews: 393 reviews

Name: FAST KEBAB
link: https://www.google.com/maps/search/FAST+KEBAB/@53.2770836,16.4852997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 284 reviews

Name: Tawerna Pod Wieza
link: https://www.google.com/maps/search/Tawerna+Pod+Wie%C5%BC%C4%85/@53.2699812,16.4569515?authuser=0&hl=zh-TW&entry=ttu
Reviews: 149 reviews

Name: Relaks
link: https://www.google.com/maps/search/Relaks/@53.2796235,16.4641548?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews",https://mcdonalds.pl/restauracje/zachodniopomorskie/walcz/walcz-ul-jana-brzechwy-2/,Restauracja McDonald's (Ye Zhu ),https://www.google.com/maps/contrib/100185698779050154676,https://lh5.googleusercontent.com/p/AF1QipMJGLPkf_Cs4RTMxyiSvvpI7vTFmv9jRewpdCfQ=w408-h306-k-no,Can Ting ,Can Ting ,3.2,06:00-02:00,Xing Qi Yi ,+48 532 511 788,"Restauracja McDonald's, Jana Brzechwy 2, 78-600 Walcz, Bo Lan ",,https://www.google.com/maps/place/Restauracja+McDonald%27s/data=!4m7!3m6!1s0x47015db9a6dd3767:0xb47a27f3819eedc5!8m2!3d53.2912618!4d16.4574934!16s%2Fg%2F11pvbmp6j5!19sChIJZzfdprldAUcRxe2egfMnerQ?authuser=0&hl=zh-TW&rclk=1
ChIJTcfEFJJdAUcRzOXG_KCFTmE,Lidl,,False,1085,"Name: Kaufland Walcz
link: https://www.google.com/maps/search/Kaufland+Wa%C5%82cz/@53.275267,16.4869131?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1350 reviews

Name: Intermarche
link: https://www.google.com/maps/search/Intermarch%C3%A9/@53.277240000000006,16.47759?authuser=0&hl=zh-TW&entry=ttu
Reviews: 667 reviews

Name: Biedronka
link: https://www.google.com/maps/search/Biedronka/@53.2765916,16.4877411?authuser=0&hl=zh-TW&entry=ttu
Reviews: 508 reviews

Name: Media Expert
link: https://www.google.com/maps/search/Media+Expert/@53.276486999999996,16.488094399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 207 reviews

Name: Lewiatan
link: https://www.google.com/maps/search/Lewiatan/@53.2750967,16.477817599999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews",https://www.lidl.pl/,Lidl (Ye Zhu ),https://www.google.com/maps/contrib/101575271554378241932,https://lh5.googleusercontent.com/p/AF1QipMXPP9aAmVgqOL2ZiP0lFj5zMDAnH9REwEbE53d=w426-h240-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Chao Ji Shi Chang ",4.3,06:00-22:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 61 880 30 00,"Lidl, Budowlanych 1A, 78-600 Walcz, Bo Lan ",,https://www.google.com/maps/place/Lidl/data=!4m7!3m6!1s0x47015d9214c4c74d:0x614e85a0fcc6e5cc!8m2!3d53.2767782!4d16.4867268!16s%2Fg%2F1tz94fqj!19sChIJTcfEFJJdAUcRzOXG_KCFTmE?authuser=0&hl=zh-TW&rclk=1
ChIJOT_nIZNdAUcRkRBwPGVKcTA,Bricomarche,,False,946,"Name: Intermarche
link: https://www.google.com/maps/search/Intermarch%C3%A9/@53.277240000000006,16.47759?authuser=0&hl=zh-TW&entry=ttu
Reviews: 667 reviews

Name: Biedronka
link: https://www.google.com/maps/search/Biedronka/@53.2765916,16.4877411?authuser=0&hl=zh-TW&entry=ttu
Reviews: 508 reviews

Name: PSB Mrowka
link: https://www.google.com/maps/search/PSB+Mr%C3%B3wka/@53.273758,16.483767999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 373 reviews

Name: PSB BAZA
link: https://www.google.com/maps/search/PSB+BAZA/@53.2721769,16.4841223?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Hiper Farby
link: https://www.google.com/maps/search/Hiper+Farby/@53.263667,16.492596?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.bricomarche.pl/%3FposId%3D183,Bricomarche (Ye Zhu ),https://www.google.com/maps/contrib/114353054303690438235,https://lh5.googleusercontent.com/p/AF1QipORTSoexyb61CgQx8867s9Vh-dvQfLKb4ZKUxM=w426-h240-k-no,Jia Ting Zhuang Xiu  DIY Bai Huo Mai Chang ,"Jia Ting Zhuang Xiu  DIY Bai Huo Mai Chang , Jian Cai Shang Dian , Shi Zhuang Ji Pei Shi Dian , Yuan Yi Dian ",4.2,08:00-20:00,Open All Days,+48 67 250 60 30,"Bricomarche, Budowlanych 5, 78-600 Walcz, Bo Lan ",,https://www.google.com/maps/place/Bricomarch%C3%A9/data=!4m7!3m6!1s0x47015d9321e73f39:0x30714a653c701091!8m2!3d53.2753145!4d16.4887616!16s%2Fg%2F11b5wm132z!19sChIJOT_nIZNdAUcRkRBwPGVKcTA?authuser=0&hl=zh-TW&rclk=1
ChIJ99DmnJ5dAUcRUtGln7r0AO4,Biedronka,,False,875,"Name: Kaufland Walcz
link: https://www.google.com/maps/search/Kaufland+Wa%C5%82cz/@53.275267,16.4869131?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1350 reviews

Name: Lidl
link: https://www.google.com/maps/search/Lidl/@53.276778199999995,16.4867268?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1085 reviews

Name: Netto
link: https://www.google.com/maps/search/Netto/@53.266854099999996,16.462664099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 431 reviews

Name: Stokrotka
link: https://www.google.com/maps/search/Stokrotka/@53.272458,16.470091?authuser=0&hl=zh-TW&entry=ttu
Reviews: 416 reviews

Name: Sklep spozywczo-monopolowy
link: https://www.google.com/maps/search/Sklep+spo%C5%BCywczo-monopolowy/@53.275151799999996,16.4643303?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/106778246434896567176,https://lh5.googleusercontent.com/p/AF1QipNO6qlOAnNtMwpPjghDdkGCIYq_Djo2b_OgT6qF=w408-h306-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",4.1,06:00-22:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 800 080 010,"Biedronka, Fryderyka Chopina 4, 78-600 Walcz, Bo Lan ",,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x47015d9e9ce6d0f7:0xee00f4ba9fa5d152!8m2!3d53.2753432!4d16.4630372!16s%2Fg%2F1tdbvg1b!19sChIJ99DmnJ5dAUcRUtGln7r0AO4?authuser=0&hl=zh-TW&rclk=1
ChIJNQkbA6RdAUcRENNq_tnsPJ0,Biedronka,,False,854,"Name: Kaufland Walcz
link: https://www.google.com/maps/search/Kaufland+Wa%C5%82cz/@53.275267,16.4869131?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1350 reviews

Name: Intermarche
link: https://www.google.com/maps/search/Intermarch%C3%A9/@53.277240000000006,16.47759?authuser=0&hl=zh-TW&entry=ttu
Reviews: 667 reviews

Name: Netto
link: https://www.google.com/maps/search/Netto/@53.266854099999996,16.462664099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 431 reviews

Name: Stokrotka
link: https://www.google.com/maps/search/Stokrotka/@53.272458,16.470091?authuser=0&hl=zh-TW&entry=ttu
Reviews: 416 reviews

Name: Czerwona Torebka Walcz
link: https://www.google.com/maps/search/Czerwona+Torebka+Wa%C5%82cz/@53.2654881,16.4618222?authuser=0&hl=zh-TW&entry=ttu
Reviews: 140 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/101913146684187795410,https://lh5.googleusercontent.com/p/AF1QipO8WrcWd7WG3945LLQQWwaJdSoG2yuxVw0KhR_D=w514-h240-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",4.1,06:00-22:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 800 080 010,"Biedronka, Gen. Wl. Andersa 15, 78-600 Walcz, Bo Lan ",,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x47015da4031b0935:0x9d3cecd9fe6ad310!8m2!3d53.2642937!4d16.4604755!16s%2Fg%2F1tdc_cms!19sChIJNQkbA6RdAUcRENNq_tnsPJ0?authuser=0&hl=zh-TW&rclk=1
ChIJ-SvLUJpdAUcR_5n-NuoSCbI,Biedronka,,False,807,"Name: Kaufland Walcz
link: https://www.google.com/maps/search/Kaufland+Wa%C5%82cz/@53.275267,16.4869131?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1350 reviews

Name: Lidl
link: https://www.google.com/maps/search/Lidl/@53.276778199999995,16.4867268?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1085 reviews

Name: Intermarche
link: https://www.google.com/maps/search/Intermarch%C3%A9/@53.277240000000006,16.47759?authuser=0&hl=zh-TW&entry=ttu
Reviews: 667 reviews

Name: Netto
link: https://www.google.com/maps/search/Netto/@53.2775172,16.4825093?authuser=0&hl=zh-TW&entry=ttu
Reviews: 287 reviews

Name: KiK Walcz
link: https://www.google.com/maps/search/KiK+Walcz/@53.2763153,16.472179999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/103677614104969884047,https://lh5.googleusercontent.com/p/AF1QipMZs2OwiLyl-xNC7to083YAb7j-iKf1bQtSY5pE=w532-h240-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",4,06:00-22:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 800 080 010,"Biedronka, Dabrowskiego 28, 78-600 Walcz, Bo Lan ",,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x47015d9a50cb2bf9:0xb20912ea36fe99ff!8m2!3d53.2767081!4d16.472404!16s%2Fg%2F11b5wq7t43!19sChIJ-SvLUJpdAUcR_5n-NuoSCbI?authuser=0&hl=zh-TW&rclk=1
ChIJ0ZBXAb1dAUcRg6ZkJxbNxIY,Intermarche,,False,667,"Name: Kaufland Walcz
link: https://www.google.com/maps/search/Kaufland+Wa%C5%82cz/@53.275267,16.4869131?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1350 reviews

Name: Bricomarche
link: https://www.google.com/maps/search/Bricomarch%C3%A9/@53.2753145,16.4887616?authuser=0&hl=zh-TW&entry=ttu
Reviews: 946 reviews

Name: Stokrotka
link: https://www.google.com/maps/search/Stokrotka/@53.272458,16.470091?authuser=0&hl=zh-TW&entry=ttu
Reviews: 416 reviews

Name: Zieleniak. Sklep spozywczy
link: https://www.google.com/maps/search/Zieleniak.+Sklep+spo%C5%BCywczy/@53.275836999999996,16.479432499999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 114 reviews

Name: Sklep Chinski Walcz
link: https://www.google.com/maps/search/Sklep+Chi%C5%84ski+Wa%C5%82cz/@53.273716,16.4702?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",https://intermarchewalcz.business.site/?utm_source=gmb&utm_medium=referral,Intermarche (Ye Zhu ),https://www.google.com/maps/contrib/110078316901476290383,https://lh5.googleusercontent.com/p/AF1QipPoZfNgBZWdP1ikY7yq86V_Tj22jFZm1bdhzVmp=w426-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.8,07:00-21:00,Open All Days,+48 67 381 95 71,"Intermarche, aleja Tysiaclecia 8, 78-600 Walcz, Bo Lan ",,https://www.google.com/maps/place/Intermarch%C3%A9/data=!4m7!3m6!1s0x47015dbd015790d1:0x86c4cd162764a683!8m2!3d53.27724!4d16.47759!16s%2Fg%2F1td_x8_2!19sChIJ0ZBXAb1dAUcRg6ZkJxbNxIY?authuser=0&hl=zh-TW&rclk=1
ChIJayjQfJJdAUcRvWudqAfUtOM,Biedronka,,False,508,"Name: Kaufland Walcz
link: https://www.google.com/maps/search/Kaufland+Wa%C5%82cz/@53.275267,16.4869131?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1350 reviews

Name: Lidl
link: https://www.google.com/maps/search/Lidl/@53.276778199999995,16.4867268?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1085 reviews

Name: Bricomarche
link: https://www.google.com/maps/search/Bricomarch%C3%A9/@53.2753145,16.4887616?authuser=0&hl=zh-TW&entry=ttu
Reviews: 946 reviews

Name: Media Expert
link: https://www.google.com/maps/search/Media+Expert/@53.276486999999996,16.488094399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 207 reviews

Name: Deichmann
link: https://www.google.com/maps/search/Deichmann/@53.276278299999994,16.4874296?authuser=0&hl=zh-TW&entry=ttu
Reviews: 60 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/104859162967894924884,https://lh5.googleusercontent.com/p/AF1QipOIqeVGP3VmZznLulHFY45aRvmwsymIZr65brkr=w408-h306-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",4.2,06:00-22:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 800 080 010,"Biedronka, Budowlanych 1B, 78-600 Walcz, Bo Lan ",,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x47015d927cd0286b:0xe3b4d407a89d6bbd!8m2!3d53.2765916!4d16.4877411!16s%2Fg%2F11b5wjdsnz!19sChIJayjQfJJdAUcRvWudqAfUtOM?authuser=0&hl=zh-TW&rclk=1
ChIJxS-UyaNdAUcRUVYcqLUyP08,Netto,,False,431,"Name: Kaufland Walcz
link: https://www.google.com/maps/search/Kaufland+Wa%C5%82cz/@53.275267,16.4869131?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1350 reviews

Name: Biedronka
link: https://www.google.com/maps/search/Biedronka/@53.264293699999996,16.460475499999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 854 reviews

Name: Stokrotka
link: https://www.google.com/maps/search/Stokrotka/@53.272458,16.470091?authuser=0&hl=zh-TW&entry=ttu
Reviews: 416 reviews

Name: Czerwona Torebka Walcz
link: https://www.google.com/maps/search/Czerwona+Torebka+Wa%C5%82cz/@53.2654881,16.4618222?authuser=0&hl=zh-TW&entry=ttu
Reviews: 140 reviews

Name: Action Walcz
link: https://www.google.com/maps/search/Action+Wa%C5%82cz/@53.2775155,16.4890603?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews",https://www.netto.pl/sklepy/walcz/ul-generala-wladyslawa-andersa-8-8/5134585fc89c4b77b3b979c537fdf1b9/,Netto (Ye Zhu ),https://www.google.com/maps/contrib/109340436307728483459,https://lh5.googleusercontent.com/p/AF1QipOhJ65QS3QRkTnb1Ols_UGH4uQvReARE1DxJaO2=w427-h240-k-no,Zhe Kou Shang Dian ,"Zhe Kou Shang Dian , Ping Jia Chao Ji Shi Chang , Za Huo Dian , Chao Ji Shi Chang ",4.2,06:00-21:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 531 994 994,"Netto, Gen. Wl. Andersa 8, 78-600 Walcz, Bo Lan ",,https://www.google.com/maps/place/Netto/data=!4m7!3m6!1s0x47015da3c9942fc5:0x4f3f32b5a81c5651!8m2!3d53.2668541!4d16.4626641!16s%2Fg%2F11c2npcdtq!19sChIJxS-UyaNdAUcRUVYcqLUyP08?authuser=0&hl=zh-TW&rclk=1
