place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJdV-YN4z0K4gRdIT2DAhdgwE,Smile Tiger Coffee Roasters,,False,1813,"Name: The Yeti Cafe
link: https://www.google.com/maps/search/The+Yeti+Cafe/@43.4482656,-80.4843046?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1029 reviews

Name: Matter of Taste Coffee Roaster
link: https://www.google.com/maps/search/Matter+of+Taste+Coffee+Roaster/@43.4505151,-80.4912896?authuser=0&hl=zh-TW&entry=ttu
Reviews: 758 reviews

Name: Balzac's Kitchener
link: https://www.google.com/maps/search/Balzac%27s+Kitchener/@43.451164999999996,-80.49839399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 513 reviews

Name: Cafe O
link: https://www.google.com/maps/search/Cafe+O/@43.4636922,-80.4650093?authuser=0&hl=zh-TW&entry=ttu
Reviews: 400 reviews

Name: Stockyards Coffee
link: https://www.google.com/maps/search/Stockyards+Coffee/@43.4512967,-80.5141896?authuser=0&hl=zh-TW&entry=ttu
Reviews: 303 reviews",http://smiletigercoffee.com/,Smile Tiger Coffee Roasters (Ye Zhu ),https://www.google.com/maps/contrib/110022323091249770775,https://lh5.googleusercontent.com/p/AF1QipM1GHeW7RD-_2wbZ3yJ5BLcG0iOP7VmSAutaQJf=w408-h307-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",4.5,06:30-18:00,Open All Days,+1 519-208-0227,"Smile Tiger Coffee Roasters, 100 Ahrens St W, Kitchener, ON N2H 4C3Jia Na Da ","Che Zhan , Sha Fa , Wen Qing , Bi Dian , Mei Gan , outlet",https://www.google.com/maps/place/Smile+Tiger+Coffee+Roasters/data=!4m7!3m6!1s0x882bf48c37985f75:0x1835d080cf68474!8m2!3d43.4559819!4d-80.4918691!16s%2Fg%2F11bwpz0v5_!19sChIJdV-YN4z0K4gRdIT2DAhdgwE?authuser=0&hl=zh-TW&rclk=1
ChIJbU6D4Az0K4gRGm7S0WGYD6E,Huether Hotel,,False,1475,"Name: Wildcraft Grill + Long Bar
link: https://www.google.com/maps/search/Wildcraft+Grill+%2B+Long+Bar/@43.4867761,-80.527609?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2715 reviews

Name: Ethel's Lounge
link: https://www.google.com/maps/search/Ethel%27s+Lounge/@43.469177699999996,-80.52327939999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1971 reviews

Name: McCabe's Irish Pub & Grill
link: https://www.google.com/maps/search/McCabe%27s+Irish+Pub+%26+Grill/@43.4642541,-80.5219233?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1148 reviews

Name: The White Rabbit
link: https://www.google.com/maps/search/The+White+Rabbit/@43.4664534,-80.5228846?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1017 reviews

Name: Hop House
link: https://www.google.com/maps/search/Hop+House/@43.466511800000006,-80.52310419999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews",http://huetherhotel.com/,Huether Hotel (Ye Zhu ),https://www.google.com/maps/contrib/100211967851709246665,https://lh5.googleusercontent.com/p/AF1QipOH7g235hSnyy_00SWYXCUUXy2FXrf7oArj7RW9=w408-h306-k-no,Can Ting ,"Can Ting , Pi Jiu Niang Zhi Chang , Ka Pei Ting , Jue Shi Ju Le Bu ",3.9,09:00-23:00,Open All Days,+1 519-886-3350,"Huether Hotel, 59 King St N, Waterloo, ON N2J 2X2Jia Na Da ","Jue Shi Le , Xiao Jiu Ba , Niang Zao , Da Mai , Shi , Ban Ni Di Ke Dan , Dan Zhu Tai ",https://www.google.com/maps/place/Huether+Hotel/data=!4m7!3m6!1s0x882bf40ce0834e6d:0xa10f9861d1d26e1a!8m2!3d43.4669868!4d-80.5230936!16s%2Fm%2F0wxys5s!19sChIJbU6D4Az0K4gRGm7S0WGYD6E?authuser=0&hl=zh-TW&rclk=1
ChIJ3Q1cmgP0K4gRMg_ATXh0ClY,Tim Hortons,,False,1407,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@43.481748499999995,-80.52557019999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4565 reviews

Name: Burger King
link: https://www.google.com/maps/search/Burger+King/@43.4725446,-80.5357209?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1085 reviews

Name: Domino's Pizza
link: https://www.google.com/maps/search/Domino%27s+Pizza/@43.4766956,-80.5203679?authuser=0&hl=zh-TW&entry=ttu
Reviews: 693 reviews

Name: Guac Mexi Grill
link: https://www.google.com/maps/search/Guac+Mexi+Grill/@43.4769655,-80.5205845?authuser=0&hl=zh-TW&entry=ttu
Reviews: 279 reviews",https://locations.timhortons.ca/en/on/waterloo/65-university-ave-east/,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/104224998052614819013,https://lh5.googleusercontent.com/p/AF1QipM_WbeLJdZf9b8B1E8qjoFYcG7xXhHl37N6aMB2=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.7,24 Xiao Shi Ying Ye ,Open All Days,+1 519-884-2871,"Tim Hortons, 65 University Ave E, Waterloo, ON N2J 2V9Jia Na Da ","De Lai Su , Qing Jie , Tang , Tian Tian Quan , Guan Li , Bei Guo , Juan Bing , Xiang Chang , Da Xue , Shu Bing ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x882bf4039a5c0ddd:0x560a74784dc00f32!8m2!3d43.4769981!4d-80.5214871!16s%2Fg%2F1tf0r7qz!19sChIJ3Q1cmgP0K4gRMg_ATXh0ClY?authuser=0&hl=zh-TW&rclk=1
ChIJ38Rd3vD2K4gRiYH98vdSxVE,Symposium Cafe Restaurant Waterloo,,False,1301,"Name: Jack's Family Restaurant
link: https://www.google.com/maps/search/Jack%27s+Family+Restaurant/@43.5084436,-80.5559912?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3840 reviews

Name: Korner Kitchen Breakfast and Lunch Eatery
link: https://www.google.com/maps/search/Korner+Kitchen+Breakfast+and+Lunch+Eatery/@43.4754769,-80.51805259999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2248 reviews

Name: Sunset Grill
link: https://www.google.com/maps/search/Sunset+Grill/@43.424683300000005,-80.5540437?authuser=0&hl=zh-TW&entry=ttu
Reviews: 710 reviews

Name: Teremok Cafe
link: https://www.google.com/maps/search/Teremok+Cafe/@43.465182,-80.518509?authuser=0&hl=zh-TW&entry=ttu
Reviews: 330 reviews",https://symposiumcafe.com/locations/waterloo-restaurants,Symposium Cafe Restaurant Waterloo (Ye Zhu ),https://www.google.com/maps/contrib/101096440285062980453,https://lh5.googleusercontent.com/p/AF1QipO1zw4FV4fwMaIl7jfL2pk9Hyo5l4JAl62AGZSv=w408-h272-k-no,Can Ting ,"Can Ting , Jiu Ba , Zao Can Can Ting , Zao Wu Can Can Ting , Jia Na Da Can Ting , Ka Pei Dian , Tian Pin Can Ting , Mei Shi Can Che Dian , Jia Ting Can Ting , Wu Can Can Ting ",4,08:00-23:00,Open All Days,+1 519-749-4616,"Symposium Cafe Restaurant Waterloo, 668 Erb St. W, Waterloo, ON N2T 2K8Jia Na Da ","Zao Can , Ban Ni Di Ke Dan , Ou Mu Dan , Zao Wu Can , Fa Shi Tu Si ",https://www.google.com/maps/place/Symposium+Cafe+Restaurant+Waterloo/data=!4m7!3m6!1s0x882bf6f0de5dc4df:0x51c552f7f2fd8189!8m2!3d43.4460053!4d-80.574595!16s%2Fg%2F11f5rdjrzs!19sChIJ38Rd3vD2K4gRiYH98vdSxVE?authuser=0&hl=zh-TW&rclk=1
ChIJZZvwpvP0K4gRjLWBNzCtci4,Cafe Pyrus,,False,1266,"Name: Coffee Culture Cafe & Eatery
link: https://www.google.com/maps/search/Coffee+Culture+Caf%C3%A9+%26+Eatery/@43.4497479,-80.4893022?authuser=0&hl=zh-TW&entry=ttu
Reviews: 876 reviews

Name: Darlise Cafe
link: https://www.google.com/maps/search/Darlise+Cafe/@43.4492797,-80.48948659999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 614 reviews

Name: East African Cafe
link: https://www.google.com/maps/search/East+African+Cafe/@43.449636,-80.4911008?authuser=0&hl=zh-TW&entry=ttu
Reviews: 292 reviews

Name: Cafe Pyrus Outpost
link: https://www.google.com/maps/search/Cafe+Pyrus+Outpost/@43.462735099999996,-80.5072304?authuser=0&hl=zh-TW&entry=ttu
Reviews: 217 reviews",http://cafepyrus.com/,Cafe Pyrus (Ye Zhu ),https://www.google.com/maps/contrib/118330945459591284897,https://lh5.googleusercontent.com/p/AF1QipPMD6chIJRTgttXRf90DK9Sns5-gOcqCeVCsHhF=w408-h324-k-no,Su Shi Can Ting ,"Su Shi Can Ting , Ka Pei Dian , Zheng Liu Ka Pei Ba , Wu Fu Zhi Shi Pin Can Ting , Chun Su Can Ting , Vegetarian cafe and deli",4.5,08:00-19:00,Open All Days,+1 519-954-7705,"Cafe Pyrus, 305 King St W, Kitchener, ON N2G 1B7Jia Na Da ","Na Tie , Rou Gui Juan , Zhuo You , Bi Dian ",https://www.google.com/maps/place/Cafe+Pyrus/data=!4m7!3m6!1s0x882bf4f3a6f09b65:0x2e72ad303781b58c!8m2!3d43.4515476!4d-80.4950025!16s%2Fg%2F1tdc18jp!19sChIJZZvwpvP0K4gRjLWBNzCtci4?authuser=0&hl=zh-TW&rclk=1
ChIJQdQ9MgH0K4gRRk-h-g8lqtQ,Sweet Dreams Teashop,,False,1085,"Name: Ri Chu Cha Tai 
link: https://www.google.com/maps/search/%E6%97%A5%E5%87%BA%E8%8C%B6%E5%A4%AA/@43.4773311,-80.52560609999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 710 reviews

Name: Now Tea Waterloo
link: https://www.google.com/maps/search/Now+Tea+Waterloo/@43.4753034,-80.5355464?authuser=0&hl=zh-TW&entry=ttu
Reviews: 501 reviews

Name: The Alley
link: https://www.google.com/maps/search/The+Alley/@43.4716865,-80.5385476?authuser=0&hl=zh-TW&entry=ttu
Reviews: 376 reviews

Name: The Bingsu
link: https://www.google.com/maps/search/The+Bingsu/@43.463424499999995,-80.5215315?authuser=0&hl=zh-TW&entry=ttu
Reviews: 238 reviews

Name: Xing Fu Tang Xing Fu Tang 
link: https://www.google.com/maps/search/Xing+Fu+Tang+%E5%B9%B8%E7%A6%8F%E5%A0%82/@43.4781252,-80.5373444?authuser=0&hl=zh-TW&entry=ttu
Reviews: 68 reviews",http://www.sweetdreamsteashop.com/,Sweet Dreams Teashop (Ye Zhu ),https://www.google.com/maps/contrib/106509101326567752629,https://lh5.googleusercontent.com/p/AF1QipMu_k9BkKx4DBVkhotxdDDM-o2gZt9uUXSYaHjg=w426-h240-k-no,Zhen Zhu Nai Cha Dian ,"Zhen Zhu Nai Cha Dian , Ka Pei Dian , Cha Yi Guan ",4.5,11:00-23:00,Open All Days,+1 519-747-2442,"Sweet Dreams Teashop, 170 University Ave W #14, Waterloo, ON N2L 3E9Jia Na Da ","Zhuo You , atmosphere, Ke Ai , Xue Sheng , Xiao Yuan , Zhen Guo , Wu Long Mian ",https://www.google.com/maps/place/Sweet+Dreams+Teashop/data=!4m7!3m6!1s0x882bf401323dd441:0xd4aa250ffaa14f46!8m2!3d43.4719444!4d-80.5391667!16s%2Fg%2F1tf7h99t!19sChIJQdQ9MgH0K4gRRk-h-g8lqtQ?authuser=0&hl=zh-TW&rclk=1
ChIJcevHznL0K4gRSPXcykDIW5k,Seven Shores,,False,1050,"Name: Pur & Simple
link: https://www.google.com/maps/search/P%C3%BCr+%26+Simple/@43.46537,-80.52220729999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1412 reviews

Name: Princess Cafe
link: https://www.google.com/maps/search/Princess+Cafe/@43.466498699999995,-80.5225789?authuser=0&hl=zh-TW&entry=ttu
Reviews: 615 reviews

Name: Cafe 22
link: https://www.google.com/maps/search/Caf%C3%A9+22/@43.464687999999995,-80.522047?authuser=0&hl=zh-TW&entry=ttu
Reviews: 389 reviews

Name: Veritas Cafe
link: https://www.google.com/maps/search/Veritas+Caf%C3%A9/@43.4738675,-80.5285739?authuser=0&hl=zh-TW&entry=ttu
Reviews: 69 reviews",http://www.sevenshores.ca/,Seven Shores (Ye Zhu ),https://www.google.com/maps/contrib/110058476845009729500,https://lh5.googleusercontent.com/p/AF1QipMEDVCResheOeNT2UIejqKsil8gD3-d3_2079od=w408-h272-k-no,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting , Ka Pei Dian , Can Ting ",4.6,07:00-17:00,Open All Days,+1 519-342-0916,"Seven Shores, 10 Regina St N, Waterloo, ON N2J 2Z7Jia Na Da ","Chun Juan , She Qu , vegan, Jian Kang Yin Shi , Si Kang , Wu Fu Zhi , Yan Mai ",https://www.google.com/maps/place/Seven+Shores/data=!4m7!3m6!1s0x882bf472cec7eb71:0x995bc840cadcf548!8m2!3d43.4660082!4d-80.5211829!16s%2Fg%2F1td4_hcw!19sChIJcevHznL0K4gRSPXcykDIW5k?authuser=0&hl=zh-TW&rclk=1
ChIJE-x3P-z0K4gR9JrcZMRW-oY,The Yeti Cafe,,False,1029,"Name: Cafe Pyrus
link: https://www.google.com/maps/search/Cafe+Pyrus/@43.4515476,-80.4950025?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1266 reviews

Name: Coffee Culture Cafe & Eatery
link: https://www.google.com/maps/search/Coffee+Culture+Caf%C3%A9+%26+Eatery/@43.4497479,-80.4893022?authuser=0&hl=zh-TW&entry=ttu
Reviews: 876 reviews

Name: Darlise Cafe
link: https://www.google.com/maps/search/Darlise+Cafe/@43.4492797,-80.48948659999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 614 reviews

Name: East African Cafe
link: https://www.google.com/maps/search/East+African+Cafe/@43.449636,-80.4911008?authuser=0&hl=zh-TW&entry=ttu
Reviews: 292 reviews

Name: Cafe Europe
link: https://www.google.com/maps/search/Cafe+Europe/@43.4486822,-80.49005059999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 73 reviews",http://theyeticafe.com/,The Yeti Cafe (Ye Zhu ),https://www.google.com/maps/contrib/118303020257397251939,https://lh5.googleusercontent.com/p/AF1QipMZ_xO1GeNNxSLdPnjHH9kmxcgqlyrJaFZDPNS5=w408-h408-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba , Zao Can Can Ting , Ka Pei Dian , Can Ting ",4.7,09:00-15:00,Xing Qi Ri ,+1 519-744-4643,"The Yeti Cafe, 14 Eby St N, Kitchener, ON N2H 2V6Jia Na Da ","Huai Yun , Zao Wu Can , Wen Qing , Shi Chang , Fa Shi Tu Si , Shu Bing ",https://www.google.com/maps/place/The+Yeti+Cafe/data=!4m7!3m6!1s0x882bf4ec3f77ec13:0x86fa56c464dc9af4!8m2!3d43.4482656!4d-80.4843046!16s%2Fg%2F12lk_dybw!19sChIJE-x3P-z0K4gR9JrcZMRW-oY?authuser=0&hl=zh-TW&rclk=1
ChIJgf8gDkr0K4gRdJ4yLWYB2bE,Tim Hortons,,False,1025,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@43.4364552,-80.5124987?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3017 reviews

Name: Wendy's
link: https://www.google.com/maps/search/Wendy%27s/@43.4406901,-80.5213705?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1329 reviews

Name: Harvey's
link: https://www.google.com/maps/search/Harvey%27s/@43.4358005,-80.5125869?authuser=0&hl=zh-TW&entry=ttu
Reviews: 663 reviews

Name: Tim Hortons
link: https://www.google.com/maps/search/Tim+Hortons/@43.423471199999994,-80.5534557?authuser=0&hl=zh-TW&entry=ttu
Reviews: 560 reviews

Name: Thyme Pizza & Rolls
link: https://www.google.com/maps/search/Thyme+Pizza+%26+Rolls/@43.42570020000001,-80.5450628?authuser=0&hl=zh-TW&entry=ttu
Reviews: 215 reviews",http://locations.timhortons.ca/on/kitchener/340-westmount-rd-west,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/117847511324564858145,https://lh5.googleusercontent.com/p/AF1QipM4OOAxma8DrLyS0ymVLvYYeYab8WYashPxJ1BD=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.5,24 Xiao Shi Ying Ye ,Open All Days,+1 519-744-1585,"Tim Hortons, 340 Westmount Rd W, Kitchener, ON N2M 5C4Jia Na Da ","De Lai Su , Tian Tian Quan , Bei Guo , Chuang , Xun Lian , Yu Shi , Xing Wei ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x882bf44a0e20ff81:0xb1d901662d329e74!8m2!3d43.4398494!4d-80.5207743!16s%2Fg%2F11xdfwq6f!19sChIJgf8gDkr0K4gRdJ4yLWYB2bE?authuser=0&hl=zh-TW&rclk=1
ChIJf93czgb0K4gR2anL3Rkcy3c,Williams Fresh Cafe,,False,987,"Name: Mel's Diner
link: https://www.google.com/maps/search/Mel%27s+Diner/@43.4728911,-80.5355579?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1943 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@43.473433799999995,-80.5462204?authuser=0&hl=zh-TW&entry=ttu
Reviews: 126 reviews

Name: The Bauer Bakery & Cafe
link: https://www.google.com/maps/search/The+Bauer+Bakery+%26+Caf%C3%A9/@43.4597923,-80.5189242?authuser=0&hl=zh-TW&entry=ttu
Reviews: 121 reviews

Name: Veritas Cafe
link: https://www.google.com/maps/search/Veritas+Caf%C3%A9/@43.4738675,-80.5285739?authuser=0&hl=zh-TW&entry=ttu
Reviews: 69 reviews",https://williamsfreshcafe.com/,Williams Fresh Cafe (Ye Zhu ),https://www.google.com/maps/contrib/118089278418888612641,https://lh5.googleusercontent.com/p/AF1QipN2U9nGLFSTh6Bfk5VGAaL1z_6loRLhkR6oD4De=w428-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting , Dao Hui Fu Wu , Ka Pei Dian , Tian Pin Dian , Wu Can Can Ting ",4.1,08:00-22:00,Open All Days,+1 519-888-7254,"Williams Fresh Cafe, 170 University Ave W, Waterloo, ON N2L 3E9Jia Na Da ","Song Bing , Da Xue , Bei Guo , Luo Li , Pei Gen , He , Xiao Yuan , Juan Bing , Fan Qie Tang , Bi Dian ",https://www.google.com/maps/place/Williams+Fresh+Cafe/data=!4m7!3m6!1s0x882bf406cedcdd7f:0x77cb1c19ddcba9d9!8m2!3d43.4724112!4d-80.5386593!16s%2Fg%2F1hc3lbkwp!19sChIJf93czgb0K4gR2anL3Rkcy3c?authuser=0&hl=zh-TW&rclk=1
