place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJAQAhpH4ABDQRJ9C5gcbz0II,Ban Lu Ka Pei ,,False,682,"Name: The Cupping Room (Shang Huan )
link: https://www.google.com/maps/search/The+Cupping+Room+%28%E4%B8%8A%E7%92%B0%29/@22.2850412,114.15055179999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 849 reviews

Name: Barista Jam
link: https://www.google.com/maps/search/Barista+Jam/@22.285622,114.150544?authuser=0&hl=zh-TW&entry=ttu
Reviews: 419 reviews

Name: Common Ground
link: https://www.google.com/maps/search/Common+Ground/@22.2831659,114.15079709999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 227 reviews

Name: Detour
link: https://www.google.com/maps/search/Detour/@22.2866195,114.1427858?authuser=0&hl=zh-TW&entry=ttu
Reviews: 190 reviews

Name: Flash Coffee
link: https://www.google.com/maps/search/Flash+Coffee/@22.285964,114.15339290000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews",https://instagram.com/halfwaycoffee,Ban Lu Ka Pei  (Ye Zhu ),https://www.google.com/maps/contrib/103648958868667790196,https://lh5.googleusercontent.com/p/AF1QipMBXmUE1JyXgyHHOoWLieiSURCVMQ8NiVrlz_Xb=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,08:00-18:00,Open All Days,2606 1160,Shang Huan Mo Luo Shang Jie 26Hao Ban Lu Ka Pei ,"flat white, Gu Dong , Ci , Fu Gu , Long Yan , Jia Ju , Ning Meng Ta , Suan Zhong , Cha Bei ",https://www.google.com/maps/place/%E5%8D%8A%E8%B7%AF%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x3404007ea4210001:0x82d0f3c681b9d027!8m2!3d22.2847563!4d114.1497161!16s%2Fg%2F11dfv58r80!19sChIJAQAhpH4ABDQRJ9C5gcbz0II?authuser=0&hl=zh-TW&rclk=1
ChIJ8QWaCkQBBDQRY5tcpyfLPJ4,Marouf Coffee,,False,87,,https://maroufcoffee.com/,Marouf Coffee (Ye Zhu ),https://www.google.com/maps/contrib/118313930912894514516,https://lh5.googleusercontent.com/p/AF1QipPKI_Hrn_qW0AbB6UnZN-7HyDcoME3MtiHY7wAo=w408-h510-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,08:00-21:00,Open All Days,,"Shop 3, Ground Floor, Marouf Coffee, 8 Observatory Rd, Tsim Sha Tsui","Xiang , Tian , Kai Xin Guo , Kou Gan , Zhuang Xiu , Wai Mai , bagel, Ku , tiramisu, Jia ",https://www.google.com/maps/place/Marouf+Coffee/data=!4m7!3m6!1s0x340401440a9a05f1:0x9e3ccb27a75c9b63!8m2!3d22.3011024!4d114.1756731!16s%2Fg%2F11kq5djb6b!19sChIJ8QWaCkQBBDQRY5tcpyfLPJ4?authuser=0&hl=zh-TW&rclk=1
ChIJzbWVD6IBBDQRDd1GvJ6N3ac,Bow Coffee,,False,80,"Name: Crew (Wan Zi )
link: https://www.google.com/maps/search/Crew+%28%E7%81%A3%E4%BB%94%29/@22.2754402,114.1713133?authuser=0&hl=zh-TW&entry=ttu
Reviews: 105 reviews

Name: BOOK cafe
link: https://www.google.com/maps/search/BOOK+caf%C3%A9/@22.276830099999998,114.17361439999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews",https://www.instagram.com/bowcoffee.hk/,Bow Coffee (Ye Zhu ),https://www.google.com/maps/contrib/111892972544952418623,https://lh5.googleusercontent.com/p/AF1QipM8E-mcvlGlg3qDGw6Dlyt4PGdjfmd0kv1QI2U=w408-h272-k-no,Ka Pei Dian ,Ka Pei Dian ,4.2,08:00-18:00,Open All Days,,"Bow Coffee, Di Hou Shang Ye Zhong Xin  Xiang Gang Wan Zi Huang Hou Da Dao Dong 58-64Hao Di Hou Shang Ye Zhong Xin Di Xia A-DPu  G/F, 58-64 Queen's Rd E, Admiralty","Bei Guo , Duo Shi , La Hua , espresso, honey, Suan Zhong , Bao Xian , cream cheese, atmosphere, flat white",https://www.google.com/maps/place/Bow+Coffee/data=!4m7!3m6!1s0x340401a20f95b5cd:0xa7dd8d9ebc46dd0d!8m2!3d22.2768342!4d114.1692637!16s%2Fg%2F11p55rjhlf!19sChIJzbWVD6IBBDQRDd1GvJ6N3ac?authuser=0&hl=zh-TW&rclk=1
ChIJ2eF6GUYBBDQROo-1ipndnRA,COFFEE Lover Cafe,,False,41,"Name: MG Cafe
link: https://www.google.com/maps/search/MG+Cafe/@22.3129003,114.2172106?authuser=0&hl=zh-TW&entry=ttu
Reviews: 363 reviews

Name: Pei Nu 
link: https://www.google.com/maps/search/%E5%95%A1%E5%A5%B4/@22.3120491,114.22117100000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 247 reviews

Name: COTI (Fu Lin Ji Tuan )
link: https://www.google.com/maps/search/COTI+%28%E5%AF%8C%E8%87%A8%E9%9B%86%E5%9C%98%29/@22.307656599999998,114.2247865?authuser=0&hl=zh-TW&entry=ttu
Reviews: 117 reviews

Name: Li Huo Ka Pei Yan Jiu Suo  Quench Coffee Labo
link: https://www.google.com/maps/search/%E9%9B%A2%E7%81%AB%E5%92%96%E5%95%A1%E7%A0%94%E7%A9%B6%E6%89%80+Quench+Coffee+Labo/@22.3128723,114.2242359?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews",http://www.wingyipcoffee.com/,COFFEE Lover Cafe (Ye Zhu ),https://www.google.com/maps/contrib/107817041062258640254,https://lh5.googleusercontent.com/p/AF1QipNp5ib6YZYOFJXTZwLd4ia66sTt50ykTuJQCW2J=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.1,10:00-19:00,Xing Qi Ri ,5241 6768,"Kwun Tong, How Ming St, 94-96Hao Hong Tu Zhong Xin COFFEE Lover Cafe 3/F",,https://www.google.com/maps/place/COFFEE+Lover+Cafe/data=!4m7!3m6!1s0x34040146197ae1d9:0x109ddd998ab58f3a!8m2!3d22.3128786!4d114.220335!16s%2Fg%2F12hk71yr1!19sChIJ2eF6GUYBBDQROo-1ipndnRA?authuser=0&hl=zh-TW&rclk=1
ChIJ1_F-xAQBBDQRNbY0hzxGBQc,Cha Ji Jia Bei  Xi Jiu Dian ,,False,35,"Name: Gang Wan Xiao Guan 
link: https://www.google.com/maps/search/%E6%B8%AF%E7%81%A3%E5%B0%8F%E9%A4%A8/@22.298909599999998,114.1557141?authuser=0&hl=zh-TW&entry=ttu
Reviews: 320 reviews

Name: ADD+
link: https://www.google.com/maps/search/ADD%2B/@22.300415100000002,114.15902410000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 139 reviews

Name: Crepes & Bakes
link: https://www.google.com/maps/search/Crepes+%26+Bakes/@22.301405,114.1547184?authuser=0&hl=zh-TW&entry=ttu
Reviews: 128 reviews

Name: Cupping Room - HK Palace Museum
link: https://www.google.com/maps/search/Cupping+Room+-+HK+Palace+Museum/@22.3019326,114.15467280000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews",http://www.facebook.com/wabisabicoffee,Cha Ji Jia Bei  Xi Jiu Dian  (Ye Zhu ),https://www.google.com/maps/contrib/110578873954307230979,https://lh5.googleusercontent.com/p/AF1QipM0NNsRFSHFg4IrS4vRPicStE-stgyJsSAkBj3H=w532-h240-k-no,Yi Lang Ka Pei Ting ,Yi Lang Ka Pei Ting ,3.5,11:00-22:00,Open All Days,5282 8432,Jian Sha Ju Bo Wu Guan Dao 20-22Hao Di Xia GF-05Pu Xi Jiu Wen Hua Qu Yi Shu Gong Yuan  Cha Ji Jia Bei  Xi Jiu Dian ,"Jia Qian , latte, Bei ",https://www.google.com/maps/place/%E4%BE%98%E5%AF%82%E7%8F%88%E7%90%B2+%E8%A5%BF%E4%B9%9D%E5%BA%97/data=!4m7!3m6!1s0x34040104c47ef1d7:0x705463c8734b635!8m2!3d22.2988756!4d114.1558921!16s%2Fg%2F11lx6vjd23!19sChIJ1_F-xAQBBDQRNbY0hzxGBQc?authuser=0&hl=zh-TW&rclk=1
ChIJdZR6CcgBBDQRkoq_uedFpP4,Ru Pei ,,False,26,"Name: Urban Coffee Roaster (Causeway Bay)
link: https://www.google.com/maps/search/Urban+Coffee+Roaster+%28Causeway+Bay%29/@22.2819838,114.1857915?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews

Name: NINETYs (Causeway Bay)
link: https://www.google.com/maps/search/NINETYs+%28Causeway+Bay%29/@22.2787214,114.18541110000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 178 reviews

Name: NOC
link: https://www.google.com/maps/search/NOC/@22.278053099999997,114.1852254?authuser=0&hl=zh-TW&entry=ttu
Reviews: 177 reviews

Name: Uncle Ben Coffee
link: https://www.google.com/maps/search/Uncle+Ben+Coffee/@22.288380999999998,114.19175059999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews

Name: Beyond Coffee & Bar
link: https://www.google.com/maps/search/Beyond+Coffee+%26+Bar/@22.2776316,114.1819511?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews",https://instagram.com/rollingcoffeebrewery,Ru Pei  (Ye Zhu ),https://www.google.com/maps/contrib/111629405802122193735,https://lh5.googleusercontent.com/p/AF1QipNbqxEWcCoe65cY7Mv1ioYoFd4K4QAtAlVI2w-h=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Can Ting ",4.7,11:00-21:00,Open All Days,6933 2644,"155 & 156Pu , Ru Pei Fu Jing Shang Chang 18Hao  Siu Sai Wan Rd, Chai Wan",Ka Pei Shi ,https://www.google.com/maps/place/%E5%A6%82%E5%95%A1/data=!4m7!3m6!1s0x340401c8097a9475:0xfea445e7b9bf8a92!8m2!3d22.2625651!4d114.2513555!16s%2Fg%2F11qp13x33k!19sChIJdZR6CcgBBDQRkoq_uedFpP4?authuser=0&hl=zh-TW&rclk=1
ChIJSdCqMHf_AzQRTVyfzhyTYtQ,He Guang Ka Pei Wu ,,False,20,"Name: NOC
link: https://www.google.com/maps/search/NOC/@22.287696699999998,114.13930309999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 736 reviews

Name: Winstons Coffee (Sai Ying Pun)
link: https://www.google.com/maps/search/Winstons+Coffee+%28Sai+Ying+Pun%29/@22.287039999999998,114.14427200000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 685 reviews

Name: Ban Lu Ka Pei 
link: https://www.google.com/maps/search/%E5%8D%8A%E8%B7%AF%E5%92%96%E5%95%A1/@22.284756299999998,114.14971609999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 680 reviews

Name: Detour
link: https://www.google.com/maps/search/Detour/@22.2866195,114.1427858?authuser=0&hl=zh-TW&entry=ttu
Reviews: 190 reviews

Name: Bu Zi Shi Ka Pei 
link: https://www.google.com/maps/search/%E4%B8%8D%E7%B1%BD%E6%98%AF%E5%92%96%E5%95%A1/@22.287443099999997,114.1412903?authuser=0&hl=zh-TW&entry=ttu
Reviews: 42 reviews",https://www.instagram.com/wako2ffee_house/,He Guang Ka Pei Wu  (Ye Zhu ),https://www.google.com/maps/contrib/104264844482582512149,https://lh5.googleusercontent.com/p/AF1QipM1bThA5GrTqEoM8nw80ol_tHprQpDBvslmX8Jc=w428-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4,11:00-20:00,Xing Qi San ,9231 2858,"SHOP NO.2 & 2A, He Guang Ka Pei Wu  ONE ARTLANE, 8 Chung Ching St, Sai Ying Pun","cream, Tian , Gan , tiramisu, Shui Guo , Zhen , Bei Cha , Chong Wu , Kou Gan , Mo Cha ",https://www.google.com/maps/place/%E5%92%8C%E5%85%89%E5%92%96%E5%95%A1%E5%B1%8B/data=!4m7!3m6!1s0x3403ff7730aad049:0xd462931cce9f5c4d!8m2!3d22.2873277!4d114.1411901!16s%2Fg%2F11s1tzmpd4!19sChIJSdCqMHf_AzQRTVyfzhyTYtQ?authuser=0&hl=zh-TW&rclk=1
ChIJyYMBw3v5AzQRbj2MNAYwT8M,FUWAFUWA COFFEE,,False,19,"Name: Xiao Lin Si 
link: https://www.google.com/maps/search/%E7%AC%91%E6%9E%97%E5%AF%BA/@22.2770224,114.1804497?authuser=0&hl=zh-TW&entry=ttu
Reviews: 153 reviews

Name: Chi Cha chiyoubo (Tong Luo Wan )
link: https://www.google.com/maps/search/%E5%96%AB%E8%8C%B6%E3%81%A1%E3%82%87%E3%81%86%E3%81%BC+%28%E9%8A%85%E9%91%BC%E7%81%A3%29/@22.2818984,114.18412119999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 69 reviews

Name: Pei Ren Qian  Coffeer
link: https://www.google.com/maps/search/%E5%95%A1%E4%BA%BA%E5%89%8D+Coffeer/@22.2777158,114.1847377?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: Fu&#39;s Around Cafe
link: https://www.google.com/maps/search/Fu%26%2339%3Bs+Around+Cafe/@22.2775562,114.18227069999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://fuwafuwa.coffee/,FUWAFUWA COFFEE (Ye Zhu ),https://www.google.com/maps/contrib/104392032485115401848,https://lh5.googleusercontent.com/p/AF1QipPk99ggHTue0zzhOb87DRuN1QLaWVz-pyaJQ9sO=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",4.8,12:00-19:00,"Xing Qi Er , Xing Qi San ",9471 4904,"G/F, FUWAFUWA COFFEE, Dian Ye Cheng 505 Hennessy Rd, Causeway Bay",Dan Gao ,https://www.google.com/maps/place/FUWAFUWA+COFFEE/data=!4m7!3m6!1s0x3403f97bc30183c9:0xc34f3006348c3d6e!8m2!3d22.2802968!4d114.183298!16s%2Fg%2F11rd3lshh9!19sChIJyYMBw3v5AzQRbj2MNAYwT8M?authuser=0&hl=zh-TW&rclk=1
ChIJa_lU9G0BBDQR27m_PqAKQEE,Kafeyawn,,False,,,https://www.kafeyawn.com/,Kafeyawn (Ye Zhu ),https://www.google.com/maps/contrib/105672619975114004141,https://lh5.googleusercontent.com/p/AF1QipMVrx_aBqp-332gDztE5N5bRa89ME05rDfTzNiZ=w408-h349-k-no,Ka Pei Dian ,"Ka Pei Dian , Dian Zi Shang Wu Fu Wu ",,12:00-20:00,"Xing Qi Liu , Xing Qi Ri ",6828 3081,"Room 205, Kafeyawn, Jing Mian Gong Ye Da Sha  12, 2/F Hung To Rd, Ngau Tau Kok",,https://www.google.com/maps/place/Kafeyawn/data=!4m7!3m6!1s0x3404016df454f96b:0x41400aa03ebfb9db!8m2!3d22.3136985!4d114.2185936!16s%2Fg%2F11vdlf4yzl!19sChIJa_lU9G0BBDQR27m_PqAKQEE?authuser=0&hl=zh-TW&rclk=1
ChIJrcWWl_77AzQRWR1WLZ4RBUs,The Way Coffee,,False,31,"Name: Cruising Specialty Coffee
link: https://www.google.com/maps/search/Cruising+Specialty+Coffee/@22.4472299,114.0278032?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews

Name: Find The Way
link: https://www.google.com/maps/search/Find+The+Way/@22.4459943,114.0218804?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: APRIL COFFEE LAB
link: https://www.google.com/maps/search/APRIL+COFFEE+LAB/@22.4417363,114.02596869999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 50 reviews

Name: Wei Jin 
link: https://www.google.com/maps/search/%E5%94%AF%E4%BB%8A/@22.4410059,114.0303897?authuser=0&hl=zh-TW&entry=ttu
Reviews: 40 reviews

Name: Zhuang Ji Ka Pei 
link: https://www.google.com/maps/search/%E8%8E%8A%E8%A8%98%E5%92%96%E5%95%A1/@22.44368,114.028527?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews",,The Way Coffee (Ye Zhu ),https://www.google.com/maps/contrib/117241928556464208442,https://lh5.googleusercontent.com/p/AF1QipPd_apNwmUuo2Zkmn5hxImrfgXqs-fDreNds2R0=w408-h862-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,09:00-18:00,Open All Days,6693 1514,Yuan Lang He Yi Lu 9-15Hao Di Xia HHao Pu Ji Ye Lou The Way Coffee,,https://www.google.com/maps/place/The+Way+Coffee/data=!4m7!3m6!1s0x3403fbfe9796c5ad:0x4b05119e2d561d59!8m2!3d22.4415748!4d114.0318149!16s%2Fg%2F11rq64rjhd!19sChIJrcWWl_77AzQRWR1WLZ4RBUs?authuser=0&hl=zh-TW&rclk=1
