place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJRfhTonpOwUcRjKK61pGU07k,Brasserie O,,False,1165,"Name: Lunch Garden Olen
link: https://www.google.com/maps/search/Lunch+Garden+Olen/@51.1518139,4.9022258?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1857 reviews

Name: Den Hertog
link: https://www.google.com/maps/search/Den+Hertog/@51.1864737,4.9045564?authuser=0&hl=zh-TW&entry=ttu
Reviews: 477 reviews

Name: Het Gerecht
link: https://www.google.com/maps/search/Het+Gerecht/@51.1552778,4.9011111?authuser=0&hl=zh-TW&entry=ttu
Reviews: 170 reviews

Name: 't Compromis
link: https://www.google.com/maps/search/%27t+Compromis/@51.14569,4.8571053?authuser=0&hl=zh-TW&entry=ttu
Reviews: 107 reviews

Name: Ontbijthuis Oud Oolen
link: https://www.google.com/maps/search/Ontbijthuis+Oud+Oolen/@51.1439552,4.8579545?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews",http://www.brasserieo-olen.be/,Brasserie O (Ye Zhu ),https://www.google.com/maps/contrib/101363146796268258253,https://lh5.googleusercontent.com/p/AF1QipMiqvlc1ay7QGeSMeEsvqUnMuQsIYkRsn-6NDN4=w408-h408-k-no,Fa Shi Can Ting ,"Fa Shi Can Ting , Pi Jiu Hua Yuan , Ji Wei Jiu Jiu Ba , Ka Pei Dian , Mei Shi Can Che Dian , Wu Can Can Ting , Can Ting , Cha Yi Guan ",4.1,10:00-22:00,Open All Days,+32 14 75 34 80,"Brasserie O, Lammerdries 4, 2250 Olen, Bi Li Shi ","Yuan Gong , Xiao Chi , Shang Chang , Jiao Huai , Yi Da Li Mian , Diao Jiu ",https://www.google.com/maps/place/Brasserie+O/data=!4m7!3m6!1s0x47c14e7aa253f845:0xb9d39491d6baa28c!8m2!3d51.1512107!4d4.9022679!16s%2Fg%2F11f0kqqbfg!19sChIJRfhTonpOwUcRjKK61pGU07k?authuser=0&hl=zh-TW&rclk=1
ChIJNXETTadPwUcR2nNEm2NlwHo,Torenhof,,False,1158,"Name: Den Anker
link: https://www.google.com/maps/search/Den+Anker/@51.0862473,4.9168204?authuser=0&hl=zh-TW&entry=ttu
Reviews: 456 reviews

Name: Bar Jardin brasserie
link: https://www.google.com/maps/search/Bar+Jardin+brasserie/@51.0741843,4.8769363?authuser=0&hl=zh-TW&entry=ttu
Reviews: 403 reviews

Name: Bistro Orangerie
link: https://www.google.com/maps/search/Bistro+Orangerie/@51.087352700000004,4.918899?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: Torenhof bakkerij - ijskafee
link: https://www.google.com/maps/search/Torenhof+bakkerij+-+ijskafee/@51.1024551,4.906692?authuser=0&hl=zh-TW&entry=ttu
Reviews: 63 reviews",https://www.feestzalen-restaurant.be/,Torenhof (Ye Zhu ),https://www.google.com/maps/contrib/105222660331663741256,https://lh5.googleusercontent.com/p/AF1QipNqIAbcNahdnWcaHpRgVqXjmGBNScVhZrONrBnv=w408-h259-k-no,Can Ting ,Can Ting ,4.2,11:30-20:00,"Xing Qi Yi , Xing Qi Er ",+32 14 54 43 91,"Torenhof, Geneinde 1, 2260 Westerlo, Bi Li Shi ","Tian Tong , Hua Yuan , Yuan Gong , Ju Hui , Zi Zhu Zao Can , Song Bing , Jiao Huai ",https://www.google.com/maps/place/Torenhof/data=!4m7!3m6!1s0x47c14fa74d137135:0x7ac065639b4473da!8m2!3d51.1026078!4d4.9065299!16s%2Fg%2F1vd9474d!19sChIJNXETTadPwUcR2nNEm2NlwHo?authuser=0&hl=zh-TW&rclk=1
ChIJvUNzYMFOwUcRvyPM9tlD7pk,Action Westerlo,,False,966,"Name: ALDI
link: https://www.google.com/maps/search/ALDI/@51.0893326,4.9137338?authuser=0&hl=zh-TW&entry=ttu
Reviews: 677 reviews

Name: Kwantum
link: https://www.google.com/maps/search/Kwantum/@51.131001600000005,4.9393818?authuser=0&hl=zh-TW&entry=ttu
Reviews: 256 reviews

Name: WEBSHOP-OUTLET Westerlo
link: https://www.google.com/maps/search/WEBSHOP-OUTLET+Westerlo/@51.130871600000006,4.9405851?authuser=0&hl=zh-TW&entry=ttu
Reviews: 251 reviews

Name: Standaard Boekhandel
link: https://www.google.com/maps/search/Standaard+Boekhandel/@51.0875913,4.9180337?authuser=0&hl=zh-TW&entry=ttu
Reviews: 128 reviews

Name: Saz
link: https://www.google.com/maps/search/Saz/@51.0875057,4.917916099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.action.com/nl-be/winkels/%3Futm_campaign%3Dlocalbusiness%26utm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_content%3D2006,Action Westerlo (Ye Zhu ),https://www.google.com/maps/contrib/107164843539638086672,https://lh5.googleusercontent.com/p/AF1QipMvqS0WzawcQUbO49PTz476B9xgMPX3cbozznbQ=w408-h306-k-no,Za Huo Dian ,"Za Huo Dian , Jia Ting Zhuang Xiu  DIY Bai Huo Mai Chang , Jia Dian , Li Pin Dian , Wan Ju Mo Xing Dian , Jia Ju Yong Pin Dian , Pai Dui Zhuang Shi Yong Pin Dian , Chong Wu Dian , Jiao Xue Yong Pin Dian , Pi Fa Dian ",4.2,09:00-18:00,Open All Days,+32 2 313 50 66,"Action Westerlo, Bell-Telephonelaan 1/2, 2260 Westerlo, Bi Li Shi ","Jia Ge , Yuan Gong , Shou Yin Ji , Ting Che , Ya Li , Pin Zhi , Liao , Gong Ying , Sao Miao ",https://www.google.com/maps/place/Action+Westerlo/data=!4m7!3m6!1s0x47c14ec1607343bd:0x99ee43d9f6cc23bf!8m2!3d51.1323441!4d4.9399779!16s%2Fg%2F1pxws9_xf!19sChIJvUNzYMFOwUcRvyPM9tlD7pk?authuser=0&hl=zh-TW&rclk=1
ChIJt-qfW2VPwUcR3bmWSdJWK6g,Den Anker,,False,457,"Name: Torenhof
link: https://www.google.com/maps/search/Torenhof/@51.102607799999994,4.9065299?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1158 reviews

Name: Bar Jardin brasserie
link: https://www.google.com/maps/search/Bar+Jardin+brasserie/@51.0741843,4.8769363?authuser=0&hl=zh-TW&entry=ttu
Reviews: 403 reviews

Name: W E S T E L H O F
link: https://www.google.com/maps/search/W+E+S+T+E+L+H+O+F/@51.0857502,4.9163882?authuser=0&hl=zh-TW&entry=ttu
Reviews: 293 reviews

Name: 't Duvels genot
link: https://www.google.com/maps/search/%27t+Duvels+genot/@51.0874071,4.9182635999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews",http://www.brasseriedenanker.be/,Den Anker (Ye Zhu ),https://www.google.com/maps/contrib/100443378658903870588,https://lh5.googleusercontent.com/p/AF1QipO3j6MJsQCb-qhakemHKM_7xMQWaKq8x88gHt9b=w426-h240-k-no,Fa Shi Can Ting ,Fa Shi Can Ting ,4.3,11:00-23:00,"Xing Qi Yi , Xing Qi Er ",+32 14 72 83 52,"Den Anker, Polderstraat 1/A, 2260 Westerlo, Bi Li Shi ","Jia Ge , Di Tu , Xiao Chi , Chu Shi , Jian Xing , Yuan Gong , Niu Pai ",https://www.google.com/maps/place/Den+Anker/data=!4m7!3m6!1s0x47c14f655b9feab7:0xa82b56d24996b9dd!8m2!3d51.0862473!4d4.9168204!16s%2Fg%2F1pxwh_cp8!19sChIJt-qfW2VPwUcR3bmWSdJWK6g?authuser=0&hl=zh-TW&rclk=1
ChIJTZbVWW5PwUcR_zu3PpFfUBc,Suskewiet,,False,366,"Name: Sooi Van 't Hof
link: https://www.google.com/maps/search/Sooi+Van+%27t+Hof/@51.0992994,4.9083761?authuser=0&hl=zh-TW&entry=ttu
Reviews: 301 reviews

Name: W E S T E L H O F
link: https://www.google.com/maps/search/W+E+S+T+E+L+H+O+F/@51.0857502,4.9163882?authuser=0&hl=zh-TW&entry=ttu
Reviews: 293 reviews

Name: Gildenhuis
link: https://www.google.com/maps/search/Gildenhuis/@51.0906178,4.9190442999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 75 reviews

Name: Het Rijk Der Zinnen
link: https://www.google.com/maps/search/Het+Rijk+Der+Zinnen/@51.0847828,4.915148299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 69 reviews",http://www.suskewiet.be/,Suskewiet (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMvXqpa2mUNITIh7R5GauHYU4Kzosv_ZEZUnUk-=w426-h240-k-no,Cha Yi Guan ,Cha Yi Guan ,4.4,11:00-20:30,"Xing Qi Si , Xing Qi Wu ",+32 14 54 00 49,"Suskewiet, Sint-Lambertusstraat 27, 2260 Westerlo, Bi Li Shi ","Jia Ge , Song Bing , Pin Zhi , Can Jiu Guan , Yi Da Li Mian , Yuan Gong , Xiao Chi , Chu Fang ",https://www.google.com/maps/place/Suskewiet/data=!4m7!3m6!1s0x47c14f6e59d5964d:0x17505f913eb73bff!8m2!3d51.0897222!4d4.9191667!16s%2Fg%2F1tfg276c!19sChIJTZbVWW5PwUcR_zu3PpFfUBc?authuser=0&hl=zh-TW&rclk=1
ChIJB_s1HAtPwUcRrOB0ZddCllE,Sooi Van 't Hof,,False,301,"Name: Torenhof
link: https://www.google.com/maps/search/Torenhof/@51.102607799999994,4.9065299?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1158 reviews

Name: Suskewiet
link: https://www.google.com/maps/search/Suskewiet/@51.0897222,4.9191667?authuser=0&hl=zh-TW&entry=ttu
Reviews: 366 reviews

Name: W E S T E L H O F
link: https://www.google.com/maps/search/W+E+S+T+E+L+H+O+F/@51.0857502,4.9163882?authuser=0&hl=zh-TW&entry=ttu
Reviews: 293 reviews

Name: Gildenhuis
link: https://www.google.com/maps/search/Gildenhuis/@51.0906178,4.9190442999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 75 reviews",https://www.opcafegaan.be/westerlo/sooi-van-t-hof,Sooi Van 't Hof (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNidXzbZEuNjyTxyWk1pYHPYFeNul3V1aFeM_3H=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,09:00-23:00,"Xing Qi Er , Xing Qi San ",+32 14 54 42 34,"Sooi Van 't Hof, Boerenkrijglaan 191, 2260 Westerlo, Bi Li Shi ","Pi Jiu , Jian Xing , Jiao Ta Che , Jia Ge ",https://www.google.com/maps/place/Sooi+Van+%27t+Hof/data=!4m7!3m6!1s0x47c14f0b1c35fb07:0x519642d76574e0ac!8m2!3d51.0992994!4d4.9083761!16s%2Fg%2F1pxw2c3_w!19sChIJB_s1HAtPwUcRrOB0ZddCllE?authuser=0&hl=zh-TW&rclk=1
ChIJjQVckLRRwUcRbavIEVazoHw,Berkemus,,False,244,"Name: the Brigand
link: https://www.google.com/maps/search/the+Brigand/@51.175190199999996,4.837246599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 273 reviews

Name: De Kluis
link: https://www.google.com/maps/search/De+Kluis/@51.1932961,4.8477581?authuser=0&hl=zh-TW&entry=ttu
Reviews: 117 reviews

Name: Cafe Den Bolle
link: https://www.google.com/maps/search/Caf%C3%A9+Den+Bolle/@51.1227976,4.8245594?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Valoma bvba
link: https://www.google.com/maps/search/Valoma+bvba/@51.1235028,4.8249856?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.hln.be/in-de-buurt/herentals/luc-en-annemie-nieuwe-eigenaars-cafe-berkemus~a07fd622/,Berkemus (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM_Ks13q80imCMd2S3E3dUTa8a2VEfCo7RkgjDm=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4,10:00-00:00,Xing Qi Yi ,+32 471 38 41 64,"Berkemus, Voortkapelseweg 2, 2200 Herentals, Bi Li Shi ",,https://www.google.com/maps/place/Berkemus/data=!4m7!3m6!1s0x47c151b4905c058d:0x7ca0b35611c8ab6d!8m2!3d51.123813!4d4.8258339!16s%2Fg%2F1thzn12z!19sChIJjQVckLRRwUcRbavIEVazoHw?authuser=0&hl=zh-TW&rclk=1
ChIJ96OIscFRwUcRGu8cRp7UD-Q,Welcome Bvba,,False,231,"Name: De Zuuten Inval
link: https://www.google.com/maps/search/De+Zuuten+Inval/@51.1757054,4.83691?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews

Name: Cafe De Welkom
link: https://www.google.com/maps/search/Cafe+De+Welkom/@51.0868184,4.8365749?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews

Name: Pc Noorderwijk
link: https://www.google.com/maps/search/Pc+Noorderwijk/@51.1398793,4.8394803?authuser=0&hl=zh-TW&entry=ttu
Reviews: 68 reviews

Name: Koffiehuisje
link: https://www.google.com/maps/search/Koffiehuisje/@51.1410312,4.839896599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: Pop Coffee
link: https://www.google.com/maps/search/Pop+Coffee/@51.1775449,4.833170900000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews",http://www.cafewelkom.be/,Welcome Bvba (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPa7CHUPoggwIaevi0evWJksVLebidIKWCzQJy3=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,11:00-02:00,"Xing Qi Yi , Xing Qi Er ",+32 14 27 72 95,"Welcome Bvba, Ring 20, 2200 Herentals, Bi Li Shi ","Pi Jiu , Jiao Ta Che , Shu Tiao ",https://www.google.com/maps/place/Welcome+Bvba/data=!4m7!3m6!1s0x47c151c1b188a3f7:0xe40fd49e461cef1a!8m2!3d51.1404915!4d4.8395481!16s%2Fg%2F1pxw36p82!19sChIJ96OIscFRwUcRGu8cRp7UD-Q?authuser=0&hl=zh-TW&rclk=1
ChIJ_YuzM7VPwUcRGolEyW_JB54,De Staminee,,False,202,"Name: Cafe 't Centrum
link: https://www.google.com/maps/search/Caf%C3%A9+%27t+Centrum/@51.0881195,4.9156531999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 175 reviews

Name: Boez
link: https://www.google.com/maps/search/Boez/@51.114098999999996,4.863542?authuser=0&hl=zh-TW&entry=ttu
Reviews: 136 reviews

Name: Cafe De Welkom
link: https://www.google.com/maps/search/Cafe+De+Welkom/@51.0868184,4.8365749?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews

Name: Plein 15
link: https://www.google.com/maps/search/Plein+15/@51.139282099999996,4.9056091?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews",https://www.toerismewesterlo.be/de-staminee,De Staminee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipME5mt4AQ4aqV6addr7t_apv07CsJK6ycp4xtd3=w408-h305-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,10:00-00:00,"Xing Qi Er , Xing Qi San ",+32 14 75 87 66,"De Staminee, Moleneinde 35, 2260 Westerlo, Bi Li Shi ","Yuan Gong , Fa Shi Can Ting ",https://www.google.com/maps/place/De+Staminee/data=!4m7!3m6!1s0x47c14fb533b38bfd:0x9e07c96fc944891a!8m2!3d51.1453196!4d4.9003423!16s%2Fg%2F11fnyzdvk9!19sChIJ_YuzM7VPwUcRGolEyW_JB54?authuser=0&hl=zh-TW&rclk=1
ChIJzy2iJ_VPwUcRYaqLLN5AMlo,Eet- en Praatcafe Marie,,False,202,"Name: Bar Jardin brasserie
link: https://www.google.com/maps/search/Bar+Jardin+brasserie/@51.0741843,4.8769363?authuser=0&hl=zh-TW&entry=ttu
Reviews: 403 reviews

Name: W E S T E L H O F
link: https://www.google.com/maps/search/W+E+S+T+E+L+H+O+F/@51.0857502,4.9163882?authuser=0&hl=zh-TW&entry=ttu
Reviews: 293 reviews

Name: Bistro Orangerie
link: https://www.google.com/maps/search/Bistro+Orangerie/@51.087352700000004,4.918899?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews",http://mariebrasserie.be/,Eet- en Praatcafe Marie (Ye Zhu ),https://www.google.com/maps/contrib/106353547662041984916,https://lh5.googleusercontent.com/p/AF1QipO7BmOFQc05r1aLciYd2RYzPbVu_nytnKm_r1Nb=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,10:00-23:00,"Xing Qi Yi , Xing Qi Ri ",+32 491 52 21 00,"Eet- en Praatcafe Marie, Bergveld 2, 2260 Westerlo, Bi Li Shi ","Jia Ge , Niu Pai , Pin Zhi , Fa Shi Can Ting ",https://www.google.com/maps/place/Eet-+en+Praatcaf%C3%A9+Marie/data=!4m7!3m6!1s0x47c14ff527a22dcf:0x5a3240de2c8baa61!8m2!3d51.086288!4d4.872134!16s%2Fg%2F11c2kkdmy_!19sChIJzy2iJ_VPwUcRYaqLLN5AMlo?authuser=0&hl=zh-TW&rclk=1
