place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ079jXsfS1IkRZ8_RG4Rvqss,McDonald's,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,3949,"Name: Wendy's
link: https://www.google.com/maps/search/Wendy%27s/@43.771899,-79.320602?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1247 reviews

Name: Popeyes Louisana Kitchen
link: https://www.google.com/maps/search/Popeyes+Louisana+Kitchen/@43.7644696,-79.3962571?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1007 reviews

Name: Pizza Pizza
link: https://www.google.com/maps/search/Pizza+Pizza/@43.769905,-79.37585?authuser=0&hl=zh-TW&entry=ttu
Reviews: 687 reviews

Name: Sunshine Spot
link: https://www.google.com/maps/search/Sunshine+Spot/@43.770105,-79.374742?authuser=0&hl=zh-TW&entry=ttu
Reviews: 360 reviews",https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MTk0NTQtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Ye Zhu ),https://www.google.com/maps/contrib/103786106427715176443,https://lh5.googleusercontent.com/p/AF1QipOZHqoQ3ekXCzlgyJwUzpcEsVNKGDQPiGdoehXF=w408-h306-k-no,Kuai Can Dian ,"Kuai Can Dian , Mei Shi Can Ting , Zao Can Can Ting , Ka Pei Ting , Han Bao Can Ting , Can Ting ",3.4,24 Xiao Shi Ying Ye ,Open All Days,+1 416-224-1145,"McDonald's, 1125 Sheppard Ave E, North York, ON M2K 1C5Jia Na Da ","De Lai Su , Ting Che , Yu Shi , Ju Wu Ba , Song Bing , Bing Ka Pei , IKEA, Cang Ying ",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x89d4d2c75e63bfd3:0xcbaa6f841bd1cf67!8m2!3d43.769855!4d-79.3706242!16s%2Fg%2F1tglzzqw!19sChIJ079jXsfS1IkRZ8_RG4Rvqss?authuser=0&hl=zh-TW&rclk=1
ChIJgW-LNkctK4gRRiyrNDeepDM,Cafe Landwer,,False,2522,"Name: Evviva Breakfast and Lunch
link: https://www.google.com/maps/search/Evviva+Breakfast+and+Lunch/@43.7712472,-79.4131377?authuser=0&hl=zh-TW&entry=ttu
Reviews: 611 reviews

Name: Another Land Coffee
link: https://www.google.com/maps/search/Another+Land+Coffee/@43.759337699999996,-79.41081849999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 297 reviews

Name: Yonge Cafe and Bistro
link: https://www.google.com/maps/search/Yonge+Cafe+and+Bistro/@43.7664305,-79.4128757?authuser=0&hl=zh-TW&entry=ttu
Reviews: 265 reviews

Name: Uptown Cafe & Eatery
link: https://www.google.com/maps/search/Uptown+Cafe+%26+Eatery/@43.772108499999995,-79.4131541?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Meryl's Cafe
link: https://www.google.com/maps/search/Meryl%27s+Cafe/@43.7660458,-79.4116098?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://landwer.ca/,Cafe Landwer (Ye Zhu ),https://www.google.com/maps/contrib/111264913696070239767,https://lh5.googleusercontent.com/p/AF1QipPqs93x_pGaLPIftsZZqKsP4aRq4OGlRYjD2Cfk=w408-h306-k-no,Can Ting ,"Can Ting , Ka Pei Dian , Jia Ting Can Ting , Di Zhong Hai Can Ting ",4.3,08:00-22:00,Open All Days,+1 416-226-5005,"Cafe Landwer, 5000 Yonge St, North York, ON M2N 7E9Jia Na Da ","Zao Wu Can , Na Tie , Ban Ni Di Ke Dan ",https://www.google.com/maps/place/Cafe+Landwer/data=!4m7!3m6!1s0x882b2d47368b6f81:0x33a49e3734ab2c46!8m2!3d43.7663341!4d-79.4124134!16s%2Fg%2F11j8hkw29v!19sChIJgW-LNkctK4gRRiyrNDeepDM?authuser=0&hl=zh-TW&rclk=1
ChIJVQ0SY2QtK4gRv8pxNdoNyKk,McDonald's,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,2518,"Name: Hero Certified Burgers
link: https://www.google.com/maps/search/Hero+Certified+Burgers/@43.759178999999996,-79.410775?authuser=0&hl=zh-TW&entry=ttu
Reviews: 916 reviews

Name: Five Guys
link: https://www.google.com/maps/search/Five+Guys/@43.762400299999996,-79.41076269999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 700 reviews

Name: Taco Bell
link: https://www.google.com/maps/search/Taco+Bell/@43.761654799999995,-79.4115729?authuser=0&hl=zh-TW&entry=ttu
Reviews: 549 reviews

Name: Fresh Burger Yonge st
link: https://www.google.com/maps/search/Fresh+Burger+Yonge+st/@43.7668275,-79.41194589999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 548 reviews

Name: A&W Canada
link: https://www.google.com/maps/search/A%26W+Canada/@43.762401,-79.411052?authuser=0&hl=zh-TW&entry=ttu
Reviews: 250 reviews",https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MjA1NzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Ye Zhu ),https://www.google.com/maps/contrib/102254423210237889259,https://lh5.googleusercontent.com/p/AF1QipOFiSNJlAWaY8gQMeaDbWYW1CnddlQZ2z6GYxm8=w408-h301-k-no,Kuai Can Dian ,"Kuai Can Dian , Mei Shi Can Ting , Zao Can Can Ting , Ka Pei Ting , Han Bao Can Ting , Can Ting ",3.6,24 Xiao Shi Ying Ye ,Open All Days,+1 416-512-8228,"McDonald's, 4808 Yonge St Unit 6, Toronto, ON M2N 5M9Jia Na Da ","Ka Pei , Guan Li , app, You Min , Ju Wu Ba , Xiao Lu , Bei Guo ",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x882b2d6463120d55:0xa9c80dda3571cabf!8m2!3d43.7618288!4d-79.4114413!16s%2Fg%2F1tczwkxq!19sChIJVQ0SY2QtK4gRv8pxNdoNyKk?authuser=0&hl=zh-TW&rclk=1
ChIJNQXt2P0sK4gRyF8gjfCEw6g,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,1458,"Name: Second Cup Cafe
link: https://www.google.com/maps/search/Second+Cup+Caf%C3%A9/@43.7625088,-79.4105316?authuser=0&hl=zh-TW&entry=ttu
Reviews: 676 reviews

Name: Papa Cafe & Pastry
link: https://www.google.com/maps/search/Papa+Cafe+%26+Pastry/@43.7915773,-79.4178862?authuser=0&hl=zh-TW&entry=ttu
Reviews: 448 reviews

Name: Coffee Lunar
link: https://www.google.com/maps/search/Coffee+Lunar/@43.6740892,-79.38905849999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 411 reviews

Name: Coffee Time
link: https://www.google.com/maps/search/Coffee+Time/@43.787202699999995,-79.41759909999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 225 reviews

Name: Coffee box
link: https://www.google.com/maps/search/Coffee+box/@43.7958334,-79.4224117?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews",https://www.starbucks.ca/store-locator/store/1013236,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/108950743921831801859,https://lh5.googleusercontent.com/p/AF1QipPqb6FEsPVAXGTxwNJg9omyee0TfnFMRrAe0KWI=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",4.2,06:00-21:30,Open All Days,+1 647-448-3386,"Starbucks, 6355 Yonge St, Toronto, ON M2M 3X8Jia Na Da ","De Lai Su , Ting Che Chang , wifi, Zao Yin , Chuang , app, Bi Dian , Xiao Lu , Ji ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x882b2cfdd8ed0535:0xa8c384f08d205fc8!8m2!3d43.7966999!4d-79.4193765!16s%2Fg%2F11c3twcrxq!19sChIJNQXt2P0sK4gRyF8gjfCEw6g?authuser=0&hl=zh-TW&rclk=1
ChIJ6QesDnQyK4gRFN47esbpz4M,Tim Hortons,,False,1440,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@43.7580278,-79.4653915?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2959 reviews

Name: Wimpy's Diner
link: https://www.google.com/maps/search/Wimpy%27s+Diner/@43.756189,-79.43925530000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1250 reviews

Name: Times Square Diner
link: https://www.google.com/maps/search/Times+Square+Diner/@43.751075,-79.45560259999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 651 reviews

Name: Tim Hortons
link: https://www.google.com/maps/search/Tim+Hortons/@43.7809839,-79.4160503?authuser=0&hl=zh-TW&entry=ttu
Reviews: 240 reviews

Name: Coffee Time
link: https://www.google.com/maps/search/Coffee+Time/@43.756012299999995,-79.4738769?authuser=0&hl=zh-TW&entry=ttu
Reviews: 222 reviews",http://locations.timhortons.ca/on/north-york/680-sheppard-ave-west,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/107698746241560944297,https://lh5.googleusercontent.com/p/AF1QipOB_w48yIiN4pzpblWKGhueheUoOD6o26X9d__q=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.8,05:00-23:00,Open All Days,+1 647-352-4651,"Tim Hortons, 680 Sheppard Ave W, North York, ON M3H 2S5Jia Na Da ","Bing Qi Lin , De Lai Su , Tian Tian Quan , Shou Yin , Guan Li , Fan Xin , Yu Shi , Su Shi Dian , Xiang Cao ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x882b32740eac07e9:0x83cfe9c67a3bde14!8m2!3d43.754805!4d-79.4432313!16s%2Fg%2F12hktxcxy!19sChIJ6QesDnQyK4gRFN47esbpz4M?authuser=0&hl=zh-TW&rclk=1
ChIJ0wS_F5zS1IkRwuNrcZaSCc0,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,1414,"Name: Baretto Caffe
link: https://www.google.com/maps/search/Baretto+Caffe/@43.744749999999996,-79.3465806?authuser=0&hl=zh-TW&entry=ttu
Reviews: 502 reviews

Name: Dineen Coffee Co
link: https://www.google.com/maps/search/Dineen+Coffee+Co/@43.747310999999996,-79.38483599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 112 reviews

Name: Coffee Garden
link: https://www.google.com/maps/search/Coffee+Garden/@43.77140550000001,-79.3616191?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews",https://www.starbucks.ca/store-locator/store/1015155,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/100507247172674492318,https://lh5.googleusercontent.com/p/AF1QipOl2ZRzx6Rt3FcCBqOnKL9p_qMs5YcGHCzi0aAx=w408-h408-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",4.3,05:30-22:00,Open All Days,+1 416-444-3782,"Starbucks, 861 York Mills Rd, Toronto, ON M3B 1Y2Jia Na Da ","De Lai Su , Ting Che , Zao Shang , Bi Dian , Zuo , Shui , Xiao Rong ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x89d4d29c17bf04d3:0xcd099296716be3c2!8m2!3d43.7542703!4d-79.3513743!16s%2Fg%2F1v_z9wzh!19sChIJ0wS_F5zS1IkRwuNrcZaSCc0?authuser=0&hl=zh-TW&rclk=1
ChIJNSK8C2UtK4gRqpdOG8DF4bI,Daigyo Cafe,,False,1284,"Name: Cafe Daily
link: https://www.google.com/maps/search/Cafe+Daily/@43.7783556,-79.4148609?authuser=0&hl=zh-TW&entry=ttu
Reviews: 355 reviews

Name: Saryo cafe
link: https://www.google.com/maps/search/Saryo+cafe/@43.767013299999995,-79.41206609999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 232 reviews

Name: Dako's Taiyaki
link: https://www.google.com/maps/search/Dako%27s+Taiyaki/@43.7957451,-79.4222344?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews",https://daigyo.ca/,Daigyo Cafe (Ye Zhu ),https://www.google.com/maps/contrib/102841538355715927618,https://lh5.googleusercontent.com/p/AF1QipOdHPs3hOwNO_NIXlUhIUfke-VjDtqY-9ppOpOF=w408-h408-k-no,Ka Pei Ting ,"Ka Pei Ting , Tian Pin Dian , Xue Gao Dian , Cha Yi Guan ",4.3,12:00-21:00,Open All Days,+1 647-341-6622,"Daigyo Cafe, 4909 Yonge St, North York, ON M2N 5N4Jia Na Da ","Shuang Qi Lin , Mo Cha Bing Qi Lin , Bai Hui , Xiang Cheng , Qiao Mai Mian , Ma , Bei Cha , Huang Dou Fen , Bai Yu ",https://www.google.com/maps/place/Daigyo+Cafe/data=!4m7!3m6!1s0x882b2d650bbc2235:0xb2e1c5c01b4e97aa!8m2!3d43.7642532!4d-79.4114189!16s%2Fg%2F11fy4d_cyz!19sChIJNSK8C2UtK4gRqpdOG8DF4bI?authuser=0&hl=zh-TW&rclk=1
ChIJG8HnfAQtK4gR_YQNPtU3dfA,Tim Hortons,,False,1240,"Name: Tim Hortons
link: https://www.google.com/maps/search/Tim+Hortons/@43.758432400000004,-79.41054419999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 352 reviews

Name: Tim Hortons
link: https://www.google.com/maps/search/Tim+Hortons/@43.7809839,-79.4160503?authuser=0&hl=zh-TW&entry=ttu
Reviews: 240 reviews

Name: Coffee Time
link: https://www.google.com/maps/search/Coffee+Time/@43.787202699999995,-79.41759909999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 225 reviews

Name: Timothy's World Coffee
link: https://www.google.com/maps/search/Timothy%27s+World+Coffee/@43.781065999999996,-79.41640799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: Uptown Cafe & Eatery
link: https://www.google.com/maps/search/Uptown+Cafe+%26+Eatery/@43.772108499999995,-79.4131541?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",http://locations.timhortons.ca/on/north-york/6001-yonge-st,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/110491813784913163928,https://lh5.googleusercontent.com/p/AF1QipPE06v2SkpA0GLDw8-P-rLEnonhhpt2vTykKopl=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.6,24 Xiao Shi Ying Ye ,Open All Days,+1 437-242-3153,"Tim Hortons, 6001 Yonge St, North York, ON M2M 3W2Jia Na Da ","Qing Jie , parking, Tian Tian Quan , Guan Li , Shou Yin , Juan Bing , Bang Wan , Cu Lu , Xia Ding ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x882b2d047ce7c11b:0xf07537d53e0d84fd!8m2!3d43.7893453!4d-79.4171061!16s%2Fg%2F1tf2yf4v!19sChIJG8HnfAQtK4gR_YQNPtU3dfA?authuser=0&hl=zh-TW&rclk=1
ChIJz2byWw0tK4gRMG0Gfz-rSBM,Pastel Creperie & Dessert House,,False,1170,"Name: Muncheez Creperie
link: https://www.google.com/maps/search/Muncheez+Creperie/@43.7976515,-79.4195513?authuser=0&hl=zh-TW&entry=ttu
Reviews: 939 reviews

Name: D Spot Dessert Cafe North York
link: https://www.google.com/maps/search/D+Spot+Dessert+Cafe+North+York/@43.797801199999995,-79.4196477?authuser=0&hl=zh-TW&entry=ttu
Reviews: 919 reviews

Name: Papa Cafe & Pastry
link: https://www.google.com/maps/search/Papa+Cafe+%26+Pastry/@43.7915773,-79.4178862?authuser=0&hl=zh-TW&entry=ttu
Reviews: 448 reviews

Name: Cafe Daily
link: https://www.google.com/maps/search/Cafe+Daily/@43.7783556,-79.4148609?authuser=0&hl=zh-TW&entry=ttu
Reviews: 355 reviews

Name: Saryo cafe
link: https://www.google.com/maps/search/Saryo+cafe/@43.767013299999995,-79.41206609999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 232 reviews",http://www.pasteldesserts.com/,Pastel Creperie & Dessert House (Ye Zhu ),https://www.google.com/maps/contrib/101882489111429522838,https://lh5.googleusercontent.com/p/AF1QipMwQod48DNryIxT0hkm74eKRfKm5a7qfJuYbEkQ=w408-h267-k-no,Tian Pin Can Ting ,"Tian Pin Can Ting , Ka Pei Dian , Fa Shi Bo Bing Can Ting ",4.4,12:00-23:00,Open All Days,+1 647-352-5588,"Pastel Creperie & Dessert House, 5417 Yonge St, North York, ON M2N 5R6Jia Na Da ","Na Tie , Di Gua , Rong Yan Qiao Ke Li , Mo Cha Bing Qi Lin , Mian Xi Can Ju ",https://www.google.com/maps/place/Pastel+Creperie+%26+Dessert+House/data=!4m7!3m6!1s0x882b2d0d5bf266cf:0x1348ab3f7f066d30!8m2!3d43.776274!4d-79.4143909!16s%2Fg%2F1hc9g4_v8!19sChIJz2byWw0tK4gRMG0Gfz-rSBM?authuser=0&hl=zh-TW&rclk=1
ChIJP4cdnA0tK4gRR4jxGaIkTf8,Chatime,,False,919,"Name: The Alley
link: https://www.google.com/maps/search/The+Alley/@43.7764696,-79.4144328?authuser=0&hl=zh-TW&entry=ttu
Reviews: 483 reviews

Name: ITS TEA (North York)
link: https://www.google.com/maps/search/ITS+TEA+%28North+York%29/@43.7706583,-79.4130163?authuser=0&hl=zh-TW&entry=ttu
Reviews: 369 reviews

Name: Mr.Sun
link: https://www.google.com/maps/search/Mr.Sun/@43.7772387,-79.41534089999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 365 reviews

Name: Ri Chu Cha Tai 
link: https://www.google.com/maps/search/%E6%97%A5%E5%87%BA%E8%8C%B6%E5%A4%AA/@43.7640609,-79.41193299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 141 reviews

Name: TP Tea (North York)
link: https://www.google.com/maps/search/TP+Tea+%28North+York%29/@43.7802874,-79.4153644?authuser=0&hl=zh-TW&entry=ttu
Reviews: 94 reviews",http://chatime.ca/,Chatime (Ye Zhu ),https://www.google.com/maps/contrib/117002470766121295043,https://lh3.googleusercontent.com/gps-proxy/AMy85WLoHIlUMdzMSPWeFAw0VpxbDeQYGf3iw9cre4k1Xbf2qJ1I-13kFElg_BiLYdtCClMFvLjSbvMBx9gsoZvtqiaZF9QeEpQh0QRlEB0bgdD2_osUrOeO2EG_JzY8PtBvK7isWXIWdxozXJ8Ea9O9zCbtZ9nSWpuVfF2tIt8sD_1mL87whd8D5EDITg=w426-h240-k-no,Zhen Zhu Nai Cha Dian ,"Zhen Zhu Nai Cha Dian , Ka Pei Ting , Cha Yi Guan , Cha Xie Dian ",4.1,12:00-00:00,Open All Days,+1 647-748-6887,"Chatime, 5494 Yonge St, North York, ON M2N 7L3Jia Na Da ","Tian Dian , Shou Yin , Bao , Ting Che , Kao , Shao Xian Cao , Su Shi Dian , Shu ",https://www.google.com/maps/place/Chatime/data=!4m7!3m6!1s0x882b2d0d9c1d873f:0xff4d24a219f18847!8m2!3d43.7781274!4d-79.4154802!16s%2Fg%2F1pzrfpzzd!19sChIJP4cdnA0tK4gRR4jxGaIkTf8?authuser=0&hl=zh-TW&rclk=1
