place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJgW-LNkctK4gRRiyrNDeepDM,Cafe Landwer,,False,2522,"Name: Evviva Breakfast and Lunch
link: https://www.google.com/maps/search/Evviva+Breakfast+and+Lunch/@43.7712472,-79.4131377?authuser=0&hl=zh-TW&entry=ttu
Reviews: 611 reviews

Name: Another Land Coffee
link: https://www.google.com/maps/search/Another+Land+Coffee/@43.759337699999996,-79.41081849999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 297 reviews

Name: Yonge Cafe and Bistro
link: https://www.google.com/maps/search/Yonge+Cafe+and+Bistro/@43.7664305,-79.4128757?authuser=0&hl=zh-TW&entry=ttu
Reviews: 265 reviews

Name: Uptown Cafe & Eatery
link: https://www.google.com/maps/search/Uptown+Cafe+%26+Eatery/@43.772108499999995,-79.4131541?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Meryl's Cafe
link: https://www.google.com/maps/search/Meryl%27s+Cafe/@43.7660458,-79.4116098?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://landwer.ca/,Cafe Landwer (Ye Zhu ),https://www.google.com/maps/contrib/111264913696070239767,https://lh5.googleusercontent.com/p/AF1QipPqs93x_pGaLPIftsZZqKsP4aRq4OGlRYjD2Cfk=w408-h306-k-no,Can Ting ,"Can Ting , Ka Pei Dian , Jia Ting Can Ting , Di Zhong Hai Can Ting ",4.3,08:00-22:00,Open All Days,+1 416-226-5005,"Cafe Landwer, 5000 Yonge St, North York, ON M2N 7E9Jia Na Da ","Zao Wu Can , Na Tie , Ban Ni Di Ke Dan ",https://www.google.com/maps/place/Cafe+Landwer/data=!4m7!3m6!1s0x882b2d47368b6f81:0x33a49e3734ab2c46!8m2!3d43.7663341!4d-79.4124134!16s%2Fg%2F11j8hkw29v!19sChIJgW-LNkctK4gRRiyrNDeepDM?authuser=0&hl=zh-TW&rclk=1
ChIJ6QesDnQyK4gRFN47esbpz4M,Tim Hortons,,False,1441,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@43.7580278,-79.4653915?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2959 reviews

Name: Wimpy's Diner
link: https://www.google.com/maps/search/Wimpy%27s+Diner/@43.756189,-79.43925530000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1250 reviews

Name: Times Square Diner
link: https://www.google.com/maps/search/Times+Square+Diner/@43.751075,-79.45560259999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 651 reviews

Name: Tim Hortons
link: https://www.google.com/maps/search/Tim+Hortons/@43.7809839,-79.4160503?authuser=0&hl=zh-TW&entry=ttu
Reviews: 240 reviews

Name: Coffee Time
link: https://www.google.com/maps/search/Coffee+Time/@43.756012299999995,-79.4738769?authuser=0&hl=zh-TW&entry=ttu
Reviews: 222 reviews",http://locations.timhortons.ca/on/north-york/680-sheppard-ave-west,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/107698746241560944297,https://lh5.googleusercontent.com/p/AF1QipOB_w48yIiN4pzpblWKGhueheUoOD6o26X9d__q=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.8,05:00-23:00,Open All Days,+1 647-352-4651,"Tim Hortons, 680 Sheppard Ave W, North York, ON M3H 2S5Jia Na Da ","Bing Qi Lin , De Lai Su , Tian Tian Quan , Shou Yin , Guan Li , Fan Xin , Yu Shi , Su Shi Dian , Xiang Cao ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x882b32740eac07e9:0x83cfe9c67a3bde14!8m2!3d43.754805!4d-79.4432313!16s%2Fg%2F12hktxcxy!19sChIJ6QesDnQyK4gRFN47esbpz4M?authuser=0&hl=zh-TW&rclk=1
ChIJNSK8C2UtK4gRqpdOG8DF4bI,Daigyo Cafe,,False,1284,"Name: Cafe Daily
link: https://www.google.com/maps/search/Cafe+Daily/@43.7783556,-79.4148609?authuser=0&hl=zh-TW&entry=ttu
Reviews: 355 reviews

Name: Saryo cafe
link: https://www.google.com/maps/search/Saryo+cafe/@43.767013299999995,-79.41206609999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 232 reviews

Name: Dako's Taiyaki
link: https://www.google.com/maps/search/Dako%27s+Taiyaki/@43.7957451,-79.4222344?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews",https://daigyo.ca/,Daigyo Cafe (Ye Zhu ),https://www.google.com/maps/contrib/102841538355715927618,https://lh5.googleusercontent.com/p/AF1QipOdHPs3hOwNO_NIXlUhIUfke-VjDtqY-9ppOpOF=w408-h408-k-no,Ka Pei Ting ,"Ka Pei Ting , Tian Pin Dian , Xue Gao Dian , Cha Yi Guan ",4.3,12:00-21:00,Open All Days,+1 647-341-6622,"Daigyo Cafe, 4909 Yonge St, North York, ON M2N 5N4Jia Na Da ","Shuang Qi Lin , Mo Cha Bing Qi Lin , Bai Hui , Xiang Cheng , Qiao Mai Mian , Ma , Bei Cha , Huang Dou Fen , Bai Yu ",https://www.google.com/maps/place/Daigyo+Cafe/data=!4m7!3m6!1s0x882b2d650bbc2235:0xb2e1c5c01b4e97aa!8m2!3d43.7642532!4d-79.4114189!16s%2Fg%2F11fy4d_cyz!19sChIJNSK8C2UtK4gRqpdOG8DF4bI?authuser=0&hl=zh-TW&rclk=1
ChIJG8HnfAQtK4gR_YQNPtU3dfA,Tim Hortons,,False,1240,"Name: Tim Hortons
link: https://www.google.com/maps/search/Tim+Hortons/@43.758432400000004,-79.41054419999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 352 reviews

Name: Tim Hortons
link: https://www.google.com/maps/search/Tim+Hortons/@43.7809839,-79.4160503?authuser=0&hl=zh-TW&entry=ttu
Reviews: 240 reviews

Name: Coffee Time
link: https://www.google.com/maps/search/Coffee+Time/@43.787202699999995,-79.41759909999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 225 reviews

Name: Timothy's World Coffee
link: https://www.google.com/maps/search/Timothy%27s+World+Coffee/@43.781065999999996,-79.41640799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: Uptown Cafe & Eatery
link: https://www.google.com/maps/search/Uptown+Cafe+%26+Eatery/@43.772108499999995,-79.4131541?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",http://locations.timhortons.ca/on/north-york/6001-yonge-st,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/110491813784913163928,https://lh5.googleusercontent.com/p/AF1QipPE06v2SkpA0GLDw8-P-rLEnonhhpt2vTykKopl=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.6,24 Xiao Shi Ying Ye ,Open All Days,+1 437-242-3153,"Tim Hortons, 6001 Yonge St, North York, ON M2M 3W2Jia Na Da ","Qing Jie , parking, Tian Tian Quan , Guan Li , Shou Yin , Juan Bing , Bang Wan , Cu Lu , Xia Ding ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x882b2d047ce7c11b:0xf07537d53e0d84fd!8m2!3d43.7893453!4d-79.4171061!16s%2Fg%2F1tf2yf4v!19sChIJG8HnfAQtK4gR_YQNPtU3dfA?authuser=0&hl=zh-TW&rclk=1
ChIJz2byWw0tK4gRMG0Gfz-rSBM,Pastel Creperie & Dessert House,,False,1170,"Name: Muncheez Creperie
link: https://www.google.com/maps/search/Muncheez+Creperie/@43.7976515,-79.4195513?authuser=0&hl=zh-TW&entry=ttu
Reviews: 939 reviews

Name: D Spot Dessert Cafe North York
link: https://www.google.com/maps/search/D+Spot+Dessert+Cafe+North+York/@43.797801199999995,-79.4196477?authuser=0&hl=zh-TW&entry=ttu
Reviews: 919 reviews

Name: Papa Cafe & Pastry
link: https://www.google.com/maps/search/Papa+Cafe+%26+Pastry/@43.7915773,-79.4178862?authuser=0&hl=zh-TW&entry=ttu
Reviews: 448 reviews

Name: Cafe Daily
link: https://www.google.com/maps/search/Cafe+Daily/@43.7783556,-79.4148609?authuser=0&hl=zh-TW&entry=ttu
Reviews: 355 reviews

Name: Saryo cafe
link: https://www.google.com/maps/search/Saryo+cafe/@43.767013299999995,-79.41206609999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 232 reviews",http://www.pasteldesserts.com/,Pastel Creperie & Dessert House (Ye Zhu ),https://www.google.com/maps/contrib/101882489111429522838,https://lh5.googleusercontent.com/p/AF1QipMwQod48DNryIxT0hkm74eKRfKm5a7qfJuYbEkQ=w408-h267-k-no,Tian Pin Can Ting ,"Tian Pin Can Ting , Ka Pei Dian , Fa Shi Bo Bing Can Ting ",4.4,12:00-23:00,Open All Days,+1 647-352-5588,"Pastel Creperie & Dessert House, 5417 Yonge St, North York, ON M2N 5R6Jia Na Da ","Na Tie , Di Gua , Rong Yan Qiao Ke Li , Mo Cha Bing Qi Lin , Mian Xi Can Ju ",https://www.google.com/maps/place/Pastel+Creperie+%26+Dessert+House/data=!4m7!3m6!1s0x882b2d0d5bf266cf:0x1348ab3f7f066d30!8m2!3d43.776274!4d-79.4143909!16s%2Fg%2F1hc9g4_v8!19sChIJz2byWw0tK4gRMG0Gfz-rSBM?authuser=0&hl=zh-TW&rclk=1
ChIJQVUKNm4tK4gRdjxpqnNCk0Y,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,931,"Name: Cafe Princess
link: https://www.google.com/maps/search/Caf%C3%A9+Princess/@43.779337,-79.41585169999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 547 reviews

Name: Another Land Coffee
link: https://www.google.com/maps/search/Another+Land+Coffee/@43.759337699999996,-79.41081849999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 297 reviews

Name: Second Cup Cafe
link: https://www.google.com/maps/search/Second+Cup+Caf%C3%A9/@43.768663,-79.4120873?authuser=0&hl=zh-TW&entry=ttu
Reviews: 244 reviews

Name: Cafe Inside
link: https://www.google.com/maps/search/Cafe+Inside/@43.7644739,-79.41034140000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 174 reviews

Name: WFM Coffee Bar
link: https://www.google.com/maps/search/WFM+Coffee+Bar/@43.7608983,-79.4103533?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews",https://www.starbucks.ca/store-locator/store/627,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/107298829541333768842,https://lh5.googleusercontent.com/p/AF1QipNdDEug_8utgV2V866gChdWtTB2fd7iLe-34wbi=w408-h408-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",4.1,06:00-23:00,Open All Days,+1 416-223-9903,"Starbucks, 5140 Yonge St, Toronto, ON M2N 6L7Jia Na Da ","Ka Pei Shi , Zao Shang , Ming , Fan Xin , Huan Jing , Jiu , Xiao Rong , app, Tu Shu Guan ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x882b2d6e360a5541:0x46934273aa693c76!8m2!3d43.7682948!4d-79.4128969!16s%2Fg%2F1thmlmhc!19sChIJQVUKNm4tK4gRdjxpqnNCk0Y?authuser=0&hl=zh-TW&rclk=1
ChIJP4cdnA0tK4gRR4jxGaIkTf8,Chatime,,False,919,"Name: The Alley
link: https://www.google.com/maps/search/The+Alley/@43.7764696,-79.4144328?authuser=0&hl=zh-TW&entry=ttu
Reviews: 483 reviews

Name: ITS TEA (North York)
link: https://www.google.com/maps/search/ITS+TEA+%28North+York%29/@43.7706583,-79.4130163?authuser=0&hl=zh-TW&entry=ttu
Reviews: 369 reviews

Name: Mr.Sun
link: https://www.google.com/maps/search/Mr.Sun/@43.7772387,-79.41534089999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 365 reviews

Name: Ri Chu Cha Tai 
link: https://www.google.com/maps/search/%E6%97%A5%E5%87%BA%E8%8C%B6%E5%A4%AA/@43.7640609,-79.41193299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 141 reviews

Name: TP Tea (North York)
link: https://www.google.com/maps/search/TP+Tea+%28North+York%29/@43.7802874,-79.4153644?authuser=0&hl=zh-TW&entry=ttu
Reviews: 94 reviews",http://chatime.ca/,Chatime (Ye Zhu ),https://www.google.com/maps/contrib/117002470766121295043,https://lh3.googleusercontent.com/gps-proxy/AMy85WLoHIlUMdzMSPWeFAw0VpxbDeQYGf3iw9cre4k1Xbf2qJ1I-13kFElg_BiLYdtCClMFvLjSbvMBx9gsoZvtqiaZF9QeEpQh0QRlEB0bgdD2_osUrOeO2EG_JzY8PtBvK7isWXIWdxozXJ8Ea9O9zCbtZ9nSWpuVfF2tIt8sD_1mL87whd8D5EDITg=w426-h240-k-no,Zhen Zhu Nai Cha Dian ,"Zhen Zhu Nai Cha Dian , Ka Pei Ting , Cha Yi Guan , Cha Xie Dian ",4.1,12:00-00:00,Open All Days,+1 647-748-6887,"Chatime, 5494 Yonge St, North York, ON M2N 7L3Jia Na Da ","Tian Dian , Shou Yin , Bao , Ting Che , Kao , Shao Xian Cao , Su Shi Dian , Shu ",https://www.google.com/maps/place/Chatime/data=!4m7!3m6!1s0x882b2d0d9c1d873f:0xff4d24a219f18847!8m2!3d43.7781274!4d-79.4154802!16s%2Fg%2F1pzrfpzzd!19sChIJP4cdnA0tK4gRR4jxGaIkTf8?authuser=0&hl=zh-TW&rclk=1
ChIJ3SX22Q0tK4gR_5luwexpEIY,Xing Ba Ke ,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,901,"Name: Cafe Princess
link: https://www.google.com/maps/search/Caf%C3%A9+Princess/@43.779337,-79.41585169999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 547 reviews

Name: Au Pain Dore Bakery
link: https://www.google.com/maps/search/Au+Pain+Dor%C3%A9+Bakery/@43.780018899999995,-79.4160754?authuser=0&hl=zh-TW&entry=ttu
Reviews: 136 reviews

Name: Starbucks Canada Corporate Office
link: https://www.google.com/maps/search/Starbucks+Canada+Corporate+Office/@43.768884199999995,-79.41344219999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews

Name: The Peachy
link: https://www.google.com/maps/search/The+Peachy/@43.780176499999996,-79.4164083?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews",https://www.starbucks.ca/store-locator/store/644,Xing Ba Ke  (Ye Zhu ),https://www.google.com/maps/contrib/107008257493605479643,https://lh5.googleusercontent.com/p/AF1QipNVjb-szsBk7TOMimIpA8gqNpPwlyGNUACVlLT6=w408-h408-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",3.9,06:00-22:00,Open All Days,+1 416-221-4820,"Xing Ba Ke 5650 Yonge St, Toronto, ON M2M 4G3Jia Na Da ","Ka Pei Shi , Zao Shang , Shou Ji , Qing Jie , Fan Xin , Ming , Su Shi Dian , Hui Yi , Xiao Rong ",https://www.google.com/maps/place/%E6%98%9F%E5%B7%B4%E5%85%8B/data=!4m7!3m6!1s0x882b2d0dd9f625dd:0x861069ecc16e99ff!8m2!3d43.7801765!4d-79.4164083!16s%2Fg%2F1tgx2nhm!19sChIJ3SX22Q0tK4gR_5luwexpEIY?authuser=0&hl=zh-TW&rclk=1
ChIJyULPk08tK4gRS4oV1fgChTo,Paris Baguette Bakery Cafe,,False,870,"Name: Bake Code
link: https://www.google.com/maps/search/Bake+Code/@43.7640469,-79.41191529999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1236 reviews

Name: Paris Bakery
link: https://www.google.com/maps/search/Paris+Bakery/@43.6624007,-79.444706?authuser=0&hl=zh-TW&entry=ttu
Reviews: 437 reviews

Name: Kin-Kin Bakery & Bubble Tea
link: https://www.google.com/maps/search/Kin-Kin+Bakery+%26+Bubble+Tea/@43.7624516,-79.4102448?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: Patisserie Gateau
link: https://www.google.com/maps/search/Patisserie+Gateau/@43.7960285,-79.4233376?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews",https://www.parisbaguette.com/,Paris Baguette Bakery Cafe (Ye Zhu ),https://www.google.com/maps/contrib/114045680733776687757,https://lh5.googleusercontent.com/p/AF1QipNOl0kOYAlTbbMxj8MxS4DcSIXEOjQYiXckVeYA=w426-h240-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.4,07:00-21:00,Open All Days,+1 416-228-8880,"Paris Baguette Bakery Cafe, 4841 Yonge St, North York, ON M2N 5X2Jia Na Da ","Bing Ka Pei , Dan Mai Mian Bao , Cao Mei Dan Gao , Ke Le Bing ",https://www.google.com/maps/place/Paris+Baguette+Bakery+Cafe/data=!4m7!3m6!1s0x882b2d4f93cf42c9:0x3a8502f8d5158a4b!8m2!3d43.7627493!4d-79.4109228!16s%2Fg%2F11tdjrqv0p!19sChIJyULPk08tK4gRS4oV1fgChTo?authuser=0&hl=zh-TW&rclk=1
ChIJh7HB-r4tK4gR9LXtreS1Uj0,Tim Hortons,,False,836,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@43.7899221,-79.44658390000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2386 reviews

Name: Wendy's
link: https://www.google.com/maps/search/Wendy%27s/@43.7858509,-79.4750803?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1023 reviews

Name: Times Square Diner
link: https://www.google.com/maps/search/Times+Square+Diner/@43.751075,-79.45560259999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 651 reviews

Name: Tim Hortons
link: https://www.google.com/maps/search/Tim+Hortons/@43.7809839,-79.4160503?authuser=0&hl=zh-TW&entry=ttu
Reviews: 240 reviews

Name: Coffee Time
link: https://www.google.com/maps/search/Coffee+Time/@43.787202699999995,-79.41759909999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 225 reviews",https://locations.timhortons.ca/en/on/north-york/515-drewry-ave,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/111031704104039583498,https://lh5.googleusercontent.com/p/AF1QipPHnIuxQlY66lj8aaRZvJB7aLX-3vBPZ-aiTs8k=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.8,24 Xiao Shi Ying Ye ,Open All Days,+1 416-901-9362,"Tim Hortons, 515 Drewry Ave, North York, ON M2R 2K9Jia Na Da ","De Lai Su , Guan Li , Jia You Zhan , Shou Yin , Tian Tian Quan , Chuang , Bei Guo , Su Shi Dian , Kao , Xiao Rong ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x882b2dbefac1b187:0x3d52b5e4adedb5f4!8m2!3d43.7809395!4d-79.4442308!16s%2Fg%2F11b5wffl2p!19sChIJh7HB-r4tK4gR9LXtreS1Uj0?authuser=0&hl=zh-TW&rclk=1
