place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJubvQRiqdkUcRr5jLd9EqJis,Centre Commercial Shop'in Witty,,False,5197,"Name: Cora
link: https://www.google.com/maps/search/Cora/@47.8101197,7.3154328?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4587 reviews

Name: Espace Witty
link: https://www.google.com/maps/search/Espace+Witty/@47.810711399999995,7.3137400999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews

Name: Karana (carreau Anna)
link: https://www.google.com/maps/search/Karana+%28carreau+Anna%29/@47.7958832,7.3131153?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews",https://www.shopin-witty.com/fr,Centre Commercial Shop'in Witty (Ye Zhu ),https://www.google.com/maps/contrib/118198854334111162971,https://lh5.googleusercontent.com/p/AF1QipOs0mchQ47rdpezmCa_WJJNJ6y6Fm4t5Og078sB=w426-h240-k-no,Gou Wu Zhong Xin ,"Gou Wu Zhong Xin , Fu Zhuang Dian , Bai Huo Gong Si , Fa Lang , Bao Jian Yu Mei Rong Yong Pin Dian , Da Xing Chao Ji Shi Chang , Can Ting , Dian Hua Gong Si ",4.1,09:00-20:00,Xing Qi Ri ,+33 3 89 52 84 84,"Centre Commercial Shop'in Witty, Centre Commercial Cora Witty, 130 Rue de Soultz, 68270 Wittenheim, Fa Guo ","Jing Pin Dian , Shi Tang , E , Chang Lang , Da Mai Chang , Sheng Dan ",https://www.google.com/maps/place/Centre+Commercial+Shop%27in+Witty/data=!4m7!3m6!1s0x47919d2a46d0bbb9:0x2b262ad177cb98af!8m2!3d47.81!4d7.315!16s%2Fg%2F1tg5b0ds!19sChIJubvQRiqdkUcRr5jLd9EqJis?authuser=0&hl=zh-TW&rclk=1
ChIJbY7E882ckUcR8o34lzRWtJA,La Pataterie Wittenheim,,False,1405,"Name: Courtepaille
link: https://www.google.com/maps/search/Courtepaille/@47.798607999999994,7.307324700000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1594 reviews

Name: Pause Kebab Wittenheim
link: https://www.google.com/maps/search/Pause+Kebab+Wittenheim/@47.8007728,7.3201112?authuser=0&hl=zh-TW&entry=ttu
Reviews: 249 reviews

Name: Chez Antep Wittenheim
link: https://www.google.com/maps/search/Chez+Antep+Wittenheim/@47.802976199999996,7.3358783999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 109 reviews

Name: Le Zeste
link: https://www.google.com/maps/search/Le+Zeste/@47.7959138,7.3067581?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews",https://www.lapataterie.fr/,La Pataterie Wittenheim (Ye Zhu ),https://www.google.com/maps/contrib/114207791003686008570,https://lh5.googleusercontent.com/p/AF1QipP94Hhu5En9MQ8F0aRXMy6jEA7oyKvgUlxBILfH=w408-h544-k-no,Jia Ting Can Ting ,"Jia Ting Can Ting , Kuai Can Dian , Fa Guo Can Ting ",4,"11:30-14:00, 18:30-21:30",Open All Days,+33 3 89 53 84 80,"La Pataterie Wittenheim, Rue de Kingersheim, 147 A Rue des Mines Anna ZAC de, 68270 Wittenheim, Fa Guo ","Bai Pan , Yi Dao Cai , Leng , Qian Cai , You Xi , Liao Li , Shou Shi ",https://www.google.com/maps/place/La+Pataterie+Wittenheim/data=!4m7!3m6!1s0x47919ccdf3c48e6d:0x90b4563497f88df2!8m2!3d47.7977778!4d7.3108333!16s%2Fg%2F113jdmnl1!19sChIJbY7E882ckUcR8o34lzRWtJA?authuser=0&hl=zh-TW&rclk=1
ChIJ_8nkidGckUcRlYWubJ2obfs,Pizzeria Paradiso,,False,1224,"Name: La Pataterie Wittenheim
link: https://www.google.com/maps/search/La+Pataterie+Wittenheim/@47.7977778,7.3108333000000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1405 reviews

Name: Paradiso
link: https://www.google.com/maps/search/Paradiso/@47.801837899999995,7.1311406999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 847 reviews

Name: Aldo Pizza
link: https://www.google.com/maps/search/Aldo+Pizza/@47.806607799999995,7.3372953999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 178 reviews",https://paradiso-pizzeria.fr/wittenheim/,Pizzeria Paradiso (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPe6IxHWSm-3QWr1ATo3IkYwHsixDDxOXFN4K8j=w426-h240-k-no,Bo Bing Can Ting ,"Bo Bing Can Ting , Jiu Ba , Can Ting ",3.7,10:00-22:00,Xing Qi Ri ,+33 3 89 52 72 97,"Pizzeria Paradiso, 21 Rue de Soultz, 68270 Wittenheim, Fa Guo ","Bing Qi Lin , Bai Pan , Xiang Shui , Zai Nan , Bei ",https://www.google.com/maps/place/Pizzeria+Paradiso/data=!4m7!3m6!1s0x47919cd189e4c9ff:0xfb6da89d6cae8595!8m2!3d47.8004908!4d7.3119995!16s%2Fg%2F1ts2z5yv!19sChIJ_8nkidGckUcRlYWubJ2obfs?authuser=0&hl=zh-TW&rclk=1
ChIJHycw9CqdkUcR3Q5waYin7yY,1924 - Un Monde de Cafes,,False,320,"Name: [S]PRESSO
link: https://www.google.com/maps/search/%5BS%5DPRESSO/@47.797035199999996,7.3368525?authuser=0&hl=zh-TW&entry=ttu
Reviews: 304 reviews

Name: O tea cafe
link: https://www.google.com/maps/search/O+tea+caf%C3%A9/@47.8653255,7.3509093?authuser=0&hl=zh-TW&entry=ttu
Reviews: 225 reviews

Name: 1924 - Un monde de Cafes
link: https://www.google.com/maps/search/1924+-+Un+monde+de+Caf%C3%A9s/@48.074604099999995,7.3593893999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 52 reviews

Name: Che moi
link: https://www.google.com/maps/search/Ch%C3%A9+moi/@47.805973599999994,7.3368993?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.districafes.com/,1924 - Un Monde de Cafes (Ye Zhu ),https://www.google.com/maps/contrib/111122364919950578054,https://lh5.googleusercontent.com/p/AF1QipO-vK18JUdfHnswm7-LinBEnxy5rUT9lstM1HLl=w408-h307-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba , Ka Pei Dian , Cha Yi Guan ",4.4,08:30-20:00,Xing Qi Ri ,+33 3 89 50 25 28,"1924 - Un Monde de Cafes, Centre Commercial Espace Witty, 130 Rue de Soultz, 68270 Wittenheim, Fa Guo ","Xiao Rong , Jia Ge , Xuan Ze , Qiao Ke Li , Dian Yuan , Bai Hui , Jing Pin Dian ",https://www.google.com/maps/place/1924+-+Un+Monde+de+Caf%C3%A9s/data=!4m7!3m6!1s0x47919d2af430271f:0x26efa78869700edd!8m2!3d47.8096035!4d7.3141265!16s%2Fg%2F12lk4pjg7!19sChIJHycw9CqdkUcR3Q5waYin7yY?authuser=0&hl=zh-TW&rclk=1
ChIJic54HNSckUcRGa_w0u5cQ80,L'EAU VIVE,,False,307,"Name: Satoriz
link: https://www.google.com/maps/search/Satoriz/@47.7919688,7.3144746?authuser=0&hl=zh-TW&entry=ttu
Reviews: 446 reviews

Name: Biocoop Du Rebberg
link: https://www.google.com/maps/search/Biocoop+Du+Rebberg/@47.7456171,7.354338299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 304 reviews

Name: Fraicheur Paysanne de L'Ill
link: https://www.google.com/maps/search/Fraicheur+Paysanne+de+L%27Ill/@47.8304481,7.3401212000000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 125 reviews

Name: Les Fous de Terroirs
link: https://www.google.com/maps/search/Les+Fous+de+Terroirs/@47.8103425,7.3141817?authuser=0&hl=zh-TW&entry=ttu
Reviews: 58 reviews

Name: Joie D'Une Vie Saine
link: https://www.google.com/maps/search/Joie+D%27Une+Vie+Saine/@47.8102324,7.3392333?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews",http://www.eau-vive.com/,L'EAU VIVE (Ye Zhu ),https://www.google.com/maps/contrib/114506343114842177184,https://lh5.googleusercontent.com/p/AF1QipPRSzZvzLKRH_u7tTV35rFSJdKoA8c7tRST4bX3=w408-h725-k-no,You Ji Shi Pin Dian ,"You Ji Shi Pin Dian , Jian Kang Shi Pin Zhuan Mai Dian , Chao Ji Shi Chang ",4.3,09:00-19:00,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+33 9 64 06 02 70,"L'EAU VIVE, 9 Rue Louis Aragon, 68270 Wittenheim, Fa Guo ","Jia Ge , Xiao Rong , Dian Yuan , Nong Chan Pin , Ke Ren , Tuan Dui , Mian Bao ",https://www.google.com/maps/place/L%27EAU+VIVE/data=!4m7!3m6!1s0x47919cd41c78ce89:0xcd435ceed2f0af19!8m2!3d47.8037737!4d7.3128615!16s%2Fg%2F1vm_wtf9!19sChIJic54HNSckUcRGa_w0u5cQ80?authuser=0&hl=zh-TW&rclk=1
ChIJwbuAHJWdkUcROCsXzpDQYBo,[S]PRESSO,,False,304,"Name: Poulaillon Kingersheim
link: https://www.google.com/maps/search/Poulaillon+Kingersheim/@47.7884483,7.3125438?authuser=0&hl=zh-TW&entry=ttu
Reviews: 834 reviews

Name: Le temps d'une pause
link: https://www.google.com/maps/search/Le+temps+d%27une+pause/@47.748065999999994,7.3398438?authuser=0&hl=zh-TW&entry=ttu
Reviews: 460 reviews

Name: 1924 - Un Monde de Cafes
link: https://www.google.com/maps/search/1924+-+Un+Monde+de+Caf%C3%A9s/@47.809603499999994,7.3141265?authuser=0&hl=zh-TW&entry=ttu
Reviews: 320 reviews

Name: Expresso Services
link: https://www.google.com/maps/search/Expresso+Services/@47.7403216,7.420697400000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://www.mkan.fr/,[S]PRESSO (Ye Zhu ),https://www.google.com/maps/contrib/114675282782096169558,https://lh5.googleusercontent.com/p/AF1QipPT89hoqcZw2mfun7yVCKyE9w_jewN6W0uGIlcV=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,08:00-22:00,Xing Qi Yi ,+33 3 89 55 21 84,"[S]PRESSO, 120 Fbg de Mulhouse, 68260 Kingersheim, Fa Guo ","Zao Wu Can , Bing Qi Lin , Song Bing , Xiao Rong , Dong , Gao , Zun Zhong ",https://www.google.com/maps/place/%5BS%5DPRESSO/data=!4m7!3m6!1s0x47919d951c80bbc1:0x1a60d090ce172b38!8m2!3d47.7970352!4d7.3368525!16s%2Fg%2F11j2spqnxw!19sChIJwbuAHJWdkUcROCsXzpDQYBo?authuser=0&hl=zh-TW&rclk=1
ChIJO9Yreb93kUcRsYRIVlg9ew4,O tea cafe,,False,225,"Name: Hotel Restaurant La Couronne
link: https://www.google.com/maps/search/H%C3%B4tel+Restaurant+La+Couronne/@47.8650604,7.3526814?authuser=0&hl=zh-TW&entry=ttu
Reviews: 870 reviews

Name: La Diligence
link: https://www.google.com/maps/search/La+Diligence/@47.865263000000006,7.3513380999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 488 reviews

Name: Asia
link: https://www.google.com/maps/search/Asia/@47.8661979,7.355537600000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 139 reviews

Name: La Boule d'Or
link: https://www.google.com/maps/search/La+Boule+d%27Or/@47.8655944,7.3557155000000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews

Name: Salon De The
link: https://www.google.com/maps/search/Salon+De+The/@47.8651554,7.353551400000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://o-tea-cafe-cafe-ensisheim.metro.bar/,O tea cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNUNyfgOn1hulxNITINMISJbUW5UKXQ9RPD_ocm=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,14:00-18:30,"Xing Qi Ri , Xing Qi Er ",+33 6 03 90 67 18,"O tea cafe, 3 Rue du Moulin, 68190 Ensisheim, Fa Guo ","Shui , Cha Dian , Xiao Rong , Ke Ai , Song Bing , Xiang Kuang ",https://www.google.com/maps/place/O+tea+caf%C3%A9/data=!4m7!3m6!1s0x479177bf792bd63b:0xe7b3d58564884b1!8m2!3d47.8653255!4d7.3509093!16s%2Fg%2F11g69xflsy!19sChIJO9Yreb93kUcRsYRIVlg9ew4?authuser=0&hl=zh-TW&rclk=1
ChIJHycw9CqdkUcRVFK9f2OnrLo,PAUL Wittenheim,,False,221,"Name: Boulangerie Aux Pains Gourmands
link: https://www.google.com/maps/search/Boulangerie+Aux+Pains+Gourmands/@47.8101504,7.338952?authuser=0&hl=zh-TW&entry=ttu
Reviews: 113 reviews

Name: Poulaillon Wittenheim
link: https://www.google.com/maps/search/Poulaillon+Wittenheim/@47.7958309,7.306787000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews

Name: Boulangerie Ziessel
link: https://www.google.com/maps/search/Boulangerie+Ziessel/@47.8099688,7.337961999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: La Panetiere Boulangerie
link: https://www.google.com/maps/search/La+Paneti%C3%A8re+Boulangerie/@47.801306399999994,7.3216109?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.paul.fr/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,PAUL Wittenheim (Ye Zhu ),https://www.google.com/maps/contrib/118439019211004842447,https://lh5.googleusercontent.com/p/AF1QipNWjKCpXia9GMT_uPNZt7_1Nf7YVC2yuhAMPPOm=w408-h306-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Zao Can Can Ting , Dao Hui Fu Wu , Wai Dai Ka Pei Zhuan Mai Dian , Kuai Can Dian , Fa Shi Gao Bing Dian , Sha Lu Dian , San Wen Zhi Dian , Cafeteria",3.5,08:30-20:00,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+33 3 89 50 12 79,"PAUL Wittenheim, 130 Rue de Soultz, 68270 Wittenheim, Fa Guo ","San Ming Zhi , Jia Ge , Dian Yuan , Xiao Rong , Ke Ren , Sha La , Ka Pei , Zhuo ",https://www.google.com/maps/place/PAUL+Wittenheim/data=!4m7!3m6!1s0x47919d2af430271f:0xbaaca7637fbd5254!8m2!3d47.8107217!4d7.3137553!16s%2Fg%2F11b6dfksg4!19sChIJHycw9CqdkUcRVFK9f2OnrLo?authuser=0&hl=zh-TW&rclk=1
ChIJj2n6YB6dkUcRH2hlzUkzbYU,Boulangerie Gutknecht Jacques,,False,97,"Name: Boulangerie Aux Pains Gourmands
link: https://www.google.com/maps/search/Boulangerie+Aux+Pains+Gourmands/@47.8101504,7.338952?authuser=0&hl=zh-TW&entry=ttu
Reviews: 113 reviews

Name: Your Artisan Boulanger Franck
link: https://www.google.com/maps/search/Your+Artisan+Boulanger+Franck/@47.8009657,7.3373336999999985?authuser=0&hl=zh-TW&entry=ttu
Reviews: 103 reviews

Name: Dobrocki Fabrice
link: https://www.google.com/maps/search/Dobrocki+Fabrice/@47.8013584,7.3216151?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews

Name: Maison GERMAIN
link: https://www.google.com/maps/search/Maison+GERMAIN/@47.8085749,7.3378168?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: Boulangerie Ziessel
link: https://www.google.com/maps/search/Boulangerie+Ziessel/@47.8099688,7.337961999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews",https://www.facebook.com/Boulangerie.JacquesGutknecht/,Boulangerie Gutknecht Jacques (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOYAe8QM50qm1eVfmcsr2Xa8SRhWUT1gRQY4_A0=w422-h240-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Dao Hui Fu Wu , Fa Shi Gao Bing Dian , San Wen Zhi Dian ",4.5,,Open All Days,+33 3 89 52 71 89,"Boulangerie Gutknecht Jacques, 9 Rue de Kingersheim, 68270 Wittenheim, Fa Guo ","Fa Guo Mian Bao , Dian Yuan ",https://www.google.com/maps/place/Boulangerie+Gutknecht+Jacques/data=!4m7!3m6!1s0x47919d1e60fa698f:0x856d3349cd65681f!8m2!3d47.8085749!4d7.3378168!16s%2Fg%2F1td7b23s!19sChIJj2n6YB6dkUcRH2hlzUkzbYU?authuser=0&hl=zh-TW&rclk=1
ChIJQddLM9qckUcRPnmZsv1qiHo,Dobrocki Fabrice,,False,64,"Name: Your Artisan Boulanger Franck
link: https://www.google.com/maps/search/Your+Artisan+Boulanger+Franck/@47.8009657,7.3373336999999985?authuser=0&hl=zh-TW&entry=ttu
Reviews: 103 reviews

Name: Patisserie Boulangerie Claudine et Olivier
link: https://www.google.com/maps/search/P%C3%A2tisserie+Boulangerie+Claudine+et+Olivier/@47.8003667,7.317804899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 88 reviews

Name: Boulangerie Ziessel
link: https://www.google.com/maps/search/Boulangerie+Ziessel/@47.8099688,7.337961999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Aux Pains du Moulin
link: https://www.google.com/maps/search/Aux+Pains+du+Moulin/@47.8099354,7.337909700000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",http://boulangerie-patisserie-dobrocki.eatbu.com/,Dobrocki Fabrice (Ye Zhu ),https://www.google.com/maps/contrib/116079233518863025971,https://lh5.googleusercontent.com/p/AF1QipMJmho0-4mTFlwKZZmnRhdCWarUPjss1tVpLUcH=w408-h306-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.5,07:00-12:00,Open All Days,+33 9 80 54 11 23,"Dobrocki Fabrice, 128 Rue des Mines, 68270 Wittenheim, Fa Guo ",Xiao Rong ,https://www.google.com/maps/place/Dobrocki+Fabrice/data=!4m7!3m6!1s0x47919cda334bd741:0x7a886afdb299793e!8m2!3d47.8013584!4d7.3216151!16s%2Fg%2F1tgfp17w!19sChIJQddLM9qckUcRPnmZsv1qiHo?authuser=0&hl=zh-TW&rclk=1
