place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJicXbDw73AzQRGYvZDzSyF24,CoHee Studio,,False,403,"Name: Mf Cafe
link: https://www.google.com/maps/search/Mf+Cafe/@22.4372884,114.06327019999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews

Name: Da Fan Tang  Sweet Cafe
link: https://www.google.com/maps/search/%E5%A4%A7%E9%A3%AF%E7%B3%96+Sweet+Cafe/@22.4426824,114.05556689999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 91 reviews

Name: CoHee (Fanling)
link: https://www.google.com/maps/search/CoHee+%28Fanling%29/@22.4951418,114.13985339999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 80 reviews

Name: Kachimushi Kam Tin
link: https://www.google.com/maps/search/Kachimushi+Kam+Tin/@22.4395967,114.0668494?authuser=0&hl=zh-TW&entry=ttu
Reviews: 72 reviews",http://www.coheehk.com/,CoHee Studio (Ye Zhu ),https://www.google.com/maps/contrib/104022653748409257364,https://lh5.googleusercontent.com/p/AF1QipN0IL0VsReZdb6qRB536AXCwZW406itHGgdm0x3=w408-h318-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",4.4,09:00-18:00,Open All Days,9449 7310,"CoHee Studio, 152 Kam Tin Shi St, Kam Tin","Shu Shi , bagel, flat white, Ji Lian Zhi Shi , Chao Dan , Zhi Shi Dan Gao , Niu You Guo , Xiang Wei ",https://www.google.com/maps/place/CoHee+Studio/data=!4m7!3m6!1s0x3403f70e0fdbc589:0x6e17b2340fd98b19!8m2!3d22.4404745!4d114.0612807!16s%2Fg%2F11ghyw6wc2!19sChIJicXbDw73AzQRGYvZDzSyF24?authuser=0&hl=zh-TW&rclk=1
ChIJE6uQuKcHBDQRIwvpCTj7GNQ,Uchi Wu Zi (Da Wei  Tai Wai),"Ming Liang De Xian Dai Feng Ka Pei Guan ,Gong Ying Ri Ben Liao Li , Tian Dian He Nai Xi . ",False,396,"Name: Xing Yun Bing Shi 
link: https://www.google.com/maps/search/%E5%B9%B8%E9%81%8B%E5%86%B0%E5%AE%A4/@22.3768718,114.178557?authuser=0&hl=zh-TW&entry=ttu
Reviews: 166 reviews

Name: Cozy Coffee
link: https://www.google.com/maps/search/Cozy+Coffee/@22.3746018,114.179325?authuser=0&hl=zh-TW&entry=ttu
Reviews: 155 reviews

Name: Na.Bi Yun Die 
link: https://www.google.com/maps/search/Na.Bi+%E9%9B%B2%E8%9D%B6/@22.3685312,114.1775646?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: JackyMiao Cha Wu  Jackycat Teahouse
link: https://www.google.com/maps/search/Jacky%E5%96%B5%E8%8C%B6%E5%B1%8B+Jackycat+Teahouse/@22.3767067,114.17875079999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://www.instagram.com/uchicoffee_hk/,Wu Zi Ka Pei  Uchi Coffee (Ye Zhu ),https://www.google.com/maps/contrib/101379388529282006454,https://lh5.googleusercontent.com/p/AF1QipPSRvndy5WMMEdCUvctTahnMVy_OyfAg9H62dM2=w408-h531-k-no,Ri Ben Can Ting ,"Ri Ben Can Ting , Ka Pei Dian ",3.9,11:30-22:00,Open All Days,2677 3218,Da Wei Ji Xin Jie 31-51Hao An Xin Lou Wu Zi Ka Pei  Uchi Coffee49 Di Xia P Pu ,"Tian Pin , cafe, Wo Fu , Shu Hu Li , Ding Shi , Mo Cha , Gan Jue , Xuan Ze , Cha Pao Fan , Xiang ",https://www.google.com/maps/place/Uchi+%E5%B1%8B%E5%AD%90%EF%BC%88%E5%A4%A7%E5%9C%8D+Tai+Wai%29/data=!4m7!3m6!1s0x340407a7b890ab13:0xd418fb3809e90b23!8m2!3d22.3765086!4d114.1782063!16s%2Fg%2F12m8_1k51!19sChIJE6uQuKcHBDQRIwvpCTj7GNQ?authuser=0&hl=zh-TW&rclk=1
ChIJD22VanwABDQRNjXOtwOJyjo,Zi Sha Cha Can Ting ,,False,363,"Name: Mi Mi Cha Can Ting 
link: https://www.google.com/maps/search/%E5%92%AA%E5%92%AA%E8%8C%B6%E9%A4%90%E5%BB%B3/@22.285724899999998,114.1513289?authuser=0&hl=zh-TW&entry=ttu
Reviews: 350 reviews

Name: Mei Hua Cha Can Ting 
link: https://www.google.com/maps/search/%E7%BE%8E%E8%8F%AF%E8%8C%B6%E9%A4%90%E5%BB%B3/@22.2839301,114.15299879999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews

Name: Su Hang Can Ting 
link: https://www.google.com/maps/search/%E8%98%87%E6%9D%AD%E9%A4%90%E5%BB%B3/@22.2851861,114.1527754?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews

Name: Zhi Fan 
link: https://www.google.com/maps/search/%E7%9F%A5%E9%A3%AF/@22.285809999999998,114.1500676?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Kuai 8Kuai Can 
link: https://www.google.com/maps/search/%E5%BF%AB8%E5%BF%AB%E9%A4%90/@22.2856174,114.1519494?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/pages/Ma-SA-Restaurant/126367954099810,Zi Sha Cha Can Ting  (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMyLh737ysLtSaDgMV_Ssj1P1zsvjRD6P3qW9nF=w408-h305-k-no,Gang Shi Kuai Can Dian ,"Gang Shi Kuai Can Dian , Zhong Can Guan , Kuai Can Dian ",3.9,06:00-17:00,Xing Qi Ri ,2545 9026,"G/F, Zi Sha Cha Can Ting 23 Hillier St, Sheung Wan","Fan , Cha Shao , Jian Dan , Shi You , Wu Can Rou , Huo Tui , Zhao Pai ",https://www.google.com/maps/place/%E5%AD%96%E6%B2%99%E8%8C%B6%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x3404007c6a956d0f:0x3aca8903b7ce3536!8m2!3d22.2853499!4d114.1514191!16s%2Fg%2F1tgf0tmq!19sChIJD22VanwABDQRNjXOtwOJyjo?authuser=0&hl=zh-TW&rclk=1
ChIJ32eGF3wABDQRGLekTcrV9ss,Kaffeine,,False,324,"Name: The Cupping Room (Shang Huan )
link: https://www.google.com/maps/search/The+Cupping+Room+%28%E4%B8%8A%E7%92%B0%29/@22.2850412,114.15055179999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 849 reviews

Name: Barista Jam
link: https://www.google.com/maps/search/Barista+Jam/@22.285622,114.150544?authuser=0&hl=zh-TW&entry=ttu
Reviews: 419 reviews

Name: Coco Espresso
link: https://www.google.com/maps/search/Coco+Espresso/@22.285214699999997,114.1523998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 265 reviews

Name: Fast Gourmet
link: https://www.google.com/maps/search/Fast+Gourmet/@22.2838885,114.15226109999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 257 reviews

Name: Meanwhile Coffee
link: https://www.google.com/maps/search/Meanwhile+Coffee/@22.2847339,114.1509813?authuser=0&hl=zh-TW&entry=ttu
Reviews: 126 reviews",https://www.facebook.com/kaffeinehk/,Kaffeine (Ye Zhu ),https://www.google.com/maps/contrib/107025819047189254688,https://lh5.googleusercontent.com/p/AF1QipPZvH112bRU56qCwv_P-IaOubz2pQbo4yRObKz3=w408-h408-k-no,Can Ting ,"Can Ting , Ka Pei Ting ",4.1,08:00-18:00,Open All Days,2639 5100,"Kaffeine, 108 Jervois St, Sheung Wan","cafe, Dan Gao , Niu You Guo , scone, Niu Jiao Bao , brunch, espresso, flat white, She Ji , cappuccino",https://www.google.com/maps/place/Kaffeine/data=!4m7!3m6!1s0x3404007c178667df:0xcbf6d5ca4da4b718!8m2!3d22.2853119!4d114.1505434!16s%2Fg%2F11f03p_7t9!19sChIJ32eGF3wABDQRGLekTcrV9ss?authuser=0&hl=zh-TW&rclk=1
ChIJESEDW-cHBDQR66yoRA-RjvY,Cozy Coffee,,False,155,"Name: Mu Yang Shao Nian Ka Pei Guan  (Sha Tian )
link: https://www.google.com/maps/search/%E7%89%A7%E7%BE%8A%E5%B0%91%E5%B9%B4%E5%92%96%E5%95%A1%E9%A4%A8+%28%E6%B2%99%E7%94%B0%29/@22.3768793,114.18537189999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 622 reviews

Name: Lou Shang  Cafe - Da Wei Dian 
link: https://www.google.com/maps/search/%E6%A8%93%E4%B8%8A+Cafe+-+%E5%A4%A7%E5%9C%8D%E5%BA%97/@22.3765031,114.1804045?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews

Name: The Shack Cafe
link: https://www.google.com/maps/search/The+Shack+Cafe/@22.3692603,114.1783336?authuser=0&hl=zh-TW&entry=ttu
Reviews: 40 reviews

Name: JackyMiao Cha Wu  Jackycat Teahouse
link: https://www.google.com/maps/search/Jacky%E5%96%B5%E8%8C%B6%E5%B1%8B+Jackycat+Teahouse/@22.3767067,114.17875079999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",http://cozycoffeeclub.com/,Cozy Coffee (Ye Zhu ),https://www.google.com/maps/contrib/109834627379991812513,https://lh5.googleusercontent.com/p/AF1QipMtXkZNIyli_ruC_n54RH1UKK0umzH-xtRo0Xjp=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",3.3,11:00-20:00,Open All Days,6511 8708,"Sha Tian  Da Wei , Da Wei Ji Fu Jie 64-66Hao Di Xia CHao Pu Cozy Coffee","Jia Qian , Bei , Shu Tiao , Yi Fen , Shu Shi , Suan , Xiao Fei , Long Xia , Chong Wu ",https://www.google.com/maps/place/Cozy+Coffee/data=!4m7!3m6!1s0x340407e75b032111:0xf68e910f44a8aceb!8m2!3d22.3746018!4d114.179325!16s%2Fg%2F11hf779665!19sChIJESEDW-cHBDQR66yoRA-RjvY?authuser=0&hl=zh-TW&rclk=1
ChIJH8dUnI0BBDQR-jV8Sy_0mro,Mu Wei Er Xiang Gang Zhu Cha Suo ,,False,107,"Name: Xi Cha  HEYTEA (Shi Dai Guang Chang )
link: https://www.google.com/maps/search/%E5%96%9C%E8%8C%B6+HEYTEA+%28%E6%99%82%E4%BB%A3%E5%BB%A3%E5%A0%B4%29/@22.278150999999998,114.1821136?authuser=0&hl=zh-TW&entry=ttu
Reviews: 264 reviews

Name: Mother Pearl Causeway Bay
link: https://www.google.com/maps/search/Mother+Pearl+Causeway+Bay/@22.280731799999998,114.18377679999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: Qing Huan Ren Jian Cha Xie  Glassbelly Tea Lab
link: https://www.google.com/maps/search/%E6%B8%85%E6%AD%A1%E4%BA%BA%E9%96%93%E8%8C%B6%E8%91%89+Glassbelly+Tea+Lab/@22.2785794,114.1855781?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Mood Chill
link: https://www.google.com/maps/search/Mood+Chill/@22.2776316,114.1819511?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/EUROPATEAHK/,Mu Wei Er Xiang Gang Zhu Cha Suo  (Ye Zhu ),https://www.google.com/maps/contrib/115420700859549857151,https://lh5.googleusercontent.com/p/AF1QipM4QnPM2OEyK3_9VWA8XuLTc16nkXeyIAsSQArT=w501-h240-k-no,Zhen Zhu Nai Cha Dian ,"Zhen Zhu Nai Cha Dian , Can Ting ",4.3,12:30-22:00,Open All Days,3618 7576,Tong Luo Wan Yi He Jie 22Hao Zha Dian Jie Fang Xiang Di Tie Zhan F1Chu Kou Mu Wei Er Xiang Gang Zhu Cha Suo  Di Xia 3Hao Pu ,"Tie Guan Yin , Tian , Bei , Bo Jue , Xuan Ze , Jia Ge , Mi , Fu Wu , Hei Tang ",https://www.google.com/maps/place/%E6%9C%A8%E8%A1%9B%E4%BA%8C%E9%A6%99%E6%B8%AF%E9%91%84%E8%8C%B6%E6%89%80/data=!4m7!3m6!1s0x3404018d9c54c71f:0xba9af42f4b7c35fa!8m2!3d22.2796913!4d114.1850774!16s%2Fg%2F11g0lfb3dq!19sChIJH8dUnI0BBDQR-jV8Sy_0mro?authuser=0&hl=zh-TW&rclk=1
ChIJR2AGu-X3AzQRXyuqhT9t658,CoHee (Fanling),,False,80,"Name: CoHee Studio
link: https://www.google.com/maps/search/CoHee+Studio/@22.4404745,114.0612807?authuser=0&hl=zh-TW&entry=ttu
Reviews: 403 reviews

Name: Fanling Hideout
link: https://www.google.com/maps/search/Fanling+Hideout/@22.495882599999998,114.14046139999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 42 reviews

Name: Fen Ling Shi Duo 
link: https://www.google.com/maps/search/%E7%B2%89%E5%B6%BA%E5%A3%AB%E5%A4%9A/@22.49568,114.1365?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews",http://coheehk.com/,CoHee (Fanling) (Ye Zhu ),https://www.google.com/maps/contrib/105549718725046363914,https://lh5.googleusercontent.com/p/AF1QipNGzypQFtF-SLCqeRcU2jHBLIzHCNuelUHevQaZ=w408-h612-k-no,Ka Pei Dian ,Ka Pei Dian ,4.1,09:00-18:00,Open All Days,6699 0898,"G/F, CoHee (Fanling), 302 Jockey Club Rd, Fanling","Huan Jing , bagel, Shu Shi , Shi Wu Zhi Su , Sha Lu , Zuo Wei , Zao Can , Yi Fen , Bei , Fu Wu ",https://www.google.com/maps/place/CoHee+%28Fanling%29/data=!4m7!3m6!1s0x3403f7e5bb066047:0x9feb6d3f85aa2b5f!8m2!3d22.4951418!4d114.1398534!16s%2Fg%2F11t7mx7y0b!19sChIJR2AGu-X3AzQRXyuqhT9t658?authuser=0&hl=zh-TW&rclk=1
ChIJJbJH8-YABDQRfjxcCdZF5Js,TeaTai Wu ,,False,76,"Name: Hong Cong Tou 
link: https://www.google.com/maps/search/%E7%B4%85%E8%94%A5%E9%A0%AD/@22.303171,114.1833949?authuser=0&hl=zh-TW&entry=ttu
Reviews: 83 reviews

Name: Zhi Fu Du Hui Mei Shi Guang Chang 
link: https://www.google.com/maps/search/%E7%BD%AE%E5%AF%8C%E9%83%BD%E6%9C%83%E7%BE%8E%E9%A3%9F%E5%BB%A3%E5%A0%B4/@22.3036075,114.1833075?authuser=0&hl=zh-TW&entry=ttu
Reviews: 78 reviews

Name: Shi San Yi Suan Cai Yu (Hong Kan )
link: https://www.google.com/maps/search/%E5%8D%81%E4%B8%89%E5%A7%A8%E9%85%B8%E8%8F%9C%E9%AD%9A%28%E7%B4%85%E7%A3%A1%29/@22.302337599999998,114.18351679999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: Xin Jia Po Nan Xiang Feng Wei Guan 
link: https://www.google.com/maps/search/%E6%96%B0%E5%8A%A0%E5%9D%A1%E5%8D%97%E9%A6%99%E9%A2%A8%E5%91%B3%E9%A4%A8/@22.302781,114.183191?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews",http://www.facebook.com/teahouse.hongkong/,TeaTai Wu  (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPqh5YgsN4gRZzFAomXlh8hi438J9jHlGigh0cA=w408-h306-k-no,Tai Wan Can Ting ,Tai Wan Can Ting ,3.4,11:30-22:00,Open All Days,3162 3513,Hong Kan Wan Du Hui Dao Guo Ji Du Hui Zhi Fu Du Hui TeaTai Wu ,"Jia Qian , Du , Nai Cha ",https://www.google.com/maps/place/Tea%E5%8F%B0%E5%B1%8B/data=!4m7!3m6!1s0x340400e6f347b225:0x9be445d6095c3c7e!8m2!3d22.3027326!4d114.1830322!16s%2Fg%2F11hd5fbq8z!19sChIJJbJH8-YABDQRfjxcCdZF5Js?authuser=0&hl=zh-TW&rclk=1
ChIJjbeaj-IHBDQRjXxvnZXMk60,Lou Shang  Cafe - Da Wei Dian ,,False,66,"Name: E For Egg Cafe
link: https://www.google.com/maps/search/E+For+Egg+Cafe/@22.3764041,114.1792885?authuser=0&hl=zh-TW&entry=ttu
Reviews: 211 reviews

Name: FourxFour
link: https://www.google.com/maps/search/FourxFour/@22.364338999999998,114.17455109999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 201 reviews

Name: TS' Taste cafe
link: https://www.google.com/maps/search/TS%E2%80%99+Taste+cafe/@22.369287399999997,114.1789017?authuser=0&hl=zh-TW&entry=ttu
Reviews: 164 reviews

Name: Cozy Coffee
link: https://www.google.com/maps/search/Cozy+Coffee/@22.3746018,114.179325?authuser=0&hl=zh-TW&entry=ttu
Reviews: 155 reviews

Name: Lou Shang  - Sha Tian Dian 
link: https://www.google.com/maps/search/%E6%A8%93%E4%B8%8A+-+%E6%B2%99%E7%94%B0%E5%BA%97/@22.382571799999997,114.187624?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews",http://www.hkjebn.com/,Lou Shang  Cafe - Da Wei Dian  (Ye Zhu ),https://www.google.com/maps/contrib/102107695035904999036,https://lh5.googleusercontent.com/p/AF1QipNxx3w5fQCJSChbypUNnhiO83IMaVci0X5c5h0l=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,10:00-20:00,Open All Days,2702 0322,"Di Xia  Lou Shang  Cafe - Da Wei Dian , Lou Shang Ji Tuan Zhong Xin 13-15Hao  Cheng Yun Lu Da Wei ","You Xian , Chao Shi , Qing Jie , Kong Jian , Zuo Wei , Fu Wu , Jia Qian ",https://www.google.com/maps/place/%E6%A8%93%E4%B8%8A+Cafe+-+%E5%A4%A7%E5%9C%8D%E5%BA%97/data=!4m7!3m6!1s0x340407e28f9ab78d:0xad93cc959d6f7c8d!8m2!3d22.3765031!4d114.1804045!16s%2Fg%2F11f652wmnp!19sChIJjbeaj-IHBDQRjXxvnZXMk60?authuser=0&hl=zh-TW&rclk=1
ChIJtSemqdwBBDQRmUVeNTNHOTk,Brewed,,False,66,"Name: Green Waffle Diner
link: https://www.google.com/maps/search/Green+Waffle+Diner/@22.2826499,114.1533293?authuser=0&hl=zh-TW&entry=ttu
Reviews: 496 reviews

Name: Barista Jam
link: https://www.google.com/maps/search/Barista+Jam/@22.285622,114.150544?authuser=0&hl=zh-TW&entry=ttu
Reviews: 419 reviews

Name: Friday Cafe & Wine Bar
link: https://www.google.com/maps/search/Friday+Cafe+%26+Wine+Bar/@22.2854839,114.1520444?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews",https://instagram.com/brewed.hk%3Figshid%3DYmMyMTA2M2Y%3D,Brewed (Ye Zhu ),https://www.google.com/maps/contrib/101299079631134270322,https://lh5.googleusercontent.com/p/AF1QipOsJI0jkyxkzcAu56FgZc_FwiMfxWCaRG6qeKEb=w408-h547-k-no,Ka Pei Ting ,"Ka Pei Ting , Can Ting ",4.3,09:00-18:00,Open All Days,6135 8882,"Zhong Huan Shop E, G/F, Fu Fai Commercial Centre, 27 Hillier StreetBrewed","Na Tie , Suan Zhong , Jia Ge , Xi Duo Shi , brunch, Sha Lu , Yi Fen , Song Xie Xie , Kai Wei ",https://www.google.com/maps/place/Brewed/data=!4m7!3m6!1s0x340401dca9a627b5:0x39394733355e4599!8m2!3d22.285168!4d114.1512508!16s%2Fg%2F11mvyqxppf!19sChIJtSemqdwBBDQRmUVeNTNHOTk?authuser=0&hl=zh-TW&rclk=1
