place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJvaKBjiz6DjkRlT6Q1y-CWxo,Pyramid Yamunanagar | Microbrewery | Cafe | Lounge | Bar | Best Nightclub,,False,2625,"Name: GAUTAM'S O DINE
link: https://www.google.com/maps/search/GAUTAM%27S+O+DINE/@30.135039199999998,77.29340669999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2205 reviews

Name: The Brew Estate Yamuna Nagar
link: https://www.google.com/maps/search/The+Brew+Estate+Yamuna+Nagar/@30.135606499999994,77.29282789999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 427 reviews

Name: Peddlers Yamunanagar
link: https://www.google.com/maps/search/Peddlers+Yamunanagar/@30.1352753,77.2935682?authuser=0&hl=zh-TW&entry=ttu
Reviews: 353 reviews

Name: Urban Baithak
link: https://www.google.com/maps/search/Urban+Baithak/@30.1351081,77.28730019999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 331 reviews",http://www.pyramidcafe.in/,Pyramid Yamunanagar | Microbrewery | Cafe | Lounge | Bar | Best Nightclub (Ye Zhu ),https://www.google.com/maps/contrib/116951158646128619280,https://lh5.googleusercontent.com/p/AF1QipPbqJOzufkfVZT-5lVS7jxvC7U28wviB-O04Qp5=w408-h272-k-no,Can Ting ,"Can Ting , Yan Hui Ting , Jiu Ba , Jiu Chang Jiu Ba , Ka Pei Ting , Zhong Can Guan , Yin Du Can Ting , Yi Da Li Can Ting , Jiu Ba Ya Zuo , Ye Zong Hui ",4.2,11:00-23:00,Open All Days,+91 81989 05252,"Pyramid Yamunanagar | Microbrewery | Cafe | Lounge | Bar | Best Nightclub, MELA SINGH CHOWK MODEL TOWN,Besides IDBI, Yamuna Nagar, Haryana 135001Yin Du ","Kuan Dai , Ju Hui , Le Tuan , Guan Li , Fen Wei , Yan Chang Hui ",https://www.google.com/maps/place/Pyramid+Yamunanagar+%7C+Microbrewery+%7C+Caf%C3%A9+%7C+Lounge+%7C+Bar+%7C+Best+Nightclub/data=!4m7!3m6!1s0x390efa2c8e81a2bd:0x1a5b822fd7903e95!8m2!3d30.134953!4d77.2933426!16s%2Fg%2F11c1w0vf25!19sChIJvaKBjiz6DjkRlT6Q1y-CWxo?authuser=0&hl=zh-TW&rclk=1
ChIJ32LxiID5DjkRh0Cc2j1V--w,W3 cafe,,False,477,"Name: Chai Sutta Bar | Best Cafe in Yamunanagar
link: https://www.google.com/maps/search/Chai+Sutta+Bar+%7C+Best+Cafe+in+Yamunanagar/@30.140207200000003,77.28775259999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 513 reviews

Name: Brewberrys - the Coffee Bar
link: https://www.google.com/maps/search/Brewberrys+-+the+Coffee+Bar/@30.136048100000004,77.2916327?authuser=0&hl=zh-TW&entry=ttu
Reviews: 423 reviews

Name: Urban Baithak
link: https://www.google.com/maps/search/Urban+Baithak/@30.1351081,77.28730019999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 331 reviews

Name: 3 Cheers
link: https://www.google.com/maps/search/3+Cheers/@30.134897000000002,77.28734850000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 232 reviews

Name: Green Cafe Royale Restaurant
link: https://www.google.com/maps/search/Green+Cafe+Royale+Restaurant/@30.1317456,77.2917379?authuser=0&hl=zh-TW&entry=ttu
Reviews: 175 reviews",https://w3-cafe.business.site/,W3 cafe (Ye Zhu ),https://www.google.com/maps/contrib/110879336538799106571,https://lh5.googleusercontent.com/p/AF1QipP-TNKqyDo17z4EdheaDxMw5msQSEs3wodWfTg=w408-h611-k-no,Ka Pei Ting ,"Ka Pei Ting , Zhong Can Guan , Su Shi Can Ting ",4.1,,Open All Days,+91 80000 01948,"W3 cafe, 203 L , 1st Floor . Opp Monty Carlo , Paras Ram chownk, Model Town, Yamuna Nagar, Haryana 135001Yin Du ","Ju Hui , Zhuang Xiu , Jing Yan , Shi Wu Pin Zhi , Jia Ge , Xiang Liao , Yi Da Li Mian ",https://www.google.com/maps/place/W3+caf%C3%A9/data=!4m7!3m6!1s0x390ef98088f162df:0xecfb553dda9c4087!8m2!3d30.1335893!4d77.2857931!16s%2Fg%2F11hbst3klq!19sChIJ32LxiID5DjkRh0Cc2j1V--w?authuser=0&hl=zh-TW&rclk=1
ChIJRc1DM5n5DjkRYb-8us07sFI,Brewberrys - the Coffee Bar,,False,423,"Name: Chai Sutta Bar | Best Cafe in Yamunanagar
link: https://www.google.com/maps/search/Chai+Sutta+Bar+%7C+Best+Cafe+in+Yamunanagar/@30.140207200000003,77.28775259999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 513 reviews

Name: Urban Baithak
link: https://www.google.com/maps/search/Urban+Baithak/@30.1351081,77.28730019999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 331 reviews

Name: Barista
link: https://www.google.com/maps/search/Barista/@30.138507899999993,77.29109559999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 296 reviews",https://brewberrys-the-coffee-bar-coffee-shop.business.site/,Brewberrys - the Coffee Bar (Ye Zhu ),https://www.google.com/maps/contrib/111343596797563879116,https://lh5.googleusercontent.com/p/AF1QipOAM9X82sLdT1Q5i-yhNwpyc-9WU70h1ZI_3nHc=w408-h544-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",4.4,09:00-23:00,Open All Days,+91 93552 45455,"Brewberrys - the Coffee Bar, 58c First Floor, above IMPERIA Apple store, Model Town, Yamuna Nagar, Haryana 135001Yin Du ","You Xi , Yin Le , Jia Ge , Huan Jing , Pin Zhi , Bu Lang Ni , Kai Xin , Nai Xi , Xiao Chi ",https://www.google.com/maps/place/Brewberrys+-+the+Coffee+Bar/data=!4m7!3m6!1s0x390ef9993343cd45:0x52b03bcdbabcbf61!8m2!3d30.1360481!4d77.2916327!16s%2Fg%2F11c5bjs4jr!19sChIJRc1DM5n5DjkRYb-8us07sFI?authuser=0&hl=zh-TW&rclk=1
ChIJEyBXiyz6DjkRCG0e2Tfldww,Cafe Coffee Day,,False,422,"Name: Brewberrys - the Coffee Bar
link: https://www.google.com/maps/search/Brewberrys+-+the+Coffee+Bar/@30.136048100000004,77.2916327?authuser=0&hl=zh-TW&entry=ttu
Reviews: 423 reviews

Name: The Food Dimension
link: https://www.google.com/maps/search/The+Food+Dimension/@30.1377597,77.2875251?authuser=0&hl=zh-TW&entry=ttu
Reviews: 374 reviews

Name: Urban Baithak
link: https://www.google.com/maps/search/Urban+Baithak/@30.1351081,77.28730019999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 331 reviews

Name: Barista
link: https://www.google.com/maps/search/Barista/@30.138507899999993,77.29109559999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 296 reviews

Name: The Tim cafe
link: https://www.google.com/maps/search/The+Tim+cafe/@30.1331581,77.2924889?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews",https://www.cafecoffeeday.com/store-locator/haryana,Cafe Coffee Day (Ye Zhu ),https://www.google.com/maps/contrib/117343173149033552969,https://lh5.googleusercontent.com/p/AF1QipPZumCCKouhUP2-LBhEaLmsKtGiNrktPYqlILat=w408-h544-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , Tian Pin Can Ting , San Wen Zhi Dian ",3.9,,Open All Days,+91 1800 102 5093,"Cafe Coffee Day, 103, Nehru Park Rd, Model Town, Yamuna Nagar, Yamunanagar, Haryana 135001Yin Du ","Jing Yan , outlet, Mian Ji , Ting Che , Dan Gao ",https://www.google.com/maps/place/Caf%C3%A9+Coffee+Day/data=!4m7!3m6!1s0x390efa2c8b572013:0xc77e537d91e6d08!8m2!3d30.1349828!4d77.2935424!16s%2Fg%2F1tgz8rbg!19sChIJEyBXiyz6DjkRCG0e2Tfldww?authuser=0&hl=zh-TW&rclk=1
ChIJIT0W6tL7DjkRhnxbdyyVgcw,Havmor Ice Cream yamunanagar,,False,404,"Name: Amul ice cream Parlour
link: https://www.google.com/maps/search/Amul+ice+cream+Parlour/@30.1374876,77.29432?authuser=0&hl=zh-TW&entry=ttu
Reviews: 781 reviews

Name: HAV NATURAL
link: https://www.google.com/maps/search/HAV+NATURAL/@30.1359121,77.2914102?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Real Star Ice Cream
link: https://www.google.com/maps/search/Real+Star+Ice+Cream/@30.127397599999995,77.3012219?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Giani's
link: https://www.google.com/maps/search/Giani%27s/@30.136035399999997,77.29172489999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: HF Super Ice Cream Parlour
link: https://www.google.com/maps/search/HF+Super+Ice+Cream+Parlour/@30.1346307,77.29504639999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://www.havmor.com/,Havmor Ice Cream yamunanagar (Ye Zhu ),https://www.google.com/maps/contrib/102157160317238750933,https://lh5.googleusercontent.com/p/AF1QipOTGinCiQKAozyWTrnkIYkDL567j8sB2EZxeKIO=w427-h240-k-no,Xue Gao Dian ,Xue Gao Dian ,4.4,10:30-23:00,Open All Days,+91 87086 07989,"Havmor Ice Cream yamunanagar, 1, Chotti Line, Professor Colony, Krishna Colony, Prem Colony, Yamuna Nagar, Jagadhri, Haryana 135001Yin Du ","Kou Wei , Pin Pai ",https://www.google.com/maps/place/Havmor+Ice+Cream+yamunanagar/data=!4m7!3m6!1s0x390efbd2ea163d21:0xcc81952c775b7c86!8m2!3d30.1404313!4d77.2975999!16s%2Fg%2F11fzfbd48j!19sChIJIT0W6tL7DjkRhnxbdyyVgcw?authuser=0&hl=zh-TW&rclk=1
ChIJM0KmQNX7DjkR4-KpDhUhgm4,The Food Dimension,,False,374,"Name: Grill Masters Yamunanagar
link: https://www.google.com/maps/search/Grill+Masters+Yamunanagar/@30.135347,77.2931287?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1341 reviews

Name: Party Hall In Yamunanagar - Dad's Cafe - Fast Food In Yamunanagar
link: https://www.google.com/maps/search/Party+Hall+In+Yamunanagar+-+Dad%27s+Cafe+-+Fast+Food+In+Yamunanagar/@30.1422296,77.28989279999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 60 reviews

Name: FOODIZM the Food Yard
link: https://www.google.com/maps/search/FOODIZM+the+Food+Yard/@30.133191,77.292379?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews",https://thefooddimension.business.site/,The Food Dimension (Ye Zhu ),https://www.google.com/maps/contrib/115675850823351242007,https://lh5.googleusercontent.com/p/AF1QipOnzaggTni0kYlWSpqMu_vyV22DoJh0aUsGUp77=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , Can Ting ",4.3,09:00-23:00,Open All Days,+91 89502 30758,"The Food Dimension, Sarojini Colony, Model Town, Yamuna Nagar, Yamunanagar, Haryana 135001Yin Du ","Pin Zhi , Yi Da Li Mian , Jia Ge , Xiao Chi , Song Bing , Juan Bing , Bai Jiang , Nai Xi , Ji Rou ",https://www.google.com/maps/place/The+Food+Dimension/data=!4m7!3m6!1s0x390efbd540a64233:0x6e8221150ea9e2e3!8m2!3d30.1377597!4d77.2875251!16s%2Fg%2F11g01tsxsy!19sChIJM0KmQNX7DjkR4-KpDhUhgm4?authuser=0&hl=zh-TW&rclk=1
ChIJU1_XqsX7DjkRltFi88aGZ_Q,Mango's Burger Cafe,,False,368,"Name: Grill Masters Yamunanagar
link: https://www.google.com/maps/search/Grill+Masters+Yamunanagar/@30.135347,77.2931287?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1341 reviews

Name: Maggo's Panj Taara
link: https://www.google.com/maps/search/Maggo%27s+Panj+Taara/@30.1410349,77.30000799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 582 reviews

Name: Green Cafe Royale Restaurant
link: https://www.google.com/maps/search/Green+Cafe+Royale+Restaurant/@30.1317456,77.2917379?authuser=0&hl=zh-TW&entry=ttu
Reviews: 175 reviews

Name: Party Hall In Yamunanagar - Dad's Cafe - Fast Food In Yamunanagar
link: https://www.google.com/maps/search/Party+Hall+In+Yamunanagar+-+Dad%27s+Cafe+-+Fast+Food+In+Yamunanagar/@30.1422296,77.28989279999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 60 reviews

Name: Burger Xpress
link: https://www.google.com/maps/search/Burger+Xpress/@30.136281000000004,77.2892586?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews",https://m.facebook.com/mangosburgercafehuda/,Mango's Burger Cafe (Ye Zhu ),https://www.google.com/maps/contrib/115536377050637066979,https://lh5.googleusercontent.com/p/AF1QipOCnjqpPwem6EY73PRUofhM0A1HCBNgCRxyOQo=w426-h240-k-no,Han Bao Can Ting ,"Han Bao Can Ting , Zao Can Can Ting , Ka Pei Ting , Kuai Can Dian ",4.3,11:00-22:30,Open All Days,+91 93559 35576,"Mango's Burger Cafe, Huda Market 1, 17 Sec, near Income Tax Office, Jagadhri, Haryana 135003Yin Du ","Jia Ge , Shi Wu Pin Zhi , Yi Da Li Mian , Nai Xi ",https://www.google.com/maps/place/Mango%27s+Burger+Cafe/data=!4m7!3m6!1s0x390efbc5aad75f53:0xf46786c6f362d196!8m2!3d30.1482575!4d77.2952775!16s%2Fg%2F11c6cc6g35!19sChIJU1_XqsX7DjkRltFi88aGZ_Q?authuser=0&hl=zh-TW&rclk=1
ChIJdcPyVSz6DjkRllZkh8sW2hQ,Shubh Bakery ( Bakery Classes Near Me),,False,336,"Name: Shubham Bakers and Confectionary
link: https://www.google.com/maps/search/Shubham+Bakers+and+Confectionary/@30.1354337,77.2811821?authuser=0&hl=zh-TW&entry=ttu
Reviews: 318 reviews

Name: Chandigarh Cakes & Bakers
link: https://www.google.com/maps/search/Chandigarh+Cakes+%26+Bakers/@30.1305274,77.2926596?authuser=0&hl=zh-TW&entry=ttu
Reviews: 288 reviews

Name: Shivam Bakers
link: https://www.google.com/maps/search/Shivam+Bakers/@30.1296378,77.3004866?authuser=0&hl=zh-TW&entry=ttu
Reviews: 177 reviews

Name: Nutbit Choco
link: https://www.google.com/maps/search/Nutbit+Choco/@30.137936000000003,77.29181299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 118 reviews

Name: Sehgal Bakery
link: https://www.google.com/maps/search/Sehgal+Bakery/@30.1307919,77.2966826?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews",http://shubhbakery.in/,Shubh Bakery ( Bakery Classes Near Me) (Ye Zhu ),https://www.google.com/maps/contrib/112234733235788707215,https://lh5.googleusercontent.com/p/AF1QipO_3wODPG-G-138UqmBu7-7Usw1TGS6JKK0BOt3=w408-h306-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.2,07:55-22:15,Open All Days,+91 97290 05165,"Shubh Bakery ( Bakery Classes Near Me), Pyara chowk, Nehru Park Rd, Model Town, Yamuna Nagar, Haryana 135001Yin Du ","Pin Zhi , Jia Ge , Chan Pin , Xiang Zhen , Jing Yan , Qiao Ke Li ",https://www.google.com/maps/place/Shubh+Bakery+%28+Bakery+Classes+Near+Me%29/data=!4m7!3m6!1s0x390efa2c55f2c375:0x14da16cb87645696!8m2!3d30.1345954!4d77.2948757!16s%2Fg%2F11g_vf9l2!19sChIJdcPyVSz6DjkRllZkh8sW2hQ?authuser=0&hl=zh-TW&rclk=1
ChIJy-w3L_L7DjkRI3F9val1i0s,Barista,,False,297,"Name: Chai Sutta Bar | Best Cafe in Yamunanagar
link: https://www.google.com/maps/search/Chai+Sutta+Bar+%7C+Best+Cafe+in+Yamunanagar/@30.140207200000003,77.28775259999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 513 reviews

Name: Brewberrys - the Coffee Bar
link: https://www.google.com/maps/search/Brewberrys+-+the+Coffee+Bar/@30.136048100000004,77.2916327?authuser=0&hl=zh-TW&entry=ttu
Reviews: 423 reviews

Name: Urban Baithak
link: https://www.google.com/maps/search/Urban+Baithak/@30.1351081,77.28730019999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 331 reviews

Name: The Tim cafe
link: https://www.google.com/maps/search/The+Tim+cafe/@30.1331581,77.2924889?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews",http://instagram.com/baristayamunanagar,Barista (Ye Zhu ),https://www.google.com/maps/contrib/111015589676513813886,https://lh5.googleusercontent.com/p/AF1QipOeYdh32XK6zIbpL0UPKT_cJK4iVK9jO-nznnBi=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,10:00-23:00,Open All Days,+91 93193 92273,"Barista, 20, Gobindpuri Rd, Krishna Colony, PO, Yamuna Nagar, Haryana 135106Yin Du ","Jing Yan , Yan Chang Hui , Jia Ge , atmosphere, Bang Wan , Pin Zhi , Dan Gao , Jia Ting , Xing Wei ",https://www.google.com/maps/place/Barista/data=!4m7!3m6!1s0x390efbf22f37eccb:0x4b8b75a9bd7d7123!8m2!3d30.1385079!4d77.2910956!16s%2Fg%2F11ry7gslz6!19sChIJy-w3L_L7DjkRI3F9val1i0s?authuser=0&hl=zh-TW&rclk=1
ChIJxVleKF75DjkRzzTcuKGnH6U,Dalroz,,False,231,"Name: Luscious Breads
link: https://www.google.com/maps/search/Luscious+Breads/@30.1347201,77.2902802?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews

Name: Village Bakers And Cafe
link: https://www.google.com/maps/search/Village+Bakers+And+Cafe/@30.1583188,77.2989004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews

Name: Casa Delicia
link: https://www.google.com/maps/search/Casa+Delicia/@30.147639400000003,77.2952389?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews",http://www.dalroz.com/,Dalroz (Ye Zhu ),https://www.google.com/maps/contrib/105276694021083636009,https://lh5.googleusercontent.com/p/AF1QipPPejmgYqihlfyQZ5cYpDOA7i_5fQsmVVKsJmpD=w408-h306-k-no,Xi Bing Dian ,"Xi Bing Dian , Ka Pei Dian , Bei Zi Dan Gao Dian , Bo Bing Can Ting ",4.7,11:00-22:00,Open All Days,+91 80138 01010,"Second Floor, Dalroz, SCO 91, Yamunanagar road, Sector 17, Huda, Jagadhri, Haryana 135003Yin Du ","Ka Pei Ting , Pei Song , Jia Ge , Mei , She Ji , Yun Qi , Bing Gan , Pi Sa , Bei Zi Dan Gao ",https://www.google.com/maps/place/Dalroz/data=!4m7!3m6!1s0x390ef95e285e59c5:0xa51fa7a1b8dc34cf!8m2!3d30.1581771!4d77.2940538!16s%2Fg%2F11frqrfw_l!19sChIJxVleKF75DjkRzzTcuKGnH6U?authuser=0&hl=zh-TW&rclk=1
