place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJewI0zSoHBDQROd4UKT6Ark0,Rings Coffee,"Pu Shi De Xiao Xing Ka Pei Ting ,Gong Ying Ka Pei , Cha Yin He Chang Jian De Yi Guo Mei Shi . ",False,511,"Name: Zuan Shi Bing Shi 
link: https://www.google.com/maps/search/%E9%91%BD%E7%9F%B3%E5%86%B0%E5%AE%A4/@22.3361044,114.2059282?authuser=0&hl=zh-TW&entry=ttu
Reviews: 620 reviews

Name: gladys'estatecoffee by HOMEBROWN
link: https://www.google.com/maps/search/gladys%27estatecoffee+by+HOMEBROWN/@22.3279742,114.18822709999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews

Name: Yoi coffee and bakery
link: https://www.google.com/maps/search/Yoi+coffee+and+bakery/@22.329335,114.190574?authuser=0&hl=zh-TW&entry=ttu
Reviews: 42 reviews",https://www.facebook.com/ringscoffee/,Rings Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNU3caQaYmNNjTYs9NrkgMR9-i4X4Q6azm6aXP8=w408-h271-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,07:30-17:00,Open All Days,9798 3510,Jiu Long Cheng Ya Qian Lang Dao 8Hao Rings Coffee,"Niu You Guo , Shu Bing , Bei Cha , La Hua , Re Qing , Hong Xi , carbonara, Huang Dian , Suan Zhong ",https://www.google.com/maps/place/Rings+Coffee/data=!4m7!3m6!1s0x3404072acd34027b:0x4dae803e2914de39!8m2!3d22.328197!4d114.1893816!16s%2Fg%2F11g01_0ybp!19sChIJewI0zSoHBDQROd4UKT6Ark0?authuser=0&hl=zh-TW&rclk=1
ChIJ8RlimckABDQRwyMXqZZ7bHU,Tai Ping Yang Ka Pei ,,False,250,"Name: Pause It
link: https://www.google.com/maps/search/Pause+It/@22.3188733,114.1716623?authuser=0&hl=zh-TW&entry=ttu
Reviews: 477 reviews

Name: Xing Ba Ke 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B/@22.3222329,114.1692564?authuser=0&hl=zh-TW&entry=ttu
Reviews: 351 reviews

Name: An Le Jia Bei 
link: https://www.google.com/maps/search/%E5%AE%89%E6%A8%82%E7%8F%88%E7%90%B2/@22.325817999999998,114.16855799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 92 reviews

Name: EPARK COFFEE
link: https://www.google.com/maps/search/EPARK+COFFEE/@22.3235405,114.1672809?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",https://www.pacificcoffee.com/,Tai Ping Yang Ka Pei  (Ye Zhu ),https://www.google.com/maps/contrib/106447881482009197028,https://lh5.googleusercontent.com/p/AF1QipO8-3Upn4XKOxwZ5g0JJX0IZiKGobhm-KVrKGs-=w408-h305-k-no,Ka Pei Dian ,Ka Pei Dian ,3.8,07:30-19:00,Open All Days,2350 2400,"Shop A, G/F, Tai Ping Yang Ka Pei Tai Zi Da Lou 222H Fa Yuen St, Mong Kok","Hua , Jia Ge , Shi Chang , Zuo Wei , wifi, latte, Jing Yan , San Ming Zhi , Bei ",https://www.google.com/maps/place/%E5%A4%AA%E5%B9%B3%E6%B4%8B%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x340400c9996219f1:0x756c7b96a91723c3!8m2!3d22.3245828!4d114.1701582!16s%2Fg%2F11c2lj2n0f!19sChIJ8RlimckABDQRwyMXqZZ7bHU?authuser=0&hl=zh-TW&rclk=1
ChIJ0QIKS3wBBDQRPqrDclzfQwA,Rest Coffee Gin,,False,211,"Name: Curator Creative Cafe at M+
link: https://www.google.com/maps/search/Curator+Creative+Caf%C3%A9+at+M%2B/@22.3004467,114.1594554?authuser=0&hl=zh-TW&entry=ttu
Reviews: 82 reviews

Name: Pastime Cafe Jordan
link: https://www.google.com/maps/search/Pastime+Cafe+Jordan/@22.3064271,114.1685236?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews

Name: Bu Zi Shi Ka Pei  (You Ma Di )
link: https://www.google.com/maps/search/%E4%B8%8D%E7%B1%BD%E6%98%AF%E5%92%96%E5%95%A1+%28%E6%B2%B9%E9%BA%BB%E5%9C%B0%29/@22.3102453,114.1714564?authuser=0&hl=zh-TW&entry=ttu
Reviews: 60 reviews

Name: Hong Kong Caffe
link: https://www.google.com/maps/search/Hong+Kong+Caffe/@22.3060327,114.17092699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.facebook.com/rest.coffee.gin,Rest Coffee Gin (Ye Zhu ),https://www.google.com/maps/contrib/104729123451689507038,https://lh5.googleusercontent.com/p/AF1QipPcEZucyhjJMdBmhh9pbs9RdLVk3aplOvczgFU3=w408-h297-k-no,Ka Pei Ting ,Ka Pei Ting ,3.8,12:30-22:00,Open All Days,2697 8938,"Rest Coffee Gin, Xi Jiu Wen Hua Qu Yi Shu Gong Yuan  Yau Ma Tei","Jia Qian , cocktail, Mo Cha , Nai , Bei , Jing Yan , Wei Gang , Ka Pei Shi , Shu Shi , Fu Wu ",https://www.google.com/maps/place/Rest+Coffee+Gin/data=!4m7!3m6!1s0x3404017c4b0a02d1:0x43df5c72c3aa3e!8m2!3d22.2988532!4d114.1560464!16s%2Fg%2F11fm040lf6!19sChIJ0QIKS3wBBDQRPqrDclzfQwA?authuser=0&hl=zh-TW&rclk=1
ChIJs96qNbkBBDQRN3AR0uPdbxU,Liberty Coffee & Wine,,False,196,"Name: Pause It
link: https://www.google.com/maps/search/Pause+It/@22.3188733,114.1716623?authuser=0&hl=zh-TW&entry=ttu
Reviews: 477 reviews

Name: Cha Liao 
link: https://www.google.com/maps/search/%E8%8C%B6%E8%81%8A/@22.3169202,114.1691041?authuser=0&hl=zh-TW&entry=ttu
Reviews: 405 reviews

Name: Liberty Coffee & Wine2
link: https://www.google.com/maps/search/Liberty+Coffee+%26+Wine%C2%B2/@22.3146961,114.1670663?authuser=0&hl=zh-TW&entry=ttu
Reviews: 90 reviews

Name: Love Cafe
link: https://www.google.com/maps/search/Love+Caf%C3%A9/@22.312787099999998,114.17102009999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 54 reviews

Name: Christy Cafe
link: https://www.google.com/maps/search/Christy+Cafe/@22.321432299999998,114.1694311?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",https://www.facebook.com/libertycoffeewine/,Liberty Coffee & Wine (Ye Zhu ),https://www.google.com/maps/contrib/100234832943758042839,https://lh5.googleusercontent.com/p/AF1QipM9t9I6JFD2kL2TQ6pIJFUYfbre-XfYHD78egem=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,11:00-22:00,Open All Days,6608 5231,Wang Jiao Wo Da Lao Dao 33Hao Liberty Coffee & Wine,"Niu Jiao Bao , Shu Shi , Yi Da Li Fan , Huan Jing , Gan Jue , Qing Jiang , Zha , Kai Xin Guo , Yi Fen ",https://www.google.com/maps/place/Liberty+Coffee+%26+Wine/data=!4m7!3m6!1s0x340401b935aadeb3:0x156fdde3d2117037!8m2!3d22.3160643!4d114.1734442!16s%2Fg%2F11j13jt4r2!19sChIJs96qNbkBBDQRN3AR0uPdbxU?authuser=0&hl=zh-TW&rclk=1
ChIJ-bJTRgkBBDQRBoDzrY0Ocm0,Between,,False,173,"Name: Ban Lu Ka Pei 
link: https://www.google.com/maps/search/%E5%8D%8A%E8%B7%AF%E5%92%96%E5%95%A1/@22.284756299999998,114.14971609999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 680 reviews

Name: The Chinese Library
link: https://www.google.com/maps/search/The+Chinese+Library/@22.2817737,114.1541034?authuser=0&hl=zh-TW&entry=ttu
Reviews: 280 reviews

Name: Cafe Claudel
link: https://www.google.com/maps/search/Caf%C3%A9+Claudel/@22.281761499999998,114.1539037?authuser=0&hl=zh-TW&entry=ttu
Reviews: 168 reviews",https://between.life/,Between (Ye Zhu ),https://www.google.com/maps/contrib/108419950176386515789,https://lh5.googleusercontent.com/p/AF1QipODaknMcy6dSzeLCbu-tCcnloSf7RB79_YrOExd=w408-h408-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",3.9,11:00-20:00,Xing Qi Yi ,2877 8711,"Between, 2/F, JC Contemporary, Tai Kwun, 10 Hollywood Rd, Central","Ye Zi , Ta , cream cheese, Dan Huang Jiang , Yi Da Li Mian , Shi Duo Pi Li , Ri Ben Liao Li , Qi Wei Fen , Ji Lie ",https://www.google.com/maps/place/Between/data=!4m7!3m6!1s0x340401094653b2f9:0x6d720e8dadf38006!8m2!3d22.2810872!4d114.1536148!16s%2Fg%2F11qmmxff0w!19sChIJ-bJTRgkBBDQRBoDzrY0Ocm0?authuser=0&hl=zh-TW&rclk=1
ChIJ6d2y5nUBBDQRoCILLJNaBKw,Feng Zi Jia Bei ,,False,82,"Name: Cofflow Shun Liu Jing Pin Ka Pei 
link: https://www.google.com/maps/search/Cofflow+%E9%A0%86%E6%B5%81%E7%B2%BE%E5%93%81%E5%92%96%E5%95%A1/@22.3268363,114.16393439999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 118 reviews

Name: Bu Ku 
link: https://www.google.com/maps/search/%E4%B8%8D%E8%8B%A6/@22.3261742,114.1642866?authuser=0&hl=zh-TW&entry=ttu
Reviews: 101 reviews

Name: KOKONI
link: https://www.google.com/maps/search/KOKONI/@22.327672,114.163713?authuser=0&hl=zh-TW&entry=ttu
Reviews: 100 reviews

Name: Flow
link: https://www.google.com/maps/search/Flow/@22.3273652,114.1628777?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews

Name: Jimmy's Coffee & Kitchen
link: https://www.google.com/maps/search/Jimmy%27s+Coffee+%26+Kitchen/@22.323892,114.170628?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews",https://www.instagram.com/fonji.cafe/,Feng Zi Jia Bei  (Ye Zhu ),https://www.google.com/maps/contrib/113420871548753423613,https://lh5.googleusercontent.com/p/AF1QipPrCkz4_8U6r66QeRO-TV5TNK3kwSIVPSEnXKYR=w532-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",4.3,12:00-19:00,Xing Qi Yi ,,Shen Shui Bu Feng Shu Jie 5Hao Feng Zi Jia Bei ,"Qi Feng Dan Gao , Fu Gu , Feng , Huai Jiu , Ban Lan , Wu Dong , Ying Hua Xia , Ka Ye , La Hua , Dou Ru ",https://www.google.com/maps/place/%E6%A5%93%E5%AD%90%E7%8F%88%E7%90%B2/data=!4m7!3m6!1s0x34040175e6b2dde9:0xac045a932c0b22a0!8m2!3d22.3261742!4d114.1642866!16s%2Fg%2F11r26dlzsh!19sChIJ6d2y5nUBBDQRoCILLJNaBKw?authuser=0&hl=zh-TW&rclk=1
ChIJBY689nUBBDQR8_l4tjZf_ZI,GoodDay Solar Kai Tak,,False,72,"Name: Da He Tang 
link: https://www.google.com/maps/search/%E5%A4%A7%E5%92%8C%E5%A0%82/@22.3285877,114.1894226?authuser=0&hl=zh-TW&entry=ttu
Reviews: 469 reviews

Name: Nan Jiao 
link: https://www.google.com/maps/search/%E5%8D%97%E8%A7%92/@22.3281384,114.18974070000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 163 reviews

Name: The Old Hangar
link: https://www.google.com/maps/search/The+Old+Hangar/@22.307516099999997,114.21179199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 105 reviews

Name: Good Day Coffee Co.
link: https://www.google.com/maps/search/Good+Day+Coffee+Co./@22.3071908,114.1660849?authuser=0&hl=zh-TW&entry=ttu
Reviews: 37 reviews",https://www.instagram.com/gooddaycafehk/,GoodDay Solar Kai Tak (Ye Zhu ),https://www.google.com/maps/contrib/117461251938252735326,https://lh5.googleusercontent.com/p/AF1QipNObuqM4PDqV2WbqS3uMRwf0qWlLKFTEM8ltUWK=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Yi Lang Ka Pei Ting ",3.8,08:30-21:15,Open All Days,9291 4116,Jiu Long Cheng Mu Tai Jie 9Hao GoodDay Solar Kai Tak,"Jiang Zhi , Wo Fu , Shu Tiao , Sha Lu , Niu Rou , Kou Gan , Qi Si Bao , Bo Li , Shi Zi , Kao ",https://www.google.com/maps/place/GoodDay+Solar+Kai+Tak/data=!4m7!3m6!1s0x34040175f6bc8e05:0x92fd5f36b678f9f3!8m2!3d22.3281034!4d114.1980276!16s%2Fg%2F11rq62gp8d!19sChIJBY689nUBBDQR8_l4tjZf_ZI?authuser=0&hl=zh-TW&rclk=1
ChIJl7etRlgBBDQRc8K53djhv7M,N1 Coffee & Co. (Wan Chai),,False,65,"Name: Hong Kong Coffee
link: https://www.google.com/maps/search/Hong+Kong+Coffee/@22.2784788,114.172056?authuser=0&hl=zh-TW&entry=ttu
Reviews: 130 reviews

Name: Coco Espresso Wan Chai
link: https://www.google.com/maps/search/Coco+Espresso+Wan+Chai/@22.277258200000002,114.1687493?authuser=0&hl=zh-TW&entry=ttu
Reviews: 90 reviews

Name: Latter Cafe
link: https://www.google.com/maps/search/Latter+Cafe/@22.2788267,114.1740186?authuser=0&hl=zh-TW&entry=ttu
Reviews: 78 reviews

Name: Coffeelin Espresso (Wan Chai)
link: https://www.google.com/maps/search/Coffeelin+Espresso+%28Wan+Chai%29/@22.278468,114.172259?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: Alley Coffee
link: https://www.google.com/maps/search/Alley+Coffee/@22.2741005,114.17427509999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 53 reviews",https://www.n1coffee.hk/,N1 Coffee & Co. (Wan Chai) (Ye Zhu ),https://www.google.com/maps/contrib/109117745813164533126,https://lh5.googleusercontent.com/p/AF1QipNdZD7jlkcxs2acrQpr7ibKneihio8yOxtfrHgl=w408-h510-k-no,Ka Pei Dian ,Ka Pei Dian ,4.1,08:00-17:00,Xing Qi Ri ,2668 0082,"G/F, N1 Coffee & Co. (Wan Chai), 229 Jaffe Rd, Wan Chai","Dan Gao , Zao Can , flat white, latte, Jia Ge , Qian Ceng Mian , bagel, Jing Yan ",https://www.google.com/maps/place/N1+Coffee+%26+Co.+%28Wan+Chai%29/data=!4m7!3m6!1s0x3404015846adb797:0xb3bfe1d8ddb9c273!8m2!3d22.2791105!4d114.1761635!16s%2Fg%2F11my7gkfpw!19sChIJl7etRlgBBDQRc8K53djhv7M?authuser=0&hl=zh-TW&rclk=1
ChIJ8dbrKX4BBDQRFPPamW8jBVo,Rim Coffee,,False,61,"Name: & Green Cafe
link: https://www.google.com/maps/search/%26+Green+Cafe/@22.303813500000004,114.186195?authuser=0&hl=zh-TW&entry=ttu
Reviews: 201 reviews

Name: Tanuki Coffee
link: https://www.google.com/maps/search/Tanuki+Coffee/@22.3120515,114.18822859999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 136 reviews

Name: Pret A Manger
link: https://www.google.com/maps/search/Pret+A+Manger/@22.3029318,114.18220099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://www.instagram.com/rimcoffeehk/,Rim Coffee (Ye Zhu ),https://www.google.com/maps/contrib/107457113927100771585,https://lh5.googleusercontent.com/p/AF1QipOh49ao2TDDHX8bqMbCo6i6T44u5jQ6gvryl2jo=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",4.3,10:00-18:00,Open All Days,,"Rim Coffee, Qi An  Shop 104, 1/F, 63 Ma Tau Wai Rd, Hung Hom","Jia Ge , Sha Lu , Yi Fen , Mu , Wan , Bei Cha , Qiao Mai Mian , Huan Jing ",https://www.google.com/maps/place/Rim+Coffee/data=!4m7!3m6!1s0x3404017e29ebd6f1:0x5a05236f99daf314!8m2!3d22.3119559!4d114.1877776!16s%2Fg%2F11rmnc00sr!19sChIJ8dbrKX4BBDQRFPPamW8jBVo?authuser=0&hl=zh-TW&rclk=1
ChIJg1y8oMkABDQRtOSc7WTAJ8c,Jimmy's Coffee & Kitchen,,False,59,"Name: Coffee Break
link: https://www.google.com/maps/search/Coffee+Break/@22.315861299999998,114.17136049999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 331 reviews

Name: Zi Pei 
link: https://www.google.com/maps/search/%E5%AD%96%E5%95%A1/@22.315190899999997,114.16998230000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 307 reviews

Name: An Le Jia Bei 
link: https://www.google.com/maps/search/%E5%AE%89%E6%A8%82%E7%8F%88%E7%90%B2/@22.325817999999998,114.16855799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 92 reviews

Name: FSTW. COFFEE
link: https://www.google.com/maps/search/FSTW.+COFFEE/@22.324821999999998,114.1695616?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: Christy Cafe
link: https://www.google.com/maps/search/Christy+Cafe/@22.321432299999998,114.1694311?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",http://www.seewide.com/Caf%25C3%25A9-Jimmy%27s-Coffee-%25E6%2597%25BA%25E8%25A7%2592-6364,Jimmy's Coffee & Kitchen (Ye Zhu ),https://www.google.com/maps/contrib/108839312217707879532,https://lh5.googleusercontent.com/p/AF1QipMGo49yJ9neZlOw3xjsyfNZU_MNh8W4zD3CzqZk=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,18:00-22:30,Open All Days,2380 2387,"1/F, Jimmy's Coffee & KitchenYao Chang Da Sha 203 Sai Yee St, Mong Kok","Shou Cheng , Peng Ren ",https://www.google.com/maps/place/Jimmy%27s+Coffee+%26+Kitchen/data=!4m7!3m6!1s0x340400c9a0bc5c83:0xc727c064ed9ce4b4!8m2!3d22.323892!4d114.170628!16s%2Fg%2F11bc8_y62l!19sChIJg1y8oMkABDQRtOSc7WTAJ8c?authuser=0&hl=zh-TW&rclk=1
