place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ99_ho0cIBDQR6fCOrAJFV5g,Yi Tian Bai Huo  Da Bu Dian ,,False,1681,"Name: DAISO JAPAN Da Bu Dian 
link: https://www.google.com/maps/search/DAISO+JAPAN+%E5%A4%A7%E5%9F%94%E5%BA%97/@22.4472037,114.16936489999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 449 reviews

Name: Yi Tian Bai Huo  (Da Bu ) Zi Sheng Tang Lin Shi Zhuan Gui 
link: https://www.google.com/maps/search/%E4%B8%80%E7%94%B0%E7%99%BE%E8%B2%A8+%28%E5%A4%A7%E5%9F%94%29+%E8%B3%87%E7%94%9F%E5%A0%82%E8%87%A8%E6%99%82%E5%B0%88%E6%AB%83/@22.4516556,114.1700381?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: A-1 BAKERY Ying Wang Mian Bao Dian 
link: https://www.google.com/maps/search/A-1+BAKERY+%E8%8B%B1%E7%8E%8B%E9%BA%B5%E5%8C%85%E5%BA%97/@22.452381199999998,114.1692849?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Dian Dian Lu , Yi Tian 
link: https://www.google.com/maps/search/%E9%BB%9E%E9%BB%9E%E7%B6%A0%2C+%E4%B8%80%E7%94%B0/@22.451552,114.17020199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.yata.hk/tch/store/tai-po/,Yi Tian Bai Huo  Da Bu Dian  (Ye Zhu ),https://www.google.com/maps/contrib/117569896486311836425,https://lh5.googleusercontent.com/p/AF1QipPCC5zKjgEjp3M4be2u4P_D4-yvWAw_gIi-uHqP=w408-h544-k-no,Bai Huo Gong Si ,Bai Huo Gong Si ,3.9,10:00-22:00,Open All Days,3761 1388,Da Bu An Bang Lu 101-129&208Da Bu Zhong Xin 6Zuo Chao Ji Cheng BQu Yi Tian Bai Huo  Da Bu Dian Yi Lou ,"Chao Shi , Huo Pin , Shu Shi , Ren Liu , Jiao Tong , Zhuang Xiu , Jia Ri , Duo Yuan , Shui Guo , Ri Ben Liao Li ",https://www.google.com/maps/place/%E4%B8%80%E7%94%B0%E7%99%BE%E8%B2%A8+%E5%A4%A7%E5%9F%94%E5%BA%97/data=!4m7!3m6!1s0x34040847a3e1dff7:0x98574502ac8ef0e9!8m2!3d22.4517956!4d114.1694336!16s%2Fg%2F11cn_l0vw3!19sChIJ99_ho0cIBDQR6fCOrAJFV5g?authuser=0&hl=zh-TW&rclk=1
ChIJtedBGqOHBDkR37iyqor6Kf0,Yaara Cafe,,False,112,,https://www.instagram.com/yaaracafe/,Yaara Cafe (Ye Zhu ),https://www.google.com/maps/contrib/104533249623788105147,https://lh5.googleusercontent.com/p/AF1QipPhGYtpVgKJPvTJev64v8ebV8Qtpm86Ij_oF_6S=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.9,08:00-22:00,Open All Days,+91 98165 06609,"Yaara Cafe, Bros Hostel, Manu Temple, Old Manali, Manali, Himachal Pradesh 175131Yin Du ","Zhu Su , Kuan Dai , Qing Lu , Shan Gu , Yi Da Li Mian ",https://www.google.com/maps/place/Yaara+Cafe/data=!4m7!3m6!1s0x390487a31a41e7b5:0xfd29fa8aaab2b8df!8m2!3d32.2574238!4d77.1759278!16s%2Fg%2F11rbm309p4!19sChIJtedBGqOHBDkR37iyqor6Kf0?authuser=0&hl=zh-TW&rclk=1
ChIJg6vcjK_KmjkRY_JJ2LvFnvA,Yara Da Junction,,False,21,"Name: Chai Sutta Bar Anand Bhawan
link: https://www.google.com/maps/search/Chai+Sutta+Bar+Anand+Bhawan/@25.4599706,81.8592438?authuser=0&hl=zh-TW&entry=ttu
Reviews: 185 reviews",https://yara-da-junction.business.site/,Yara Da Junction (Ye Zhu ),https://www.google.com/maps/contrib/108166346855605368303,https://lh5.googleusercontent.com/p/AF1QipO-k_7dbWtRQ2_EgwE4fDtrhFYfAB4lm_umgk-y=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,10:00-21:00,Open All Days,,"Yara Da Junction, 211/174, Colonelganj, Prayagraj, Uttar Pradesh 211002Yin Du ",,https://www.google.com/maps/place/Yara+Da+Junction/data=!4m7!3m6!1s0x399acaaf8cdcab83:0xf09ec5bbd849f263!8m2!3d25.460532!4d81.8588685!16s%2Fg%2F11gm803h22!19sChIJg6vcjK_KmjkRY_JJ2LvFnvA?authuser=0&hl=zh-TW&rclk=1
ChIJUW_abgE3vD8RmlYWInpWOFs,Yara Bookhouse khnh khtb yr,,False,7,"Name: Book Cafe Restaurant
link: https://www.google.com/maps/search/Book+Cafe+Restaurant/@32.6254304,51.6646584?authuser=0&hl=zh-TW&entry=ttu
Reviews: 104 reviews

Name: Ketab Cafe
link: https://www.google.com/maps/search/Ketab+Cafe/@32.6523886,51.6687886?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: `mrt dyr
link: https://www.google.com/maps/search/%D8%B9%D9%85%D8%A7%D8%B1%D8%AA+%D8%AF%D8%A7%DB%8C%D8%A7%D8%B1/@32.6456215,51.6726113?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Aria Tea House
link: https://www.google.com/maps/search/Aria+Tea+House/@32.627770399999996,51.6566195?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://instagram.com/yara.bookhouse,Yara Bookhouse khnh khtb yr (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPzWNhml4TIkuBu5ATCNcLk-URrOM4EXg_HvWfu=w408-h496-k-no,Ka Pei Ting ,Ka Pei Ting ,4.9,10:00-23:00,Open All Days,+98 31 3626 8857,"Isfahan Province, Isfahan, Dr Shariati St, JMH5+5MC Yara Bookhouse khnh khtb yr, Yi Lang ",,https://www.google.com/maps/place/Yara+Bookhouse+%D8%AE%D8%A7%D9%86%D9%87+%DA%A9%D8%AA%D8%A7%D8%A8+%DB%8C%D8%A7%D8%B1%D8%A7%E2%80%AD/data=!4m7!3m6!1s0x3fbc37016eda6f51:0x5b38567a2216569a!8m2!3d32.6279468!4d51.6591488!16s%2Fg%2F11t7jzxb2t!19sChIJUW_abgE3vD8RmlYWInpWOFs?authuser=0&hl=zh-TW&rclk=1
ChIJ65oVeNinST4R3ohWBybNBV4,Yara Cafe,,False,60,"Name: Hadoota Masreya Cafe & Restaurant
link: https://www.google.com/maps/search/Hadoota+Masreya+Cafe+%26+Restaurant/@26.289580599999997,50.6634562?authuser=0&hl=zh-TW&entry=ttu
Reviews: 349 reviews

Name: Marina cafe
link: https://www.google.com/maps/search/Marina+cafe/@26.2930115,50.6595526?authuser=0&hl=zh-TW&entry=ttu
Reviews: 282 reviews

Name: Amwaj Lagoon Park
link: https://www.google.com/maps/search/Amwaj+Lagoon+Park/@26.289906799999997,50.664853900000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 201 reviews

Name: Levante Cafe
link: https://www.google.com/maps/search/Levante+Cafe/@26.286241399999998,50.6632916?authuser=0&hl=zh-TW&entry=ttu
Reviews: 139 reviews",,Yara Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPUTBs3X0SkAJGhVGV2jPj5mH_PlC__dIv4RT1r=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Can Ting ",4.5,24 Xiao Shi Ying Ye ,Open All Days,+973 1601 1330,"Yara Cafe, Shop 142, Building 2648, Road 5720, Block 257 Gate 5&6 1st floor - Lagoon Amwaj IslandsBa Lin ","Jia Ge , Shui Yan , Kong Jian ",https://www.google.com/maps/place/Yara+Cafe/data=!4m7!3m6!1s0x3e49a7d878159aeb:0x5e05cd26075688de!8m2!3d26.2891151!4d50.6649776!16s%2Fg%2F11g1nbdvcb!19sChIJ65oVeNinST4R3ohWBybNBV4?authuser=0&hl=zh-TW&rclk=1
ChIJPRsjJOdt2jERLaPCG1r6_m4,Yara Yara Jb,,False,37,"Name: The Secret Cafe
link: https://www.google.com/maps/search/The+Secret+Cafe/@1.4783013999999999,103.77529109999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 364 reviews

Name: Raw - Brew & Dine
link: https://www.google.com/maps/search/Raw+-+Brew+%26+Dine/@1.4825678999999998,103.77494?authuser=0&hl=zh-TW&entry=ttu
Reviews: 326 reviews

Name: Yeon Cafe
link: https://www.google.com/maps/search/Yeon+Cafe/@1.4814996,103.7734967?authuser=0&hl=zh-TW&entry=ttu
Reviews: 308 reviews

Name: A Bread & Coffee Place
link: https://www.google.com/maps/search/A+Bread+%26+Coffee+Place/@1.4808713999999998,103.7734919?authuser=0&hl=zh-TW&entry=ttu
Reviews: 172 reviews

Name: TwentyFour Cafe JB
link: https://www.google.com/maps/search/TwentyFour+Cafe+JB/@1.4833944,103.7721292?authuser=0&hl=zh-TW&entry=ttu
Reviews: 78 reviews",,Yara Yara Jb (Ye Zhu ),https://www.google.com/maps/contrib/102919305489185670669,https://lh5.googleusercontent.com/p/AF1QipMn4_ISDd4fTbavJllEIjISFW-fU2IJiisqYC1U=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,11:00-19:00,Xing Qi Er ,+60 10-710 2755,"Yara Yara Jb, 12, Jalan Cermat 5, Taman Pelangi, 80400 Johor Bahru, Johor, Ma Lai Xi Ya ","Jiu , Ting Che , Dan Gao , Ti La Mi Su , Huan Jing ",https://www.google.com/maps/place/Yara+Yara+Jb/data=!4m7!3m6!1s0x31da6de724231b3d:0x6efefa5a1bc2a32d!8m2!3d1.4794973!4d103.7692713!16s%2Fg%2F11s_yyhw9b!19sChIJPRsjJOdt2jERLaPCG1r6_m4?authuser=0&hl=zh-TW&rclk=1
ChIJc1wnaRPtCDkRu6z3jWrSQ88,THE-YARA (Y&R) Cafe (icecream parlour) First Cafe In Uttarkashi.,,False,36,"Name: The JR Cafe
link: https://www.google.com/maps/search/The+JR+Cafe/@30.728524500000002,78.4377133?authuser=0&hl=zh-TW&entry=ttu
Reviews: 144 reviews

Name: Cafe On The Waves
link: https://www.google.com/maps/search/Cafe+On+The+Waves/@30.7313256,78.4297422?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews",,THE-YARA (Y&R) Cafe (icecream parlour) First Cafe In Uttarkashi. (Ye Zhu ),https://www.google.com/maps/contrib/112987558064507474523,https://lh5.googleusercontent.com/p/AF1QipPfj-NcYZymaLHu-voULmtBu92lUeY9BlfOCqi7=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Xue Gao Dian ",4.7,10:00-23:00,Open All Days,+91 91939 11201,"THE-YARA (Y&R) Cafe (icecream parlour) First Cafe In Uttarkashi., Relex hotal, LIC OFFICE, Joshiyara NIM Rd, near jhula pull. And LIC office, Joshiyara, Uttarakhand 249193Yin Du ","Pi Sa , Pei Song ",https://www.google.com/maps/place/THE-YARA+%28Y%26R%29+Cafe+%28icecream+parlour%29+First+Cafe+In+Uttarkashi./data=!4m7!3m6!1s0x3908ed1369275c73:0xcf43d26a8df7acbb!8m2!3d30.7291677!4d78.4345993!16s%2Fg%2F11gmzp93g4!19sChIJc1wnaRPtCDkRu6z3jWrSQ88?authuser=0&hl=zh-TW&rclk=1
ChIJJ1Ulh__0DTIRzeOiLPe1RGE,Kebab Turki Baba Yara,,False,34,"Name: KEBAB TURKI RIFANI
link: https://www.google.com/maps/search/KEBAB+TURKI+RIFANI/@2.1473538,117.48385650000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: Kebab Borneo Food
link: https://www.google.com/maps/search/Kebab+Borneo+Food/@2.1653386,117.4593011?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Kebab Kampoeng
link: https://www.google.com/maps/search/Kebab+Kampoeng/@2.15484,117.5034029?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: KEBAB TURKI RIFANI Booth 2
link: https://www.google.com/maps/search/KEBAB+TURKI+RIFANI+Booth+2/@2.15651,117.4967792?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Kebab Turki Baba Yara (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNH_lDlqN3EqHT9X1tcz9lZC4G9CFiqjNe5RueP=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,05:00-23:00,Open All Days,+62 813-4915-9287,"Kebab Turki Baba Yara, Jl. Pulau Panjang No.30, Tj. Redeb, Kec. Tj. Redeb, Kabupaten Berau, Kalimantan Timur 77315Yin Ni ",Jia Ge ,https://www.google.com/maps/place/Kebab+Turki+Baba+Yara/data=!4m7!3m6!1s0x320df4ff87255527:0x6144b5f72ca2e3cd!8m2!3d2.1499036!4d117.4926795!16s%2Fg%2F11g7nq4t8v!19sChIJJ1Ulh__0DTIRzeOiLPe1RGE?authuser=0&hl=zh-TW&rclk=1
ChIJJ-rxtx6rbTkRoMrIWzBWryc,Yara da cafe Chomu thana mod,,False,29,"Name: CAFE COFFEE TREAT
link: https://www.google.com/maps/search/CAFE+COFFEE+TREAT/@27.153464200000002,75.7221453?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: COFFEE TIME
link: https://www.google.com/maps/search/COFFEE+TIME/@27.1682855,75.7191208?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: The Skytown Cafe
link: https://www.google.com/maps/search/The+Skytown+Cafe/@27.1382677,75.7302115?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: My Cafe
link: https://www.google.com/maps/search/My+Cafe/@27.162913399999997,75.7229062?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",,Yara da cafe Chomu thana mod (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM9SbfLi4AQ-Wxa9TiDqcGeJkinuki0QVSdjAJx=w408-h712-k-no,Ka Pei Ting ,Ka Pei Ting ,3.8,,Open All Days,,"5P7C+QX9 Yara da cafe Chomu thana mod, RJ SH 19, Naya BaJar, Chomu, Rajasthan 303702Yin Du ",,https://www.google.com/maps/place/Yara+da+cafe+Chomu+thana+mod/data=!4m7!3m6!1s0x396dab1eb7f1ea27:0x27af56305bc8caa0!8m2!3d27.1644169!4d75.7224871!16s%2Fg%2F11fsymjb1r!19sChIJJ-rxtx6rbTkRoMrIWzBWryc?authuser=0&hl=zh-TW&rclk=1
ChIJRXOUti-4MzAR3fq-OX-CmsQ,Warkop Yara Brother,,False,27,"Name: Warkop Mutiara
link: https://www.google.com/maps/search/Warkop+Mutiara/@3.2231202999999997,99.5819953?authuser=0&hl=zh-TW&entry=ttu
Reviews: 114 reviews

Name: Warkop Wak Jali
link: https://www.google.com/maps/search/Warkop+Wak+Jali/@3.2235315000000004,99.58198639999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Warkop Yara Brother's
link: https://www.google.com/maps/search/Warkop+Yara+Brother%27s/@3.2194268999999998,99.5817223?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Warkop Tora
link: https://www.google.com/maps/search/Warkop+Tora/@3.2214967999999997,99.58480619999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Warkop Yara Brother (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMYWZBDgfGV1Kc33JTGX2o9GOW0EoOvTyo1J_dg=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.1,,Open All Days,+62 812-6511-391,"6HCJ+H8V Warkop Yara Brother, JL Merdeka, Tanjung Tiram Bogak Tanjung Balai Asahan, Bogak, Kec. Tj. Tiram, Kabupaten Batu Bara, Sumatera Utara 21253Yin Ni ",,https://www.google.com/maps/place/Warkop+Yara+Brother/data=!4m7!3m6!1s0x3033b82fb6947345:0xc49a827f39befadd!8m2!3d3.2214999!4d99.5808027!16s%2Fg%2F11b6c_ft3c!19sChIJRXOUti-4MzAR3fq-OX-CmsQ?authuser=0&hl=zh-TW&rclk=1
