place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ2Zp3uao9iYURHvSj5Nr7zVc,https://www.facebook.com/profile.php?id=100090547784044&mibextid=ZbWKwL,,False,,,https://www.facebook.com/profile.php%3Fid%3D100090547784044%26mibextid%3DZbWKwL,https://www.facebook.com/profile.php?id=100090547784044&mibextid=ZbWKwL (Ye Zhu ),https://www.google.com/maps/contrib/116186561750435827161,,Zheng Liu Ka Pei Ba ,Zheng Liu Ka Pei Ba ,,,Open All Days,,"https://www.facebook.com/profile.php?id=100090547784044&mibextid=ZbWKwL, San Pedro Yepocapa, Wei Di Ma La ",,https://www.google.com/maps/place/https:%2F%2Fwww.facebook.com%2Fprofile.php%3Fid%3D100090547784044%26mibextid%3DZbWKwL/data=!4m7!3m6!1s0x85893daab9779ad9:0x57cdfbdae4a3f41e!8m2!3d14.5034184!4d-90.952866!16s%2Fg%2F11sshnlbk4!19sChIJ2Zp3uao9iYURHvSj5Nr7zVc?authuser=0&hl=zh-TW&rclk=1
ChIJ9bCaQfw9iYURtG0kPDAaU_s,Las Farolas Cafe,,False,29,"Name: San Pedro Yepocapa
link: https://www.google.com/maps/search/San+Pedro+Yepocapa/@14.501067599999999,-90.95557889999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews

Name: Kape' Yepocapa
link: https://www.google.com/maps/search/Kape%E2%80%99+Yepocapa/@14.4992602,-90.9581337?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Cafeteria Dona Vicky
link: https://www.google.com/maps/search/Cafeter%C3%ADa+Do%C3%B1a+Vicky/@14.503826199999999,-90.95455280000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: La Casita
link: https://www.google.com/maps/search/La+Casita/@14.500153800000001,-90.95495299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Las Farolas Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOHyeIVLRjFn_2l8tOtd2af4YvDnzZzwX_5upLv=w408-h543-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,13:00-22:30,Xing Qi Yi ,+502 4788 2288,"Las Farolas Cafe, 5to canton, San Pedro Yepocapa, Wei Di Ma La ",,https://www.google.com/maps/place/Las+Farolas+Caf%C3%A9/data=!4m7!3m6!1s0x85893dfc419ab0f5:0xfb531a303c246db4!8m2!3d14.4998433!4d-90.9535469!16s%2Fg%2F11f6bzf2s4!19sChIJ9bCaQfw9iYURtG0kPDAaU_s?authuser=0&hl=zh-TW&rclk=1
ChIJewUg-1c9iYURunoB6MJ75As,Kape' Yepocapa,,False,16,"Name: Las Farolas Cafe
link: https://www.google.com/maps/search/Las+Farolas+Caf%C3%A9/@14.4998433,-90.95354689999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: San Pedro Yepocapa
link: https://www.google.com/maps/search/San+Pedro+Yepocapa/@14.501067599999999,-90.95557889999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews

Name: Coffee break
link: https://www.google.com/maps/search/Coffee+break/@14.493577300000002,-90.95362879999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: KAFECHINO
link: https://www.google.com/maps/search/KAFECHINO/@14.501125700000001,-90.9530355?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Kape' Yepocapa (Ye Zhu ),https://www.google.com/maps/contrib/105614583500221264203,https://lh5.googleusercontent.com/p/AF1QipN7rNfM0KTIvz77wbaik1IARn3mWL_EyR79qUyb=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.9,,Open All Days,,"Kape' Yepocapa, Segundo Canton, San Pedro Yepocapa, Wei Di Ma La ",,https://www.google.com/maps/place/Kape%E2%80%99+Yepocapa/data=!4m7!3m6!1s0x85893d57fb20057b:0xbe47bc2e8017aba!8m2!3d14.4992602!4d-90.9581337!16s%2Fg%2F11pzw2wjxx!19sChIJewUg-1c9iYURunoB6MJ75As?authuser=0&hl=zh-TW&rclk=1
ChIJJwQWyNM9iYURN_TmSfUyyPA,Mei Pu Chu Li Chang  La Cascada,,False,8,"Name: Mei Pu Zhuang Yuan 
link: https://www.google.com/maps/search/%E7%BE%8E%E7%80%91%E8%8E%8A%E5%9C%92/@14.55555,-90.94019999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Cafe Lima
link: https://www.google.com/maps/search/Cafe+Lima/@14.553670400000001,-90.9425234?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: La Mila
link: https://www.google.com/maps/search/La+Mila/@14.578925900000002,-90.7414002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Cafe Acatenango, Antigua
link: https://www.google.com/maps/search/Cafe+Acatenango%2C+Antigua/@14.5797435,-90.73767769999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Mei Pu Chu Li Chang  La Cascada (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RcOluX-CpUKI151-YwiOOg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=27.308844&pitch=0&thumbfov=100,Ka Pei Ting ,Ka Pei Ting ,4.1,,Open All Days,,"Wei Di Ma La  Acatenango, Mei Pu Chu Li Chang  La Cascada",,https://www.google.com/maps/place/%E7%BE%8E%E7%80%91%E8%99%95%E7%90%86%E5%BB%A0+La+Cascada/data=!4m7!3m6!1s0x85893dd3c8160427:0xf0c832f549e6f437!8m2!3d14.55555!4d-90.9402107!16s%2Fg%2F11csrqmsgs!19sChIJJwQWyNM9iYURN_TmSfUyyPA?authuser=0&hl=zh-TW&rclk=1
ChIJk07XA-s8iYURzjfmdFTUrvU,Internet Angelo,,False,8,"Name: SERVI-DANY.NET
link: https://www.google.com/maps/search/SERVI-DANY.NET/@14.4965631,-90.9519007?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: El Perla Negra
link: https://www.google.com/maps/search/El+Perla+Negra/@14.5000289,-90.95467219999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: CyberBac
link: https://www.google.com/maps/search/CyberBac/@14.4993477,-90.9537211?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Internet Angelo (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPSddP4wyW694zI8We7yFjqffY8cKFZ4I8DqJ51=w408-h680-k-no,Ka Pei Ting ,Ka Pei Ting ,4,,Open All Days,+502 3196 8893,"F2WQ+PM6 Internet Angelo, San Pedro Yepocapa, Wei Di Ma La ",,https://www.google.com/maps/place/Internet+Angelo/data=!4m7!3m6!1s0x85893ceb03d74e93:0xf5aed45474e637ce!8m2!3d14.4967975!4d-90.9608684!16s%2Fg%2F11dxl3mzfh!19sChIJk07XA-s8iYURzjfmdFTUrvU?authuser=0&hl=zh-TW&rclk=1
ChIJAWJJxu48iYURdTTSaR1j_Xk,Internet AS-TIC,,False,6,"Name: Cafeteria Dona Vicky
link: https://www.google.com/maps/search/Cafeter%C3%ADa+Do%C3%B1a+Vicky/@14.503826199999999,-90.95455280000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: EL TUCO
link: https://www.google.com/maps/search/EL+TUCO/@14.497666899999999,-90.9558931?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Rinconcito Catracho
link: https://www.google.com/maps/search/Rinconcito+Catracho/@14.500039499999998,-90.95722789999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: KAFECHINO
link: https://www.google.com/maps/search/KAFECHINO/@14.501125700000001,-90.9530355?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Internet AS-TIC (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM0TRsRD11JJ-wP015C6fUyz_BZpmMU5Bdfn9Ad=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,3.8,,Open All Days,+502 5910 0265,"G22V+47M Internet AS-TIC, San Pedro Yepocapa, Wei Di Ma La ",,https://www.google.com/maps/place/Internet+AS-TIC/data=!4m7!3m6!1s0x85893ceec6496201:0x79fd631d69d23475!8m2!3d14.5003457!4d-90.9568129!16s%2Fg%2F11cndbc58j!19sChIJAWJJxu48iYURdTTSaR1j_Xk?authuser=0&hl=zh-TW&rclk=1
ChIJq0eBdW49iYUR7uSWVct5l70,Cosmo,,False,5,"Name: Cafeteria Zoar
link: https://www.google.com/maps/search/Cafeter%C3%ADa+Zoar/@14.501020500000001,-90.9533429?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Tienda Mar del cielo
link: https://www.google.com/maps/search/Tienda+Mar+del+cielo/@14.4949801,-90.9533896?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Coffee break
link: https://www.google.com/maps/search/Coffee+break/@14.493577300000002,-90.95362879999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Cosmo (Ye Zhu ),https://www.google.com/maps/contrib/101478364417369742319,https://lh5.googleusercontent.com/p/AF1QipN6Um8odpTmFhoAkHJNk0SAIkaejtDcZ3CGCQaS=w533-h240-k-no,Zheng Liu Ka Pei Ba ,Zheng Liu Ka Pei Ba ,5,09:00-21:00,Open All Days,+502 4631 4998,"Cosmo, Monte Los Olivos, San Pedro Yepocapa, Wei Di Ma La ",,https://www.google.com/maps/place/Cosmo/data=!4m7!3m6!1s0x85893d6e758147ab:0xbd9779cb5596e4ee!8m2!3d14.4991582!4d-90.9535551!16s%2Fg%2F11hz11kqx5!19sChIJq0eBdW49iYUR7uSWVct5l70?authuser=0&hl=zh-TW&rclk=1
ChIJN6HTHMo9iYURiZPq-zs2PBo,Cafe Balam Juyu,,False,4,"Name: Hope Coffee
link: https://www.google.com/maps/search/Hope+Coffee/@14.660007199999999,-90.8233843?authuser=0&hl=zh-TW&entry=ttu
Reviews: 159 reviews

Name: Cafe San Lucas
link: https://www.google.com/maps/search/Cafe+San+Lucas/@14.660638200000001,-90.80949389999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: Mamayana Coffe
link: https://www.google.com/maps/search/Mamayana+Coffe/@14.6611805,-90.8311916?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Cafeteria Juany
link: https://www.google.com/maps/search/Cafeter%C3%ADa+Juany/@14.661064399999997,-90.835422?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Comedor Jun Ajpujay
link: https://www.google.com/maps/search/Comedor+Jun+Ajpujay/@14.6663997,-90.84414?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Cafe Balam Juyu (Ye Zhu ),https://www.google.com/maps/contrib/113000817453484531470,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CD9CtlmfgKy9Ff0BxoZgZw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=176.34279&pitch=0&thumbfov=100,Zheng Liu Ka Pei Ba ,"Zheng Liu Ka Pei Ba , Can Ting ",5,15:30-21:30,Open All Days,+502 4264 8840,"Cafe Balam Juyu, ACATENAGO ZONA 1, 01 CL PB ANA JUNAY ZONA 1, ACATENAGO, Chimaltenango 04011Wei Di Ma La ",,https://www.google.com/maps/place/Caf%C3%A9+Balam+Juyu/data=!4m7!3m6!1s0x85893dca1cd3a137:0x1a3c363bfbea9389!8m2!3d14.5534204!4d-90.942913!16s%2Fg%2F11sr7jgb_m!19sChIJN6HTHMo9iYURiZPq-zs2PBo?authuser=0&hl=zh-TW&rclk=1
ChIJXx1ZvXU9iYURVUa_6ruDgQo,Finca Palestina,,False,4,"Name: Finca La Senda
link: https://www.google.com/maps/search/Finca+La+Senda/@14.5480789,-90.97028069999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: LA FENIX TODO 100% NATURAL
link: https://www.google.com/maps/search/LA+FENIX+TODO+100%25+NATURAL/@14.539416,-91.41431109999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Finca El Naranjo
link: https://www.google.com/maps/search/Finca+El+Naranjo/@14.5645142,-90.9540753?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Finca San Luis de Palestina
link: https://www.google.com/maps/search/Finca+San+Luis+de+Palestina/@14.420738900000002,-90.69937399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Finca Palestina (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPTbwGtrP2abAW3t2EhSoSW3QMA6BPXocwkrjpZ=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,5,,Open All Days,+502 4082 9131,"G2WH+FQJ Finca Palestina, Aldea El Socorro, Wei Di Ma La ",,https://www.google.com/maps/place/Finca+Palestina/data=!4m7!3m6!1s0x85893d75bd591d5f:0xa8183bbeabf4655!8m2!3d14.5462028!4d-90.9706225!16s%2Fg%2F11h0v2h0bk!19sChIJXx1ZvXU9iYURVUa_6ruDgQo?authuser=0&hl=zh-TW&rclk=1
ChIJj-2nFDY9iYUR7bV8HD69FdQ,Coffee break,,False,3,"Name: Kape' Yepocapa
link: https://www.google.com/maps/search/Kape%E2%80%99+Yepocapa/@14.4992602,-90.9581337?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Cafeteria Dona Vicky
link: https://www.google.com/maps/search/Cafeter%C3%ADa+Do%C3%B1a+Vicky/@14.503826199999999,-90.95455280000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: KAFECHINO
link: https://www.google.com/maps/search/KAFECHINO/@14.501125700000001,-90.9530355?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Coffee break (Ye Zhu ),https://www.google.com/maps/contrib/101239280517575252781,https://lh5.googleusercontent.com/p/AF1QipPsqfqOsIQO4ITAMJkfYvXOzQK_ZRfapKMpy-pS=w426-h240-k-no,Zi Zhu Can Ting ,Zi Zhu Can Ting ,4.3,10:00-21:30,Xing Qi Yi ,+502 3077 5391,"Coffee break, Aldea monte de los olivos, San Pedro Yepocapa 04012Wei Di Ma La ",,https://www.google.com/maps/place/Coffee+break/data=!4m7!3m6!1s0x85893d3614a7ed8f:0xd415bd3e1c7cb5ed!8m2!3d14.4935773!4d-90.9536288!16s%2Fg%2F11swzh4092!19sChIJj-2nFDY9iYUR7bV8HD69FdQ?authuser=0&hl=zh-TW&rclk=1
