place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJc2liN7UKDUcRKsvjPyhwiG4,Kaufland Zdar nad Sazavou,,False,1848,"Name: Kvetinarstvi Florcentrum Foltynova
link: https://www.google.com/maps/search/Kv%C4%9Btin%C3%A1%C5%99stv%C3%AD+Florcentrum+Folt%C3%BDnov%C3%A1/@49.555203299999995,15.937363499999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: Benu lekarna
link: https://www.google.com/maps/search/Benu+l%C3%A9k%C3%A1rna/@49.554902,15.9372551?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: GECO Tabak - Tisk
link: https://www.google.com/maps/search/GECO+Tab%C3%A1k+-+Tisk/@49.555185599999994,15.936998699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Zverokruh
link: https://www.google.com/maps/search/Zv%C4%9Brokruh/@49.555015999999995,15.937351999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Kvetinarstvi
link: https://www.google.com/maps/search/Kv%C4%9Btin%C3%A1%C5%99stv%C3%AD/@49.5547057,15.939111?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://prodejny.kaufland.cz/%3Fcid%3DCZ:loc:uberall_1681738949195,Kaufland Zdar nad Sazavou (Ye Zhu ),https://www.google.com/maps/contrib/118325181107307161175,https://lh5.googleusercontent.com/p/AF1QipMlH9btzMTZVwB_pqHQ1lHvXoSiHeSfgf73r6PO=w426-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.9,07:00-22:00,"Xing Qi Yi , Xing Qi Er ",+420 566 625 260,"Kaufland Zdar nad Sazavou, Chelcickeho 2376/7, 591 01 Zdar nad Sazavou 1, Jie Ke ",,https://www.google.com/maps/place/Kaufland+%C5%BD%C4%8F%C3%A1r+nad+S%C3%A1zavou/data=!4m7!3m6!1s0x470d0ab537626973:0x6e8870283fe3cb2a!8m2!3d49.5552315!4d15.9367768!16s%2Fg%2F11bc7mvfqg!19sChIJc2liN7UKDUcRKsvjPyhwiG4?authuser=0&hl=zh-TW&rclk=1
ChIJBXXpME11DUcRi-KGiEByLu8,"Vesna lahudky, s.r.o.",,False,1481,"Name: Suss' public house
link: https://www.google.com/maps/search/S%C3%BCss%27+public+house/@49.562860300000004,15.938599000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 563 reviews

Name: Restaurace Fit
link: https://www.google.com/maps/search/Restaurace+Fit/@49.5608146,15.942165500000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews

Name: VESNA, a.s - Bytovy textil, Galanterie
link: https://www.google.com/maps/search/VESNA%2C+a.s+-+Bytov%C3%BD+textil%2C+Galanterie/@49.5640244,15.9398994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: LOSENKA s.r.o.
link: https://www.google.com/maps/search/LOSENKA+s.r.o./@49.564997299999995,15.936127599999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",http://www.vesnazr.cz/,"Vesna lahudky, s.r.o. (Ye Zhu )",https://www.google.com/maps/contrib/110457870928599497547,https://lh5.googleusercontent.com/p/AF1QipMQ-HYfMHxC0EqKSsaHEi5y1GlHEwPv11sBqNt-=w408-h306-k-no,Shou Shi Dian ,"Shou Shi Dian , Zi Zhu Can Can Ting , Kuai Can Dian ",4.5,06:30-17:00,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+420 566 625 647,"Vesna lahudky, s.r.o., Horni 1134/4, 591 01 Zdar nad Sazavou 4, Jie Ke ",,"https://www.google.com/maps/place/Vesna+lah%C5%AFdky,+s.r.o./data=!4m7!3m6!1s0x470d754d30e97505:0xef2e72408886e28b!8m2!3d49.5615997!4d15.9421596!16s%2Fg%2F1tj1qt09!19sChIJBXXpME11DUcRi-KGiEByLu8?authuser=0&hl=zh-TW&rclk=1"
ChIJ0U5p0LIKDUcRBonEH3zD8hc,P Cafe,,False,727,"Name: Pub&Cafe
link: https://www.google.com/maps/search/Pub%26Cafe/@49.5614387,15.939312099999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 614 reviews

Name: Aunt Hana's Cafe
link: https://www.google.com/maps/search/Aunt+Hana%27s+Caf%C3%A9/@49.5625,15.938055599999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 428 reviews

Name: Kavarna Kaficko
link: https://www.google.com/maps/search/Kav%C3%A1rna+Kaf%C3%AD%C4%8Dko/@49.5640346,15.938934099999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 238 reviews

Name: Mala kavarna
link: https://www.google.com/maps/search/Mal%C3%A1+kav%C3%A1rna/@49.564301199999996,15.939103000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews",http://www.pcafe.cz/,P Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP0SnUlRvQJzPdZuDTYfGxhylKuYULBNzty0oSy=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,07:00-19:00,Open All Days,,"P Cafe, nam. Republiky 72/4, 591 01 Zdar nad Sazavou 1, Jie Ke ",Dan Gao ,https://www.google.com/maps/place/P+Cafe/data=!4m7!3m6!1s0x470d0ab2d0694ed1:0x17f2c37c1fc48906!8m2!3d49.5615163!4d15.9406623!16s%2Fg%2F11c43pmb00!19sChIJ0U5p0LIKDUcRBonEH3zD8hc?authuser=0&hl=zh-TW&rclk=1
ChIJ2UlE4bIKDUcRQ-bZB_VAV1o,Pub&Cafe,,False,615,"Name: ORIGINAL restaurace INGOT
link: https://www.google.com/maps/search/ORIGIN%C3%81L+restaurace+INGOT/@49.5562969,15.9397655?authuser=0&hl=zh-TW&entry=ttu
Reviews: 743 reviews

Name: P Cafe
link: https://www.google.com/maps/search/P+Cafe/@49.5615163,15.940662300000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 726 reviews

Name: Restaurace u posty
link: https://www.google.com/maps/search/Restaurace+u+po%C5%A1ty/@49.5602844,15.9393672?authuser=0&hl=zh-TW&entry=ttu
Reviews: 633 reviews

Name: Steak bar L.A.
link: https://www.google.com/maps/search/Steak+bar+L.A./@49.561488999999995,15.9396493?authuser=0&hl=zh-TW&entry=ttu
Reviews: 258 reviews

Name: Restaurace u Pily Zdar
link: https://www.google.com/maps/search/Restaurace+u+Pily+%C5%BD%C4%8F%C3%A1r/@49.577559199999996,15.9376507?authuser=0&hl=zh-TW&entry=ttu
Reviews: 190 reviews",http://www.pubcafe.cz/,Pub&Cafe (Ye Zhu ),https://www.google.com/maps/contrib/110661638426310601625,https://lh5.googleusercontent.com/p/AF1QipMsWy-qMOQj8ypcSxBp3kSXRQhH9zGn6dXUncQT=w426-h240-k-no,Can Ting ,Can Ting ,4.3,,Open All Days,+420 608 042 229,"Pub&Cafe, Nadrazni 493, 591 01 Zdar nad Sazavou 1, Jie Ke ",,https://www.google.com/maps/place/Pub%26Cafe/data=!4m7!3m6!1s0x470d0ab2e14449d9:0x5a5740f507d9e643!8m2!3d49.5614387!4d15.9393121!16s%2Fg%2F1ydpvc4zr!19sChIJ2UlE4bIKDUcRQ-bZB_VAV1o?authuser=0&hl=zh-TW&rclk=1
ChIJx8Dm_0x1DUcR2h6WtkWTfu8,Convent - Obchodni Centrum,,False,595,"Name: BABY-LINE.CZ
link: https://www.google.com/maps/search/BABY-LINE.CZ/@49.560407,15.944557900000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews

Name: Elegance - Sutkova Marcela
link: https://www.google.com/maps/search/Elegance+-+%C5%A0utkov%C3%A1+Marcela/@49.560406799999996,15.9445578?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: VESNA, a.s - Bytovy textil, Galanterie
link: https://www.google.com/maps/search/VESNA%2C+a.s+-+Bytov%C3%BD+textil%2C+Galanterie/@49.5640244,15.9398994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: EVONA a.s.
link: https://www.google.com/maps/search/EVONA+a.s./@49.560739399999996,15.9394491?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Leila
link: https://www.google.com/maps/search/Leila/@49.560476,15.944074100000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.convent.cz/,Convent - Obchodni Centrum (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMY6xzySicfV1Pwa-1dmzvNTmaBG9bRvOgDBq2B=w408-h544-k-no,Bai Huo Gong Si ,"Bai Huo Gong Si , Za Huo Dian ",4.1,08:00-18:00,Open All Days,+420 566 620 366,"Convent - Obchodni Centrum, Horni 2233, 591 01 Zdar nad Sazavou 1, Jie Ke ",,https://www.google.com/maps/place/Convent+-+Obchodn%C3%AD+Centrum/data=!4m7!3m6!1s0x470d754cffe6c0c7:0xef7e9345b6961eda!8m2!3d49.5603161!4d15.9443058!16s%2Fg%2F1td5_ft0!19sChIJx8Dm_0x1DUcR2h6WtkWTfu8?authuser=0&hl=zh-TW&rclk=1
ChIJp8CXX7IKDUcRpLImdNne4vE,Aunt Hana's Cafe,,False,429,"Name: P Cafe
link: https://www.google.com/maps/search/P+Cafe/@49.5615163,15.940662300000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 726 reviews

Name: HOPik-Zdar
link: https://www.google.com/maps/search/HOP%C3%ADk-%C5%BD%C4%8F%C3%A1r/@49.563216399999995,15.940269800000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 294 reviews

Name: Mala kavarna
link: https://www.google.com/maps/search/Mal%C3%A1+kav%C3%A1rna/@49.564301199999996,15.939103000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: cafe Roskafe
link: https://www.google.com/maps/search/cafe+Roskafe/@49.5724175,15.9424185?authuser=0&hl=zh-TW&entry=ttu
Reviews: 128 reviews

Name: Kavarna a cukrarna U PRATEL
link: https://www.google.com/maps/search/Kav%C3%A1rna+a+cukr%C3%A1rna+U+P%C5%98%C3%81TEL/@49.5569725,15.9401707?authuser=0&hl=zh-TW&entry=ttu
Reviews: 65 reviews",http://www.utetyhany.cz/,Aunt Hana's Cafe (Ye Zhu ),https://www.google.com/maps/contrib/104612982438585252395,https://lh5.googleusercontent.com/p/AF1QipOuv-Ypw2zrsY-b-RIsj62Qdfkh2vF_vFMdU8ZO=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,09:30-21:00,Open All Days,+420 724 317 216,"Aunt Hana's Cafe, Veselska 5/5, 591 01 Zdar nad Sazavou 1, Jie Ke ",,https://www.google.com/maps/place/Aunt+Hana%27s+Caf%C3%A9/data=!4m7!3m6!1s0x470d0ab25f97c0a7:0xf1e2ded97426b2a4!8m2!3d49.5625!4d15.9380556!16s%2Fg%2F1thn46xp!19sChIJp8CXX7IKDUcRpLImdNne4vE?authuser=0&hl=zh-TW&rclk=1
ChIJz62-VuQLDUcRq7sSTUj-lxw,HOPik-Zdar,,False,294,"Name: P Cafe
link: https://www.google.com/maps/search/P+Cafe/@49.5615163,15.940662300000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 726 reviews

Name: Aunt Hana's Cafe
link: https://www.google.com/maps/search/Aunt+Hana%27s+Caf%C3%A9/@49.5625,15.938055599999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 428 reviews

Name: Kavarna Kaficko
link: https://www.google.com/maps/search/Kav%C3%A1rna+Kaf%C3%AD%C4%8Dko/@49.5640346,15.938934099999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 238 reviews

Name: bakery Recice
link: https://www.google.com/maps/search/bakery+%C5%98e%C4%8Dice/@49.561485999999995,15.940794999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 75 reviews

Name: Kavarna a cukrarna U PRATEL
link: https://www.google.com/maps/search/Kav%C3%A1rna+a+cukr%C3%A1rna+U+P%C5%98%C3%81TEL/@49.5569725,15.9401707?authuser=0&hl=zh-TW&entry=ttu
Reviews: 65 reviews",http://www.hopik-zdar.cz/,HOPik-Zdar (Ye Zhu ),https://www.google.com/maps/contrib/108630423745745995670,https://lh5.googleusercontent.com/p/AF1QipMA-d9Ab5eMBr-76tx3FOwUZPwVDuruXM8L8F8=w408-h290-k-no,Ka Pei Dian ,"Ka Pei Dian , You Le Chang ",4.7,10:00-19:00,"Xing Qi Ri , Xing Qi Yi ",+420 725 406 834,"HOPik-Zdar, nam. Republiky 147, 591 01 Zdar nad Sazavou 1, Jie Ke ",,https://www.google.com/maps/place/HOP%C3%ADk-%C5%BD%C4%8F%C3%A1r/data=!4m7!3m6!1s0x470d0be456beadcf:0x1c97fe484d12bbab!8m2!3d49.5632164!4d15.9402698!16s%2Fg%2F11h1dpp8zx!19sChIJz62-VuQLDUcRq7sSTUj-lxw?authuser=0&hl=zh-TW&rclk=1
ChIJIxklga0KDUcRzvX7Oeo23gk,Kavarna Kaficko,,False,238,"Name: P Cafe
link: https://www.google.com/maps/search/P+Cafe/@49.5615163,15.940662300000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 726 reviews

Name: Mala kavarna
link: https://www.google.com/maps/search/Mal%C3%A1+kav%C3%A1rna/@49.564301199999996,15.939103000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: cafe Roskafe
link: https://www.google.com/maps/search/cafe+Roskafe/@49.5724175,15.9424185?authuser=0&hl=zh-TW&entry=ttu
Reviews: 128 reviews

Name: Cafe Stalingrad
link: https://www.google.com/maps/search/Caf%C3%A9+Stalingrad/@49.564316999999996,15.931403999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 69 reviews

Name: U kocoura toulaveho
link: https://www.google.com/maps/search/U+kocoura+toulav%C3%A9ho/@49.563596399999994,15.939068500000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews",http://kafickozdar.cz/,Kavarna Kaficko (Ye Zhu ),https://www.google.com/maps/contrib/109072223790216860491,https://lh5.googleusercontent.com/p/AF1QipMIM--itrNzoY7M54Fem0sEEAfFL7FiBvnF5a2x=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,08:00-21:00,Open All Days,+420 776 039 661,"Kavarna Kaficko, 11, Havlickovo nam. 256, 591 01 Zdar nad Sazavou, Jie Ke ",,https://www.google.com/maps/place/Kav%C3%A1rna+Kaf%C3%AD%C4%8Dko/data=!4m7!3m6!1s0x470d0aad81251923:0x9de36ea39fbf5ce!8m2!3d49.5640346!4d15.9389341!16s%2Fg%2F11bxb9nh5q!19sChIJIxklga0KDUcRzvX7Oeo23gk?authuser=0&hl=zh-TW&rclk=1
ChIJyUlK7rIKDUcRA_XWMKhdNYM,Revolta Beer & Cafe s.r.o,,False,187,"Name: P Cafe
link: https://www.google.com/maps/search/P+Cafe/@49.5615163,15.940662300000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 726 reviews

Name: Pub&Cafe
link: https://www.google.com/maps/search/Pub%26Cafe/@49.5614387,15.939312099999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 614 reviews

Name: Kavarna Kaficko
link: https://www.google.com/maps/search/Kav%C3%A1rna+Kaf%C3%AD%C4%8Dko/@49.5640346,15.938934099999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 238 reviews

Name: Cafe Stalingrad
link: https://www.google.com/maps/search/Caf%C3%A9+Stalingrad/@49.564316999999996,15.931403999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 69 reviews

Name: U kocoura toulaveho
link: https://www.google.com/maps/search/U+kocoura+toulav%C3%A9ho/@49.563596399999994,15.939068500000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews",https://www.revolta.beer/homepage,Revolta Beer & Cafe s.r.o (Ye Zhu ),https://www.google.com/maps/contrib/113911139379599671859,https://lh5.googleusercontent.com/p/AF1QipPrWrzNUGDIHnSbV0INhzx8q8nrLtzzG00odEm2=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,12:00-20:00,Xing Qi Ri ,+420 728 157 785,"Revolta Beer & Cafe s.r.o, nam. Republiky 64/14, 591 01 Zdar nad Sazavou 1, Jie Ke ",,https://www.google.com/maps/place/Revolta+Beer+%26+Cafe+s.r.o/data=!4m7!3m6!1s0x470d0ab2ee4a49c9:0x83355da830d6f503!8m2!3d49.5619855!4d15.939159!16s%2Fg%2F11c5zzj9_7!19sChIJyUlK7rIKDUcRA_XWMKhdNYM?authuser=0&hl=zh-TW&rclk=1
ChIJnzBObA-gDUcRr38sy1IS-s4,Cafe in Castle Zdar nad Sazavou,,False,160,"Name: P Cafe
link: https://www.google.com/maps/search/P+Cafe/@49.5615163,15.940662300000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 726 reviews

Name: Kavarna Kaficko
link: https://www.google.com/maps/search/Kav%C3%A1rna+Kaf%C3%AD%C4%8Dko/@49.5640346,15.938934099999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 238 reviews

Name: Mala kavarna
link: https://www.google.com/maps/search/Mal%C3%A1+kav%C3%A1rna/@49.564301199999996,15.939103000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: cafe Roskafe
link: https://www.google.com/maps/search/cafe+Roskafe/@49.5724175,15.9424185?authuser=0&hl=zh-TW&entry=ttu
Reviews: 128 reviews

Name: Kavarna a cukrarna U PRATEL
link: https://www.google.com/maps/search/Kav%C3%A1rna+a+cukr%C3%A1rna+U+P%C5%98%C3%81TEL/@49.5569725,15.9401707?authuser=0&hl=zh-TW&entry=ttu
Reviews: 65 reviews",http://www.zamekzdar.cz/,Cafe in Castle Zdar nad Sazavou (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP5ZOSC8rUm0d9z1aol5mEK4hHQpp9qygeTqZhw=w493-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.2,09:00-17:00,Xing Qi Yi ,,"Cafe in Castle Zdar nad Sazavou, Zamek 8, 591 02 Zdar nad Sazavou 2, Jie Ke ",,https://www.google.com/maps/place/Cafe+in+Castle+Zdar+nad+Sazavou/data=!4m7!3m6!1s0x470da00f6c4e309f:0xcefa1252cb2c7faf!8m2!3d49.581618!4d15.936881!16s%2Fg%2F11clybd3cf!19sChIJnzBObA-gDUcRr38sy1IS-s4?authuser=0&hl=zh-TW&rclk=1
