place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ6dr3P8hRw0cRpERENUp0cuA,Cafe St Eloi,,False,440,"Name: Herberge
link: https://www.google.com/maps/search/Herberg%C3%A9/@51.1551919,3.1949644?authuser=0&hl=zh-TW&entry=ttu
Reviews: 188 reviews

Name: @Kevin - Sfeercafe te Loppem
link: https://www.google.com/maps/search/%40Kevin+-+Sfeercaf%C3%A9+te+Loppem/@51.154950299999996,3.1882702999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 167 reviews

Name: Bistro O-point
link: https://www.google.com/maps/search/Bistro+O-point/@51.1553063,3.1904486?authuser=0&hl=zh-TW&entry=ttu
Reviews: 125 reviews

Name: Nolleplein
link: https://www.google.com/maps/search/Nolleplein/@51.159953599999994,3.1815778999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",http://sintelooiloppem.be/,Cafe St Eloi (Ye Zhu ),https://www.google.com/maps/contrib/105550070439175169139,https://lh5.googleusercontent.com/p/AF1QipOqwBztFDFYtIPe6-1X3gUl9QixR2dZ0h8kJlgj=w408-h280-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,15:00-01:00,"Xing Qi Yi , Xing Qi Er ",+32 50 82 37 40,"Cafe St Eloi, Dorp 11, 8210 Zedelgem, Bi Li Shi ","Pi Jiu , tapas, Yin Le , Jia Ge ",https://www.google.com/maps/place/Cafe+St+Eloi/data=!4m7!3m6!1s0x47c351c83ff7dae9:0xe072744a354444a4!8m2!3d51.1553842!4d3.195956!16s%2Fg%2F1pxwc5kfd!19sChIJ6dr3P8hRw0cRpERENUp0cuA?authuser=0&hl=zh-TW&rclk=1
ChIJF8RG32xSw0cRjhCqdKs1WjU,Den Heirweg,,False,278,"Name: Eetcafe De Kave (cocktails, tapas & lekkere gerechten)
link: https://www.google.com/maps/search/Eetcaf%C3%A9+De+Kave+%28cocktails%2C+tapas+%26+lekkere+gerechten%29/@51.144962199999995,3.1361727999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 121 reviews

Name: kaffee bistro LKKRS
link: https://www.google.com/maps/search/kaffee+bistro+LKKRS/@51.1425621,3.1370766999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews

Name: Brasserie Devaux
link: https://www.google.com/maps/search/Brasserie+Devaux/@51.1036393,3.1618093?authuser=0&hl=zh-TW&entry=ttu
Reviews: 108 reviews

Name: Cartouche
link: https://www.google.com/maps/search/Cartouche/@51.1429373,3.1367485?authuser=0&hl=zh-TW&entry=ttu
Reviews: 103 reviews

Name: Cafe Boldershof
link: https://www.google.com/maps/search/Cafe+Boldershof/@51.1059768,3.1568521?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews",http://www.denheirweg.be/,Den Heirweg (Ye Zhu ),https://www.google.com/maps/contrib/100523948864062300254,https://lh5.googleusercontent.com/p/AF1QipNJlxT9tjZJEsl05nyfxB4i9V92W6JQERmVkVNC=w408-h306-k-no,Mei Shi Can Che Dian ,"Mei Shi Can Che Dian , Ka Pei Dian ",4.3,10:00-19:00,"Xing Qi San , Xing Qi Si ",+32 50 20 87 38,"Den Heirweg, Snellegemsestraat 117, 8210 Zedelgem, Bi Li Shi ","Jiao Ta Che , Xiao Chi ",https://www.google.com/maps/place/Den+Heirweg/data=!4m7!3m6!1s0x47c3526cdf46c417:0x355a35ab74aa108e!8m2!3d51.1520114!4d3.1302531!16s%2Fg%2F1tdmd113!19sChIJF8RG32xSw0cRjhCqdKs1WjU?authuser=0&hl=zh-TW&rclk=1
ChIJj8OC6StPw0cRrHidGX4CZiE,Magic Bubble Tea,,False,124,,http://www.magicbubbletea.be/,Magic Bubble Tea (Ye Zhu ),https://www.google.com/maps/contrib/116181195588823203904,https://lh5.googleusercontent.com/p/AF1QipMesQ144mVJNWvOpAQjOOoce5OxHpRQicoziDAn=w425-h240-k-no,Zhen Zhu Nai Cha Dian ,"Zhen Zhu Nai Cha Dian , Wai Hui Yin Shi Gong Ying Shang , Dao Hui Fu Wu , Er Tong Pai Dui Zi Zhu Can , Huo Dong Guan Li Gong Si , Huo Dong Ce Hua Gong Si , Jie Qing , Mei Shi Guang Chang , Xian Shi Shi Chang , Xing Dong Can Che ",5,24 Xiao Shi Ying Ye ,Open All Days,+32 499 61 05 48,"Magic Bubble Tea, Ludovicus Vandendriesscheplein 51, 8210 Zedelgem, Bi Li Shi ",Yuan Gong ,https://www.google.com/maps/place/Magic+Bubble+Tea/data=!4m7!3m6!1s0x47c34f2be982c38f:0x2166027e199d78ac!8m2!3d51.1063023!4d3.164268!16s%2Fg%2F11kjn_ysj3!19sChIJj8OC6StPw0cRrHidGX4CZiE?authuser=0&hl=zh-TW&rclk=1
ChIJN0U_-QtSw0cRUrGRwDiSWwU,kaffee bistro LKKRS,,False,119,"Name: Lunch-box
link: https://www.google.com/maps/search/Lunch-box/@51.1213409,3.1509731999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 183 reviews

Name: Bistro Boschvogel
link: https://www.google.com/maps/search/Bistro+Boschvogel/@51.120601699999995,3.0880254?authuser=0&hl=zh-TW&entry=ttu
Reviews: 154 reviews

Name: Eetcafe De Kave (cocktails, tapas & lekkere gerechten)
link: https://www.google.com/maps/search/Eetcaf%C3%A9+De+Kave+%28cocktails%2C+tapas+%26+lekkere+gerechten%29/@51.144962199999995,3.1361727999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 121 reviews

Name: La Brasserie Bvba
link: https://www.google.com/maps/search/La+Brasserie+Bvba/@51.129976799999994,3.1564183?authuser=0&hl=zh-TW&entry=ttu
Reviews: 100 reviews",http://www.lkkrs.be/,kaffee bistro LKKRS (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMybH3F_ArwKXvCXQcwKfKHBhkl8nBu03cSUbFv=w408-h306-k-no,Mei Shi Can Che Dian ,"Mei Shi Can Che Dian , Xiao Can Guan  (Bistro)",4.4,08:00-00:00,Xing Qi Si ,+32 50 81 64 60,"kaffee bistro LKKRS, Snellegemsestraat 4a, 8210 Zedelgem, Bi Li Shi ","Zao Can , Jia Ge ",https://www.google.com/maps/place/kaffee+bistro+LKKRS/data=!4m7!3m6!1s0x47c3520bf93f4537:0x55b9238c091b152!8m2!3d51.1425621!4d3.1370767!16s%2Fg%2F11g87b84br!19sChIJN0U_-QtSw0cRUrGRwDiSWwU?authuser=0&hl=zh-TW&rclk=1
ChIJh02h3XhTw0cR-TWz9m_6DPI,AVI '38 SPECIALTY COFFEE BAR,,False,106,"Name: Eetcafe De Kave (cocktails, tapas & lekkere gerechten)
link: https://www.google.com/maps/search/Eetcaf%C3%A9+De+Kave+%28cocktails%2C+tapas+%26+lekkere+gerechten%29/@51.144962199999995,3.1361727999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 121 reviews

Name: Cafe Transit
link: https://www.google.com/maps/search/Cafe+Transit/@51.1244885,3.1529806999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Cafe Het Groenhof
link: https://www.google.com/maps/search/Cafe+Het+Groenhof/@51.1341361,3.1581346999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Cafe t' seven
link: https://www.google.com/maps/search/Caf%C3%A9+t%27+seven/@51.103903599999995,3.1608852?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.avi38.be/,AVI '38 SPECIALTY COFFEE BAR (Ye Zhu ),https://www.google.com/maps/contrib/102500974095492548999,https://lh5.googleusercontent.com/p/AF1QipMFm1QqRwCVrt1pcBVYQqnyQwd-ZClvjxAJNdPr=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.7,08:00-18:00,"Xing Qi Yi , Xing Qi Er ",+32 50 66 53 62,"AVI '38 SPECIALTY COFFEE BAR, Groenestraat 22, 8210 Zedelgem, Bi Li Shi ","Dan Gao , Ka Pei Shi , Re Qing , Yuan Gong , Qiao Ke Li Niu Nai , Shi Nei , vegan, Xia Ding , Pin Zhi ",https://www.google.com/maps/place/AVI+%2738+SPECIALTY+COFFEE+BAR/data=!4m7!3m6!1s0x47c35378dda14d87:0xf20cfa6ff6b335f9!8m2!3d51.1410844!4d3.1375642!16s%2Fg%2F11tcw1bdlg!19sChIJh02h3XhTw0cR-TWz9m_6DPI?authuser=0&hl=zh-TW&rclk=1
ChIJbxREBgxSw0cRVdwg30F8cL4,Cartouche,,False,103,"Name: Den Heirweg
link: https://www.google.com/maps/search/Den+Heirweg/@51.152011400000006,3.1302531?authuser=0&hl=zh-TW&entry=ttu
Reviews: 278 reviews

Name: Brasserie Chaplin
link: https://www.google.com/maps/search/Brasserie+Chaplin/@51.1424621,3.1371081999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 144 reviews

Name: Eetcafe De Kave (cocktails, tapas & lekkere gerechten)
link: https://www.google.com/maps/search/Eetcaf%C3%A9+De+Kave+%28cocktails%2C+tapas+%26+lekkere+gerechten%29/@51.144962199999995,3.1361727999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 121 reviews

Name: kaffee bistro LKKRS
link: https://www.google.com/maps/search/kaffee+bistro+LKKRS/@51.1425621,3.1370766999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews

Name: Cafe Transit
link: https://www.google.com/maps/search/Cafe+Transit/@51.1244885,3.1529806999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews",https://www.openingsurengids.be/cartouche/zedelgem/1,Cartouche (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN6i01gVen9B24GAR7W0rihVxdLGFtU9b-1-EsR=w408-h240-k-no-pi-0-ya339.65552-ro-0-fo100,Ka Pei Ting ,Ka Pei Ting ,4.5,14:00-22:00,Xing Qi Yi ,,"Cartouche, Snellegemsestraat 12, 8210 Zedelgem, Bi Li Shi ",,https://www.google.com/maps/place/Cartouche/data=!4m7!3m6!1s0x47c3520c0644146f:0xbe707c41df20dc55!8m2!3d51.1429373!4d3.1367485!16s%2Fg%2F1pxwb257l!19sChIJbxREBgxSw0cRVdwg30F8cL4?authuser=0&hl=zh-TW&rclk=1
ChIJFQro4AbxwEcRck6qeeVLlkQ,TotalEnergies,,False,95,"Name: TotalEnergies
link: https://www.google.com/maps/search/TotalEnergies/@51.187599999999996,3.1066?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6279 reviews

Name: Q8 easy
link: https://www.google.com/maps/search/Q8+easy/@51.129934,3.1570601?authuser=0&hl=zh-TW&entry=ttu
Reviews: 82 reviews

Name: Vansevenant
link: https://www.google.com/maps/search/Vansevenant/@51.1393446,3.1405219?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Power Oil
link: https://www.google.com/maps/search/Power+Oil/@51.125380299999996,3.1277322?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: TotalEnergies Charging Station
link: https://www.google.com/maps/search/TotalEnergies+Charging+Station/@51.107754,3.0951092?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://services.totalenergies.be/,TotalEnergies (Ye Zhu ),https://www.google.com/maps/contrib/100741210723674974098,https://lh5.googleusercontent.com/p/AF1QipOidBX8ks3HX55rQ-LCqZf3u1F0wmAKrsjukdA0=w408-h306-k-no,You Zhan ,"You Zhan , Ka Pei Dian , Za Zhi Dian , San Wen Zhi Dian ",4.1,05:00-19:00,Xing Qi Ri ,+32 50 72 00 28,"TotalEnergies, Torhoutsesteenweg 183, 8210 Zedelgem, Bi Li Shi ",,https://www.google.com/maps/place/TotalEnergies/data=!4m7!3m6!1s0x47c0f106e0e80a15:0x44964be579aa4e72!8m2!3d51.1317!4d3.1577!16s%2Fg%2F11f311t624!19sChIJFQro4AbxwEcRck6qeeVLlkQ?authuser=0&hl=zh-TW&rclk=1
ChIJc9DTEAdOw0cRfF51O0lIG-w,Twidden Drempel,,False,70,"Name: Den Heirweg
link: https://www.google.com/maps/search/Den+Heirweg/@51.152011400000006,3.1302531?authuser=0&hl=zh-TW&entry=ttu
Reviews: 278 reviews

Name: Streekbierenkaffee Rembrandt
link: https://www.google.com/maps/search/Streekbierenkaffee+Rembrandt/@51.126259,3.1545528999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 120 reviews

Name: Cafe Breughelhof
link: https://www.google.com/maps/search/Caf%C3%A9+Breughelhof/@51.1263242,3.1636401?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Cafe Transit
link: https://www.google.com/maps/search/Cafe+Transit/@51.1244885,3.1529806999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Cafe De Zwaan
link: https://www.google.com/maps/search/Caf%C3%A9+De+Zwaan/@51.1194497,3.092381?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews",https://www.facebook.com/pg/swingcafe-twidden-drempel-43610845609/reviews/,Twidden Drempel (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPSXTx4BYDPfdK95NgXeEH_cClxrqngimjRmdOn=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,16:00-01:30,"Xing Qi Yi , Xing Qi Er ",+32 468 13 92 39,"Twidden Drempel, Torhoutsesteenweg 122, 8210 Zedelgem, Bi Li Shi ",,https://www.google.com/maps/place/Twidden+Drempel/data=!4m7!3m6!1s0x47c34e0710d3d073:0xec1b48493b755e7c!8m2!3d51.130092!4d3.1564901!16s%2Fg%2F1ts3kchg!19sChIJc9DTEAdOw0cRfF51O0lIG-w?authuser=0&hl=zh-TW&rclk=1
ChIJHV8sl9dNw0cRgVKWpnjb1gU,Eetcafe 'T putje,,False,46,"Name: Estaminet 't Poaterke
link: https://www.google.com/maps/search/Estaminet+%27t+Poaterke/@51.154305799999996,3.2361348?authuser=0&hl=zh-TW&entry=ttu
Reviews: 170 reviews

Name: Restaurant - Snack 't Voutje
link: https://www.google.com/maps/search/Restaurant+-+Snack+%C2%B4t+Voutje/@51.124374,3.152905?authuser=0&hl=zh-TW&entry=ttu
Reviews: 141 reviews

Name: Cafe Transit
link: https://www.google.com/maps/search/Cafe+Transit/@51.1244885,3.1529806999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Cafe Het Groenhof
link: https://www.google.com/maps/search/Cafe+Het+Groenhof/@51.1341361,3.1581346999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.tablebooker.be/restaurant/20120352/Eetcaf-t-Putje,Eetcafe 'T putje (Ye Zhu ),https://www.google.com/maps/contrib/114558613632687800960,https://lh5.googleusercontent.com/p/AF1QipNgjokZrrucSfkFH5owvAghs4sg5V9Gyx00PJKa=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,10:30-00:00,Xing Qi Er ,+32 468 21 66 03,"Eetcafe 'T putje, Torhoutsesteenweg 373, 8210 Zedelgem, Bi Li Shi ",,https://www.google.com/maps/place/Eetcaf%C3%A9+%C2%B4T+putje/data=!4m7!3m6!1s0x47c34dd7972c5f1d:0x5d6db78a6965281!8m2!3d51.113337!4d3.1438213!16s%2Fg%2F11h3cby5yd!19sChIJHV8sl9dNw0cRgVKWpnjb1gU?authuser=0&hl=zh-TW&rclk=1
ChIJ5W2EheJNw0cReSzh85nuJqQ,Cafe Transit,,False,32,"Name: Cartouche
link: https://www.google.com/maps/search/Cartouche/@51.1429373,3.1367485?authuser=0&hl=zh-TW&entry=ttu
Reviews: 103 reviews

Name: Eetcafe 'T putje
link: https://www.google.com/maps/search/Eetcaf%C3%A9+%C2%B4T+putje/@51.113336999999994,3.1438213?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: Cafe De Zwaan
link: https://www.google.com/maps/search/Caf%C3%A9+De+Zwaan/@51.1194497,3.092381?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Cafe Het Groenhof
link: https://www.google.com/maps/search/Cafe+Het+Groenhof/@51.1341361,3.1581346999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Cafe t' seven
link: https://www.google.com/maps/search/Caf%C3%A9+t%27+seven/@51.103903599999995,3.1608852?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.opcafegaan.be/zedelgem/cafe-transit,Cafe Transit (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ehGuZzF91S6pvU5R-tzZ4g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=277.18036&pitch=0&thumbfov=100,Ka Pei Ting ,Ka Pei Ting ,4.4,,Open All Days,+32 50 20 13 37,"Cafe Transit, Torhoutsesteenweg 186, 8210 Zedelgem, Bi Li Shi ",,https://www.google.com/maps/place/Cafe+Transit/data=!4m7!3m6!1s0x47c34de285846de5:0xa426ee99f3e12c79!8m2!3d51.1244885!4d3.1529807!16s%2Fg%2F1tr9ml6f!19sChIJ5W2EheJNw0cReSzh85nuJqQ?authuser=0&hl=zh-TW&rclk=1
