place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJYaSgZ3IN9hIRyasSGJgIchQ,`dl,,False,2,,https://www.facebook.com/profile.php%3Fid%3D100005656127960,`dl (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,3,24 Xiao Shi Ying Ye ,"Xing Qi Er , Xing Qi San , Xing Qi Si , Xing Qi Wu , Xing Qi Ri ",+213 662 82 75 28,"MGQ3+5QW `dl, zrby@ lwd~, zryb@ lwdy,, Zeribet El OuedA Er Ji Li Ya ",,https://www.google.com/maps/place/%D8%B9%D8%A7%D8%AF%D9%84%E2%80%AD/data=!4m7!3m6!1s0x12f60d7267a0a461:0x147208981812abc9!8m2!3d34.6879915!4d6.5044667!16s%2Fg%2F11qg6c7rcl!19sChIJYaSgZ3IN9hIRyasSGJgIchQ?authuser=0&hl=zh-TW&rclk=1
ChIJV6Q4to1b9hIRHoaWiNWr3p8,Cafe choukri,,False,1,,http://0.0.0.15/08/2000,Cafe choukri (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipODGQTdXB6Ds2IAlk_P1fKeCnSbXeWCWbEGf_yf=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,5,,Open All Days,+213 656 03 78 92,"WWG4+5P6 Cafe choukri, Djellal, A Er Ji Li Ya ",,https://www.google.com/maps/place/Caf%C3%A9+choukri/data=!4m7!3m6!1s0x12f65b8db638a457:0x9fdeabd58896861e!8m2!3d34.9254139!4d6.9067549!16s%2Fg%2F11v66mj2c5!19sChIJV6Q4to1b9hIRHoaWiNWr3p8?authuser=0&hl=zh-TW&rclk=1
ChIJN2jq8K4M9hIR4vjl4kMy-1k,mqh~ kwmbT@,,False,16,"Name: mqh~ wd l`rb
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D9%88%D8%A7%D8%AF+%D8%A7%D9%84%D8%B9%D8%B1%D8%A8/@34.6774931,6.5091582?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Cafee Achouri
link: https://www.google.com/maps/search/Cafee+Achouri/@34.686988,6.4915312?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: mqh~ kmy@ lwzy
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D9%83%D9%85%D9%8A%D8%A9+%D9%84%D9%88%D8%B2%D9%8A/@34.5667146,6.0348028?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",,mqh~ kwmbT@ (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMweDcrKKyBiaDmL4mIvqP5Wjn-DQZegLjHktq4=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4,05:00-00:00,Xing Qi Wu ,,"MGJ2+P66 mqh~ kwmbT@, N83, Zeribet El Oued, A Er Ji Li Ya ",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D9%83%D9%88%D9%85%D8%A8%D8%A7%D8%B7%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12f60caef0ea6837:0x59fb3243e2e5f8e2!8m2!3d34.6817814!4d6.5005159!16s%2Fg%2F11c2y3w7tm!19sChIJN2jq8K4M9hIR4vjl4kMy-1k?authuser=0&hl=zh-TW&rclk=1
ChIJ-9_jmbAM9hIRjmSP3PIVXq4,mqh~ wd l`rb,,False,11,"Name: mqhy w mHT@ Gsyl lsyrt mmy@
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%8A+%D9%88+%D9%85%D8%AD%D8%B7%D8%A9+%D8%BA%D8%B3%D9%8A%D9%84+%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA+%D9%85%D9%85%D9%8A%D8%A9/@34.6785656,6.5079993?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: mqh~ shy l`yd
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%B4%D8%A7%D9%8A+%D8%A7%D9%84%D8%B9%D9%8A%D8%AF/@34.6910498,6.4795525?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,mqh~ wd l`rb (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMHZbPPIHY8RvO0eg6eMmODpSVjZIyX5zsYUgYJ=w408-h396-k-no,Ka Pei Ting ,Ka Pei Ting ,4.1,,Open All Days,,"MGG5+XMV mqh~ wd l`rb, N83, Zeribet El OuedA Er Ji Li Ya ",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D9%88%D8%A7%D8%AF+%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%E2%80%AD/data=!4m7!3m6!1s0x12f60cb099e3dffb:0xae5e15f2dc8f648e!8m2!3d34.6774931!4d6.5091582!16s%2Fg%2F11b7jh6w1f!19sChIJ-9_jmbAM9hIRjmSP3PIVXq4?authuser=0&hl=zh-TW&rclk=1
ChIJaZBgxq4M9hIR14yiesnjxtc,mqh~ lbrk@,,False,9,"Name: mqh~ Hm bsy
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%AD%D9%85%D8%A7+%D8%A8%D8%B3%D9%8A/@34.681363399999995,6.5013594999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: `dl
link: https://www.google.com/maps/search/%D8%B9%D8%A7%D8%AF%D9%84/@34.687991499999995,6.5044667?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: mT`m lbrk@ `nd lkmly tly
link: https://www.google.com/maps/search/%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D8%A8%D8%B1%D9%83%D8%A9+%D8%B9%D9%86%D8%AF+%D8%A7%D9%84%D9%83%D8%A7%D9%85%D9%84%D9%8A+%D8%AA%D9%84%D9%8A/@34.687817,6.503878599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,mqh~ lbrk@ (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNbXgCaOTVdByvPbG6XpYrKFvkQNAKsRI1yHLpE=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,3.3,,Open All Days,,"MFJX+VMG mqh~ lbrk@, Zeribet El OuedA Er Ji Li Ya ",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D8%A8%D8%B1%D9%83%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12f60caec6609069:0xd7c6e3c97aa28cd7!8m2!3d34.6821783!4d6.499204!16s%2Fg%2F11c455xkz6!19sChIJaZBgxq4M9hIR14yiesnjxtc?authuser=0&hl=zh-TW&rclk=1
ChIJWQFco7AM9hIRpzokHJgFKx8,mqhy w mHT@ Gsyl lsyrt mmy@,,False,8,"Name: mqh~ wd l`rb
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D9%88%D8%A7%D8%AF+%D8%A7%D9%84%D8%B9%D8%B1%D8%A8/@34.6774931,6.5091582?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: mqh~ khlyj Hsm
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%AE%D9%84%D9%8A%D8%AC+%D8%AD%D8%B3%D8%A7%D9%85/@34.6838602,6.512029699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: zryb@ lwdy
link: https://www.google.com/maps/search/%D8%B2%D8%B1%D9%8A%D8%A8%D8%A9+%D8%A7%D9%84%D9%88%D8%A7%D8%AF%D9%8A/@34.6779416,6.507370000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,mqhy w mHT@ Gsyl lsyrt mmy@ (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPHgU8gU67knN2vx9ohrBUlmjPUHtzwE1EPA33-=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,24 Xiao Shi Ying Ye ,Open All Days,,"MGH5+C5H mqhy w mHT@ Gsyl lsyrt mmy@, Zeribet El OuedA Er Ji Li Ya ",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%8A+%D9%88+%D9%85%D8%AD%D8%B7%D8%A9+%D8%BA%D8%B3%D9%8A%D9%84+%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA+%D9%85%D9%85%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12f60cb0a35c0159:0x1f2b05981c243aa7!8m2!3d34.6785656!4d6.5079993!16s%2Fg%2F11b807hgc4!19sChIJWQFco7AM9hIRpzokHJgFKx8?authuser=0&hl=zh-TW&rclk=1
ChIJWyt3oFUL9hIR_0OcdNIK9WY,Cafee Achouri,,False,7,"Name: mqh~ kwmbT@
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D9%83%D9%88%D9%85%D8%A8%D8%A7%D8%B7%D8%A9/@34.6817814,6.5005159?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: `dl
link: https://www.google.com/maps/search/%D8%B9%D8%A7%D8%AF%D9%84/@34.687991499999995,6.5044667?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Coffe Choco
link: https://www.google.com/maps/search/Coffe+Choco/@34.6856169,6.4934142999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafee Achouri (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO-2W07LBPpSc0TOAtJtklPJ4XqEhN2M958TeFm=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,05:00-22:00,Xing Qi Wu ,+213 660 50 24 24,"MFPR+QJR Cafee Achouri, Zeribet El Oued, A Er Ji Li Ya ",,https://www.google.com/maps/place/Cafee+Achouri/data=!4m7!3m6!1s0x12f60b55a0772b5b:0x66f50ad2749c43ff!8m2!3d34.686988!4d6.4915312!16s%2Fg%2F11g9q0yctc!19sChIJWyt3oFUL9hIR_0OcdNIK9WY?authuser=0&hl=zh-TW&rclk=1
ChIJ_bFnnd4N9hIR2byQDcNfoOE,mqh~ Hm bsy,,False,7,"Name: mqh~ l'khw@ s`ydy
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D8%A3%D8%AE%D9%88%D8%A9+%D8%B3%D8%B9%D9%8A%D8%AF%D9%8A/@34.6856169,6.4934142999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,mqh~ Hm bsy (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP53vrmq5C_9AW7uArHGx8aXyAGe7JPGlqFCYvf=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,5,24 Xiao Shi Ying Ye ,Open All Days,+213 33 63 33 68,"MGJ2+GGX mqh~ Hm bsy, Hy lHrmly@ ljnwby@, zryb@ lwdy,, Zeribet El OuedA Er Ji Li Ya ",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%AD%D9%85%D8%A7+%D8%A8%D8%B3%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x12f60dde9d67b1fd:0xe1a05fc30d90bcd9!8m2!3d34.6813634!4d6.5013595!16s%2Fg%2F11r7r6kgq_!19sChIJ_bFnnd4N9hIR2byQDcNfoOE?authuser=0&hl=zh-TW&rclk=1
ChIJI6onEbp19hIRJTV-6dFc_QI,mqh~ lbryzyn,,False,6,"Name: Cafee Achouri
link: https://www.google.com/maps/search/Cafee+Achouri/@34.686988,6.4915312?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: `dl
link: https://www.google.com/maps/search/%D8%B9%D8%A7%D8%AF%D9%84/@34.687991499999995,6.5044667?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,mqh~ lbryzyn (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPsEIkf9Ule0ICl5dT0G2JznsmAwTckIgTyzDP0=w408-h408-k-no,Ka Pei Ting ,Ka Pei Ting ,5,,Open All Days,,"MFRQ+JXH mqh~ lbryzyn, Zeribet El OuedA Er Ji Li Ya ",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D8%A8%D8%A7%D8%B1%D9%8A%D8%B2%D9%8A%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x12f675ba1127aa23:0x2fd5cd1e97e3525!8m2!3d34.691562!4d6.4899724!16s%2Fg%2F11h95n301j!19sChIJI6onEbp19hIRJTV-6dFc_QI?authuser=0&hl=zh-TW&rclk=1
ChIJ1_xuUTUM9hIRIYmIH84zqoU,mqh~ ntrnt lrwyjl,,False,5,"Name: mrkz bryd lrwyjl
link: https://www.google.com/maps/search/%D9%85%D8%B1%D9%83%D8%B2+%D8%A8%D8%B1%D9%8A%D8%AF+%D8%A7%D9%84%D8%B1%D9%88%D9%8A%D8%AC%D9%84/@34.6219649,6.5347178?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: mqh~ Trq
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%B7%D8%A7%D8%B1%D9%82/@34.565857,6.0407702?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: mqh~ rwyl
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D8%B1%D9%88%D8%A7%D9%8A%D8%A7%D9%84/@34.720839999999995,6.2932787?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: mqh~ LOUNGE
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+LOUNGE/@34.7287351,6.2939915?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,mqh~ ntrnt lrwyjl (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,3.8,,Open All Days,+213 662 56 78 98,"JGCP+942 mqh~ ntrnt lrwyjl, Zeribet El OuedA Er Ji Li Ya ",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%A7%D8%AA+%D8%A7%D9%84%D8%B1%D9%88%D9%8A%D8%AC%D9%84%E2%80%AD/data=!4m7!3m6!1s0x12f60c35516efcd7:0x85aa33ce1f888921!8m2!3d34.6208789!4d6.5352514!16s%2Fg%2F11c1wz_fqm!19sChIJ1_xuUTUM9hIRIYmIH84zqoU?authuser=0&hl=zh-TW&rclk=1
