place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJS4Y8s4SWbjQRIx9Klxraw5I,Xing Ba Ke  Jia Yi Zhong Xing Men Shi ,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,1109,"Name: Pizza Hut Chiayi Zhongxing
link: https://www.google.com/maps/search/Pizza+Hut+Chiayi+Zhongxing/@23.4818251,120.431186?authuser=0&hl=zh-TW&entry=ttu
Reviews: 499 reviews

Name: Long StayXian Pao Cha (Long Xi Dia -Zhong Xing Dian )
link: https://www.google.com/maps/search/Long+Stay%E7%8F%BE%E6%B3%A1%E8%8C%B6%28%E9%BE%8D%E5%96%9C%E5%97%B2%E2%80%93%E4%B8%AD%E8%88%88%E5%BA%97%29/@23.4819073,120.43163179999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews

Name: Chen Guang Ka Pei 
link: https://www.google.com/maps/search/%E6%99%A8%E5%85%89%E5%92%96%E5%95%A1/@23.505680599999998,120.44956069999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Xia Ke Ka Pei Guan 
link: https://www.google.com/maps/search/%E4%BF%A0%E5%AE%A2%E5%92%96%E5%95%A1%E9%A4%A8/@23.478096200000003,120.45468989999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Hai Ka Pei Xian Cha Yin 
link: https://www.google.com/maps/search/%E5%97%A8%E5%92%96%E5%95%A1%E9%AE%AE%E8%8C%B6%E9%A3%B2/@23.4819712,120.4316275?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",https://www.starbucks.com.tw/,Xing Ba Ke  Jia Yi Zhong Xing Men Shi  (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP9RfIRRVu04QefsLyw-p5obrp7NJ7sK3IEraA-=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,06:30-21:30,Open All Days,+886 5 231 4313,600Tai Wan Jia Yi Shi Xi Qu Zhong Xing Lu 398Hao Xing Ba Ke  Jia Yi Zhong Xing Men Shi ,"Shu Shi , Bei , Zuo Wei , Na Tie , Xiao Fei , Ting Che Wei , Lian , Fu Wu Pin Zhi , Liao Tian , Ke Ke ",https://www.google.com/maps/place/%E6%98%9F%E5%B7%B4%E5%85%8B+%E5%98%89%E7%BE%A9%E4%B8%AD%E8%88%88%E9%96%80%E5%B8%82/data=!4m7!3m6!1s0x346e9684b33c864b:0x92c3da1a974a1f23!8m2!3d23.4794679!4d120.4289817!16s%2Fg%2F11y9tydbh!19sChIJS4Y8s4SWbjQRIx9Klxraw5I?authuser=0&hl=zh-TW&rclk=1
ChIJS_5qdLw8aTQR-HSAKuAXLsY,Xing Ba Ke Da Li Zhong Xing Men Shi ,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,885,"Name: Xing Ba Ke  (Shi Zheng Men Shi )
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B+%28%E5%B8%82%E6%94%BF%E9%96%80%E5%B8%82%29/@24.1605195,120.63498249999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1804 reviews

Name: 85Du C Ka Pei Dan Gao Yin Liao Hong Pei -Da Li Zhong Xing Dian 
link: https://www.google.com/maps/search/85%E5%BA%A6C+%E5%92%96%E5%95%A1%E8%9B%8B%E7%B3%95%E9%A3%B2%E6%96%99%E7%83%98%E5%9F%B9-%E5%A4%A7%E9%87%8C%E4%B8%AD%E8%88%88%E5%BA%97/@24.1102647,120.6897122?authuser=0&hl=zh-TW&entry=ttu
Reviews: 392 reviews

Name: STARBUCKS Xing Ba Ke  (Tai Ping Zhong Xing Men Shi )
link: https://www.google.com/maps/search/STARBUCKS+%E6%98%9F%E5%B7%B4%E5%85%8B+%28%E5%A4%AA%E5%B9%B3%E4%B8%AD%E8%88%88%E9%96%80%E5%B8%82%29/@24.1305429,120.7211471?authuser=0&hl=zh-TW&entry=ttu
Reviews: 259 reviews

Name: 85Du CKa Pei Dan Gao Yin Liao Mian Bao -Da Li Cao Hu Dian 
link: https://www.google.com/maps/search/85%E5%BA%A6C%E5%92%96%E5%95%A1%E8%9B%8B%E7%B3%95%E9%A3%B2%E6%96%99%E9%BA%B5%E5%8C%85-%E5%A4%A7%E9%87%8C%E8%8D%89%E6%B9%96%E5%BA%97/@24.0825364,120.6972341?authuser=0&hl=zh-TW&entry=ttu
Reviews: 202 reviews

Name: 520 COFFEE
link: https://www.google.com/maps/search/520+COFFEE/@24.0839435,120.69733629999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://www.starbucks.com.tw/,Xing Ba Ke Da Li Zhong Xing Men Shi  (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMRpk8F0saY4KCIDkThG8Eu2aQqx0bQX_qbxnva=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",4.1,07:00-22:00,Open All Days,+886 4 2496 0884,412Tai Wan Tai Zhong Shi Da Li Qu Zhong Xing Lu Yi Duan 173-25Hao Xing Ba Ke Da Li Zhong Xing Men Shi ,"Shu Shi , Can , Ting Che Wei , Bei , Zuo Wei , Xiao Fei , Xiu Xian , Leng Qi , Dian Yuan , Su Du ",https://www.google.com/maps/place/%E6%98%9F%E5%B7%B4%E5%85%8B%E5%A4%A7%E9%87%8C%E4%B8%AD%E8%88%88%E9%96%80%E5%B8%82/data=!4m7!3m6!1s0x34693cbc746afe4b:0xc62e17e02a8074f8!8m2!3d24.0891757!4d120.6944023!16s%2Fg%2F11ddzfw687!19sChIJS_5qdLw8aTQR-HSAKuAXLsY?authuser=0&hl=zh-TW&rclk=1
ChIJWwKCvHsABDQRuS8cvcaIUDg,Hazel & Hershey Coffee Roasters,,False,436,"Name: The Cupping Room (Zhong Huan )
link: https://www.google.com/maps/search/The+Cupping+Room+%28%E4%B8%AD%E7%92%B0%29/@22.283113999999998,114.15456309999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 719 reviews

Name: FINEPRINT
link: https://www.google.com/maps/search/FINEPRINT/@22.282680799999998,114.1527794?authuser=0&hl=zh-TW&entry=ttu
Reviews: 401 reviews

Name: Hypebeans (Central)
link: https://www.google.com/maps/search/Hypebeans+%28Central%29/@22.2816658,114.15776819999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews

Name: COSHA
link: https://www.google.com/maps/search/COSHA/@22.2808575,114.1528427?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews",http://www.hazelnhershey.com/,Hazel & Hershey Coffee Roasters (Ye Zhu ),https://www.google.com/maps/contrib/102958607994079558417,https://lh5.googleusercontent.com/p/AF1QipPwQFkZeJ8rgGVWa2GeIV0Ag4fYLz_aIcQ_dn8d=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Hong Bei Shang , Ka Pei Pi Fa Shang , Zheng Liu Ka Pei Ba , Shang Dian ",4.2,10:00-19:00,Open All Days,3106 0760,"Shop 3, Hazel & Hershey Coffee Roasters, 69 Peel St, Central","Ka Pei Shi , Kao , atmosphere, Chan Pin , Nai , Mian Ji , N, Shu ",https://www.google.com/maps/place/Hazel+%26+Hershey+Coffee+Roasters/data=!4m7!3m6!1s0x3404007bbc82025b:0x385088c6bd1c2fb9!8m2!3d22.2821528!4d114.1519694!16s%2Fg%2F12cnrmprf!19sChIJWwKCvHsABDQRuS8cvcaIUDg?authuser=0&hl=zh-TW&rclk=1
ChIJq-cX8lP_AzQRcQjgm0vssn0,Hashtag,,False,174,"Name: Coffee by Zion
link: https://www.google.com/maps/search/Coffee+by+Zion/@22.286612899999998,114.14172479999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 401 reviews

Name: Cha Ka Li 
link: https://www.google.com/maps/search/%E8%8C%B6%E5%92%96%E9%87%8C/@22.285969899999998,114.1418642?authuser=0&hl=zh-TW&entry=ttu
Reviews: 278 reviews

Name: Xing Fu Dan Pin Ka Pei 
link: https://www.google.com/maps/search/%E5%B9%B8%E7%A6%8F%E5%96%AE%E5%93%81%E5%92%96%E5%95%A1/@22.2847881,114.1424969?authuser=0&hl=zh-TW&entry=ttu
Reviews: 271 reviews

Name: Xiu CAFE
link: https://www.google.com/maps/search/%E4%BC%91CAFE/@22.2874649,114.1416603?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: So.High Coffee Bar
link: https://www.google.com/maps/search/So.High+Coffee+Bar/@22.285255,114.14227799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",https://www.instagram.com/hashtagcoffeehk/,Hashtag (Ye Zhu ),https://www.google.com/maps/contrib/115037475435898563494,https://lh5.googleusercontent.com/p/AF1QipPEt2HWmp9vjpQVYAOi5hBKt4isyIHOEd76hODE=w408-h615-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,09:00-18:00,"Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Si ",2896 6683,Xi Ying Pan Gao Jie 99Hao Dui Mian Rui Hua Ge HashtagB Di Xia ,"La Hua , bagel, Jia Qian , avocado, Bei , croissant, flat white, Ka Pei Shi , Yan San Wen Yu ",https://www.google.com/maps/place/Hashtag/data=!4m7!3m6!1s0x3403ff53f217e7ab:0x7db2ec4b9be00871!8m2!3d22.2852803!4d114.1404032!16s%2Fg%2F11h0vsng94!19sChIJq-cX8lP_AzQRcQjgm0vssn0?authuser=0&hl=zh-TW&rclk=1
ChIJ4-KM_jABBDQRyb_0UvLx1OE,Zombie Specialty Coffee,,False,67,"Name: Studio Caffeine (Jordan)
link: https://www.google.com/maps/search/Studio+Caffeine+%28Jordan%29/@22.303930899999997,114.169822?authuser=0&hl=zh-TW&entry=ttu
Reviews: 774 reviews

Name: Alternative Cafe
link: https://www.google.com/maps/search/Alternative+Cafe/@22.3035233,114.17011330000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 198 reviews

Name: Pastime Cafe Jordan
link: https://www.google.com/maps/search/Pastime+Cafe+Jordan/@22.3064271,114.1685236?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews

Name: Slow Walker
link: https://www.google.com/maps/search/Slow+Walker/@22.3037645,114.16976899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 52 reviews",https://instagram.com/zombie.specialtycoffee%3Figshid%3DYmMyMTA2M2Y%3D,Zombie Specialty Coffee (Ye Zhu ),https://www.google.com/maps/contrib/117257353873423757898,https://lh5.googleusercontent.com/p/AF1QipOyrnLgBLwct4MCX6UMFESYolXpZ_hwajNGBeW_=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Qing Shi Can Ting , Wi-Fi Re Dian ",4.7,09:00-19:00,Open All Days,3705 1090,Zuo Dun Guan Yong Jie 9-13Hao Zombie Specialty CoffeeShop 1,"tiramisu, Tian , Ka Pei Shi , Bei , Zhuang Xiu , Shui Ni , Guo , Mo Cha ",https://www.google.com/maps/place/Zombie+Specialty+Coffee/data=!4m7!3m6!1s0x34040130fe8ce2e3:0xe1d4f1f252f4bfc9!8m2!3d22.3035434!4d114.1685891!16s%2Fg%2F11t186mypv!19sChIJ4-KM_jABBDQRyb_0UvLx1OE?authuser=0&hl=zh-TW&rclk=1
ChIJd0G3OgUBBDQRZYF-7KMGfck,Fresh Coffee beans and tea house,,False,15,"Name: KOKO Coffee Roasters
link: https://www.google.com/maps/search/KOKO+Coffee+Roasters/@22.3750707,114.1101695?authuser=0&hl=zh-TW&entry=ttu
Reviews: 189 reviews

Name: KoBaNe
link: https://www.google.com/maps/search/KoBaNe/@22.3750826,114.11024139999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Yuet Tea Yue Cha 
link: https://www.google.com/maps/search/Yuet+Tea+%E6%82%85%E8%8C%B6/@22.3736668,114.1061254?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Cha *Hou Shuo 
link: https://www.google.com/maps/search/%E8%8C%B6%C2%B7%E5%BE%8C%E8%AA%AA/@22.3726167,114.1094699?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://hkcoffee.com/phpbb2/viewtopic.php?t=2975,Fresh Coffee beans and tea house (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPONUc6DU0Gn6JCWEajeEpvBqavUA6nylbesT-l=w408-h306-k-no,Cha Xie Dian ,Cha Xie Dian ,4.8,16:30-18:00,"Xing Qi San , Xing Qi Liu , Xing Qi Ri ",8209 2898,Quan Wan Chai Wan Jiao Jie 83-93Hao Rong Xing Gong Ye Da Sha Fresh Coffee beans and tea house906Shi ,Kao ,https://www.google.com/maps/place/Fresh+Coffee+beans+and+tea+house/data=!4m7!3m6!1s0x340401053ab74177:0xc97d06a3ec7e8165!8m2!3d22.3725809!4d114.1094778!16s%2Fg%2F11bxgmf4nm!19sChIJd0G3OgUBBDQRZYF-7KMGfck?authuser=0&hl=zh-TW&rclk=1
ChIJAQBACzMBBDQRFS4LR8h_AM8,Boncafe (Hong Kong) Limited | Coffee Machine Purchase / Rental | Coffee Beans & Capsules,,False,4,"Name: Coffee Corner by FOREX
link: https://www.google.com/maps/search/Coffee+Corner+by+FOREX/@22.322350999999998,114.208449?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Yi Xian Nong Ka Pei You Xian Gong Si 
link: https://www.google.com/maps/search/%E5%A3%B9%E9%AE%AE%E6%BF%83%E5%92%96%E5%95%A1%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/@22.316928,114.215153?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Black Mellow
link: https://www.google.com/maps/search/Black+Mellow/@22.3219984,114.20923590000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: La Marzocco Hong Kong Xiang Gang 
link: https://www.google.com/maps/search/La+Marzocco+Hong+Kong+%E9%A6%99%E6%B8%AF/@22.3119922,114.22042789999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.boncafe.com.hk/,Boncafe (Hong Kong) Limited | Coffee Machine Purchase / Rental | Coffee Beans & Capsules (Ye Zhu ),https://www.google.com/maps/contrib/103152631127504085411,https://lh5.googleusercontent.com/p/AF1QipPdgSWOVrocdSdMIU6AnPU-2v0VPjoq7NRgGUxQ=w408-h270-k-no,Ka Pei Hong Bei Shang ,"Ka Pei Hong Bei Shang , Ka Pei Ji Gong Ying Shang , Ka Pei Pi Fa Shang ",4.3,09:00-18:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Liu , Xing Qi Ri ",2415 6080,"Boncafe (Hong Kong) Limited | Coffee Machine Purchase / Rental | Coffee Beans & CapsulesNan Feng Shang Ye Zhong Xin  Unit 1520, 15/F, No.19 Lam Lok St, Kowloon Bay",,https://www.google.com/maps/place/Boncaf%C3%A9+%28Hong+Kong%29+Limited+%7C+Coffee+Machine+Purchase+%2F+Rental+%7C+Coffee+Beans+%26+Capsules/data=!4m7!3m6!1s0x340401330b400001:0xcf007fc8470b2e15!8m2!3d22.3227562!4d114.2077498!16s%2Fg%2F11df0ry8h1!19sChIJAQBACzMBBDQRFS4LR8h_AM8?authuser=0&hl=zh-TW&rclk=1
ChIJS1V0yQPuAzQRtNdJXH7AbSk,Shang Dao Ka Pei ,,False,3,"Name: Mi Luo Ka Pei 
link: https://www.google.com/maps/search/%E7%B1%B3%E8%98%BF%E5%92%96%E5%95%A1/@22.542897,113.9450978?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: KONOMI COFFEE
link: https://www.google.com/maps/search/KONOMI+COFFEE/@22.5409786,113.95277859999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Ya Kun 
link: https://www.google.com/maps/search/%E4%BA%9E%E5%9D%A4/@22.5367705,113.952569?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Ho Ho Cafe
link: https://www.google.com/maps/search/Ho+Ho+Cafe/@22.54935,113.94122999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Top Tea
link: https://www.google.com/maps/search/Top+Tea/@22.5266076,113.92383579999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.ubccn.com/,Shang Dao Ka Pei  (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMiyMYCAuUzBsQPBg7raXG9ky3_Rvn3-JlD4nKl=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,3,,Open All Days,,Zhong Guo Yan Dong Sheng Shen Zhen Shi Nan Shan Qu Gao Xin Nan Yi Dao Shang Dao Ka Pei  You Zheng Bian Ma : 518063,,https://www.google.com/maps/place/%E4%B8%8A%E5%B3%B6%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x3403ee03c974554b:0x296dc07e5c49d7b4!8m2!3d22.537736!4d113.950256!16s%2Fg%2F1wnbvlz_!19sChIJS1V0yQPuAzQRtNdJXH7AbSk?authuser=0&hl=zh-TW&rclk=1
ChIJVeymAo8jaTQRZJhxCh0JQw4,STARBUCKS Xing Ba Ke  (Tai Ping Zhong Xing Men Shi ),,False,259,"Name: STARBUCKS Xing Ba Ke  (Tai Ping Men Shi )
link: https://www.google.com/maps/search/STARBUCKS+%E6%98%9F%E5%B7%B4%E5%85%8B+%28%E5%A4%AA%E5%B9%B3%E9%96%80%E5%B8%82%29/@24.1494681,120.7132845?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2015 reviews

Name: PIZZA HUTBi Sheng Ke -Tai Zhong Zhong Xing Dong Dian 
link: https://www.google.com/maps/search/PIZZA+HUT%E5%BF%85%E5%8B%9D%E5%AE%A2-%E5%8F%B0%E4%B8%AD%E4%B8%AD%E8%88%88%E6%9D%B1%E5%BA%97/@24.130336999999997,120.7202248?authuser=0&hl=zh-TW&entry=ttu
Reviews: 558 reviews

Name: Kui Jia Bei  AOI Coffee Roaster
link: https://www.google.com/maps/search/%E8%91%B5%E7%8F%88%E7%90%B2+AOI+Coffee+Roaster/@24.1316539,120.71670560000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 196 reviews

Name: Chen Zhuan Han Bao Wang 
link: https://www.google.com/maps/search/%E6%99%A8%E9%A5%8C%E6%BC%A2%E5%A0%A1%E7%8E%8B/@24.131066399999998,120.72194689999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Bi Xiong Ka Pei 
link: https://www.google.com/maps/search/%E6%AF%94%E7%86%8A%E5%92%96%E5%95%A1/@24.1171994,120.73628099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",,STARBUCKS Xing Ba Ke  (Tai Ping Zhong Xing Men Shi ) (Ye Zhu ),https://www.google.com/maps/contrib/106412877302243773243,https://lh5.googleusercontent.com/p/AF1QipM0mvcdvSUc2mFLCGQmbp2Kzk-OSfH1lsnurqFd=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4,07:00-21:30,Open All Days,+886 4 2273 7858,411Tai Wan Tai Zhong Shi Tai Ping Qu Zhong Xing Dong Lu 136Hao STARBUCKS Xing Ba Ke  (Tai Ping Zhong Xing Men Shi ),"Can , Dian Yuan , Zuo Wei , Xun Lian , Pin Zhi , Xing Bing Le , Lou , Huan Jing , Kong Jian , Na Tie ",https://www.google.com/maps/place/STARBUCKS+%E6%98%9F%E5%B7%B4%E5%85%8B+%28%E5%A4%AA%E5%B9%B3%E4%B8%AD%E8%88%88%E9%96%80%E5%B8%82%29/data=!4m7!3m6!1s0x3469238f02a6ec55:0xe43091d0a719864!8m2!3d24.1305429!4d120.7211471!16s%2Fg%2F11q4bylms7!19sChIJVeymAo8jaTQRZJhxCh0JQw4?authuser=0&hl=zh-TW&rclk=1
ChIJHegcNYf_AzQRkt0EhuPeXVE,So.High Coffee Bar,,False,18,"Name: Coffee by Zion
link: https://www.google.com/maps/search/Coffee+by+Zion/@22.286612899999998,114.14172479999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 401 reviews

Name: Cha Ka Li 
link: https://www.google.com/maps/search/%E8%8C%B6%E5%92%96%E9%87%8C/@22.285969899999998,114.1418642?authuser=0&hl=zh-TW&entry=ttu
Reviews: 278 reviews

Name: Xing Fu Dan Pin Ka Pei 
link: https://www.google.com/maps/search/%E5%B9%B8%E7%A6%8F%E5%96%AE%E5%93%81%E5%92%96%E5%95%A1/@22.2847881,114.1424969?authuser=0&hl=zh-TW&entry=ttu
Reviews: 271 reviews

Name: The Missing Piece Cafe
link: https://www.google.com/maps/search/The+Missing+Piece+Cafe/@22.2858374,114.1435365?authuser=0&hl=zh-TW&entry=ttu
Reviews: 207 reviews

Name: Hashtag
link: https://www.google.com/maps/search/Hashtag/@22.2852803,114.1404032?authuser=0&hl=zh-TW&entry=ttu
Reviews: 174 reviews",,So.High Coffee Bar (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNfvXL6orLj6_1gSAkwjZ7sOQo0TrPiicxqnt0g=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,08:30-20:00,Open All Days,2612 1711,Xi Huan Xi Ying Pan Gao Jie 49Hao Di Pu  So.High Coffee Bar,,https://www.google.com/maps/place/So.High+Coffee+Bar/data=!4m7!3m6!1s0x3403ff87351ce81d:0x515ddee38604dd92!8m2!3d22.285255!4d114.142278!16s%2Fg%2F11k4c5p6tj!19sChIJHegcNYf_AzQRkt0EhuPeXVE?authuser=0&hl=zh-TW&rclk=1
