place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ96yQBmZS_xMRpDpztPAG_3o,Accro Coffee,"Zhe Jian Feng Ge Huo Po De Zhi Ming Ka Pei Ting ,Gong Ying Qing Shi He Hong Xi Shi Ka Pei Deng Te Diao Yin Pin . ",False,745,"Name: Cafe 52(Yuan Lang Dian )
link: https://www.google.com/maps/search/Cafe+52%28%E5%85%83%E6%9C%97%E5%BA%97%EF%BC%89/@22.448738,114.02735899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 224 reviews

Name: Sora cafe
link: https://www.google.com/maps/search/Sora+cafe/@22.4439569,114.0337847?authuser=0&hl=zh-TW&entry=ttu
Reviews: 136 reviews

Name: Brava Java Coffee
link: https://www.google.com/maps/search/Brava+Java+Coffee/@22.4415345,114.0290798?authuser=0&hl=zh-TW&entry=ttu
Reviews: 60 reviews

Name: APRIL COFFEE LAB
link: https://www.google.com/maps/search/APRIL+COFFEE+LAB/@22.4417363,114.02596869999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 50 reviews

Name: Sole Coffee
link: https://www.google.com/maps/search/Sole+Coffee/@22.4437745,114.0327494?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews",http://www.accro.hk/,Accro Coffee (Ye Zhu ),https://www.google.com/maps/contrib/117002429988166896809,https://lh5.googleusercontent.com/p/AF1QipPIQNpKVHgLkYdX-Kk99ZF69z-y5yuUMyZeZE3q=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Hong Bei Shang , Ka Pei Dian , Zheng Liu Ka Pei Ba ",4.4,10:00-23:00,Open All Days,9430 1433,Yuan Lang Yuan Lang An Zhu Lu 162-164Hao Jin Cheng Lou Accro CoffeeDi Xia DPu ,"Wo Fu , Bo Jue Cha , Guan Jun , Tian , Pa Ni Ni , La Hua , Qiao Ke Li Bing Qi Lin , Zhi Shi Dan Gao ",https://www.google.com/maps/place/Accro+Coffee/data=!4m7!3m6!1s0x13ff52660690acf7:0x7aff06f0b4733aa4!8m2!3d22.446167!4d114.0225749!16s%2Fg%2F11b64hdb0r!19sChIJ96yQBmZS_xMRpDpztPAG_3o?authuser=0&hl=zh-TW&rclk=1
ChIJbzi_bAlwATQRJcjGLFXQvKE,Sei Kee Cafe,,False,594,"Name: Shi Ji Ka Pei 
link: https://www.google.com/maps/search/%E4%B8%96%E8%A8%98%E5%92%96%E5%95%A1/@22.1951043,113.54054660000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 231 reviews

Name: Wang Ji Ka Pei 
link: https://www.google.com/maps/search/%E6%97%BA%E8%A8%98%E5%92%96%E5%95%A1/@22.153169,113.557186?authuser=0&hl=zh-TW&entry=ttu
Reviews: 167 reviews

Name: Xing Ji Ka Pei Shi 
link: https://www.google.com/maps/search/%E8%88%88%E8%A8%98%E5%92%96%E5%95%A1%E5%AE%A4/@22.153482699999998,113.5574571?authuser=0&hl=zh-TW&entry=ttu
Reviews: 161 reviews

Name: Shi Ji Ka Pei 
link: https://www.google.com/maps/search/%E4%B8%96%E8%A8%98%E5%92%96%E5%95%A1/@22.192746,113.5380326?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews

Name: Sei Kee Cafe
link: https://www.google.com/maps/search/Sei+Kee+Cafe/@22.153479300000004,113.5574546?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews",https://www.facebook.com/seikeecafe,Sei Kee Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMt65EGvitqeSE5gkoJ41tjIs_oO9M5gS8xOKMB=w408-h272-k-no,Ka Pei Ting ,"Ka Pei Ting , Can Ting ",4.2,11:00-19:00,Open All Days,+853 6569 1214,"Sei Kee Cafe, 1 Largo dos Bombeiros Voluntarios, Ao Men ","Nai Cha , Zhu Ba Bao , Tu Si , Hua Sheng , Tan , Xian ,Niu Rou , Lian Ru , Yang Cong , Zha , Zun ",https://www.google.com/maps/place/Sei+Kee+Cafe/data=!4m7!3m6!1s0x340170096cbf386f:0xa1bcd0552cc6c825!8m2!3d22.1547218!4d113.5562986!16s%2Fg%2F11bw46n2ln!19sChIJbzi_bAlwATQRJcjGLFXQvKE?authuser=0&hl=zh-TW&rclk=1
ChIJ5e4CGrQABDQRLqLCVyIxuLk,Cafe Sausalito,"Zhe Jian Pu Shi De Ka Pei Ting Gong Ying San Ming Zhi He Tian Dian ,Ling She You Lu Tai Yong Can Qu . ",False,590,"Name: COFFEE matters
link: https://www.google.com/maps/search/COFFEE+matters/@22.3279312,114.1633552?authuser=0&hl=zh-TW&entry=ttu
Reviews: 234 reviews

Name: DOZY
link: https://www.google.com/maps/search/DOZY/@22.327826599999998,114.1630916?authuser=0&hl=zh-TW&entry=ttu
Reviews: 168 reviews

Name: BOLD Coffee
link: https://www.google.com/maps/search/BOLD+Coffee/@22.3270476,114.1644456?authuser=0&hl=zh-TW&entry=ttu
Reviews: 167 reviews

Name: Shi Chang Ba Jiu 
link: https://www.google.com/maps/search/%E5%8D%81%E5%B8%B8%E5%85%AB%E4%B9%9D/@22.3266091,114.16369379999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 85 reviews

Name: Delicious Cafe
link: https://www.google.com/maps/search/Delicious+Caf%C3%A9/@22.3296626,114.1615898?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews",http://www.cafesausalitohk.com/,Cafe Sausalito (Ye Zhu ),https://www.google.com/maps/contrib/117140946205072416536,https://lh5.googleusercontent.com/p/AF1QipPK0WSVyEGqKXquYzwvnA9rDZU4VubYMHsOwqEu=w408-h369-k-no,Ka Pei Ting ,Ka Pei Ting ,4.1,09:00-18:00,Open All Days,,Shen Shui Bu Da Nan Jie 201Hao Cafe Sausalito,"bagel, Huan Jing , Duo Shi , area, La Hua , tiramisu, cream cheese, Zao Wu Can , Dou , San Wen Yu ",https://www.google.com/maps/place/Cafe+Sausalito/data=!4m7!3m6!1s0x340400b41a02eee5:0xb9b8312257c2a22e!8m2!3d22.3274466!4d114.1627935!16s%2Fg%2F11b6gqj0wp!19sChIJ5e4CGrQABDQRLqLCVyIxuLk?authuser=0&hl=zh-TW&rclk=1
ChIJFV9Jw4D_AzQRKUif6DOn9tc,Coffee by Zion,,False,401,"Name: NOC
link: https://www.google.com/maps/search/NOC/@22.287696699999998,114.13930309999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 736 reviews

Name: Xing Fu Dan Pin Ka Pei 
link: https://www.google.com/maps/search/%E5%B9%B8%E7%A6%8F%E5%96%AE%E5%93%81%E5%92%96%E5%95%A1/@22.2847881,114.1424969?authuser=0&hl=zh-TW&entry=ttu
Reviews: 271 reviews

Name: The Missing Piece Cafe
link: https://www.google.com/maps/search/The+Missing+Piece+Cafe/@22.2858374,114.1435365?authuser=0&hl=zh-TW&entry=ttu
Reviews: 207 reviews

Name: Hashtag
link: https://www.google.com/maps/search/Hashtag/@22.2852803,114.1404032?authuser=0&hl=zh-TW&entry=ttu
Reviews: 174 reviews",http://coffeebyzion.com/,Coffee by Zion (Ye Zhu ),https://www.google.com/maps/contrib/116575988791603474833,https://lh5.googleusercontent.com/p/AF1QipNjTBDf3eab7bwpwua1T2vf5O_BJzov7fimBrwf=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,09:00-18:00,Open All Days,9404 7721,Xi Ying Pan Di Yi Jie 83Hao Jun Jing Ge Coffee by Zion1-3Hao  Di Pu ,"La Hua , Wo Fu , Hong Dou , Bian Yi Fen , Qiao Ke Li Bing Qi Lin , Nai Pao ",https://www.google.com/maps/place/Coffee+by+Zion/data=!4m7!3m6!1s0x3403ff80c3495f15:0xd7f6a733e89f4829!8m2!3d22.2866129!4d114.1417248!16s%2Fg%2F11g6mlw9cj!19sChIJFV9Jw4D_AzQRKUif6DOn9tc?authuser=0&hl=zh-TW&rclk=1
ChIJB2OY69kBBDQR8GXKuvWJLJ0,Pei Nu ,,False,248,"Name: MG Cafe
link: https://www.google.com/maps/search/MG+Cafe/@22.3129003,114.2172106?authuser=0&hl=zh-TW&entry=ttu
Reviews: 363 reviews

Name: Li Huo Ka Pei Yan Jiu Suo  Quench Coffee Labo
link: https://www.google.com/maps/search/%E9%9B%A2%E7%81%AB%E5%92%96%E5%95%A1%E7%A0%94%E7%A9%B6%E6%89%80+Quench+Coffee+Labo/@22.3128723,114.2242359?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: S.H. Coffee Lab
link: https://www.google.com/maps/search/S.H.+Coffee+Lab/@22.309662400000004,114.22264129999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Rias Coffee Roastery Lab Shou Gong Ka Pei Dou Zhuan Mai Dian 
link: https://www.google.com/maps/search/Rias+Coffee+Roastery+Lab+%E6%89%8B%E5%B7%A5%E5%92%96%E5%95%A1%E8%B1%86%E5%B0%88%E8%B3%A3%E5%BA%97/@22.310347699999998,114.22669719999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: The Story Cafe
link: https://www.google.com/maps/search/The+Story+Cafe/@22.3116642,114.22319150000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/Coffee-Slave-647801469001643/,Pei Nu  (Ye Zhu ),https://www.google.com/maps/contrib/102135499346435768078,https://lh5.googleusercontent.com/p/AF1QipO2DQvaO4z74x8ihXpWnAg20aOS8sMHDgwCmHqz=w408-h450-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,08:00-18:00,Xing Qi Ri ,3619 5788,Guan Tang Hong Tu Dao 43Hao Hong Da Gong Ye Da Sha Pei Nu Di Xia 2a,"lunch, latte, Shu Shi , Yi Fen , Fu Wu , pancake, Dan , Huan Jing , Bei , Gang Dan ",https://www.google.com/maps/place/%E5%95%A1%E5%A5%B4/data=!4m7!3m6!1s0x340401d9eb986307:0x9d2c89f5baca65f0!8m2!3d22.3120491!4d114.221171!16s%2Fg%2F11h7jhx_7t!19sChIJB2OY69kBBDQR8GXKuvWJLJ0?authuser=0&hl=zh-TW&rclk=1
ChIJq-cX8lP_AzQRcQjgm0vssn0,Hashtag,,False,174,"Name: Coffee by Zion
link: https://www.google.com/maps/search/Coffee+by+Zion/@22.286612899999998,114.14172479999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 401 reviews

Name: Cha Ka Li 
link: https://www.google.com/maps/search/%E8%8C%B6%E5%92%96%E9%87%8C/@22.285969899999998,114.1418642?authuser=0&hl=zh-TW&entry=ttu
Reviews: 278 reviews

Name: Xing Fu Dan Pin Ka Pei 
link: https://www.google.com/maps/search/%E5%B9%B8%E7%A6%8F%E5%96%AE%E5%93%81%E5%92%96%E5%95%A1/@22.2847881,114.1424969?authuser=0&hl=zh-TW&entry=ttu
Reviews: 271 reviews

Name: Xiu CAFE
link: https://www.google.com/maps/search/%E4%BC%91CAFE/@22.2874649,114.1416603?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: So.High Coffee Bar
link: https://www.google.com/maps/search/So.High+Coffee+Bar/@22.285255,114.14227799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",https://www.instagram.com/hashtagcoffeehk/,Hashtag (Ye Zhu ),https://www.google.com/maps/contrib/115037475435898563494,https://lh5.googleusercontent.com/p/AF1QipPEt2HWmp9vjpQVYAOi5hBKt4isyIHOEd76hODE=w408-h615-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,09:00-18:00,"Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Si , Xing Qi Ri ",2896 6683,Xi Ying Pan Gao Jie 99Hao Dui Mian Rui Hua Ge HashtagB Di Xia ,"La Hua , bagel, Jia Qian , avocado, Bei , croissant, flat white, Ka Pei Shi , Yan San Wen Yu ",https://www.google.com/maps/place/Hashtag/data=!4m7!3m6!1s0x3403ff53f217e7ab:0x7db2ec4b9be00871!8m2!3d22.2852803!4d114.1404032!16s%2Fg%2F11h0vsng94!19sChIJq-cX8lP_AzQRcQjgm0vssn0?authuser=0&hl=zh-TW&rclk=1
ChIJ-5k_iRcBBDQRt_Qq7PEXFJA,Zero One Coffee & Roastery,,False,174,"Name: Cafe Crepe
link: https://www.google.com/maps/search/Cafe+Crepe/@22.281532199999997,114.1558914?authuser=0&hl=zh-TW&entry=ttu
Reviews: 343 reviews

Name: Cafe Zenon
link: https://www.google.com/maps/search/Cafe+Zenon/@22.282702,114.15467360000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 223 reviews

Name: Preface Coffee & Wine (Central)
link: https://www.google.com/maps/search/Preface+Coffee+%26+Wine+%28Central%29/@22.282055699999997,114.1554426?authuser=0&hl=zh-TW&entry=ttu
Reviews: 76 reviews

Name: Milligram Coffee
link: https://www.google.com/maps/search/Milligram+Coffee/@22.284578600000003,114.1531516?authuser=0&hl=zh-TW&entry=ttu
Reviews: 58 reviews",https://www.facebook.com/zeroonecoffee/,Zero One Coffee & Roastery (Ye Zhu ),https://www.google.com/maps/contrib/100763560758461498457,https://lh5.googleusercontent.com/p/AF1QipMl3kfkwcaLr1Hk5DfymDDJIOotIYpHg6xKZyg4=w408-h271-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,07:30-19:00,Open All Days,2191 9332,"Zero One Coffee & Roastery, UG/F, 83 Wellington St, Central","Nai , Ka Pei Shi , flat white, Bei , Hong Bei , Gan Jue , Jia Qian , Kan Shu , Mian Ji , cappuccino",https://www.google.com/maps/place/Zero+One+Coffee+%26+Roastery/data=!4m7!3m6!1s0x34040117893f99fb:0x901417f1ec2af4b7!8m2!3d22.2832731!4d114.1544754!16s%2Fg%2F11f8jhlr40!19sChIJ-5k_iRcBBDQRt_Qq7PEXFJA?authuser=0&hl=zh-TW&rclk=1
ChIJ-bJTRgkBBDQRBoDzrY0Ocm0,Between,,False,173,"Name: Ban Lu Ka Pei 
link: https://www.google.com/maps/search/%E5%8D%8A%E8%B7%AF%E5%92%96%E5%95%A1/@22.284756299999998,114.14971609999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 682 reviews

Name: The Chinese Library
link: https://www.google.com/maps/search/The+Chinese+Library/@22.2817737,114.1541034?authuser=0&hl=zh-TW&entry=ttu
Reviews: 280 reviews

Name: Cafe Claudel
link: https://www.google.com/maps/search/Caf%C3%A9+Claudel/@22.281761499999998,114.1539037?authuser=0&hl=zh-TW&entry=ttu
Reviews: 168 reviews",https://between.life/,Between (Ye Zhu ),https://www.google.com/maps/contrib/108419950176386515789,https://lh5.googleusercontent.com/p/AF1QipODaknMcy6dSzeLCbu-tCcnloSf7RB79_YrOExd=w408-h408-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",3.9,11:00-20:00,Xing Qi Yi ,2877 8711,"Between, 2/F, JC Contemporary, Tai Kwun, 10 Hollywood Rd, Central","Ye Zi , Ta , cream cheese, Dan Huang Jiang , Yi Da Li Mian , Shi Duo Pi Li , Ri Ben Liao Li , Qi Wei Fen , Ji Lie ",https://www.google.com/maps/place/Between/data=!4m7!3m6!1s0x340401094653b2f9:0x6d720e8dadf38006!8m2!3d22.2810872!4d114.1536148!16s%2Fg%2F11qmmxff0w!19sChIJ-bJTRgkBBDQRBoDzrY0Ocm0?authuser=0&hl=zh-TW&rclk=1
ChIJq6p2Pe96ATQRI9LAf_N_fCU,Cang Ka Pei ,,False,40,"Name: Terra Coffee House (R. Central)
link: https://www.google.com/maps/search/Terra+Coffee+House+%28R.+Central%29/@22.1915041,113.53813249999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 164 reviews

Name: Wonderwall Coffee
link: https://www.google.com/maps/search/Wonderwall+Coffee/@22.197149400000004,113.54553299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: ROOFTOP MACAU
link: https://www.google.com/maps/search/ROOFTOP+MACAU/@22.1529462,113.55727460000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 40 reviews

Name: Hideout Coffee Taipa
link: https://www.google.com/maps/search/Hideout+Coffee+Taipa/@22.1540401,113.5579919?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews",http://www.facebook.com/thehideoutcoffees/,Cang Ka Pei  (Ye Zhu ),https://www.google.com/maps/contrib/100770430744508110990,https://lh5.googleusercontent.com/p/AF1QipNQ83l6qM1egPCZiL5LFzCuIpLoRxVH7eQUIV4c=w408-h544-k-no,Wai Dai Ka Pei Zhuan Mai Dian ,"Wai Dai Ka Pei Zhuan Mai Dian , Ka Pei Dian , Wai Mai Zi Qu Can Ting ",4.4,08:00-19:30,Xing Qi Ri ,+853 2830 3709,Ao Men Ma Tong Ling Wei No. 26Hao Cang Ka Pei ,Bei ,https://www.google.com/maps/place/%E8%97%8F%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x34017aef3d76aaab:0x257c7ff37fc0d223!8m2!3d22.1918086!4d113.5420738!16s%2Fg%2F11f3_2sq9j!19sChIJq6p2Pe96ATQRI9LAf_N_fCU?authuser=0&hl=zh-TW&rclk=1
ChIJ3X5ZaqoBBDQRYWPlzidGjZ8,Brewjob Taikoo,,False,36,"Name: Xing Ba Ke  (Tai Gu Cheng Zhong Xin )
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B+%28%E5%A4%AA%E5%8F%A4%E5%9F%8E%E4%B8%AD%E5%BF%83%29/@22.2871548,114.2173015?authuser=0&hl=zh-TW&entry=ttu
Reviews: 421 reviews

Name: sensory ZERO [ Taikoo Cityplaza | All Day Dining ]
link: https://www.google.com/maps/search/sensory+ZERO+%5B+Taikoo+Cityplaza+%7C+All+Day+Dining+%5D/@22.285633699999998,114.2175951?authuser=0&hl=zh-TW&entry=ttu
Reviews: 248 reviews

Name: Tai Ping Yang Jia Pei 
link: https://www.google.com/maps/search/%E5%A4%AA%E5%B9%B3%E6%B4%8B%E7%8F%88%E5%95%A1/@22.2856348,114.2178261?authuser=0&hl=zh-TW&entry=ttu
Reviews: 206 reviews

Name: PHI Coffee & Pancake (Cityplaza)
link: https://www.google.com/maps/search/PHI+Coffee+%26+Pancake+%28Cityplaza%29/@22.2863531,114.2189506?authuser=0&hl=zh-TW&entry=ttu
Reviews: 108 reviews

Name: House by Kubrick
link: https://www.google.com/maps/search/House+by+Kubrick/@22.2856222,114.21712439999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews",https://www.instagram.com/brewjob_taikoo/,Brewjob Taikoo (Ye Zhu ),https://www.google.com/maps/contrib/117746826618081889066,https://lh5.googleusercontent.com/p/AF1QipPoh6SpN0meKsft3lFVgkSQqUqT6joFYjJI5q59=w461-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,08:30-18:00,Open All Days,9080 8638,"Brewjob Taikoo, 2/F, Cityplaza Four, 12 Tai Koo Wan Rd, Quarry Bay",,https://www.google.com/maps/place/Brewjob+Taikoo/data=!4m7!3m6!1s0x340401aa6a597edd:0x9f8d4627cee56361!8m2!3d22.2876673!4d114.2179666!16s%2Fg%2F11frncvht3!19sChIJ3X5ZaqoBBDQRYWPlzidGjZ8?authuser=0&hl=zh-TW&rclk=1
